project_id,status,em_id,ae_id,em_zuordnung_pruefung,ae_zuordnung_pruefung,belegkonfidenz,em_extraktionsstatus,ae_extraktionsstatus
p_circl_abn_amro,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_demontierbares_bausatzsystem,True,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,matched,em_bestandsgefuehrte_planung,ae_patchwork_fassade,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_circular_pavilion_paris,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_crclr_house_impact_hub_berlin,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_elementa_walkeweg,matched,em_spender_empfaenger_kette,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_elys_kultur_gewerbehaus_basel,matched,em_bestandsgefuehrte_planung,ae_patchwork_fassade,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_eth_circular_construction_student_reuse_project,unmatched_no_projekt,,,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_eth_circular_construction_student_reuse,unmatched_no_projekt,,,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_europa_building_brussels,matched,em_wiederverbindung_spolien,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_fcrbe,unmatched_no_projekt,,,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_ferme_du_rail_paris,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_gjg_house_gentbrugge,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_grande_halle_de_colombelles,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_grubenstrasse_29_werkhof_29_zuerich,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_hastings_pier_visitor_centre,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_haus_hos_mehrfamilienhaus_muehlhausen,matched,em_bestandsgefuehrte_planung,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_holbein_gardens_london,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,matched,em_bestandsgefuehrte_planung,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_impact_hub_berlin_crclr_fitout,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_institut_de_botanique_ulg_liege,matched,em_bestandsgefuehrte_planung,ae_patchwork_fassade,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_interreg_nwe_fcrbe,unmatched_no_projekt,,,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_jeugdkliniek_ithaka_emergis_kloetinge,matched,em_spender_empfaenger_kette,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_juch_areal_recyclingzentrum_zuerich,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_oeffentliche_wiederverwendungs_identitaet,True,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_jugendtreff_ingersheim,matched,em_forschungsdemonstrator,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_k118_kopfbau_halle_118_winterthur,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_ka13_kristian_augusts_gate_13_oslo,matched,em_spender_empfaenger_kette,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_kamikatsu_zero_waste_center_hotel_why,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_kindergarten_moeoeslistrasse_manegg_zuerich,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_liander_alliander_hq_duiven,matched,em_bestandskartierung_urban_mining,ae_innenraum_atmosphaere_aus_wiederverwendung,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lo_reninge_town_hall_facade,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lokomotion_technology_centre_mini_pilot_tampere,matched,em_bestandsgefuehrte_planung,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lycee_michel_lucius_conversion_luxembourg,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lysp8,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lysp8_basel,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_maison_des_canaux_paris,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Low,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_maison_dna_asse,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_maison_vignette_auderghem,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_bio_wiederverwendungs_hybrid,True,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_meduni_campus_mariannengasse,matched,em_spender_empfaenger_kette,ae_innenraum_atmosphaere_aus_wiederverwendung,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_mehrow_pilot_house,matched,em_bestandsgefuehrte_planung,ae_modulmassebestimmte_form,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_melkinlaituri_primary_school_daycare_centre_helsinki,matched,em_bestandsgefuehrte_planung,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_montessori_maassluis,matched,em_bestandsgefuehrte_planung,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_multi_brussels_reuse_in_multi,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_musee_de_folklore_mouscron,matched,em_spender_empfaenger_kette,ae_patchwork_fassade,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_pavilion_circl_amsterdam,unmatched_no_projekt,,,,,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_peoples_pavilion_eindhoven,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plattenpalast_berlin,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plattenvereinigung_berlin,matched,em_wiederverbindung_spolien,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plp_london_hq_circular_studio_fitout,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_rcmi_concular,unmatched_no_projekt,,,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_re_use_hoefe,unmatched_no_projekt,,,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_recrete_footbridge_reused_concrete_blocks,matched,em_wiederverbindung_spolien,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_reallabor_b_e_ware,unmatched_no_projekt,,,,,Medium/Research,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_reallabor_be_ware,unmatched_no_projekt,,,,,Medium/Research,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_rebridge_structural_reuse_project,unmatched_no_projekt,,,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_recyclinghaus_hannover,matched,em_rueckbauorientiertes_entwerfen,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_recypark_demets_anderlecht,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_refair_bordeaux_reemploi_platform,unmatched_no_projekt,,,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_resource_rows_copenhagen,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_roots_in_the_sky_blackfriars_crown_court,matched,em_bestandsgefuehrte_planung,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_resilience_la_ferme_des_possibles_stains,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_saxum_vineyard_equipment_barn_paso_robles,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_schaerenmoosstrasse_zuerich,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_stuttgart_210,unmatched_no_projekt,,,,,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_superlocal_expogebouw_bleijerheide,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_svanen_kindergarten_gladsaxe,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_the_green_house_utrecht,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_thoravej_29_copenhagen,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_timber_square_london,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_trae_high_rise_aarhus,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_umar_unit,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_upcycle_studios_copenhagen,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_verbiest_karreveld_brussels,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_villa_welpeloo_enschede,matched,em_bestandskartierung_urban_mining,ae_innenraum_atmosphaere_aus_wiederverwendung,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_woongroep_boschgaard_den_bosch,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_zinneke_feder_masui4ever_brussels,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
