label,property,occurrences
UmweltUndOekobilanzrecht,confidence,13
UmweltUndOekobilanzrecht,evidence_status,13
UmweltUndOekobilanzrecht,id,13
UmweltUndOekobilanzrecht,name,13
UmweltUndOekobilanzrecht,rechtsbereiche,13
UmweltUndOekobilanzrecht,review_run,13
UmweltUndOekobilanzrecht,source_quote,13
UmweltUndOekobilanzrecht,source_scope,13
UmweltUndOekobilanzrecht,source_url,13
UmweltUndOekobilanzrecht,updated_at_utc,13
Verbindungstechnik,id,15
Verbindungstechnik,name,15
Verbindungstechnik,legacy_internal_provenance_docs,11
Verbindungstechnik,source_titles,11
Verbindungstechnik,beschreibung,4
Wiederverwendungsergebnis,created_at,6
Wiederverwendungsergebnis,evidence_basis,6
Wiederverwendungsergebnis,id,6
Wiederverwendungsergebnis,name,6
Wiederverwendungsergebnis,review_run,6
Wiederverwendungsergebnis,source_scope,6
ZustandsKlasse,beschreibung,6
ZustandsKlasse,id,6
ZustandsKlasse,name,6
ZustandsKlasse,name_full,6
