file,source_folder,entity_type,value
AWM_Muenster_Circular_Office.md,Gebäude,Akteur,"Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann"
AWM_Muenster_Circular_Office.md,Gebäude,Bauteil,Glastrennwände und Türen
AWM_Muenster_Circular_Office.md,Gebäude,Bauteil,WC-Trennwände
AWM_Muenster_Circular_Office.md,Gebäude,Bauteil,Kabeltrassen
AWM_Muenster_Circular_Office.md,Gebäude,Bauteil,Wandverkleidung aus alten Holzstühlen
AWM_Muenster_Circular_Office.md,Gebäude,Bauteil,Holz aus Deckenkonstruktion/Supermarkt/Discounter
AWM_Muenster_Circular_Office.md,Gebäude,Material,"Hanfkalksteine, Lehm, Akustikbaffeln, Teppich"
AWM_Muenster_Circular_Office.md,Gebäude,Bauteilboerse,Concular
AWM_Muenster_Circular_Office.md,Gebäude,Kennwert,"6,9 t wiedergewonnene Materialien"
AWM_Muenster_Circular_Office.md,Gebäude,Kennwert,"13,32 t CO₂e / 82 %"
AWM_Muenster_Circular_Office.md,Gebäude,Kennwert,"95,6 % c2c-inspiriert oder ReUse"
AWM_Muenster_Circular_Office.md,Gebäude,Kennwert,250 m² / 200 m²
AWM_Muenster_Circular_Office.md,Gebäude,Logistik,Urban Mining aus öffentlichen Gebäuden
AWM_Muenster_Circular_Office.md,Gebäude,Methode,ReUse first / Design follows availability
AWM_Muenster_Circular_Office.md,Gebäude,ReUse-Interior,feste Innenausbau-Bauteile zwischen Möbel und Bauwerk
AWM_Muenster_Circular_Office.md,Gebäude,Materialherkunftsseite / QR-Materialatlas,projektspezifische Material-Herkunftsdokumentation
AWM_Muenster_Circular_Office.md,Gebäude,Reaktivierung,technische/gestalterische Wiederinbetriebnahme gebrauchter Elemente
BedZED_London_Hackbridge.md,Gebäude,Fallstudie,BedZED / Beddington Zero Energy Development
BedZED_London_Hackbridge.md,Gebäude,Gebaeude,Wohn- und Arbeitsquartier
BedZED_London_Hackbridge.md,Gebäude,Ort,"Hackbridge / Wallington, London Borough of Sutton, UK"
BedZED_London_Hackbridge.md,Gebäude,Projekt,Beddington Zero Energy Development
BedZED_London_Hackbridge.md,Gebäude,Akteur,Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald
BedZED_London_Hackbridge.md,Gebäude,Bauherr,Peabody Trust
BedZED_London_Hackbridge.md,Gebäude,Bauteil,Wiederverwendeter Baustahl
BedZED_London_Hackbridge.md,Gebäude,Bauteil,Holzständer / softwood walling studs
BedZED_London_Hackbridge.md,Gebäude,Bauteil,"Türen, Bordsteine, Natursteinplatten, Gerüstrohre als Geländer/Balustraden"
BedZED_London_Hackbridge.md,Gebäude,Material,"Stahl, Holz, Stein, Glas, Recyclingmaterialien"
BedZED_London_Hackbridge.md,Gebäude,Reuse_Strategie,Ex-situ Bauteilwiederverwendung
BedZED_London_Hackbridge.md,Gebäude,Aufbereitungsmethode,"Sandstrahlen, Fertigung, Beschichtung mit zinkreicher Beschichtung"
BedZED_London_Hackbridge.md,Gebäude,Pruefung,"Sichtprüfung, Herstellungsdatum, Zustand, vorhandene Verbindungen, Fabrikationseignung"
BedZED_London_Hackbridge.md,Gebäude,Verbindung,Anschlussdetails mit Toleranzen für verschiedene Profile
BedZED_London_Hackbridge.md,Gebäude,Logistik,Beschaffung in 35-mile-Radius; lokale Materialstrategie
BedZED_London_Hackbridge.md,Gebäude,Kennwert,98 t wiederverwendeter Stahl
BedZED_London_Hackbridge.md,Gebäude,Kennwert,"3.404 t wiederverwendete/recycelte Materialien, 15 %"
BedZED_London_Hackbridge.md,Gebäude,Wirtschaft,Reclaimed steel ca. 4 % günstiger; mit Zusatzaufwand effektiv kostenneutral
BedZED_London_Hackbridge.md,Gebäude,Huerde,Verfügbarkeit passender Profile; lange Vorlaufzeiten; gebogene Profile nicht reused
BedZED_London_Hackbridge.md,Gebäude,Norm_Recht,Historic Sections Book
BedZED_London_Hackbridge.md,Gebäude,Schadstoff,Rost/Scaling/Materialzustand geprüft
BedZED_London_Hackbridge.md,Gebäude,Werkzeug,unbekannt
BedZED_London_Hackbridge.md,Gebäude,Reclaim-Manager / Materialbeschaffer,"Direct Reuse erforderte aktive Suche, Fristen und Beschaffungskoordination"
BedZED_London_Hackbridge.md,Gebäude,Historische Profilbemessung,Wiederverwendeter Stahl hat oft andere historische Profileigenschaften
BedZED_London_Hackbridge.md,Gebäude,Free-Issue-Material,Wiederverwendete Bauteile wurden vom Construction Manager im Auftrag des Clients beschafft
Berlin_Schildow_Pilot_House.md,Gebäude,Fallstudie,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house
Berlin_Schildow_Pilot_House.md,Gebäude,Gebaeude,Einfamilienhaus / Pilotwohnhaus
Berlin_Schildow_Pilot_House.md,Gebäude,Ort,"Schildow, Brandenburg/Berliner Umland, Deutschland"
Berlin_Schildow_Pilot_House.md,Gebäude,Projekt,Pilotprojekt zur Wiederverwendung von WBS70-Platten
Berlin_Schildow_Pilot_House.md,Gebäude,Akteur,"Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele"
Berlin_Schildow_Pilot_House.md,Gebäude,Bauteil,200 zugeschnittene Teile aus 60 Decken- und 50 Innenwandplatten
Berlin_Schildow_Pilot_House.md,Gebäude,Material,Stahlbetonfertigteile / WBS70
Berlin_Schildow_Pilot_House.md,Gebäude,Gebaeude,Spender: Berliner Elfgeschosser / Marzahn-Plattenbau
Berlin_Schildow_Pilot_House.md,Gebäude,Reuse_Strategie,ex-situ Bauteilwiederverwendung; Zuschnitt; Remontage
Berlin_Schildow_Pilot_House.md,Gebäude,Aufbereitungsmethode,Zuschnitt/Sägen von Platten
Berlin_Schildow_Pilot_House.md,Gebäude,Pruefung,"Festigkeitstests / Belastungs-, Schneid-, Bohrversuche im IEMB-Kontext"
Berlin_Schildow_Pilot_House.md,Gebäude,Logistik,ca. 33 km Distanz; Transport per Tieflader/Kran im Pressekontext
Berlin_Schildow_Pilot_House.md,Gebäude,Abbruchmethode,"leichte Geräte, Lösen von Knotenpunkten, Durchtrennen von Verbindungsstählen"
Berlin_Schildow_Pilot_House.md,Gebäude,Verbindung,WBS70-Knoten / neue Anschlüsse unbekannt
Berlin_Schildow_Pilot_House.md,Gebäude,Kennwert,245 m³; 200 Teile; 33 km; 2005; Bauteilalter ca. 18 Jahre
Berlin_Schildow_Pilot_House.md,Gebäude,Norm_Recht,unbekannt
Berlin_Schildow_Pilot_House.md,Gebäude,Spendergebäude,Herkunft der WBS70-Platten ist entscheidend
Berlin_Schildow_Pilot_House.md,Gebäude,Bauteilzuschnitt,"Wiederverwendung erfolgt nicht nur 1:1, sondern durch Maßanpassung"
Berlin_Schildow_Pilot_House.md,Gebäude,Pilotnummerierung,Quellen widersprechen sich bei „1st/2nd“
Berlin_Schildow_Pilot_House.md,Gebäude,Reuse-Testbau,Forschung erzeugt Prototyp-/Pilotstatus
Berlin_Schildow_Pilot_House_2.md,Gebäude,Fallstudie,Berlin-Schildow 2nd pilot house
Berlin_Schildow_Pilot_House_2.md,Gebäude,Projekt,Schildow-Pilot / Wiederverwendung WBS70
Berlin_Schildow_Pilot_House_2.md,Gebäude,Gebaeude,Einfamilienhaus / Zwei-Generationenhaus mit Satteldach
Berlin_Schildow_Pilot_House_2.md,Gebäude,Ort,"Schildow, Brandenburg, nördlich von Berlin"
Berlin_Schildow_Pilot_House_2.md,Gebäude,Bauteil,200 zugeschnittene Teile aus 60 Decken- und 50 Innenwandplatten
Berlin_Schildow_Pilot_House_2.md,Gebäude,Material,WBS70-Stahlbetonfertigteile
Berlin_Schildow_Pilot_House_2.md,Gebäude,Gebaeude,Spender: Berliner/Marzahner Plattenbau
Berlin_Schildow_Pilot_House_2.md,Gebäude,Akteur,Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB
Berlin_Schildow_Pilot_House_2.md,Gebäude,Akteur,Detlev Lange / Familie Lange
Berlin_Schildow_Pilot_House_2.md,Gebäude,Reuse_Strategie,ex-situ Bauteilwiederverwendung; Zuschnitt; Remontage
Berlin_Schildow_Pilot_House_2.md,Gebäude,Abbruchmethode,selektiver Rückbau / Demontage von Platten; Diamantsägen im Pressekontext
Berlin_Schildow_Pilot_House_2.md,Gebäude,Aufbereitungsmethode,Reinigung und Zuschnitt nach Schneidplan
Berlin_Schildow_Pilot_House_2.md,Gebäude,Logistik,"Tieflader, Kran, just-in-time-Anlieferung; 33 km laut PRECS"
Berlin_Schildow_Pilot_House_2.md,Gebäude,Werkzeug,Diamant-Schneidemaschine
Berlin_Schildow_Pilot_House_2.md,Gebäude,Kennwert,200 Teile; 245 m³; ca. 18 Jahre Bauteilalter; 2005
Berlin_Schildow_Pilot_House_2.md,Gebäude,Norm_Recht,unbekannt
Berlin_Schildow_Pilot_House_2.md,Gebäude,Pruefung,Belastungs-/Festigkeitsprüfung allgemein im IEMB-Kontext
Berlin_Schildow_Pilot_House_2.md,Gebäude,Doppellisteneintrag,Die Fallnummerierung in der Ausgangsliste ist nicht mit den Quellen deckungsgleich
Berlin_Schildow_Pilot_House_2.md,Gebäude,Spendergebäude,Herkunft und Entfernung bestimmen Machbarkeit
Berlin_Schildow_Pilot_House_2.md,Gebäude,Bauteilzuschnitt,Wiederverwendung erfolgt durch kontrolliertes Zerschneiden
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Fallstudie,Bestandverplanzung Pavilion / Bestandverpflanzung?
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Ort,"München, Deutschland"
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Projekt,Wiederverwendung von Paneelen aus Olympiadorf-Bungalows
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Gebaeude,Olympisches Dorf / Bungalows
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Bauteil,Betonfertigteil-Paneele
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Material,Beton / Stahlbetonfertigteile
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Reuse_Strategie,ex-situ / Gebäudeversetzung / Bauteilwiederverwendung
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Prozessphase,"Rückbau, Transport, Wiedereinbau"
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Pruefung,unbekannt
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Norm_Recht,unbekannt
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Huerde,geringe Quellenlage
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Kennwert,2008; ca. 36 Jahre Bauteilalter
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Donorgebäude-Serie,Serien-/Systembauten sind bei Fertigteil-Reuse zentral
Bestandverplanzung_Pavilion_Muenchen.md,Gebäude,Quellenunsicherheit,viele ältere Kleinprojekte sind nur über Sekundärdatenbanken greifbar
Big_Dig_Building_Boston.md,Gebäude,Fallstudie,Big Dig Building
Big_Dig_Building_Boston.md,Gebäude,Ort,"Boston / Cambridge / North Cambridge, MA, USA"
Big_Dig_Building_Boston.md,Gebäude,Projekt,Wiederverwendung von Big-Dig-Infrastrukturmaterialien
Big_Dig_Building_Boston.md,Gebäude,Gebaeude,Big Dig Building
Big_Dig_Building_Boston.md,Gebäude,Akteur,Single Speed Design / SsD
Big_Dig_Building_Boston.md,Gebäude,Akteur,"John Hong, Jinhee Park, Paul Pedini"
Big_Dig_Building_Boston.md,Gebäude,Bauteil,"Infrastrukturträger, Boxbeams, temporäre Straßen-/Rampenteile, Fassaden-/Strukturelemente"
Big_Dig_Building_Boston.md,Gebäude,Material,Stahl und Beton
Big_Dig_Building_Boston.md,Gebäude,Reuse_Strategie,ex-situ; Infrastruktur-zu-Gebäude; Bauteilwiederverwendung
Big_Dig_Building_Boston.md,Gebäude,Tragwerkssystem,Infrastrukturbauteile als hoch belastbare Gebäudestruktur
Big_Dig_Building_Boston.md,Gebäude,Kennwert,2.335 m² site area; 2.936 m² constructed area
Big_Dig_Building_Boston.md,Gebäude,Foerderprogramm,Holcim Awards Encouragement Prize 2005–2006 North America
Big_Dig_Building_Boston.md,Gebäude,Huerde,Projektabbruch / nicht gebaut
Big_Dig_Building_Boston.md,Gebäude,Methode,Relocate and reuse/recycle infrastructural materials as building components
Big_Dig_Building_Boston.md,Gebäude,Nicht gebauter Reuse-Vorschlag,"direkte Wiederverwendung wurde geplant, aber nicht realisiert"
Big_Dig_Building_Boston.md,Gebäude,Infrastruktur-Donor,"Donor ist kein Gebäude, sondern Straßen-/Brücken-/Tunnelbau"
Big_Dig_Building_Boston.md,Gebäude,Konzeptkennwert,Entwurfswerte sind nicht gebaute Betriebs-/Realisierungswerte
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Fallstudie,Big Dig House
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Gebaeude,Einfamilienhaus / modernes Wohnhaus
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Projekt,Reuse of Big Dig steel and concrete
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Ort,"Lexington, Massachusetts, USA"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Akteur,Paul Pedini
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Akteur,Single Speed Design
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Akteur,John Hong
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Akteur,Jinhee Park
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Akteur,Weidlinger Associates
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Bauteil,Stahlträger und Stahlstützen
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Bauteil,Beton-Inverset panels
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Bauteil,"Ramps, piers, roadway components"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Material,Stahl und Beton
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Reuse_Strategie,ex-situ Bauteilwiederverwendung
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Abbruchmethode,Demontage / demolition of I-93 elevated highway components
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Aufbereitungsmethode,Reuse largely as found / prefab kit
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Tragwerkssystem,Stahl- und Betontragwerk aus Big-Dig-Komponenten
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Verbindung,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Pruefung,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Leistungsanforderung,roof could withstand 18-wheeler / 250 psf
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Kennwert,"300 tons / 600,000+ lb"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Kennwert,"4,000 / 4,027 / 4,300 sq ft"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Kennwert,"$645,000 excl. land / $175/sf / $150/sf"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Norm_Recht,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Schadstoff,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Wirtschaft,free materials minus transport / lower cost claims
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Logistik,Transport von Big Dig Bauteilen nach Lexington
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Bauteilboerse,keine
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Methode,Prototype / prefabricated system from salvaged components
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Werkzeug,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Werkzeug,unbekannt
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Donor-Infrastruktur,"Herkunft ist kein Gebäude, sondern Verkehrsinfrastruktur"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Infrastrukturbauteil,"Bauteile wie ramps, piers, Inverset panels passen nicht sauber in Hochbau-Kategorien"
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,As-found-Komponente,Reuse mit minimaler Bearbeitung und Entwurf um vorhandene Teile
Big_Dig_House_Lexington_Massachusetts.md,Gebäude,Quellenkonflikt-Kennwert,Fläche/Kosten unterscheiden sich nach Quelle
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Fallstudie,BioPartner 5
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Gebaeude,ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Gebaeude,BioPartner 5
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Ort,"Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden"
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Projekt,"BioPartner Center Leiden, fünftes Gebäude"
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,BioPartner Center Leiden
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,Popma ter Steege Architecten / PTSA
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,IMd Raadgevende Ingenieurs
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,De Vries en Verburg
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,Vic Obdam Staalbouw
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,Deerns
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Akteur,STONE22
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Bauteil,Stahlträger / Stahlrahmen / H-Profile
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Bauteil,Pflaster / Naturstein / Bodenmaterial
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Bauteil,Innenwände / Trennwände
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Bauteil,Sanitärobjekte / Toiletten / Waschbecken
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Material,Mauerwerkspuin / Abbruchschutt
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Reuse_Strategie,Donorskelet / ex-situ structural reuse
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Methode,"Archivrecherche, Berechnung, destruktive Untersuchung"
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Abbruchmethode,"stufenweiser, separierender Rückbau"
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Aufbereitungsmethode,"Demontage, Transport, Beschichtung/Coating, Wiedermontage"
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Verbindung,demontierbar detaillierte Stahlkonstruktion
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Kennwert,165.000 kg wiederverwendeter Stahl
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Kennwert,6.200 m² / 7.000 m²
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Kennwert,248 kg CO₂-eq/m² embodied carbon
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Kennwert,ca. 40 % Reduktion embodied carbon
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Norm_Recht,DGBC / NIBE Paris Proof embodied
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Huerde,Nachweis wiederverwendeter Stahl
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Wirtschaft,unbekannt
BioPartner_5_Leiden_Oegstgeest.md,Gebäude,Donorgebäude,Wiederverwendung hängt stark vom Herkunftsgebäude ab
