entity_type,total_rows,unique_values,knoten_kandidaten_n>=3
Empfängergebäude,2,2,0
Energie-Nebenfunktion,1,1,0
Erinnerungsbauteil,1,1,0
Essential Facility / Risk Category,1,1,0
Fallstudie,84,82,0
Fertigteilsystem,3,3,0
Fest eingebauter Innenausbau,1,1,0
Fest installierte technische Ausstattung,1,1,0
Fit-out-Komponente,1,1,0
Fit-out-Reuse,1,1,0
Foerderprogramm,13,12,0
Formaktive Reuse-Schale,1,1,0
Free-Issue-Material,1,1,0
Gebaeude,97,92,0
Gebäude-recycelt-sich-selbst,1,1,0
Gemeindespende,1,1,0
Geplanter Reuse-Einbau,1,1,0
Gewährleistungsersatzfonds,1,1,0
Harvest Map / Oogstkaart,1,1,0
Heritage-Konflikt / Schutzstatuskonflikt,1,1,0
Herkunftsnarrativ,1,1,0
Historische Einbettung / Kontextanpassung,1,1,0
Historische Profilbemessung,1,1,0
Huerde,55,55,0
In-situ-Reuse-Kette,1,1,0
In-situ-Transformation,1,1,0
Infrastruktur-Donor,1,1,0
Infrastruktur-Prototyp,1,1,0
Infrastrukturbauteil,1,1,0
Innere Nutzungsbox,1,1,0
Kennwert,156,155,0
Kennwertkonflikt,1,1,0
Kommerzielle Replikation,1,1,0
Kontrollierte Risikoprävention,1,1,0
Konzeptkennwert,1,1,0
Kulturhistorisches Reuse-Bauteil,1,1,0
Kunstintegration als Reuse-Träger,1,1,0
Lehrstuhl,2,2,0
Leihmodell,1,1,0
Leistungsanforderung,11,11,0
Living Laboratory,1,1,0
Logistik,26,26,0
Marine Exposition,1,1,0
Matching-Algorithmus,1,1,0
Material,102,86,3
Material Stockpile,1,1,0
Materialallianz,1,1,0
Materialdepot / Lagerverwaltung,1,1,0
Materialeffizienz-Versprechen,1,1,0
Materialgetriebener Entwurf,2,2,0
Materialherkunftsseite / QR-Materialatlas,1,1,0
Materialherkunftstyp,1,1,0
Materiallager / Zwischenlager,1,1,0
Materialscout,1,1,0
Materialspuren / Patina,1,1,0
Materialökosystem,1,1,0
Mauerwerksmodul,1,1,0
Mehrfachleben,1,1,0
Methode,64,47,3
Mobiles Recyclinggebäude,1,1,0
Nicht gebauter Reuse-Vorschlag,1,1,0
Nicht-zählbare Möbelreuse,1,1,0
Norm_Recht,55,37,1
Nutzer-Crew / Eigenleistungsteam,1,1,0
Occasionslager,1,1,0
Offcut-Verwertung,1,1,0
Ombruksgrad / Reuse-by-weight,1,1,0
Oogstmaterial / geerntetes Material,1,1,0
Opportunitäts-Gisement,1,1,0
Ort,90,86,0
Ortbeton-Bauteilernte,1,1,0
Parallelbetrieb,1,1,0
People/Akteure,1,1,0
Pilotnummerierung,1,1,0
Pilotserie,1,1,0
Plattenbau-Typologie,1,1,0
Privatkleinanzeige / informeller Reuse-Markt,1,1,0
Produktpass,1,1,0
Projekt,90,88,0
Projektabbruch / Strategiewechsel,1,1,0
Projektstatus,2,2,0
Projektübergreifender Materialtransfer,1,1,0
Prozessphase,10,10,0
Pruefung,47,33,1
Pufferraum-Fassade,1,1,0
Pädagogisches Bauprojekt,1,1,0
Quellenkonflikt,3,3,0
Quellenkonflikt Kennwert,2,2,0
Quellenkonflikt-Kennwert,2,2,0
Quellenqualität,1,1,0
Quellenunsicherheit,1,1,0
Quellgebäude,1,1,0
ReUse-Interior,1,1,0
Reaktivierung,1,1,0
Receiver-Projekt,1,1,0
Reclaim-Manager / Materialbeschaffer,1,1,0
Refurbishing Plan,1,1,0
Regelwerks-Pilot,1,1,0
Remanufactured Reuse-Bauteil,1,1,0
Remanufacturing,1,1,0
Remontage,1,1,0
Reserve-/Ersatzteillager,1,1,0
Restlebensdauer-Erhalt,1,1,0
Restposten/Überschussprodukt,1,1,0
Retained-Structure-Anteil,1,1,0
Reuse vs. Recycling-Bilanz,1,1,0
Reuse-Beratung,1,1,0
Reuse-Fassade als Bauteilsystem,1,1,0
Reuse-Forschungsreihe,1,1,0
Reuse-Gewährleistung,1,1,0
Reuse-Inszenierung,1,1,0
Reuse-Kette,2,2,0
Reuse-Konformität,1,1,0
Reuse-Koordinator,1,1,0
Reuse-Lieferkette,1,1,0
Reuse-Los / Lot réemploi,1,1,0
Reuse-Nachweisgrad,1,1,0
Reuse-Pilotprojekt,1,1,0
Reuse-Protokoll,1,1,0
Reuse-Quote mit Quellenkonflikt,1,1,0
Reuse-Rate nach Gewicht/Volumen,1,1,0
Reuse-Roadmap,1,1,0
Reuse-Screen,1,1,0
Reuse-Stockholder,1,1,0
Reuse-Testbau,1,1,0
Reuse-Werkstatt auf Baustelle,1,1,0
Reuse-vs-Recycling-Abgrenzung,3,3,0
Reuse_Strategie,55,43,1
Reversible Verbindung,1,1,0
Risikobasierte Freigabe,1,1,0
Rohbaukostenvorteil,1,1,0
Same-site urban mining,1,1,0
Schadstoff,14,6,1
Self-Harvesting,1,1,0
Self-Reuse,1,1,0
Software/Datenmodell,1,1,0
Software/Tool,4,2,1
Sozial-zirkulärer Akteur,1,1,0
Sozialer Baustellenprozess,1,1,0
Spende/Weitergabe,1,1,0
Spendergebäude,7,7,0
Stockholder / Reuse-Lieferant,1,1,0
Suffizienz-Umbau,1,1,0
Surplus-/Restpostenmaterial,1,1,0
Surplus-Industriebauteil,1,1,0
Symbolische Reuse-Fassade,1,1,0
Temporäre Wiederaufbaubarkeit,1,1,0
Temporäre Wiederaufstellung,1,1,0
Temporärer Demonstrator,1,1,0
Temporärer Erstnutzer,1,1,0
Traceability,1,1,0
Tragwerksplaner,8,6,0
Tragwerkssystem,38,34,1
Translozierung,1,1,0
Umgekehrter Entwurfsprozess,1,1,0
Upcycled product stream,1,1,0
Upcycling-Produkt,1,1,0
Verbindung,21,20,0
Verpasste Reuse-Chance,1,1,0
Versetzte Hallenkonstruktion,1,1,0
Verworfenes Reuse-Bauteil,1,1,0
Vorabkauf / öffentlicher Direktkauf,1,1,0
Warnung Möbel,1,1,0
Waste-as-infill,1,1,0
Werkzeug,25,14,1
Wiederaufbau in gleicher Fügung,1,1,0
Wiederverwendungsgrad Rohbau,1,1,0
Wirtschaft,34,21,1
Worst-Case-Design,1,1,0
Zirkularitätsstrategie,1,1,0
Zulassungspfad / standortspezifische Genehmigung,1,1,0
akteure,9,8,0
Öffentliche Beschaffung / Procurement-Mechanik,1,1,0
