kritisch;Land;Von;Richtung;Nach;Dauer;Art;Beschreibung (gekürzt);haengt allein daran;Belegstärke;Belegzitat;Quelle;ID
KRITISCH;Niederlande;Dusseldorp;→;SUPERLOCAL Expogebouw;projektgebunden;Bauteillieferung;Lieferte Reuse-Bauteile für SUPERLOCAL Expogebouw.;Dusseldorp;belegt;Sloopbedrijf Dusseldorp is leverancier van de bouwmaterialen, die ze oogsten tijdens de sloop van de flat.;https://www.superlocal.eu/superlocal/expogebouw/;NL:K056
KRITISCH;Niederlande;Leiden University;→;BioPartner 5;projektgebunden;Bauteillieferung;Lieferte Reuse-Stahl für BioPartner 5.;Leiden University;belegt;The same beams have also been used for the circular construction of BioPartner 5 at the Leiden Bio Science Park.;https://www.universiteitleiden.nl/en/news/2020/11/gorlaeus-highrise-lives-on-in-two-new-buildings-in-leiden;NL:K019
KRITISCH;Niederlande;Rijkswaterstaat;→;Jeugdkliniek Ithaka;projektgebunden;Bauteillieferung;Lieferte Reuse-Bauteile für Jeugdkliniek Ithaka.;Rijkswaterstaat;belegt;Het kantoor van Rijkswaterstaat in Terneuzen...is afgebroken en zoveel mogelijk materialen zijn hergebruikt voor de nieuwbouw van deze kliniek.;https://www.burobas.nl/project/emergis-ithaka-circulariteit-duurzaamheid-healing-environment-ontwerp;NL:K029
KRITISCH;Schweiz;Lindner SE;→;UMAR Unit;projektgebunden;Bauteillieferung;Lieferte Reuse-Bauteile für UMAR Unit.;Lindner SE;belegt;Lindner realisierte dort speziell entwickelte Plafotherm® Heiz-/Kühldecken.;https://www.lindner-group.com/de/referenzen/nest-unit-umar;CH:K043
KRITISCH;Schweiz;Zirkular;→;ELYS Kultur- und Gewerbezentrum Basel;projektgebunden;Projektbeteiligung, Aufgabe unklar;"War am ELYS-Zentrum beteiligt; Aufgabe offen.";ELYS Kultur- und Gewerbezentrum Basel;belegt;They received a lot of attention and were the trigger for the foundation of Zirkular by the involved planners.;https://zirkular.net/en/project/culture-commercial-center-elys;CH:K007
KRITISCH;Vereinigtes Königreich;Cat Fletcher / Freegle;→;Brighton Waste House;projektgebunden;Projektbeteiligung, Aufgabe unklar;"War an Brighton Waste House beteiligt; Aufgabe offen.";Cat Fletcher / Freegle;belegt;in partnership with waste reusage expert Cat Fletcher and her Freegle organisation, Mears Group housing and social care provider, Greater Brighton Metropolitan College;https://www.unialliance.ac.uk/2021/10/24/brighton-waste-house/;GB:K027
KRITISCH;Vereinigtes Königreich;Four Bay Structures;→;House of Fraser;projektgebunden;Logistik;Übernahm die Reuse-Logistik für House of Fraser.;Four Bay Structures;belegt;Our supply chain partner, Four Bay Structures, took away, cleaned, tested, certified, prepared and then delivered all the reclaimed steel to site.;https://www.willmottdixon.co.uk/now-or-never/case-studies/tower-bridge-court-sets-standard-for-reuse-of-building-materials;GB:K057
KRITISCH;Vereinigtes Königreich;National Lottery Heritage Fund;→;Hastings Pier Visitor Centre;projektgebunden;Förderung;Förderte Hastings Pier Visitor Centre.;National Lottery Heritage Fund, Hastings Pier Visitor Centre;belegt;Funding: Heritage Lottery Fund (£11.4 million grant);http://drmmstudio.com/project/hastings-pier/;GB:K038
KRITISCH;Vereinigtes Königreich;UK CLT;→;CascadeUp;projektgebunden;Bauteillieferung;Lieferte Reuse-Holz für CascadeUp.;UK CLT;belegt;This pilot modular building uses glulamST for its structural frame, and CLST as wall and floor panels.;https://ukclt.com/;GB:K017
KRITISCH;Belgien;Embuild;—;Buildwise;unklar;Zusammenarbeit, Art unklar;Entwickelten das Tool Circulair Gebouwd gemeinsam.;Embuild;belegt;Embuild Vlaanderen en Buildwise hebben op 6 december ... de nieuwe tool 'Circulair Gebouwd' voorgesteld.;https://www.embuildvlaanderen.be/press-room/circulair-gebouwd/;BE:K072
KRITISCH;Belgien;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);—;Tracimat vzw;unklar;Zusammenarbeit, Art unklar;Kooperierten bei der Abbruchnachverfolgung.;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij), Tracimat vzw;—;Voor de sloopopvolging worden de standaarddocumenten van Tracimat gebruikt.;https://ovam.vlaanderen.be/bouw-sloopopvolging;BE:K086
KRITISCH;Frankreich;CANCAN Architecture;—;REFAIR Bordeaux;unklar;Zusammenarbeit, Art unklar;Begleitete CANCAN beim Reuse-Vorhaben.;CANCAN Architecture, REFAIR Bordeaux;—;REFAIR accompagne CANCAN Architecture sur le réemploi.;https://refair-bm.fr/le-reemploi-cest-la-base/;FR:K034
KRITISCH;Niederlande;ABN AMRO;—;Victory Group;unklar;Zusammenarbeit, Art unklar;Vereinbarten Verkauf und Rückmiete des Hauptsitzes.;Victory Group;belegt;ABN AMRO and Victory Group have announced that they have reached an agreement regarding the sale and leaseback of the bank's head office;https://victorygroup.com/news/victory-group-acquires-abn-amros-zuidas-head-office;NL:K067
;Belgien;Buildwise;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;befristeter Verbund;Konsortialpartner;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.;Vrije Universiteit Brussel (VUB) – Architectural Engineering;—;The work was performed by VITO, Buildwise, UHasselt and VUB.;https://researchportal.vub.be/en/publications/aanbevelingen-veranderingsgericht-verbouwen-eindrapportage-deelop;BE:K073
;Deutschland;Circular Structural Design;—;Concular;befristeter Verbund;Konsortialpartner;Entwickelten Matching-Algorithmen im Green-AI-Hub.;Circular Structural Design;belegt;Together with its partner Circular Structural Design from Berlin, matching algorithms are being developed within the AI pilot project;https://www.green-ai-hub.de/en/pilot-projects/pilotproject-concular;DE:K031
;Deutschland;Historische Bauelemente (Marwitz);—;Unternehmerverband Historische Baustoffe e.V. (UHB);befristeter Verbund;Konsortialpartner;Nimmt als Mitglied am UHB teil.;Historische Bauelemente (Marwitz);belegt;Historische Bauelemente - Olaf Elias e.K. ... Latest news about this member:;https://www.historische-baustoffe.de/en/the-dealers/list-of-dealers/elias/;DE:K048
;Deutschland;Historische Baustoffe Ostalb (Söhnstetten);—;Unternehmerverband Historische Baustoffe e.V. (UHB);befristeter Verbund;Konsortialpartner;Nimmt als Mitglied am UHB teil.;Historische Baustoffe Ostalb (Söhnstetten);belegt;Historische Baustoffe Ostalb ... Latest news about this member: ... Members from this region: Baden-Wuerttemberg;https://www.historische-baustoffe.de/en/the-dealers/list-of-dealers/hbostalb/;DE:K049
;Finnland;Consolis Parma;—;Tampereen kaupunki (City of Tampere);befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;;belegt;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.;https://recreate-project.eu/tag/precast-concrete;FI:K017
;Finnland;Consolis Parma;—;Peikko Finland;befristeter Verbund;Konsortialpartner;Erprobten demontierbare Betonverbindungen.;Peikko Finland;teilweise_belegt;We implemented a pilot project at the end of 2021...to prove that the connecting technology between load-bearing structures enables easy dismantling and reassembly.;https://www.peikko.com/blog/pilot-project-proves-that-the-dismount-and-reuse-of-concrete-elements-is-realistic-and-economical/;FI:K016
;Finnland;Consolis Parma;—;Ramboll Finland;befristeter Verbund;Konsortialpartner;Bestimmte die Aufarbeitung der Reuse-Bauteile.;;belegt;Consolis Parma used Ramboll's help determine suitable refurbishment measures;https://recreate-project.eu/tag/consolis-parma/;FI:K013
;Finnland;KIELO-Projektteam / Xamk;—;Mikkelin Kehitysyhtiö Miksei Oy;befristeter Verbund;Konsortialpartner;Tragen das KIELO-Projekt gemeinsam.;KIELO-Projektteam / Xamk;belegt;KIELO – Kiertotalousloikka rakennusmateriaalien uudelleenkäytön parantamiseksi Mikkelissä on Mikkelin kehitysyhtiö Miksei Oy:n ja Kaakkois-Suomen ammattikorkeakoulun yhteinen ryhmähanke.;https://mikseimikkeli.fi/hankkeet/kielo/;FI:K038
;Finnland;Ramboll Finland;—;Tampereen kaupunki (City of Tampere);befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;;belegt;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.;https://recreate-project.eu/tag/precast-concrete;FI:K024
;Finnland;ReCreate-Koordination / Faculty of Built Environment / Tampere University;—;SÄILÖ: Purusta säilöön ja kiertoon;befristeter Verbund;Konsortialpartner;Arbeiteten im SÄILÖ-Verbund zusammen.;;belegt;SÄILÖ-hanke toteutetaan yhteistyössä Oriveden kaupungin, Nokian kaupungin ja Tampereen yliopiston kanssa.;https://ekokumppanit.fi/hankkeet/sailo/;FI:K030
;Finnland;Skanska Finland;—;Tampereen kaupunki (City of Tampere);befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;;belegt;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.;https://recreate-project.eu/tag/precast-concrete;FI:K011
;Finnland;Skanska Finland;—;Consolis Parma;befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;;belegt;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.;https://recreate-project.eu/tag/precast-concrete;FI:K007
;Finnland;Skanska Finland;—;Ramboll Finland;befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;;belegt;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.;https://recreate-project.eu/tag/precast-concrete;FI:K009
;Frankreich;CSTB;—;Bellastock;befristeter Verbund;Konsortialpartner;Arbeiteten im FCRBE-Verbund zusammen.;Bellastock;belegt;Bellastock et le CSTB en France, Bruxelles-Environnement, Belgian Building Research Institute (BBRI) et la Confédération de la Construction en Belgique, la School of Architecture and Design de l'Université de Brighton et l'opérateur;https://lecho-circulaire.com/le-projet-fcrbe-facilite-le-reemploi-dans-la-construction/;FR:K035
;Frankreich;CSTB;—;Institut National de l'Économie Circulaire (INEC);befristeter Verbund;Konsortialpartner;Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;Institut National de l'Économie Circulaire (INEC);—;Le CSTB a rejoint le consortium ... avec l'Institut National de l'Économie Circulaire.;https://www.cstb.fr/toutes-les-actualites/economie-circulaire-batiment;FR:K038
;Frankreich;CSTB;—;Booster du Réemploi (A4MT);befristeter Verbund;Konsortialpartner;Arbeiteten im SPIROU-Verbund zusammen.;;belegt;le projet de recherche SPIROU (Sécuriser les Pratiques Innovantes de Réemploi via une Offre Unifiée) co-financé par l'ADEME, le CSTB et ses partenaires Mobius réemploi, le Booster du Réemploi / A4MT et Qualiconsult;https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi;FR:K039
;Frankreich;Mobius Réemploi;—;CSTB;befristeter Verbund;Konsortialpartner;Arbeiteten im SPIROU-Verbund zusammen.;Mobius Réemploi;belegt;le projet de recherche SPIROU (Sécuriser les Pratiques Innovantes de Réemploi via une Offre Unifiée) co-financé par l'ADEME, le CSTB et ses partenaires Mobius réemploi, le Booster du Réemploi / A4MT et Qualiconsult;https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi;FR:K033
;Norwegen;TOBB;—;Rehub;befristeter Verbund;Konsortialpartner;Arbeiteten im Vendom-Verbund zusammen.;Rehub;—;Partnere i Vendom: ... Rehub ... TOBB ...;https://tobb.no/itobb/tobb-med-i-vendom-veien-mot-en-sirkulaer-byggenaering/;NO:K021
;Schweden;Akademiska Hus;—;Handslag för cirkulärt byggande;befristeter Verbund;Konsortialpartner;Nimmt am Handslag teil.;;teilweise_belegt;Akademiska Hus;https://www.businessregiongoteborg.se/naringslivsutveckling/hallbar-utveckling/goteborgs-plattform-klimatneutralt-byggande/handslag-cirkulart-byggande;SE:K003
;Schweden;Akademiska Hus;—;Palats;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Palats;belegt;14 parter ingår i projektkonsortium: RISE, Akademiska Hus, Bjerking, Codesign, Förbo, Heidelberg Materials-Precast Contiga, KTH, Magnolia Bostad, NCC, Palats;https://www.akademiskahus.se/om-oss/aktuellt/Nyheter/2023/december/samverkan-for-aterbruk-av-lastbarande-konstruktionsdelar/;SE:K006
;Schweden;Akademiska Hus;—;Bjerking;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Bjerking;belegt;14 parter ingår i projektkonsortium: RISE, Akademiska Hus, Bjerking, Codesign, Förbo, Heidelberg Materials-Precast Contiga, KTH, Magnolia Bostad, NCC, Palats;https://www.akademiskahus.se/om-oss/aktuellt/Nyheter/2023/december/samverkan-for-aterbruk-av-lastbarande-konstruktionsdelar/;SE:K002
;Schweden;Akademiska Hus;—;Wiklunds Åkeri;befristeter Verbund;Konsortialpartner;Arbeiteten im KRETS-Verbund zusammen.;;belegt;Bland medlemmarna finns Vasakronan, Castellum, Wiklunds, Alecta Fastigheter, Akademiska Hus samt Uppsala klimatprotokoll;https://www.wiklunds.se/affarsomraden/cirkulart-byggande/;SE:K005
;Schweden;Anthesis;—;NCC;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Anthesis;belegt;Partners: NCC, RISE, Stockholms stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH;https://www.svenskbyggtidning.se/2021/04/27/aterhus-att-bygga-hus-av-hus/;SE:K007
;Schweden;Codesign Sweden AB;—;RISE (Research Institutes of Sweden);befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Codesign Sweden AB;belegt;Innovationsprojektet Återhus leds av Codesign i samarbete med NCC, RISE och Stockholms stad;https://www.mynewsdesk.com/se/codesign/pressreleases/aaterhus-att-bygga-hus-av-hus-faar-vidare-finansiering-fraan-vinnova-3092349;SE:K016
;Schweden;Contiga;—;Fabege;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;;belegt;Medverkar gör även Stockholm stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH.;https://branschaktuellt.se/byggindustrin/62133-stora-aktorer-i-samverkan-om-aterhus/;SE:K017
;Schweden;Contiga;—;Zengun;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;;—;Samverkansparter i projektet Återhus: ... Contiga ... Zengun.;https://www.fabege.se/om-fabege/pressrum/nyheter/2022/hallbarhetshuset/;SE:K018
;Schweden;Fabege;—;Reboost;befristeter Verbund;Konsortialpartner;Trat Reboost bei und übergab den eigenen Reuse-Hub.;;belegt;ansluter Fabege som ny medlem i Ragn-Sells Reboost;https://www.fabege.se/kunskap-och-inspiration/nyheter/2026/fabege-overlater-aterbrukshubb-till-ragn-sells-och-blir-medlem-i-reboost/;SE:K019
;Schweden;Handslag för cirkulärt byggande;—;Vasakronan;befristeter Verbund;Konsortialpartner;Nimmt am Handslag teil.;;belegt;Vasakronan blev Årets Återbrukare 2026 för att i snart ett decennium ha visat vägen mot cirkulärt byggande och drivit på branschens omställning.;https://www.businessregiongoteborg.se/naringslivsutveckling/hallbar-utveckling/goteborgs-plattform-klimatneutralt-byggande/handslag-cirkulart-byggande;SE:K022
;Schweden;Helsingborgshem;—;ReCreate Sweden / KTH Architecture, Technique and Theory;befristeter Verbund;Konsortialpartner;Arbeiteten im schwedischen ReCreate-Piloten zusammen.;;—;I den svenska piloten är Helsingborgshem huvudsaklig partner ... och KTH deltar.;https://www.kth.se/om/nyheter/centrala-nyheter/gammal-betong-far-nytt-liv-1.1077230;SE:K023
;Schweden;Helsingborgshem;—;Strängbetong;befristeter Verbund;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Strängbetong;belegt;I ReCreate ingår även Consoliskoncernen som tillverkar prefabricerad betong, i Sverige representerad av Consolis Strängbetong.;https://www.mynewsdesk.com/se/helsingborgshem/pressreleases/aaterbruk-av-prefabricerade-betongelement-i-nya-byggnader-stort-internationellt-projekt-ska-utveckla-nya-loesningar-3102159;SE:K024
;Schweden;NCC;—;RISE (Research Institutes of Sweden);befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;;belegt;Partners: NCC, RISE, Stockholms stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH;https://www.svenskbyggtidning.se/2021/04/27/aterhus-att-bygga-hus-av-hus/;SE:K033
;Schweden;ReCreate Sweden / KTH Architecture, Technique and Theory;—;NCC;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;;belegt;Partners: NCC, RISE, Stockholms stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH;https://www.svenskbyggtidning.se/2021/04/27/aterhus-att-bygga-hus-av-hus/;SE:K025
;Schweden;Serviceförvaltningen und Miljöförvaltningen / Stockholms stad;—;Vasakronan;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Serviceförvaltningen und Miljöförvaltningen / Stockholms stad;belegt;Medverkar gör även Stockholm stad, Vasakronan, Fabege, Atrium Ljungberg;https://branschaktuellt.se/byggindustrin/62133-stora-aktorer-i-samverkan-om-aterhus/;SE:K027
;Schweden;Svensk Betong;—;NCC;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;Svensk Betong;belegt;Partners: NCC, RISE, Stockholms stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH;https://www.svenskbyggtidning.se/2021/04/27/aterhus-att-bygga-hus-av-hus/;SE:K028
;Schweden;Vasakronan;—;Wiklunds Åkeri;befristeter Verbund;Konsortialpartner;Arbeiteten im KRETS-Verbund zusammen.;;belegt;Bland medlemmarna finns Vasakronan, Castellum, Wiklunds, Alecta Fastigheter, Akademiska Hus samt Uppsala klimatprotokoll;https://www.wiklunds.se/affarsomraden/cirkulart-byggande/;SE:K029
;Schweden;Zengun;—;NCC;befristeter Verbund;Konsortialpartner;Arbeiteten im Återhus-Verbund zusammen.;;belegt;Partners: NCC, RISE, Stockholms stad, Vasakronan, Fabege, Atrium Ljungberg, Contiga, Zengun, Anthesis, Svensk Betong, Ramboll och KTH;https://www.svenskbyggtidning.se/2021/04/27/aterhus-att-bygga-hus-av-hus/;SE:K030
;Schweiz;Institut Konstruktives Entwerfen (IKE) / ZHAW;—;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);befristeter Verbund;Konsortialpartner;Arbeiteten im Reuse-Leitfaden Stahl/Beton-Verbund zusammen.;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);belegt;Zwei Institute - INEB der FHNW und IKE der ZHAW - untersuchen im Rahmen eines Projekts die Wiederverwendung.;https://www.fhnw.ch/de/die-fhnw/hochschulen/architektur-bau-geomatik/institute/ineb/ineb-forschung/ressourceneffizientes-und-zirkulaeres-bauen/leitfaden-reuse-stahl-und-stahlbetonbauteilen;CH:K044
;Österreich;BauKarussell;—;Job-TransFair gemeinnützige GmbH;befristeter Verbund;Konsortialpartner;Nimmt an der BauKarussell-Genossenschaft teil.;;belegt;Geschaeftsfuehrer Job-TransFair GmbH ... weil wir dadurch die Chance sehen, unseren Transitarbeitskraeften sehr gute Chancen ... zu eroeffnen.;https://www.baukarussell.at/genossenschaft/;AT:K013
;Österreich;BauKarussell;—;pulswerk GmbH;befristeter Verbund;Konsortialpartner;Nimmt an der BauKarussell-Genossenschaft teil.;;belegt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;AT:K014
;Belgien;Brussels Environment;→;Opalis;dauerhaft;Trägerschaft;Unterstützte die Entwicklung von Opalis.;Brussels Environment, Opalis;—;Opalis was developed with the support of Brussels Environment.;https://opalis.eu/en/about;BE:K046
;Belgien;Rotor;→;RotorDC;dauerhaft;Gründung;Gründete RotorDC als Spin-off.;;belegt;Please check our spin-off RotorDC's website.;https://rotordb.org/en/projects/oxy-centre-monnaie;BE:K043
;Belgien;Stadt Kassel;→;BauMaB Kassel / Bauteilbörse Kassel;dauerhaft;Trägerschaft;Initiierte BauMaB in der Kasseler Klimastrategie.;Stadt Kassel, BauMaB Kassel / Bauteilbörse Kassel;—;Das Projekt wurde im Rahmen der Klimaschutzstrategie der Stadt Kassel initiiert.;https://baumab-kassel.de/konzept/;BE:K075
;Deutschland;Concular;→;München Bauteilbörse (CirCoFin pilot);dauerhaft;Betreiberschaft;Entwickelt die Bauteilbörse München mit.;München Bauteilbörse (CirCoFin pilot);belegt;Im Rahmen des europäischen CIRCOFIN-Projekts entwickelt Concular gemeinsam mit der Stadt München eine digitale und physische Bauteilbörse.;https://concular.de/regionale-knotenpunkte-fuer-ganz-deutschland/;DE:K036
;Deutschland;Concular;—;ALBA Berlin;dauerhaft;Kooperationsvereinbarung;Betreiben den Urban Mining Hub Berlin gemeinsam.;ALBA Berlin;belegt;ALBA Berlin versteht sich in diesem Projekt als einer dieser starken Partner, der neben der benötigten Fläche auch effektive Logistikdienstleistungen anbietet.;https://www.alba.info/unternehmen/newsroom/pressemitteilungen/detail/urban-mining-hub-berlin-gekommen-um-zu-bleiben/;DE:K035
;Deutschland;Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal;→;Urban Mining Index;dauerhaft;Trägerschaft;Entwickelte den Urban Mining Index zur Software.;Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal, Urban Mining Index;belegt;"Die Bergische Universität Wuppertal hat den „UMI"" zu einer anwenderfreundlichen Software weiterentwickelt und im Urban Solar Decathlon 2021 eingesetzt.";https://urban-mining-index.de/initiative/;DE:K034
;Deutschland;Professur Nachhaltiges Bauen / KIT;—;Baukreisel e.V.;dauerhaft;Kooperationsvereinbarung;Starteten einen Ausbau-Stegreif am KIT.;Professur Nachhaltiges Bauen / KIT, Baukreisel e.V.;teilweise_belegt;Als freies Kollektiv für zirkuläres Bauen ruft der Baukreisel gemeinsam mit dem Lehrstuhl für Nachhaltiges Bauen am KIT einen Ausbau Stegreif aus.;https://nb.ieb.kit.edu/index.php/ausbau-stegreif-konrad-kocher-schule-kitzingen/;DE:K033
;Dänemark;Circue;—;GreenDozer ApS;dauerhaft;Kooperationsvereinbarung;Verknüpften GreenDozer-Materialien mit Revit.;Circue;belegt;Den digitale materialebørs gør det muligt at eksportere genbrugsmaterialer fra markedspladser som Genbyg, J Jensen og Greendozer ind i Revit;https://www.strateginetvaerket.dk/case-circue-digital-platform-baner-vejen-for-cirkulaert-byggeri-og-baeredygtig-transformation/;DK:K024
;Dänemark;Kingo (Kingo Karlsen A/S);→;GreenDozer ApS;dauerhaft;Konzernbindung;Investierte in GreenDozer.;Kingo (Kingo Karlsen A/S);belegt;Senest har tre store nedrivningsvirksomheder, P. Olesen, Kingo og Tscherning, investeret i virksomheden;https://greendozer.com/nyt-samarbejde-fremmer-genbrug-af-byggematerialer;DK:K030
;Dänemark;P. Olesen / PO Genbrug;→;GreenDozer ApS;dauerhaft;Konzernbindung;Investierte in GreenDozer.;P. Olesen / PO Genbrug;belegt;Senest har tre store nedrivningsvirksomheder, P. Olesen, Kingo og Tscherning, investeret i virksomheden;https://greendozer.com/nyt-samarbejde-fremmer-genbrug-af-byggematerialer;DK:K031
;Finnland;Ekokumppanit (Kiertotalous Pirkanmaa);→;SÄILÖ: Purusta säilöön ja kiertoon;dauerhaft;Trägerschaft;Trägt das SÄILÖ-Projekt federführend.;Ekokumppanit (Kiertotalous Pirkanmaa);belegt;Hankkeen päätoteuttajana toimii Ekokumppanien operoima Kiertotalous Pirkanmaa;https://ekokumppanit.fi/hankkeet/sailo/;FI:K036
