Land;Von;Richtung;Nach;Neuer Text;Art;sichtbar;entfernt;bisher (nur wenn keine Schablone)
Belgien;Opalis;—;Antique Fireplaces First;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Authentieke Bouwmaterialen Storms nv;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Bois Antique;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;De Oude Dakpan;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Eeuwenhout Antoine Verhofstede;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Gunter Bosmans;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Het arduinen hoekje;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Heyns Recycling;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Hofman NV - SA;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Jef Stone;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Joris Van Apers;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Kasseien Kindt;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Kempische Bouwmaterialen;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Labeur Atelier - Labeur;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;MVV Afbraakwerken Martin;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Stadshout.be;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Van Dijck;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Van Huele;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Antiek Anresto;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Composil;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;De Groene Poort;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Doehetzelf 2dehands bouwmarkt;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Fryns-Boret;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Houtenplaten;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Opalis;—;Recupan bvba;Sind nur gemeinsam im Opalis-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Belgien;Brussels Environment;→;BAMB (Buildings as Material Banks);Koordinierte das BAMB-Programm.;Trägerschaft;;;
Belgien;BAMB (Buildings as Material Banks);—;Sarajevo Green Design Foundation;Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;Sundahus;Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;Technische Universität München (TUM);Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;Universidade do Minho (UMinho);Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;University of Twente;Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;Vlaamse Instelling voor Technologisch Onderzoek (VITO);Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;BAMB (Buildings as Material Banks);—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Arbeiteten im BAMB-Verbund zusammen.;Konsortialpartner;;;
Belgien;CCRI Pilot Flanders;—;TWG Circular Construction and Buildings (CCRI);Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Belgien;CCRI Pilot Uppsala;—;TWG Circular Construction and Buildings (CCRI);Arbeiteten im CCRI-Verbund zusammen.;Konsortialpartner;;;
Belgien;Groep Van Roey;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Arbeiteten im Circular Retrofit Lab zusammen.;Konsortialpartner;;;
Deutschland;Abfallwirtschaftsbetriebe Münster;→;AWM Münster – zirkulärer…;Beauftragte den zirkulären AWM-Büroumbau.;Bauherrschaft;ja;;
Deutschland;Berlin-Schildow Pilot;←;Claus Asam;Prüfte Reuse-Bauteile für Berlin-Schildow Pilot.;Prüfung und Nachweis;ja;;
Deutschland;Claus Asam;→;Mehrow Pilot House;"War an Mehrow Pilot House beteiligt; Aufgabe offen.";Projektbeteiligung, Aufgabe unklar;ja;;
Deutschland;CRCLR House;←;LXSY Architektur;Entwarf CRCLR House.;Entwurf;ja;;
Deutschland;ZRS Ingenieure;→;Impact Hub Berlin;Plante das Tragwerk für Impact Hub Berlin.;Fachplanung;ja;;
Deutschland;Impact Hub Berlin;←;Die Zusammenarbeiter;Entwarf Impact Hub Berlin.;Entwurf;ja;;
Deutschland;Impact Hub Berlin;←;LXSY Architektur;Entwarf Impact Hub Berlin.;Entwurf;ja;;
Deutschland;Plattenpalast Berlin;←;Wiewiorra Hopp Architekten;Entwarf Plattenpalast Berlin.;Entwurf;ja;;
Deutschland;Plattenvereinigung Berlin;←;TU Berlin Fachgebiet Bauphysik und Baukonstruktionen;Begleitete Plattenvereinigung Berlin wissenschaftlich.;Forschungsbegleitung;ja;;
Deutschland;Plattenvereinigung Berlin;←;Deutsche Bundesstiftung Umwelt (DBU);Förderte Plattenvereinigung Berlin.;Förderung;ja;;
Deutschland;Plattenvereinigung Berlin;←;Bundeszentrale für politische Bildung (bpb);Förderte Plattenvereinigung Berlin.;Förderung;ja;;
Deutschland;Recyclinghaus Hannover;←;Gundlach GmbH & Co. KG Wohnungsunternehmen;Verantwortete Recyclinghaus Hannover als Bauherrschaft.;Bauherrschaft;ja;;
Deutschland;Recyclinghaus Hannover;←;H2A;Plante das Tragwerk für Recyclinghaus Hannover.;Fachplanung;ja;;
Deutschland;Recyclinghaus Hannover;←;CITYFÖRSTER;Entwarf Recyclinghaus Hannover.;Entwurf;ja;;
Deutschland;Jugendtreff Ingersheim;←;Gemeinde Ingersheim;Verantwortete Jugendtreff Ingersheim als Bauherrschaft.;Bauherrschaft;ja;;Die Gemeinde Ingersheim war Bauherrin des Jugendtreffs.
Deutschland;AWM Münster – zirkulärer…;←;Urselmann Interior;Führte den Innenausbau beim AWM-Büroumbau aus.;Bauausführung;ja;;
Deutschland;AWM Münster – zirkulärer…;←;Petra Jablonická;Entwarf den zirkulären AWM-Büroumbau.;Entwurf;ja;;
Deutschland;AWM Münster – zirkulärer…;←;Concular;Beschaffte Reuse-Material für den AWM-Büroumbau.;Reuse-Konzept;ja;;
Deutschland;Circular Structural Design;—;Concular;Entwickelten Matching-Algorithmen im Green-AI-Hub.;Konsortialpartner;ja;;Beide entwickeln ein KI-Pilotprojekt im Green-AI Hub Mittelstand.
Deutschland;KIT;—;Baukreisel e.V.;Starteten einen Ausbau-Stegreif am KIT.;Kooperationsvereinbarung;ja;;
Deutschland;Urban Mining Index;←;Universität Wuppertal;Entwickelte den Urban Mining Index zur Software.;Trägerschaft;ja;;
Deutschland;Concular;—;ALBA Berlin;Betreiben den Urban Mining Hub Berlin gemeinsam.;Kooperationsvereinbarung;ja;;
Deutschland;Concular;→;München Bauteilbörse (CirCoFin pilot);Entwickelt die Bauteilbörse München mit.;Betreiberschaft;ja;;
Deutschland;Historische Bauelemente (Marwitz);→;Unternehmerverband Historische Baustoffe e.V. (UHB);Nimmt als Mitglied am UHB teil.;Mitgliedschaft;ja;;
Deutschland;Historische Baustoffe Ostalb (Söhnstetten);→;Unternehmerverband Historische Baustoffe e.V. (UHB);Nimmt als Mitglied am UHB teil.;Mitgliedschaft;ja;;
Deutschland;Berlin-Schildow Pilot;←;IEMB / TU Berlin;Prüfte Reuse-Bauteile für Berlin-Schildow Pilot.;Prüfung und Nachweis;;;
Deutschland;Berlin-Schildow Pilot;←;Architekturbüro Conclus;Übernahm die Fachplanung für Berlin-Schildow Pilot.;Fachplanung;;;
Deutschland;IEMB / TU Berlin;→;Plattenpalast Berlin;Begleitete Plattenpalast Berlin wissenschaftlich.;Forschungsbegleitung;;;
Deutschland;CRCLR House;←;Solares Bauen;Übernahm die Fachplanung für CRCLR House.;Fachplanung;;;
Deutschland;CRCLR House;←;eZeit;Plante das Tragwerk für CRCLR House.;Fachplanung;;;
Deutschland;Haus HOS;—;Seidl + Seidl Architekten;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Deutschland;Impact Hub Berlin;←;Impact Hub Berlin;Betreibt Impact Hub Berlin.;Betrieb;;;
Deutschland;Impact Hub Berlin;←;TRNSFRM eG;Betreibt Impact Hub Berlin.;Betrieb;;;
Deutschland;Plattenvereinigung Berlin;←;zukunftsgeraeusche GbR;Betreibt Plattenvereinigung Berlin.;Betrieb;;;
Deutschland;Recyclinghaus Hannover;←;DREWES + SPETH Beratende Ingenieure;Plante das Tragwerk für Recyclinghaus Hannover.;Fachplanung;;;
Deutschland;AWM Münster – zirkulärer…;←;Sven Urselmann;Führte den Innenausbau beim AWM-Büroumbau aus.;Bauausführung;;;
Deutschland;BTU Cottbus;—;ReCreate project consortium;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;;;
Deutschland;KIT;—;Urban Mining Index;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Deutschland;Bauteilbörse Bremen;—;bauteilnetz Deutschland;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse augsburg;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;Bauteilbörse Berlin-Brandenburg (Fläming Antik / Brita Marx);Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse giessen;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse herzogenrath;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse köln;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse nordhausen;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse oldenburg;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;bauteilbörse weißenburg;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;gabb-GebrauchtBauMarkt Saarbrücken;Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Deutschland;bauteilnetz Deutschland;—;Bauteilbörse Bremerhaven (Förderwerk Bremerhaven);Sind nur gemeinsam im bauteilnetz-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Resource Rows;←;Lendager;Entwarf Resource Rows.;Entwurf;ja;;
Dänemark;Svanen;←;Tscherning;Führte den Rückbau von Svanen aus.;Rückbau;ja;;
Dänemark;Svanen;←;Lendager;Entwarf Svanen.;Entwurf;ja;;
Dänemark;Tscherning;—;GreenDozer ApS;Vertieften ihre Zusammenarbeit bei GreenDozer.;Zusammenarbeit, Art unklar;ja;;Tscherning und GreenDozer stärkten ihre Zusammenarbeit.
Dänemark;Thoravej 29 Copenhagen;←;DTU;Prüfte Reuse-Bauteile für Thoravej 29 Copenhagen.;Prüfung und Nachweis;ja;;
Dänemark;TRÆ High-Rise;←;a:gain;Lieferte Reuse-Bauteile für TRÆ High-Rise.;Bauteillieferung;ja;;a:gain lieferte wiederverwendete Produkte für TRÆ.
Dänemark;TRÆ High-Rise;←;DOVISTA / KRONE;Lieferte Reuse-Bauteile für TRÆ High-Rise.;Bauteillieferung;ja;;
Dänemark;TRÆ High-Rise;←;Artelia;Plante das Tragwerk für TRÆ High-Rise.;Fachplanung;ja;;Artelia übernahm Ingenieurleistungen für TRÆ.
Dänemark;TRÆ High-Rise;←;Lendager;Entwarf TRÆ High-Rise.;Entwurf;ja;;
Dänemark;a:gain;→;Upcycle Studios Copenhag…;Lieferte einen Viddø-Fensterprototyp für Upcycle Studios.;Bauteillieferung;ja;;
Dänemark;Circue;—;GreenDozer ApS;Verknüpften GreenDozer-Materialien mit Revit.;Kooperationsvereinbarung;ja;;
Dänemark;GreenDozer ApS;←;Kingo (Kingo Karlsen A/S);Investierte in GreenDozer.;Konzernbindung;ja;;
Dänemark;GreenDozer ApS;←;P. Olesen / PO Genbrug;Investierte in GreenDozer.;Konzernbindung;ja;;
Dänemark;Svanen;←;Gladsaxe Kommune / Gladsaxe Municipality;Verantwortete Svanen als Bauherrschaft.;Bauherrschaft;;;
Dänemark;Svanen;←;Sweco / Sweco Architects;Führte die Bauarbeiten an Svanen aus.;Bauausführung;;;
Dänemark;Svanen;←;NIRAS;Übernahm die Fachplanung für Svanen.;Fachplanung;;;
Dänemark;Svanen;←;Ason A/S;Führte die Bauarbeiten an Svanen aus.;Bauausführung;;;
Dänemark;Svanen;—;Aksel V. Jensen A/S;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Dänemark;Gladsaxe Kommune / Gladsaxe Municipality;—;Aarhus Kommune;Arbeiteten im BygCirkulært-Verbund zusammen.;Konsortialpartner;;;
Dänemark;Thoravej 29 Copenhagen;←;Hoffmann A/S;Führte die Bauarbeiten an Thoravej 29 Copenhagen aus.;Bauausführung;;;
Dänemark;TRÆ High-Rise;←;Kilden & Hindby;Verantwortete TRÆ High-Rise als Bauherrschaft.;Bauherrschaft;;;
Dänemark;TRÆ High-Rise;←;PFA Ejendomme;Verantwortete TRÆ High-Rise als Bauherrschaft.;Bauherrschaft;;;
Dänemark;Upcycle Studios Copenhag…;←;NREP;Verantwortete Upcycle Studios Copenhagen als Bauherrschaft.;Bauherrschaft;;;
Dänemark;Upcycle Studios Copenhag…;←;AG Gruppen;Arbeitete Reuse-Bauteile für Upcycle Studios Copenhagen auf.;Aufarbeitung;;;
Dänemark;Upcycle Studios Copenhag…;←;MOE;Arbeitete Reuse-Bauteile für Upcycle Studios Copenhagen auf.;Aufarbeitung;;;
Dänemark;GXN;←;3XN;Führt GXN als Forschungsabteilung von 3XN.;Konzernbindung;;;GXN ist die Forschungs- und Entwicklungsabteilung von 3XN.
Dänemark;Realdania;→;Hverringe Centrum for Restaurering;Förderte das Hverringe Restaurierungszentrum.;Trägerschaft;;;
Dänemark;Bærebyg;—;Bolius genbrugsmaterialer directory;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bango A/S;—;Bolius genbrugsmaterialer directory;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Dem fra Nordlunde;—;Bolius genbrugsmaterialer directory;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Den Grønne Genbrugshal;—;Bolius genbrugsmaterialer directory;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;J. Jensen A/S;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;jk-genbrug;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;KC Nedbrydning A/S;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Klassiske Vinduer;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Nedrivningsselskabet Falster;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;PlusByg;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Råt&Godt;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Røde Kors Byggegenbrug;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Sanderum-Otterup Murerforretning;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Skave Nedbrydning;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Dänemark;Bolius genbrugsmaterialer directory;—;Sydhavn Genbrugscenter;Sind nur gemeinsam im Bolius-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Finnland;Härmälänranta;←;A-Kruunu;Verantwortete Härmälänranta als Bauherrschaft.;Bauherrschaft;ja;;
Finnland;Härmälänranta;←;Skanska Finland;Führte die Bauarbeiten an Härmälänranta aus.;Bauausführung;ja;;
Finnland;Härmälänranta;←;Consolis Parma;Arbeitete Reuse-Bauteile für Härmälänranta auf.;Aufarbeitung;ja;;
Finnland;Härmälänranta;←;Ramboll Finland;Plante das Tragwerk für Härmälänranta.;Fachplanung;ja;;
Finnland;Skanska Finland;—;Consolis Parma;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Skanska Finland und Consolis Parma gehörten zum ReCreate-Konsortium.
Finnland;Skanska Finland;—;Ramboll Finland;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Skanska Finland und Ramboll Finland gehörten zum ReCreate-Konsortium.
Finnland;Skanska Finland;→;Lokomotion Technology…;Führte die Bauarbeiten an Lokomotion-Reuse-Pilot aus.;Bauausführung;ja;;
Finnland;Skanska Finland;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Skanska Finland und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
Finnland;Consolis Parma;←;Ramboll Finland;Bestimmte die Aufarbeitung der Reuse-Bauteile.;Dienstleistungsbeziehung;ja;;Consolis Parma und Ramboll Finland gehörten zum ReCreate-Konsortium.
Finnland;Consolis Parma;→;Lokomotion Technology…;Arbeitete Reuse-Bauteile für Lokomotion-Reuse-Pilot auf.;Aufarbeitung;ja;;
Finnland;Consolis Parma;→;Melkinlaituri Primary…;Arbeitete Reuse-Bauteile für Melkinlaituri-Schule auf.;Aufarbeitung;ja;;
Finnland;Consolis Parma;—;Peikko Finland;Erprobten demontierbare Betonverbindungen.;Konsortialpartner;ja;;Beide waren am selben Betonelement-Demontage-Pilotprojekt beteiligt.
Finnland;Consolis Parma;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Consolis Parma und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
Finnland;Ramboll Finland;→;Lokomotion Technology…;Übernahm die Fachplanung für Lokomotion-Reuse-Pilot.;Fachplanung;ja;;
Finnland;Ramboll Finland;→;Melkinlaituri Primary…;Prüfte Reuse-Bauteile für Melkinlaituri-Schule.;Prüfung und Nachweis;ja;;
Finnland;Ramboll Finland;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Ramboll Finland und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
