Land;Von;Richtung;Nach;Text;sichtbar;vorher
Belgien;Chiro d’Itterbeek;←;Commune de Dilbeek;Bauherrschaft.;;Verantwortete Chiro d’Itterbeek als Bauherrschaft.
Belgien;Chiro d’Itterbeek;←;CC Autrement;Bauausführung.;;Führte die Bauarbeiten an Chiro d’Itterbeek aus.
Belgien;Lo-Reninge Town Hall…;←;noAarchitecten;Entwurf.;;Entwarf Lo-Reninge Town Hall.
Belgien;Lo-Reninge Town Hall…;←;Lo-Reninge town council;Bauherrschaft.;;Verantwortete Lo-Reninge Town Hall als Bauherrschaft.
Belgien;Lo-Reninge Town Hall…;←;Dexia;Bauherrschaft.;;Verantwortete Lo-Reninge Town Hall als Bauherrschaft.
Belgien;Maison Vignette;←;Karbon’ architecture & urbanisme;Entwurf.;;Entwarf Maison Vignette.
Belgien;Maison Vignette;←;BESP Stoffel & Partners / Pierre Stoffel;Fachplanung.;;Übernahm die Fachplanung für Maison Vignette.
Belgien;Multi Brussels;←;Whitewood;Bauherrschaft.;;Verantwortete Multi Brussels als Bauherrschaft.
Belgien;Multi Brussels;←;Cordeel;Bauausführung.;;Führte die Bauarbeiten an Multi Brussels aus.
Belgien;Multi Brussels;←;CONIX RDBM;Entwurf.;;Entwarf Multi Brussels.
Belgien;Multi Brussels;←;Rotor;Fachplanung.;;Übernahm die Fachplanung für Multi Brussels.
Belgien;Multi Brussels;←;RotorDC;Lieferte Reuse-Bauteile.;;Lieferte Reuse-Bauteile für Multi Brussels.
Belgien;Whitewood;→;OXY Centre Monnaie;Bauherrschaft.;;Verantwortete OXY Centre Monnaie als Bauherrschaft.
Belgien;Immobel;→;OXY Centre Monnaie;Bauherrschaft.;;Verantwortete OXY Centre Monnaie als Bauherrschaft.
Belgien;Musée de Folklore Vie…;←;Ville de Mouscron;Beauftragung.;;Beauftragte das Musée du Folklore de Mouscron.
Belgien;Musée de Folklore Vie…;←;Greisch;Tragwerksplanung.;;Plante das Tragwerk für Musée du Folklore de Mouscron.
Belgien;Musée de Folklore Vie…;←;Taktyk;Fachplanung.;;Übernahm die Fachplanung für Musée du Folklore de Mouscron.
Belgien;Greisch;→;Recypark Demets;Fachplanung.;;Übernahm die Fachplanung für Recypark Demets.
Belgien;OXY Centre Monnaie;←;Rotor;Fachplanung.;;Übernahm die Fachplanung für OXY Centre Monnaie.
Belgien;OXY Centre Monnaie;←;RotorDC;Aufarbeitung der Reuse-Bauteile.;;Arbeitete Reuse-Bauteile für OXY Centre Monnaie auf.
Belgien;Verbiest + Karreveld;←;AgwA;Entwurf.;;Entwarf Verbiest + Karreveld.
Belgien;Verbiest + Karreveld;←;Evelia Macal;Entwurf.;;Entwarf Verbiest + Karreveld.
Belgien;Verbiest + Karreveld;←;JZH & Partners;Tragwerksplanung.;;Plante das Tragwerk für Verbiest + Karreveld.
Belgien;Verbiest + Karreveld;←;Kahle Acoustics;Fachplanung.;;Übernahm die Fachplanung für Verbiest + Karreveld.
Belgien;Verbiest + Karreveld;←;Denis Dujardin;Fachplanung.;;Übernahm die Fachplanung für Verbiest + Karreveld.
Belgien;Verbiest + Karreveld;←;Pouvoir Organisateur Pluriel / POP;Bauherrschaft.;;Verantwortete Verbiest + Karreveld als Bauherrschaft.
Belgien;Zinneke;←;Matriciel;Fachplanung.;;Übernahm die Fachplanung für Zinneke.
Belgien;Zinneke;←;De Coninck;Bauausführung.;;Führte die Bauarbeiten an Zinneke aus.
Belgien;Zinneke;←;Brudex;Bauausführung.;;Führte die Bauarbeiten an Zinneke aus.
Belgien;Rotor;—;CCRI Pilot Flanders;Tauschten bei einem Besuch Reuse-Wissen aus.;;Tauschten bei einem Rotor-Besuch Reuse-Wissen aus.
Belgien;Rotor;→;CCRI Pilot Uppsala;Beriet zu Reuse.;;Beriet den CCRI-Piloten Uppsala zu Reuse.
Belgien;Brussels Environment;→;BAMB (Buildings as Material Banks);Koordination.;;Koordinierte das BAMB-Programm.
Belgien;BAMB (Buildings as Material Banks);—;Sarajevo Green Design Foundation;Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;Sundahus;Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;Technische Universität München (TUM);Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;Universidade do Minho (UMinho);Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;University of Twente;Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;Vlaamse Instelling voor Technologisch Onderzoek (VITO);Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;BAMB (Buildings as Material Banks);—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Verbundpartnerschaft.;;Arbeiteten im BAMB-Verbund zusammen.
Belgien;CCRI Pilot Uppsala;—;TWG Circular Construction and Buildings (CCRI);Verbundpartnerschaft.;;Arbeiteten im CCRI-Verbund zusammen.
Belgien;Groep Van Roey;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Arbeiteten im Circular Retrofit Lab zusammen.;;Arbeiteten im Circular Retrofit Lab zusammen.
Deutschland;Abfallwirtschaftsbetriebe Münster;→;AWM Münster – zirkulärer…;Beauftragte zirkulären AWM-Büroumbau.;ja;Beauftragte den zirkulären AWM-Büroumbau.
Deutschland;Berlin-Schildow Pilot;←;Claus Asam;Prüfung der Reuse-Bauteile.;ja;Prüfte Reuse-Bauteile für Berlin-Schildow Pilot.
Deutschland;Claus Asam;→;Mehrow Pilot House;"Beteiligung; genaue Rolle noch offen.";ja;"War an Mehrow Pilot House beteiligt; Aufgabe offen."
Deutschland;CRCLR House;←;LXSY Architektur;Entwurf.;ja;Entwarf CRCLR House.
Deutschland;ZRS Ingenieure;→;Impact Hub Berlin;Tragwerksplanung.;ja;Plante das Tragwerk für Impact Hub Berlin.
Deutschland;Impact Hub Berlin;←;Die Zusammenarbeiter;Entwurf.;ja;Entwarf Impact Hub Berlin.
Deutschland;Impact Hub Berlin;←;LXSY Architektur;Entwurf.;ja;Entwarf Impact Hub Berlin.
Deutschland;Plattenpalast Berlin;←;Wiewiorra Hopp Architekten;Entwurf.;ja;Entwarf Plattenpalast Berlin.
Deutschland;Plattenvereinigung Berlin;←;TU Berlin Fachgebiet Bauphysik und Baukonstruktionen;Forschungsbegleitung.;ja;Begleitete Plattenvereinigung Berlin wissenschaftlich.
Deutschland;Plattenvereinigung Berlin;←;Deutsche Bundesstiftung Umwelt (DBU);Förderung.;ja;Förderte Plattenvereinigung Berlin.
Deutschland;Plattenvereinigung Berlin;←;Bundeszentrale für politische Bildung (bpb);Förderung.;ja;Förderte Plattenvereinigung Berlin.
Deutschland;Recyclinghaus Hannover;←;Gundlach GmbH & Co. KG Wohnungsunternehmen;Bauherrschaft.;ja;Verantwortete Recyclinghaus Hannover als Bauherrschaft.
Deutschland;Recyclinghaus Hannover;←;H2A;Tragwerksplanung.;ja;Plante das Tragwerk für Recyclinghaus Hannover.
Deutschland;Recyclinghaus Hannover;←;CITYFÖRSTER;Entwurf.;ja;Entwarf Recyclinghaus Hannover.
Deutschland;Jugendtreff Ingersheim;←;Gemeinde Ingersheim;Bauherrschaft.;ja;Verantwortete Jugendtreff Ingersheim als Bauherrschaft.
Deutschland;AWM Münster – zirkulärer…;←;Urselmann Interior;Führte Innenausbau beim AWM-Büroumbau aus.;ja;Führte den Innenausbau beim AWM-Büroumbau aus.
Deutschland;AWM Münster – zirkulärer…;←;Petra Jablonická;Entwarf zirkulären AWM-Büroumbau.;ja;Entwarf den zirkulären AWM-Büroumbau.
Deutschland;AWM Münster – zirkulärer…;←;Concular;Beschaffte Reuse-Material für AWM-Büroumbau.;ja;Beschaffte Reuse-Material für den AWM-Büroumbau.
Deutschland;Circular Structural Design;—;Concular;Entwickelten Matching-Algorithmen im Green-AI-Hub.;ja;Entwickelten Matching-Algorithmen im Green-AI-Hub.
Deutschland;KIT;—;Baukreisel e.V.;Starteten einen Ausbau-Stegreif am KIT.;ja;Starteten einen Ausbau-Stegreif am KIT.
Deutschland;Urban Mining Index;←;Universität Wuppertal;Entwickelte zur Software.;ja;Entwickelte den Urban Mining Index zur Software.
Deutschland;Concular;—;ALBA Berlin;Betreiben Urban Mining Hub gemeinsam.;ja;Betreiben den Urban Mining Hub Berlin gemeinsam.
Deutschland;Concular;→;München Bauteilbörse (CirCoFin pilot);Mitentwicklung der Bauteilbörse.;ja;Entwickelt die Bauteilbörse München mit.
Deutschland;Historische Bauelemente (Marwitz);→;Unternehmerverband Historische Baustoffe e.V. (UHB);Nimmt als Mitglied am UHB teil.;ja;Nimmt als Mitglied am UHB teil.
Deutschland;Historische Baustoffe Ostalb (Söhnstetten);→;Unternehmerverband Historische Baustoffe e.V. (UHB);Nimmt als Mitglied am UHB teil.;ja;Nimmt als Mitglied am UHB teil.
Deutschland;Berlin-Schildow Pilot;←;IEMB / TU Berlin;Prüfung der Reuse-Bauteile.;;Prüfte Reuse-Bauteile für Berlin-Schildow Pilot.
Deutschland;Berlin-Schildow Pilot;←;Architekturbüro Conclus;Fachplanung.;;Übernahm die Fachplanung für Berlin-Schildow Pilot.
Deutschland;IEMB / TU Berlin;→;Plattenpalast Berlin;Forschungsbegleitung.;;Begleitete Plattenpalast Berlin wissenschaftlich.
Deutschland;CRCLR House;←;Solares Bauen;Fachplanung.;;Übernahm die Fachplanung für CRCLR House.
Deutschland;CRCLR House;←;eZeit;Tragwerksplanung.;;Plante das Tragwerk für CRCLR House.
Deutschland;Impact Hub Berlin;←;Impact Hub Berlin;Betrieb.;;Betreibt Impact Hub Berlin.
Deutschland;Impact Hub Berlin;←;TRNSFRM eG;Betrieb.;;Betreibt Impact Hub Berlin.
Deutschland;Plattenvereinigung Berlin;←;zukunftsgeraeusche GbR;Betrieb.;;Betreibt Plattenvereinigung Berlin.
Deutschland;Recyclinghaus Hannover;←;DREWES + SPETH Beratende Ingenieure;Tragwerksplanung.;;Plante das Tragwerk für Recyclinghaus Hannover.
Deutschland;AWM Münster – zirkulärer…;←;Sven Urselmann;Führte Innenausbau beim AWM-Büroumbau aus.;;Führte den Innenausbau beim AWM-Büroumbau aus.
Deutschland;BTU Cottbus;—;ReCreate project consortium;Verbundpartnerschaft.;;Arbeiteten im ReCreate-Verbund zusammen.
Dänemark;Resource Rows;←;Lendager;Entwurf.;ja;Entwarf Resource Rows.
Dänemark;Svanen;←;Tscherning;Rückbau.;ja;Führte den Rückbau von Svanen aus.
Dänemark;Svanen;←;Lendager;Entwurf.;ja;Entwarf Svanen.
Dänemark;Tscherning;—;GreenDozer ApS;Vertieften ihre Zusammenarbeit.;ja;Vertieften ihre Zusammenarbeit bei GreenDozer.
Dänemark;Thoravej 29 Copenhagen;←;DTU;Prüfung der Reuse-Bauteile.;ja;Prüfte Reuse-Bauteile für Thoravej 29 Copenhagen.
Dänemark;TRÆ High-Rise;←;a:gain;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für TRÆ High-Rise.
Dänemark;TRÆ High-Rise;←;DOVISTA / KRONE;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für TRÆ High-Rise.
Dänemark;TRÆ High-Rise;←;Artelia;Tragwerksplanung.;ja;Plante das Tragwerk für TRÆ High-Rise.
Dänemark;TRÆ High-Rise;←;Lendager;Entwurf.;ja;Entwarf TRÆ High-Rise.
Dänemark;a:gain;→;Upcycle Studios Copenhag…;Lieferte einen Viddø-Fensterprototyp.;ja;Lieferte einen Viddø-Fensterprototyp für Upcycle Studios.
Dänemark;Circue;—;GreenDozer ApS;Verknüpften mit Revit.;ja;Verknüpften GreenDozer-Materialien mit Revit.
Dänemark;GreenDozer ApS;←;Kingo (Kingo Karlsen A/S);Investition.;ja;Investierte in GreenDozer.
Dänemark;GreenDozer ApS;←;P. Olesen / PO Genbrug;Investition.;ja;Investierte in GreenDozer.
Dänemark;Svanen;←;Gladsaxe Kommune / Gladsaxe Municipality;Bauherrschaft.;;Verantwortete Svanen als Bauherrschaft.
Dänemark;Svanen;←;Sweco / Sweco Architects;Bauausführung.;;Führte die Bauarbeiten an Svanen aus.
Dänemark;Svanen;←;NIRAS;Fachplanung.;;Übernahm die Fachplanung für Svanen.
Dänemark;Svanen;←;Ason A/S;Bauausführung.;;Führte die Bauarbeiten an Svanen aus.
Dänemark;Gladsaxe Kommune / Gladsaxe Municipality;—;Aarhus Kommune;Arbeiteten im BygCirkulært-Verbund zusammen.;;Arbeiteten im BygCirkulært-Verbund zusammen.
Dänemark;Thoravej 29 Copenhagen;←;Hoffmann A/S;Bauausführung.;;Führte die Bauarbeiten an Thoravej 29 Copenhagen aus.
Dänemark;TRÆ High-Rise;←;Kilden & Hindby;Bauherrschaft.;;Verantwortete TRÆ High-Rise als Bauherrschaft.
Dänemark;TRÆ High-Rise;←;PFA Ejendomme;Bauherrschaft.;;Verantwortete TRÆ High-Rise als Bauherrschaft.
Dänemark;Upcycle Studios Copenhag…;←;NREP;Bauherrschaft.;;Verantwortete Upcycle Studios Copenhagen als Bauherrschaft.
Dänemark;Upcycle Studios Copenhag…;←;AG Gruppen;Aufarbeitung der Reuse-Bauteile.;;Arbeitete Reuse-Bauteile für Upcycle Studios Copenhagen auf.
Dänemark;Upcycle Studios Copenhag…;←;MOE;Aufarbeitung der Reuse-Bauteile.;;Arbeitete Reuse-Bauteile für Upcycle Studios Copenhagen auf.
Dänemark;GXN;←;3XN;Führt GXN als Forschungsabteilung 3XN.;;Führt GXN als Forschungsabteilung von 3XN.
Dänemark;Realdania;→;Hverringe Centrum for Restaurering;Förderte das Restaurierungszentrum.;;Förderte das Hverringe Restaurierungszentrum.
Finnland;Härmälänranta;←;A-Kruunu;Bauherrschaft.;ja;Verantwortete Härmälänranta als Bauherrschaft.
Finnland;Härmälänranta;←;Skanska Finland;Bauausführung.;ja;Führte die Bauarbeiten an Härmälänranta aus.
Finnland;Härmälänranta;←;Consolis Parma;Aufarbeitung der Reuse-Bauteile.;ja;Arbeitete Reuse-Bauteile für Härmälänranta auf.
Finnland;Härmälänranta;←;Ramboll Finland;Tragwerksplanung.;ja;Plante das Tragwerk für Härmälänranta.
Finnland;Skanska Finland;—;Consolis Parma;Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Skanska Finland;—;Ramboll Finland;Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Skanska Finland;→;Lokomotion Technology…;Bauausführung.;ja;Führte die Bauarbeiten an Lokomotion-Reuse-Pilot aus.
Finnland;Skanska Finland;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Consolis Parma;←;Ramboll Finland;Bestimmte die Aufarbeitung Reuse-Bauteile.;ja;Bestimmte die Aufarbeitung der Reuse-Bauteile.
Finnland;Consolis Parma;→;Lokomotion Technology…;Aufarbeitung der Reuse-Bauteile.;ja;Arbeitete Reuse-Bauteile für Lokomotion-Reuse-Pilot auf.
Finnland;Consolis Parma;→;Melkinlaituri Primary…;Aufarbeitung der Reuse-Bauteile.;ja;Arbeitete Reuse-Bauteile für Melkinlaituri-Schule auf.
Finnland;Consolis Parma;—;Peikko Finland;Erprobten demontierbare Betonverbindungen.;ja;Erprobten demontierbare Betonverbindungen.
Finnland;Consolis Parma;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Ramboll Finland;→;Lokomotion Technology…;Fachplanung.;ja;Übernahm die Fachplanung für Lokomotion-Reuse-Pilot.
Finnland;Ramboll Finland;→;Melkinlaituri Primary…;Prüfung der Reuse-Bauteile.;ja;Prüfte Reuse-Bauteile für Melkinlaituri-Schule.
Finnland;Ramboll Finland;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Lokomotion Technology…;←;Tampere University;Forschungsbegleitung.;ja;Begleitete Lokomotion-Reuse-Pilot wissenschaftlich.
Finnland;Melkinlaituri Primary…;←;City of Helsinki;Bauherrschaft.;ja;Verantwortete Melkinlaituri-Schule als Bauherrschaft.
Finnland;Melkinlaituri Primary…;←;YIT;Bauausführung.;ja;Führte die Bauarbeiten an Melkinlaituri-Schule aus.
Finnland;City of Helsinki;—;Kiilto Family;Erprobten wiederlösbare Fliesen.;ja;Erprobten wiederlösbare Fliesen in Helsinki.
Finnland;Tampere University;—;SÄILÖ: Purusta säilöön ja kiertoon;Verbundpartnerschaft.;ja;Arbeiteten im SÄILÖ-Verbund zusammen.
Finnland;Tampere University;—;Tampereen kaupunki (City of Tampere);Stärken als Bildungs- und Wissenschaftsstandort.;ja;Stärken Tampere als Bildungs- und Wissenschaftsstandort.
Finnland;Aalto University (Department of Architecture);—;VTT (Technical Research Centre of Finland);Forschen zur grünen und digitalen Transformation.;ja;Forschen zur grünen und digitalen Transformation.
Finnland;Ekokumppanit (Kiertotalous Pirkanmaa);→;SÄILÖ: Purusta säilöön ja kiertoon;Trägt das federführend.;ja;Trägt das SÄILÖ-Projekt federführend.
Finnland;Kaakkois-Suomen Ammattikorkeakoulu Oy (Xamk);—;Mikkelin Kehitysyhtiö Miksei Oy;Tragen das KIELO-Projekt gemeinsam.;ja;Tragen das KIELO-Projekt gemeinsam.
Finnland;Mikkelin Kehitysyhtiö Miksei Oy;←;Purkupiha;Führte Rückbau im KIELO-Piloten aus.;ja;Führte den Rückbau im KIELO-Piloten aus.
Finnland;Purkutori.fi;←;Purkupiha;Betreibt Marktplatz.;ja;Betreibt den Marktplatz Purkutori.fi.
Finnland;Härmälänranta;←;LIIKE Oy Arkkitehtistudio;Entwurf.;;Entwarf Härmälänranta.
Finnland;Skanska Finland;—;Umacon;Arbeiteten im ReCreate-Verbund zusammen.;;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Consolis Parma;—;Umacon;Arbeiteten im ReCreate-Verbund zusammen.;;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Umacon;—;Ramboll Finland;Arbeiteten im ReCreate-Verbund zusammen.;;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Umacon;→;Lokomotion Technology…;Rückbau.;;Führte den Rückbau von Lokomotion-Reuse-Pilot aus.
Finnland;Umacon;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;;Arbeiteten im ReCreate-Verbund zusammen.
Finnland;Ramboll Finland;→;City of Espoo;Pilotiert mit eine Reuse-Lösung.;;Pilotiert mit Espoo eine Reuse-Lösung.
Finnland;Lokomotion Technology…;←;Metso Oyj;Bauherrschaft.;;Verantwortete Lokomotion-Reuse-Pilot als Bauherrschaft.
Finnland;City of Espoo;←;Purkupiha;Führte Schulrückbau in Pohjois-Tapiola aus.;;Führte den Schulrückbau in Pohjois-Tapiola aus.
Finnland;City of Nokia (Nokian kaupunki);—;SÄILÖ: Purusta säilöön ja kiertoon;Verbundpartnerschaft.;;Arbeiteten im SÄILÖ-Verbund zusammen.
Finnland;City of Orivesi (Oriveden kaupunki);—;SÄILÖ: Purusta säilöön ja kiertoon;Verbundpartnerschaft.;;Arbeiteten im SÄILÖ-Verbund zusammen.
Frankreich;Cycle Up;—;ORAK;Entwickelten eine Reuse-Lösung für Teppichfliesen.;ja;Entwickelten eine Reuse-Lösung für Teppichfliesen.
Frankreich;Cycle Up;—;TEXTIFLOOR;Verbessern gemeinsam Bodenbelag-Reuse.;ja;Verbessern gemeinsam den Bodenbelag-Reuse.
Frankreich;Réempro;→;CD2E;Mitgliedschaft im Netzwerk.;ja;Nimmt als Mitglied am CD2E-Netzwerk teil.
Frankreich;Circular Pavilion Paris;←;Encore Heureux;Entwurf.;ja;Entwarf Circular Pavilion Paris.
Frankreich;Ferme du Rail Paris;←;Travail & Vie;Bauausführung.;ja;Führte die Bauarbeiten an Ferme du Rail Paris aus.
Frankreich;Ferme du Rail Paris;←;Réhabail;Bauherrschaft.;ja;Verantwortete Ferme du Rail Paris als Bauherrschaft.
Frankreich;Ferme du Rail Paris;←;Pouget Consultants;Fachplanung.;ja;Übernahm die Fachplanung für Ferme du Rail Paris.
Frankreich;Ferme du Rail Paris;←;Albert & Co;Fachplanung.;ja;Übernahm die Fachplanung für Ferme du Rail Paris.
Frankreich;Grande Halle de Colombel…;←;Le WIP;Betrieb.;ja;Betreibt Grande Halle de Colombelles.
Frankreich;Maison des Canaux, Paris;←;Les Canaux;Betrieb.;ja;Betreibt Maison des Canaux, Paris.
Frankreich;Maison des Canaux, Paris;←;Ville de Paris;Bauherrschaft.;ja;Verantwortete Maison des Canaux, Paris als Bauherrschaft.
Frankreich;Ville de Paris;→;Plateforme de réemploi des matériaux de voirie de la Ville de Paris;Betreibt das Straßenbau-Depot.;ja;Betreibt das Pariser Straßenbau-Depot.
Frankreich;Résilience;←;Novaedia / Novædia;Betrieb.;ja;Betreibt Résilience.
Frankreich;Résilience;←;SOCOTEC;Prüfung der Reuse-Bauteile.;ja;Prüfte Reuse-Bauteile für Résilience.
Frankreich;Résilience;←;Depuis 1920;Bauausführung.;ja;Führte die Bauarbeiten an Résilience aus.
Frankreich;Résilience;←;Association Réavie;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für Résilience.
Frankreich;Résilience;←;Archipel zéro;Entwurf.;ja;Entwarf Résilience.
Frankreich;La Fab Bordeaux;←;Collectif CANCAN;Arbeitete im Auftrag.;ja;Arbeitete im Auftrag von La Fab Bordeaux.
Frankreich;Encore Heureux;→;REMIX / matériaux réemploi;Mitgründung des Reuse-Büros.;ja;Gründete das Reuse-Büro REMIX mit.
Frankreich;Mobius Réemploi;—;CSTB;Arbeiteten im SPIROU-Verbund zusammen.;ja;Arbeiteten im SPIROU-Verbund zusammen.
Frankreich;CANCAN Architecture;←;REFAIR Bordeaux;Begleitete beim Reuse-Vorhaben.;ja;Begleitete CANCAN beim Reuse-Vorhaben.
Frankreich;CSTB;—;Bellastock;Arbeiteten im FCRBE-Verbund zusammen.;ja;Arbeiteten im FCRBE-Verbund zusammen.
Frankreich;CSTB;—;Institut National de l'Économie Circulaire (INEC);Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;ja;Arbeiteten im LIFE-Waste2Build-Verbund zusammen.
Frankreich;CSTB;—;Booster du Réemploi (A4MT);Arbeiteten im SPIROU-Verbund zusammen.;ja;Arbeiteten im SPIROU-Verbund zusammen.
Frankreich;Lascombes Matériaux Anciens;→;Lascombes Matériaux Anciens Sud-Ouest;Führt Sud- als Regionaldepot.;ja;Führt Lascombes Sud-Ouest als Regionaldepot.
Frankreich;Booster du Réemploi (A4MT);—;CD2E;Organisieren lokalen Reuse- gemeinsam.;ja;Organisieren den lokalen Reuse-Booster gemeinsam.
Frankreich;Circular Pavilion Paris;←;TRIBU;Tragwerksplanung.;;Plante das Tragwerk für Circular Pavilion Paris.
Frankreich;Circular Pavilion Paris;←;Camping Design;Entwurf.;;Entwarf Circular Pavilion Paris.
Frankreich;Circular Pavilion Paris;←;Ville de Paris – Pavillon de l Arsenal;Bauherrschaft.;;Verantwortete Circular Pavilion Paris als Bauherrschaft.
Frankreich;Circular Pavilion Paris;←;Technische Dienste der Stadt Paris;Bauausführung.;;Führte die Bauarbeiten an Circular Pavilion Paris aus.
Frankreich;Ferme du Rail Paris;←;Scoping;Fachplanung.;;Übernahm die Fachplanung für Ferme du Rail Paris.
Frankreich;Résilience;←;Métabolisme Urbain;Bauteilinventarisierung.;;Erfasste Reuse-Bauteile für Résilience.
Frankreich;CSTB;—;FCRBE (Facilitating the Circulation of Reclaimed Building Elements);Verbundpartnerschaft.;;Arbeiteten im FCRBE-Verbund zusammen.
Frankreich;CSTB;—;Fédération Française du Bâtiment et des Travaux publics de Haute-Garonne (FFB 31);Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;;Arbeiteten im LIFE-Waste2Build-Verbund zusammen.
Frankreich;Bellastock;—;FCRBE (Facilitating the Circulation of Reclaimed Building Elements);Verbundpartnerschaft.;;Arbeiteten im FCRBE-Verbund zusammen.
Frankreich;Vilogia;→;Booster du Réemploi (A4MT);Fördert die Arbeitsgruppen.;;Fördert die Arbeitsgruppen des Booster du Réemploi.
Niederlande;Lagemaat Heerde;→;lcp-circulair;Gründung als Mitgründerin.;ja;Gründete lcp-circulair mit.
Niederlande;cepezed;→;The Green House Utrecht;Entwurf.;ja;Entwarf The Green House Utrecht.
Niederlande;cepezed;→;lcp-circulair;Gründung als Mitgründerin.;ja;Gründete lcp-circulair mit.
Niederlande;IMd Raadgevende Ingenieurs;→;BioPartner 5;Entwurf.;ja;Entwarf BioPartner 5.
Niederlande;IMd Raadgevende Ingenieurs;→;Montessori Maassluis;Tragwerksplanung.;ja;Plante das Tragwerk für Montessori Maassluis.
Niederlande;BioPartner 5;←;Popma ter Steege Architecten / PTSA;Entwurf.;ja;Entwarf BioPartner 5.
Niederlande;BioPartner 5;←;Vic Obdam Staalbouw;Bauausführung.;ja;Führte die Bauarbeiten an BioPartner 5 aus.
