old_id,new_id,name,name_full,reuse_status,primary_material_id,primary_bauteiltyp_id,discriminator,n_materials,n_bauteiltypen,dominant_promoted,verbose_trimmed
bg_bedzed_reused_timber_wall_studs,bg_reuse_holz_wand_bedzed_studs,Softwood wall studs,Reused softwood wall studs,reuse,mat_holz,bt_wand,bedzed_studs,1,1,no,no
bg_bestandsfundamente_und_erste_geschosse_blackfriars,bg_reuse_mehrere_mehrere_bestandsfundamente_und_erste_geschosse_blackfriars,Bestandsfundamente und…,Bestandsfundamente und erste Geschosse Blackfriars,reuse,mat_mehrere,bt_mehrere,bestandsfundamente_und_erste_geschosse_blackfriars,2,3,no,no
bg_bestandverplanzung_betonfertigteil_paneele,bg_reuse_beton_mehrere_bestandverplanzung_betonfertigteil_paneele,Betonfertigteil-Paneele…,Betonfertigteil-Paneele aus Olympiadorf-Bungalows,reuse,mat_beton,bt_mehrere,bestandverplanzung_betonfertigteil_paneele,2,3,yes,no
bg_big_dig_building_geplante_infrastrukturbauteile,bg_reuse_mehrere_mehrere_big_dig_building_geplante_infrastrukturbauteile,Big-Dig-Infrastrukturbau…,Geplante Big-Dig-Infrastrukturbauteile,reuse,mat_mehrere,bt_mehrere,big_dig_building_geplante_infrastrukturbauteile,2,4,no,no
bg_big_dig_house_inverset_panels,bg_reuse_stahlbeton_mehrere_big_dig_house_inverset_panels,Inverset-Stahlbetonpanee…,Wiederverwendete Inverset-Stahlbetonpaneele,reuse,mat_stahlbeton,bt_mehrere,big_dig_house_inverset_panels,2,2,yes,no
bg_big_dig_house_ramp_pier_roadway_components,bg_reuse_mehrere_mehrere_big_dig_house_ramp_pier_roadway_components,"Ramp-, Pier- und…","Wiederverwendete Ramp-, Pier- und Roadway-Komponenten",reuse,mat_mehrere,bt_mehrere,big_dig_house_ramp_pier_roadway_components,2,3,no,no
bg_big_dig_house_stahltraeger_stahlstuetzen,bg_reuse_stahl_mehrere_big_dig_house,Stahlträger un… (Big Dig),Wiederverwendete Stahlträger und Stahlstützen,reuse,mat_stahl,bt_mehrere,big_dig_house,1,2,no,no
bg_biopartner_5_abbruchschutt_gruene_fassade,bg_reuse_ziegel_fassade_biopartner_5_abbruchschutt_gruene,Abbruchschutt,Abbruchschutt / Mauerwerkspuin in grüner Fassade,reuse,mat_ziegel,bt_fassade,biopartner_5_abbruchschutt_gruene,1,1,no,no
bg_biopartner_5_innenwaende_trennwaende,bg_reuse_holz_wand_biopartner_5_innenwaende_trennwaende,Innenwände und Trennwände,Wiederverwendete Innenwände und Trennwände,reuse,mat_holz,bt_wand,biopartner_5_innenwaende_trennwaende,1,1,no,no
bg_biopartner_5_pflaster_naturstein_bodenmaterial,bg_reuse_naturstein_boden_biopartner_5_pflaster_bodenmaterial,Pflaster-,"Wiederverwendete Pflaster-, Naturstein- und Bodenmaterialien",reuse,mat_naturstein,bt_boden,biopartner_5_pflaster_bodenmaterial,1,1,no,no
bg_biopartner_5_sanitaerobjekte,bg_reuse_keramik_technik_biopartner_5_sanitaerobjekte,Sanitärobje… (Biopartner),Wiederverwendete Sanitärobjekte,reuse,mat_keramik,bt_technik,biopartner_5_sanitaerobjekte,1,1,no,no
bg_biopartner_5_stahltraeger_stuetzen_rahmen,bg_reuse_stahl_mehrere_biopartner_5_stuetzen_rahmen,Stahlträger (Biopartner),"Wiederverwendete Stahlträger, Stützen und Rahmen",reuse,mat_stahl,bt_mehrere,biopartner_5_stuetzen_rahmen,1,2,no,no
bg_bluecity_balustraden_oelplattform,bg_reuse_stahl_gelaender_bluecity_oelplattform,Balustraden,Mögliche wiederverwendete Balustraden,reuse,mat_stahl,bt_gelaender,bluecity_oelplattform,1,1,no,no
bg_bluecity_betonbloecke_trennwaende,bg_reuse_beton_wand_bluecity_betonbloecke_trennwaende,Betonblöcke als Trennwän…,Betonblöcke als Trennwände,reuse,mat_beton,bt_wand,bluecity_betonbloecke_trennwaende,1,1,no,no
bg_bluecity_red_cedar_fensterrahmen_trennwaende,bg_reuse_mehrere_mehrere_bluecity_red_cedar_fensterrahmen_trennwaende,Red-Cedar-Fensterrahmen…,Red-Cedar-Fensterrahmen als Trennwände / innere Fassade,reuse,mat_mehrere,bt_mehrere,bluecity_red_cedar_fensterrahmen_trennwaende,2,2,no,no
bg_bluecity_wiederverwendeter_stahl,bg_reuse_stahl_ausbau_bluecity,Stahl im Büroausbau,Wiederverwendeter Stahl im Büroausbau,reuse,mat_stahl,bt_ausbau,bluecity,1,1,no,no
bg_botanique_reclaimed_timber_facade,bg_reuse_holz_fassade_botanique,/ rückgewonnene Holzfass…,Wiederverwendete / rückgewonnene Holzfassade,reuse,mat_holz,bt_fassade,botanique,1,1,no,no
bg_botanique_retained_main_structure,bg_retained_mehrere_mehrere_botanique_main_structure,Hauptstruktur des…,Erhaltene Hauptstruktur des Bestandsgebäudes,retained,mat_mehrere,bt_mehrere,botanique_main_structure,2,3,no,no
bg_boulder_glulam_columns,bg_reuse_holz_stuetze_boulder_glulam,Glulam Columns im…,Neue Glulam Columns im Hybridtragwerk,reuse,mat_holz,bt_stuetze,boulder_glulam,1,1,no,no
bg_boulder_hospital_steel_stockpile,bg_reuse_stahl_traeger_boulder_hospital_stockpile,Boulder Community…,Boulder Community Hospital structural steel stockpile,reuse,mat_stahl,bt_traeger,boulder_hospital_stockpile,1,1,no,no
bg_boulder_pv_roof,bg_reuse_glas_mehrere_boulder_pv_roof,PV-Dach,PV-Dach / große Dachfläche,reuse,mat_glas,bt_mehrere,boulder_pv_roof,1,2,no,no
bg_boulder_salvaged_wide_flange_steel_members,bg_reuse_stahl_mehrere_boulder_wide_flange_members,89 salvaged wide-flange…,89 salvaged wide-flange steel members,reuse,mat_stahl,bt_mehrere,boulder_wide_flange_members,1,2,no,no
bg_brent_cross_new_facade_support_members,bg_reuse_stahl_fassade_brent_cross_new_support_members,Façade support members,Neue façade support members,reuse,mat_stahl,bt_fassade,brent_cross_new_support_members,1,1,no,no
bg_brent_cross_oval_substation_screen,bg_reuse_stahl_mehrere_brent_cross_oval_substation_screen,Ovaler Substation-Screen,,reuse,mat_stahl,bt_mehrere,brent_cross_oval_substation_screen,1,2,no,no
bg_brent_cross_reclaimed_bracing_members,bg_reuse_stahl_mehrere_brent_cross_bracing_members,Tubular bracing members,Reclaimed tubular bracing members,reuse,mat_stahl,bt_mehrere,brent_cross_bracing_members,1,2,no,no
bg_brent_cross_reclaimed_tubular_columns,bg_reuse_stahl_mehrere_brent_cross_tubular_columns,Tubular steel columns,Reclaimed tubular steel columns,reuse,mat_stahl,bt_mehrere,brent_cross_tubular_columns,1,2,no,no
bg_brettschichtholzbogen_recypark_demets,bg_reuse_holz_mehrere_brettschichtholzbogen_recypark_demets,Brettschichtholzbögen…,Brettschichtholzbögen Recypark Demets,reuse,mat_holz,bt_mehrere,brettschichtholzbogen_recypark_demets,1,2,no,no
bg_brighton_betonbloecke,bg_reuse_beton_mehrere_brighton_betonbloecke,Betonblöcke,Wiederverwendete Betonblöcke,reuse,mat_beton,bt_mehrere,brighton_betonbloecke,1,2,no,no
bg_brighton_denim_daemmung,bg_reuse_textil_daemmung_brighton_denim,Denim jeans als Dämm-/Ho…,Denim jeans als Dämm-/Hohlraumfüllung,reuse,mat_textil,bt_daemmung,brighton_denim,1,1,no,no
bg_brighton_holz_sperrholz,bg_reuse_holz_mehrere_brighton_sperrholz,Holz und Sperrholz aus…,Holz und Sperrholz aus Reststücken,reuse,mat_holz,bt_mehrere,brighton_sperrholz,1,2,no,no
bg_brighton_teppichfliesen_fassade,bg_reuse_mehrere_mehrere_brighton_teppichfliesen_fassade,Teppichfliesen als…,Gebrauchte Teppichfliesen als Fassaden-/Außenschicht,reuse,mat_mehrere,bt_mehrere,brighton_teppichfliesen_fassade,2,2,no,no
bg_brighton_vinylbanner_dampfbremse,bg_reuse_kunststoff_technik_brighton_vinylbanner_dampfbremse,Vinylbanner als Dampfbre…,Vinylbanner als Dampfbremse,reuse,mat_kunststoff,bt_technik,brighton_vinylbanner_dampfbremse,1,1,no,no
bg_brighton_zahnbuersten_medienabfall_infill,bg_reuse_kunststoff_daemmung_brighton_zahnbuersten_medienabfall_infill,Zahnbürsten und Medienab…,Zahnbürsten und Medienabfall als Hohlraumfüllung,reuse,mat_kunststoff,bt_daemmung,brighton_zahnbuersten_medienabfall_infill,1,1,no,no
bg_broethen_p2_deckenplatten,bg_reuse_stahlbeton_decke_broethen_p2_deckenplatten,P2-Deckenplatten,,reuse,mat_stahlbeton,bt_decke,broethen_p2_deckenplatten,1,1,no,no
bg_broethen_p2_wandplatten,bg_reuse_stahlbeton_wand_broethen_p2_wandplatten,P2-Wandplatten,,reuse,mat_stahlbeton,bt_wand,broethen_p2_wandplatten,1,1,no,no
bg_btc_ziegel_mur_trombe_resilience,bg_reuse_lehm_mehrere_btc_ziegel_mur_trombe_resilience,BTC-Ziegel Mur Trombe…,BTC-Ziegel Mur Trombe Résilience,reuse,mat_lehm,bt_mehrere,btc_ziegel_mur_trombe_resilience,1,2,no,no
bg_cascadeup_clst_floor_panels,bg_reuse_holz_mehrere_cascadeup_clst_floor_panels,CLST-Bodenpaneele,,reuse,mat_holz,bt_mehrere,cascadeup_clst_floor_panels,1,2,no,no
bg_cascadeup_clst_wall_panels,bg_reuse_holz_wand_cascadeup_clst,CLST-Wandpaneele,,reuse,mat_holz,bt_wand,cascadeup_clst,1,1,no,no
bg_cascadeup_glulamst_frame,bg_reuse_holz_mehrere_cascadeup_glulamst_frame,GlulamST-Tragwerksrahmen,glulamST-Tragwerksrahmen / Balken und Stuetzen,reuse,mat_holz,bt_mehrere,cascadeup_glulamst_frame,1,2,no,no
bg_ccn_concrete_parapets,bg_reuse_beton_fassade_ccn_parapets,Betonbruestungen,Betonbruestungen / parapets,reuse,mat_beton,bt_fassade,ccn_parapets,1,1,no,no
bg_ccn_hollow_core_slabs,bg_reuse_mehrere_decke_ccn_hollow_core_slabs,Hohlkoerperdecken,Hohlkoerperdecken / kanaalplaatvloeren,reuse,mat_mehrere,bt_decke,ccn_hollow_core_slabs,2,1,no,no
bg_ccn_prefab_facade_elements,bg_reuse_mehrere_mehrere_ccn_prefab_facade_elements,Prefab-Fassadenelemente,,reuse,mat_mehrere,bt_mehrere,ccn_prefab_facade_elements,2,2,no,no
bg_charles_malis_bruseleye_floor_tiles,bg_reuse_mehrere_boden_charles_malis_bruseleye_tiles,Bruseleye-Bodenpflaster,Wiederverwendete Bruseleye-Bodenpflaster / Bodenfliesen,reuse,mat_mehrere,bt_boden,charles_malis_bruseleye_tiles,2,1,no,no
bg_charles_malis_retained_concrete_frame,bg_retained_beton_mehrere_charles_malis_frame,Betontragwerk,Erhaltenes Betontragwerk,retained,mat_beton,bt_mehrere,charles_malis_frame,1,2,no,no
bg_charles_malis_retained_ornamental_facade,bg_retained_mehrere_fassade_charles_malis_ornamental,Ornamentale Fassade,Erhaltene ornamentale Fassade,retained,mat_mehrere,bt_fassade,charles_malis_ornamental,2,1,no,no
bg_charles_malis_rotor_luminaires,bg_reuse_unbekannt_technik_charles_malis_rotor_luminaires,ROTOR-Leuchten,,reuse,mat_unbekannt,bt_technik,charles_malis_rotor_luminaires,0,1,no,no
bg_chiro_external_doors,bg_reuse_holz_tuer_chiro_external,Außentüren,,reuse,mat_holz,bt_tuer,chiro_external,1,1,no,no
bg_chiro_facade_bricks,bg_reuse_ziegel_mehrere_chiro_facade,Fassadenziegel (Chiro),,reuse,mat_ziegel,bt_mehrere,chiro_facade,1,2,no,no
bg_chiro_floor_tiles,bg_reuse_keramik_boden_chiro_tiles,Bodenfliesen,,reuse,mat_keramik,bt_boden,chiro_tiles,1,1,no,no
bg_chiro_luminaires,bg_reuse_unbekannt_technik_chiro_luminaires,Leuchten,,reuse,mat_unbekannt,bt_technik,chiro_luminaires,0,1,no,no
bg_chiro_roof_tiles,bg_reuse_ziegel_dach_chiro_tiles,Dachziegel (Chiro),,reuse,mat_ziegel,bt_dach,chiro_tiles,1,1,no,no
bg_chiro_sanitary_fixtures,bg_reuse_mehrere_technik_chiro_sanitary_fixtures,Sanitärobjekte (Chiro),,reuse,mat_mehrere,bt_technik,chiro_sanitary_fixtures,2,1,no,no
bg_chiro_steel_u_lintels,bg_reuse_stahl_mehrere_chiro_u_lintels,Stahl-U-Profile als…,Stahl-U-Profile als Außenstürze,reuse,mat_stahl,bt_mehrere,chiro_u_lintels,1,2,no,no
bg_chiro_surplus_ceiling_insulation,bg_reuse_daemmstoff_daemmung_chiro_surplus_ceiling,Surplus-Dämmung Decke,,reuse,mat_daemmstoff,bt_daemmung,chiro_surplus_ceiling,1,1,no,no
bg_chiro_surplus_concrete_blocks,bg_reuse_beton_wand_chiro_surplus_blocks,Surplus-Betonblöcke,,reuse,mat_beton,bt_wand,chiro_surplus_blocks,1,1,no,no
bg_chiro_surplus_floor_wall_insulation,bg_reuse_daemmstoff_daemmung_chiro_surplus_floor_wall,Surplus-Dämmung Boden/Wa…,Surplus-Dämmung Boden/Wand,reuse,mat_daemmstoff,bt_daemmung,chiro_surplus_floor_wall,1,1,no,no
bg_chiro_surplus_timber_roof_frame,bg_reuse_holz_mehrere_chiro_surplus_roof_frame,Surplus-Holzrahmen,Surplus-Holzrahmen / Dachtragwerk,reuse,mat_holz,bt_mehrere,chiro_surplus_roof_frame,1,2,no,no
bg_chiro_wall_tiles,bg_reuse_keramik_wand_chiro_tiles,Wandfliesen,,reuse,mat_keramik,bt_wand,chiro_tiles,1,1,no,no
bg_chiro_wood_windows,bg_reuse_holz_fenster_chiro,Holzfenster,,reuse,mat_holz,bt_fenster,chiro,2,1,yes,no
bg_christ_pavilion_cloister_glass_facade,bg_reuse_mehrere_mehrere_christ_pavilion_cloister_glass_facade,Kreuzgang,Kreuzgang / Stahl-Glas-Fassade und Vitrinen,reuse,mat_mehrere,bt_mehrere,christ_pavilion_cloister_glass_facade,2,2,no,no
bg_christ_pavilion_complete_ensemble,bg_reuse_mehrere_mehrere_christ_pavilion_complete_ensemble,Gesamtes transloziertes…,Gesamtes transloziertes Pavillonensemble,reuse,mat_mehrere,bt_mehrere,christ_pavilion_complete_ensemble,4,4,no,no
bg_christ_pavilion_cross_columns,bg_reuse_stahl_stuetze_christ_pavilion_cross,Neun kreuzfoermige…,Neun kreuzfoermige Stahlstuetzen,reuse,mat_stahl,bt_stuetze,christ_pavilion_cross,1,1,no,no
bg_christ_pavilion_fair_faced_concrete_parts,bg_reuse_beton_mehrere_christ_pavilion_fair_faced_parts,Sichtbetonteile des…,Sichtbetonteile des translozierten Ensembles,reuse,mat_beton,bt_mehrere,christ_pavilion_fair_faced_parts,1,2,no,no
bg_christ_pavilion_marble_glass_wall,bg_reuse_mehrere_mehrere_christ_pavilion_marble_glass_wall,Marmor-Glas-Wand…,Marmor-Glas-Wand Christusraum,reuse,mat_mehrere,bt_mehrere,christ_pavilion_marble_glass_wall,2,2,no,no
bg_christ_pavilion_roof_structure,bg_reuse_stahl_mehrere_christ_pavilion_roof_structure,Dachtragwerk Christusraum,,reuse,mat_stahl,bt_mehrere,christ_pavilion_roof_structure,1,2,no,no
bg_circular_pavilion_exhibition_panels,bg_reuse_holz_mehrere_circular_pavilion_exhibition_panels,Ehemalige Ausstellungspa…,Ehemalige Ausstellungspaneele,reuse,mat_holz,bt_mehrere,circular_pavilion_exhibition_panels,1,2,no,no
bg_circular_pavilion_mineral_wool_insulation,bg_reuse_daemmstoff_daemmung_circular_pavilion_mineral_wool,Mineral-/Steinwolle als…,Mineral-/Steinwolle als Innendaemmung,reuse,mat_daemmstoff,bt_daemmung,circular_pavilion_mineral_wool,1,1,no,no
bg_circular_pavilion_reused_lights,bg_reuse_unbekannt_technik_circular_pavilion_lights,Vier grosse Leuchten…,Vier grosse Leuchten aus oeffentlichem Bestand,reuse,mat_unbekannt,bt_technik,circular_pavilion_lights,0,1,no,no
bg_circular_pavilion_terrace_decking,bg_reuse_holz_boden_circular_pavilion_terrace_decking,Terrassen-Caillebotis…,Terrassen-Caillebotis aus Paris-Plage,reuse,mat_holz,bt_boden,circular_pavilion_terrace_decking,1,1,no,no
bg_circular_pavilion_timber_structure,bg_reuse_holz_mehrere_circular_pavilion_structure,Holzstruktur aus…,Holzstruktur aus Baustellenresten,reuse,mat_holz,bt_mehrere,circular_pavilion_structure,1,2,no,no
bg_circular_pavilion_wooden_doors_facade,bg_reuse_holz_mehrere_circular_pavilion_doors_facade,180 Holztueren als…,180 Holztueren als Fassade,reuse,mat_holz,bt_mehrere,circular_pavilion_doors_facade,1,2,no,no
bg_crclr_reused_curtain_wall_sheet_glass,bg_reuse_mehrere_fassade_crclr_curtain_wall_sheet_glass,Vorhangfassadenelemente,"Vorhangfassadenelemente, Blech und Glas",reuse,mat_mehrere,bt_fassade,crclr_curtain_wall_sheet_glass,3,1,no,no
bg_crclr_reused_recycled_gallery_interior,bg_reuse_holz_mehrere_crclr_recycled_gallery_interior,Holzgalerie (Crclr),Holzgalerie / Innenausbau aus heterogenen Restmaterialien,reuse,mat_holz,bt_mehrere,crclr_recycled_gallery_interior,1,3,no,no
bg_crclr_reused_sanitary_objects,bg_reuse_keramik_technik_crclr_sanitary_objects,Sanitärobjekte (Crclr),Wiederverwendete Sanitärobjekte / Duschtassen,reuse,mat_keramik,bt_technik,crclr_sanitary_objects,1,1,no,no
bg_crclr_reused_wood_aluminium_windows,bg_reuse_mehrere_mehrere_crclr_wood_aluminium_windows,Holz-Alu-Fenster,Wiederverwendete Holz-Alu-Fenster / Außenfenster,reuse,mat_mehrere,bt_mehrere,crclr_wood_aluminium_windows,3,2,no,no
bg_crclr_roof_steel_to_stair_stringers,bg_reuse_stahl_mehrere_crclr_roof_to_stair_stringers,Stahlpfetten,Stahlpfetten / I-Traeger aus Hallendach als Treppenwangen,reuse,mat_stahl,bt_mehrere,crclr_roof_to_stair_stringers,1,2,no,no
bg_crclr_steel_trusses_greenhouse_uncertain,bg_reuse_stahl_mehrere_crclr_trusses_greenhouse,Stahlfachwerktraeger…,Stahlfachwerktraeger fuer Gewaechshausdach / unsicherer Umfang,reuse,mat_stahl,bt_mehrere,crclr_trusses_greenhouse,1,2,no,no
bg_doppeltverglaste_holzfenster_resilience,bg_reuse_holz_fenster_doppeltverglaste_holzfenster_resilience,Doppeltverglaste…,Doppeltverglaste Holzfenster Résilience,reuse,mat_holz,bt_fenster,doppeltverglaste_holzfenster_resilience,2,1,yes,no
bg_drill_stem_pipe_dachtragwerk_saxum,bg_reuse_stahl_mehrere_drill_stem_pipe_dachtragwerk_saxum,Drill-Stem-Pipe Dachtrag…,Drill-Stem-Pipe Dachtragwerk Saxum,reuse,mat_stahl,bt_mehrere,drill_stem_pipe_dachtragwerk_saxum,1,2,no,no
bg_drill_stem_pipe_stutzen_saxum,bg_reuse_stahl_stuetze_drill_stem_pipe_stutzen_saxum,Drill-Stem-Pipe Stützen…,Drill-Stem-Pipe Stützen Saxum,reuse,mat_stahl,bt_stuetze,drill_stem_pipe_stutzen_saxum,1,1,no,no
bg_einfachverglaste_holzfenster_resilience,bg_reuse_holz_mehrere_einfachverglaste_holzfenster_resilience,Einfachverglaste…,Einfachverglaste Holzfenster Résilience,reuse,mat_holz,bt_mehrere,einfachverglaste_holzfenster_resilience,2,2,yes,no
bg_elys_aluminium_trapezoidal_sheet,bg_reuse_aluminium_fassade_elys_trapezoidal_sheet,Aluminium-Trapezblech…,Aluminium-Trapezblech als Fassadenbekleidung,reuse,mat_aluminium,bt_fassade,elys_trapezoidal_sheet,1,1,no,no
bg_elys_gratings_and_garage_door,bg_reuse_stahl_mehrere_elys_gratings_and_garage_door,Gitterroste,Gitterroste / Brüstungsgitter und Garagentor,reuse,mat_stahl,bt_mehrere,elys_gratings_and_garage_door,1,2,no,no
bg_elys_reclaimed_timber_frame,bg_reuse_holz_mehrere_elys_frame,Altholz aus Rückbauten,Altholz aus Rückbauten / Dachstühlen,reuse,mat_holz,bt_mehrere,elys_frame,1,2,no,no
bg_elys_restposten_windows,bg_reuse_glas_mehrere_elys_restposten_windows,200 Fenster aus Lagerres…,200 Fenster aus Lagerrestbeständen,reuse,mat_glas,bt_mehrere,elys_restposten_windows,1,2,no,no
bg_elys_retained_concrete_halls,bg_retained_mehrere_mehrere_elys_concrete_halls,Betonhallen,Erhaltene Betonhallen / Tragstruktur,retained,mat_mehrere,bt_mehrere,elys_concrete_halls,2,3,no,no
bg_elys_reuse_facade_system,bg_reuse_holz_fassade_elys_reuse_system,Reuse-Fassade als…,Reuse-Fassade als Holzrahmen-Bauteilsystem,reuse,mat_holz,bt_fassade,elys_reuse_system,4,1,yes,no
bg_elys_stone_wool_restock_insulation,bg_reuse_daemmstoff_mehrere_elys_stone_wool_restock_insulation,Steinwolledämmung aus…,Steinwolledämmung aus Restposten / Abfallprodukten,reuse,mat_daemmstoff,bt_mehrere,elys_stone_wool_restock_insulation,1,2,no,no
bg_europa_residence_palace_retained_parts,bg_retained_mehrere_mehrere_europa_residence_palace_parts,Teile des Residence…,Erhaltene Teile des Residence Palace Block A,retained,mat_mehrere,bt_mehrere,europa_residence_palace_parts,2,2,no,no
bg_europa_restored_wooden_window_frames,bg_reuse_holz_mehrere_europa_restored_window_frames,3.750 restaurierte…,3.750 restaurierte Holzfensterrahmen als Patchwork-Fassade,reuse,mat_holz,bt_mehrere,europa_restored_window_frames,1,2,no,no
bg_ferme_bitumen_concrete_blocks_paths,bg_reuse_mehrere_boden_ferme_bitumen_concrete_blocks_paths,Bitumen- und Betonblöcke…,Bitumen- und Betonblöcke als Außenwege,reuse,mat_mehrere,bt_boden,ferme_bitumen_concrete_blocks_paths,2,1,no,no
bg_ferme_fixed_cupboards_reused_wood,bg_reuse_holz_ausbau_ferme_fixed_cupboards,Wiederverwendetes Holz…,Wiederverwendetes Holz für feste Schränke,reuse,mat_holz,bt_ausbau,ferme_fixed_cupboards,1,1,no,no
bg_ferme_granite_kerbstones_retaining_wall,bg_reuse_naturstein_mehrere_ferme_granite_kerbstones_retaining_wall,Granitbordsteine als…,Granitbordsteine als Stützmauer,reuse,mat_naturstein,bt_mehrere,ferme_granite_kerbstones_retaining_wall,1,2,no,no
bg_ferme_stone_slabs_floor_fill,bg_reuse_naturstein_boden_ferme_slabs_fill,Stein- und Bürofußbodenp…,Stein- und Bürofußbodenplatten als Beläge/Füllplatten,reuse,mat_naturstein,bt_boden,ferme_slabs_fill,1,1,no,no
bg_ferme_textile_sun_shading,bg_reuse_textil_mehrere_ferme_textile_sun_shading,Textile,Textile / rezyklierte Fasern als Sonnenschutzstores,reuse,mat_textil,bt_mehrere,ferme_textile_sun_shading,1,2,no,no
bg_ferme_tiles_bathroom_walls,bg_reuse_keramik_mehrere_ferme_tiles_bathroom_walls,Fliesen (Ferme),Fliesen / Fayence als Badwandbelag,reuse,mat_keramik,bt_mehrere,ferme_tiles_bathroom_walls,1,2,no,no
bg_ferme_window_frames_endgrain_floor,bg_reuse_holz_mehrere_ferme_window_frames_endgrain_floor,Fensterrahmen→Pflaster,Holzfensterrahmen als Holzpflaster / Parkett bois de bout,reuse,mat_holz,bt_mehrere,ferme_window_frames_endgrain_floor,1,2,no,no
bg_ferme_window_frames_roof_terrace,bg_reuse_holz_mehrere_ferme_window_frames_roof_terrace,Fensterrahmen→Akroterie,"Holzfensterrahmen als Akroterie, Pflanztröge und Geländer",reuse,mat_holz,bt_mehrere,ferme_window_frames_roof_terrace,2,3,yes,no
bg_geplante_stahltrager_stahlprofile_roots,bg_reuse_stahl_mehrere_geplante_stahltrager_roots,Stahlträger (Geplante),Geplante Stahlträger / Stahlprofile Roots,reuse,mat_stahl,bt_mehrere,geplante_stahltrager_roots,1,2,no,no
bg_gjg_reused_brick_curved_shell,bg_reuse_ziegel_mehrere_gjg_curved_shell,Gekrümmte strukturell…,Gekrümmte strukturell autonome Außenmauer / Ziegelschale,reuse,mat_ziegel,bt_mehrere,gjg_curved_shell,1,2,no,no
bg_gjg_steel_wood_infill_structure,bg_reuse_mehrere_mehrere_gjg_steel_wood_infill_structure,Stahl-/Holz-Infill-Struk…,Stahl-/Holz-Infill-Struktur,reuse,mat_mehrere,bt_mehrere,gjg_steel_wood_infill_structure,2,2,no,no
bg_grande_halle_doors_fire_doors,bg_reuse_holz_tuer_grande_halle_fire,Türen und Brandschutztür…,Wiederverwendete Türen und Brandschutztüren,reuse,mat_holz,bt_tuer,grande_halle_fire,1,1,no,no
bg_grande_halle_external_window_joinery,bg_reuse_mehrere_mehrere_grande_halle_external_window_joinery,Außenschreinerei,Wiederverwendete Außenschreinerei / Fenster,reuse,mat_mehrere,bt_mehrere,grande_halle_external_window_joinery,2,2,no,no
bg_grande_halle_metal_beams_uncertain,bg_reuse_stahl_traeger_grande_halle_metal,Metallträger,"Metallträger / poutres métalliques, unklarer Wiedereinbau",reuse,mat_stahl,bt_traeger,grande_halle_metal,1,1,no,no
