candidate_name,primary_id,current_labels,evidence,action,target,op,op_args,strip_projekt,confidence,notes
RCMI / Concular blueprint,tool_rcmi,Software+Tool,none,absent_from_graph,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""tool_rcmi"", ""reason"": ""No :Projekt. Already :Tool+:Software (tool_rcmi), :Software (software_concular), :Akteur (concular). No action."", ""severity"": ""LOW""}",false,high,
RE-USE Höfe (canonical),prog_re_use_hoefe,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_re_use_hoefe"", ""reason"": ""Already :Programm (status=published_2025). Merge target for p_re_use_hoefe."", ""severity"": ""LOW""}",false,high,
RE-USE Höfe (stub),p_re_use_hoefe,Projekt,none,merge,prog_re_use_hoefe,merge_node,"{""op"": ""merge_node"", ""from"": ""p_re_use_hoefe"", ""to"": ""prog_re_use_hoefe"", ""reason"": ""User reclassify: RE-USE Höfe → Programm."", ""severity"": ""MEDIUM""}",true,high,
REBRIDGE (canonical),prog_rebridge,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_rebridge"", ""reason"": ""Already :Programm (status=active). Merge target for p_rebridge_structural_reuse_project."", ""severity"": ""LOW""}",false,high,
REBRIDGE (stub),p_rebridge_structural_reuse_project,Projekt,none,merge,prog_rebridge,merge_node,"{""op"": ""merge_node"", ""from"": ""p_rebridge_structural_reuse_project"", ""to"": ""prog_rebridge"", ""reason"": ""User reclassify: REBRIDGE → reuse research/prototype Programm."", ""severity"": ""MEDIUM""}",true,high,
MedUni Campus Mariannengasse,,,,absent_from_graph,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""MEDUNI_NO_PROJEKT"", ""reason"": ""No :Projekt node found. Only :Quelle/:Dossier (q_meduni_campus_mariannengasse_wien_md/_s1). No graph anchor to relabel."", ""severity"": ""LOW""}",false,high,Open: should a stub :Bauwerk/:Projekt be created? Deferred.
Stuttgart 210 (canonical),prog_stuttgart_210,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_stuttgart_210"", ""reason"": ""Already :Programm (status=active). Merge target for p_stuttgart_210."", ""severity"": ""LOW""}",false,high,
Stuttgart 210 (stub),p_stuttgart_210,Projekt,none,merge,prog_stuttgart_210,merge_node,"{""op"": ""merge_node"", ""from"": ""p_stuttgart_210"", ""to"": ""prog_stuttgart_210"", ""reason"": ""User reclassify: Stuttgart 210 → research/living-lab Programm."", ""severity"": ""MEDIUM""}",true,high,
Reallabor B(e) Ware (canonical),prog_reallabor_be_ware,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_reallabor_be_ware"", ""reason"": ""Already :Programm. Merge target for both p_reallabor_be_ware AND p_reallabor_b_e_ware."", ""severity"": ""LOW""}",false,high,
Reallabor B(e) Ware (stub 1),p_reallabor_be_ware,Projekt,none,merge,prog_reallabor_be_ware,merge_node,"{""op"": ""merge_node"", ""from"": ""p_reallabor_be_ware"", ""to"": ""prog_reallabor_be_ware"", ""reason"": ""User reclassify+dedup."", ""severity"": ""MEDIUM""}",true,high,
Reallabor B(e) Ware (stub 2),p_reallabor_b_e_ware,Projekt,none,merge,prog_reallabor_be_ware,merge_node,"{""op"": ""merge_node"", ""from"": ""p_reallabor_b_e_ware"", ""to"": ""prog_reallabor_be_ware"", ""reason"": ""User reclassify+dedup: second duplicate."", ""severity"": ""MEDIUM""}",true,high,
UMAR Unit,p_umar_unit,Projekt,RECLAIMED_PROOF nutzt=1,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""p_umar_unit"", ""reason"": ""Reclaimed_proof=true (NUTZT_BAUWERK=1, HAT_BAUTEILGRUPPE=8, HAT_METHODE=4). Keep."", ""severity"": ""LOW""}",false,high,
ETH Circular Construction student (B4: merge per user 2026-05-31),p_eth_circular_construction_student_reuse_project,Projekt,none,merge,prog_mas_dfab,merge_node,"{""op"": ""merge_node"", ""from"": ""p_eth_circular_construction_student_reuse_project"", ""to"": ""prog_mas_dfab"", ""reason"": ""User decision 2026-05-31 (B4): merge student reuse project into the MAS DFAB ETH programme canonical. The student project IS a MAS DFAB output."", ""severity"": ""MEDIUM""}",true,high,
MAS DFAB ETH (canonical for B4 merge),prog_mas_dfab,Programm,none,keep,,noop_reviewed,"{""op"": ""noop_reviewed"", ""id"": ""prog_mas_dfab"", ""reason"": ""Already :Programm (status=active). Merge target for B4."", ""severity"": ""LOW""}",false,high,
LYSP8 → canonical name,p_lysp8,Projekt,none,rename_canonical,,set_property,"{""op"": ""set_property"", ""id"": ""p_lysp8"", ""property"": ""name"", ""value"": ""LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel"", ""reason"": ""User dedup intent: only one node exists; rename to canonical form."", ""severity"": ""LOW""}",false,high,
