rang,name,land,RSI_final,RSI_brutto,RSI_v3_historical,confidence,confidence_class,einstufung,archetyp,profile,verified,K1_raw,K2_raw,K3_raw,K4_raw,K5_raw,K6_raw,K7_raw,K8_raw,K9_raw,K10_raw,K11_raw,K12_raw,K13_raw,K14_raw,G1,G2,G3,G4,G5,G6
40,Zinneke / FEDER Masui4ever Brussels,Belgien,36.5,36.5,42.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,2,1,1,1,2,1,2,2,0,2,2,1,1,1,0,0,0,1,0
41,Lokomotion Technology Centre mini-pilot Tampere,Finnland,36.2,36.2,51.8,0.33,C,Einzelfall / Fallstudie,DfD-Systemreferenz,whole_building_project,False,1,1,1,1,1,1,1,2,4,2,2,1,2,1,0,0,0,0,0,0
42,Svanen / The Swan Kindergarten Gladsaxe,Dänemark,36.2,36.2,47.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,2,1,1,2,1,2,2,2,2,1,1,1,0,1,0,0,1,0
43,PLP London HQ circular studio fit-out,Vereinigtes Königreich,36.0,36.0,47.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,2,1,1,1,2,1,2,2,1,2,2,1,2,0,0,0,0,1,0
44,ELYS Kultur- und Gewerbehaus Basel,Schweiz,36.0,36.0,46.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,2,1,1,1,2,1,2,2,1,2,2,1,2,0,0,0,0,1,0
45,BlueCity Offices Rotterdam,Niederlande,36.0,36.0,46.3,0.33,C,Einzelfall / Fallstudie,Tiefen-Pilot,whole_building_project,False,2,1,1,1,1,2,1,2,1,3,2,1,1,3,1,0,0,0,1,0
46,Jeugdkliniek Ithaka / Emergis Kloetinge,Niederlande,36.0,36.0,41.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,0,0,0,1,0
47,Roots in the Sky / Blackfriars Crown Court,Vereinigtes Königreich,35.2,35.2,44.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,2,1,1,1,2,1,2,1,2,2,2,1,1,0,0,0,0,1,0
48,Saxum Vineyard Equipment Barn,USA,35.2,35.2,38.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,2,1,1,1,2,1,2,1,2,2,2,1,1,0,0,0,0,1,0
49,"Liander / Alliander HQ, Duiven",Niederlande,34.2,34.2,53.2,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,2,1,1,2,1,2,1,2,2,1,1,1,0,1,0,0,1,0
50,CascadeUp / London secondary-timber glulam demonstrator,Vereinigtes Königreich,33.8,33.8,53.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,2,2,1,1,1,0,0,0,0,1,0
51,"Broethen Twin-House, Hoyerswerda",Deutschland,33.8,33.8,47.1,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,2,2,1,1,1,0,0,0,0,1,0
52,"Maison des Canaux, Paris",Frankreich,33.8,33.8,46.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,2,2,1,1,1,0,0,0,0,1,0
53,Christus-Pavillon / Christ Pavilion Volkenroda,Deutschland,33.8,33.8,46.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,2,2,1,1,1,0,0,0,0,1,0
54,AWM Münster – zirkulärer Büroausbau 3. OG,Deutschland,32.8,32.8,44.6,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,2,1,1,1,2,1,1,1,1,2,2,1,4,0,0,0,0,1,0
55,Musée de Folklore Vie Frontalière / MUSEF Mouscron,Belgien,32.5,32.5,28.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,0,0,0,1,0
56,"gjG House, Gentbrugge / Ghent",Belgien,32.0,32.0,44.4,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,1,2,2,2,1,1,1,0,0,0,0,1,0
57,Haus HOS / Mehrfamilienhaus Mühlhausen,Deutschland,32.0,32.0,42.5,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,structural_reuse,False,1,1,1,1,1,2,1,1,2,2,2,1,1,1,0,0,0,0,1,0
58,Mehrow Pilot House,Deutschland,32.0,32.0,37.1,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,1,2,2,2,1,1,1,0,0,0,0,1,0
59,"Lycée Michel Lucius Conversion, Luxembourg",Luxemburg,31.8,31.8,42.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0
60,Melkinlaituri Primary School and Day-care Centre Helsinki,Finnland,31.5,31.5,40.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0
61,MedUni Campus Mariannengasse Wien — BauKarussell pre-demolition reuse,Österreich,31.5,31.5,38.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0
62,ELEMENTA Walkeweg Basel — Wohnbau mit Wiederverwendung von Bestandskomponenten (Kanton Basel-Stadt Wettbewerb),Schweiz,30.8,30.8,35.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,0,2,1,1,1,0,0,0,0,1,0
63,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house,Deutschland,30.8,30.8,33.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,0,2,1,1,1,0,0,0,0,1,0
64,"Association house, Gröditz",Deutschland,30.8,30.8,31.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,0,2,1,1,1,0,0,0,0,1,0
65,"Association house, Plauen",Deutschland,30.8,30.8,30.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,2,0,2,1,1,1,0,0,0,0,1,0
66,Montessori Maassluis,Niederlande,30.2,30.2,50.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,0,0,0,1,0
67,Circular Pavilion Paris,Frankreich,30.2,30.2,43.3,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,0,2,2,2,1,1,1,0,0,0,0,1,0
68,Brighton Waste House / Brighton Wild House,Vereinigtes Königreich,30.2,30.2,37.2,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,0,0,0,1,0
69,Lo-Reninge Town Hall façade / Stadhuis Lo,Belgien,30.2,30.2,32.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,0,0,0,1,0
70,"Maison DnA / dnA House, Asse",Belgien,30.0,30.0,41.7,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,1,1,2,2,1,1,1,0,0,0,0,1,0
71,"UMAR Unit — Urban Mining and Recycling, NEST Empa Dübendorf",Schweiz,30.0,30.0,38.3,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0
72,"Big Dig House, Lexington, Massachusetts",USA,30.0,30.0,33.1,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0
73,Boulder Fire Station 3 / City of Boulder Fire Rescue Station #3,USA,30.0,30.0,26.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0
74,"Bestandverplanzung Pavilion, München",Deutschland,28.8,28.8,27.8,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,1,0,2,1,1,1,0,0,0,0,1,0
75,"Institut de Botanique de l’ULg, Liège",Belgien,28.8,28.8,27.3,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,1,0,2,1,1,1,0,0,0,0,1,0
76,"Jugendtreff Ingersheim — CLT-Reuse Pilot (Stuttgart 210 first reallab, 2024)",Deutschland,28.5,28.5,30.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,2,0,2,1,1,1,0,0,0,0,0,0
77,"Maison Vignette, Auderghem",Belgien,28.5,28.5,27.4,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,0,0,0,1,0
78,"Big Dig Building, Boston/Cambridge",USA,28.0,28.0,30.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0
79,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel (Loeliger Strub / Zirkular / Stiftung Habitat),Schweiz,28.0,28.0,26.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0
80,Schärenmoosstrasse 115/117 Zürich — ménage à trois (Stiftung PWG Wettbewerb 2022),Schweiz,28.0,28.0,17.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0
81,"Chiro d’Itterbeek / Sanitary block, Dilbeek",Belgien,26.2,26.2,29.3,0.33,C,Einzelfall / Fallstudie,Klein-Pilot / Reallabor,whole_building_project,False,1,1,1,1,1,2,1,0,0,2,2,1,1,1,0,0,0,0,1,0
82,OXY — Centre Monnaie Brussels reuse renovation,,25.8,25.8,0.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,0,1,2,1,1,2,1,1,1,0,0,0,0,0,0
83,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel,,25.8,25.8,0.0,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,0,1,2,1,1,2,1,1,1,0,0,0,0,0,0
