rank,project_id,project_name,project_full_name,status,year_completed,degree,country_count,countries,city_count,cities,actor_count,actors,program_count,programs,building_count,buildings,component_group_count,component_groups,component_type_count,component_types,material_count,materials,method_count,methods,process_phase_count,process_phases,use_count,uses,procurement_path_count,procurement_paths,barrier_count,barriers,software_count,software,primary_source_url,source_urls
11,p_meduni_campus_mariannengasse,MedUni Campus Wien,MedUni Campus Mariannengasse Wien — BauKarussell pre-demolition reuse,reuse phase documented 2020; demolition + new construction subsequent,,60,1,Österreich,1,Wien,6,BauKarussell; BIG (Bundesimmob.); Die Kümmerei; DRZ; MedUni Wien; Wiener Aufzugmus.,0,,1,MedUni Campus Wien,20,bg_reuse_aluminium_technik_meduni_cable_ducts_grids_candidate; bg_reuse_ausbau_wand_meduni_toilet_partitions_candidate; bg_reuse_boden_meduni_double_floors_candidate; bg_reuse_fliesen_boden_wand_meduni_tiles_candidate; bg_reuse_holz_boden_meduni_parquet_candidate; bg_reuse_holz_treppe_meduni_oak_handrails_candidate; bg_reuse_holz_tueren_meduni_doors_candidate; bg_reuse_mehrere_mehrere_meduni_component_catalogue; bg_reuse_metall_technik_meduni_copper_cables_candidate; bg_reuse_metall_treppe_meduni_jugendstil_handrails_candidate; bg_reuse_moebel_lager_meduni_heavy_shelves_candidate; bg_reuse_moebel_sitze_meduni_cinema_seats_candidate; bg_reuse_moebel_stuehle_meduni_folding_chairs_candidate; bg_reuse_technik_aufzug_meduni_paternoster_candidate; bg_reuse_technik_ausbau_meduni_projector_screen_candidate; bg_reuse_technik_ausbau_meduni_vintage_clocks_candidate; MedUni Fahrradwerkst.; MedUni Paternoster; MedUni Schwerlastreg.; MedUni Türen→Wand,4,Ausbau; Decke; Technik; Wand,3,Glas; Holz; Stahl,5,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design; Zirkulaere_Beschaffung,0,,1,Schule_Bildung,0,,3,Akzeptanzproblem; Ausschreibungsproblem; Terminunsicherheit,0,,,
12,p_k118_kopfbau_halle_118_winterthur,K.118 Winterthur,K118 Kopfbau Halle 118 Winterthur,Realisiert,2021,58,1,Schweiz,1,Winterthur,7,baubüro in situ; Josef Kolb AG; Oberli Ingenieurbau AG; Stiftung Abendrot / Vorsorgestiftung Abendrot; Wetter AG; ZHAW IKE; Zirkular,0,,4,Bestehende Industriehall…; ELYS-Projekt Basel; Kopfbau Halle 118; Orion-Bürogebäude Zürich,16,bg_reuse_glas_fenster_k118_zurich_windows_candidate; bg_reuse_holz_boden_k118_parquet_candidate; bg_reuse_holz_dach_k118_aarau_roof_elements_candidate; bg_reuse_holz_tueren_k118_uster_doors_candidate; bg_reuse_mehrere_technik_k118_pv_candidate; bg_reuse_metall_fassade_k118_red_sheets_candidate; bg_reuse_naturstein_boden_k118_granite_candidate; bg_reuse_naturstein_fassade_k118_granit_orion_candidate; bg_reuse_stahl_erschliessung_k118_aussentreppe_orion_candidate; bg_reuse_stahl_mehrere_k118_kopfbau_halle_118_winterthur_stahltraeger_candidate; bg_reuse_stahl_tragwerk_k118_basel_steel_beams_candidate; bg_reuse_stahl_treppe_k118_orion_stair_candidate; bg_reuse_technik_ausbau_k118_fixtures_candidate; Externe Stahltreppe; Naturstein-/Granitplatten; Stahlträger und Stützen…,0,,0,,6,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Reversibles_Design; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design; Zirkulaere_Beschaffung,0,,1,Gewerbe,0,,3,Ausschreibungsproblem; Entwurfsbindung; Fehlende_Lagerflaeche,0,,,https://zirkular.net/de/projekt/k-118-kopfbau-halle-118; https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ; https://www.galvanizingeurope.org/case_studies/k-118-from-former-factory-to-beacon-of-sustainable-building; https://www.arch2o.com/k118-kopfbau-halle-118-bauburo-in-situ; https://zirkular.net/en/project/reuse-in-construction-a-compendium-of-circular-architecture; https://www.researchgate.net/publication/376148869_Case_Study_K118_-_The_Reuse_of_Building_Components_in_Winterthur_Switzerland; https://intergalva.com/awards/global-galvanizing-awards-2024/k-118-kopfbau-halle-118; https://www.lagerplatz.ch/
13,p_multi_brussels_reuse_in_multi,Multi Brussels,Multi Brussels / Reuse in MULTI,Realisiert,,58,1,Belgien,1,Brüssel,7,CONIX RDBM; Cordeel; Immobel; Madaster / EPEA; Rotor; RotorDC; Whitewood,0,,3,Ehemaliger Philips; Externe Urban-Mining-Que…; Gén. de Banque BXL,9,bg_reuse_aluminium_profile_multi_facade_h_profiles; bg_reuse_stein_boden_multi_bruges_bluestone_flagstones; bg_reuse_stein_boden_multi_generale_granite_flooring; bg_reuse_stein_boden_multi_paris_granite_terrace; bg_reuse_stein_multi_bluestone_blocks_plinth; bg_reuse_technik_multi_elevator_engines; Blaustein-Fassadenblöcke…; Granit- und Natursteinpl…; Wieder eingebaute…,5,Boden; Fassade; Gelaender; Technik; Wand,3,Aluminium; Naturstein; Stahl,4,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,0,,2,Buero; Mischnutzung,0,,0,,0,,https://rotordb.org/en/projects/reuse-multi-project,https://rotordb.org/en/projects/reuse-multi-project
14,p_circl_abn_amro,Circl,Circl / ABN AMRO urban mining context,,2017,57,1,Niederlande,1,Amsterdam,14,ABN AMRO; BAM Bouw + Techniek; De Groot & Visser; Donkergroen; Exasun; Fagerhult; Icon Real Estate; lcp-circulair; New Horizon UM; Ter Velde & Den Besten; TRAJECT; TU Delft; Vermaat; Victory Group,1,ABN AMRO Mission 2030,1,Circl Pavilion AMS,5,Circl ABN-Möbel; Circl Bürofenster; Circl Fenster→Boden; Circl Jeans-Dämmung; Circl Textilfilz-Wand,9,Ausbau; Boden; Dach; Daemmung; Fassade; Fenster; Technik; Traeger; Wand,3,Holz; Kunststoff; Stahl,0,,0,,2,Buero; Mischnutzung,0,,0,,1,LLMNT,,
15,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,,Prototyp; Realisiert; Temporaer,,56,1,Deutschland,1,Berlin,4,Bundeszentrale für politische Bildung (bpb); Deutsche Bundesstiftung Umwelt (DBU); TU Berlin Fachgebiet Bauphysik und Baukonstruktionen; zukunftsgeraeusche GbR,1,Forschungsprojekt,4,Olympisches Dorf München; Peter-Behrens-Halle TU…; PH12-Punkthochhaus…; Plattenvereinigung…,4,Deckenelemente; Ost- und westdeutsche…; Treppenelemente; Wand- und Fassadenelemen…,0,,0,,0,,6,Betrieb; Identifikation; Lagerung; Rueckbau; Transport; Wiedereinbau,2,Kultur; Schule_Bildung,1,Rueckbauprojekt,2,Aufbereitungsaufwand; Heterogenitaet_Chargen,0,,,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html; https://www.umweltbundesamt.de/system/files/medien/378/publikationen/texte_93_2015_wiederverwertung_von_bauteilen_0.pdf; https://www.plattenvereinigung.de/project/orte/
16,p_holbein_gardens_london,"Holbein Gardens, London",,Realisiert,2023,55,1,Vereinigtes Königreich,1,London,7,Barr Gazetas; Blenheim House; Cleveland Steel & Tubes; Eurban; Grosvenor; Heyne Tillett Steel / HTS; TFT Consultants,0,,2,Cleveland Steel reclaimed; Holbein Gardens 1980er…,3,CLT-Decken der Erweiteru…; Stahlträger un… (Holbein); Stone / brickwork,5,Decke; Fassade; Stuetze; Traeger; Wand,5,Beton; Holz; Naturstein; Stahl; Ziegel,4,Bestands_und_ReUse_Assessment; Reversibles_Design; Urban_Mining_und_Scouting; Zirkulaere_Beschaffung,4,Aufbereitung; Identifikation; Pruefung; Wiedereinbau,2,Buero; Gewerbe,2,Bauteilboerse; Direktvermittlung,2,Terminunsicherheit; Verfuegbarkeitsproblem,0,,,https://www.grosvenor.com/news-insights/some-of-uk%E2%80%99s-first-salvaged-steelwork-reused-in-holbein-gardens-retrofit; https://hts.uk.com/project/holbein-gardens; https://www.istructe.org/journal/volumes/volume-101-%282023%29/issue-3/holbein-gardens-low-carbon-reclaimed-steel; https://www.newsteelconstruction.com/wp/holbein-gardens-london; https://terc.org.uk/54-2; https://ukgbc.org/resources/reused-steel-stockmatcher; https://asbp.org.uk/case-studies/holbein-gardens; https://nla.london/projects/holbein-gardens-2; https://link.springer.com/article/10.1007/s13296-023-00778-4; https://www.researchgate.net/publication/339713300_SCI_P427_-_Structural_Steel_Reuse_assessment_testing_and_design_principles; https://www.tftconsultants.com/projects/holbein-gardens-london; https://www.iom3.org/resource/steel-reused-from-uk-s-first-steelworks.html; https://www.grosvenor.com/property/holbein-gardens
17,p_timber_square_london,Timber Square London,,In_Bau; Unklar,,53,1,Vereinigtes Königreich,1,London,10,Alinea / T+T Alinea; Bennetts Associates; Cleveland Steel & Tubes; Heyne Tillett Steel / HTS; Hoare Lea; Hybrid Structures; Landsec; Mace; Opera; Stora Enso,0,,2,Timber Square Ink…; Timber Square Print…,3,Demontierbare TGA-/Plant…; Stahlträger (Timber); Stahlträger als Empfangs…,5,Ausbau; Decke; Stuetze; Technik; Traeger,3,Beton; Holz; Stahl,4,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Reversibles_Design; Zirkulaere_Beschaffung,0,,3,Buero; Gewerbe; Mischnutzung,0,,2,Mengenunsicherheit; Verfuegbarkeitsproblem,1,HTS Reused Steel Stockmatcher,,
18,p_bluecity_offices_rotterdam,BlueCity Offices…,BlueCity Offices Rotterdam,Realisiert,2017,52,1,Niederlande,1,Rotterdam,5,Bik Bouw; BlueCity / Blue City 010 BV; COUP; Floris Schiferli; Workspot,0,,3,BlueCity Offices; Ehemaliges Tropicana; Tropicana Rotterdam,7,Balustraden; Betonblöcke als Trennwän…; bg_reuse_beton_innenwand_bluecity_original_concrete_blocks; bg_reuse_glas_innenwand_bluecity_reused_window_frames; bg_reuse_metall_gelaender_bluecity_oil_platform_balustrades; bg_reuse_stahl_tragwerk_bluecity_reused_steel; Stahl im Büroausbau,0,,0,,2,Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,0,,2,Buero; Gewerbe,1,Informelles_Netzwerk,0,,1,Oogstkaart / Harvest Map logic,,https://www.bluecity.nl/
19,p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,Haus HOS / Mehrfamilienhaus Mühlhausen,Realisiert,2008,50,1,Deutschland,2,"Leinefelde; Mühlhausen, Thüringen",4,Architekturbüro Hose; BTU Cottbus / Dr. Angelika Mettke; Privater Bauherr Haus HOS; Seidl + Seidl Architekten,1,Pilotprojekt,2,Haus HOS Mehrfamilienhau…; Rückbaustelle,3,Stahlbeton-Deckenelemente; Stahlbeton-Treppen; Stahlbeton-Wandelemente,0,,0,,0,,4,Identifikation; Rueckbau; Transport; Wiedereinbau,1,Wohnen,2,Direktvermittlung; Rueckbauprojekt,2,Akzeptanzproblem; Entwurfsbindung,0,,,https://doi.org/10.1016/j.jclepro.2022.135235; https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents; https://baustatik-wiki.fiw.hs-wismar.de/mediawiki/index.php/Wiederverwendung_von_Stahlbetonbauteilen; https://innowest-brandenburg.de/beitraege/Bachelorarbeit-plattenbautyp-wbs-70; https://www.seidlarchitekten.de/haus-hos-muehlhausen; https://www.seidlarchitekten.de/wp-content/uploads/2022/10/SeidlSeidl-Architekten_Haus-Hos_Muehlhausen.pdf; https://www.stern.de/wirtschaft/immobilien/vorzeigeimmobilien-recycling-der-platte-3300150.html; https://www.seidlarchitekten.de/haus-hos-muehlhausen/
20,p_plattenpalast_berlin,Plattenpalast Berlin,,Prototyp; Realisiert,2009,50,1,Deutschland,1,Berlin,3,Carsten Wiewiorra; TU Berlin / IEMB; Wiewiorra Hopp Architekten,1,Forschungsprojekt,4,Palast der Republik…; Peter-Behrens-Halle…; Plattenpalast Kleinsthaus; rückgebaute WBS70-Platte…,2,13 WBS70-Wand- und…; Fenster und Rahmen aus…,0,,0,,0,,5,Aufbereitung; Identifikation; Rueckbau; Transport; Wiedereinbau,2,Kultur; Wohnen,1,Rueckbauprojekt,1,Akzeptanzproblem,0,,,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html; https://www.umweltbundesamt.de/system/files/medien/378/publikationen/texte_93_2015_wiederverwertung_von_bauteilen_0.pdf
21,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Circular Centre Netherlands / Prinsenhof A reuse pilot,Geplant,,49,1,Niederlande,2,Arnhem; Heerde,6,cepezed; Dycore; IMd Raadgevende Ingenieurs; Lagemaat Heerde; Provincie Gelderland; ReCreate Dutch cluster,2,Forschungsprojekt; Pilotprojekt,2,"CCN Heerde; Prinsenhof A, Arnhem",3,Betonbruestungen; Hohlkoerperdecken; Prefab-Fassadenelemente,0,,0,,0,,3,Aufbereitung; Planung; Rueckbau,1,Schule_Bildung,2,Eigenbestand; Rueckbauprojekt,3,Aufbereitungsaufwand; Entwurfsbindung; Fehlende_Lagerflaeche,0,,,https://recreate-project.eu/
22,p_christ_pavilion_volkenroda,Christus-Pavillon,Christus-Pavillon / Christ Pavilion Volkenroda,Realisiert,,48,1,Deutschland,1,Volkenroda / Koerner,7,"Andreas Felger; Evangelisch-Lutherische Landeskirche Hannover; Evangelisches Buero fuer die Weltausstellung Expo 2000; gmp Architekten von Gerkan, Marg und Partner; Joachim Zais; Kloster Volkenroda / Jesus-Bruderschaft; Meinhard von Gerkan",1,EXPO 2000 Hannover,2,Christus-Pavillon EXPO…; Christus-Pavillon…,6,Dachtragwerk Christusraum; Gesamtes transloziertes…; Kreuzgang; Marmor-Glas-Wand…; Neun kreuzfoermige…; Sichtbetonteile des…,0,,0,,0,,0,,1,Kultur,0,,1,Witterung_Feuchte,0,,,
23,p_liander_alliander_hq_duiven,Liander,"Liander / Alliander HQ, Duiven",Realisiert,,48,1,Niederlande,1,Duiven,4,Alliander / Liander; Madaster / Materialpass-Kontext; RAU Architects; Turntoo / Circularity-Kontext,0,,2,Alliander; Bestandsensemble…,8,bg_reuse_asphalt_liander_existing_roofs; bg_reuse_bestand_liander_existing_constructions; bg_reuse_beton_liander_demolished_concrete; bg_reuse_decke_liander_existing_ceiling_plates; bg_reuse_holz_fassade_liander_waste_wood_facades; bg_reuse_sanitaer_liander_existing_toilets; bg_reuse_stahl_tragwerk_liander_extension_steel; bg_reuse_tuer_moebel_liander_doors_to_furniture,0,,0,,3,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Reversibles_Design,0,,1,Buero,0,,1,Entwurfsbindung,0,,,https://www.alliander.com/
24,p_svanen_kindergarten_gladsaxe,Svanen,Svanen / The Swan Kindergarten Gladsaxe,Realisiert,,48,1,Dänemark,1,Gladsaxe,7,Aksel V. Jensen A/S; Ason A/S; Gladsaxe Kommune / Gladsaxe Municipality; Lendager; NIRAS; Sweco / Sweco Architects; Tscherning,0,,2,Børnehuset Svanen; Ehemalige Gladsaxe School,7,Beton als Recycling-Zusc…; bg_reuse_mehrere_mehrere_svanen_clock_dome_washbasins; Dachziegel (Svanen); Holz-Dachbinder; Holzrafters; Stahlfassadenelemente; Ziegel,0,,0,,4,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,0,,2,Schule_Bildung; Sozialbau,0,,0,,0,,,https://lendager.com/project/the-swan; https://stateofgreen.com/en/solutions/a-swan-takes-shape; https://www.troldtekt.com/references/children-and-youth/boernehuset-svanen; https://gladsaxe.dk/svanen; https://www.sweco.dk/en/showroom/boernehuset-svanen-the-worlds-first-circular-kindergarten; https://www.danskindustri.dk/synligbeton.dk/projekter/byggeri/bornehuset-svanen; https://www.troldtekt.dk/nyheder-og-presse/nyheder/2022/verdens-foerste-cirkulaere-boernehave-vinder-pris-ved-danish-design-award-2022; https://www.hringvangur.is/en/post/svanurinn-1; https://bygtek.dk/artikel/byggeri/svanemrket-brnehus-i-gladsaxe-vinder-eftertragtet-designpris; https://dagensbyggeri.dk/gronnere-byggeri/aldrig-set-for-bornehus-af-genbrugte-materialer-far-svanemaerket; https://www.gladsaxe.dk/
