project_id,project_name,countries,actor_id,actor_name,role_text,relationship_id,evidence_url,evidence_confidence,review_run
p_boulder_fire_station_3,Boulder FS-3,USA,kla_engineers_and_builders,KL&A Engineers and Builders,,r_kla_engineers_and_builders__BETEILIGT_AN__p_boulder_fire_station_3,,,
p_boulder_fire_station_3,Boulder FS-3,USA,mark_young_construction,Mark Young Construction,,r_mark_young_construction__BETEILIGT_AN__p_boulder_fire_station_3,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,arup,Arup,,r_arup__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,bourne_special_projects,Bourne Special Projects / Bourne Group,,r_bourne_special_projects__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,brent_cross_south_limited_partnership,Brent Cross South Limited Partnership,,r_brent_cross_south_limited_partnership__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,cleveland_steel_tubes,Cleveland Steel & Tubes,,r_cleveland_steel_tubes__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,galldris_group,Galldris Group,,r_galldris_group__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,if_do,IF_DO,,r_if_do__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,lakwena,Lakwena,,r_lakwena__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,london_borough_of_barnet,London Borough of Barnet,,r_london_borough_of_barnet__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,related_argent,Related Argent,,r_related_argent__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brent_cross_town_primary_substation_london,Brent Cross Town…,Vereinigtes Königreich,whitby_wood,Whitby Wood,,r_whitby_wood__BETEILIGT_AN__p_brent_cross_town_primary_substation_london,,,
p_brighton_waste_house_brighton,Brighton Waste House,Vereinigtes Königreich,cat_fletcher_freegle,Cat Fletcher / Freegle,,r_cat_fletcher_freegle__BETEILIGT_AN__p_brighton_waste_house_brighton,,,
p_brighton_waste_house_brighton,Brighton Waste House,Vereinigtes Königreich,greater_brighton_metropolitan_college,Greater Brighton Metropolitan College,,r_greater_brighton_metropolitan_college__BETEILIGT_AN__p_brighton_waste_house_brighton,,,
p_brighton_waste_house_brighton,Brighton Waste House,Vereinigtes Königreich,mears_group,Mears Group,,r_mears_group__BETEILIGT_AN__p_brighton_waste_house_brighton,,,
p_brighton_waste_house_brighton,Brighton Waste House,Vereinigtes Königreich,studierende_freiwillige,"Studierende, Schulkinder und Freiwillige",,r_studierende_freiwillige__BETEILIGT_AN__p_brighton_waste_house_brighton,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,akustik_ingenieurbuero_moll,Akustik-Ingenieurbuero Moll,,r_akustik_ingenieurbuero_moll__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,concular,Concular,,r_concular__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,lxsy_architektur,LXSY Architektur,,r_lxsy_architektur__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,solares_bauen,Solares Bauen,,r_solares_bauen__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,zrs_ingenieure,ZRS Ingenieure,,r_zrs_ingenieure__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,brandkontrolle,brandkontrolle,,r_brandkontrolle__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_crclr_house_impact_hub_berlin,CRCLR House,Deutschland,ezeit,eZeit,,r_ezeit__BETEILIGT_AN__p_crclr_house_impact_hub_berlin,,,
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,Vereinigtes Königreich,colin_rose,Dr Colin Rose,,r_colin_rose__BETEILIGT_AN__p_cascadeup_london_secondary_timber_glulam_demonstrator,,,
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,Vereinigtes Königreich,ucl_circular_economy_lab,UCL Circular Economy Lab,,r_ucl_circular_economy_lab__BETEILIGT_AN__p_cascadeup_london_secondary_timber_glulam_demonstrator,,,
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,Vereinigtes Königreich,uk_clt,UK CLT,,r_uk_clt__BETEILIGT_AN__p_cascadeup_london_secondary_timber_glulam_demonstrator,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,bouwstocks,Bouwstocks,,r_bouwstocks__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,cc_autrement,CC Autrement,,r_cc_autrement__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,commune_de_dilbeek,Commune de Dilbeek,,r_commune_de_dilbeek__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,franck,Franck,,r_franck__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,gebruiktebouwmaterialen,Gebruiktebouwmaterialen,,r_gebruiktebouwmaterialen__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,namur_croisade_pauvrete,Namur Croisade pauvreté,,r_namur_croisade_pauvrete__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,Rotor,Rotor,,r_Rotor__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Belgien,rotordc,RotorDC,,r_rotordc__BETEILIGT_AN__p_chiro_d_itterbeek_dilbeek,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,andreas_felger,Andreas Felger,,r_andreas_felger__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,ev_luth_landeskirche_hannover,Evangelisch-Lutherische Landeskirche Hannover,,r_ev_luth_landeskirche_hannover__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,evangelisches_buero_expo_2000,Evangelisches Buero fuer die Weltausstellung Expo 2000,,r_evangelisches_buero_expo_2000__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,joachim_zais,Joachim Zais,,r_joachim_zais__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,kloster_volkenroda_jesus_bruderschaft,Kloster Volkenroda / Jesus-Bruderschaft,,r_kloster_volkenroda_jesus_bruderschaft__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,meinhard_von_gerkan,Meinhard von Gerkan,,r_meinhard_von_gerkan__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_christ_pavilion_volkenroda,Christus-Pavillon,Deutschland,gmp_architekten,"gmp Architekten von Gerkan, Marg und Partner",,r_gmp_architekten__BETEILIGT_AN__p_christ_pavilion_volkenroda,,,
p_circl_abn_amro,Circl,Niederlande,abn_amro,ABN AMRO,,r_abn_amro__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,bam_bouw_techniek,BAM Bouw + Techniek,,r_bam_bouw_techniek__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,de_groot_en_visser,De Groot & Visser,,r_de_groot_en_visser__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,donkergroen,Donkergroen,,r_donkergroen__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,exasun,Exasun,,r_exasun__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,fagerhult,Fagerhult,,r_fagerhult__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,icon_real_estate,Icon Real Estate,,r_icon_real_estate__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,new_horizon_urban_mining,New Horizon UM,,r_new_horizon_urban_mining__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,traject,TRAJECT,,r_traject__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,tu_delft,TU Delft,,r_tu_delft__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,ter_velde_den_besten,Ter Velde & Den Besten,,r_ter_velde_den_besten__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,vermaat,Vermaat,,r_vermaat__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,victory_group,Victory Group,,r_victory_group__BETEILIGT_AN__p_circl_abn_amro,,,
p_circl_abn_amro,Circl,Niederlande,lcp_circulair,lcp-circulair,,r_lcp_circulair__BETEILIGT_AN__p_circl_abn_amro,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,dycore,Dycore,,r_dycore__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,imd_raadgevende_ingenieurs,IMd Raadgevende Ingenieurs,,r_imd_raadgevende_ingenieurs__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,lagemaat_heerde,Lagemaat Heerde,,r_lagemaat_heerde__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,provincie_gelderland,Provincie Gelderland,,r_provincie_gelderland__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,recreate_dutch_cluster,ReCreate Dutch cluster,,r_recreate_dutch_cluster__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Niederlande,cepezed,cepezed,,r_cepezed__BETEILIGT_AN__p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,bonnefrite,Bonnefrite,,r_bonnefrite__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,camping_design,Camping Design,,r_camping_design__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,encore_heureux,Encore Heureux,,r_encore_heureux__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,tribu,TRIBU,,r_tribu__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,services_techniques_ville_de_paris,Technische Dienste der Stadt Paris,,r_services_techniques_ville_de_paris__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_circular_pavilion_paris,Circular Pavilion Paris,Frankreich,ville_de_paris_pavillon_arsenal,Ville de Paris – Pavillon de l Arsenal,,r_ville_de_paris_pavillon_arsenal__BETEILIGT_AN__p_circular_pavilion_paris,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,afc_basel,AFC Basel,,r_afc_basel__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,ana_olalquiaga,Ana Olalquiaga,,r_ana_olalquiaga__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,anima_engineering,Anima Engineering AG,,r_anima_engineering__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,bauteilboerse_basel_overall,Bauteilbörse Basel,,r_bauteilboerse_basel_overall__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,bauteilkatalog_immobilien_basel_stadt,Bauteilkatalog Immobilien Basel-Stadt,,r_bauteilkatalog_immobilien_basel_stadt__BETEILIGT_AN__p_elementa_walkeweg,,0.9,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,caretta_weidmann,Caretta+Weidmann,,r_caretta_weidmann__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,digvis_gmbh,Digvis GmbH,,r_digvis_gmbh__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,gti_engineering,GTI Engineering,,r_gti_engineering__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,kanton_basel_stadt,Kanton Basel-Stadt,,r_kanton_basel_stadt__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,mario_monotti,Mario Monotti,,r_mario_monotti__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,monotti_ingegneri,Monotti Ingegneri,,r_monotti_ingegneri__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,roger_keller,Roger Keller,,r_roger_keller__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,senn_technology,Senn Technology AG,,r_senn_technology__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,usus_la,USUS Landschaftsarch.,,r_usus_la__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elementa_walkeweg,ELEMENTA Walkeweg,Schweiz,zirkular,Zirkular,,r_zirkular__BETEILIGT_AN__p_elementa_walkeweg,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,husner_ag_holzbau,HUSNER AG Holzbau,,r_husner_ag_holzbau__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,haustec_engineering,Haustec Engineering,,r_haustec_engineering__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,hochbauamt_basel_stadt,Hochbauamt Basel-Stadt,,r_hochbauamt_basel_stadt__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,immobilien_basel_stadt,Immobilien Basel-Stadt,,r_immobilien_basel_stadt__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,jauslin_stebler,Jauslin Stebler,,r_jauslin_stebler__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,pro_engineering,Pro Engineering,,r_pro_engineering__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,rapp_ag,Rapp AG,,r_rapp_ag__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,s_plus_b,S+B,,r_s_plus_b__BETEILIGT_AN__p_elys_kultur_gewerbehaus_basel,,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Schweiz,zirkular,Zirkular,,r_zirkular__beteiligt_an__p_elys_kultur_gewerbehaus_basel,https://zirkular.net/en/project/culture-commercial-center-elys,belegt,swiss_reuse_bubble_2026_06_05
p_europa_building_brussels,Europa Building Brussels,Belgien,belgian_buildings_agency,Belgian Buildings Agency / Regie der Gebouwen,,r_belgian_buildings_agency__BETEILIGT_AN__p_europa_building_brussels,,,
p_europa_building_brussels,Europa Building Brussels,Belgien,bopro,Bopro,,r_bopro__BETEILIGT_AN__p_europa_building_brussels,,,
p_europa_building_brussels,Europa Building Brussels,Belgien,buro_happold,Buro Happold,,r_buro_happold__BETEILIGT_AN__p_europa_building_brussels,,,
p_europa_building_brussels,Europa Building Brussels,Belgien,jan_de_nul,Jan De Nul,,r_jan_de_nul__BETEILIGT_AN__p_europa_building_brussels,,,
p_europa_building_brussels,Europa Building Brussels,Belgien,philippe_samyn_and_partners,Philippe Samyn and Partners,,r_philippe_samyn_and_partners__BETEILIGT_AN__p_europa_building_brussels,,,
p_europa_building_brussels,Europa Building Brussels,Belgien,studio_valle_progettazioni,Studio Valle Progettazioni,,r_studio_valle_progettazioni__BETEILIGT_AN__p_europa_building_brussels,,,
p_ferme_du_rail_paris,Ferme du Rail Paris,Frankreich,albert_et_compagnie,Albert & Compagnie,,r_albert_et_compagnie__BETEILIGT_AN__p_ferme_du_rail_paris,,,
