canonical_name,node_id,n_files,n_variants,rollen,variants,files
Consolis Parma,Consolis_Parma,3,1,,Consolis Parma,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Umacon,Umacon,3,1,,Umacon,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Privat,Privat,3,2,Bauherr,Privat; privat,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md; Maison_DnA_Asse.md; Villa_Welpeloo_Enschede.md
LXSY_Architektur,Lxsy_Architektur,3,2,,LXSY Architektur; LXSY_Architektur,BOELL_LAB_Berlin.md; Impact_Hub_Berlin_CRCLR_Fitout.md; ReUseBox_Heilbronn.md
Gardiner & Theobald,Gardiner_Theobald,2,1,,Gardiner & Theobald,55_Great_Suffolk_Street_London.md; BedZED_London_Hackbridge.md
Mettke/Heyn/Dechantsreiter als Literaturquellen,Mettke_Heyn_Dechantsreiter_Als_Literaturquellen,2,2,,Mettke/Heyn/Dechantsreiter als Literaturquellen; Dechantsreiter et al.,Association_house_Groeditz.md; Association_house_Plauen.md
Dr. Angelika Mettke,Dr_Angelika_Mettke,2,2,,Angelika Mettke; Dr. Angelika Mettke,Association_house_Plauen.md; Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
IEMB,Iemb,2,1,,IEMB,Berlin_Schildow_Pilot_House_2.md; Mehrow_Pilot_House.md
Single Speed Design,Single_Speed_Design,2,1,,Single Speed Design,Big_Dig_Building_Boston.md; Big_Dig_House_Lexington_Massachusetts.md
"John Hong, Jinhee Park, Paul Pedini",John_Hong_Jinhee_Park_Paul_Pedini,2,4,,"John Hong, Jinhee Park, Paul Pedini; Paul Pedini; John Hong; Jinhee Park",Big_Dig_Building_Boston.md; Big_Dig_House_Lexington_Massachusetts.md
cepezed,Cepezed,2,1,,cepezed,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; The_Green_House_Utrecht.md
Encore Heureux Architectes,Encore_Heureux_Architectes,2,2,,Encore Heureux Architectes; Encore Heureux,Circular_Pavilion_Paris.md; Grande_Halle_de_Colombelles.md
Ville de Paris – Pavillon de l’Arsenal,Ville_De_Paris_Pavillon_De_L_Arsenal,2,3,,Ville de Paris – Pavillon de l’Arsenal; technische Dienste der Stadt Paris; Ville de Paris,Circular_Pavilion_Paris.md; Maison_des_Canaux_Paris.md
TRNSFRM eG,Trnsfrm_Eg,2,1,,TRNSFRM eG,CRCLR_House_Impact_Hub_Berlin.md; Impact_Hub_Berlin_CRCLR_Fitout.md
Die Zusammenarbeiter,Die_Zusammenarbeiter,2,1,,Die Zusammenarbeiter,CRCLR_House_Impact_Hub_Berlin.md; Impact_Hub_Berlin_CRCLR_Fitout.md
baubüro in situ,Baubuero_In_Situ,2,1,,baubüro in situ,ELYS_Kultur_Gewerbehaus_Basel.md; K118_Kopfbau_Halle_118_Winterthur.md
Bellastock,Bellastock,2,1,,Bellastock,Ferme_du_Rail_Paris.md; Resilience_La_Ferme_des_Possibles_Stains.md
Albert & Compagnie,Albert_Compagnie,2,2,,Albert & Compagnie; Albert & Co,Ferme_du_Rail_Paris.md; Grande_Halle_de_Colombelles.md
BLAF Architecten,Blaf_Architecten,2,1,,BLAF Architecten,Maison_DnA_Asse.md; gjG_House_Gentbrugge.md
Skanska Finland,Skanska_Finland,2,1,,Skanska Finland,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Tampere University,Tampere_University,2,1,,Tampere University,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Satu Huuhka,Satu_Huuhka,2,1,,Satu Huuhka,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Heyne Tillett Steel,Heyne_Tillett_Steel,2,1,Tragwerksplaner,Heyne Tillett Steel,Holbein_Gardens_London.md; Timber_Square_London.md
HTS,Hts,2,1,Tragwerksplaner,HTS,Holbein_Gardens_London.md; Timber_Square_London.md
Stadt Zürich,Stadt_Zuerich,2,2,Bauherr,Stadt Zürich; Immobilien Stadt Zürich,Juch_Areal_Recyclingzentrum_Zuerich.md; Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Amt für Hochbauten,Amt_Fuer_Hochbauten,2,1,Bauherr,Amt für Hochbauten,Juch_Areal_Recyclingzentrum_Zuerich.md; Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Bureau Greisch,Bureau_Greisch,2,2,,Greisch; Bureau Greisch,Musee_de_Folklore_Mouscron.md; Recypark_Demets_Anderlecht.md
"Daidalos Peutz, Sixco",Daidalos_Peutz_Sixco,2,2,,"Daidalos Peutz; Daidalos Peutz, Sixco",Musee_de_Folklore_Mouscron.md; Verbiest_Karreveld_Brussels.md
Artelia Group,Artelia_Group,2,2,,Artelia Group; Artelia,TRAE_High_Rise_Aarhus.md; Upcycle_Studios_Copenhagen.md
Fabrix,Fabrix,1,1,,Fabrix,55_Great_Suffolk_Street_London.md
Hawkins\Brown,Hawkins_Brown,1,1,,Hawkins\Brown,55_Great_Suffolk_Street_London.md
Symmetrys,Symmetrys,1,1,,Symmetrys,55_Great_Suffolk_Street_London.md
AKT II,Akt_Ii,1,1,,AKT II,55_Great_Suffolk_Street_London.md
CBRE,Cbre,1,1,,CBRE,55_Great_Suffolk_Street_London.md
Opera,Opera,1,1,,Opera,55_Great_Suffolk_Street_London.md
Cantillon,Cantillon,1,1,,Cantillon,55_Great_Suffolk_Street_London.md
Polony 2008,Polony_2008,1,1,,Polony 2008,Association_house_Groeditz.md
Heyn et al.,Heyn_Et_Al,1,1,,Heyn et al.,Association_house_Plauen.md
Fischer et al.,Fischer_Et_Al,1,1,,Fischer et al.,Association_house_Plauen.md
"Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann",Abfallwirtschaftsbetriebe_Muenster_Urselmann_Interior_Concular_Petra_Jablonick_Sven_Urselmann,1,1,,"Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann",AWM_Muenster_Circular_Office.md
Bill Dunster,Bill_Dunster,1,1,,Bill Dunster,BedZED_London_Hackbridge.md
ZEDfactory,Zedfactory,1,1,,ZEDfactory,BedZED_London_Hackbridge.md
BioRegional,Bioregional,1,1,,BioRegional,BedZED_London_Hackbridge.md
Peabody Trust,Peabody_Trust,1,1,Bauherr,Peabody Trust,BedZED_London_Hackbridge.md
Ellis & Moore,Ellis_Moore,1,1,,Ellis & Moore,BedZED_London_Hackbridge.md
Detlev Lange,Detlev_Lange,1,1,,Detlev Lange,Berlin_Schildow_Pilot_House_2.md
Familie Lange,Familie_Lange,1,1,,Familie Lange,Berlin_Schildow_Pilot_House_2.md
SsD,Ssd,1,1,,SsD,Big_Dig_Building_Boston.md
Weidlinger Associates,Weidlinger_Associates,1,1,,Weidlinger Associates,Big_Dig_House_Lexington_Massachusetts.md
BioPartner Center Leiden,Biopartner_Center_Leiden,1,1,,BioPartner Center Leiden,BioPartner_5_Leiden_Oegstgeest.md
Popma ter Steege Architecten,Popma_Ter_Steege_Architecten,1,1,,Popma ter Steege Architecten,BioPartner_5_Leiden_Oegstgeest.md
PTSA,Ptsa,1,1,,PTSA,BioPartner_5_Leiden_Oegstgeest.md
De Vries en Verburg,De_Vries_En_Verburg,1,1,,De Vries en Verburg,BioPartner_5_Leiden_Oegstgeest.md
Vic Obdam Staalbouw,Vic_Obdam_Staalbouw,1,1,,Vic Obdam Staalbouw,BioPartner_5_Leiden_Oegstgeest.md
Deerns,Deerns,1,1,,Deerns,BioPartner_5_Leiden_Oegstgeest.md
STONE22,Stone22,1,1,,STONE22,BioPartner_5_Leiden_Oegstgeest.md
BlueCity,Bluecity,1,1,,BlueCity,BlueCity_Offices_Rotterdam.md
COUP,Coup,1,1,,COUP,BlueCity_Offices_Rotterdam.md
Workspot,Workspot,1,1,,Workspot,BlueCity_Offices_Rotterdam.md
Floris Schiferli,Floris_Schiferli,1,1,,Floris Schiferli,BlueCity_Offices_Rotterdam.md
Davis Partnership Architects,Davis_Partnership_Architects,1,1,,Davis Partnership Architects,Boulder_Fire_Station_3.md
KL&A Engineers and Builders,Kl_A_Engineers_And_Builders,1,1,,KL&A Engineers and Builders,Boulder_Fire_Station_3.md
Mark Young Construction,Mark_Young_Construction,1,1,,Mark Young Construction,Boulder_Fire_Station_3.md
Brent Cross South Limited Partnership,Brent_Cross_South_Limited_Partnership,1,1,,Brent Cross South Limited Partnership,Brent_Cross_Town_Primary_Substation_London.md
Related Argent,Related_Argent,1,1,,Related Argent,Brent_Cross_Town_Primary_Substation_London.md
London Borough of Barnet,London_Borough_Of_Barnet,1,1,,London Borough of Barnet,Brent_Cross_Town_Primary_Substation_London.md
IF_DO,If_Do,1,1,,IF_DO,Brent_Cross_Town_Primary_Substation_London.md
Whitby Wood,Whitby_Wood,1,1,,Whitby Wood,Brent_Cross_Town_Primary_Substation_London.md
Bourne Special Projects,Bourne_Special_Projects,1,1,,Bourne Special Projects,Brent_Cross_Town_Primary_Substation_London.md
Bourne Group,Bourne_Group,1,1,,Bourne Group,Brent_Cross_Town_Primary_Substation_London.md
Galldris Group,Galldris_Group,1,2,,Galldris; Galldris Group,Brent_Cross_Town_Primary_Substation_London.md
"Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende",Duncan_Baker_Brown_Cat_Fletcher_Freegle_Mears_Group_Greater_Brighton_Metropolitan_College_Studierende,1,2,Architekt,"Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende; Duncan Baker-Brown",Brighton_Waste_House_Brighton.md
BBM Sustainable Design,Bbm_Sustainable_Design,1,1,Architekt,BBM Sustainable Design,Brighton_Waste_House_Brighton.md
University of Brighton,University_Of_Brighton,1,1,Bauherr,University of Brighton,Brighton_Waste_House_Brighton.md
MAMOUT architectes,Mamout_Architectes,1,1,,MAMOUT architectes,Charles_Malis_Molenbeek.md
LD2 architecture,Ld2_Architecture,1,1,,LD2 architecture,Charles_Malis_Molenbeek.md
Stéphanie Willocx architecte,St_Phanie_Willocx_Architecte,1,1,,Stéphanie Willocx architecte,Charles_Malis_Molenbeek.md
Commune de Molenbeek-Saint-Jean,Commune_De_Molenbeek_Saint_Jean,1,1,,Commune de Molenbeek-Saint-Jean,Charles_Malis_Molenbeek.md
MOBAT Ingénierie,Mobat_Ing_Nierie,1,1,,MOBAT Ingénierie,Charles_Malis_Molenbeek.md
GTD Consulting,Gtd_Consulting,1,1,,GTD Consulting,Charles_Malis_Molenbeek.md
GTD Engineering,Gtd_Engineering,1,1,,GTD Engineering,Charles_Malis_Molenbeek.md
Gillion Construct,Gillion_Construct,1,1,,Gillion Construct,Charles_Malis_Molenbeek.md
Commune de Dilbeek,Commune_De_Dilbeek,1,1,Bauherr,Commune de Dilbeek,Chiro_d_Itterbeek_Dilbeek.md
CC Autrement,Cc_Autrement,1,1,,CC Autrement,Chiro_d_Itterbeek_Dilbeek.md
"gmp · Architekten von Gerkan, Marg und Partner",Gmp_Architekten_Von_Gerkan_Marg_Und_Partner,1,1,,"gmp · Architekten von Gerkan, Marg und Partner",Christ_Pavilion_Volkenroda.md
Evangelisches Büro für die Weltausstellung Expo 2000,Evangelisches_Buero_Fuer_Die_Weltausstellung_Expo_2000,1,1,,Evangelisches Büro für die Weltausstellung Expo 2000,Christ_Pavilion_Volkenroda.md
Kloster Volkenroda,Kloster_Volkenroda,1,1,,Kloster Volkenroda,Christ_Pavilion_Volkenroda.md
Jesus-Bruderschaft,Jesus_Bruderschaft,1,1,,Jesus-Bruderschaft,Christ_Pavilion_Volkenroda.md
Lagemaat Heerde,Lagemaat_Heerde,1,1,Bauherr,Lagemaat Heerde,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Provincie Gelderland,Provincie_Gelderland,1,1,,Provincie Gelderland,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Dycore,Dycore,1,1,,Dycore,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
TRIBU,Tribu,1,1,,TRIBU,Circular_Pavilion_Paris.md
Bonnefrite,Bonnefrite,1,1,,Bonnefrite,Circular_Pavilion_Paris.md
Camping Design,Camping_Design,1,1,,Camping Design,Circular_Pavilion_Paris.md
LXSY,Lxsy,1,1,,LXSY,CRCLR_House_Impact_Hub_Berlin.md
ZRS,Zrs,1,1,,ZRS,CRCLR_House_Impact_Hub_Berlin.md
Solares Bauen,Solares_Bauen,1,1,,Solares Bauen,CRCLR_House_Impact_Hub_Berlin.md
eZeit,Ezeit,1,1,,eZeit,CRCLR_House_Impact_Hub_Berlin.md
brandkontrolle,Brandkontrolle,1,1,,brandkontrolle,CRCLR_House_Impact_Hub_Berlin.md
Akustik-Ingenieurbüro Moll,Akustik_Ingenieurbuero_Moll,1,1,,Akustik-Ingenieurbüro Moll,CRCLR_House_Impact_Hub_Berlin.md
Immobilien Basel-Stadt,Immobilien_Basel_Stadt,1,1,,Immobilien Basel-Stadt,ELYS_Kultur_Gewerbehaus_Basel.md
Hochbauamt Basel-Stadt,Hochbauamt_Basel_Stadt,1,1,,Hochbauamt Basel-Stadt,ELYS_Kultur_Gewerbehaus_Basel.md
S+B,S_B,1,1,,S+B,ELYS_Kultur_Gewerbehaus_Basel.md
Jauslin Stebler,Jauslin_Stebler,1,1,,Jauslin Stebler,ELYS_Kultur_Gewerbehaus_Basel.md
Pro Engineering,Pro_Engineering,1,1,,Pro Engineering,ELYS_Kultur_Gewerbehaus_Basel.md
Haustec,Haustec,1,1,,Haustec,ELYS_Kultur_Gewerbehaus_Basel.md
Rapp AG,Rapp_Ag,1,1,,Rapp AG,ELYS_Kultur_Gewerbehaus_Basel.md
Husner AG Holzbau,Husner_Ag_Holzbau,1,1,,Husner AG Holzbau,ELYS_Kultur_Gewerbehaus_Basel.md
Philippe Samyn and Partners,Philippe_Samyn_And_Partners,1,1,,Philippe Samyn and Partners,Europa_Building_Brussels.md
Studio Valle Progettazioni,Studio_Valle_Progettazioni,1,1,,Studio Valle Progettazioni,Europa_Building_Brussels.md
Buro Happold,Buro_Happold,1,1,,Buro Happold,Europa_Building_Brussels.md
Belgian Buildings Agency,Belgian_Buildings_Agency,1,1,,Belgian Buildings Agency,Europa_Building_Brussels.md
Regie der Gebouwen,Regie_Der_Gebouwen,1,1,,Regie der Gebouwen,Europa_Building_Brussels.md
Grand Huit,Grand_Huit,1,1,,Grand Huit,Ferme_du_Rail_Paris.md
Travail & Vie,Travail_Vie,1,1,,Travail & Vie,Ferme_du_Rail_Paris.md
Réhabail,R_Habail,1,1,,Réhabail,Ferme_du_Rail_Paris.md
Pouget Consultants,Pouget_Consultants,1,1,,Pouget Consultants,Ferme_du_Rail_Paris.md
Scoping,Scoping,1,1,,Scoping,Ferme_du_Rail_Paris.md
Mélanie Devret,M_Lanie_Devret,1,1,,Mélanie Devret,Ferme_du_Rail_Paris.md
Philippe Peiger,Philippe_Peiger,1,1,,Philippe Peiger,Ferme_du_Rail_Paris.md
Tecclem,Tecclem,1,1,,Tecclem,gjG_House_Gentbrugge.md
G-build,G_Build,1,1,,G-build,gjG_House_Gentbrugge.md
Vlieghe,Vlieghe,1,1,,Vlieghe,gjG_House_Gentbrugge.md
Barbara Oelbrandt,Barbara_Oelbrandt,1,1,,Barbara Oelbrandt,gjG_House_Gentbrugge.md
Normandie Aménagement,Normandie_Am_Nagement,1,1,,Normandie Aménagement,Grande_Halle_de_Colombelles.md
Construire,Construire,1,1,,Construire,Grande_Halle_de_Colombelles.md
Le WIP,Le_Wip,1,1,,Le WIP,Grande_Halle_de_Colombelles.md
Stéphanie Paly,St_Phanie_Paly,1,1,,Stéphanie Paly,Grande_Halle_de_Colombelles.md
Ligne B.E.,Ligne_B_E,1,1,,Ligne B.E.,Grande_Halle_de_Colombelles.md
"Marc Angst, This Alder, Oliver Zbinden u. a.",Marc_Angst_This_Alder_Oliver_Zbinden_U_A,1,1,,"Marc Angst, This Alder, Oliver Zbinden u. a.",Grubenstrasse_29_Werkhof_29_Zuerich.md
A-Kruunu,A_Kruunu,1,1,Bauherr,A-Kruunu,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
LIIKE Oy Arkkitehtistudio,Liike_Oy_Arkkitehtistudio,1,1,,LIIKE Oy Arkkitehtistudio,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
dRMM Architects,Drmm_Architects,1,1,,dRMM Architects,Hastings_Pier_Visitor_Centre.md
Hastings Pier Charity,Hastings_Pier_Charity,1,1,,Hastings Pier Charity,Hastings_Pier_Visitor_Centre.md
Seidl + Seidl Architekten,Seidl_Seidl_Architekten,1,1,,Seidl + Seidl Architekten,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Architekturbüro Hose,Architekturbuero_Hose,1,1,,Architekturbüro Hose,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
BTU Cottbus,Btu_Cottbus,1,1,,BTU Cottbus,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Grosvenor,Grosvenor,1,1,Bauherr,Grosvenor,Holbein_Gardens_London.md
Barr Gazetas,Barr_Gazetas,1,1,Architekt,Barr Gazetas,Holbein_Gardens_London.md
FORE Partnership,Fore_Partnership,1,1,,FORE Partnership,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Stiff + Trevillion,Stiff_Trevillion,1,1,,Stiff + Trevillion,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
ECE Architecture,Ece_Architecture,1,1,,ECE Architecture,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Willmott Dixon,Willmott_Dixon,1,1,,Willmott Dixon,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Webb Yates Engineers,Webb_Yates_Engineers,1,1,,Webb Yates Engineers,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Four Bay Structures,Four_Bay_Structures,1,1,,Four Bay Structures,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
McLaren Construction,Mclaren_Construction,1,1,,McLaren Construction,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Civic Engineers,Civic_Engineers,1,1,,Civic Engineers,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Studio PDP,Studio_Pdp,1,1,,Studio PDP,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
ZRS Ingenieure,Zrs_Ingenieure,1,1,,ZRS Ingenieure,Impact_Hub_Berlin_CRCLR_Fitout.md
Rothuizen Architecten,Rothuizen_Architecten,1,1,,Rothuizen Architecten,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Taco Tuinhof,Taco_Tuinhof,1,1,,Taco Tuinhof,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Burobas,Burobas,1,1,,Burobas,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
ABT + Adviesbureau Lüning,Abt_Adviesbureau_Luening,1,1,,ABT + Adviesbureau Lüning,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Emergis,Emergis,1,1,Bauherr,Emergis,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
ERZ als Eigentümervertretung/Betreiber,Erz_Als_Eigentuemervertretung_Betreiber,1,1,Bauherr,ERZ als Eigentümervertretung/Betreiber,Juch_Areal_Recyclingzentrum_Zuerich.md
Graber Pulver Architekt:innen,Graber_Pulver_Architekt_Innen,1,1,,Graber Pulver Architekt:innen,Juch_Areal_Recyclingzentrum_Zuerich.md
manoa Landschaftsarchitekten,Manoa_Landschaftsarchitekten,1,1,,manoa Landschaftsarchitekten,Juch_Areal_Recyclingzentrum_Zuerich.md
Weber + Brönnimann AG,Weber_Broennimann_Ag,1,1,,Weber + Brönnimann AG,Juch_Areal_Recyclingzentrum_Zuerich.md
EK Energiekonzepte,Ek_Energiekonzepte,1,1,,EK Energiekonzepte,Juch_Areal_Recyclingzentrum_Zuerich.md
Stiftung Abendrot,Stiftung_Abendrot,1,1,,Stiftung Abendrot,K118_Kopfbau_Halle_118_Winterthur.md
Vorsorgestiftung Abendrot,Vorsorgestiftung_Abendrot,1,1,,Vorsorgestiftung Abendrot,K118_Kopfbau_Halle_118_Winterthur.md
ZHAW IKE,Zhaw_Ike,1,1,,ZHAW IKE,K118_Kopfbau_Halle_118_Winterthur.md
Oberli Ingenieurbau AG,Oberli_Ingenieurbau_Ag,1,1,,Oberli Ingenieurbau AG,K118_Kopfbau_Halle_118_Winterthur.md
Josef Kolb AG,Josef_Kolb_Ag,1,1,,Josef Kolb AG,K118_Kopfbau_Halle_118_Winterthur.md
Wetter AG,Wetter_Ag,1,1,,Wetter AG,K118_Kopfbau_Halle_118_Winterthur.md
Entra AS,Entra_As,1,2,Bauherr,Entra AS; Entra,KA13_Kristian_Augusts_gate_13_Oslo.md
MAD arkitekter,Mad_Arkitekter,1,1,Architekt,MAD arkitekter,KA13_Kristian_Augusts_gate_13_Oslo.md
Mad as,Mad_As,1,1,Architekt,Mad as,KA13_Kristian_Augusts_gate_13_Oslo.md
MAD,Mad,1,1,,MAD,KA13_Kristian_Augusts_gate_13_Oslo.md
FutureBuilt,Futurebuilt,1,1,,FutureBuilt,KA13_Kristian_Augusts_gate_13_Oslo.md
Asplan Viak,Asplan_Viak,1,1,,Asplan Viak,KA13_Kristian_Augusts_gate_13_Oslo.md
Insenti,Insenti,1,1,,Insenti,KA13_Kristian_Augusts_gate_13_Oslo.md
Scenario Interiørarkitekter,Scenario_Interi_Rarkitekter,1,1,,Scenario Interiørarkitekter,KA13_Kristian_Augusts_gate_13_Oslo.md
IWG/Spaces,Iwg_Spaces,1,1,,IWG/Spaces,KA13_Kristian_Augusts_gate_13_Oslo.md
Hiroshi Nakamura & NAP,Hiroshi_Nakamura_Nap,1,1,,Hiroshi Nakamura & NAP,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Yamada Noriaki Structural Design Office,Yamada_Noriaki_Structural_Design_Office,1,1,,Yamada Noriaki Structural Design Office,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Kitajima Corporation,Kitajima_Corporation,1,1,,Kitajima Corporation,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Kamikatsu Town,Kamikatsu_Town,1,1,,Kamikatsu Town,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
lokale Einwohner,Lokale_Einwohner,1,1,,lokale Einwohner,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Bischof Föhn Architektur,Bischof_Foehn_Architektur,1,1,Architekt,Bischof Föhn Architektur,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Meili Partner,Meili_Partner,1,1,,Meili Partner,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Ingenieurbureau Heierli AG,Ingenieurbureau_Heierli_Ag,1,2,Tragwerksplaner,Heierli; Ingenieurbureau Heierli AG,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Haerter + Partner,Haerter_Partner,1,1,,Haerter + Partner,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Schmidiger + Rosasco,Schmidiger_Rosasco,1,1,,Schmidiger + Rosasco,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
aik,Aik,1,1,,aik,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Alliander,Alliander,1,1,,Alliander,Liander_Alliander_HQ_Duiven.md
Liander,Liander,1,1,,Liander,Liander_Alliander_HQ_Duiven.md
RAU Architects,Rau_Architects,1,1,Architekt,RAU Architects,Liander_Alliander_HQ_Duiven.md
noAarchitecten,Noaarchitecten,1,1,,noAarchitecten,Lo_Reninge_Town_Hall_Facade.md
Metso Oyj,Metso_Oyj,1,1,Bauherr,Metso Oyj,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Administration des bâtiments publics,Administration_Des_B_Timents_Publics,1,1,,Administration des bâtiments publics,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Schmets architectes,Schmets_Architectes,1,1,,Schmets architectes,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Daedalus Engineering,Daedalus_Engineering,1,1,,Daedalus Engineering,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Les Canaux,Les_Canaux,1,1,,Les Canaux,Maison_des_Canaux_Paris.md
beteiligte Sozialunternehmen,Beteiligte_Sozialunternehmen,1,1,,beteiligte Sozialunternehmen,Maison_des_Canaux_Paris.md
