value,count,n_files,knoten_kandidat_n>=3,files
Neubau mit Reuse + bio-/geobasierten Materialien,1,1,,Maison_Vignette_Auderghem.md
Wiederverwendung von WBS70-Platten im Wohnhaus,1,1,,Mehrow_Pilot_House.md
new construction of Montessori School Maassluis,1,1,,Montessori_Maassluis.md
Stichting Montessorischolen Monton / Stichting Montessorischolen Midden-Nederland (Monton),1,1,,Montessori_Maassluis.md
Anculus B.V.,1,1,,Montessori_Maassluis.md
großmaßstäbliche Büro-/Mixed-use-Rekonversion,1,1,,Multi_Brussels_Reuse_in_MULTI.md
Renovation and extension; neuer Museumsbau im Blockinneren,1,1,,Musee_de_Folklore_Mouscron.md
Meeting space during DDW 2017,1,1,,Peoples_Pavilion_Eindhoven.md
Forschungs- und Bildungsprojekt zur Recyclingkultur,1,1,,Plattenvereinigung_Berlin.md
neues PLP Studio,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Recyclinghaus Hanover/Hannover,1,1,,Recyclinghaus_Hannover.md
Gundlach GmbH & Co. KG Wohnungsunternehmen,1,1,,Recyclinghaus_Hannover.md
Recyclingzentrum und öffentlicher Raum,1,1,,Recypark_Demets_Anderlecht.md
Ferme des Possibles,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Resource Rows,1,1,,Resource_Rows_Copenhagen.md
Fabrix Roots in the Sky,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
iQ Student Accommodation / Former Blackfriars Crown Court redevelopment,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
PV-überdachter Gerätebau,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SUPERLOCAL – Super Circular Estate,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Circular daycare / kindergarten,1,1,,Svanen_Kindergarten_Gladsaxe.md
temporärer Stopgap / circular pavilion,1,1,,The_Green_House_Utrecht.md
Transformation zu Community-/Kultur-/Arbeitsgebäude,1,1,,Thoravej_29_Copenhagen.md
Net-zero / hybrid timber office redevelopment,1,1,,Timber_Square_London.md
TRÆ,1,1,,TRAE_High_Rise_Aarhus.md
20 row houses / terraced houses,1,1,,Upcycle_Studios_Copenhagen.md
Verbiest transformation,1,1,,Verbiest_Karreveld_Brussels.md
Karreveld 1/2,1,1,,Verbiest_Karreveld_Brussels.md
Villa Welpeloo,1,1,,Villa_Welpeloo_Enschede.md
19 soziale Mietwohnungen + Nachbarschaftszentrum,1,1,,Woongroep_Boschgaard_Den_Bosch.md
Masui4Ever,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Wohnbauprogramm_1000plus_Basel,1,1,,Areal_Walkeweg_Nord.md
Impact_Hub_Berlin_CRCLR,1,1,,Bestandshalle_CRCLR_House.md
BOELL_LAB_Berlin,1,1,,BOELL_LAB_Berlin.md
RotorDC_Da_Vinci_Site,1,1,,Da_Vinci_Business_District.md
Lagerplatz_Winterthur,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
VOLLGUT_eG,1,1,,Kindl_Areal.md
Berlin_Global_Village,1,1,,Kindl_Areal.md
KINDL_Zentrum_fuer_zeitgenoessische_Kunst,1,1,,Kindl_Areal.md
ReUseBox_Heilbronn,1,1,,ReUseBox_Heilbronn.md
