value,count,n_files,knoten_kandidat_n>=3,files
Glas- und Keramikscherben,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
alte Fliesen,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Wände des alten Rathauses,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
"Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien",1,1,,Liander_Alliander_HQ_Duiven.md
Spannbeton / Fertigbeton,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
rezyklierter Beton-Zuschlag,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
"Holz, Fliesen/Keramik, Metall, Sanitärkeramik, Textil/Beläge",1,1,,Maison_des_Canaux_Paris.md
"Holz, Stroh, Hanf-Kalk, Naturputz",1,1,,Maison_Vignette_Auderghem.md
Spannbeton/Fertigbeton,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Beton / Spannbeton vermutlich,1,1,,Montessori_Maassluis.md
Betonbestand,1,1,,Multi_Brussels_Reuse_in_MULTI.md
wiederverwendete ost- und westdeutsche Plattenbauteile / Fertigbetonteile,1,1,,Plattenvereinigung_Berlin.md
Stahlbeton / Ortbeton,1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Recyclingbeton,1,1,,Recyclinghaus_Hannover.md
Jutedämmung aus Kakaosäcken,1,1,,Recyclinghaus_Hannover.md
Holz / Brettschichtholz,1,1,,Recypark_Demets_Anderlecht.md
"Holz, Stroh, Erde, BTC, Granit, Gussradiatoren",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Ziegel / Mauerwerk; Holz sekundär möglich,1,1,,Resource_Rows_Copenhagen.md
"Stahlrohr, reclaimt",1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
"Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial",1,1,,Superlocal_Expogebouw_Bleijerheide.md
CLT und Stahl,1,1,,Timber_Square_London.md
"PET-Filz, Textilien, Papiergranulat, Hanf/Seegras",1,1,,TRAE_High_Rise_Aarhus.md
recycled/upcycled concrete from Copenhagen Metro,1,1,,Upcycle_Studios_Copenhagen.md
"Holz, massive Holzbalken/Platten Verbiest",1,1,,Verbiest_Karreveld_Brussels.md
"Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe",1,1,,Villa_Welpeloo_Enschede.md
Sekundärmaterialien / oogstmaterialen,1,1,,Woongroep_Boschgaard_Den_Bosch.md
ReUse_Mauerwerk,1,1,,Altes_Hobelwerk_Winterthur.md
Laminatfurnierplatten,1,1,,Altes_Hobelwerk_Winterthur.md
ReUse_Betonfertigteile,1,1,,Areal_Walkeweg_Nord.md
Hanf,1,1,,Bestandshalle_CRCLR_House.md
Strohplatten,1,1,,Bestandshalle_CRCLR_House.md
ReUse_MDF,1,1,,Bestandshalle_CRCLR_House.md
Rezyklate,1,1,,BOELL_LAB_Berlin.md
Dachbegruenung,1,1,,BOELL_LAB_Berlin.md
ReUse_Holz,1,1,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md
Mineralwolle_Sekundaermaterial,1,1,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md
Holzbau,1,1,,Hobelwerk_Haus_D_Oberwinterthur.md
Lehm,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Stroh,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
ReUse_Blech,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
ReUse_Tueren,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
ReUse_Fensterlaeden,1,1,,LysP8_Basel_Lysbuechelareal.md
ReUse_Dachziegel,1,1,,LysP8_Basel_Lysbuechelareal.md
ReUse_Kuechen,1,1,,LysP8_Basel_Lysbuechelareal.md
ReUse_Sanitaerkeramik,1,1,,LysP8_Basel_Lysbuechelareal.md
ReUse_Brettschichtholz,1,1,,LysP8_Basel_Lysbuechelareal.md
Lehmestrich_Oxacrete,1,1,,LysP8_Basel_Lysbuechelareal.md
Altholz,1,1,,ReUseBox_Heilbronn.md
ReUse_Fassade,1,1,,ReUseBox_Heilbronn.md
