eid,report_id,country_code,type_id,report_entity_type,actor_name,primary_role,roles,relevance,actor_degree,primary_evidence_url,fallback,evidence_count,evidence_urls,evidence_quotes,evidence_supports_roles,evidence_accessed_at,reuse_objects,strict_review
NEW:aixarkitekter,SE:U01,SE,U01,,AIX Arkitekter,Architektur,Architektur,Direkt belegt im baulichen Reuse-Kontext: Architektur.,kern,https://www.aix.se/att-aterbruka/,False,1,https://www.aix.se/att-aterbruka/,Att återbruka (eigene dauerhafte Leistungsseite von AIX Arkitekter zu Wiederverwendung von Bauteilen und Inredning),Architektur,2026-08-13,,True
NEW:H:akademiskahus,SE:U02,SE,U02,,Akademiska Hus,Gebäudeeigentum,Gebäudeeigentum,Stellt ein eigenes Rückbaugebäude als großmaßstäblichen Reuse-Demonstrator bereit.,kern,https://www.akademiskahus.se/om-oss/aktuellt/Nyheter/2023/december/samverkan-for-aterbruk-av-lastbarande-konstruktionsdelar/,False,1,https://www.akademiskahus.se/om-oss/aktuellt/Nyheter/2023/december/samverkan-for-aterbruk-av-lastbarande-konstruktionsdelar/,Teknikhöjden ... ägs av Akademiska Hus och blir nu ett demonterings- och innovationsprojekt.,Gebäudeeigentum,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5696,GB:U01,GB,U01,,AKT II,Tragwerksplanung,Tragwerksplanung,Entwickelte als Tragwerksplaner praktische Ansätze für die Wiederverwendung von Stahl.,bezug,https://www.architectsjournal.co.uk/news/developer-urban-mines-broadgate-steel-frame-for-southwark-retrofits,True,1,https://ukgbc.org/wp-content/uploads/2022/12/Circular-Steel-Event-Wrap-Up.pdf,"with structural engineer AKTII, the team were able to simplify the process and apply practical thinking to the opportunities that Steel reuse presents.",Tragwerksplanung,2026-08-13,,True
NEW:H:albaberlin,DE:U01,DE,U01,,ALBA Berlin,Zwischenlagerung / Transport,Zwischenlagerung | Transport,Stellt Fläche und Logistik für die Lagerung und Verteilung geborgener Bauteile bereit.,bezug,https://www.alba.info/unternehmen/newsroom/pressemitteilungen/detail/urban-mining-hub-berlin-gekommen-um-zu-bleiben/,False,1,https://www.alba.info/unternehmen/newsroom/pressemitteilungen/detail/urban-mining-hub-berlin-gekommen-um-zu-bleiben/,"ALBA Berlin versteht sich in diesem Projekt als einer dieser starken Partner, der neben der benötigten Fläche auch effektive Logistikdienstleistungen anbietet.",Zwischenlagerung | Transport,2026-08-13,Bauteile und Baumaterialien,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5048,FR:U01,FR,U01,,Albert & Co,Fertigung mit Reuse-Material,Fertigung mit Reuse-Material,Fertigt und montiert Stadtmöbel aus geborgenen Granitblöcken.,kern,https://albert-and-co.fr/references/reemploi/,False,1,https://albert-and-co.fr/references/reemploi/,Mise en place et fabrication du mobilier urbain avec des matériaux récupérés de monuments,Fertigung mit Reuse-Material,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5404,NL:U05,NL,U05,,Alliander / Liander,Weitergabe,Weitergabe,Direkt belegt im baulichen Reuse-Kontext: Weitergabe.,kern,https://www.alliander.com/nl/over-alliander/maatschappelijke-duurzaamheid/circulaire-netbeheerder/,False,1,https://www.alliander.com/nl/over-alliander/maatschappelijke-duurzaamheid/circulaire-netbeheerder/,"We werken binnen Alliander voor al onze materialen met het principe 'herinzet, tenzij'.",Weitergabe,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
NEW:H:allibertmateriauxanciens,FR:M01,FR,M01,,Allibert Matériaux Anciens,Bauteilhandel,Bauteilhandel,Berät zur Auswahl und verkauft historische Bauteile für neue Bauvorhaben.,kern,https://www.allibert-materiauxanciens.fr/fr/materiaux/,False,1,https://www.allibert-materiauxanciens.fr/fr/materiaux/,Large gammes de matériaux anciens pour extérieur ou intérieur de votre maison,Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:683,CH:U05,CH,U05,,Amstein+Walthert AG,Bestandsentwicklung / Rückbauplanung / Umweltbewertung,Bestandsentwicklung | Rückbauplanung | Umweltbewertung,Plant Bestandserhalt und Reuse-Rückbau und bewertet deren Umweltwirkungen.,bezug,https://amstein-walthert.ch/de/blog/graue-energie-im-fokus-wie-die-kreislaufwirtschaft-das-bauen-verandert/,False,1,https://amstein-walthert.ch/de/blog/graue-energie-im-fokus-wie-die-kreislaufwirtschaft-das-bauen-verandert/,Kreislaufgerechte Bauplanung: Beratung und Planung nach Prinzipien des zirkulaeren Bauens - z.B. Entwicklung von Rueckbau- und Wiederverwendungskonzepten,Bestandsentwicklung | Rückbauplanung | Umweltbewertung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5384,CH:I03,CH,I03,,Amt für Hochbauten und Immobilien Stadt Zürich,Gebäudeeigentum / Reuse-Strategie / Potenzialbewertung,Gebäudeeigentum | Reuse-Strategie | Potenzialbewertung,Prüft städtische Bauprojekte systematisch auf wiederverwendbare Bauteile.,kern,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/meilenschritte/04-intelligente-ressourcennutzung/kreislauforientiertes-bauen.html,False,1,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/meilenschritte/04-intelligente-ressourcennutzung/kreislauforientiertes-bauen.html,jedes städtische Um- oder Neubauprojekt auf sein Potential zur Wiederverwendung von Bauteilen hin zu prüfen,Gebäudeeigentum | Reuse-Strategie | Potenzialbewertung,2026-08-13,,True
NEW:H:anthesis,SE:U03,SE,U03,,Anthesis,Umweltbewertung / Datenanalyse / Methodenentwicklung,Umweltbewertung | Datenanalyse | Methodenentwicklung,"Entwickelt ein Klimamodell für inventarisierte, wiederverwendete Bauprodukte.",bezug,https://www.anthesisgroup.com/se/referensprojekt/aterbruk-i-byggsektorn/,False,1,https://www.anthesisgroup.com/se/referensprojekt/aterbruk-i-byggsektorn/,Anthesis utvecklade en Excelbaserad modell för återbrukade byggprodukter.,Umweltbewertung | Datenanalyse | Methodenentwicklung,2026-08-13,,True
NEW:antiekanresto,BE:M01,BE,M01,,Antiek Anresto,Bauteilhandel,Bauteilhandel,Bereitet antike Bauteile auf und verkauft sie für neue Einbauten.,kern,https://anresto.com/product-categorie/bouw-antiek/,False,1,https://anresto.com/product-categorie/bouw-antiek/,Bouw antiek,Bauteilhandel,2026-08-13,,True
NEW:H:antiquefireplacesfirst,BE:M02,BE,M02,,Antique Fireplaces First,Bauteilhandel,Bauteilhandel,Restauriert und verkauft antike Kamine und organisiert ihre weltweite Lieferung.,kern,https://antiquefireplacesfirst.com/,False,1,https://antiquefireplacesfirst.com/,"At Antique Fireplaces First, we have over 30 years' experience dealing in fine and prestigious antique fireplaces.",Bauteilhandel,2026-08-13,,True
NEW:H:antiquewoodenfloors,GB:M01,GB,M01,,Antique Wooden Floors,Bauteilhandel,Bauteilhandel,Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.,kern,https://www.antiquewoodenfloors.co.uk/,False,1,https://www.antiquewoodenfloors.co.uk/,Original Reclaimed Timber Flooring & Old Wood Floors for Timeless Style,Bauteilhandel,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6435,DE:F01,DE,F01,,Arbeitsgebiet Bauliches Recycling / BTU Cottbus-Senftenberg,Umweltbewertung / Angewandte Forschung,Umweltbewertung | Angewandte Forschung,Erforscht und bewertet die Wieder- und Weiterverwendung gebrauchter Bauteile.,kern,https://www.b-tu.de/ag-baurecycling/,False,1,https://www.b-tu.de/ag-baurecycling/,Wieder- und Weiterverwertung gebrauchter Bauteile,Umweltbewertung | Angewandte Forschung,2026-08-13,,True
NEW:H:arcreclamation,GB:M02,GB,M02,,Arc Reclamation Ltd,Bergung / Bauteilhandel,Bergung | Bauteilhandel,"Direkt belegt im baulichen Reuse-Kontext: Bergung, Bauteilhandel.",kern,https://arcreclamation.com/,False,1,https://arcreclamation.com/,"We are passionate about the rescue and re-use of good quality Architectural Antiques, including Doors, Flooring, Furniture and Fireplaces",Bergung | Bauteilhandel,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34842,CH:M01,CH,M01,,Archipel Sion Ressourcerie,Selektiver Rückbau / Sortierung / Bauteilhandel,Selektiver Rückbau | Sortierung | Bauteilhandel,"Baut Bauteile schonend aus, sortiert sie und verkauft sie für eine zweite Nutzung.",kern,https://archipelsion.ch/ressourcerie/inventaire/,False,1,https://archipelsion.ch/ressourcerie/,"Nos équipes trient, préservent et réinjectent vos matériaux dans le circuit du réemploi.",Selektiver Rückbau | Sortierung | Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6300,FR:U02,FR,U02,,Archipel zéro,Architektur,Architektur,Plant und realisiert Gebäude mit gebrauchten Fenstern und Deckenplatten.,kern,https://archipelzero.wixsite.com/archipelzero,False,1,https://archipelzero.wixsite.com/archipelzero,"Architecture frugale - bois, paille, terre crue, réemploi",Architektur,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5856,DK:U05,DK,U05,,Artelia,Rückbauplanung,Rückbauplanung,Plant Rückbau und bewertet Bauteile für ihre Wiederverwendung in neuen Projekten.,kern,https://arteliagroup.dk/en/services/reuse-and-recycling/,False,1,https://arteliagroup.dk/en/services/reuse-and-recycling/,Reuse and recycling of construction materials,Rückbauplanung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39517,FR:M04,FR,M04,,Articonnex,Bauteilhandel,Bauteilhandel,"Birgt, passt gebrauchte Baustoffe an und verkauft sie über eigene Lager.",kern,https://articonnex.com/,False,1,https://articonnex.com/,Seconde vie | Tous nos produits issus du réemploi,Bauteilhandel,2026-08-13,,True
NEW:H:ashwellsreclaimedtimber,GB:M03,GB,M03,,Ashwells Reclaimed Timber,Bergung,Bergung,Direkt belegt im baulichen Reuse-Kontext: Bergung.,kern,https://ashwelltimber.com/,False,1,https://ashwelltimber.com/,We're on a mission to save tropical and temperate hardwoods for future generations.,Bergung,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
NEW:H:askerkommune,NO:I01,NO,I01,,Asker kommune – Ombruk,Programmmanagement / Reuse-Strategie,Programmmanagement | Reuse-Strategie,Steuert kommunale Wiederverwendung von Möbeln und Überschuss aus Bauprojekten.,kern,https://www.asker.kommune.no/klima-og-miljo/ombruk/,False,1,https://www.asker.kommune.no/klima-og-miljo/ombruk/,Overskuddsmateriell fra bygg- og anleggsprosjekter skal brukes på nytt.,Programmmanagement | Reuse-Strategie,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5347,NO:U01,NO,U01,,Asplan Viak,Landschaftsarchitektur / Reuse-Planung,Landschaftsarchitektur | Reuse-Planung,Plant KA13-Außenräume mit wiederverwendeten Granitplatten.,bezug,https://www.futurebuilt.no/forbildeprosjekter/kristian-augusts-gate-13-oslo,False,1,https://www.futurebuilt.no/forbildeprosjekter/kristian-augusts-gate-13-oslo,Landscape Architect: Asplan Viak / Environmental Consultant: Asplan Viak AS,Landschaftsarchitektur | Reuse-Planung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5657,FR:N01,FR,N01,,Association Réavie,Bauteilinventarisierung,Bauteilinventarisierung,"Erfasst, demontiert und bereitet Bauteile für eine weitere Nutzung auf.",kern,https://asso-reavie.fr/,False,1,https://asso-reavie.fr/,tonnes de matériaux sauvées de la benne,Bauteilinventarisierung,2026-08-13,,True
NEW:H:authentiekebouwmaterialenstorms,BE:M03,BE,M03,,Authentieke Bouwmaterialen Storms nv,Bauteilhandel,Bauteilhandel,"Bereitet alte Holz- und Steinbauteile auf, lagert und verkauft sie.",kern,https://www.rikstorms.be/nl/voorstelling/,False,1,https://www.rikstorms.be/nl/voorstelling/,Door de jaren heen ging Rik Storms zich ook bezighouden met de verkoop van oude en antieke bouwmaterialen die hij met veel zorg en kennis voor het vak restaureerde.,Bauteilhandel,2026-08-13,,True
NEW:H:avecodebondt,NL:U07,NL,U07,,Aveco de Bondt,Reuse-Beratung,Reuse-Beratung,Direkt belegt im baulichen Reuse-Kontext: Reuse-Beratung.,kern,https://www.avecodebondt.nl/diensten/gezond-circulair-en-biobased-bouwen,False,1,https://www.avecodebondt.nl/diensten/gezond-circulair-en-biobased-bouwen,"Door materialen te hergebruiken, afval te minimaliseren en de levensduur van gebouwen te verlengen, dragen circulaire projecten bij aan een duurzamere toekomst.",Reuse-Beratung,2026-08-13,,True
NEW:H:baarsandbloemhoff,NL:M01,NL,M01,Unternehmen,Baars & Bloemhoff,Materialberatung / Bauteilhandel,Materialberatung | Bauteilhandel,Berät zu zirkulären Innenräumen und bietet Urban-Mining-Materialien an.,bezug,https://www.baars-bloemhoff.nl/baars-&-bloemhoff-wordt-partner-van-urban-mining-collective-cms-bb-intro-partner-urbanminingcollective,False,1,https://www.baars-bloemhoff.nl/new-horizon-interieurmaterialen-uit-urban-mining-cms-newhorizon-materialen-urbanmining,Onze specialisten helpen met materiaalwensen; aanbod interieurmaterialen uit Urban Mining.,Materialberatung | Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39518,FR:M07,FR,M07,,Backacia,Reuse-Beratung,Reuse-Beratung,"Berät, bewertet Reuse-Potenziale und vermittelt gebrauchte Baustoffe digital.",kern,https://backacia.com/,False,1,https://backacia.com/,un bureau d'études économie circulaire et réemploi,Reuse-Beratung,2026-08-13,,True
NEW:baerebyg,DK:M06,DK,M06,,Bærebyg,Bauteilhandel,Bauteilhandel,"Verkauft geborgene Türen, Fenster und Haustechnik für neue Bauprojekte.",kern,https://baerebyg.dk/,False,1,https://baerebyg.dk/,"Vi tilbyder et bredt udvalg af genbrugte byggematerialer – fra døre, vinduer og køkkener til VVS-dele og el-artikler",Bauteilhandel,2026-08-13,,True
NEW:H:baignoiresanciennes,FR:M08,FR,M08,,Baignoires Anciennes,Bauteilhandel,Bauteilhandel,Restauriert und verkauft historische Sanitärobjekte und Heizkörper.,kern,https://baignoires-anciennes.com/,False,1,https://baignoires-anciennes.com/,"baignoires anciennes has begun supplying restored antique bathtubs to architects, designers, antique material merchants and the private sector",Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6298,GB:U04,GB,U04,,BakerBrown,Architektur / Reuse-Beratung,Architektur | Reuse-Beratung,Plant adaptive Wiederverwendung und erstellt Ressourcenkarten für nutzbare Bauteile.,kern,https://bakerbrown.studio/,True,1,https://bakerbrown.studio/services,"We deconstruct to reconstruct, preferring to adapt and retrofit rather than pull down. Services include adaptive reuse of existing buildings and Resource Mapping for re-use.",Architektur | Reuse-Beratung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5774,NL:U08,NL,U08,,Ballast Nedam,Demontagegerechtes Design,Demontagegerechtes Design,Direkt belegt im baulichen Reuse-Kontext: Demontagegerechtes Design.,kern,https://www.ballast-nedam.nl/hoe-we-werken/duurzaamheid,False,1,https://www.ballast-nedam.nl/hoe-we-werken/duurzaamheid,We voorkomen het gebruik van nieuwe grondstoffen door losmaakbaar en aanpasbaar te ontwerpen en te bouwen en zo veel mogelijk hergebruikte en gerecyclede materialen toe te passen.,Demontagegerechtes Design,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
NEW:bangoas,DK:M01,DK,M01,,Bango A/S,Bauteilhandel,Bauteilhandel,Verkauft gebrauchte Bauteile aus Rückbauprojekten für den erneuten Einsatz.,kern,https://www.bango.dk/tilbud/genbrug/,False,1,https://www.bango.dk/tilbud/genbrug/,Her finder du alle Bango brugte vare,Bauteilhandel,2026-08-13,,True
NEW:H:bathestiarecup,FR:M09,FR,M09,,Bathestia Recup,Bauteilhandel,Bauteilhandel,Verkauft wiederverwendbare Baustoffe zu solidarischen Preisen.,kern,https://bathestia.fr/,False,1,https://bathestia.fr/,"réemploi, matériaux sains, locaux et biosourcés, frugalité. La matériauthèque, vous propose des matériaux à prix solidaires.",Bauteilhandel,2026-08-13,,True
NEW:H:btirecup,FR:M15,FR,M15,,Bâti Récup',Bauteilhandel,Bauteilhandel,"Berät Bauprojekte, lagert Reuse-Materialien und verkauft sie weiter.",kern,https://batirecup.com/a-propos/,False,1,https://batirecup.com/a-propos/,"Depuis sa création en 2016, Bâti Récup' s'est imposé comme un acteur clé du réemploi des matériaux de construction en Bretagne",Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39519,FR:M16,FR,M16,,Bâticycle,Bauteilhandel,Bauteilhandel,"Bereitet gebrauchte Bauprodukte auf, lagert und verkauft sie.",kern,https://baticycle.fr/,False,1,https://baticycle.fr/,Bâticycle est un magasin de matériaux et d'équipements de construction d'occasion pour les professionnels du bâtiment.,Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39520,BE:M04,BE,M04,,BatiTerre,Bauteilinventarisierung,Bauteilinventarisierung,"Inventarisiert, demontiert und baut geborgene Bauteile in neuen Projekten ein.",kern,https://www.batiterre.be/,False,1,https://www.batiterre.be/,BATITERRE DONNE UNE SECONDE VIE AUX MATÉRIAUX DE CONSTRUCTION,Bauteilinventarisierung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39521,FR:S01,FR,S01,,BatRecup,Vermittlungsplattform,Vermittlungsplattform,Verbindet Kaufende und Verkaufende gebrauchter Bauprodukte digital.,kern,https://www.batrecup.com/,False,1,https://www.batrecup.com/,la plateforme communautaire pour le réemploi des matériaux,Vermittlungsplattform,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4968,CH:U08,CH,U08,,baubüro in situ,Reuse-Planung,Reuse-Planung,Plant den Wiedereinsatz vorhandener Bauteile in neuen Bauaufgaben.,kern,https://insitu.ch/themen,False,1,https://insitu.ch/themen,Zirkulation: Wir setzen Bauteile wieder ein.,Reuse-Planung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6575,AT:M01,AT,M01,,BauKarussell,Potenzialbewertung / Selektiver Rückbau / Vermittlung,Potenzialbewertung | Selektiver Rückbau | Vermittlung,"Bewertet Reuse-Potenziale, demontiert selektiv und vermittelt geborgene Bauteile.",kern,https://www.baukarussell.at/,False,1,https://www.baukarussell.at/,Zirkulaerer Rueckbau mit sozialer Wirkung,Potenzialbewertung | Selektiver Rückbau | Vermittlung,2026-08-12,Bauteile und Baumaterialien,True
NEW:baukreisel,DE:N01,DE,N01,,Baukreisel e.V.,Reuse-Beratung / Architektur / Angewandte Forschung,Reuse-Beratung | Architektur | Angewandte Forschung,"Berät, plant und forscht zum Erhalt von Bestand und zur Bauteilwiederverwendung.",kern,https://baukreisel.org/,False,1,https://baukreisel.org/,"Wir beschäftigen uns mit dem, was schon da ist: mit Gebäuden im Bestand und mit Materialien, die im Baukreislauf weiterwandern können.",Reuse-Beratung | Architektur | Angewandte Forschung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:906,BE:M05,BE,M05,,BauMaB Kassel / Bauteilbörse Kassel,Bauteilhandel,Bauteilhandel,Lagert und handelt Bauteile vor Ort und über eine digitale Vermittlungsplattform.,kern,https://baumab-kassel.de/,False,1,https://baumab-kassel.de/,Gebrauchte Baumaterialien und Baustoffe kaufen und verkaufen – das macht unsere Plattform möglich,Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:18156,CH:M02,CH,M02,,Baumatpool.ch,Vermittlungsplattform,Vermittlungsplattform,"Ermöglicht das Finden, Kaufen und Verkaufen gebrauchter Baumaterialien.",kern,https://www.baumatpool.ch/de/,False,1,https://www.baumatpool.ch/de/,"Die Schweizer Materialbörse – Baumaterialien und Restposten einfach finden, kaufen und verkaufen.",Vermittlungsplattform,2026-08-13,,True
NEW:H:baustoffmanufaktur,AT:M02,AT,M02,,Baustoffmanufaktur (DN das Nord GmbH),Bauteilhandel,Bauteilhandel,Verkauft historische Holzböden und alte Baustoffe zur erneuten Verwendung.,kern,https://www.baustoffmanufaktur.at/en/,False,1,https://www.baustoffmanufaktur.at/en/,"Historic wooden floors and old building materials - made generations ago, for future generations.",Bauteilhandel,2026-08-12,Bauteile und Baumaterialien,True
NEW:bauteilborse,AT:M03,AT,M03,,Bauteilbörse (bauteilboerse.at),Rückbauplanung / Vermittlungsplattform,Rückbauplanung | Vermittlungsplattform,Plant Reuse-orientierten Rückbau und macht gerettete Bauteile digital auffindbar.,kern,https://www.bauteilboerse.at/,False,1,https://www.bauteilboerse.at/,"Wir retten Bauteile und Gebäude vor der Entsorgung, um langfristig Ressourcen zu schonen",Rückbauplanung | Vermittlungsplattform,2026-08-12,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34833,CH:M03,CH,M03,,Bauteilbörse Basel,Aufarbeitung / Bauteilhandel,Aufarbeitung | Bauteilhandel,"Prüft, reinigt und bereitet demontierte Bauteile auf und verkauft sie.",kern,https://bauteilboerse-basel.ch/ueber-uns/,False,1,https://bauteilboerse-basel.ch/ueber-uns/,"Die demontierten Bauteile werden geprüft, gereinigt und aufbereitet. Im Anschluss gelangen sie in den Verkauf und somit wieder in den Nutzungskreislauf.",Aufarbeitung | Bauteilhandel,2026-08-13,Bauteile und Baumaterialien,True
NEW:H:bauteilborseberlinbrandenburg,DE:M01,DE,M01,,Bauteilbörse Berlin-Brandenburg (Fläming Antik / Brita Marx),Bauteilhandel,Bauteilhandel,Verkauft historische und jüngere gebrauchte Bauteile über zwei Onlineshops.,kern,https://flaeming-antik.de/historische-baustoffe/,False,1,https://flaeming-antik.de/historische-baustoffe/,Hier findet jeder gut sortiert und dokumentiert verschiedenste Baustoffe und Bauteile.,Bauteilhandel,2026-08-13,Bauteile und Baumaterialien,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6629,DE:M02,DE,M02,,Bauteilbörse Bremen,Demontage / Lagerung / Vermittlung,Demontage | Lagerung | Vermittlung,"Baut gebrauchte Bauteile aus, lagert sie und vermittelt sie für neue Nutzungen.",kern,https://www.bauteilboerse-bremen.de/start,False,1,https://www.bauteilboerse-bremen.de/start,"Die bauteilbörse versucht, möglichst viele gebrauchte Bauteile, die bei Abbruch oder Umbau anfallen, weiter zu vermitteln",Demontage | Lagerung | Vermittlung,2026-08-13,Bauteile und Baumaterialien,True
