report_id,actor_name
SE:U07,Business Region Göteborg
NL:M04,Buurman
SE:M04,Byggåterbruket (Umeå)
DK:M05,Byggeboersen
SE:M02,Bygghubben
NO:N01,byggogbevar directory
SE:M03,ByggRetur
FR:U05,CANCAN Architecture
DK:M07,Carlsberg Byen P/S
GB:N02,Cat Fletcher / Freegle
SE:S01,CCBuild (IVL)
BE:N02,CCRI Pilot Uppsala
FR:N03,CD2E
NL:U15,cepezed
AT:M04,CIRCON
DK:M08,Circue
NL:F03,Circular Built Environment Hub / TU Delft
CH:F02,Circular Engineering for Architecture / ETH Zürich
DE:U13,Circular Structural Design
BE:F05,CirculaTUM – TUM Mission Network Circular Economy
CH:N01,Cirkla
NL:I01,City of Utrecht
DE:U14,CITYFÖRSTER
GB:U16,Civic Engineers
DE:F03,Claus Asam
GB:U17,Cleveland Steel & Tubes
SE:U08,Codesign Sweden AB
FR:U06,Collectif CANCAN
BE:M08,Composil
DE:S01,Concular
FI:U05,Consolis Parma
BE:F07,Construction Management and Engineering / University of Twente
SE:U09,Contiga
BE:M09,Cornermat / Retrival
GB:M06,CS Architectural Salvage
FR:F01,CSTB
DE:U15,Cubus Projekt
FR:M18,Cycle Up
FR:S02,Cycle Zéro
DE:U17,DARE GmbH
BE:M10,De Groene Poort
NL:U18,De Groot & Visser
BE:M11,De Oude Dakpan
FR:M19,DELAN PATRICK - Antiquaires
DK:M09,Dem fra Nordlunde
FR:M21,Démolition William Perreault
DK:M10,Den Grønne Genbrugshal
FR:U07,Depuis 1920
DE:G02,Deutsche Bundesstiftung Umwelt (DBU)
AT:N01,Die Kümmerei
DE:U18,Die Zusammenarbeiter
CH:S01,Digvis GmbH
BE:M12,Doehetzelf 2dehands bouwmarkt
NO:S01,Donorbygg
DK:U08,DOVISTA / KRONE
AT:N02,DRZ
DK:F01,DTU Byg – Sektion Materialer og Holdbarhed
FI:U06,Durat
NL:M05,DuSpot
FR:M20,Dussel Matériaux Anciens
NL:U22,Dusseldorp
NL:U23,DWT Groep
GB:M08,E&A Reclamation
BE:M14,Eeuwenhout Antoine Verhofstede
FR:M22,EKO reemploi
FI:G01,Ekokumppanit (Kiertotalous Pirkanmaa)
GB:U21,Elliott Wood
BE:N03,Embuild
FR:U08,Encore Heureux
FR:M23,Enfin!Réemploi
GB:M09,English Salvage
NO:U03,Entra AS
CH:I01,Entsorgung + Recycling Zürich (ERZ)
FR:N05,Envirobat Occitanie
GB:M10,Enviromate
BE:G01,ERDF / FEDER Brüssel-Hauptstadt
NL:M06,Excess Materials Exchange (EME)
SE:M05,Fabege
DE:U22,Faltlhauser Krapf
FR:M24,Fer et Pierre
AT:U03,Ferry-Dusika-Stadion Rückbau
GB:U26,FORE Partnership
NO:M01,FornyBygg
DE:F04,Forschungsteam Stuttgart 210 / HFT Stuttgart
DE:F05,Forschungsteam Stuttgart 210 / HTWG Konstanz
GB:U27,Four Bay Structures
BE:U16,Franck
GB:M11,Frome Reclamation Ltd
BE:M15,Fryns-Boret
NO:N03,FutureBuilt
GB:N03,futuREuse directory
DK:U09,Gamle Mursten
GB:U29,Gardiner & Theobald
DE:N04,Gate 21
FR:M25,Gauthey Cheminées
BE:M16,Gebruiktebouwmaterialen
DE:I02,Gemeinde Ingersheim
DK:U10,Genbrugssten ApS
DK:M11,Genbyg
CH:M08,GGZ@WORK Laden 2 Bauteile Zug
GB:X01,Globechain
NL:M07,GP Groot recycling (Heiloo)
CH:U13,Graber Pulver
CH:F06,Gramazio Kohler Research
FR:U09,Grand Huit
GB:U30,Grants of Shoreditch
FR:M26,Grayo tailleur de pierre
DE:U24,Greater Copenhagen Area (CirCoFin pilot)
DK:S01,GreenDozer ApS
CH:S02,Gruner ReUse
DE:U25,GSE – Gesellschaft für Stadtentwicklung gGmbH
NL:M08,Gubbels (Helvoirt)
FR:M27,Guérin Cheminées
DE:U26,Gundlach GmbH & Co. KG Wohnungsunternehmen
BE:M17,Gunter Bosmans
NL:M09,GWW Circulair (Broek op Langedijk)
DE:U27,H2A
NL:M10,Handelsonderneming Klepper
SE:N01,Handslag för cirkulärt byggande
FI:U07,Havu Järvelä
GB:U32,Hawkins\Brown
NL:O05,HEEMwonen
NO:U04,Helen & Hard
SE:U11,Helsingborgshem
BE:M18,Het arduinen hoekje
GB:U33,Heyne Tillett Steel / HTS
BE:M20,Heyns Recycling
DE:M05,Historische Bauelemente (Marwitz)
DE:M06,Historische Baustoffe Ostalb (Söhnstetten)
CH:M09,Historisches Bauteillager Ostschweiz (Denkmal Stiftung Thurgau)
BE:M22,Hofman NV - SA
AT:U05,Hohensinn Architektur
DE:I03,Høje-Taastrup Kommune
DE:U29,Holzbau Matthé
DE:U30,Holzwerke Bullinger
NL:M11,Hoogeboom
FI:F01,Housing Design / Department of Architecture / Aalto University
BE:M23,Houtenplaten
DE:U31,HTR – Holz-Transporte
NL:O06,IBA Parkstad
NL:U32,IMd Raadgevende Ingenieurs
CH:F07,INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton)
CH:U17,Ingenieurbureau Heierli AG
DE:U32,Ingenieurbüro Fechner
NO:U05,Insenti
NL:M12,Insert Marketplace
CH:F12,Institut Konstruktives Entwerfen (IKE) / ZHAW
FR:N07,Institut National de l'Économie Circulaire (INEC)
NO:M03,Iris Ombrukssentral / Saltnes ombruk
DK:U13,J. Jensen A/S
DK:M13,Jakobsen Tegl ApS
NL:M13,Jan van IJken Oude Bouwmaterialen
NO:U07,JCS AS
BE:M24,Jef Stone
DK:M14,jk-genbrug
AT:U06,Job-TransFair gemeinnützige GmbH
FI:U08,Joensuun Rakennuspurku ja Timanttiurakointi Oy
BE:M25,Joris Van Apers
CH:U18,Josef Kolb AG
BE:U23,Kaderstudio
BE:F03,Kamp C
BE:M27,Kasseien Kindt
DK:U14,KC Nedbrydning A/S
BE:M29,Kempische Bouwmaterialen
FI:F02,KIELO-Projektteam / Xamk
FI:U10,Kiilto Family
DK:U16,Kingo (Kingo Karlsen A/S)
DK:U17,Klassiske Vinduer
NL:U34,Kraaijvanger Architects
SE:I01,"Kv Återbruket, Litteraturgatan/Selma stad, Göteborg"
FR:M28,La Bois'Cyclerie
FR:M29,La brocante du Bâtiment (entreprise DRS)
FR:I01,La Fab Bordeaux
FR:M30,La Réserve des Matériaux
BE:M30,La Ressourcerie Fribourg
BE:M31,Labeur Atelier - Labeur
BE:F04,Laboratory for Green Transformable Buildings (GTB Lab)
FR:M31,Labrouche Antiquaire de Matériaux
FR:M32,Labrouche Matériaux Anciens
NL:U35,Lagemaat Heerde
FR:M33,Lascombes Matériaux Anciens
FR:M34,Lascombes Matériaux Anciens Sud-Ouest
NL:U36,lcp-circulair
FR:M35,Le Radiateur Fonte
FR:O02,Le WIP
DE:F14,Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal
NL:F01,Leiden University
DK:U18,Lendager
FR:N08,Les Canaux
SE:U13,Liljewall Arkitekter
CH:U21,Lindner SE
BE:U27,Loeliger Strub
GB:M12,London Reclaimed Brick Merchants
GB:M13,London Reclamation and Salvage Ltd
NO:S02,Loopfront
DE:U34,LXSY Architektur
NO:U08,MAD arkitekter / Mad as
BE:S01,Madaster
CH:S03,Madaster
NL:S01,Madaster / Materialpass-Kontext
AT:S01,Madaster Austria GmbH
FR:M37,MAISON CARRELLE
FR:M38,Maison du Réemploi
CH:U23,manoa Landschaftsarchitekten
FI:U12,Markus Saarela
GB:M14,Material Index
GB:S01,Material Reuse Portal
NO:M04,Materialbanken for bygningsvern
BE:M32,Materialenbank Leuven / Atelier Circuler
AT:U07,materialnomaden
DE:F08,Materialprüfanstalt Brandenburg
DE:M07,Materialrest24
FR:M39,Matériauthèque les Chutes de la Dore
FR:M40,Matériaux Anciens du Nord
FR:M41,Matériaux Anciens du Pays d'Auge
FR:M42,Matériaux Anciens du Sud
FR:M44,Matériaux d'Antan
CH:M10,Matériuum
CH:M11,Matériuum Genève Ressourcerie
NL:U37,Maurer United
DE:U35,Max Holzbau
AT:F02,MedUni Wien
FR:M45,METAMO
GB:U44,Method
FI:U14,Mikkelin Kehitysyhtiö Miksei Oy
GB:M15,Milton Keynes Antiques & Architectural Salvage
DK:S02,Milva
FR:M46,MOBIOUS
FR:U10,Mobius Réemploi
CH:U25,Modissa Immobilien AG
CH:U26,Monotti Ingegneri
GB:U45,Morgan Sindall
DE:M08,MÖWE gGmbH (Möwe Altmaterialverwendung)
DK:U20,MT Højgaard
NO:U09,Multiconsult
DE:I05,München Bauteilbörse (CirCoFin pilot)
BE:M33,MVV Afbraakwerken Martin
BE:N05,Namur Croisade pauvreté
GB:G02,National Lottery Heritage Fund
DE:F09,Natural Building Lab
DE:U37,NBL Studio
SE:U14,NCC
DK:U21,Nedrivningsselskabet Falster
CH:F03,NEST Research and Innovation Platform / Empa–Eawag
NL:U38,New Horizon
NL:U39,New Horizon UM
CH:U28,Nomol
NO:F01,Nordlandsforskning AS
FR:O04,Novaedia / Novædia
SE:M07,Nygårds Byggåtervinning
CH:U29,Oberli Ingenieurbau AG
DK:M15,OKpriser.dk A/S
NO:N05,Ombruks-HUB Sørlandet AS
NO:M05,OMBYGG
BE:N06,Opalis
GB:U46,Opera Property & Asset Management
FR:M47,ORAK
BE:I05,OVAM (Openbare Vlaamse Afvalstoffenmaatschappij)
NL:U40,Overtreders W
DK:U26,P. Olesen / PO Genbrug
SE:S02,Palats
CH:U31,PARABASE
CH:U32,Pascal Flammer Architekten
FI:U15,Peikko Finland
DE:U38,Petra Jablonická
FR:M50,Pierres & Jardins d'Autrefois
NL:U42,Pieters
DK:U28,Pihlmann Architects
CH:U33,PIRMIN JUNG Schweiz AG
FR:M51,Plateau Circulaire
FR:S03,Plateforme de réemploi des matériaux de voirie de la Ville de Paris
GB:U47,PLP Architecture
DK:M16,PlusByg
NL:U43,Popma ter Steege Architecten / PTSA
FR:U11,Pouget Consultants
FR:M53,PROCLUS
DE:F07,Professur Nachhaltiges Bauen / KIT
NO:N04,ProffRebell / Remiks
FR:M55,Provence Vieux Matériaux Brachet
NL:I03,Provincie Gelderland
AT:U08,pulswerk GmbH
FI:U16,Purkukolmio Oy
FI:U17,Purkupiha
FI:M02,Purkutori.fi
FR:M57,R-Place
FR:X01,RAEDIFICARE
SE:U16,Ragn-Sells
FI:U19,Ramboll Finland
DK:M17,Råt&Godt
NL:U45,RAU
AT:N03,Re-Use Austria
CH:N02,RE-WIN
AT:S02,re:store / HarvestMAP Vienna
DK:U29,Realdania
SE:M08,Reboost
GB:M16,Reclaimed Brick Company
GB:M17,Reclaimed World
SE:F01,"ReCreate Sweden / KTH Architecture, Technique and Theory"
FI:F04,ReCreate-Koordination / Faculty of Built Environment / Tampere University
BE:M34,Recupan bvba
FR:M58,Recyclo'Bat
FR:M59,Reemployez.fr
FR:M63,Réempro
FR:M60,REFAIR Bordeaux
DE:U39,Region Hovedstaden
NO:N06,Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim)
NL:M14,Regts - Antieke Tegels
FR:U12,Réhabail
NO:S03,Rehub
GB:G03,ReLondon
FR:N09,REMIX / matériaux réemploi
NL:X01,Repurpose
NO:M06,Resirkula
NL:S02,ReSource Marktplaats
CH:M13,Ressourcerie Lausanne / Matériuum / R-UUL
DE:U40,ReUse and Trade
CH:M14,ReUse Recycling Center Riedtwil / wiederverwendung.ch
GB:N05,Reusefully
CH:S04,REUZI
FR:M61,Rewood
NL:I05,Rijkswaterstaat
SE:F02,RISE (Research Institutes of Sweden)
DK:N03,Røde Kors Byggegenbrug
GB:M18,Romsey Reclamation
GB:M19,Roofslates.com
DE:I06,Roskilde Kommune
NL:U46,Rothuizen Architecten / Taco Tuinhof
BE:N07,Rotor
BE:M35,RotorDC
NL:M15,Sagro used product shop ('s-Heerenhoek)
FI:G02,SÄILÖ: Purusta säilöön ja kiertoon
FR:M64,Saint Emilion Matériaux
GB:N06,Salvo Ltd
GB:M20,SalvoWEB
CH:S05,Salza
DK:U30,Sanderum-Otterup Murerforretning
NO:U11,Scenario Interiørarkitekter
CH:U36,Schmidiger + Rosasco AG
DE:U41,Seidl + Seidl Architekten
SE:I02,Serviceförvaltningen und Miljöförvaltningen / Stockholms stad
GB:U52,Simple Works
NO:S04,Sirken
NO:M07,Sirkulær Ressurssentral
FI:U20,Sitowise
FI:U21,Skanska Finland
DK:U31,Skave Nedbrydning
FR:M67,Skop Marketplace
NL:M16,Snellen (Rijsbergen)
FR:U14,SOCOTEC
NL:M17,Soekijad
FR:U15,Soprema
FI:M03,Spolia
NL:M18,Stadsmijn (Achterhoek)
BE:I06,Stadt Kassel
NL:N02,Staedion
GB:M21,Stax Reclamation
FR:M69,Steel Alive
CH:O02,Stiftung Abendrot / Vorsorgestiftung Abendrot
CH:M15,Stiftung Chance BauTeile Zürich / Glattbrugg
CH:X03,Stiftung Habitat
NL:U48,Stiho
SE:U19,Strängbetong
CH:F08,Structural Xploration Lab (SXL) / EPFL
GB:X02,"Studierende, Schulkinder und Freiwillige"
GB:U55,Studio PDP
CH:U38,Studio Trachsler Hoffmann
BE:S03,Sundahus
NL:U51,Superuse Studios / 2012Architecten
DE:S02,SURAP GmbH
NL:F04,SURD Research Centre / Zuyd
GB:M22,Surplus Building & Plumbing Materials
GB:S02,Sustainability Yard
SE:N02,Svensk Betong
DK:M18,Sydhavn Genbrugscenter
FR:U16,Synéthic
CH:U39,Syphon AG Bauteilbörse Biel-Brügg
FI:I05,Tampereen kaupunki (City of Tampere)
SE:U20,Teknikbyggarna
NL:S03,Ter Velde & Den Besten
FR:M70,TEXTIFLOOR
GB:U58,TFT Consultants
GB:M23,The Antique Oak Flooring Company
GB:M24,The Architectural Forum
GB:U59,The Built Environment Trust
GB:U60,The Engineers Reuse Collective (TERC)
GB:M25,The Old Slate Yard
GB:M26,The Reclaimed Company
NO:U13,TOBB
FR:M72,Toit de Paris
DE:U46,TOMAS
FR:M73,Tonner Matériaux Anciens
BE:N09,Tracimat vzw
NL:U53,TRAJECT
FR:O05,Travail & Vie
NO:I03,Trondheim kommune
FR:M74,Trost Carrelages Anciens
DK:U33,Tscherning
CH:U40,Tschudin Rückbau und Demontagen GmbH
DE:F13,TU Berlin Fachgebiet Bauphysik und Baukonstruktionen
GB:F02,UCL Circular Economy Lab
GB:U61,UK CLT
SE:I04,Umeå kommun
GB:F03,University of Brighton
GB:F04,University of East Anglia
DE:N06,Unternehmerverband Historische Baustoffe e.V. (UHB)
DK:S03,UpcyclingForum
FR:M75,Upcylight
FI:I02,Urban Environment Division / City of Helsinki
GB:U62,Urban Miners
DE:S03,Urban Mining Index
DE:U47,Urselmann Interior
CH:M16,useagain / Bauteilclick
NL:U56,Van der Wal Sloopwerken
BE:M37,Van Dijck
BE:M38,Van Huele
DK:U34,Vandkunsten
SE:M09,Varvsstaden / Materialbanken (Malmö)
SE:U21,Vasakronan
CH:N03,Verein RE-WIN
NL:U61,Vic Obdam Staalbouw
NL:U62,Victory Group
AT:I02,"VIE.CYCLE / DoTank Circular City Wien 2020–2030 (Stadt Wien, Stabsstelle SRN)"
FR:M77,Vieux Granits
FR:I03,Ville de Paris
BE:F08,Vlaamse Instelling voor Technologisch Onderzoek (VITO)
BE:F09,Vrije Universiteit Brussel (VUB) – Architectural Engineering
FI:F05,VTT – Circularity in the Built Environment
GB:X03,Warp It
GB:M27,Watling Reclamation Yard
GB:U63,Webb Yates Engineers
CH:U42,Weber + Brönnimann AG
NL:M19,Weever Circulair (Kampen)
GB:M28,Wells Reclamation
DE:U48,Werner Sobek
CH:U44,Wetter AG
GB:U64,Whitby Wood
CH:M17,Wick ReUse / ROTO Baumarkt
AT:N04,Wiener Aufzugmus.
DE:U49,Wiewiorra Hopp Architekten
SE:U22,Wiklunds Åkeri
GB:U65,Willmott Dixon
GB:M29,Wilsons Yard
SE:U23,Wilzéns
GB:M30,Womack Building Supplies
AT:I03,WSE Wiener Standortentwicklung GmbH
FI:U24,YIT
NL:O08,Zayaz
SE:U24,Zengun
BE:N11,Zinneke asbl
DE:U50,ZIRKULAAR Architektur
CH:U46,Zirkular
DE:U51,ZRS Ingenieure
