rel_id,rel_type,from_id,to_id,claim_ids,fact_label,confidence,dossier_section,primary_url,corroborating_count,metadata_sidecar_key
r_salza__belegt_in__q_url_45d7c6380377a9cec952dbf6c3f2ba8c,BELEGT_IN,salza,q_url_45d7c6380377a9cec952dbf6c3f2ba8c,claim_salza_platform,Fact,belegt,§5,https://salza.ch/bauteil-plattform,1,rel:BELEGT_IN:salza->q_url_45d7c6380377a9cec952dbf6c3f2ba8c
r_materiuum__belegt_in__q_url_56649f37d5b1ee18d083da852797c756,BELEGT_IN,materiuum,q_url_56649f37d5b1ee18d083da852797c756,claim_materiuum_geneva_ressourcerie,Fact,belegt,§5,https://materiuum.ch/,1,rel:BELEGT_IN:materiuum->q_url_56649f37d5b1ee18d083da852797c756
r_bauteilladen_winterthur__belegt_in__q_url_48e67450f81ae55a6012813987faf31e,BELEGT_IN,bauteilladen_winterthur,q_url_48e67450f81ae55a6012813987faf31e,claim_bauteilladen_shop,Fact,belegt,§5,https://bauteilladen.ch/,1,rel:BELEGT_IN:bauteilladen_winterthur->q_url_48e67450f81ae55a6012813987faf31e
r_wick_reuse_roto_baumarkt__belegt_in__q_url_161aca331467d6b5bd144e83b6837af4,BELEGT_IN,wick_reuse_roto_baumarkt,q_url_161aca331467d6b5bd144e83b6837af4,claim_wick_baumarkt,Fact,belegt,§5,https://wickreuse.ch/baumarkt/,1,rel:BELEGT_IN:wick_reuse_roto_baumarkt->q_url_161aca331467d6b5bd144e83b6837af4
r_software_planular__belegt_in__q_url_b56f2c6f1a86dfe463f893b8fb2d170e,BELEGT_IN,software_planular,q_url_b56f2c6f1a86dfe463f893b8fb2d170e,claim_planular_software,Fact,belegt,§8,https://planular.net/,1,rel:BELEGT_IN:software_planular->q_url_b56f2c6f1a86dfe463f893b8fb2d170e
r_tool_swiss_inv__belegt_in__q_url_11b57832bab34bc803b1c474d947a234,BELEGT_IN,tool_swiss_inv,q_url_11b57832bab34bc803b1c474d947a234,claim_swiss_inv_inventory,Fact,belegt,§8,https://www.cirkla.ch/en/publications-outils/swiss-inv/,1,rel:BELEGT_IN:tool_swiss_inv->q_url_11b57832bab34bc803b1c474d947a234
r_software_cirkla_scan__belegt_in__q_url_528ffcc17d3c369417c9abab94af6b98,BELEGT_IN,software_cirkla_scan,q_url_528ffcc17d3c369417c9abab94af6b98,claim_cirkla_scan_national_supply,Fact,belegt,§8,https://www.cirkla.ch/en/publications-outils/,1,rel:BELEGT_IN:software_cirkla_scan->q_url_528ffcc17d3c369417c9abab94af6b98
r_prog_swircular__belegt_in__q_url_c39ea839ce817e1f9072b736908392e8,BELEGT_IN,prog_swircular,q_url_c39ea839ce817e1f9072b736908392e8,claim_swircular_innosuisse_flagship,Fact,belegt,§9,https://swircular.ethz.ch/the-project.html,1,rel:BELEGT_IN:prog_swircular->q_url_c39ea839ce817e1f9072b736908392e8
r_prog_innosuisse_reuse_legal_framework_ch__belegt_in__q_url_991a5f7d46f61c5f40b414f95b3ae0ca,BELEGT_IN,prog_innosuisse_reuse_legal_framework_ch,q_url_991a5f7d46f61c5f40b414f95b3ae0ca,claim_legal_framework_innosuisse_2024,Fact,belegt,§9,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,1,rel:BELEGT_IN:prog_innosuisse_reuse_legal_framework_ch->q_url_991a5f7d46f61c5f40b414f95b3ae0ca
r_c33_circular_construction_catalyst__belegt_in__q_url_f80ca2b99c0cb9b46f719fb00ae326a6,BELEGT_IN,c33_circular_construction_catalyst,q_url_f80ca2b99c0cb9b46f719fb00ae326a6,claim_c33_coordination_office,Fact,belegt,§10,https://www.circularconstructioncatalyst.ch/,0,rel:BELEGT_IN:c33_circular_construction_catalyst->q_url_f80ca2b99c0cb9b46f719fb00ae326a6
r_circular_hub_zurich__belegt_in__q_url_7c730743b296bdd420bc6620a934abd3,BELEGT_IN,circular_hub_zurich,q_url_7c730743b296bdd420bc6620a934abd3,claim_circular_hub_zurich,Fact,belegt,§10,https://circularhub.ch/,0,rel:BELEGT_IN:circular_hub_zurich->q_url_7c730743b296bdd420bc6620a934abd3
r_circular_economy_switzerland__belegt_in__q_url_c548063354ab44a89c5261a82d0248ff,BELEGT_IN,circular_economy_switzerland,q_url_c548063354ab44a89c5261a82d0248ff,claim_ces_network,Fact,belegt,§10,https://www.circular-economy-switzerland.ch/en,0,rel:BELEGT_IN:circular_economy_switzerland->q_url_c548063354ab44a89c5261a82d0248ff
r_sumami__belegt_in__q_url_cd3db9f4a762545b641a904785da349e,BELEGT_IN,sumami,q_url_cd3db9f4a762545b641a904785da349e,claim_sumami_homepage,Fact,belegt,§7,https://www.sumami.ch/,1,rel:BELEGT_IN:sumami->q_url_cd3db9f4a762545b641a904785da349e
r_cirkla__verbunden_mit_akteur__software_cirkla_scan,VERBUNDEN_MIT_AKTEUR,cirkla,software_cirkla_scan,claim_cirkla_scan_national_supply,Fact,belegt,§8,https://www.cirkla.ch/en/publications-outils/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->software_cirkla_scan
r_cirkla__verbunden_mit_akteur__tool_swiss_inv,VERBUNDEN_MIT_AKTEUR,cirkla,tool_swiss_inv,claim_swiss_inv_inventory,Fact,belegt,§8,https://www.cirkla.ch/en/publications-outils/swiss-inv/,1,rel:VERBUNDEN_MIT_AKTEUR:cirkla->tool_swiss_inv
r_zirkular__verbunden_mit_akteur__software_planular,VERBUNDEN_MIT_AKTEUR,zirkular,software_planular,claim_zirkular_planular_service,Fact,belegt,§3.2,https://zirkular.net/en/service/,1,rel:VERBUNDEN_MIT_AKTEUR:zirkular->software_planular
r_eth_zuerich__beteiligt_an__prog_swircular,BETEILIGT_AN,eth_zuerich,prog_swircular,claim_swircular_innosuisse_flagship,Fact,belegt,§9,https://swircular.ethz.ch/the-project.html,1,rel:BETEILIGT_AN:eth_zuerich->prog_swircular
r_zirkular__beteiligt_an__prog_innosuisse_reuse_legal_framework_ch,BETEILIGT_AN,zirkular,prog_innosuisse_reuse_legal_framework_ch,claim_legal_framework_innosuisse_2024,Fact,belegt,§9,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,1,rel:BETEILIGT_AN:zirkular->prog_innosuisse_reuse_legal_framework_ch
r_baubuero_in_situ__beteiligt_an__prog_innosuisse_reuse_legal_framework_ch,BETEILIGT_AN,baubuero_in_situ,prog_innosuisse_reuse_legal_framework_ch,claim_legal_framework_innosuisse_2024,Fact,belegt,§9,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,1,rel:BETEILIGT_AN:baubuero_in_situ->prog_innosuisse_reuse_legal_framework_ch
r_sumami__belegt_in__q_url_422166f604d091d32cff814ca59194f2,BELEGT_IN,sumami,q_url_422166f604d091d32cff814ca59194f2,claim_sumami_develops_useagain,Fact,belegt,§7,https://sustainable-digital-construction.ethz.ch/en/reuse,2,rel:BELEGT_IN:sumami->q_url_422166f604d091d32cff814ca59194f2
r_gruner_reuse_platform__verbunden_mit_akteur__bauteilboerse_basel_overall,VERBUNDEN_MIT_AKTEUR,gruner_reuse_platform,bauteilboerse_basel_overall,claim_gruner_basal_useagain_chain,Fact,belegt,§6,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,1,rel:VERBUNDEN_MIT_AKTEUR:gruner_reuse_platform->bauteilboerse_basel_overall
r_bauteilboerse_basel_overall__verbunden_mit_akteur__gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,bauteilboerse_basel_overall,gruner_reuse_platform,claim_gruner_basal_useagain_chain,Fact,belegt,§6,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,1,rel:VERBUNDEN_MIT_AKTEUR:bauteilboerse_basel_overall->gruner_reuse_platform
r_bauteilboerse_basel_overall__verbunden_mit_akteur__useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,bauteilboerse_basel_overall,useagain_bauteilclick,claim_gruner_basal_useagain_chain,Fact,belegt,§6,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,1,rel:VERBUNDEN_MIT_AKTEUR:bauteilboerse_basel_overall->useagain_bauteilclick
r_useagain_bauteilclick__verbunden_mit_akteur__bauteilboerse_basel_overall,VERBUNDEN_MIT_AKTEUR,useagain_bauteilclick,bauteilboerse_basel_overall,claim_gruner_basal_useagain_chain,Fact,belegt,§6,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,1,rel:VERBUNDEN_MIT_AKTEUR:useagain_bauteilclick->bauteilboerse_basel_overall
r_useagain_bauteilclick__verbunden_mit_akteur__bauteilladen_winterthur,VERBUNDEN_MIT_AKTEUR,useagain_bauteilclick,bauteilladen_winterthur,claim_useagain_network_baselladen,Fact,belegt,§5,https://library-of-reuse.ch/pioneers/useagain,2,rel:VERBUNDEN_MIT_AKTEUR:useagain_bauteilclick->bauteilladen_winterthur
r_bauteilladen_winterthur__verbunden_mit_akteur__useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,bauteilladen_winterthur,useagain_bauteilclick,claim_useagain_network_baselladen,Fact,belegt,§5,https://library-of-reuse.ch/pioneers/useagain,2,rel:VERBUNDEN_MIT_AKTEUR:bauteilladen_winterthur->useagain_bauteilclick
r_cirkla__verbunden_mit_akteur__wick_reuse_roto_baumarkt,VERBUNDEN_MIT_AKTEUR,cirkla,wick_reuse_roto_baumarkt,claim_cirkla_committee_roto_reuse,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->wick_reuse_roto_baumarkt
r_wick_reuse_roto_baumarkt__verbunden_mit_akteur__cirkla,VERBUNDEN_MIT_AKTEUR,wick_reuse_roto_baumarkt,cirkla,claim_cirkla_committee_roto_reuse,Fact,belegt,§2.3,https://www.cirkla.ch/en/lassociation-cirkla/,2,rel:VERBUNDEN_MIT_AKTEUR:wick_reuse_roto_baumarkt->cirkla
r_sumami__verbunden_mit_akteur__useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,sumami,useagain_bauteilclick,claim_sumami_develops_useagain,Fact,belegt,§7,https://sustainable-digital-construction.ethz.ch/en/reuse,2,rel:VERBUNDEN_MIT_AKTEUR:sumami->useagain_bauteilclick
r_cirkla__verbunden_mit_akteur__c33_circular_construction_catalyst,VERBUNDEN_MIT_AKTEUR,cirkla,c33_circular_construction_catalyst,claim_coordination_actors_shared_field,Interpretive_conclusion,teilweise_belegt,§10,https://www.circularconstructioncatalyst.ch/,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->c33_circular_construction_catalyst
r_cirkla__verbunden_mit_akteur__circular_hub_zurich,VERBUNDEN_MIT_AKTEUR,cirkla,circular_hub_zurich,claim_coordination_actors_shared_field,Interpretive_conclusion,teilweise_belegt,§10,https://www.circularconstructioncatalyst.ch/,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->circular_hub_zurich
r_cirkla__verbunden_mit_akteur__circular_economy_switzerland,VERBUNDEN_MIT_AKTEUR,cirkla,circular_economy_switzerland,claim_coordination_actors_shared_field,Interpretive_conclusion,teilweise_belegt,§10,https://www.circularconstructioncatalyst.ch/,2,rel:VERBUNDEN_MIT_AKTEUR:cirkla->circular_economy_switzerland
