anchor_id,finalest_status,pass8_status,strict_material_count,strict_bauteiltyp_count,strict_total_claim_rows,strict_material_ids,strict_bauteiltyp_ids,review_material_count,review_bauteiltyp_count,review_total_claim_rows,review_material_ids,review_bauteiltyp_ids,scope_evidence_rows,actor_scope_classification,is_materialboerse_scope,needs_followup,followup_reason
material_index,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,0,5,5,,bt_ausbau;bt_boden;bt_technik;bt_tuer;bt_wand,3,0,5,mat_holz;mat_stahl;mat_ziegel,,0,,,yes,strict evidence present; review rows still available
material_reuse_portal,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,0,1,1,,bt_dach,3,7,15,mat_glas;mat_holz;mat_stahl,bt_boden;bt_decke;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,1,AGGREGATED_MATERIAL_REUSE_PORTAL,yes_aggregator,yes,strict evidence present; review rows still available
materialenbank_leuven_atelier_circuler,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,6,8,41,mat_daemmstoff;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_boden;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,0,,,yes,"only review evidence, not import-safe"
materialrest24,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,1,4,5,mat_holz,bt_ausbau;bt_dach;bt_technik;bt_wand,0,,,yes,"only review evidence, not import-safe"
new_horizon,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,1,2,3,mat_beton,bt_dach;bt_fassade,0,,,yes,"only review evidence, not import-safe"
r_place,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,1,1,,bt_technik,0,,,yes,"only review evidence, not import-safe"
raedificare,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,0,0,,,1,PROFESSIONAL_REUSE_MARKETPLACE_PLATFORM,yes,yes,"scope only, no Material/Bauteiltyp claim"
re_store_harvestmap_vienna,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,4,2,9,mat_beton;mat_holz;mat_keramik;mat_naturstein,bt_boden;bt_dach,0,0,0,,,0,,,no,no evidence captured
reempro,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,2,8,10,mat_keramik;mat_ziegel,bt_ausbau;bt_boden;bt_daemmung;bt_decke;bt_fenster;bt_technik;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
resource_marktplaats,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,0,0,,,1,CIRCULAR_CONSTRUCTION_MATERIALS_APP,yes_app,yes,"scope only, no Material/Bauteiltyp claim"
reuse_and_trade,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,0,2,2,,bt_boden;bt_tuer,2,3,6,mat_holz;mat_stahl,bt_gelaender;bt_technik;bt_treppe,0,,,yes,strict evidence present; review rows still available
rotordc,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,1,0,2,mat_keramik,,6,9,22,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_technik;bt_treppe;bt_tuer;bt_wand,0,,,yes,strict evidence present; review rows still available
salvoweb,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,1,1,,bt_tuer,0,,,yes,"only review evidence, not import-safe"
salza,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,0,0,,,1,BAUTEIL_PLATFORM_FOR_REUSE,yes,yes,"scope only, no Material/Bauteiltyp claim"
skop_marketplace,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,2,7,10,mat_daemmstoff;mat_holz,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_technik;bt_tuer;bt_wand,0,,,yes,"only review evidence, not import-safe"
software_restado,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,2,4,6,mat_holz;mat_keramik,bt_boden;bt_dach;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
surplus_building_and_plumbing_materials,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,3,4,7,mat_daemmstoff;mat_holz;mat_ziegel,bt_dach;bt_daemmung;bt_technik;bt_wand,0,,,yes,"only review evidence, not import-safe"
sustainability_yard,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,4,10,14,mat_daemmstoff;mat_holz;mat_naturstein;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,0,,,yes,"only review evidence, not import-safe"
useagain_bauteilclick,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,1,2,3,mat_stahl,bt_fenster;bt_technik,4,1,5,mat_glas;mat_holz;mat_keramik;mat_kunststoff,bt_tuer,0,,,yes,strict evidence present; review rows still available
warp_it,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,NOT_CORE_BAUTEILBOERSE_OR_ADJACENT,0,0,0,,,0,0,0,,,1,GENERAL_RESOURCE_REDISTRIBUTION_PLATFORM_ADJACENT,no_core_bauteilboerse_adjacent_reuse_platform,yes,"scope only, no Material/Bauteiltyp claim"
