key,cc,tid,name,official_url,access_status,research_status,logo_lead_count,logo_leads,brand_media_pages,contact_pages,preferred_permission_email,domain_finding_status,domain_finding_note,recommended_outcome
CH:U15,CH,U11,Modissa Immobilien AG,http://www.modissa.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,15,https://collectifmonamour.com/cdn/shop/files/CMA_Logo_rgb_black.png?crop=center&height=300&v=1709023222&width=300 | https://collectifmonamour.com/cdn/shop/files/CMA_Logo_rgb_black.png?crop=center&height=2048&v=1709023222&width=2048 | http://collectifmonamour.com/cdn/shop/files/Collectif-mon-Amour-Damen-Bekleidung-online-kaufen_1000x628.png?v=1709020126 | https://collectifmonamour.com/cdn/shop/files/Collectif-mon-Amour-Damen-Bekleidung-online-kaufen_1000x628.png?v=1709020126 | https://collectifmonamour.com/pages/brands | https://collectifmonamour.com/cdn/shop/files/Brands_we_love_King_Louie.png?crop=center&height=300&v=1758287007&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love_King_Louie.png?crop=center&height=2048&v=1758287007&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Sorbet-Island.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Sorbet-Island.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-New-Balance.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-New-Balance.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Birkenstock.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Birkenstock.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Suncoo.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Suncoo.png?crop=center&height=2048&v=1758287268&width=2048,https://collectifmonamour.com/pages/brands | https://collectifmonamour.com/pages/impressum,,kundendienst@collectifmonamour.com,registry_domain_lead_not_first_party_verified,Business listing names modissa.ch; the current first-party site and exact property-company brand still need confirmation.,none_pending_first_party_verification
CH:U18,CH,U14,Oberli Ingenieurbau AG,,not_attempted,no_official_domain,0,,,,,no_exact_first_party_domain_found,"Oberli Ingenieurbau AG is documented in project sources, but no current exact first-party website was found.",none
CH:U20,CH,U16,Pascal Flammer Architekten,https://www.pascalflammer.com/,ok,official_site_found_no_permission_route,1,https://www.pascalflammer.com/static/favicon/apple-touch-icon.891ee2c70a35.png,,,,,,manual_candidate_review
CH:U23,CH,U19,Studio Trachsler Hoffmann,https://trachslerhoffmann.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,https://trachslerhoffmann.ch/kontakt,info@trachslerhoffmann.ch,,,none_no_lead
CH:U24,CH,U20,Syphon AG Bauteilbörse Biel-Brügg,https://stiftung-suedkurve.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,https://stiftung-suedkurve.ch/impressum,https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/kontakt,,,,none_no_lead
CH:U25,CH,U21,Tschudin Rückbau und Demontagen GmbH,https://www.tschudin-rueckbau.ch/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,https://www.tschudin-rueckbau.ch/index.php/asdf-as-d,franz.schaffner@tschudin-gmbh.ch,,,none_no_lead
DE:F03,DE,F03,Claus Asam,,not_attempted,no_official_domain,0,,,,,person_historical_affiliation,"Claus Asam is a person historically affiliated with IEMB/TU/BBSR, not a standalone organisation brand.",none
DE:M06,DE,M07,Materialrest24,https://www.materialrest24.de/,error:URLError:<urlopen error timed out>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
DE:N02,DE,N02,bauteilnetz Deutschland,http://www.bauteilnetz.de/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,2,http://www.bauteilnetz.de/bauteilnetz/bilder/btn/logos/undekade_100_weiss.png | http://www.bauteilnetz.de/bauteilnetz/bilder/btn/logos/logo_schrift_384_weiss.png,http://www.bauteilnetz.de/bauteilnetz/website/stdws_news/pressespiegel.html | http://www.bauteilnetz.de/bauteilnetz/website/stdws_impressum/einfach/impressum.html,,info@bauteilnetz.de,,,manual_candidate_review
DE:U14,DE,U06,Die Zusammenarbeiter,https://zusammenarbeiter.de/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,1,https://zusammenarbeiter.de/img/dza_logo.png,https://zusammenarbeiter.de/presse.php,https://zusammenarbeiter.de/kontakt.php,info@zusammenarbeiter.de,,,manual_candidate_review
DE:U27,DE,U14,Ingenieurbüro Fechner,,not_attempted,no_official_domain,0,,,,,ambiguous_common_business_name,No domain could be tied uniquely to the intended Ingenieurbüro Fechner.,none_pending_exact_identity_match
DE:U32,DE,U18,Petra Jablonická,https://www.jablonicka.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,3,"https://static.wixstatic.com/media/404fde_c29affad54a94aacbf04b91064ccde4a%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/404fde_c29affad54a94aacbf04b91064ccde4a%7Emv2.png | https://static.wixstatic.com/media/404fde_4708d2dea556486a8e2faf0c8bd6d677~mv2.png/v1/fill/w_74,h_106,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/231128_PJ_logo.png | https://static.wixstatic.com/media/404fde_1c4974d103a24427aa364be55c59d69e%7Emv2.jpeg/v1/fit/w_2500,h_1330,al_c/404fde_1c4974d103a24427aa364be55c59d69e%7Emv2.jpeg",https://www.jablonicka.com/impressum,,petra@jablonicka.com,exact_personal_site_but_person,"Exact personal portfolio found; the row is a person, so the no-monogram/person rule still yields none.",none
DE:U41,DE,U24,Wiewiorra Hopp Architekten,https://www.annahopp.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,1,https://www.annahopp.com/favicon.gif,https://www.annahopp.com/info | https://www.annahopp.com/projects/villa-f-in-brandenburg,,info@annahopp.com,historical_office_successor_not_exact,Wiewiorra Hopp is documented as a historical office; Anna Hopp's current practice is not an exact identity replacement.,none_unless_historical_logo_is_officially_sourced
DK:M01,DK,M01,Bango A/S,https://www.bango.dk/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,20,https://www.bango.dk/media/81/cb/48/1622642365/favicon.ico | https://www.bango.dk/media/5e/fe/21/1722429378/Bango%20Logo%20Webpage%20PNG.webp | https://www.bango.dk/theme/780e10f548fef962fdbd214348bd8073/bundles/bangotheme/storefront/logo_white_bango.png | https://www.bango.dk/media/e5/fe/df/1633514540/Bango%20Logo%20Webpage%20PNG.png | https://bango.b-cdn.net/media/c1/a4/93/1661433414/swedoor-logo.jpg | https://bango.b-cdn.net/media/30/37/22/1706181960/WISNIOWSKI_logo.png | https://bango.b-cdn.net/media/a5/76/00/1706182387/asmodas%20logo.png | https://bango.b-cdn.net/media/19/8f/de/1713166461/ny swedoor branddør.jpg | https://www.bango.dk/bundles/bangotheme/storefront/kobsgaranti-pricerunner-dk.png | https://www.bango.dk/bundles/bangotheme/storefront/logo_white_bango.png | https://www.bango.dk/media/5e/fe/21/1722429378/Bango Logo Webpage PNG.webp | https://www.bango.dk/brands/ | https://bango.b-cdn.net/media/cb/1a/98/1706182799/xs%20alu%20ny%20logo.png | https://bango.b-cdn.net/thumbnail/40/5d/1b/1642234878/Bernerlogo_400x400.jpg | https://bango.b-cdn.net/media/ce/a9/96/1706183627/fakro%20logo.jpg | https://bango.b-cdn.net/media/62/49/b3/1708324687/GaraDry_logo_sm2.webp | https://bango.b-cdn.net/media/91/9f/66/1706183768/gefion%20profiler%20logo.png | https://bango.b-cdn.net/media/af/89/28/1677068407/GfA%20logo.png | https://bango.b-cdn.net/media/a0/f3/46/1706183287/habo%20logo.webp | https://bango.b-cdn.net/media/72/04/29/1706184002/Hoppe%20logo.png,https://www.bango.dk/brands/ | https://www.bango.dk/brands/prodoor/,https://www.bango.dk/kontaktos/,"                            info@bango.dk
            ",,,manual_candidate_review
DK:M02,DK,M02,Byggeboersen,https://www.xn--byggebrsen-5cb.dk/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,2,https://www.xn--byggebrsen-5cb.dk/icons/apple-touch-icon.png | https://www.xn--byggebrsen-5cb.dk/og-image.png,,,info@byggeborsen.dk,exact_current_first_party_domain_found,Current first-party Byggebørsen marketplace found.,research_logo_on_official_site
DK:M12,DK,M10,OKpriser.dk A/S,https://okpriser.dk/,error:URLError:<urlopen error _ssl.c:993: The handshake operation timed out>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
DK:U16,DK,U11,Klassiske Vinduer,https://klassiske-vinduer.dk/,ok,contact_route_found_permission_not_requested,0,,,https://klassiske-vinduer.dk/kontakt-bestilling,lennart@studinski.dk,,,none_no_lead
FI:U04,FI,U04,Durat,https://durat.fi/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,3,https://durat.fi/cdn/shop/files/logo-durat_f8b378e3-1fb2-4878-b81d-424f4e8c7e76.png?v=1663657528 | https://durat.fi/cdn/shop/files/Durat_logo_1200_x_3390_px_3.png?v=1731570759 | http://durat.fi/cdn/shop/files/durat_shareimage.png?v=1679981526,,https://durat.fi/en/pages/contact | https://durat.fi/pages/yhteystiedot,info@3dwallpanels-italia.com,,,manual_candidate_review
FR:F01,FR,F01,CSTB,https://www.cstb.fr/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,3,https://www.cstb.fr/getmedia/39ba431d-4111-437a-a59e-da8c578a5275/Logo_BATIPEDIA_540x390.jpg?width=540&height=390&ext=.jpg | https://www.cstb.fr/getmedia/d0ba778f-21d9-444b-83a0-506ba967a2a1/Centre-Scientifique-Technique-Batiment-home.jpg?width=2700&height=915&ext=.jpg | https://www.cstb.fr/getmedia/d53382fe-6cd1-40b5-b84f-dc4c6d76d35f/mediaroom-cstb.jpg?width=2700&height=915&ext=.jpg,https://www.cstb.fr/mediaroom | https://www.cstb.fr/communiques-de-presse,https://www.cstb.fr/nous-contacter | https://www.cstb.fr/newsletter-contact,,,,manual_candidate_review
FR:M05,FR,M05,Bathestia Recup,https://bathestia.fr/,ok,contact_route_found_permission_not_requested,8,https://bathestia.fr/img_fixes/bathestia_logo.ico | https://bathestia.fr/img_fixes/logo_blanc_100px.webp | https://bathestia.fr/img_fixes/logo_catalogue_50px.webp | https://bathestia.fr/img_small/logos_partners/forum_assos_moustey.jpg | https://bathestia.fr/img_fixes/logo_agenda_50px.webp | https://bathestia.fr/img_tiny/logos_partners/logo_leadereurope_40px.webp | https://bathestia.fr/img_tiny/logos_partners/logo_dreal_40px.webp | https://bathestia.fr/img_tiny/logos_partners/logo_regionna_europe_40px.webp,,https://bathestia.fr/contact.html,,,,manual_candidate_review
FR:M08,FR,M08,Bourgogne Matériaux Anciens,https://www.bourgogne-materiaux-anciens.fr/,error:URLError:<urlopen error [Errno 11001] getaddrinfo failed>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
FR:M09,FR,M09,Broc'Antique,https://brocantique.pro/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,6,https://brocantique.pro/wp-content/cache/min/1/wp-content/uploads/smile_fonts/logo_brand/logo_brand.css?ver=1786789897 | https://brocantique.pro/wp-content/uploads/2021/04/Logo-le-BrocAntique-site.png | https://brocantique.pro/wp-content/uploads/2017/10/men_logo.png | https://brocantique.pro/wp-content/uploads/2017/10/girl_logo.png | https://brocantique.pro/wp-content/uploads/2017/10/boy-logo.png | https://brocantique.pro/wp-content/uploads/2021/03/la-boutique-le-brocAntique.png,,https://brocantique.pro/contact/ | https://brocantique.pro/contact-devis-renseignements/,,ambiguous_same_name_business,"A same-name antiques site exists, but the graph identity cannot yet be tied to it exactly.",none_pending_exact_identity_match
FR:M17,FR,M17,Enfin!Réemploi,https://enfin-reemploi.fr/,error:URLError:<urlopen error timed out>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
FR:M21,FR,M21,Guérin Cheminées,https://www.guerin-cheminees.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,https://www.guerin-cheminees.com/contact/,,,,none_no_lead
FR:M25,FR,M25,Labrouche Antiquaire de Matériaux,https://antiquairedemateriaux.com/,ok,contact_route_found_permission_not_requested,0,,,,%6c%61%62%72%6f%75%63%68%65@%61%6e%74%69%71%75%61%69%72%65%64%65%6d%61%74%65%72%69%61%75%78.%63%6f%6d,,,none_no_lead
FR:M28,FR,M28,Lascombes Matériaux Anciens Sud-Ouest,https://www.lascombes-sud-ouest.fr/,ok,official_site_found_no_permission_route,0,,,,,,,none_no_lead
FR:M36,FR,M35,Matériaux Anciens du Sud,https://www.materiauxanciensdusud.com/,error:RemoteDisconnected:Remote end closed connection without response,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
FR:M42,FR,M40,Pierres & Jardins d'Autrefois,https://www.pierres-et-jardins.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,2,"https://static.parastorage.com/client/pfavico.ico | https://static.wixstatic.com/media/56fc97_4e030451fc834b63a170aa3c9a75a48a.jpg/v1/fit/w_2500,h_1330,al_c/56fc97_4e030451fc834b63a170aa3c9a75a48a.jpg",,https://www.pierres-et-jardins.com/contact,contact@pierres-et-jardins.com,,,manual_candidate_review
FR:M45,FR,M43,Provence Vieux Matériaux Brachet,https://www.brachet-anciensmateriaux.fr/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,1,https://www.brachet-anciensmateriaux.fr/assets/img/icon/lys2.png,,https://www.brachet-anciensmateriaux.fr/,cil@ovh.net,,,manual_candidate_review
FR:M49,FR,M46,Reemployez.fr,https://reemployez.fr/,ok,official_site_found_no_permission_route,0,,,,,,,none_no_lead
FR:M53,FR,M50,Saint Emilion Matériaux,https://pierredetaille-gironde.fr/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,5,"https://cdn-ilcaikb.nitrocdn.com/OViQksRGSgJCzcTfExhRTmXbgKDmkOSO/assets/images/optimized/rev-9acf7ef/pierredetaille-gironde.fr/wp-content/uploads/2025/08/cropped-logo-saint-emilion-materiaux-negoce-vente-pierre-naturelle-neuf-ancien-32x32.png | https://cdn-ilcaikb.nitrocdn.com/OViQksRGSgJCzcTfExhRTmXbgKDmkOSO/assets/images/optimized/rev-9acf7ef/pierredetaille-gironde.fr/wp-content/uploads/2025/08/cropped-logo-saint-emilion-materiaux-negoce-vente-pierre-naturelle-neuf-ancien-192x192.png | https://cdn-ilcaikb.nitrocdn.com/OViQksRGSgJCzcTfExhRTmXbgKDmkOSO/assets/images/optimized/rev-9acf7ef/pierredetaille-gironde.fr/wp-content/uploads/2025/08/cropped-logo-saint-emilion-materiaux-negoce-vente-pierre-naturelle-neuf-ancien-180x180.png | data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjQ5IDI0OSIgd2lkdGg9IjI0OSIgaGVpZ2h0PSIyNDkiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyI+PC9zdmc+ | data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgNTEyIDUxMiIgd2lkdGg9IjUxMiIgaGVpZ2h0PSI1MTIiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyI+PC9zdmc+",,https://pierredetaille-gironde.fr/about/,contact.erictoulon@gmail.com,,,manual_candidate_review
FR:M56,FR,M53,TEXTIFLOOR,https://www.textifloor.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,https://www.textifloor.com/contact,,,,none_no_lead
FR:M58,FR,M55,Tonner Matériaux Anciens,https://www.tonner-materiaux-anciens.fr/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,5,https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_57x57&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_72x72&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_114x114&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_192x192&cache_key=1613492125 | https://www.tonner-materiaux-anciens.fr/site/screenshot/?size_preset=fb&v=1785315948,,,tonner.m.a@gmail.com,,,manual_candidate_review
FR:M59,FR,M56,Trost Carrelages Anciens,http://www.materiaux-anciens49.com/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,0,,,,vladimire-@hotmail.com,,,none_no_lead
FR:M61,FR,M58,Vieux Granits,https://www.vieuxgranits.com/,ok,contact_route_found_permission_not_requested,0,,,https://www.vieuxgranits.com/contact.html,vieuxgranits@wanadoo.fr,,,none_no_lead
FR:O01,FR,O01,Booster du Réemploi (A4MT),https://www.looping.immo/,error:URLError:<urlopen error [Errno 11001] getaddrinfo failed>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
FR:O02,FR,O02,Le WIP,https://www.le-wip.com/,error:HTTPError:HTTP Error 525: <none>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
FR:S02,FR,S02,Cycle Zéro,https://cyclezero.fr/,ok,contact_route_found_permission_not_requested,2,https://cyclezero.fr/src/img/logo.png | https://cyclezero.fr/src/img/og_img.jpg,https://cyclezero.fr/presse.html,https://cyclezero.fr/contacts.html,contact@cyclezero.fr,,,manual_candidate_review
FR:U12,FR,U10,Réhabail,,not_attempted,no_official_domain,0,,,,,no_exact_first_party_domain_found,"Réhabail is documented as the carrier of Ferme du Rail, but no exact first-party brand/domain was found.",none_unless_parent_brand_is_manually_approved
GB:M04,GB,M04,Building Spares Market,https://buildingsparesmarket.co.uk/,error:URLError:<urlopen error [Errno 11001] getaddrinfo failed>,official_site_unreachable_manual_research_required,0,,,,,,,none_no_lead
