key,cc,tid,name,official_url,disposition,resolution,resolution_note,candidate_url,candidate_kind,technical_minimum_ok,evidence_sources,review_flags,decision,publication_clearance,production_state_changed,research_complete
CH:U15,CH,U11,Modissa Immobilien AG,http://www.modissa.ch/,none,none_domain_identity_mismatch,The stored Modissa domain now redirects to the unrelated Collectif mon Amour fashion business; those assets were rejected.,,,False,http://www.modissa.ch/ | https://collectifmonamour.com/cdn/shop/files/CMA_Logo_rgb_black.png?crop=center&height=300&v=1709023222&width=300 | https://collectifmonamour.com/cdn/shop/files/CMA_Logo_rgb_black.png?crop=center&height=2048&v=1709023222&width=2048 | http://collectifmonamour.com/cdn/shop/files/Collectif-mon-Amour-Damen-Bekleidung-online-kaufen_1000x628.png?v=1709020126 | https://collectifmonamour.com/cdn/shop/files/Collectif-mon-Amour-Damen-Bekleidung-online-kaufen_1000x628.png?v=1709020126 | https://collectifmonamour.com/pages/brands | https://collectifmonamour.com/cdn/shop/files/Brands_we_love_King_Louie.png?crop=center&height=300&v=1758287007&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love_King_Louie.png?crop=center&height=2048&v=1758287007&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Sorbet-Island.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Sorbet-Island.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-New-Balance.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-New-Balance.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Birkenstock.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Birkenstock.png?crop=center&height=2048&v=1758287268&width=2048 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Suncoo.png?crop=center&height=300&v=1758287268&width=300 | https://collectifmonamour.com/cdn/shop/files/Brands_we_love-Suncoo.png?crop=center&height=2048&v=1758287268&width=2048,,research_none_terminal,not_cleared,False,True
CH:U18,CH,U14,Oberli Ingenieurbau AG,,none,none_no_current_first_party_brand,Oberli Ingenieurbau is documented in project sources but no current first-party organisation or logo was found.,,,False,,,research_none_terminal,not_cleared,False,True
CH:U20,CH,U16,Pascal Flammer Architekten,https://www.pascalflammer.com/,candidate,official_first_party_candidate_found,First-party Apple Touch icon; verify against full Pascal Flammer identity.,https://www.pascalflammer.com/static/favicon/apple-touch-icon.891ee2c70a35.png,apple_touch_icon,True,https://www.pascalflammer.com/ | https://www.pascalflammer.com/static/favicon/apple-touch-icon.891ee2c70a35.png,official_icon_is_abstract_red_blur | later_brand_signoff_recommended,research_candidate_not_accepted,not_cleared,False,True
CH:U23,CH,U19,Studio Trachsler Hoffmann,https://trachslerhoffmann.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://trachslerhoffmann.ch/,,research_none_terminal,not_cleared,False,True
CH:U24,CH,U20,Syphon AG Bauteilbörse Biel-Brügg,https://stiftung-suedkurve.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://stiftung-suedkurve.ch/,,research_none_terminal,not_cleared,False,True
CH:U25,CH,U21,Tschudin Rückbau und Demontagen GmbH,https://www.tschudin-rueckbau.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.tschudin-rueckbau.ch/,,research_none_terminal,not_cleared,False,True
DE:F03,DE,F03,Claus Asam,,none,none_person,"Claus Asam is a person, not a standalone organisation brand.",,,False,,,research_none_terminal,not_cleared,False,True
DE:M06,DE,M07,Materialrest24,https://www.materialrest24.de/,none,none_after_manual_primary_source_search,The official company page confirms Materialrest24 and its contact route; no technically sufficient standalone first-party brand asset was found.,,,False,https://www.materialrest24.de/en/content/about_us/team-story,,research_none_terminal,not_cleared,False,True
DE:N02,DE,N02,bauteilnetz Deutschland,http://www.bauteilnetz.de/,none,none_below_128_minimum,Exact first-party bauteilnetz wordmark. The source fails the 128 px shortest-edge requirement.,,,False,http://www.bauteilnetz.de/ | http://www.bauteilnetz.de/bauteilnetz/bilder/btn/logos/logo_schrift_384_weiss.png,,research_none_terminal,not_cleared,False,True
DE:U14,DE,U06,Die Zusammenarbeiter,https://zusammenarbeiter.de/,none,none_below_128_minimum,Exact first-party Die Zusammenarbeiter logo-named image. The source fails the 128 px shortest-edge requirement.,,,False,https://zusammenarbeiter.de/ | https://zusammenarbeiter.de/img/dza_logo.png,,research_none_terminal,not_cleared,False,True
DE:U27,DE,U14,Ingenieurbüro Fechner,,none,none_ambiguous_identity,Ingenieurbüro Fechner is not uniquely identifiable from the graph name and project context.,,,False,,,research_none_terminal,not_cleared,False,True
DE:U32,DE,U18,Petra Jablonická,https://www.jablonicka.com/,none,none_person,Petra Jablonicka is a person rather than a standalone organisation brand.,,,False,"https://www.jablonicka.com/ | https://static.wixstatic.com/media/404fde_c29affad54a94aacbf04b91064ccde4a%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/404fde_c29affad54a94aacbf04b91064ccde4a%7Emv2.png | https://static.wixstatic.com/media/404fde_4708d2dea556486a8e2faf0c8bd6d677~mv2.png/v1/fill/w_74,h_106,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/231128_PJ_logo.png | https://static.wixstatic.com/media/404fde_1c4974d103a24427aa364be55c59d69e%7Emv2.jpeg/v1/fit/w_2500,h_1330,al_c/404fde_1c4974d103a24427aa364be55c59d69e%7Emv2.jpeg",,research_none_terminal,not_cleared,False,True
DE:U41,DE,U24,Wiewiorra Hopp Architekten,https://www.annahopp.com/,none,none_no_current_exact_brand,The exact historical Wiewiorra Hopp identity is not represented by the current Anna Hopp site; its inaccessible favicon is not a qualifying exact mark.,,,False,https://www.annahopp.com/ | https://www.annahopp.com/favicon.gif,,research_none_terminal,not_cleared,False,True
DK:M01,DK,M01,Bango A/S,https://www.bango.dk/,none,none_below_128_minimum,The exact first-party Bango wordmark is 244 x 69 px. Larger raw hits are supplier or product partner marks and were rejected.,,,False,https://www.bango.dk/ | https://www.bango.dk/media/81/cb/48/1622642365/favicon.ico | https://www.bango.dk/media/5e/fe/21/1722429378/Bango%20Logo%20Webpage%20PNG.webp | https://www.bango.dk/theme/780e10f548fef962fdbd214348bd8073/bundles/bangotheme/storefront/logo_white_bango.png | https://www.bango.dk/media/e5/fe/df/1633514540/Bango%20Logo%20Webpage%20PNG.png | https://bango.b-cdn.net/media/c1/a4/93/1661433414/swedoor-logo.jpg | https://bango.b-cdn.net/media/30/37/22/1706181960/WISNIOWSKI_logo.png | https://bango.b-cdn.net/media/a5/76/00/1706182387/asmodas%20logo.png | https://bango.b-cdn.net/media/19/8f/de/1713166461/ny swedoor branddør.jpg | https://www.bango.dk/bundles/bangotheme/storefront/kobsgaranti-pricerunner-dk.png | https://www.bango.dk/bundles/bangotheme/storefront/logo_white_bango.png | https://www.bango.dk/media/5e/fe/21/1722429378/Bango Logo Webpage PNG.webp | https://www.bango.dk/brands/ | https://bango.b-cdn.net/media/cb/1a/98/1706182799/xs%20alu%20ny%20logo.png | https://bango.b-cdn.net/thumbnail/40/5d/1b/1642234878/Bernerlogo_400x400.jpg | https://bango.b-cdn.net/media/ce/a9/96/1706183627/fakro%20logo.jpg | https://bango.b-cdn.net/media/62/49/b3/1708324687/GaraDry_logo_sm2.webp | https://bango.b-cdn.net/media/91/9f/66/1706183768/gefion%20profiler%20logo.png | https://bango.b-cdn.net/media/af/89/28/1677068407/GfA%20logo.png | https://bango.b-cdn.net/media/a0/f3/46/1706183287/habo%20logo.webp | https://bango.b-cdn.net/media/72/04/29/1706184002/Hoppe%20logo.png,,research_none_terminal,not_cleared,False,True
DK:M02,DK,M02,Byggeboersen,https://www.xn--byggebrsen-5cb.dk/,candidate,official_first_party_candidate_found,Current exact first-party Byggebørsen site icon.,https://www.xn--byggebrsen-5cb.dk/icons/apple-touch-icon.png,apple_touch_icon,True,https://www.xn--byggebrsen-5cb.dk/icons/apple-touch-icon.png,,research_candidate_not_accepted,not_cleared,False,True
DK:M12,DK,M10,OKpriser.dk A/S,https://okpriser.dk/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://okpriser.dk/,,research_none_terminal,not_cleared,False,True
DK:U16,DK,U11,Klassiske Vinduer,https://klassiske-vinduer.dk/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://klassiske-vinduer.dk/,,research_none_terminal,not_cleared,False,True
FI:U04,FI,U04,Durat,https://durat.fi/,candidate,official_first_party_candidate_found,Exact current first-party Durat logo; visually checked at its native 1200 x 3390 px resolution.,https://durat.fi/cdn/shop/files/Durat_logo_1200_x_3390_px_3.png?v=1731570759,official_logo_image,True,https://durat.fi/ | https://durat.fi/cdn/shop/files/Durat_logo_1200_x_3390_px_3.png?v=1731570759 | https://durat.fi/pages/yhteystiedot,,research_candidate_not_accepted,not_cleared,False,True
FR:F01,FR,F01,CSTB,https://www.cstb.fr/,none,none_below_128_minimum,The actual first-party CSTB marks are only 230 x 71 px and 166 x 50 px. BATIPEDIA and media photographs are not CSTB organisation logos.,,,False,https://www.cstb.fr/ | https://www.cstb.fr/getmedia/39ba431d-4111-437a-a59e-da8c578a5275/Logo_BATIPEDIA_540x390.jpg?width=540&height=390&ext=.jpg | https://www.cstb.fr/getmedia/d0ba778f-21d9-444b-83a0-506ba967a2a1/Centre-Scientifique-Technique-Batiment-home.jpg?width=2700&height=915&ext=.jpg | https://www.cstb.fr/getmedia/d53382fe-6cd1-40b5-b84f-dc4c6d76d35f/mediaroom-cstb.jpg?width=2700&height=915&ext=.jpg,,research_none_terminal,not_cleared,False,True
FR:M05,FR,M05,Bathestia Recup,https://bathestia.fr/,none,none_below_128_minimum,"Exact first-party Bathestia wordmark, likely below the 128 px minimum. The source fails the 128 px shortest-edge requirement.",,,False,https://bathestia.fr/ | https://bathestia.fr/img_fixes/logo_blanc_100px.webp | https://bathestia.fr/mentions-legales.html,,research_none_terminal,not_cleared,False,True
FR:M08,FR,M08,Bourgogne Matériaux Anciens,https://www.bourgogne-materiaux-anciens.fr/,none,none_no_current_first_party_logo_source,"The supplied official domain no longer resolves. Current specialist directories confirm the historical business identity, but no current first-party logo source exists.",,,False,https://www.bourgogne-materiaux-anciens.fr/ | https://opalis.eu/nl/node/4997,official_domain_inactive | directory_used_for_identity_only_not_asset,research_none_terminal,not_cleared,False,True
FR:M09,FR,M09,Broc'Antique,https://brocantique.pro/,none,none_ambiguous_identity,Exact logo on a same-name site; graph-to-business identity still unconfirmed.,,,False,https://brocantique.pro/wp-content/uploads/2021/04/Logo-le-BrocAntique-site.png,same_name_business_not_linked_to_graph_entity,research_none_terminal,not_cleared,False,True
FR:M17,FR,M17,Enfin!Réemploi,https://enfin-reemploi.fr/,none,none_after_manual_primary_source_search,"The official site and legal notice confirm the organisation and restrict reproduction, but no directly retrievable qualifying standalone logo file was found.",,,False,https://www.enfin-reemploi.fr/ | https://www.enfin-reemploi.fr/mentions-legales/,,research_none_terminal,not_cleared,False,True
FR:M21,FR,M21,Guérin Cheminées,https://www.guerin-cheminees.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.guerin-cheminees.com/,,research_none_terminal,not_cleared,False,True
FR:M25,FR,M25,Labrouche Antiquaire de Matériaux,https://antiquairedemateriaux.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://antiquairedemateriaux.com/,,research_none_terminal,not_cleared,False,True
FR:M28,FR,M28,Lascombes Matériaux Anciens Sud-Ouest,https://www.lascombes-sud-ouest.fr/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.lascombes-sud-ouest.fr/,,research_none_terminal,not_cleared,False,True
FR:M36,FR,M35,Matériaux Anciens du Sud,https://www.materiauxanciensdusud.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.materiauxanciensdusud.com/,,research_none_terminal,not_cleared,False,True
FR:M42,FR,M40,Pierres & Jardins d'Autrefois,https://www.pierres-et-jardins.com/,none,none_false_positive_assets,"The raw hits are a generic Wix favicon and a photograph, not a Pierres & Jardins d'Autrefois image mark.",,,False,"https://www.pierres-et-jardins.com/ | https://static.parastorage.com/client/pfavico.ico | https://static.wixstatic.com/media/56fc97_4e030451fc834b63a170aa3c9a75a48a.jpg/v1/fit/w_2500,h_1330,al_c/56fc97_4e030451fc834b63a170aa3c9a75a48a.jpg",,research_none_terminal,not_cleared,False,True
FR:M45,FR,M43,Provence Vieux Matériaux Brachet,https://www.brachet-anciensmateriaux.fr/,none,none_below_128_minimum,"The only plausible first-party Brachet symbol is an 80 x 80 px fleur-de-lis, below the minimum.",,,False,https://www.brachet-anciensmateriaux.fr/ | https://www.brachet-anciensmateriaux.fr/assets/img/icon/lys2.png,,research_none_terminal,not_cleared,False,True
FR:M49,FR,M46,Reemployez.fr,https://reemployez.fr/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://reemployez.fr/,,research_none_terminal,not_cleared,False,True
FR:M53,FR,M50,Saint Emilion Matériaux,https://pierredetaille-gironde.fr/,candidate,official_first_party_candidate_found,Exact first-party Saint Emilion Matériaux icon.,https://cdn-ilcaikb.nitrocdn.com/OViQksRGSgJCzcTfExhRTmXbgKDmkOSO/assets/images/optimized/rev-9acf7ef/pierredetaille-gironde.fr/wp-content/uploads/2025/08/cropped-logo-saint-emilion-materiaux-negoce-vente-pierre-naturelle-neuf-ancien-192x192.png,official_logo_image,True,https://pierredetaille-gironde.fr/ | https://cdn-ilcaikb.nitrocdn.com/OViQksRGSgJCzcTfExhRTmXbgKDmkOSO/assets/images/optimized/rev-9acf7ef/pierredetaille-gironde.fr/wp-content/uploads/2025/08/cropped-logo-saint-emilion-materiaux-negoce-vente-pierre-naturelle-neuf-ancien-192x192.png,,research_candidate_not_accepted,not_cleared,False,True
FR:M56,FR,M53,TEXTIFLOOR,https://www.textifloor.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.textifloor.com/,,research_none_terminal,not_cleared,False,True
FR:M58,FR,M55,Tonner Matériaux Anciens,https://www.tonner-materiaux-anciens.fr/,none,none_false_positive_assets,"The raw hits are unavailable site-builder favicons and a website screenshot, not a standalone Tonner logo.",,,False,https://www.tonner-materiaux-anciens.fr/ | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_57x57&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_72x72&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_114x114&cache_key=1613492125 | https://v-images.cdnsw.com/site-favicons/1701300.png?preset=apple_touch_icon_192x192&cache_key=1613492125 | https://www.tonner-materiaux-anciens.fr/site/screenshot/?size_preset=fb&v=1785315948,,research_none_terminal,not_cleared,False,True
FR:M59,FR,M56,Trost Carrelages Anciens,http://www.materiaux-anciens49.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,http://www.materiaux-anciens49.com/,,research_none_terminal,not_cleared,False,True
FR:M61,FR,M58,Vieux Granits,https://www.vieuxgranits.com/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.vieuxgranits.com/,,research_none_terminal,not_cleared,False,True
FR:O01,FR,O01,Booster du Réemploi (A4MT),https://www.looping.immo/,none,none_no_qualifying_standalone_asset_after_official_pdf_review,"The official site and official presentation confirm Booster du Reemploi and A4MT, but do not provide a separately retrievable qualifying logo asset.",,,False,https://www.looping.immo/ | https://www.looping.immo/static/booster-presentation-v3.pdf,,research_none_terminal,not_cleared,False,True
FR:O02,FR,O02,Le WIP,https://www.le-wip.com/,none,none_no_qualifying_standalone_asset_after_official_pdf_review,"The official site and press release confirm Le WIP, but no separately retrievable qualifying standalone logo asset was found.",,,False,https://www.le-wip.com/ | https://www.le-wip.com/wp-content/uploads/2019/10/Communique-presse-Ouverture-Grande-Halle-Le-Wip.pdf,,research_none_terminal,not_cleared,False,True
FR:S02,FR,S02,Cycle Zéro,https://cyclezero.fr/,none,none_below_128_minimum,Exact first-party Cycle Zéro logo. The source fails the 128 px shortest-edge requirement.,,,False,https://cyclezero.fr/ | https://cyclezero.fr/src/img/logo.png | https://cyclezero.fr/presse.html,,research_none_terminal,not_cleared,False,True
FR:U12,FR,U10,Réhabail,,none,none_no_standalone_brand,"Réhabail is documented as project carrier, but no standalone official logo or first-party site was found.",,,False,,,research_none_terminal,not_cleared,False,True
GB:M04,GB,M04,Building Spares Market,https://buildingsparesmarket.co.uk/,none,none_after_manual_primary_source_search,The indexed official marketplace confirms the exact identity; no technically sufficient standalone first-party logo source was found.,,,False,https://buildingsparesmarket.co.uk/ | https://buildingsparesmarket.co.uk/about/,,research_none_terminal,not_cleared,False,True
