mode,key,cc,tid,name,official_url,access,resolution,resolution_note,emails,contact_pages,media_pages,legal_pages,logo_candidates,evidence_sources,review_flags,research_complete,publication_clearance
logo,DE:F03,DE,F03,Claus Asam,,not_applicable,none_person,"Claus Asam is a person, not a standalone organisation brand.",,,,,,,,True,not_cleared
logo,DE:M06,DE,M07,Materialrest24,https://www.materialrest24.de/,manual_primary_source_review,none_after_manual_primary_source_search,The official company page confirms Materialrest24 and its contact route; no technically sufficient standalone first-party brand asset was found.,,,,,,https://www.materialrest24.de/en/content/about_us/team-story,,True,not_cleared
logo,DE:U27,DE,U14,Ingenieurbüro Fechner,,not_applicable,none_ambiguous_identity,Ingenieurbüro Fechner is not uniquely identifiable from the graph name and project context.,,,,,,,,True,not_cleared
logo,DK:M12,DK,M10,OKpriser.dk A/S,https://okpriser.dk/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,lw@OKpriser.dk | lw@okpriser.dk | mail@okpriser.dk | mail@OKpriser.dk | post@OKpriser.dk | post@okpriser.dk,https://okpriser.dk/kontakt,https://okpriser.dk/doere-og-porte/branddoere | https://okpriser.dk/doere-og-porte/branddoere/bd30 | https://okpriser.dk/doere-og-porte/branddoere/bd60 | https://okpriser.dk/doere-og-porte/branddoere/bs60 | https://okpriser.dk/doere-og-porte/branddoere/dobbelte-branddoere | https://okpriser.dk/doere-og-porte/branddoere/glasbranddoere | https://okpriser.dk/doere-og-porte/branddoere/brandporte | https://okpriser.dk/glas-og-glasdoere/brandglas,,https://okpriser.dk/homepage/img/header-logo.png,https://okpriser.dk/,,True,not_cleared
logo,DK:U16,DK,U11,Klassiske Vinduer,https://klassiske-vinduer.dk/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,lennart@studinski.dk,https://klassiske-vinduer.dk/kontakt-bestilling,,,,https://klassiske-vinduer.dk/,,True,not_cleared
logo,FR:M08,FR,M08,Bourgogne Matériaux Anciens,https://www.bourgogne-materiaux-anciens.fr/,manual_primary_source_review_official_domain_inactive,none_no_current_first_party_logo_source,"The supplied official domain no longer resolves. Current specialist directories confirm the historical business identity, but no current first-party logo source exists.",,,,,,https://www.bourgogne-materiaux-anciens.fr/ | https://opalis.eu/nl/node/4997,official_domain_inactive | directory_used_for_identity_only_not_asset,True,not_cleared
logo,FR:M17,FR,M17,Enfin!Réemploi,https://enfin-reemploi.fr/,manual_primary_source_review,none_after_manual_primary_source_search,"The official site and legal notice confirm the organisation and restrict reproduction, but no directly retrievable qualifying standalone logo file was found.",,,,,,https://www.enfin-reemploi.fr/ | https://www.enfin-reemploi.fr/mentions-legales/,,True,not_cleared
logo,FR:M21,FR,M21,Guérin Cheminées,https://www.guerin-cheminees.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,https://www.guerin-cheminees.com/contact/ | https://www.guerin-cheminees.com/contact/index.php,,https://www.guerin-cheminees.com/mentions-legales.php,https://www.guerin-cheminees.com/images/634-favicon-96x96.png,https://www.guerin-cheminees.com/,,True,not_cleared
logo,FR:M25,FR,M25,Labrouche Antiquaire de Matériaux,https://antiquairedemateriaux.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,labrouche@antiquaire-de-materiaux.com | labrouche@antiquairedemateriaux.com,,,https://antiquairedemateriaux.com/fr/content/11-mentions-legales | https://antiquairedemateriaux.com/en/content/11-mentions-legales,https://antiquairedemateriaux.com/img/favicon.ico?1762428465 | https://antiquairedemateriaux.com/img/logo-1.jpg?1762428465,https://antiquairedemateriaux.com/,,True,not_cleared
logo,FR:M28,FR,M28,Lascombes Matériaux Anciens Sud-Ouest,https://www.lascombes-sud-ouest.fr/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,,https://www.lascombes-sud-ouest.fr/p-informations-legales_fr.htm,https://www.lascombes-sud-ouest.fr/favicon.ico,https://www.lascombes-sud-ouest.fr/,,True,not_cleared
logo,FR:M36,FR,M35,Matériaux Anciens du Sud,https://www.materiauxanciensdusud.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | contact@madusud.com,https://www.materiauxanciensdusud.com/form-map,,,https://static.parastorage.com/client/pfavico.ico,https://www.materiauxanciensdusud.com/,,True,not_cleared
logo,FR:M49,FR,M46,Reemployez.fr,https://reemployez.fr/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,,,,https://reemployez.fr/,,True,not_cleared
logo,FR:M56,FR,M53,TEXTIFLOOR,https://www.textifloor.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,thomas.letiers@textifloor.com,https://www.textifloor.com/contact,,,,https://www.textifloor.com/,,True,not_cleared
logo,FR:M59,FR,M56,Trost Carrelages Anciens,http://www.materiaux-anciens49.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,vladimire-@hotmail.com,,,,http://carrelages-anciens.com/templates/system/images/favicon.ico,http://www.materiaux-anciens49.com/,,True,not_cleared
logo,FR:M61,FR,M58,Vieux Granits,https://www.vieuxgranits.com/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,vieuxgranits@wanadoo.fr,https://www.vieuxgranits.com/contact.html,,,,https://www.vieuxgranits.com/,,True,not_cleared
logo,FR:O01,FR,O01,Booster du Réemploi (A4MT),https://www.looping.immo/,manual_primary_source_review,none_no_qualifying_standalone_asset_after_official_pdf_review,"The official site and official presentation confirm Booster du Reemploi and A4MT, but do not provide a separately retrievable qualifying logo asset.",,,,,,https://www.looping.immo/ | https://www.looping.immo/static/booster-presentation-v3.pdf,,True,not_cleared
logo,FR:O02,FR,O02,Le WIP,https://www.le-wip.com/,manual_primary_source_review,none_no_qualifying_standalone_asset_after_official_pdf_review,"The official site and press release confirm Le WIP, but no separately retrievable qualifying standalone logo asset was found.",,,,,,https://www.le-wip.com/ | https://www.le-wip.com/wp-content/uploads/2019/10/Communique-presse-Ouverture-Grande-Halle-Le-Wip.pdf,,True,not_cleared
logo,FR:U12,FR,U10,Réhabail,,not_applicable,none_no_standalone_brand,"Réhabail is documented as project carrier, but no standalone official logo or first-party site was found.",,,,,,,,True,not_cleared
logo,GB:M04,GB,M04,Building Spares Market,https://buildingsparesmarket.co.uk/,manual_primary_source_review,none_after_manual_primary_source_search,The indexed official marketplace confirms the exact identity; no technically sufficient standalone first-party logo source was found.,,,,,,https://buildingsparesmarket.co.uk/ | https://buildingsparesmarket.co.uk/about/,,True,not_cleared
logo,GB:U27,GB,U08,Four Bay Structures,https://www.4bay.co.uk/,manual_primary_source_review_official_domain_inactive,none_no_current_first_party_logo_source,"The supplied official domain no longer resolves. The British Constructional Steelwork Association still identifies Four Bay Structures and that domain, but no current first-party logo source is available.",,,,,,https://www.4bay.co.uk/ | https://bcsa.org.uk/upload/Resources/About%20us/BCSA%202024%20Annual%20Review.pdf,official_domain_inactive | trade_association_source_used_for_identity_only_not_asset,True,not_cleared
logo,GB:X02,GB,X02,"Studierende, Schulkinder und Freiwillige",,not_applicable,none_participant_group,"Students, schoolchildren and volunteers are a participant group, not an organisation.",,,,,,,,True,not_cleared
logo,NL:M15,NL,M14,Snellen (Rijsbergen),https://snellen.nl/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,https://snellen.nl/index.php/over-snellen/contact | https://snellen.nl/index.php/over-snellen/contact/172-over-udo-snellen-de-maker-van-deze-site,,https://snellen.nl/index.php/privacy,https://snellen.nl/templates/rt_afterburner/favicon.ico,https://snellen.nl/,,True,not_cleared
logo,NO:M01,NO,M01,FornyBygg,https://fornybygg.no/,manual_primary_source_review_official_domain_inactive,none_no_current_first_party_logo_source,The supplied FornyBygg domain does not resolve and repeated exact-name searches found no current first-party organisation or logo source.,,,,,,https://fornybygg.no/,official_domain_inactive,True,not_cleared
logo,NO:N06,NO,N05,Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim),,not_applicable,none_project_network,The regional reuse network is a project/network without a standalone official brand.,,,,,,,,True,not_cleared
rights,BE:F02,BE,F01,Buildwise,https://www.buildwise.be/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,info@buildwise.be,https://www.buildwise.be/nl/contact/ | https://www.buildwise.be//nl/contact/ | https://www.buildwise.be/nl/login/?redirectUri=/nl/contact/ | https://www.buildwise.be/fr/contact/ | https://www.buildwise.be/en/contact/ | https://www.buildwise.be/de/kontakt/ | https://www.buildwise.be/nl/aanvragen/aanvullende-diensten/,https://www.buildwise.be/nl/themas/brandpreventie/ | https://www.buildwise.be/nl/logos/ | https://www.buildwise.be/nl/login/?redirectUri=/nl/themas/brandpreventie/ | https://www.buildwise.be/nl/normen-en-regelgeving/buildwise-normalisatie-certificering-normen-antenne-brandpreventie/ | https://www.buildwise.be/nl/login/?redirectUri=/nl/logos/ | https://www.buildwise.be/fr/logos/ | https://www.buildwise.be/media/badfs22l/buildwise.zip,,,https://www.buildwise.be/nl/,,True,not_cleared
rights,BE:M03,BE,M03,Authentieke Bouwmaterialen Storms nv,https://www.rikstorms.com/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The current first-party domain and its contact page replace the stale rikstorms.be route; no permission was requested.,sales@rikstorms.com | info@rikstorms.com,https://www.rikstorms.com/nl/contact/,,,,https://www.rikstorms.com/nl/contact/,official_domain_corrected,True,not_cleared
rights,BE:M17,BE,M16,Heyns Recycling,http://heynsrecycling.be/,manual_primary_source_review,official_contact_route_found_permission_not_requested,"The first-party HTTP site provides an email, telephone number and contact section; HTTPS has a hostname-certificate error. No permission was requested.",info@heynsrecycling.be,http://heynsrecycling.be/#contact,,,,http://heynsrecycling.be/#contact,https_certificate_hostname_mismatch | http_first_party_route,True,not_cleared
rights,BE:N04,BE,N03,Namur Croisade pauvreté,https://www.namur.be/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,information@ville.namur.be,https://www.namur.be/fr/ma-ville/environnement/bien-etre-animal/infos-contact/annuaire-du-bien-etre-animal | https://www.namur.be/resolveuid/7dfea3b812b84476bfe93a74f254da7c,https://www.namur.be/fr/je-trouve/communiques-de-presse | https://www.namur.be/fr/media-homepage/media-homepage | https://www.namur.be/resolveuid/47e016a574dd40eba398879097ecd37c | https://www.namur.be/fr/je-trouve/communiques-de-presse/sendtomanager_form | https://www.namur.be/fr/media-homepage/media-homepage/sendtomanager_form | https://www.namur.be/fr/media-homepage/mon-compte-sur-namur.be-mode-demploi,https://www.namur.be/fr/mentions-legales | https://www.namur.be/fr/mentions-legales/sendtomanager_form,,https://www.namur.be/fr,,True,not_cleared
rights,BE:N10,BE,N07,Zinneke asbl,https://www.zinneke.org/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The first-party contact page provides info@zinneke.org; no permission was requested.,info@zinneke.org,https://www.zinneke.org/contacts/,,,,https://www.zinneke.org/contacts/,,True,not_cleared
rights,CH:F01,CH,F01,Circular Engineering for Architecture / ETH Zürich,https://cea.ibi.ethz.ch/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The official ETH unit contact and principal-investigator page provide a first-party route; no permission was requested.,dewolf@ibi.baug.ethz.ch,https://cea.ibi.ethz.ch/utils/contact.html,,https://cea.ibi.ethz.ch/footer/disclaimer-copyright.html | https://cea.ibi.ethz.ch/footer/data-protection.html | https://cea.ibi.ethz.ch/login/en.html?resource=%2Fcontent%2Fspecialinterest%2Fbaug%2Finstitute-ibi%2Fcea%2Fen%2Ffooter%2Fdisclaimer-copyright.html,,https://cea.ibi.ethz.ch/utils/contact.html | https://cea.ibi.ethz.ch/people/catherine_de_wolf.html,,True,not_cleared
rights,CH:F02,CH,F05,NEST Research and Innovation Platform / Empa–Eawag,https://www.empa.ch/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,,https://www.empa.ch/web/empa/contact | https://www.empa.ch/web/s604/snf-protonenleiter-fuer-wasserstoff-verarbeitung | https://www.empa.ch/c/portal/update_language?p_l_id=20817&redirect=%2Fweb%2Fempa%2Fcontact&languageId=de_DE | https://www.empa.ch/c/portal/update_language?p_l_id=20817&redirect=%2Fweb%2Fempa%2Fcontact&languageId=fr_FR | https://www.empa.ch/c/portal/update_language?p_l_id=20817&redirect=%2Fweb%2Fempa%2Fcontact&languageId=it_IT | https://www.empa.ch/general-inquiries | https://www.empa.ch/web/s604/team,https://www.empa.ch/web/s604 | https://www.empa.ch/web/empa/newsandmedia | https://www.empa.ch/web/s604/socialmedia | https://www.empa.ch/web/empa/impressum | http://www.empa.ch/web/s604/mediateka/2026-08-11-SNF-Wasserstoff-grosse-Bilder | https://www.empa.ch/c/portal/update_language?p_l_id=57598&redirect=%2Fweb%2Fs604%2Fsocialmedia&languageId=de_DE | https://www.empa.ch/c/portal/update_language?p_l_id=57598&redirect=%2Fweb%2Fs604%2Fsocialmedia&languageId=fr_FR | https://www.empa.ch/c/portal/update_language?p_l_id=57598&redirect=%2Fweb%2Fs604%2Fsocialmedia&languageId=it_IT | https://www.empa.ch/c/portal/update_language?p_l_id=328207&redirect=%2Fweb%2Fempa%2Fimpressum&languageId=de_DE | https://www.empa.ch/c/portal/update_language?p_l_id=328207&redirect=%2Fweb%2Fempa%2Fimpressum&languageId=fr_FR,https://www.empa.ch/legal-services | https://www.empa.ch/web/empa/impressum | https://www.empa.ch/web/s604/privacy | https://www.empa.ch/c/portal/update_language?p_l_id=328207&redirect=%2Fweb%2Fempa%2Fimpressum&languageId=de_DE | https://www.empa.ch/c/portal/update_language?p_l_id=328207&redirect=%2Fweb%2Fempa%2Fimpressum&languageId=fr_FR | https://www.empa.ch/c/portal/update_language?p_l_id=328207&redirect=%2Fweb%2Fempa%2Fimpressum&languageId=it_IT,,https://www.empa.ch/,,True,not_cleared
rights,CH:I01,CH,I02,Entsorgung + Recycling Zürich (ERZ),https://www.stadt-zuerich.ch/,manual_primary_source_review,official_media_route_found_permission_not_requested,The City of Zurich publishes an ERZ media contact; no permission was requested.,tobias.nussbaum@zuerich.ch,,https://www.stadt-zuerich.ch/de/politik-und-verwaltung/kommunikation-und-transparenz/medien/medienkontakte.html,,,https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2026/05/erste-abfallanalyse-stadt-zuerich.html | https://www.stadt-zuerich.ch/de/politik-und-verwaltung/kommunikation-und-transparenz/medien/medienkontakte.html,,True,not_cleared
rights,CH:I03,CH,I01,Amt für Hochbauten und Immobilien Stadt Zürich,https://www.stadt-zuerich.ch/,manual_primary_source_review,official_media_route_found_permission_not_requested,The official department and City of Zurich media pages provide communications routes; no permission was requested.,ursula.tschirren@zuerich.ch | franziska.martin@zuerich.ch,https://www.stadt-zuerich.ch/de/politik-und-verwaltung/stadtverwaltung/hbd/ahb.html,https://www.stadt-zuerich.ch/de/politik-und-verwaltung/kommunikation-und-transparenz/medien/medienkontakte.html,,,https://www.stadt-zuerich.ch/de/politik-und-verwaltung/stadtverwaltung/hbd/ahb.html | https://www.stadt-zuerich.ch/de/politik-und-verwaltung/kommunikation-und-transparenz/medien/medienkontakte.html,,True,not_cleared
rights,CH:M02,CH,M02,Baumatpool.ch,https://www.baumatpool.ch/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,info@agropool.ch | info@baumaschinenpool.ch | u003einfo@agropool.ch | u003einfo@baumaschinenpool.ch | 3a99ad1cb761841734e36cf293385495@o348636.ingest.us.sentry.io | a.roth@agrarmedien.ch | b.vonesch@agrarmedien.ch | name@bluewin.ch | s.donadei@agrarmedien.ch | u003ea.roth@agrarmedien.ch | u003eb.vonesch@agrarmedien.ch | u003es.donadei@agrarmedien.ch,,https://www.baumatpool.ch/de/wand-und-bodenbel%C3%A4ge/ | https://www.baumatpool.ch/de/fenster-neu-3900-x-1228mm-4-fl%C3%BCgel/a522180/ | https://www.baumatpool.ch/de/content/impressum/ | https://www.baumatpool.ch/de/dachpaneel-30-mm-ral-8017-schokobraun/a429184/ | https://www.baumatpool.ch/fr/content/impressum/,https://www.baumatpool.ch/de/content/impressum/ | https://www.baumatpool.ch/fr/content/impressum/,,https://www.baumatpool.ch/de/,,True,not_cleared
rights,CH:S04,CH,S04,REUZI,https://reuzi.ch/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The first-party homepage provides info@reuzi.ch; no permission was requested.,info@reuzi.ch,https://reuzi.ch/,,,,https://reuzi.ch/,,True,not_cleared
rights,CH:U07,CH,U05,Graber Pulver,https://www.graberpulver.ch/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The official office page provides PR and general architecture email routes; no permission was requested.,pr@graberpulver.ch | arch@graberpulver.ch,https://www.graberpulver.ch/buero,,,,https://www.graberpulver.ch/buero,,True,not_cleared
rights,CH:U16,CH,U12,Monotti Ingegneri,https://monotti-sa.ch/,manual_primary_source_review_official_domain_inactive,no_current_first_party_contact_route_after_manual_search,"The supplied domain currently serves a hosting-provider default page. No current first-party contact or media route could be verified, so no rights request route is claimed.",,,,,,https://monotti-sa.ch/,official_domain_inactive | unverified_directory_email_excluded,True,not_cleared
rights,CH:U21,CH,U17,PIRMIN JUNG Schweiz AG,https://www.pirminjung.ch/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The Swiss entity uses pirminjung.ch rather than the stored German-domain route; an official general contact was verified. No permission was requested.,info@pirminjung.ch,https://www.pirminjung.ch/,,,,https://www.pirminjung.ch/,official_domain_corrected,True,not_cleared
rights,CH:U28,CH,U24,Zirkular,https://zirkular.net/,manual_primary_source_review,official_contact_route_found_permission_not_requested,A first-party Zirkular publication supplies named organisation email routes; no permission was requested.,k.mueller@zirkular.net | c.bofinger@zirkular.net | b.rudolf@zirkular.net,https://zirkular.net/,,,,https://zirkular.net/wp-content/uploads/2025/07/8169-20250331-reuse-lca-heig-vd-final-report-e-ec-vf2.pdf,,True,not_cleared
rights,DE:M01,DE,M02,Bauteilbörse Berlin-Brandenburg (Fläming Antik / Brita Marx),https://flaeming-antik.de/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,info@aohipa.com | info@flaeming-antik.de,https://flaeming-antik.de/kontakt/,https://flaeming-antik.de/impressum/,https://flaeming-antik.de/impressum/ | https://flaeming-antik.de/datenschutz/,,https://flaeming-antik.de/,,True,not_cleared
rights,DE:U23,DE,U10,H2A,https://h-2-a.com/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,atelier@H-2-A.com,https://h-2-a.com/,https://h-2-a.com/impressum/,https://h-2-a.com/impressum/ | https://h-2-a.com/datenschutzerklaerung/,,https://h-2-a.com/,,True,not_cleared
rights,DE:U25,DE,U12,Holzwerke Bullinger,https://www.bullinger.de/,manual_primary_source_review,official_contact_route_found_permission_not_requested,The first-party contact page provides general company email routes; no permission was requested.,holzwerke@bullinger.de | xabu@bullinger.de,https://www.bullinger.de/abtsgmuend/kontakt,,,,https://www.bullinger.de/abtsgmuend/kontakt,,True,not_cleared
rights,DE:I03,DK,I01,Høje-Taastrup Kommune,https://www.htk.dk/,ok,official_contact_route_found_permission_not_requested,At least one first-party email or contact page was found; no request was sent.,birgittesta@htk.dk | jenshh@htk.dk | kommune@htk.dk | lasseli@htk.dk | mortenbkn@htk.dk,https://www.htk.dk/om-kommunen/kontakt-og-aabningstider | https://www.htk.dk/om-kommunen/kontakt-og-aabningstider/bestil-tid-i-borgerservice | https://www.htk.dk/om-kommunen/presserum/pressekontakt | https://www.htk.dk/om-kommunen/kontakt-og-aabningstider/ring-eller-skriv-til-os | https://www.htk.dk/om-kommunen/kontakt-og-aabningstider/faa-hjaelp-til-selvbetjening | https://www.htk.dk/om-kommunen/kontakt-og-aabningstider/akut-hjaelp | https://www.htk.dk/om-kommunen/kontakt-og-aabningstider/anmeld-og-underret,https://www.htk.dk/om-kommunen/presserum | https://www.htk.dk/om-kommunen/presserum/nyheder/ekstraordinaert-byraadsmoede-den-10-august | https://www.htk.dk/om-kommunen/presserum/nyheder/hoeje-taastrup-kommune-skal-have-ny-kommunaldirektoer | https://www.htk.dk/om-kommunen/presserum/nyheder/postnord-danmark-rundt-kommer-til-hoeje-taastrup-kommune | https://www.htk.dk/om-kommunen/presserum/nyheder | https://www.htk.dk/om-kommunen/presserum/informationer-til-dig-fra-din-kommune | https://www.htk.dk/om-kommunen/presserum/pressekontakt | https://www.htk.dk/om-kommunen/presserum/pressebilleder-og-logo,,,https://www.htk.dk/,,True,not_cleared
rights,DE:U33,DK,U18,Region Hovedstaden,https://www.regionh.dk/,manual_primary_source_review,official_media_route_found_permission_not_requested,The regional authority publishes presse@regionh.dk as a media route; no permission was requested.,presse@regionh.dk,,https://www.regionh.dk/presse-og-nyt/,,,https://www.regionh.dk/presse-og-nyt/pressemeddelelser-og-nyheder/Sider/Regionsr%C3%A5det-Vi-skal-sikres-en-l%C3%B8bende-orientering-af-situationen-i-Akutberedskabet.aspx,,True,not_cleared
