key,cc,tid,eid,name,official_url,result,asset_path,dark_asset_path,source_url,source_kind,source_sha256,asset_sha256,dark_asset_sha256,crop_mode,identity_review_status,review_status,reviewer,confirmed_at,logo_opacity_percent,provisional_review,reason,rights_status,print_clearance,legacy_manifest_match
FR:O05,FR,O04,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5009,Travail & Vie,https://www.travailetvie.org/,logo,bilder/FR/O05.png,,https://static.wixstatic.com/media/e755c5_7e60158d97e14b94a7e7ccdbb5ce1022~mv2.png,header_logo,1daac8910246185d9cafac7c192e8ba938935066daf8b2f212ff2bdabb6265cf,1daac8910246185d9cafac7c192e8ba938935066daf8b2f212ff2bdabb6265cf,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U12,FR,U10,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5010,Réhabail,,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,organisation domain is not accepted,,,True
FR:U11,FR,U09,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5012,Pouget Consultants,https://www.pouget-consultants.eu/,logo,bilder/FR/U11.png,,https://www.pouget-consultants.eu/wp-content/uploads/2026/01/14/logo-pouget-consultants-eu.jpg,header_logo,d075e9a3257a3581116ebd33470ed99edea2c2ea85c897d43460ee20d6169da8,d075e9a3257a3581116ebd33470ed99edea2c2ea85c897d43460ee20d6169da8,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:O02,FR,O02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5045,Le WIP,https://www.le-wip.com/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
FR:U01,FR,U01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5048,Albert & Co,https://albert-and-co.fr/,logo,bilder/FR/U01.png,bilder/FR/U01-dark.png,https://albert-and-co.fr/wp-content/uploads/2021/12/logo-Albert-and-co-8.png,apple_touch,12c922d9fb28af635f83a3dea477a8ee0e34d7421380194252019a80e066a20e,12c922d9fb28af635f83a3dea477a8ee0e34d7421380194252019a80e066a20e,450346fa30428e16954489ce017b5cbf7fd365168ca8036cc9626184f52c9f66,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:N07,FR,N06,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5457,Les Canaux,https://lescanaux.com/,logo,bilder/FR/N07.png,,https://lescanaux.com/wp-content/themes/les-canaux/assets/images/les-canaux_logo.svg,header_logo,8fad11185360498f5892cf7ef8917916a4cea3fb0d3108bf88dbbf3b3e3814bd,8fad11185360498f5892cf7ef8917916a4cea3fb0d3108bf88dbbf3b3e3814bd,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:I03,FR,I03,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5458,Ville de Paris,https://www.paris.fr/,logo,bilder/FR/I03.png,,https://www.paris.fr/apple-touch-icon.png,apple_touch,9c40d84549c34df7db6b032ffdd3e191b293a5af8e34a7f0bd4ff5afba5f523c,9c40d84549c34df7db6b032ffdd3e191b293a5af8e34a7f0bd4ff5afba5f523c,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:O04,FR,O03,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5652,Novaedia / Novædia,https://fermedespossibles.fr/,logo,bilder/FR/O04.png,,https://fermedespossibles.fr/wp-content/uploads/2024/03/cropped-Logo_FermedesPossibles.png,structured_logo,2f5df19e257ce673d2d20c77309f740585cfa8b0840c173a19e3f5f07ceb99b7,2f5df19e257ce673d2d20c77309f740585cfa8b0840c173a19e3f5f07ceb99b7,,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U14,FR,U11,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5654,SOCOTEC,https://www.socotec.com/,logo,bilder/FR/U14.png,bilder/FR/U14-dark.png,https://www.socotec.com/themes/custom/app_theme/assets/images/logo.svg,header_logo,4f463f72806680d880359a72e4eb0da494a36540d75a356e9ad74818c3b08c5b,4f463f72806680d880359a72e4eb0da494a36540d75a356e9ad74818c3b08c5b,ad22eb082df98614163d3be7a3e2c1bb3769ba03d5c8b2dba6308dd3fb87ebae,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U07,FR,U05,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5655,Depuis 1920,https://www.depuis1920.fr/,logo,bilder/FR/U07.png,bilder/FR/U07-dark.png,https://depuis1920.fr/wp-content/themes/AtelierModerne_731/images/favicon.svg,declared_icon,562fc62ef58c421cda22e83359f2634cf265a33db5552f4e299d4a66b5e72c3e,562fc62ef58c421cda22e83359f2634cf265a33db5552f4e299d4a66b5e72c3e,3908c3600ede57cb3a7b884f1dd0193546a66646fb9377ea58d92510273230c2,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:N01,FR,N01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5657,Association Réavie,https://asso-reavie.fr/,logo,bilder/FR/N01.png,bilder/FR/N01-dark.png,http://asso-reavie.fr/wp-content/uploads/2018/09/cropped-reavie.png,declared_icon,2aec700cf85c0ec716639400fb9aa52e2a6e5af305922648733f6633abc5f28e,2aec700cf85c0ec716639400fb9aa52e2a6e5af305922648733f6633abc5f28e,6e09a566f8290713ced427b6c2d43bd6f03e68cd810e1c0d188587fd1020d28f,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:I01,FR,I01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:588,La Fab Bordeaux,https://www.lafab-bm.fr/,logo,bilder/FR/I01.png,,https://www.lafab-bm.fr/wp-content/themes/lafab2020smart/images/logo-lafab.svg,header_logo,183ba18b988b0cf671fc917c33e9590b69a65ca3825f1afb22a8b7f389ba3892,183ba18b988b0cf671fc917c33e9590b69a65ca3825f1afb22a8b7f389ba3892,,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U09,FR,U07,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6297,Grand Huit,https://grandhuit.eu/,logo,bilder/FR/U09.png,,https://grandhuit.eu/wp-content/themes/g8/images/l5.png,header_logo,818d4b1d4c21d815d475e9ff321118bcc7b34b55ce3a464bba0a6e482dab6cfb,818d4b1d4c21d815d475e9ff321118bcc7b34b55ce3a464bba0a6e482dab6cfb,,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U02,FR,U02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6300,Archipel zéro,https://archipelzero.wixsite.com/,logo,bilder/FR/U02.png,bilder/FR/U02-dark.png,https://static.wixstatic.com/media/3dbc01_1273dd63b43e400ca28830382e65f074~mv2.png,header_logo,0f3d206f41ef08076014e7d0d6b23e1ef5d6cca7e97e43771595a485ab311966,0f3d206f41ef08076014e7d0d6b23e1ef5d6cca7e97e43771595a485ab311966,aded2bb89a224b85c02cde128232841143613a8018bdf6edb5dd6434293a7d4e,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U08,FR,U06,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6394,Encore Heureux,https://encoreheureux.org/,logo,bilder/FR/U08.png,bilder/FR/U08-dark.png,https://encoreheureux.org/assets/favicons/apple-touch-icon.png,apple_touch,0d2a9db65018450c470e40abba9efaf9c3e8e820c38445c4a6bb1c1c8d5729a9,0d2a9db65018450c470e40abba9efaf9c3e8e820c38445c4a6bb1c1c8d5729a9,6769b1b7702b86678b05a05618a25f66221ae34f0f4c1b3df7e01ee1edd0e3ae,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U10,FR,U08,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6578,Mobius Réemploi,https://www.mobius-reemploi.fr/,logo,bilder/FR/U10.png,,https://static.wixstatic.com/media/e4556a_ec866f8a133b4cb791f901e87ebc3fe3%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/e4556a_ec866f8a133b4cb791f901e87ebc3fe3%7Emv2.png,apple_touch,069945f9d13a2065dcd15cf9292b32c3c95639a6e3f4eb4a6e9043ed60dc950c,069945f9d13a2065dcd15cf9292b32c3c95639a6e3f4eb4a6e9043ed60dc950c,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U05,FR,U03,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6626,CANCAN Architecture,https://www.collectifcancan.fr/,logo,bilder/FR/U05.png,bilder/FR/U05-dark.png,https://www.collectifcancan.fr/wp-content/uploads/2021/01/cropped-favicon.jpg,apple_touch,20f6bc89bc5e59041243d505c70296112f3ad6be694897eeeff486fbf5f37202,20f6bc89bc5e59041243d505c70296112f3ad6be694897eeeff486fbf5f37202,fec79cd8de494e9c3e502cc02c56362dc25cec247e02a9e8c49fb4d992f613bf,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M50,FR,M47,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6627,REFAIR Bordeaux,https://refair-bm.fr/,logo,bilder/FR/M50.png,bilder/FR/M50-dark.png,https://refair-bm.fr/wp-content/uploads/2021/09/logo_refair_blanc.png,header_logo,ea0dea3d603fd2f4091c1b93b6fcca75bbc29d6928713ad5045e617fc854df84,ea0dea3d603fd2f4091c1b93b6fcca75bbc29d6928713ad5045e617fc854df84,663d437f610f4a775ab2acd874fc4b7f57b7e8060f93c21a6d5d72a522c7d9b7,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:U06,FR,U04,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:732,Collectif CANCAN,https://www.collectifcancan.fr/,logo,bilder/FR/U06.png,bilder/FR/U06-dark.png,https://www.collectifcancan.fr/wp-content/uploads/2021/01/cropped-favicon.jpg,apple_touch,20f6bc89bc5e59041243d505c70296112f3ad6be694897eeeff486fbf5f37202,20f6bc89bc5e59041243d505c70296112f3ad6be694897eeeff486fbf5f37202,fec79cd8de494e9c3e502cc02c56362dc25cec247e02a9e8c49fb4d992f613bf,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:F01,FR,F01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:738,CSTB,https://www.cstb.fr/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
FR:N02,FR,N02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:741,Bellastock,https://www.bellastock.com/,logo,bilder/FR/N02.png,,https://www.bellastock.com/wp-content/themes/bellastock-2026-temp/img/bs_header_logo_rond.svg,header_logo,b3fa112202e02590412bc8c7040b8739c6fb59a382dc49c6a7632afd42e43a00,b3fa112202e02590412bc8c7040b8739c6fb59a382dc49c6a7632afd42e43a00,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M01,FR,M01,NEW:H:allibertmateriauxanciens,Allibert Matériaux Anciens,https://www.allibert-materiauxanciens.fr/,logo,bilder/FR/M01.png,,https://www.allibert-materiauxanciens.fr/apple-touch-icon.png,apple_touch,7d4046cf519fb188f5f0538fb68df470fc2e2cf10a592828064b265372795c29,7d4046cf519fb188f5f0538fb68df470fc2e2cf10a592828064b265372795c29,,circle_cover,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M04,FR,M04,NEW:H:baignoiresanciennes,Baignoires Anciennes,http://www.baignoires-anciennes.com/,logo,bilder/FR/M04.png,bilder/FR/M04-dark.png,https://baignoires-anciennes.com/wp-content/uploads/2025/04/B-A_Favicon.svg,apple_touch,ae26f472a04679d3a47336579e0d2c26c1a7b3819464112ee7e20b72d1304805,ae26f472a04679d3a47336579e0d2c26c1a7b3819464112ee7e20b72d1304805,ba2a6ddf6d706bbedf024f4357151b430e6262b7915a215bc3ebd3eae05dee8c,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M05,FR,M05,NEW:H:bathestiarecup,Bathestia Recup,https://bathestia.fr/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
FR:M06,FR,M06,NEW:H:bcamateriauxanciens,BCA Matériaux Anciens,https://www.bca-materiauxanciens.com/,logo,bilder/FR/M06.png,bilder/FR/M06-dark.png,https://www.bca-materiauxanciens.com/wp-content/uploads/2017/03/cropped-BCA-Logo-horizontal-Copie.jpg,apple_touch,b38aacae752cb9ea6c7ef5115cccf50d7fefe88b751e82ac203b0f7e63fff92d,b38aacae752cb9ea6c7ef5115cccf50d7fefe88b751e82ac203b0f7e63fff92d,c5cec3d7fb8641bf0fbad41ba49162c718ae16b9a03e26147902baafad795e55,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M07,FR,M07,NEW:H:bobireemploi,BOBI Réemploi,https://www.bobi-reemploi.fr/,logo,bilder/FR/M07.png,,https://www.bobi-reemploi.fr/app/uploads/2023/09/cropped-BOBI_FJAUNE_CMJN-01--e1695894530798.jpg,header_logo,20390130a450f6cfe24218eda74cd9f2e80e832b5c286941acaebac2ad46c22f,20390130a450f6cfe24218eda74cd9f2e80e832b5c286941acaebac2ad46c22f,,circle_extend,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M08,FR,M08,NEW:H:bourgognemateriauxanciens,Bourgogne Matériaux Anciens,https://www.bourgogne-materiaux-anciens.fr/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
FR:M09,FR,M09,NEW:H:brocantique,Broc'Antique,,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,organisation domain is not accepted,,,True
FR:M10,FR,M10,NEW:H:btirecup,Bâti Récup',https://batirecup.com/,logo,bilder/FR/M10.png,bilder/FR/M10-dark.png,https://batirecup.com/wp-content/uploads/2025/02/LOGO-BATIRECUP-CIRCULAIRE-COUL.png,header_logo,459fecaedc30d4d0a44b8114ddb27586f6d4306272a63cf323e2d84cd552281a,459fecaedc30d4d0a44b8114ddb27586f6d4306272a63cf323e2d84cd552281a,6f59b4779f48669bc60722aedd3b2c1c677a70d62ecb501ddf24ba4dbebc5b12,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M13,FR,M13,NEW:H:delanpatrickantiquaires,DELAN PATRICK - Antiquaires,https://www.delanpatrick.com/,logo,bilder/FR/M13.png,bilder/FR/M13-dark.png,https://www.delanpatrick.com/wp-content/themes/custom1/images/logo.png,header_logo,e449ce69dda0123d640a0e8ec5171a7365fbf2c6511aff7a0beb3bb19e509175,e449ce69dda0123d640a0e8ec5171a7365fbf2c6511aff7a0beb3bb19e509175,3ba12cf45d2ac66a7c276453debbdc9825c0942b5c211ccbee61b47caa46712e,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M15,FR,M15,NEW:H:demolitionwilliamperreault,Démolition William Perreault,https://demolition-perreault.fr/,logo,bilder/FR/M15.png,,https://demolition-perreault.fr/wp-content/uploads/2019/07/cropped-unnamed.jpg,declared_icon,25e0a4a7cac5c7f55b7587261ac30dfee0115278ae2c78c0d3ebd12ad54a5a71,25e0a4a7cac5c7f55b7587261ac30dfee0115278ae2c78c0d3ebd12ad54a5a71,,circle_extend,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M14,FR,M14,NEW:H:dusselmateriauxanciens,Dussel Matériaux Anciens,https://dussel-materiaux-anciens.com/,logo,bilder/FR/M14.png,,https://dussel-materiaux-anciens.com/wp-content/uploads/2023/06/logo-dussel-0-e1686062143308.png,media_logo,5f6fb40c9696f83d993473b9061edc5dc2207d4cdf248e6cf96a66c1beb08c0c,5f6fb40c9696f83d993473b9061edc5dc2207d4cdf248e6cf96a66c1beb08c0c,,light_backdrop,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M16,FR,M16,NEW:H:ekoreemploi,EKO reemploi,https://www.ekoreemploi.fr/,logo,bilder/FR/M16.png,bilder/FR/M16-dark.png,https://www.ekoreemploi.fr/wp-content/uploads/sites/19/2024/04/cropped-ekoreemploi-logo-696x696-1.png,apple_touch,8af084def4abe7ff70aa275d279323822834fec3c7d138a20f4d81e76063606a,8af084def4abe7ff70aa275d279323822834fec3c7d138a20f4d81e76063606a,fb868578ccc28503fc50ce8a14feb19e4aa521ad8bd2528d5b4b118645d44240,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M17,FR,M17,NEW:H:enfinreemploi,Enfin!Réemploi,https://enfin-reemploi.fr/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
