audit_status,key,cc,tid,name,official_url,source_url,source_kind,asset_path,dark_asset_path,asset_sha256,rights_status,recent_last_three_sessions,reason_codes,manual_reasons,technical_errors
manual_check,AT:S02,AT,S02,re:store / HarvestMAP Vienna,https://www.restore.or.at/,https://www.restore.or.at/wp-content/uploads/2021/11/logo_ooo_re_store.png,header_logo,bilder/AT/S02.png,,b42686cc0cb54ee17bed81ad21b0ca2e708c92eeb3858b3028047e28004c5c8c,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:F04,BE,F03,Laboratory for Green Transformable Buildings (GTB Lab),https://www.gtb-lab.com/,https://static.wixstatic.com/media/9b2177_b463b9487cea44dd89a201324d56c6f8%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/9b2177_b463b9487cea44dd89a201324d56c6f8%7Emv2.png,apple_touch,bilder/BE/F04.png,bilder/BE/F04-dark.png,60a727646c39d5f2f8f0be6b6ef1ab65319f8a0567754189ce8aa1e00b530c9a,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:F08,BE,F04,Vlaamse Instelling voor Technologisch Onderzoek (VITO),https://vito.be/,https://vito.be/themes/custom/vitotheme/logo.svg,header_logo,bilder/BE/F08.png,,477b10ff03ace0846ca53d65f2d7bd571793b9b5d41ae8a8439b3fbf37ca60db,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:F09,BE,F05,Vrije Universiteit Brussel (VUB) – Architectural Engineering,https://www.vub.be/,https://www.vub.be/themes/custom/ocelot_vub/assets/vectors/vub-logo-icon-text.svg,header_logo,bilder/BE/F09.png,,bb69df2d760ffa3da229e52fe64273c48d5e99bdb8474063743956ad8f5d86e9,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:M07,BE,M06,Composil,https://blog.composil.eu/,https://blog.composil.eu/hubfs/Logo%20Icon%20Google%20Ads.png,declared_icon,bilder/BE/M07.png,,70098d14d446e95066f0b95a5c82dcc828cf763e11b701d6620da992e2a2b9af,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,BE:M08,BE,M07,Cornermat / Retrival,https://www.cornermat.be/,https://www.cornermat.be/web/image/70512-55a41077/RET_Logo%20Retrival%20-%20sans%20fond.png,media_logo,bilder/BE/M08.png,bilder/BE/M08-dark.png,46037b1c78e52cfc1764b532bd3a7e96d0655fe659dda4711732c6bc63db6ade,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:M13,BE,M12,Fryns-Boret,http://www.fryns-boret.be/,http://fryns-boret.be/sites/all/themes/dropsolid-base/favicons/generated/apple-touch-icon-180x180.png,apple_touch,bilder/BE/M13.png,bilder/BE/M13-dark.png,6170f6a029b8548286632f6de887975312a75b11c49d407a36017e937c7be5de,permission_required,False,http_source,Quelldatei nur über unverschlüsseltes HTTP referenziert.,
manual_check,BE:M17,BE,M16,Heyns Recycling,https://heynsrecycling.be/,http://heynsrecycling.be/images/2019-Heyns-Recycling-V2.png,header_logo,current_only_final/BE/M16.png,current_only_final/BE/M16-dark.png,3569492c3ae2baa8107102fb2c4d2c27c1b22606b01cbae05a7f107a0caf7889,permission_required,True,http_source,Quelldatei nur über unverschlüsseltes HTTP referenziert.,
manual_check,BE:M26,BE,M24,Materialenbank Leuven / Atelier Circuler,https://ateliercirculer.be/,https://ateliercirculer.be/wp-content/uploads/2024/12/AC-LOGO-1024x293.webp,header_logo,bilder/BE/M26.png,,8f8d6da300c0a9049093738516c27d0c771cf5a8664e7d169c2f5c769d9205ff,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,BE:M31,BE,M28,Van Dijck,http://www.van-dijck.be/,http://www.van-dijck.be/favicon/apple-touch-icon.png,apple_touch,bilder/BE/M31.png,bilder/BE/M31-dark.png,b626290f5cbe250e10edbe2eef74d334b0cb37a28d05f342fa33eebd6914aef0,permission_required,False,http_source,Quelldatei nur über unverschlüsseltes HTTP referenziert.,
manual_check,BE:N05,BE,N04,Opalis,https://opalis.eu/,inline+https://opalis.eu/en#sha256=fd47bc3049024f4db1e07b730a3a233f3d99d72ee065cfc86496407d54faea66,header_logo,bilder/BE/N05.png,bilder/BE/N05-dark.png,0a159741582c28b6875b4fed4b75748f45cb6e5a475bfddd98b7f71a22babd5d,permission_required,False,inline_extraction,Logo wurde aus eingebettetem Seiten-SVG extrahiert; Ausschnitt manuell prüfen.,
manual_check,BE:N06,BE,N05,Rotor,https://rotordb.org/,inline+https://rotordb.org/en#sha256=067842248c1750d8421ef41b2451bb937e893b59036c92577befb15c66e597f8,header_logo,bilder/BE/N06.png,bilder/BE/N06-dark.png,950c0ca25dfd73c8ca1e2b9196f952cf4aa91bba7827065e406c4e37385950e3,permission_required,False,inline_extraction,Logo wurde aus eingebettetem Seiten-SVG extrahiert; Ausschnitt manuell prüfen.,
manual_check,BE:S01,BE,S01,Madaster,https://madaster.de/,https://madaster.com/app/uploads/sites/6/2023/09/Madaster-BrandmarkLogo-RGB.png,header_logo,bilder/BE/S01.png,,1efbd5045ef37315ab1ac151a701f0561d5df040ff5d1f666d55c806cc53d09b,permission_required,False,cross_origin_source | shared_asset_hash,"Quelldatei liegt auf anderer Domain (madaster.com) als die offizielle Seite (madaster.de). | Exakt dieselbe Logodatei wird auch verwendet für: CH:S03, AT:S01.",
manual_check,BE:U20,BE,U06,Kaderstudio,https://kaderstudio.eu/,https://kaderstudio.eu/safari-pinned-tab.svg,declared_icon,bilder/BE/U20.png,bilder/BE/U20-dark.png,055341177ed2ad7bdc0a93ebc266506218ab397c268c8f5693fa27d65aedaf49,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,BE:X01,BE,X01,2emain.be,https://www.2ememain.be/,https://www.hzcdn.io/bff/static/vendor/hz-web-ui/twh/favicons/apple-touch-icon-180x180.e6ab190c.png,apple_touch,bilder/BE/X01.png,,cc2b67297323261f216e5f7ad33355797c5e7187547295743261643a2622aa42,permission_required,False,cross_origin_source,Quelldatei liegt auf anderer Domain (hzcdn.io) als die offizielle Seite (2ememain.be).,
manual_check,CURRENT:BE:advitam-material,BE,N01,AD VITAM MATERIAL (ehem. Plateforme Réemploi),https://advitam-material.be/,https://advitam-material.be/wp-content/uploads/2024/06/cropped-Logo_advitam-material_M-180x180.jpg,apple_touch,current_only_final/BE/N01.png,,fa6a0b8d3945978fda9f1f1a7a8311ced58bba105e7fc15a2648fedb013fd737,permission_required,True,carrier_or_successor | multi_entity_label | current_overlay,"Nachfolge-/aktuelle Marke für Plateforme Réemploi; manuelle Bestätigung empfohlen. | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz. | Aktueller Overlay-Schlüssel statt eingefrorener Graph-ID; Identitätszuordnung manuell prüfen.",
manual_check,BE:M24,CH,M10,La Ressourcerie Fribourg,https://www.la-ressourcerie.ch/,https://static.wixstatic.com/media/e8650d_61787f84fa664ce0a38aa00c7e9c3758%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/e8650d_61787f84fa664ce0a38aa00c7e9c3758%7Emv2.png,apple_touch,bilder/BE/M24.png,,cccf3ba6333e501dd923fd6981cc78d9cf1b142747fdfe7b1f4299498ab7c8f0,permission_required,False,key_country_mismatch,Schlüsselpräfix BE weicht vom Länderfeld CH ab; Overlay-/Transportzuordnung prüfen.,
manual_check,BE:U24,CH,U09,Loeliger Strub,https://loeligerstrub.ch/,https://loeligerstrub.ch/wp-content/uploads/favicon_animated.gif,apple_touch,bilder/BE/U24.png,bilder/BE/U24-dark.png,98bd0b013e5899f4ba5e61b2b5a8fb6d3e046816c34a205946242b3b45b11d30,permission_required,False,key_country_mismatch,Schlüsselpräfix BE weicht vom Länderfeld CH ab; Overlay-/Transportzuordnung prüfen.,
manual_check,CH:F01,CH,F01,Circular Engineering for Architecture / ETH Zürich,https://cea.ibi.ethz.ch/,https://ethz.ch/etc/designs/ethz/img/icons/ETH-APP-Icons-Theme-white/192-xxxhpdi.png,declared_icon,bilder/CH/F01.png,bilder/CH/F01-dark.png,400abb494549ec01bcf53ad8cc8528fabb718bcead7fa09708caac27316dcc38,permission_required,False,carrier_or_successor | low_signal_source_kind | multi_entity_label,"Forschungseinheit CEA wird mit der ETH-Zürich-Trägermarke dargestellt. | Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein. | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:F02,CH,F05,NEST Research and Innovation Platform / Empa–Eawag,https://www.empa.ch/,https://www.empa.ch/image/company_logo?img_id=31464838&t=1786162064160,header_logo,bilder/CH/F02.png,bilder/CH/F02-dark.png,808c8de069c3a852e6713ef48a1aa20c7c13bd7a3508c9d643e9198d30e62189,permission_required,False,source_recheck | carrier_or_successor | multi_entity_label,"Offizielles Empa-Asset antwortete beim Schlusscheck mit HTTP 403; zusätzlich wird eine Trägermarke verwendet. | NEST wird mit der Empa-Trägermarke dargestellt. | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:F06,CH,F03,INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton),https://www.fhnw.ch/,https://www.fhnw.ch/logo/fhnw-logo-de.svg,header_logo,bilder/CH/F06.png,bilder/CH/F06-dark.png,b80c7893e910868923fc242862af5f2d644b30e463794b3990f0ab3b8dc03c0b,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:F07,CH,F06,Structural Xploration Lab (SXL) / EPFL,https://www.epfl.ch/,https://www.epfl.ch/wp-content/themes/wp-theme-2018/assets/svg/epfl-logo.svg,header_logo,bilder/CH/F07.png,,3480b115052d63dc812c37ce802bfb4c9b8b9c6dca14f170ba3b1a7bf7bbd130,permission_required,False,carrier_or_successor | multi_entity_label,"Structural Xploration Lab wird mit der EPFL-Trägermarke dargestellt. | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:F11,CH,F04,Institut Konstruktives Entwerfen (IKE) / ZHAW,https://www.zhaw.ch/,https://www.zhaw.ch/_assets/476334098594ac1462978859d8e2ba19/Images/touch-icon-iphone-6-plus.png,apple_touch,bilder/CH/F11.png,,00677c0831c32737d3687f73cf6d1a9c8bf834007f34987fb0178eccb34158f8,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:I01,CH,I02,Entsorgung + Recycling Zürich (ERZ),https://www.stadt-zuerich.ch/,https://www.stadt-zuerich.ch/etc.clientlibs/webcomponents/clientlibs/resources/media/stzh/favicons/apple-touch-icon.png,apple_touch,bilder/CH/I01.png,,1d057aac16d88c37815954af09fcdf0122b440e69fc6399c712b16bcdd2f709b,permission_required,False,multi_entity_label | shared_asset_hash,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz. | Exakt dieselbe Logodatei wird auch verwendet für: CH:I03.",
manual_check,CH:I03,CH,I01,Amt für Hochbauten und Immobilien Stadt Zürich,https://www.stadt-zuerich.ch/,https://www.stadt-zuerich.ch/etc.clientlibs/webcomponents/clientlibs/resources/media/stzh/favicons/apple-touch-icon.png,apple_touch,bilder/CH/I03.png,,1d057aac16d88c37815954af09fcdf0122b440e69fc6399c712b16bcdd2f709b,permission_required,False,shared_asset_hash,Exakt dieselbe Logodatei wird auch verwendet für: CH:I01.,
manual_check,CH:M08,CH,M08,GGZ@WORK Laden 2 Bauteile Zug,https://ggzatwork.ch/,https://ggz-p-bucket01.fra1.digitaloceanspaces.com/assets/Logos/_200xAUTO_fit_center-center_100_none/GGZ-Loreto-Logo_schwarz.svg,media_logo,bilder/CH/M08.png,,698e17933d165361c5537158a5afe2ff65434b8fb10a37779b43480b62f8c607,permission_required,False,cross_origin_source,Quelldatei liegt auf anderer Domain (ggz-p-bucket01.fra1.digitaloceanspaces.com) als die offizielle Seite (ggzatwork.ch).,
manual_check,CH:M09,CH,M09,Historisches Bauteillager Ostschweiz (Denkmal Stiftung Thurgau),https://www.historisches-bauteillager.ch/,https://www.historisches-bauteillager.ch/img/logo-dst-footer.svg,header_logo,bilder/CH/M09.png,bilder/CH/M09-dark.png,d02f2284ba64cae1f03e41f3ebac1790dfe6e509e4e88046f364c90c7286a0f4,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:M10,CH,M11,Matériuum,https://materiuum.ch/,https://materiuum.ch/wp-content/uploads/2022/05/cropped-cropped-uu-logo-02-180x180.png,apple_touch,bilder/CH/M10.png,,85f36412c35fa3b6c85193692e129772828a0830260af64ae6f81a928af03e7e,permission_required,False,shared_asset_hash,"Exakt dieselbe Logodatei wird auch verwendet für: CH:M12, CH:M11.",
manual_check,CH:M11,CH,M12,Matériuum Genève Ressourcerie,https://materiuum.ch/,https://materiuum.ch/wp-content/uploads/2022/05/cropped-cropped-uu-logo-02-180x180.png,apple_touch,bilder/CH/M11.png,,85f36412c35fa3b6c85193692e129772828a0830260af64ae6f81a928af03e7e,permission_required,False,shared_asset_hash,"Exakt dieselbe Logodatei wird auch verwendet für: CH:M12, CH:M10.",
manual_check,CH:M12,CH,M13,Ressourcerie Lausanne / Matériuum / R-UUL,https://materiuum.ch/,https://materiuum.ch/wp-content/uploads/2022/05/cropped-cropped-uu-logo-02-180x180.png,apple_touch,bilder/CH/M12.png,,85f36412c35fa3b6c85193692e129772828a0830260af64ae6f81a928af03e7e,permission_required,False,multi_entity_label | shared_asset_hash,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz. | Exakt dieselbe Logodatei wird auch verwendet für: CH:M11, CH:M10.",
manual_check,CH:M14,CH,M15,Stiftung Chance BauTeile Zürich / Glattbrugg,https://www.chance.ch/,https://www.chance.ch/_assets/374f611274fbcf5edf86654eeb70ce10/images/logo-stiftung-chance.svg,header_logo,bilder/CH/M14.png,,74481fdc55d5a9abc7c638e5937b94e759b7e52fcccfadca1936190bbaa817ac,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:M15,CH,M16,useagain / Bauteilclick,https://www.useagain.ch/,https://www.useagain.ch/bundles/gesagtgetantheme/images/logo-light-25.svg?1764837395,header_logo,bilder/CH/M15.png,,3ddb64084a241c080f6dbc8b57cc75b703bfee9a16f305ec66e088076b5b00de,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:M16,CH,M17,Wick ReUse / ROTO Baumarkt,https://wickreuse.ch/,https://wickreuse.ch/wp-content/uploads/2024/07/cropped-Screenshot-2025-09-30-165737-180x180.png,apple_touch,bilder/CH/M16.png,bilder/CH/M16-dark.png,4f56635fc4c158d87036371f183920388b2f1f5c5f43be43dcebc095946b2feb,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:N02,CH,N02,RE-WIN,https://re-win.ch/,https://re-win.ch/wordpress/wp-content/uploads/2023/09/cropped-RE-WIN_Logo-512-180x180.png,apple_touch,bilder/CH/N02.png,,f9c31dca4b9ebc19107c47069cc9bcca004543401c87e0ad3f6f355a0ecab509,permission_required,False,shared_asset_hash,Exakt dieselbe Logodatei wird auch verwendet für: CH:N03.,
manual_check,CH:N03,CH,N03,Verein RE-WIN,https://re-win.ch/,https://re-win.ch/wordpress/wp-content/uploads/2023/09/cropped-RE-WIN_Logo-512-180x180.png,apple_touch,bilder/CH/N03.png,,f9c31dca4b9ebc19107c47069cc9bcca004543401c87e0ad3f6f355a0ecab509,permission_required,False,shared_asset_hash,Exakt dieselbe Logodatei wird auch verwendet für: CH:N02.,
manual_check,CH:O02,CH,O01,Stiftung Abendrot / Vorsorgestiftung Abendrot,https://www.abendrot.ch/,https://www.abendrot.ch/fileadmin/Resources/Public/img/Abendrot_Logo-de.svg,media_logo,bilder/CH/O02.png,bilder/CH/O02-dark.png,4a0fbe1c4d468f6048b8d744bbfeec76480cfd90a1df28d3ff2a5d4c08ff0ecf,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:S02,CH,S02,Gruner ReUse,https://www.gruner-reuse.ch/,https://www.gruner.ch/images/logo.svg,og_image,bilder/CH/S02.png,bilder/CH/S02-dark.png,fc461cb21c4607eff094a1991316636fc77e28fa11517b1530679a64428d2a3b,permission_required,False,low_signal_source_kind | cross_origin_source,"Open-Graph-Bild kann Kampagnenmotiv, Foto oder zusammengesetzte Grafik sein. | Quelldatei liegt auf anderer Domain (gruner.ch) als die offizielle Seite (gruner-reuse.ch).",
manual_check,CH:S03,CH,S03,Madaster,https://madaster.ch/,https://madaster.com/app/uploads/sites/6/2023/09/Madaster-BrandmarkLogo-RGB.png,header_logo,bilder/CH/S03.png,,1efbd5045ef37315ab1ac151a701f0561d5df040ff5d1f666d55c806cc53d09b,permission_required,False,cross_origin_source | shared_asset_hash,"Quelldatei liegt auf anderer Domain (madaster.com) als die offizielle Seite (madaster.ch). | Exakt dieselbe Logodatei wird auch verwendet für: BE:S01, AT:S01.",
manual_check,CH:S05,CH,S05,Salza,https://salza.ch/,https://salza.ch/icons/icon-512x512.png,declared_icon,bilder/CH/S05.png,bilder/CH/S05-dark.png,a31a53cadc01fefeecde1cb9d47a87072766e46fe7a9032cd5617ffdd3a43799,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,CH:U16,CH,U12,Monotti Ingegneri,https://monotti-sa.ch/,https://monotti-sa.ch/favicon.ico,declared_icon,bilder/CH/U16.png,,68cf7ce969ec3a11b6e561fdd48cba10a1bb3ee4c5a19be62a71c0c17a70f5d3,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,CH:U22,CH,U18,Schmidiger + Rosasco AG,https://srzh.ch/,https://srzh.ch/wp-content/uploads/2018/07/cropped-logokl.png,media_logo,bilder/CH/U22.png,bilder/CH/U22-dark.png,9a249b71cfa467a5a57b5f791d443829c11154327c2d901676b5b8a306d7c34d,permission_required,True,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:U26,CH,U22,Weber + Brönnimann AG,https://www.webroe.ch/,https://www.webroe.ch/wGlobal/wGlobal/layout/images/webroe_logo_white.svg,header_logo,bilder/CH/U26.png,bilder/CH/U26-dark.png,4eb528a1ff834ee65fd5cb42141fcc80b84ef0804285c0d10d72ba1c06b380a2,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,CH:U28,CH,U24,Zirkular,https://zirkular.net/,https://zirkular.net/wp-content/themes/zirkular/images/favicon.png,declared_icon,bilder/CH/U28.png,,b79abfc6eaa1148c9fa3e61ee923eb0248a4f248e50e4e3541a6e2cef79a5483,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,BE:F05,DE,F02,CirculaTUM – TUM Mission Network Circular Economy,https://www.mission-networks.tum.de/,https://www.mission-networks.tum.de/_frontend/favicon/apple-touch-icon.png,apple_touch,bilder/BE/F05.png,bilder/BE/F05-dark.png,407abe0814c0b15189081464f8309bf6ecb8175563cda17fb0271c33c28863d0,permission_required,False,carrier_or_successor | key_country_mismatch,CirculaTUM wird mit der TUM-Trägermarke dargestellt. | Schlüsselpräfix BE weicht vom Länderfeld DE ab; Overlay-/Transportzuordnung prüfen.,
manual_check,BE:I05,DE,I04,Stadt Kassel,https://baumab-kassel.de/,https://www.kassel.de/design.css.media/171938/Kassel-WBM-Web.svg,header_logo,bilder/BE/I05.png,bilder/BE/I05-dark.png,cabbd1d1ff8351b9fd4aa771c6e26dbb148d164ff6eeefe21a2905456bca753a,permission_required,False,cross_origin_source | key_country_mismatch,Quelldatei liegt auf anderer Domain (kassel.de) als die offizielle Seite (baumab-kassel.de). | Schlüsselpräfix BE weicht vom Länderfeld DE ab; Overlay-/Transportzuordnung prüfen.,
manual_check,BE:M05,DE,M01,BauMaB Kassel / Bauteilbörse Kassel,https://baumab-kassel.de/,https://baumab-kassel.de/wp-content/uploads/bauteilboerse-kassel-hafenquartier-450x152.png,header_logo,bilder/BE/M05.png,bilder/BE/M05-dark.png,fedbf70d0ebadf49d46c53551bb20ab0ec80389926a6991bf63cfa196cca0dcf,permission_required,False,multi_entity_label | key_country_mismatch,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz. | Schlüsselpräfix BE weicht vom Länderfeld DE ab; Overlay-/Transportzuordnung prüfen.",
manual_check,DE:F01,DE,F01,Arbeitsgebiet Bauliches Recycling / BTU Cottbus-Senftenberg,https://www.b-tu.de/,https://upload.wikimedia.org/wikipedia/commons/6/6c/Brandenburgische_Technische_Universit%C3%A4t_Cottbus-Senftenberg_2013_logo.svg,wikimedia,bilder/DE/F01.png,bilder/DE/F01-dark.png,29c170e3c58445b18e26f445e7065c3db311c7c89e3bd9486bcf64d7595f962b,permission_required,False,low_signal_source_kind | cross_origin_source | multi_entity_label,"Wikimedia-Datei muss trotz zulässiger Nutzung gegen die aktuelle Eigenmarke geprüft werden. | Quelldatei liegt auf anderer Domain (upload.wikimedia.org) als die offizielle Seite (b-tu.de). | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,DE:F04,DE,F04,Forschungsteam Stuttgart 210 / HFT Stuttgart,https://www.hft-stuttgart.com/,https://www.hft-stuttgart.com/assets/hft_sitepackage/img/logo-EN-HFT-Stuttgart-2025-v2.svg,header_logo,bilder/DE/F04.png,,72aa8dbbc1e97381837c24cd89227c29a9b6d202b059600ce1b60458fc6b66c6,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
