code,id,label,is_leaf,marker
A2.6.4,h_a2_6_4_baugruppen_ebene,Huerde,True,True
A3,huek_a3_informationsqualitaet,HuerdeKategorie,False,True
A3.1,h_a3_1_unvollstaendige_daten,Huerde,True,True
A3.2,h_a3_2_fehlerhafte_daten,Huerde,True,True
A3.3,h_a3_3_veraltete_daten,Huerde,True,True
A3.4,h_a3_4_inkonsistente_daten,Huerde,True,True
A3.5,h_a3_5_ungueltige_daten,Huerde,True,True
A3.6,h_a3_6_ungepruefte_daten,Huerde,True,True
A3.7,h_a3_7_fehlende_provenienz,Huerde,True,True
A3.8,h_a3_8_unklares_konfidenzniveau,Huerde,True,True
A3.9,h_a3_9_unklare_messmethode,Huerde,True,True
A4,huek_a4_informations_lebenszyklus_management,HuerdeKategorie,False,True
A4.1,h_a4_1_erschwerte_datenerfassung,Huerde,True,True
A4.2,h_a4_2_erschwerte_datentransformation,Huerde,True,True
A4.3,h_a4_3_duplikat_datensaetze,Huerde,True,True
A4.4,h_a4_4_schwache_versionskontrolle,Huerde,True,True
A4.5,h_a4_5_schwache_aenderungsverfolgung,Huerde,True,True
A4.6,h_a4_6_fehlende_lebenszyklus_aktualisierungen,Huerde,True,True
A4.7,h_a4_7_erschwerte_archivierung,Huerde,True,True
A4.8,huek_a4_8_langzeit_erhaltungsrisiko,HuerdeKategorie,False,True
A4.8.1,h_a4_8_1_obsolete_formate,Huerde,True,True
A4.8.2,h_a4_8_2_defekte_dokumentverweise,Huerde,True,True
A4.8.3,h_a4_8_3_plattformbetreiber_schliessung,Huerde,True,True
A4.8.4,h_a4_8_4_verlust_bei_datenmigration,Huerde,True,True
B,huek_b_digitale_interoperabilitaet_plattformarchitektur,HuerdeKategorie,False,True
B1,huek_b1_technische_interoperabilitaet,HuerdeKategorie,False,True
B1.1,h_b1_1_inkompatible_softwaresysteme,Huerde,True,True
B1.2,h_b1_2_fehlende_apis,Huerde,True,True
B1.3,h_b1_3_proprietaere_schnittstellen,Huerde,True,True
B1.4,h_b1_4_proprietaere_dateiformate,Huerde,True,True
B1.5,h_b1_5_geschlossene_digitale_silos,Huerde,True,True
B1.6,h_b1_6_begrenzter_import_export,Huerde,True,True
B1.7,h_b1_7_instabile_systemintegrationen,Huerde,True,True
B2,huek_b2_strukturelle_interoperabilitaet,HuerdeKategorie,False,True
B2.1,h_b2_1_inkompatible_schemata,Huerde,True,True
B2.2,h_b2_2_inkompatible_feldstrukturen,Huerde,True,True
B2.3,h_b2_3_inkompatible_dateiformate,Huerde,True,True
B2.4,h_b2_4_inkonsistente_einheiten,Huerde,True,True
B2.5,h_b2_5_inkonsistente_property_strukturen,Huerde,True,True
B2.6,h_b2_6_inkonsistente_validierungsregeln,Huerde,True,True
B3,huek_b3_semantische_interoperabilitaet,HuerdeKategorie,False,True
B3.1,h_b3_1_inkonsistente_terminologie,Huerde,True,True
B3.2,h_b3_2_klassifikations_mismatch,Huerde,True,True
B3.3,h_b3_3_bauteilkategorie_mismatch,Huerde,True,True
B3.4,h_b3_4_property_definitions_mismatch,Huerde,True,True
B3.5,h_b3_5_unterschiedliche_zustandsvokabulare,Huerde,True,True
B3.6,h_b3_6_unterschiedliche_leistungsdefinitionen,Huerde,True,True
B3.7,h_b3_7_unterschiedliche_lebenszyklus_status_definitionen,Huerde,True,True
B4,huek_b4_identitaets_interoperabilitaet,HuerdeKategorie,False,True
B4.1,h_b4_1_fehlende_persistente_identifikatoren,Huerde,True,True
B4.2,h_b4_2_doppelte_bauteil_identitaeten,Huerde,True,True
B4.3,h_b4_3_identifikator_aenderungen_zwischen_systemen,Huerde,True,True
B4.4,h_b4_4_gebrochene_physisch_digitale_verknuepfung,Huerde,True,True
B4.5,h_b4_5_unklare_identifikator_granularitaet,Huerde,True,True
B4.6,h_b4_6_fehlende_chargen_zu_bauteil_beziehungen,Huerde,True,True
B5,huek_b5_workflow_interoperabilitaet,HuerdeKategorie,False,True
B5.1,h_b5_1_audit_von_entwurf_entkoppelt,Huerde,True,True
B5.2,h_b5_2_entwurf_von_marktplatz_entkoppelt,Huerde,True,True
B5.3,h_b5_3_marktplatz_von_zertifizierung_entkoppelt,Huerde,True,True
B5.4,h_b5_4_matching_von_beschaffung_entkoppelt,Huerde,True,True
B5.5,h_b5_5_beschaffung_von_logistik_entkoppelt,Huerde,True,True
B5.6,h_b5_6_einbau_von_lebenszyklus_daten_entkoppelt,Huerde,True,True
B5.7,h_b5_7_wiederholte_manuelle_dateneingabe,Huerde,True,True
B5.8,h_b5_8_informationsverlust_bei_uebergabe,Huerde,True,True
B6,huek_b6_plattform_funktionsgrenzen,HuerdeKategorie,False,True
B6.1,h_b6_1_unzureichende_inventar_werkzeuge,Huerde,True,True
B6.2,h_b6_2_unzureichende_zustandsbewertungs_werkzeuge,Huerde,True,True
B6.3,h_b6_3_unzureichendes_technisches_matching,Huerde,True,True
B6.4,h_b6_4_unzureichendes_toleranzbasiertes_matching,Huerde,True,True
B6.5,h_b6_5_unzureichende_rueckgewinnungsplanung,Huerde,True,True
B6.6,h_b6_6_unzureichende_dokumentenpruefung,Huerde,True,True
B6.7,h_b6_7_unzureichendes_reservierungsmanagement,Huerde,True,True
B6.8,h_b6_8_unzureichende_logistik_integration,Huerde,True,True
B6.9,h_b6_9_unzureichende_lebenszyklus_verfolgung,Huerde,True,True
B6.10,h_b6_10_unzureichendes_wirkungs_reporting,Huerde,True,True
B7,huek_b7_technologie_nachhaltigkeit,HuerdeKategorie,False,True
B7.1,h_b7_1_abhaengigkeit_von_pilotfoerderung,Huerde,True,True
B7.2,h_b7_2_unklare_wartungs_verantwortung,Huerde,True,True
B7.3,h_b7_3_instabile_plattform_einnahmen,Huerde,True,True
B7.4,h_b7_4_software_obsoleszenz,Huerde,True,True
B7.5,h_b7_5_sinkende_nutzerbeteiligung,Huerde,True,True
B7.6,h_b7_6_integrations_degradation,Huerde,True,True
B7.7,h_b7_7_digitaler_energieverbrauch,Huerde,True,True
B7.8,h_b7_8_digitalgeraete_entsorgungswirkungen,Huerde,True,True
C,huek_c_datenverwaltung_vertrauensinfrastruktur,HuerdeKategorie,False,True
C1,huek_c1_dateneigentum,HuerdeKategorie,False,True
C1.1,h_c1_1_unklarer_bauteildatensatz_eigentuemer,Huerde,True,True
C1.2,h_c1_2_unklares_eigentum_nach_transfer,Huerde,True,True
C1.3,h_c1_3_unklare_lieferant_plattform_datengrenze,Huerde,True,True
C1.4,h_c1_4_unklares_eigentum_abgeleiteter_daten,Huerde,True,True
C1.5,h_c1_5_unklares_eigentum_von_inspektionsergebnissen,Huerde,True,True
C2,huek_c2_datenverantwortung,HuerdeKategorie,False,True
C2.1,h_c2_1_kein_zugewiesener_data_steward,Huerde,True,True
C2.2,h_c2_2_unklare_datensatz_erstellungsverantwortung,Huerde,True,True
C2.3,h_c2_3_unklare_pruefverantwortung,Huerde,True,True
C2.4,h_c2_4_unklare_korrekturverantwortung,Huerde,True,True
C2.5,h_c2_5_unklare_zustands_aktualisierungsverantwortung,Huerde,True,True
C2.6,h_c2_6_unklare_zertifizierungs_aktualisierungsverantwortung,Huerde,True,True
C2.7,h_c2_7_unklare_verantwortung_nach_einbau,Huerde,True,True
C3,huek_c3_zugriffs_governance,HuerdeKategorie,False,True
C3.1,h_c3_1_fehlende_rollenbasierte_zugriffskontrolle,Huerde,True,True
C3.2,h_c3_2_uebermaessige_oeffentliche_offenlegung,Huerde,True,True
C3.3,h_c3_3_eingeschraenkter_zugriff_auf_noetige_nachweise,Huerde,True,True
C3.4,h_c3_4_unklare_zugriffsrechte_nach_eigentumsuebergang,Huerde,True,True
C3.5,h_c3_5_inkonsistente_berechtigungen_ueber_systeme,Huerde,True,True
C4,huek_c4_datensicherheit,HuerdeKategorie,False,True
C4.1,h_c4_1_unautorisierte_aenderung,Huerde,True,True
C4.2,h_c4_2_gefaelschte_bauteil_identitaet,Huerde,True,True
C4.3,h_c4_3_gefaelschte_zertifikate,Huerde,True,True
C4.4,h_c4_4_schwache_nutzer_authentifizierung,Huerde,True,True
C4.5,h_c4_5_schwache_api_sicherheit,Huerde,True,True
C4.6,h_c4_6_unzureichendes_audit_logging,Huerde,True,True
C4.7,h_c4_7_unzureichende_wiederherstellung_nach_datenverlust,Huerde,True,True
C5,huek_c5_vertraulichkeit_datenschutz,HuerdeKategorie,False,True
C5.1,h_c5_1_kommerzielle_vertraulichkeit,Huerde,True,True
C5.2,h_c5_2_schutz_geistigen_eigentums,Huerde,True,True
C5.3,h_c5_3_hersteller_geschaeftsgeheimnisse,Huerde,True,True
C5.4,h_c5_4_personendatenschutz_bedenken,Huerde,True,True
C5.5,h_c5_5_betriebssicherheits_bedenken,Huerde,True,True
C5.6,h_c5_6_eingeschraenkte_zusammensetzungs_lieferantendaten,Huerde,True,True
C6,huek_c6_evidenz_autoritaet,HuerdeKategorie,False,True
C6.1,h_c6_1_selbstauskunft_ohne_pruefung,Huerde,True,True
C6.2,h_c6_2_unklare_autoritaet_der_pruefer,Huerde,True,True
C6.3,h_c6_3_widerspruechliche_evidenzquellen,Huerde,True,True
C6.4,h_c6_4_abgelaufene_evidenz,Huerde,True,True
C6.5,h_c6_5_evidenz_nur_fuer_vorherige_nutzung_gueltig,Huerde,True,True
C6.6,h_c6_6_keine_unterscheidung_geschaetzt_geprueft,Huerde,True,True
D,huek_d_organisatorische_kapazitaetsbedingungen,HuerdeKategorie,False,True
D1,huek_d1_organisatorische_fragmentierung,HuerdeKategorie,False,True
D1.1,h_d1_1_temporaere_projektteams,Huerde,True,True
D1.2,h_d1_2_getrennte_vertragspakete,Huerde,True,True
D1.3,h_d1_3_fragmentierte_lebenszyklus_verantwortlichkeiten,Huerde,True,True
D1.4,h_d1_4_entkoppelte_lieferkettenakteure,Huerde,True,True
D1.5,h_d1_5_schwache_zusammenarbeit_quell_empfangsprojekt,Huerde,True,True
D1.6,h_d1_6_informationsverlust_bei_organisatorischen_uebergaben,Huerde,True,True
D2,huek_d2_prozess_governance,HuerdeKategorie,False,True
D2.1,h_d2_1_keine_harmonisierten_audit_verfahren,Huerde,True,True
D2.2,h_d2_2_keine_harmonisierten_pruefverfahren,Huerde,True,True
D2.3,h_d2_3_keine_harmonisierten_aktualisierungsverfahren,Huerde,True,True
D2.4,h_d2_4_keine_harmonisierten_streitbeilegungsverfahren,Huerde,True,True
D2.5,h_d2_5_keine_gemeinsamen_data_governance_protokolle,Huerde,True,True
D3,huek_d3_fehlende_organisatorische_rollen,HuerdeKategorie,False,True
D3.1,h_d3_1_fehlender_reuse_koordinator,Huerde,True,True
D3.2,h_d3_2_fehlender_material_auditor,Huerde,True,True
D3.3,h_d3_3_fehlender_data_steward,Huerde,True,True
D3.4,h_d3_4_fehlender_bauteil_bewerter,Huerde,True,True
D3.5,h_d3_5_fehlender_passport_manager,Huerde,True,True
D3.6,h_d3_6_fehlender_reuse_beschaffungsspezialist,Huerde,True,True
D3.7,h_d3_7_fehlender_rueckbauplaner,Huerde,True,True
D4,huek_d4_kompetenzen_personal,HuerdeKategorie,False,True
D4.1,huek_d4_1_unzureichende_digitale_kompetenzen,HuerdeKategorie,False,True
D4.1.1,h_d4_1_1_bim_openbim_kompetenzluecken,Huerde,True,True
D4.1.2,h_d4_1_2_datenbank_kompetenzluecken,Huerde,True,True
D4.1.3,h_d4_1_3_api_kompetenzluecken,Huerde,True,True
D4.1.4,h_d4_1_4_data_governance_kompetenzluecken,Huerde,True,True
D4.2,huek_d4_2_unzureichende_reuse_kompetenzen,HuerdeKategorie,False,True
D4.2.1,h_d4_2_1_materialidentifikations_luecken,Huerde,True,True
D4.2.2,h_d4_2_2_zustandsbewertungs_luecken,Huerde,True,True
D4.2.3,h_d4_2_3_rueckbauplanungs_luecken,Huerde,True,True
D4.2.4,h_d4_2_4_reuse_beschaffungs_luecken,Huerde,True,True
D4.2.5,h_d4_2_5_regulatorisches_wissen_luecken,Huerde,True,True
D4.3,huek_d4_3_unzureichende_personalkapazitaet,HuerdeKategorie,False,True
D4.3.1,h_d4_3_1_zu_wenige_qualifizierte_auditoren,Huerde,True,True
D4.3.2,h_d4_3_2_zu_wenige_rueckbauspezialisten,Huerde,True,True
D4.3.3,h_d4_3_3_zu_wenige_technische_bewerter,Huerde,True,True
D4.3.4,h_d4_3_4_zu_wenig_datenmanagement_personal,Huerde,True,True
D5,huek_d5_bewusstsein_commitment,HuerdeKategorie,False,True
D5.1,h_d5_1_begrenztes_bewusstsein_fuer_reuse_chancen,Huerde,True,True
D5.2,h_d5_2_begrenztes_bewusstsein_fuer_digitale_systeme,Huerde,True,True
D5.3,h_d5_3_begrenztes_bewusstsein_fuer_verfuegbare_inventare,Huerde,True,True
D5.4,h_d5_4_begrenztes_bewusstsein_fuer_rechtliche_anforderungen,Huerde,True,True
D5.5,h_d5_5_schwaches_stakeholder_commitment,Huerde,True,True
D5.6,h_d5_6_schwache_langzeit_beteiligung,Huerde,True,True
D5.7,h_d5_7_geringe_bereitschaft_zur_datenteilung,Huerde,True,True
D6,huek_d6_adoptionswiderstand,HuerdeKategorie,False,True
D6.1,h_d6_1_widerstand_gegen_prozessaenderung,Huerde,True,True
D6.2,h_d6_2_zurueckhaltung_bei_digitaler_technologie,Huerde,True,True
D6.3,h_d6_3_praeferenz_fuer_etablierte_beschaffung,Huerde,True,True
D6.4,h_d6_4_kulturelle_praeferenz_fuer_neuprodukte,Huerde,True,True
D6.5,h_d6_5_geringer_wahrgenommener_digitaler_wert,Huerde,True,True
D6.6,h_d6_6_ungleiche_verteilung_digitaler_vorteile,Huerde,True,True
D6.7,h_d6_7_wahrgenommene_last_ohne_direkten_ertrag,Huerde,True,True
E,huek_e_wirtschaftlichkeit_marktreife,HuerdeKategorie,False,True
E1,huek_e1_digitale_implementierungskosten,HuerdeKategorie,False,True
E1.1,h_e1_1_vermessungskosten,Huerde,True,True
E1.2,h_e1_2_scan_kosten,Huerde,True,True
E1.3,h_e1_3_bim_modellierungskosten,Huerde,True,True
E1.4,h_e1_4_softwareentwicklungskosten,Huerde,True,True
E1.5,h_e1_5_softwarelizenzkosten,Huerde,True,True
E1.6,h_e1_6_integrationskosten,Huerde,True,True
E1.7,h_e1_7_datenbereinigungskosten,Huerde,True,True
E1.8,h_e1_8_pruefkosten,Huerde,True,True
E1.9,h_e1_9_cybersicherheitskosten,Huerde,True,True
E1.10,h_e1_10_schulungskosten,Huerde,True,True
E1.11,h_e1_11_hosting_wartungskosten,Huerde,True,True
E2,huek_e2_begrenzte_finanzkraft,HuerdeKategorie,False,True
E2.1,h_e2_1_kmu_finanzierungsengpaesse,Huerde,True,True
E2.2,h_e2_2_kommunale_finanzierungsengpaesse,Huerde,True,True
E2.3,h_e2_3_engpaesse_kleiner_reuse_haendler,Huerde,True,True
E2.4,h_e2_4_begrenzte_eigentuemer_investition,Huerde,True,True
E2.5,h_e2_5_oekonomie_geringwertiger_bauteile,Huerde,True,True
E3,huek_e3_schwache_anreize,HuerdeKategorie,False,True
E3.1,h_e3_1_billige_entsorgung,Huerde,True,True
E3.2,h_e3_2_billige_neuprodukte,Huerde,True,True
E3.3,h_e3_3_umweltkosten_nicht_eingepreist,Huerde,True,True
E3.4,h_e3_4_keine_belohnung_fuer_produktdaten_erstellung,Huerde,True,True
E3.5,h_e3_5_keine_belohnung_fuer_lebenszyklus_aktualisierung,Huerde,True,True
E3.6,h_e3_6_keine_wiederverwendungs_beschaffungspflicht,Huerde,True,True
E4,huek_e4_unsichere_plattform_rendite,HuerdeKategorie,False,True
E4.1,h_e4_1_unklares_erloesmodell,Huerde,True,True
E4.2,h_e4_2_unsichere_transaktionsprovision,Huerde,True,True
E4.3,h_e4_3_unsichere_abonnement_nachfrage,Huerde,True,True
E4.4,h_e4_4_unsicherer_wert_des_wirkungs_reportings,Huerde,True,True
E4.5,h_e4_5_unsichere_vermiedene_kosten_vorteile,Huerde,True,True
E4.6,h_e4_6_plattformwert_auf_verschiedene_akteure_verteilt,Huerde,True,True
E5,huek_e5_unreife_reuse_maerkte,HuerdeKategorie,False,True
E5.1,h_e5_1_begrenzte_kaeufernachfrage,Huerde,True,True
E5.2,h_e5_2_unregelmaessiges_angebot,Huerde,True,True
E5.3,h_e5_3_begrenzter_geografischer_marktzugang,Huerde,True,True
E5.4,h_e5_4_geringes_transaktionsvolumen,Huerde,True,True
E5.5,h_e5_5_schwache_preistransparenz,Huerde,True,True
E5.6,h_e5_6_inkonsistente_produktqualitaet,Huerde,True,True
E5.7,h_e5_7_schwache_gewaehrleistungsverfuegbarkeit,Huerde,True,True
E6,huek_e6_netzwerkdichte_grenzen,HuerdeKategorie,False,True
E6.1,h_e6_1_zu_wenige_aktive_anbieter,Huerde,True,True
E6.2,h_e6_2_zu_wenige_aktive_kaeufer,Huerde,True,True
E6.3,h_e6_3_zu_wenige_vollstaendige_listungen,Huerde,True,True
E6.4,h_e6_4_zu_wenige_erfolgreiche_matches,Huerde,True,True
E6.5,h_e6_5_zu_wenige_wiederholungstransaktionen,Huerde,True,True
E6.6,h_e6_6_unzureichende_regionale_dichte,Huerde,True,True
F,huek_f_regulierung_konformitaet_risiko,HuerdeKategorie,False,True
F1,huek_f1_regulatorische_unsicherheit,HuerdeKategorie,False,True
F1.1,h_f1_1_unzureichende_reuse_spezifische_regulierung,Huerde,True,True
F1.2,h_f1_2_inkonsistente_nationale_regionale_regeln,Huerde,True,True
F1.3,h_f1_3_unklarer_produkt_vs_abfall_status,Huerde,True,True
F1.4,h_f1_4_unklare_regeln_fuer_second_life_produkte,Huerde,True,True
F1.5,h_f1_5_sich_entwickelnde_digital_product_passport_regeln,Huerde,True,True
F1.6,h_f1_6_produktkategorie_spezifische_regulatorische_unterschiede,Huerde,True,True
F2,huek_f2_dokumentations_konformitaet,HuerdeKategorie,False,True
F2.1,h_f2_1_fehlende_originalerklaerung,Huerde,True,True
F2.2,h_f2_2_fehlende_konformitaetsdokumentation,Huerde,True,True
F2.3,h_f2_3_fehlende_technische_unterlage,Huerde,True,True
F2.4,h_f2_4_fehlende_produkthistorie,Huerde,True,True
F2.5,h_f2_5_fehlende_verwendungszweck_information,Huerde,True,True
F2.6,h_f2_6_fehlende_gefahrstoff_information,Huerde,True,True
F3,huek_f3_zertifizierungs_unsicherheit,HuerdeKategorie,False,True
F3.1,h_f3_1_unklare_zertifikatsgueltigkeit_nach_ausbau,Huerde,True,True
F3.2,h_f3_2_unklare_nachpruefungspflicht,Huerde,True,True
F3.3,h_f3_3_unklarer_konformitaetsbewertungs_weg,Huerde,True,True
F3.4,h_f3_4_unklare_zustaendige_bewertungsstelle,Huerde,True,True
F3.5,h_f3_5_unklare_anerkennung_historischer_pruefergebnisse,Huerde,True,True
F3.6,h_f3_6_andere_anforderungen_bei_geaenderter_nutzung,Huerde,True,True
F4,huek_f4_haftungs_unsicherheit,HuerdeKategorie,False,True
F4.1,h_f4_1_unklare_vorbesitzer_haftung,Huerde,True,True
F4.2,h_f4_2_unklare_hersteller_haftung,Huerde,True,True
F4.3,h_f4_3_unklare_plattform_haftung,Huerde,True,True
F4.4,h_f4_4_unklare_auditor_haftung,Huerde,True,True
F4.5,h_f4_5_unklare_labor_haftung,Huerde,True,True
F4.6,h_f4_6_unklare_planer_ingenieur_haftung,Huerde,True,True
F4.7,h_f4_7_unklare_auftragnehmer_einbau_haftung,Huerde,True,True
F5,huek_f5_gewaehrleistungs_unsicherheit,HuerdeKategorie,False,True
F5.1,h_f5_1_keine_standard_reuse_produktgewaehrleistung,Huerde,True,True
F5.2,h_f5_2_unklarer_gewaehrleistungsgeber,Huerde,True,True
F5.3,h_f5_3_unklare_gewaehrleistungsdauer,Huerde,True,True
F5.4,h_f5_4_unklare_gewaehrleistungsausschluesse,Huerde,True,True
F5.5,h_f5_5_produktspezifische_gewaehrleistungsunterschiede,Huerde,True,True
F6,huek_f6_technisches_risiko,HuerdeKategorie,False,True
F6.1,h_f6_1_unsichere_leistung,Huerde,True,True
F6.2,h_f6_2_unsicherer_zustand,Huerde,True,True
F6.3,h_f6_3_unsichere_restnutzungsdauer,Huerde,True,True
F6.4,h_f6_4_unsichere_sicherheit,Huerde,True,True
F6.5,h_f6_5_unsichere_kompatibilitaet_mit_neuer_nutzung,Huerde,True,True
F6.6,h_f6_6_unsichere_kuenftige_wartungsanforderungen,Huerde,True,True
G,huek_g_angebot_matching_transaktionskoordination,HuerdeKategorie,False,True
G1,huek_g1_angebotssichtbarkeit,HuerdeKategorie,False,True
G1.1,h_g1_1_produkte_nicht_inventarisiert,Huerde,True,True
G1.2,h_g1_2_listungen_zu_spaet_veroeffentlicht,Huerde,True,True
G1.3,h_g1_3_kuenftige_verfuegbarkeit_nicht_erfasst,Huerde,True,True
G1.4,h_g1_4_standort_nicht_erfasst,Huerde,True,True
G1.5,h_g1_5_menge_nicht_bestaetigt,Huerde,True,True
G1.6,h_g1_6_verfuegbarkeitsstatus_nicht_aktualisiert,Huerde,True,True
G2,huek_g2_nachfragesichtbarkeit,HuerdeKategorie,False,True
G2.1,h_g2_1_projektanforderungen_nicht_veroeffentlicht,Huerde,True,True
G2.2,h_g2_2_benoetigte_mengen_nicht_spezifiziert,Huerde,True,True
G2.3,h_g2_3_masstoleranzen_nicht_spezifiziert,Huerde,True,True
G2.4,h_g2_4_technische_kriterien_nicht_spezifiziert,Huerde,True,True
G2.5,h_g2_5_benoetigte_termine_nicht_spezifiziert,Huerde,True,True
G2.6,h_g2_6_entwurfsflexibilitaet_nicht_abgebildet,Huerde,True,True
G3,huek_g3_kompatibilitaets_mismatch,HuerdeKategorie,False,True
G3.1,h_g3_1_produkttyp_mismatch,Huerde,True,True
G3.2,h_g3_2_mengen_mismatch,Huerde,True,True
G3.3,h_g3_3_mass_mismatch,Huerde,True,True
G3.4,h_g3_4_material_mismatch,Huerde,True,True
G3.5,h_g3_5_leistungs_mismatch,Huerde,True,True
G3.6,h_g3_6_zustands_mismatch,Huerde,True,True
G3.7,h_g3_7_zertifizierungs_mismatch,Huerde,True,True
G3.8,h_g3_8_standort_mismatch,Huerde,True,True
G3.9,h_g3_9_preis_mismatch,Huerde,True,True
G4,huek_g4_verfuegbarkeitsunsicherheit,HuerdeKategorie,False,True
G4.1,h_g4_1_geschaetzter_aber_unbestaetigter_bestand,Huerde,True,True
G4.2,h_g4_2_unsichere_rueckgewinnungsausbeute,Huerde,True,True
G4.3,h_g4_3_abbruchverzoegerung,Huerde,True,True
G4.4,h_g4_4_eigentumswechsel,Huerde,True,True
G4.5,h_g4_5_projektabsage,Huerde,True,True
G4.6,h_g4_6_beschaedigung_vor_rueckgewinnung,Huerde,True,True
G4.7,h_g4_7_kontamination_entdeckt,Huerde,True,True
G4.8,h_g4_8_konkurrierende_reservierung,Huerde,True,True
G5,huek_g5_zeitliche_diskrepanz,HuerdeKategorie,False,True
G5.1,h_g5_1_angebot_vor_nachfrage_verfuegbar,Huerde,True,True
G5.2,h_g5_2_angebot_nach_beschaffungsfrist_verfuegbar,Huerde,True,True
G5.3,h_g5_3_freigabe_zu_spaet_abgeschlossen,Huerde,True,True
G5.4,h_g5_4_reservierungszeitraum_zu_kurz,Huerde,True,True
G5.5,h_g5_5_bauprogramm_inkompatibel_mit_rueckgewinnung,Huerde,True,True
G6,huek_g6_transaktionsvertrauen,HuerdeKategorie,False,True
G6.1,h_g6_1_misstrauen_gegenueber_verkaeufer,Huerde,True,True
G6.2,h_g6_2_misstrauen_gegenueber_plattform,Huerde,True,True
G6.3,h_g6_3_misstrauen_gegenueber_zustandsangabe,Huerde,True,True
G6.4,h_g6_4_misstrauen_gegenueber_leistungsdaten,Huerde,True,True
G6.5,h_g6_5_misstrauen_gegenueber_zertifizierung,Huerde,True,True
G6.6,h_g6_6_misstrauen_gegenueber_kuenftiger_verfuegbarkeit,Huerde,True,True
G7,huek_g7_transaktionsmanagement_grenzen,HuerdeKategorie,False,True
G7.1,h_g7_1_kein_reservierungsmechanismus,Huerde,True,True
G7.2,h_g7_2_keine_bedingte_reservierung,Huerde,True,True
G7.3,h_g7_3_kein_freigabestatus,Huerde,True,True
G7.4,h_g7_4_kein_substitutionsprozess,Huerde,True,True
G7.5,h_g7_5_kein_eigentumsuebergangs_workflow,Huerde,True,True
G7.6,h_g7_6_kein_streitbeilegungsprozess,Huerde,True,True
G7.7,h_g7_7_keine_erfassung_fehlgeschlagener_transaktionen,Huerde,True,True
H,huek_h_physische_rueckgewinnung_ausfuehrung,HuerdeKategorie,False,True
H1,huek_h1_rueckgewinnbarkeit_durch_konstruktion,HuerdeKategorie,False,True
H1.1,h_h1_1_irreversible_klebeverbindungen,Huerde,True,True
H1.2,h_h1_2_unzugaengliche_befestigungsmittel,Huerde,True,True
H1.3,h_h1_3_verbundbauteile,Huerde,True,True
H1.4,h_h1_4_verdeckte_bauteile,Huerde,True,True
H1.5,h_h1_5_zerstoerende_verbindungen,Huerde,True,True
H1.6,h_h1_6_nichtstandardisierte_fuegungen,Huerde,True,True
H2,huek_h2_demontierbarkeit,HuerdeKategorie,False,True
H2.1,h_h2_1_hoher_arbeitsaufwand,Huerde,True,True
H2.2,h_h2_2_lange_demontagedauer,Huerde,True,True
H2.3,h_h2_3_spezialgeraetebedarf,Huerde,True,True
H2.4,h_h2_4_eingeschraenkte_baustellenzugaenglichkeit,Huerde,True,True
H2.5,h_h2_5_sicherheitsrestriktionen,Huerde,True,True
H2.6,h_h2_6_unvollstaendige_demontageanleitung,Huerde,True,True
