code	name_de	name_en	definition_de
A3.2	Fehlerhafte Daten	Inaccurate data	Daten enthalten falsche Werte.
A3.3	Veraltete Daten	Outdated data	Daten sind nicht mehr aktuell.
A3.4	Inkonsistente Daten	Inconsistent data	Daten widersprechen sich zwischen Quellen.
A3.5	Ungültige Daten	Invalid data	Daten verletzen erwartete Formate oder Regeln.
A3.6	Ungeprüfte Daten	Unverified data	Daten wurden nicht geprüft oder verifiziert.
A3.7	Fehlende Provenienz	Missing provenance	Die Provenienz der Daten ist nicht dokumentiert.
A3.8	Unklares Konfidenzniveau	Unclear confidence level	Das Konfidenzniveau der Daten ist nicht angegeben.
A3.9	Unklare Messmethode	Unclear measurement method	Die verwendete Messmethode ist nicht angegeben.
A4	Informations-Lebenszyklus-Management	Information lifecycle management	Erfassung, Pflege, Versionierung und Erhalt von Daten über den Lebenszyklus.
A4.1	Erschwerte Datenerfassung	Difficult data capture	Die Erfassung von Bauteildaten ist aufwendig.
A4.2	Erschwerte Datentransformation	Difficult data transformation	Die Umwandlung von Daten zwischen Formaten ist aufwendig.
A4.3	Duplikat-Datensätze	Duplicate records	Dasselbe Bauteil ist mehrfach erfasst.
A4.4	Schwache Versionskontrolle	Weak version control	Versionen von Datensätzen werden kaum kontrolliert.
A4.5	Schwache Änderungsverfolgung	Weak change tracking	Änderungen an Daten werden kaum nachverfolgt.
A4.6	Fehlende Lebenszyklus-Aktualisierungen	Missing lifecycle updates	Daten werden über den Lebenszyklus nicht aktualisiert.
A4.7	Erschwerte Archivierung	Difficult archival	Die Archivierung von Daten ist erschwert.
A4.8	Langzeit-Erhaltungsrisiko	Long-term preservation risk	Risiko, dass Daten langfristig nicht erhalten bleiben.
A4.8.1	Obsolete Formate	Obsolete formats	Daten liegen in veralteten, nicht mehr lesbaren Formaten vor.
A4.8.2	Defekte Dokumentverweise	Broken document links	Verweise auf Dokumente führen ins Leere.
A4.8.3	Plattformbetreiber-Schließung	Platform-provider closure	Der Plattformbetreiber stellt den Betrieb ein.
A4.8.4	Verlust bei Datenmigration	Loss during data migration	Daten gehen bei der Migration zwischen Systemen verloren.
B	Digitale Interoperabilität & Plattformarchitektur	Digital interoperability and platform architecture	Hürden bei Datenaustausch, Systemkopplung und Architektur digitaler Plattformen.
B1	Technische Interoperabilität	Technical interoperability	Ob Softwaresysteme technisch Daten miteinander austauschen können.
B1.1	Inkompatible Softwaresysteme	Incompatible software systems	Softwaresysteme sind technisch nicht miteinander kompatibel.
B1.2	Fehlende APIs	Missing APIs	Systeme bieten keine API für den Datenaustausch.
B1.3	Proprietäre Schnittstellen	Proprietary interfaces	Schnittstellen sind proprietär und nicht offen.
B1.4	Proprietäre Dateiformate	Proprietary file formats	Daten liegen in proprietären, geschlossenen Dateiformaten vor.
B1.5	Geschlossene digitale Silos	Closed digital silos	Daten sind in geschlossenen digitalen Silos eingeschlossen.
B1.6	Begrenzter Import/Export	Limited import and export	Import und Export von Daten sind stark begrenzt.
B1.7	Instabile Systemintegrationen	Unstable system integrations	Integrationen zwischen Systemen sind instabil.
B2	Strukturelle Interoperabilität	Structural interoperability	Ob Datenstrukturen und Formate zwischen Systemen zusammenpassen.
B2.1	Inkompatible Schemata	Incompatible schemas	Das Schema der Systeme ist nicht kompatibel.
B2.2	Inkompatible Feldstrukturen	Incompatible field structures	Feldstrukturen der Systeme passen nicht zusammen.
B2.3	Inkompatible Dateiformate	Incompatible file formats	Dateiformate der Systeme sind nicht kompatibel.
B2.4	Inkonsistente Einheiten	Inconsistent units	Systeme verwenden uneinheitliche Maßeinheiten.
B2.5	Inkonsistente Property-Strukturen	Inconsistent property structures	Property-Strukturen der Systeme sind uneinheitlich.
B2.6	Inkonsistente Validierungsregeln	Inconsistent validation rules	Validierungsregeln unterscheiden sich zwischen Systemen.
B3	Semantische Interoperabilität	Semantic interoperability	Ob Systeme die Bedeutung von Daten einheitlich verstehen.
B3.1	Inkonsistente Terminologie	Inconsistent terminology	Systeme verwenden uneinheitliche Begriffe für dieselbe Sache.
B3.2	Klassifikations-Mismatch	Classification mismatch	Systeme klassifizieren dasselbe Bauteil unterschiedlich.
B3.3	Bauteilkategorie-Mismatch	Component-category mismatch	Bauteilkategorien stimmen zwischen Systemen nicht überein.
B3.4	Property-Definitions-Mismatch	Property-definition mismatch	Definitionen von Eigenschaften unterscheiden sich zwischen Systemen.
B3.5	Unterschiedliche Zustandsvokabulare	Different condition vocabularies	Systeme nutzen unterschiedliche Vokabulare für den Zustand.
B3.6	Unterschiedliche Leistungsdefinitionen	Different performance definitions	Systeme definieren Leistung unterschiedlich.
B3.7	Unterschiedliche Lebenszyklus-Status-Definitionen	Different lifecycle-status definitions	Systeme definieren den Lebenszyklus-Status unterschiedlich.
B4	Identitäts-Interoperabilität	Identity interoperability	Ob ein Bauteil systemübergreifend eindeutig identifizierbar ist.
B4.1	Fehlende persistente Identifikatoren	Missing persistent identifiers	Bauteilen fehlen dauerhafte, stabile Identifikatoren.
B4.2	Doppelte Bauteil-Identitäten	Duplicate component identities	Dasselbe Bauteil hat mehrere Identitäten.
B4.3	Identifikator-Änderungen zwischen Systemen	Identifier changes between systems	Der Identifikator ändert sich beim Wechsel zwischen Systemen.
B4.4	Gebrochene physisch-digitale Verknüpfung	Broken physical–digital link	Die Verknüpfung zwischen physischem Bauteil und Datensatz ist gebrochen.
B4.5	Unklare Identifikator-Granularität	Unclear identifier granularity	Unklar, auf welcher Ebene ein Identifikator vergeben wird.
B4.6	Fehlende Chargen-zu-Bauteil-Beziehungen	Missing batch-to-component relationships	Beziehungen zwischen Charge und Einzelbauteil fehlen.
B5	Workflow-Interoperabilität	Workflow interoperability	Ob Arbeitsschritte über Systemgrenzen hinweg verbunden sind.
B5.1	Audit von Entwurf entkoppelt	Audit disconnected from design	Bestandsaufnahme und Entwurf sind nicht verbunden.
B5.2	Entwurf von Marktplatz entkoppelt	Design disconnected from marketplace	Entwurf und Marktplatz sind nicht verbunden.
B5.3	Marktplatz von Zertifizierung entkoppelt	Marketplace disconnected from certification	Marktplatz und Zertifizierung sind nicht verbunden.
B5.4	Matching von Beschaffung entkoppelt	Matching disconnected from procurement	Matching und Beschaffung sind nicht verbunden.
B5.5	Beschaffung von Logistik entkoppelt	Procurement disconnected from logistics	Beschaffung und Logistik sind nicht verbunden.
B5.6	Einbau von Lebenszyklus-Daten entkoppelt	Installation disconnected from lifecycle records	Einbau und Lebenszyklus-Daten sind nicht verbunden.
B5.7	Wiederholte manuelle Dateneingabe	Repeated manual data entry	Daten müssen mehrfach manuell eingegeben werden.
B5.8	Informationsverlust bei Übergabe	Information loss during handover	Bei Übergaben gehen Informationen verloren.
B6	Plattform-Funktionsgrenzen	Platform functional limitations	Grenzen der Funktionen digitaler Wiederverwendungsplattformen.
B6.1	Unzureichende Inventar-Werkzeuge	Inadequate inventory tools	Werkzeuge zur Bestandserfassung sind unzureichend.
B6.2	Unzureichende Zustandsbewertungs-Werkzeuge	Inadequate condition-assessment tools	Werkzeuge zur Zustandsbewertung sind unzureichend.
B6.3	Unzureichendes technisches Matching	Inadequate technical matching	Technisches Matching der Bauteile ist unzureichend.
B6.4	Unzureichendes toleranzbasiertes Matching	Inadequate tolerance-based matching	Toleranzbasiertes Matching der Bauteile ist unzureichend.
B6.5	Unzureichende Rückgewinnungsplanung	Inadequate recovery planning	Werkzeuge zur Rückgewinnungsplanung sind unzureichend.
B6.6	Unzureichende Dokumentenprüfung	Inadequate document verification	Werkzeuge zur Dokumentenprüfung sind unzureichend.
B6.7	Unzureichendes Reservierungsmanagement	Inadequate reservation management	Das Reservierungsmanagement ist unzureichend.
B6.8	Unzureichende Logistik-Integration	Inadequate logistics integration	Die Anbindung der Logistik ist unzureichend.
B6.9	Unzureichende Lebenszyklus-Verfolgung	Inadequate lifecycle tracking	Die Verfolgung über den Lebenszyklus ist unzureichend.
B6.10	Unzureichendes Wirkungs-Reporting	Inadequate impact reporting	Das Reporting der Umweltwirkung ist unzureichend.
B7	Technologie-Nachhaltigkeit	Technology sustainability	Ob eine digitale Plattform langfristig tragfähig bleibt.
B7.1	Abhängigkeit von Pilotförderung	Dependence on pilot funding	Die Plattform hängt von befristeter Pilotförderung ab.
B7.2	Unklare Wartungs-Verantwortung	Unclear maintenance ownership	Unklar, wer die Plattform langfristig wartet.
B7.3	Instabile Plattform-Einnahmen	Unstable platform revenue	Die Einnahmen der Plattform sind instabil.
B7.4	Software-Obsoleszenz	Software obsolescence	Die eingesetzte Software veraltet.
B7.5	Sinkende Nutzerbeteiligung	Declining user participation	Die Nutzerbeteiligung nimmt ab.
B7.6	Integrations-Degradation	Integration degradation	Integrationen verschlechtern sich mit der Zeit.
B7.7	Digitaler Energieverbrauch	Digital energy consumption	Der digitale Betrieb verbraucht Energie.
B7.8	Digitalgeräte-Entsorgungswirkungen	Digital-device disposal impacts	Die Entsorgung digitaler Geräte verursacht Umweltwirkungen.
C	Datenverwaltung & Vertrauensinfrastruktur	Data governance and trust infrastructure	Übergeordnete Hürden bei Datenverwaltung, Rollen und Vertrauen in Bauteildaten.
C1	Dateneigentum	Data ownership	Unklarheiten darüber, wem Bauteildaten gehören.
C1.1	Unklarer Bauteildatensatz-Eigentümer	Unclear component-record owner	Unklar, wer Eigentümer des Bauteildatensatzes ist.
C1.2	Unklares Eigentum nach Transfer	Unclear ownership after transfer	Unklar, wem Daten nach einem Eigentumsübergang gehören.
C1.3	Unklare Lieferant-Plattform-Datengrenze	Unclear supplier–platform data boundary	Datengrenze zwischen Lieferant und Plattform ist unklar.
C1.4	Unklares Eigentum abgeleiteter Daten	Unclear ownership of derived data	Eigentum an abgeleiteten oder aggregierten Daten ist unklar.
C1.5	Unklares Eigentum von Inspektionsergebnissen	Unclear ownership of inspection results	Eigentum an Inspektions- und Prüfergebnissen ist unklar.
C2	Datenverantwortung	Data responsibility	Unklarheiten, wer für Bauteildaten verantwortlich ist.
C2.1	Kein zugewiesener Data Steward	No assigned data steward	Kein Data Steward für die Datenpflege benannt.
C2.2	Unklare Datensatz-Erstellungsverantwortung	Unclear record-creation responsibility	Unklar, wer Datensätze erstellen muss.
C2.3	Unklare Prüfverantwortung	Unclear verification responsibility	Unklar, wer Daten prüfen und verifizieren muss.
C2.4	Unklare Korrekturverantwortung	Unclear correction responsibility	Unklar, wer fehlerhafte Daten korrigieren muss.
C2.5	Unklare Zustands-Aktualisierungsverantwortung	Unclear condition-update responsibility	Unklar, wer den Zustand aktualisieren muss.
C2.6	Unklare Zertifizierungs-Aktualisierungsverantwortung	Unclear certification-update responsibility	Unklar, wer Zertifizierungen aktualisieren muss.
C2.7	Unklare Verantwortung nach Einbau	Unclear post-installation responsibility	Unklar, wer nach dem Einbau verantwortlich ist.
C3	Zugriffs-Governance	Access governance	Regelung, wer wann auf welche Daten zugreifen darf.
C3.1	Fehlende rollenbasierte Zugriffskontrolle	Missing role-based access	Keine rollenbasierte Zugriffskontrolle vorhanden.
C3.2	Übermäßige öffentliche Offenlegung	Excessive public disclosure	Zu viele Daten werden öffentlich offengelegt.
C3.3	Eingeschränkter Zugriff auf nötige Nachweise	Restricted access to necessary evidence	Zugriff auf nötige Nachweise ist eingeschränkt.
C3.4	Unklare Zugriffsrechte nach Eigentumsübergang	Unclear access rights after ownership transfer	Zugriffsrechte nach Eigentumsübergang sind unklar.
C3.5	Inkonsistente Berechtigungen über Systeme	Inconsistent permissions across systems	Berechtigungen unterscheiden sich zwischen Systemen.
C4	Datensicherheit	Data security	Schutz der Bauteildaten vor Manipulation und Verlust.
C4.1	Unautorisierte Änderung	Unauthorized modification	Daten können unautorisiert geändert werden.
C4.2	Gefälschte Bauteil-Identität	Fraudulent component identity	Bauteil-Identitäten können gefälscht werden.
C4.3	Gefälschte Zertifikate	Fraudulent certificates	Zertifikate können gefälscht werden.
C4.4	Schwache Nutzer-Authentifizierung	Weak user authentication	Die Nutzer-Authentifizierung ist zu schwach.
C4.5	Schwache API-Sicherheit	Weak API security	API-Schnittstellen sind unzureichend gesichert.
C4.6	Unzureichendes Audit-Logging	Inadequate audit logging	Zugriffe werden nicht ausreichend protokolliert.
C4.7	Unzureichende Wiederherstellung nach Datenverlust	Inadequate recovery from data loss	Wiederherstellung nach Datenverlust ist unzureichend.
C5	Vertraulichkeit & Datenschutz	Confidentiality and privacy	Schutzwürdige oder vertrauliche Daten begrenzen die Weitergabe.
C5.1	Kommerzielle Vertraulichkeit	Commercial confidentiality	Kommerzielle Vertraulichkeit begrenzt die Datenteilung.
C5.2	Schutz geistigen Eigentums	Intellectual-property restrictions	Schutz geistigen Eigentums begrenzt die Offenlegung.
C5.3	Hersteller-Geschäftsgeheimnisse	Manufacturer trade secrets	Hersteller schützen ihre Geschäftsgeheimnisse.
C5.4	Personendatenschutz-Bedenken	Personal-data concerns	Personenbezogene Daten müssen geschützt werden.
C5.5	Betriebssicherheits-Bedenken	Operational-security concerns	Betriebssicherheit begrenzt die Offenlegung von Daten.
C5.6	Eingeschränkte Zusammensetzungs-/Lieferantendaten	Restricted composition or supplier data	Zusammensetzungs- und Lieferantendaten sind eingeschränkt.
C6	Evidenz-Autorität	Evidence authority	Verlässlichkeit und Autorität der vorliegenden Nachweise.
C6.1	Selbstauskunft ohne Prüfung	Self-declared information without verification	Angaben sind selbstdeklariert und ungeprüft.
C6.2	Unklare Autorität der Prüfer	Unclear authority of assessors	Die Autorität der Prüfer ist unklar.
C6.3	Widersprüchliche Evidenzquellen	Conflicting evidence sources	Evidenzquellen widersprechen sich.
C6.4	Abgelaufene Evidenz	Expired evidence	Vorliegende Nachweise sind abgelaufen.
C6.5	Evidenz nur für vorherige Nutzung gültig	Evidence valid only for previous use	Nachweise gelten nur für die vorherige Nutzung.
C6.6	Keine Unterscheidung geschätzt/geprüft	No distinction between estimated and verified data	Geschätzte und geprüfte Daten sind nicht unterschieden.
D	Organisatorische & Kapazitätsbedingungen	Organizational and capability conditions	Übergeordnete Hürden aus Organisation, Rollen, Kompetenzen und Akzeptanz.
D1	Organisatorische Fragmentierung	Organizational fragmentation	Aufsplitterung von Akteuren und Verantwortung über den Lebenszyklus.
D1.1	Temporäre Projektteams	Temporary project teams	Projektteams bestehen nur temporär.
D1.2	Getrennte Vertragspakete	Separate contractual packages	Leistungen sind auf getrennte Vertragspakete verteilt.
D1.3	Fragmentierte Lebenszyklus-Verantwortlichkeiten	Fragmented lifecycle responsibilities	Verantwortung über den Lebenszyklus ist fragmentiert.
D1.4	Entkoppelte Lieferkettenakteure	Disconnected supply-chain actors	Lieferkettenakteure sind untereinander entkoppelt.
D1.5	Schwache Zusammenarbeit Quell-/Empfangsprojekt	Weak collaboration between source and receiving projects	Quell- und Empfangsprojekt arbeiten kaum zusammen.
D1.6	Informationsverlust bei organisatorischen Übergaben	Information loss at organizational handovers	Bei organisatorischen Übergaben gehen Informationen verloren.
D2	Prozess-Governance	Process governance	Fehlende gemeinsame Verfahren und Protokolle.
D2.1	Keine harmonisierten Audit-Verfahren	Lack of harmonized audit procedures	Es fehlen harmonisierte Audit-Verfahren.
D2.2	Keine harmonisierten Prüfverfahren	Lack of harmonized verification procedures	Es fehlen harmonisierte Prüfverfahren.
D2.3	Keine harmonisierten Aktualisierungsverfahren	Lack of harmonized update procedures	Es fehlen harmonisierte Aktualisierungsverfahren.
D2.4	Keine harmonisierten Streitbeilegungsverfahren	Lack of harmonized dispute procedures	Es fehlen harmonisierte Streitbeilegungsverfahren.
D2.5	Keine gemeinsamen Data-Governance-Protokolle	Lack of shared data-governance protocols	Es fehlen gemeinsame Data-Governance-Protokolle.
D3	Fehlende organisatorische Rollen	Missing organizational roles	Für Reuse nötige Rollen sind nicht besetzt.
D3.1	Fehlender Reuse-Koordinator	Missing reuse coordinator	Es fehlt ein Reuse-Koordinator.
D3.2	Fehlender Material-Auditor	Missing material auditor	Es fehlt ein Material-Auditor.
D3.3	Fehlender Data Steward	Missing data steward	Es fehlt ein Data Steward.
D3.4	Fehlender Bauteil-Bewerter	Missing component assessor	Es fehlt ein Bauteil-Bewerter.
D3.5	Fehlender Passport-Manager	Missing passport manager	Es fehlt ein Passport-Manager.
D3.6	Fehlender Reuse-Beschaffungsspezialist	Missing reuse procurement specialist	Es fehlt ein Reuse-Beschaffungsspezialist.
D3.7	Fehlender Rückbauplaner	Missing deconstruction planner	Es fehlt ein Rückbauplaner.
D4	Kompetenzen & Personal	Skills and workforce	Fehlende Kompetenzen und unzureichende Personalkapazität.
D4.1	Unzureichende digitale Kompetenzen	Insufficient digital skills	Digitale Kompetenzen für Reuse-Werkzeuge fehlen.
D4.1.1	BIM/openBIM-Kompetenzlücken	BIM and openBIM capability gaps	Kompetenzlücken bei BIM und openBIM.
D4.1.2	Datenbank-Kompetenzlücken	Database capability gaps	Kompetenzlücken im Umgang mit Datenbanken.
D4.1.3	API-Kompetenzlücken	API capability gaps	Kompetenzlücken bei APIs und Schnittstellen.
D4.1.4	Data-Governance-Kompetenzlücken	Data-governance capability gaps	Kompetenzlücken in der Daten-Governance.
D4.2	Unzureichende Reuse-Kompetenzen	Insufficient reuse skills	Fachliche Reuse-Kompetenzen fehlen.
D4.2.1	Materialidentifikations-Lücken	Material-identification gaps	Lücken bei der Materialidentifikation.
D4.2.2	Zustandsbewertungs-Lücken	Condition-assessment gaps	Lücken bei der Zustandsbewertung.
D4.2.3	Rückbauplanungs-Lücken	Deconstruction-planning gaps	Lücken bei der Rückbauplanung.
D4.2.4	Reuse-Beschaffungs-Lücken	Reuse-procurement gaps	Lücken bei der Reuse-Beschaffung.
D4.2.5	Regulatorisches-Wissen-Lücken	Regulatory-knowledge gaps	Lücken beim regulatorischen Wissen.
D4.3	Unzureichende Personalkapazität	Insufficient workforce capacity	Zu wenig qualifiziertes Personal verfügbar.
D4.3.1	Zu wenige qualifizierte Auditoren	Too few qualified auditors	Es gibt zu wenige qualifizierte Auditoren.
D4.3.2	Zu wenige Rückbauspezialisten	Too few deconstruction specialists	Es gibt zu wenige Rückbauspezialisten.
D4.3.3	Zu wenige technische Bewerter	Too few technical assessors	Es gibt zu wenige technische Bewerter.
D4.3.4	Zu wenig Datenmanagement-Personal	Too few data-management personnel	Es gibt zu wenig Datenmanagement-Personal.
D5	Bewusstsein & Commitment	Awareness and commitment	Geringes Bewusstsein und schwaches Engagement für Reuse.
D5.1	Begrenztes Bewusstsein für Reuse-Chancen	Limited awareness of reuse opportunities	Geringes Bewusstsein für Reuse-Chancen.
D5.2	Begrenztes Bewusstsein für digitale Systeme	Limited awareness of digital systems	Geringes Bewusstsein für digitale Systeme.
D5.3	Begrenztes Bewusstsein für verfügbare Inventare	Limited awareness of available inventories	Geringes Bewusstsein für verfügbare Inventare.
D5.4	Begrenztes Bewusstsein für rechtliche Anforderungen	Limited awareness of legal requirements	Geringes Bewusstsein für rechtliche Anforderungen.
D5.5	Schwaches Stakeholder-Commitment	Weak stakeholder commitment	Das Commitment der Akteure ist schwach.
D5.6	Schwache Langzeit-Beteiligung	Weak long-term participation	Die langfristige Beteiligung ist schwach.
D5.7	Geringe Bereitschaft zur Datenteilung	Low willingness to share data	Geringe Bereitschaft, Daten zu teilen.
D6	Adoptionswiderstand	Adoption resistance	Widerstand gegen die Einführung digitaler Reuse-Prozesse.
D6.1	Widerstand gegen Prozessänderung	Resistance to process change	Widerstand gegen Änderungen an Prozessen.
D6.2	Zurückhaltung bei digitaler Technologie	Reluctance to adopt digital technology	Zurückhaltung bei der Nutzung digitaler Technik.
D6.3	Präferenz für etablierte Beschaffung	Preference for established procurement	Präferenz für etablierte Beschaffungswege.
D6.4	Kulturelle Präferenz für Neuprodukte	Cultural preference for new products	Kulturelle Präferenz für Neuprodukte.
D6.5	Geringer wahrgenommener digitaler Wert	Low perceived digital value	Der digitale Nutzen wird als gering wahrgenommen.
D6.6	Ungleiche Verteilung digitaler Vorteile	Unequal distribution of digital benefits	Digitale Vorteile sind ungleich verteilt.
D6.7	Wahrgenommene Last ohne direkten Ertrag	Perceived burden without direct return	Aufwand wird ohne direkten Ertrag wahrgenommen.
E	Wirtschaftlichkeit & Marktreife	Economic and market viability	Wirtschaftliche und marktbezogene Hemmnisse für digital gestützte Wiederverwendung.
E1	Digitale Implementierungskosten	Digital implementation costs	Kosten für Aufbau und Betrieb der digitalen Wiederverwendungsinfrastruktur.
E1.1	Vermessungskosten	Surveying cost	Kosten der Bestandsvermessung vor Ort.
E1.2	Scan-Kosten	Scanning cost	Kosten des digitalen Scannens von Gebäuden oder Bauteilen.
E1.3	BIM-Modellierungskosten	BIM modeling cost	Kosten der Erstellung digitaler BIM-Modelle.
E1.4	Softwareentwicklungskosten	Software-development cost	Kosten der Entwicklung von Plattform- oder Anwendungssoftware.
E1.5	Softwarelizenzkosten	Software-license cost	Laufende Kosten für Softwarelizenzen.
E1.6	Integrationskosten	Integration cost	Kosten der Integration verschiedener Systeme.
E1.7	Datenbereinigungskosten	Data-cleaning cost	Kosten der Bereinigung fehlerhafter Daten.
E1.8	Prüfkosten	Verification cost	Kosten der Prüfung und Verifikation von Angaben.
E1.9	Cybersicherheitskosten	Cybersecurity cost	Kosten für Cybersicherheitsmaßnahmen.
E1.10	Schulungskosten	Training cost	Kosten der Schulung von Personal.
E1.11	Hosting-/Wartungskosten	Hosting and maintenance cost	Laufende Kosten für Hosting und Wartung.
E2	Begrenzte Finanzkraft	Limited financial capacity	Begrenzte finanzielle Mittel der beteiligten Akteure.
E2.1	KMU-Finanzierungsengpässe	SME funding constraints	Finanzierungsengpässe kleiner und mittlerer Unternehmen.
E2.2	Kommunale Finanzierungsengpässe	Municipal funding constraints	Begrenzte Haushaltsmittel von Kommunen.
E2.3	Engpässe kleiner Reuse-Händler	Small reuse-dealer constraints	Begrenzte Mittel kleiner Reuse-Händler.
E2.4	Begrenzte Eigentümer-Investition	Limited owner investment	Geringe Investitionsbereitschaft der Eigentümer.
E2.5	Ökonomie geringwertiger Bauteile	Low-value component economics	Unwirtschaftlichkeit geringwertiger Bauteile.
E3	Schwache Anreize	Weak incentives	Fehlende wirtschaftliche Anreize für Wiederverwendung.
E3.1	Billige Entsorgung	Cheap disposal	Niedrige Entsorgungskosten machen Reuse unattraktiv.
E3.2	Billige Neuprodukte	Cheap new products	Niedrige Preise für Neuprodukte.
E3.3	Umweltkosten nicht eingepreist	Environmental costs not reflected in prices	Umweltkosten sind nicht in Preisen abgebildet.
E3.4	Keine Belohnung für Produktdaten-Erstellung	No reward for creating product data	Kein Anreiz für das Erstellen von Produktdaten.
E3.5	Keine Belohnung für Lebenszyklus-Aktualisierung	No reward for updating lifecycle information	Kein Anreiz für das Aktualisieren von Lebenszyklusdaten.
E3.6	Keine Wiederverwendungs-Beschaffungspflicht	No reuse procurement requirement	Keine Pflicht zur Beschaffung wiederverwendeter Produkte.
E4	Unsichere Plattform-Rendite	Uncertain platform return	Unsicherheit über die Rentabilität von Plattformen.
E4.1	Unklares Erlösmodell	Unclear revenue model	Unklares Modell zur Erlösgenerierung.
E4.2	Unsichere Transaktionsprovision	Uncertain transaction commission	Unsichere Einnahmen aus Transaktionsprovisionen.
E4.3	Unsichere Abonnement-Nachfrage	Uncertain subscription demand	Unsichere Nachfrage nach Abonnements.
E4.4	Unsicherer Wert des Wirkungs-Reportings	Uncertain value of impact reporting	Unsicherer wirtschaftlicher Wert von Wirkungsberichten.
E4.5	Unsichere vermiedene-Kosten-Vorteile	Uncertain avoided-cost benefits	Unsichere Vorteile aus vermiedenen Kosten.
E4.6	Plattformwert auf verschiedene Akteure verteilt	Platform value distributed across different actors	Plattformnutzen verteilt sich auf verschiedene Akteure.
E5	Unreife Reuse-Märkte	Immature reuse markets	Unreife und dünne Märkte für wiederverwendete Produkte.
E5.1	Begrenzte Käufernachfrage	Limited buyer demand	Geringe Nachfrage auf Käuferseite.
E5.2	Unregelmäßiges Angebot	Irregular supply	Unregelmäßiges und unplanbares Angebot.
E5.3	Begrenzter geografischer Marktzugang	Limited geographic market access	Begrenzter Zugang zu regionalen Märkten.
