anchor_id,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision
building_spares_market,https://buildingsparesmarket.co.uk/about/,"About page lists “timber”, “floorboards”, “MDF”, “plywood” and “chipboard”.",L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page lists “steel beams” and “lintels”.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,"About page examples include bricks, concrete blocks, plasterboard and interior tiles.",L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include insulation boards.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include roof tiles.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include floorboards.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include steel beams and lintels.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include windows.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
building_spares_market,https://buildingsparesmarket.co.uk/about/,About page examples include doors.,L136-L137,DIRECT_FIRST_PARTY_SCOPE_LIST,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/betonsteine/,Product page title and content name “Betonsteine” with dimensions and stock quantity.,L33-L48,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/natursteinbelag-schiefer/,Product page title says “Natursteinbelag Schiefer”; text says “Schieferplatten im Aussenraum”.,L33-L47,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/natursteinbelag-schiefer/,Product title “Natursteinbelag Schiefer” and unit m² for exterior slate slabs.,L33-L47,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/natursteinpflaster/,Product title says “Natursteinpflaster”; description says granite paving stones.,L33-L49,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/natursteinpflaster/,Product title says “Natursteinpflaster” and description says granite paving stones.,L33-L49,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/dachziegel-biberschwanz/,Product title says “Dachziegel Biberschwanz”; description says roof tile clay/ton.,search result / page text,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/laerchenschindel/,Product title says “Lärchenschindel”; text says larch shingles and roof/underroof use.,search result / page text,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
re_store_harvestmap_vienna,https://www.restore.or.at/product/laerchenschindel/,Product text says larch shingles can be used underroof or on roof surfaces.,search result / page text,DIRECT_FIRST_PARTY_PRODUCT,IMPORT_SAFE_SOURCE_LINE
enviromate,https://www.enviromate.co.uk/,Recently added listing row names “140 Navy Metro Tiles”.,search result extract,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include timber.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include insulation.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials available include tile.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include doors.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include stairs.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include insulation.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
enviromate,https://relondon.gov.uk/wp-content/uploads/2021/06/ReLondon-Sourcing-reclaimed-construction-materials-May-2021.pdf,ReLondon profile: typical materials include tile.,PDF p.15 extract,THIRD_PARTY_PROFILE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Hout, Gebruikt Balkhout, Planken, Vloerdelen and Dakbeschot.",L43-L54; L166-L178,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Kunststof under Ramen & Kozijnen and Buitendeuren.,L65-L69; L190-L204,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Aluminium under Ramen & Kozijnen and Aluminium buitendeuren.,L65-L69; L190-L204,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Stalen Trappen plus HEA/HEB/IPE/UNP under Constructiebalken.,L227-L240; L272-L275,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes PIR, XPS, Isovlas, Steenwol and Glaswol insulation.",L218-L226,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Metselstenen.,L104-L105; L255-L256,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Ramen & Kozijnen, Hout/Kunststof/Aluminium, Dakramen.",L65-L70; L190-L196,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Deuren, Buitendeuren, Binnendeuren and visible product rows for doors.",L71-L78; L197-L216; L430-L452,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Dakmateriaal, Dakpannen, Dakplaten, Dakramen and Pannendak.",L118-L121; L250-L279,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Verlichting & Elektra, Sanitair, Verwarming & Radiatoren.",L92-L116; L241-L271,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Trappen and Stalen Trappen.,L116-L118; L272-L275,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Constructiebalken with HEA, HEB, IPE, INP, UNP profiles.",L227-L240,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Vloerdelen and Bestrating.,L51-L52; L127-L128; L175-L176; L286-L287,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,"First-party category tree includes Wandbekleding, Platen & Panelen, Gips and Metselstenen.",L55-L65; L179-L189; L255-L256,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
gebruiktebouwmaterialen,https://gebruiktebouwmaterialen.com/,First-party category tree includes Isolatie (Biobased) and specific insulation categories.,L80-L87; L218-L226,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,First-party nav and marketplace categories include Flooring & Carpet and Raised Access Flooring.,L8-L10; L74-L86,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,"First-party nav includes Bricks & Stone, Doors & Partitions and Acoustic Panels.",L12-L23; L85-L87; L141-L142,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,First-party nav includes Doors & Partitions.,L20-L22,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,"First-party nav includes Ceilings & Lighting, IT & Electrical Appliances and MEP.",L10-L17; L26-L26,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,"First-party nav includes Furniture & Interiors, Kitchens, Catering & Joinery, Sanitary Ware.",L6-L19,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE
material_index,https://material-index.co.uk/,Recent requests include Timber beams.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
material_index,https://material-index.co.uk/,Recent requests include Heritage bricks and Brick pavers.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
material_index,https://material-index.co.uk/,Recent requests include Bare Steel Encapsulated Panel.,L85-L87,DIRECT_FIRST_PARTY_REQUEST_LIST,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
new_horizon,https://newhorizon.nl/producten/,First-party product overview names circular concrete products/prefab/concrete applications.,search result extract,FIRST_PARTY_SEARCH_EXTRACT,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
new_horizon,https://newhorizon.nl/producten/,First-party product overview names circular gevel/façade products.,search result extract,FIRST_PARTY_SEARCH_EXTRACT,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
new_horizon,https://newhorizon.nl/producten/,First-party product overview names circular roofing/dak products.,search result extract,FIRST_PARTY_SEARCH_EXTRACT,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
batrecup,https://www.batrecup.com/fabriquer-une-serre-a-partir-de-fenetres-et-baies-vitrees-en-reemploi-lart-de-lecologie/,BatRecup article says old windows/baies vitrées can be collected directly on the BatRecup application.,search result extract,DIRECT_FIRST_PARTY_ARTICLE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
batrecup,https://www.batrecup.com/materiaux-recyclables-et-reemploi/,"BatRecup article about reusable materials names portes, fenêtres and bois.",search result extract,DIRECT_FIRST_PARTY_ARTICLE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
batrecup,https://www.batrecup.com/materiaux-recyclables-et-reemploi/,BatRecup article about reusable materials names bois.,search result extract,DIRECT_FIRST_PARTY_ARTICLE,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE
batrecup,https://www.batrecup.com/,First-party page: “plateforme communautaire pour le réemploi des matériaux”.,search result extract / first-party page,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_no_public_product_catalogue
globechain,https://asbp.org.uk/article/reuse-digital-platforms-and-physical-hubs,ASBP profile: Globechain is an online reuse marketplace with ESG data offer.,search result extract,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_no_public_material_categories
loopfront,https://www.loopfront.com/product,Loopfront product/platform pages describe reuse/material tracking; public item catalogue was not found.,fetched page/pass context,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_public_stock_not_visible
material_reuse_portal,https://materialreuseportal.com/,Portal allows users to save data about listings; marketplace-provider pages point to connected providers.,search result extract,ACTOR_SCOPE_NON_IMPORT,aggregator_confirmed_no_own_stock
raedificare,https://raedificare.com/marketplace/,First-party page: market place de don et de vente en ligne de matériaux de réemploi du BTP.,search result extract,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_catalogue_login_or_not_public
resource_marktplaats,https://play.google.com/store/apps/details?id=com.pss.resource,App listing says users can upload circular construction materials digitally for reuse.,search result extract,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_no_public_products
salza,https://salza.ch/bauteil-plattform,Salza page: Bauteil-Plattform for Wiederverwendung; users publish Bauteile from conversion/demolition projects.,L58-L84,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_no_material_bt_categories_public
warp_it,https://www.warp-it.co.uk/,"Warp It redistributes surplus resources such as furniture, equipment, fixtures and fittings; broad category list includes building equipment/tools/materials.",search result extract,ACTOR_SCOPE_NON_IMPORT,not_core_construction_material_marketplace
excess_materials_exchange,https://excessmaterialsexchange.com/,Materials exchange scope confirmed; no closed-set Bau material/type categories found in pass 8.,fetched page/pass context,ACTOR_SCOPE_NON_IMPORT,scope_confirmed_no_building_product_categories
risorse_raekkerne_resource_rows,https://resource-rows.dk/,"Resource Rows/Ressourcerækkerne is treated as a building project/case, not a material exchange actor.",search result/pass context,ACTOR_SCOPE_NON_IMPORT,not_a_bauteilboerse
