anchor_id,pass7_status,pass8_status,strict_material_count,strict_bauteiltyp_count,strict_material_ids,strict_bauteiltyp_ids,review_material_ids,review_bauteiltyp_ids,pass8_note
enviromate,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,HAS_STRICT_IMPORT_CANDIDATES,1,1,mat_keramik,bt_boden,mat_daemmstoff;mat_holz;mat_keramik,bt_boden;bt_daemmung;bt_treppe;bt_tuer,Reclassified partly: first-party listing row plus ReLondon profile; product-level coverage remains lighter than others.
gebruiktebouwmaterialen,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,HAS_STRICT_IMPORT_CANDIDATES,6,9,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand,,,Reclassified: first-party shop category tree and product rows provide strong category-level material and bauteiltyp evidence.
genbyg,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,1,3,mat_glas,bt_fenster;bt_technik;bt_tuer,mat_holz;mat_ziegel,bt_boden;bt_fenster;bt_tuer;bt_wand,
globechain,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,
insert_marketplace,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_fenster;bt_tuer,
loopfront,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,
material_index,REVIEW_ONLY_EVIDENCE_FOUND,HAS_STRICT_IMPORT_CANDIDATES,0,5,,bt_ausbau;bt_boden;bt_technik;bt_tuer;bt_wand,mat_holz;mat_stahl;mat_ziegel,bt_tuer;bt_wand,Promoted bauteiltyp categories to strict from first-party marketplace category tree; material request examples remain review-only.
material_reuse_portal,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,0,1,,bt_dach,mat_glas;mat_holz;mat_stahl,bt_ausbau;bt_dach;bt_decke;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,
materialenbank_leuven_atelier_circuler,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,
materialrest24,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz,bt_ausbau;bt_dach;bt_technik;bt_wand,
new_horizon,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_beton,bt_dach;bt_fassade,
r_place,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_technik,
raedificare,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,"Materialbörse/platform yes, but public pages confirm marketplace/catalogue only; no strict material/bauteiltyp categories without login or catalogue export."
re_store_harvestmap_vienna,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,HAS_STRICT_IMPORT_CANDIDATES,4,2,mat_beton;mat_holz;mat_keramik;mat_naturstein,bt_boden;bt_dach,,,"Reclassified: first-party product pages prove concrete, natural stone/slate/paving, roof tile and larch shingle evidence."
reempro,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,2,8,mat_keramik;mat_ziegel,bt_ausbau;bt_boden;bt_daemmung;bt_decke;bt_fenster;bt_technik;bt_tuer;bt_wand,,,
resource_marktplaats,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,"Materialbörse/app yes, but public store pages confirm construction-material marketplace only; no public product/category inventory."
reuse_and_trade,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,0,2,,bt_boden;bt_tuer,mat_holz;mat_stahl,bt_gelaender;bt_technik;bt_treppe,
rotordc,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,1,0,mat_keramik,,mat_aluminium;mat_daemmstoff;mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_technik;bt_treppe;bt_tuer;bt_wand,
salvoweb,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_tuer,
salza,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,"Materialbörse/platform yes, but public page confirms generic Bauteile and one granite fountain example; no broad material/bauteiltyp classification imported."
skop_marketplace,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_technik;bt_tuer;bt_wand,
software_restado,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,2,4,mat_holz;mat_keramik,bt_boden;bt_dach;bt_tuer;bt_wand,mat_beton;mat_ziegel,,
surplus_building_and_plumbing_materials,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_ziegel,bt_dach;bt_daemmung;bt_technik;bt_wand,
sustainability_yard,REVIEW_ONLY_EVIDENCE_FOUND,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_naturstein;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,
useagain_bauteilclick,HAS_STRICT_IMPORT_CANDIDATES,HAS_STRICT_IMPORT_CANDIDATES,1,2,mat_stahl,bt_fenster;bt_technik,mat_glas;mat_holz;mat_keramik;mat_kunststoff,bt_tuer,
warp_it,NO_CLOSED_SET_MATERIAL_BT_EVIDENCE_IN_FINAL_PASS,NOT_CORE_BAUTEILBOERSE_OR_ADJACENT,0,0,,,,,"Adjacent reuse platform, not core bauteilbörse; mostly furniture/equipment/resources, not construction-material stock."
