"source","source_entity","source_id","relation","target","target_entity","target_id","field","raw_label","confidence","resolution_rule","legacy_path","original_source","original_relation","original_target","edge_cleaning"
"akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","has_akteurrolle","akteurrolle/Tragwerksplanung","akteurrolle","Tragwerksplanung","beziehung","Structural engineer","rule_high","role_structural_engineering","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","has_akteurrolle","akteurrolle/Tragwerksplanung","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","has_akteurrolle","akteurrolle/Reuse_Beratung","akteurrolle","Reuse_Beratung","beziehung","Engineering consultant / Mitwirkung Reuse-Initiative","rule_high","role_reuse_consulting","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","has_akteurrolle","akteurrolle/Reuse_Beratung","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","has_akteurrolle","akteurrolle/Tragwerksplanung","akteurrolle","Tragwerksplanung","beziehung","Engineering consultant / Mitwirkung Reuse-Initiative","rule_high","role_structural_engineering","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","has_akteurrolle","akteurrolle/Tragwerksplanung","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","has_akteurrolle","akteurrolle/Nachhaltigkeitsberatung","akteurrolle","Nachhaltigkeitsberatung","beziehung","Sustainability consultant","rule_high","role_sustainability","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","has_akteurrolle","akteurrolle/Nachhaltigkeitsberatung","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","has_akteurrolle","akteurrolle/Projektmanagement_Koordination","akteurrolle","Projektmanagement_Koordination","beziehung","Project manager","rule_medium","role_project_coordination","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","has_akteurrolle","akteurrolle/Projektmanagement_Koordination","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","has_akteurrolle","akteurrolle/Materiallieferant","akteurrolle","Materiallieferant","beziehung","Project manager reclaimed steel initiative","rule_high","role_supplier","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","has_akteurrolle","akteurrolle/Materiallieferant","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","has_akteurrolle","akteurrolle/Projektmanagement_Koordination","akteurrolle","Projektmanagement_Koordination","beziehung","Project manager reclaimed steel initiative","rule_medium","role_project_coordination","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","has_akteurrolle","akteurrolle/Projektmanagement_Koordination","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","has_akteurrolle","akteurrolle/Bauausfuehrung","akteurrolle","Bauausfuehrung","beziehung","Demolition contractor donor site 1 Broadgate","rule_high","role_construction","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","has_akteurrolle","akteurrolle/Bauausfuehrung","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","has_akteurrolle","akteurrolle/Rueckbau_Demontage","akteurrolle","Rueckbau_Demontage","beziehung","Demolition contractor donor site 1 Broadgate","rule_high","role_deconstruction","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","has_akteurrolle","akteurrolle/Rueckbau_Demontage","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","has_akteurrolle","akteurrolle/Materiallieferant","akteurrolle","Materiallieferant","beziehung","Reclaimed steel stockholder / supplier","rule_high","role_supplier","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","has_akteurrolle","akteurrolle/Materiallieferant","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","involves_akteur","akteur/Cleveland_Steel_and_Tubes","akteur","Cleveland_Steel_and_Tubes","akteur_candidate","Cleveland Steel and Tubes","manual_high","akteur_manual_alias","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","involves_akteur","akteur/Cleveland_Steel_and_Tubes","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","belongs_to_fallstudie","fallstudie/Association_house_Groeditz","fallstudie","Association_house_Groeditz","fallstudie","fallstudie/Association_house_Groeditz","structural","frontmatter","Gebäude\Association_house_Groeditz.md","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","belongs_to_fallstudie","fallstudie/Association_house_Groeditz","unchanged"
"akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","belongs_to_projekt","projekt/Association_house_Groeditz","projekt","Association_house_Groeditz","projekt","Association_house_Groeditz","structural","frontmatter","Gebäude\Association_house_Groeditz.md","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","belongs_to_projekt","projekt/Association_house_Groeditz","unchanged"
"akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","has_akteurrolle","akteurrolle/Projektbeteiligte_Unbestimmt","akteurrolle","Projektbeteiligte_Unbestimmt","beziehung","Quellenbezug","rule_medium","role_unspecified_project_participant","Gebäude\Association_house_Groeditz.md","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","has_akteurrolle","akteurrolle/Projektbeteiligte_Unbestimmt","unchanged"
"akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","relates_to_bauobjekt","bauobjekt/Association_house_Groeditz","bauobjekt","Association_house_Groeditz","bauobjekt","Association_house_Groeditz","structural","frontmatter","Gebäude\Association_house_Groeditz.md","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","relates_to_bauobjekt","bauobjekt/Association_house_Groeditz","unchanged"
"akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","belongs_to_fallstudie","fallstudie/Association_house_Plauen","fallstudie","Association_house_Plauen","fallstudie","fallstudie/Association_house_Plauen","structural","frontmatter","Gebäude\Association_house_Plauen.md","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","belongs_to_fallstudie","fallstudie/Association_house_Plauen","unchanged"
"akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","belongs_to_projekt","projekt/Association_house_Plauen","projekt","Association_house_Plauen","projekt","Association_house_Plauen","structural","frontmatter","Gebäude\Association_house_Plauen.md","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","belongs_to_projekt","projekt/Association_house_Plauen","unchanged"
"akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","has_akteurrolle","akteurrolle/Forschung_Dokumentation","akteurrolle","Forschung_Dokumentation","beziehung","Literatur- und Forschungsbezug","rule_high","role_research_documentation","Gebäude\Association_house_Plauen.md","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","has_akteurrolle","akteurrolle/Forschung_Dokumentation","unchanged"
"akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","relates_to_bauobjekt","bauobjekt/Association_house_Plauen","bauobjekt","Association_house_Plauen","bauobjekt","Association_house_Plauen","structural","frontmatter","Gebäude\Association_house_Plauen.md","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","relates_to_bauobjekt","bauobjekt/Association_house_Plauen","unchanged"
"akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","belongs_to_fallstudie","fallstudie/AWM_Muenster_Circular_Office","fallstudie","AWM_Muenster_Circular_Office","fallstudie","fallstudie/AWM_Muenster_Circular_Office","structural","frontmatter","Gebäude\AWM_Muenster_Circular_Office.md","akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","belongs_to_fallstudie","fallstudie/AWM_Muenster_Circular_Office","unchanged"
"akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","belongs_to_projekt","projekt/AWM_Muenster_Circular_Office","projekt","AWM_Muenster_Circular_Office","projekt","AWM_Muenster_Circular_Office","structural","frontmatter","Gebäude\AWM_Muenster_Circular_Office.md","akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","belongs_to_projekt","projekt/AWM_Muenster_Circular_Office","unchanged"
"akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","has_akteurrolle","akteurrolle/Architektur","akteurrolle","Architektur","beziehung","Bauherr/Nutzer, Entwurf/Innenausbau, Materialplattform/Ökobilanz","rule_high","role_architecture","Gebäude\AWM_Muenster_Circular_Office.md","akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","has_akteurrolle","akteurrolle/Architektur","unchanged"
"akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","has_akteurrolle","akteurrolle/Bauherr_Auftraggeber","akteurrolle","Bauherr_Auftraggeber","beziehung","Bauherr/Nutzer, Entwurf/Innenausbau, Materialplattform/Ökobilanz","rule_high","role_client_owner","Gebäude\AWM_Muenster_Circular_Office.md","akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","has_akteurrolle","akteurrolle/Bauherr_Auftraggeber","unchanged"
