"source","source_entity","source_id","field","raw_label","suggested_entity","reason","legacy_path"
"akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_candidate","Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann","akteur","partially_resolved_multi_actor_label","Gebäude\AWM_Muenster_Circular_Office.md"
"akteur_beteiligung/BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","akteur_beteiligung","BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","akteur_candidate","Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald","akteur","partially_resolved_multi_actor_label","Gebäude\BedZED_London_Hackbridge.md"
"akteur_beteiligung/Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","akteur_beteiligung","Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","akteur_candidate","Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele","akteur","multi_actor_or_unmerged_candidate","Gebäude\Berlin_Schildow_Pilot_House.md"
"akteur_beteiligung/Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","akteur_beteiligung","Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","akteur_candidate","Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB","akteur","multi_actor_or_unmerged_candidate","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"akteur_beteiligung/Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","akteur_beteiligung","Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","akteur_candidate","Detlev Lange / Familie Lange","akteur","multi_actor_or_unmerged_candidate","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"akteur_beteiligung/Big_Dig_Building_Boston__001__Single_Speed_Design_SsD","akteur_beteiligung","Big_Dig_Building_Boston__001__Single_Speed_Design_SsD","akteur_candidate","Single Speed Design / SsD","akteur","multi_actor_or_unmerged_candidate","Gebäude\Big_Dig_Building_Boston.md"
"akteur_beteiligung/Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini","akteur_beteiligung","Big_Dig_Building_Boston__002__John_Hong_Jinhee_Park_Paul_Pedini","akteur_candidate","John Hong, Jinhee Park, Paul Pedini","akteur","multi_actor_or_unmerged_candidate","Gebäude\Big_Dig_Building_Boston.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__001__Paul_Pedini","akteur_candidate","Paul Pedini","akteur","no_existing_actor_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__002__Single_Speed_Design","akteur_candidate","Single Speed Design","akteur","no_existing_actor_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__003__John_Hong","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__003__John_Hong","akteur_candidate","John Hong","akteur","no_existing_actor_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__004__Jinhee_Park","akteur_candidate","Jinhee Park","akteur","no_existing_actor_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","akteur_candidate","Weidlinger Associates","akteur","no_existing_actor_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","akteur_beteiligung","Big_Dig_House_Lexington_Massachusetts__005__Weidlinger_Associates","beziehung","in einigen Quellen als engineer/architect erwähnt","akteurrolle","no_confident_akteurrolle_match","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__001__BioPartner_Center_Leiden","akteur_candidate","BioPartner Center Leiden","akteur","no_existing_actor_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__002__Popma_ter_Steege_Architecten_PTSA","akteur_candidate","Popma ter Steege Architecten / PTSA","akteur","multi_actor_or_unmerged_candidate","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg","akteur_candidate","De Vries en Verburg","akteur","no_existing_actor_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw","akteur_candidate","Vic Obdam Staalbouw","akteur","no_existing_actor_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__006__Deerns","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__006__Deerns","akteur_candidate","Deerns","akteur","no_existing_actor_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__007__STONE22","akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__007__STONE22","akteur_candidate","STONE22","akteur","no_existing_actor_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"akteur_beteiligung/BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S","akteur_beteiligung","BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S","akteur_candidate","BlueCity, Superuse Studios, COUP, Workspot, Floris Schiferli","akteur","partially_resolved_multi_actor_label","Gebäude\BlueCity_Offices_Rotterdam.md"
"akteur_beteiligung/Boulder_Fire_Station_3__001__Davis_Partnership_Architects","akteur_beteiligung","Boulder_Fire_Station_3__001__Davis_Partnership_Architects","akteur_candidate","Davis Partnership Architects","akteur","no_existing_actor_match","Gebäude\Boulder_Fire_Station_3.md"
"akteur_beteiligung/Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders","akteur_beteiligung","Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders","akteur_candidate","KL&A Engineers and Builders","akteur","no_existing_actor_match","Gebäude\Boulder_Fire_Station_3.md"
"akteur_beteiligung/Boulder_Fire_Station_3__003__Mark_Young_Construction","akteur_beteiligung","Boulder_Fire_Station_3__003__Mark_Young_Construction","akteur_candidate","Mark Young Construction","akteur","no_existing_actor_match","Gebäude\Boulder_Fire_Station_3.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership","akteur_candidate","Brent Cross South Limited Partnership","akteur","no_existing_actor_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__002__Related_Argent","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__002__Related_Argent","akteur_candidate","Related Argent","akteur","no_existing_actor_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet","akteur_candidate","London Borough of Barnet","akteur","no_existing_actor_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__004__IF_DO","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__004__IF_DO","akteur_candidate","IF_DO","akteur","no_existing_actor_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood","akteur_candidate","Whitby Wood","akteur","no_existing_actor_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__007__Bourne_Special_Projects_Bourne_Group","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__007__Bourne_Special_Projects_Bourne_Group","akteur_candidate","Bourne Special Projects / Bourne Group","akteur","multi_actor_or_unmerged_candidate","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__008__Galldris_Galldris_Group","akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__008__Galldris_Galldris_Group","akteur_candidate","Galldris / Galldris Group","akteur","multi_actor_or_unmerged_candidate","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"akteur_beteiligung/Brighton_Waste_House_Brighton__001__Duncan_Baker_Brown_Cat_Fletcher_Freegle_Mears_Gr","akteur_beteiligung","Brighton_Waste_House_Brighton__001__Duncan_Baker_Brown_Cat_Fletcher_Freegle_Mears_Gr","akteur_candidate","Duncan Baker-Brown, Cat Fletcher/Freegle, Mears Group, Greater Brighton Metropolitan College, Studierende","akteur","multi_actor_or_unmerged_candidate","Gebäude\Brighton_Waste_House_Brighton.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__001__MAMOUT_architectes","akteur_beteiligung","Charles_Malis_Molenbeek__001__MAMOUT_architectes","akteur_candidate","MAMOUT architectes","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__002__LD2_architecture","akteur_beteiligung","Charles_Malis_Molenbeek__002__LD2_architecture","akteur_candidate","LD2 architecture","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__003__St_phanie_Willocx_architecte","akteur_beteiligung","Charles_Malis_Molenbeek__003__St_phanie_Willocx_architecte","akteur_candidate","Stéphanie Willocx architecte","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__004__Commune_de_Molenbeek_Saint_Jean","akteur_beteiligung","Charles_Malis_Molenbeek__004__Commune_de_Molenbeek_Saint_Jean","akteur_candidate","Commune de Molenbeek-Saint-Jean","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__005__MOBAT_Ing_nierie","akteur_beteiligung","Charles_Malis_Molenbeek__005__MOBAT_Ing_nierie","akteur_candidate","MOBAT Ingénierie","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__006__GTD_Consulting_GTD_Engineering","akteur_beteiligung","Charles_Malis_Molenbeek__006__GTD_Consulting_GTD_Engineering","akteur_candidate","GTD Consulting / GTD Engineering","akteur","multi_actor_or_unmerged_candidate","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Charles_Malis_Molenbeek__007__Gillion_Construct","akteur_beteiligung","Charles_Malis_Molenbeek__007__Gillion_Construct","akteur_candidate","Gillion Construct","akteur","no_existing_actor_match","Gebäude\Charles_Malis_Molenbeek.md"
"akteur_beteiligung/Chiro_d_Itterbeek_Dilbeek__001__Rotor_asbl_vzw","akteur_beteiligung","Chiro_d_Itterbeek_Dilbeek__001__Rotor_asbl_vzw","akteur_candidate","Rotor asbl-vzw","akteur","no_existing_actor_match","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"akteur_beteiligung/Chiro_d_Itterbeek_Dilbeek__002__CC_Autrement","akteur_beteiligung","Chiro_d_Itterbeek_Dilbeek__002__CC_Autrement","akteur_candidate","CC Autrement","akteur","no_existing_actor_match","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"akteur_beteiligung/Christ_Pavilion_Volkenroda__001__gmp_Architekten_von_Gerkan_Marg_und_Partner","akteur_beteiligung","Christ_Pavilion_Volkenroda__001__gmp_Architekten_von_Gerkan_Marg_und_Partner","akteur_candidate","gmp · Architekten von Gerkan, Marg und Partner","akteur","multi_actor_or_unmerged_candidate","Gebäude\Christ_Pavilion_Volkenroda.md"
"akteur_beteiligung/Christ_Pavilion_Volkenroda__002__Evangelisches_B_ro_f_r_die_Weltausstellung_Expo","akteur_beteiligung","Christ_Pavilion_Volkenroda__002__Evangelisches_B_ro_f_r_die_Weltausstellung_Expo","akteur_candidate","Evangelisches Büro für die Weltausstellung Expo 2000","akteur","no_existing_actor_match","Gebäude\Christ_Pavilion_Volkenroda.md"
"akteur_beteiligung/Christ_Pavilion_Volkenroda__003__Kloster_Volkenroda_Jesus_Bruderschaft","akteur_beteiligung","Christ_Pavilion_Volkenroda__003__Kloster_Volkenroda_Jesus_Bruderschaft","akteur_candidate","Kloster Volkenroda / Jesus-Bruderschaft","akteur","multi_actor_or_unmerged_candidate","Gebäude\Christ_Pavilion_Volkenroda.md"
"akteur_beteiligung/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__002__Provincie_Gelderland","akteur_beteiligung","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__002__Provincie_Gelderland","akteur_candidate","Provincie Gelderland","akteur","no_existing_actor_match","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md"
"akteur_beteiligung/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__Dycore","akteur_beteiligung","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__Dycore","akteur_candidate","Dycore","akteur","no_existing_actor_match","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md"
"akteur_beteiligung/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__Dycore","akteur_beteiligung","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__Dycore","beziehung","Berater Kanalplatten","akteurrolle","no_confident_akteurrolle_match","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md"
"akteur_beteiligung/Circular_Pavilion_Paris__001__Encore_Heureux_Architectes","akteur_beteiligung","Circular_Pavilion_Paris__001__Encore_Heureux_Architectes","akteur_candidate","Encore Heureux Architectes","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__002__TRIBU","akteur_beteiligung","Circular_Pavilion_Paris__002__TRIBU","akteur_candidate","TRIBU","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__003__Bonnefrite","akteur_beteiligung","Circular_Pavilion_Paris__003__Bonnefrite","akteur_candidate","Bonnefrite","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__004__Camping_Design","akteur_beteiligung","Circular_Pavilion_Paris__004__Camping_Design","akteur_candidate","Camping Design","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__005__Ville_de_Paris_Pavillon_de_l_Arsenal","akteur_beteiligung","Circular_Pavilion_Paris__005__Ville_de_Paris_Pavillon_de_l_Arsenal","akteur_candidate","Ville de Paris – Pavillon de l’Arsenal","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__006__technische_Dienste_der_Stadt_Paris","akteur_beteiligung","Circular_Pavilion_Paris__006__technische_Dienste_der_Stadt_Paris","akteur_candidate","technische Dienste der Stadt Paris","akteur","no_existing_actor_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/Circular_Pavilion_Paris__006__technische_Dienste_der_Stadt_Paris","akteur_beteiligung","Circular_Pavilion_Paris__006__technische_Dienste_der_Stadt_Paris","beziehung","second œuvre","akteurrolle","no_confident_akteurrolle_match","Gebäude\Circular_Pavilion_Paris.md"
"akteur_beteiligung/CRCLR_House_Impact_Hub_Berlin__001__TRNSFRM_eG_Die_Zusammenarbeiter_LXSY_ZRS_Solares","akteur_beteiligung","CRCLR_House_Impact_Hub_Berlin__001__TRNSFRM_eG_Die_Zusammenarbeiter_LXSY_ZRS_Solares","akteur_candidate","TRNSFRM eG; Die Zusammenarbeiter; LXSY; ZRS; Solares Bauen; eZeit; brandkontrolle; Akustik-Ingenieurbüro Moll","akteur","multi_actor_or_unmerged_candidate","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"akteur_beteiligung/ELYS_Kultur_Gewerbehaus_Basel__001__Immobilien_Basel_Stadt_Hochbauamt_Basel_Stadt_ba","akteur_beteiligung","ELYS_Kultur_Gewerbehaus_Basel__001__Immobilien_Basel_Stadt_Hochbauamt_Basel_Stadt_ba","akteur_candidate","Immobilien Basel-Stadt; Hochbauamt Basel-Stadt; baubüro in situ; S+B; Jauslin Stebler; Pro Engineering; Haustec; Rapp AG; Husner AG Holzbau; Zirkular","akteur","partially_resolved_multi_actor_label","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"akteur_beteiligung/Europa_Building_Brussels__001__Philippe_Samyn_and_Partners_Studio_Valle_Progett","akteur_beteiligung","Europa_Building_Brussels__001__Philippe_Samyn_and_Partners_Studio_Valle_Progett","akteur_candidate","Philippe Samyn and Partners; Studio Valle Progettazioni; Buro Happold; Belgian Buildings Agency / Regie der Gebouwen","akteur","multi_actor_or_unmerged_candidate","Gebäude\Europa_Building_Brussels.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__001__Grand_Huit","akteur_beteiligung","Ferme_du_Rail_Paris__001__Grand_Huit","akteur_candidate","Grand Huit","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__003__Travail_Vie","akteur_beteiligung","Ferme_du_Rail_Paris__003__Travail_Vie","akteur_candidate","Travail & Vie","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__004__R_habail","akteur_beteiligung","Ferme_du_Rail_Paris__004__R_habail","akteur_candidate","Réhabail","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__005__Albert_Compagnie","akteur_beteiligung","Ferme_du_Rail_Paris__005__Albert_Compagnie","akteur_candidate","Albert & Compagnie","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__006__Pouget_Consultants","akteur_beteiligung","Ferme_du_Rail_Paris__006__Pouget_Consultants","akteur_candidate","Pouget Consultants","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__007__Scoping","akteur_beteiligung","Ferme_du_Rail_Paris__007__Scoping","akteur_candidate","Scoping","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__008__M_lanie_Devret","akteur_beteiligung","Ferme_du_Rail_Paris__008__M_lanie_Devret","akteur_candidate","Mélanie Devret","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__009__Philippe_Peiger","akteur_beteiligung","Ferme_du_Rail_Paris__009__Philippe_Peiger","akteur_candidate","Philippe Peiger","akteur","no_existing_actor_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/Ferme_du_Rail_Paris__009__Philippe_Peiger","akteur_beteiligung","Ferme_du_Rail_Paris__009__Philippe_Peiger","beziehung","urbaner Agro-Ökologe","akteurrolle","no_confident_akteurrolle_match","Gebäude\Ferme_du_Rail_Paris.md"
"akteur_beteiligung/gjG_House_Gentbrugge__002__Tecclem","akteur_beteiligung","gjG_House_Gentbrugge__002__Tecclem","akteur_candidate","Tecclem","akteur","no_existing_actor_match","Gebäude\gjG_House_Gentbrugge.md"
"akteur_beteiligung/gjG_House_Gentbrugge__003__G_build","akteur_beteiligung","gjG_House_Gentbrugge__003__G_build","akteur_candidate","G-build","akteur","no_existing_actor_match","Gebäude\gjG_House_Gentbrugge.md"
"akteur_beteiligung/gjG_House_Gentbrugge__004__Vlieghe","akteur_beteiligung","gjG_House_Gentbrugge__004__Vlieghe","akteur_candidate","Vlieghe","akteur","no_existing_actor_match","Gebäude\gjG_House_Gentbrugge.md"
"akteur_beteiligung/gjG_House_Gentbrugge__004__Vlieghe","akteur_beteiligung","gjG_House_Gentbrugge__004__Vlieghe","beziehung","Carpentry","akteurrolle","no_confident_akteurrolle_match","Gebäude\gjG_House_Gentbrugge.md"
"akteur_beteiligung/gjG_House_Gentbrugge__005__Barbara_Oelbrandt","akteur_beteiligung","gjG_House_Gentbrugge__005__Barbara_Oelbrandt","akteur_candidate","Barbara Oelbrandt","akteur","no_existing_actor_match","Gebäude\gjG_House_Gentbrugge.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__001__Normandie_Am_nagement","akteur_beteiligung","Grande_Halle_de_Colombelles__001__Normandie_Am_nagement","akteur_candidate","Normandie Aménagement","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__002__Encore_Heureux","akteur_beteiligung","Grande_Halle_de_Colombelles__002__Encore_Heureux","akteur_candidate","Encore Heureux","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__003__Construire","akteur_beteiligung","Grande_Halle_de_Colombelles__003__Construire","akteur_candidate","Construire","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__004__Le_WIP","akteur_beteiligung","Grande_Halle_de_Colombelles__004__Le_WIP","akteur_candidate","Le WIP","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__005__St_phanie_Paly","akteur_beteiligung","Grande_Halle_de_Colombelles__005__St_phanie_Paly","akteur_candidate","Stéphanie Paly","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__005__St_phanie_Paly","akteur_beteiligung","Grande_Halle_de_Colombelles__005__St_phanie_Paly","beziehung","Co-traitance Lot 1","akteurrolle","no_confident_akteurrolle_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__006__Ligne_B_E","akteur_beteiligung","Grande_Halle_de_Colombelles__006__Ligne_B_E","akteur_candidate","Ligne B.E.","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grande_Halle_de_Colombelles__007__Albert_Co","akteur_beteiligung","Grande_Halle_de_Colombelles__007__Albert_Co","akteur_candidate","Albert & Co","akteur","no_existing_actor_match","Gebäude\Grande_Halle_de_Colombelles.md"
"akteur_beteiligung/Grubenstrasse_29_Werkhof_29_Zuerich__001__Marc_Angst_This_Alder_Oliver_Zbinden_u_a","akteur_beteiligung","Grubenstrasse_29_Werkhof_29_Zuerich__001__Marc_Angst_This_Alder_Oliver_Zbinden_u_a","akteur_candidate","Marc Angst, This Alder, Oliver Zbinden u. a.","akteur","multi_actor_or_unmerged_candidate","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"akteur_beteiligung/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__002__Tampere_University_Satu_Huuhka","akteur_beteiligung","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__002__Tampere_University_Satu_Huuhka","akteur_candidate","Tampere University / Satu Huuhka","akteur","multi_actor_or_unmerged_candidate","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md"
