claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP08-n-0025,node,ar_forschung_dokumentation,,,Akteurrolle,Akteurrolle node ar_forschung_dokumentation (Forschung_Dokumentation) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=138 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4442
EP08-n-0026,node,ar_kunst_gestaltung,,,Akteurrolle,Akteurrolle node ar_kunst_gestaltung (Kunst_Gestaltung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=1 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6166
EP08-n-0027,node,ar_landschaftsplanung,,,Akteurrolle,Akteurrolle node ar_landschaftsplanung (Landschaftsplanung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=5 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6167
EP08-n-0028,node,ar_materialbroker,,,Akteurrolle,Akteurrolle node ar_materialbroker (Materialbroker / Reuse-Marketplace-Betreiber) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=72 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:123
EP08-n-0029,node,ar_materiallieferung_markt,,,Akteurrolle,Akteurrolle node ar_materiallieferung_markt (Materiallieferung_Markt) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=153 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6154
EP08-n-0030,node,ar_nachhaltigkeitsberatung,,,Akteurrolle,Akteurrolle node ar_nachhaltigkeitsberatung (Nachhaltigkeitsberatung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=8 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6169
EP08-n-0031,node,ar_oeffentliche_hand_foerderung,,,Akteurrolle,Akteurrolle node ar_oeffentliche_hand_foerderung (Oeffentliche_Hand_Foerderung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=33 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6156
EP08-n-0032,node,ar_projektmanagement_koordination,,,Akteurrolle,Akteurrolle node ar_projektmanagement_koordination (Projektmanagement_Koordination) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=79 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4449
EP08-n-0033,node,ar_reuse_zirkularitaetsberatung,,,Akteurrolle,Akteurrolle node ar_reuse_zirkularitaetsberatung (Reuse_Zirkularitaetsberatung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=218 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6155
EP08-n-0034,node,ar_rueckbau_bauteilernte_logistik,,,Akteurrolle,Akteurrolle node ar_rueckbau_bauteilernte_logistik (Rueckbau_Bauteilernte_Logistik) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=78 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6153
EP08-n-0035,node,ar_software_digitalisierung,,,Akteurrolle,Akteurrolle node ar_software_digitalisierung (Software_Digitalisierung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=73 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6159
EP08-n-0036,node,ar_tga_gebaeudetechnik,,,Akteurrolle,Akteurrolle node ar_tga_gebaeudetechnik (TGA_Gebaeudetechnik) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=2 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6176
EP08-n-0037,node,ar_tragwerksplanung,,,Akteurrolle,Akteurrolle node ar_tragwerksplanung (Tragwerksplanung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=12 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6177
EP08-n-0038,node,ar_unbestimmt,,,Akteurrolle,Akteurrolle node ar_unbestimmt (Unbestimmt) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurrolle']; in=16 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6160
EP08-n-0039,node,at_foerdergeber_programmtraeger,,,Akteurtyp,Akteurtyp node at_foerdergeber_programmtraeger (Foerdergeber_Programmtraeger) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=4 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4464
EP08-n-0040,node,at_forschung_lehre,,,Akteurtyp,Akteurtyp node at_forschung_lehre (Forschung_Lehre) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=37 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4460
EP08-n-0041,node,at_materialhub_bauteilboerse,,,Akteurtyp,Akteurtyp node at_materialhub_bauteilboerse (Materialhub_Bauteilboerse) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=49 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4463
EP08-n-0042,node,at_ngo_verband_netzwerk,,,Akteurtyp,Akteurtyp node at_ngo_verband_netzwerk (NGO_Verband_Netzwerk) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=25 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6149
EP08-n-0043,node,at_oeffentliche_institution,,,Akteurtyp,Akteurtyp node at_oeffentliche_institution (Oeffentliche_Institution) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=35 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4459
EP08-n-0044,node,at_organisation,,,Akteurtyp,Akteurtyp node at_organisation (Organisation) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=33 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4457
EP08-n-0045,node,at_person,,,Akteurtyp,Akteurtyp node at_person (Person) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=155 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4456
EP08-n-0046,node,at_software_tool_anbieter,,,Akteurtyp,Akteurtyp node at_software_tool_anbieter (Software_Tool_Anbieter) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=19 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4465
EP08-n-0047,node,at_unbekannt,,,Akteurtyp,Akteurtyp node at_unbekannt (Unbekannt) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=1 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4466
EP08-n-0048,node,at_unternehmen,,,Akteurtyp,Akteurtyp node at_unternehmen (Unternehmen) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Akteurtyp']; in=324 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4458
EP08-n-0049,node,av_pruefung_sortierung_qs,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_pruefung_sortierung_qs (Pruefung_Sortierung_QS) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=99 out=2,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:680
EP08-n-0050,node,av_reinigung_und_oberflaeche,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_reinigung_und_oberflaeche (Reinigung_und_Oberflaeche) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=39 out=8,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:661
EP08-n-0051,node,av_remanufacturing_und_upcycling,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_remanufacturing_und_upcycling (Remanufacturing_und_Upcycling) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=44 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:701
EP08-n-0052,node,av_reparatur_und_refurbishment,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_reparatur_und_refurbishment (Reparatur_und_Refurbishment) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=40 out=3,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:681
EP08-n-0053,node,av_verstaerkung_und_schutz,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_verstaerkung_und_schutz (Verstaerkung_und_Schutz) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=3 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:715
EP08-n-0054,node,av_zuschnitt_und_vereinzelung,,,Aufbereitungsverfahren,Aufbereitungsverfahren node av_zuschnitt_und_vereinzelung (Zuschnitt_und_Vereinzelung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Aufbereitungsverfahren']; in=42 out=5,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:662
EP08-n-0055,node,bai_aufstockung,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_aufstockung (Aufstockung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=7 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4478
EP08-n-0056,node,bai_erweiterung,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_erweiterung (Erweiterung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=6 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4479
EP08-n-0057,node,bai_fit_out,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_fit_out (Fit_out) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=5 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4480
EP08-n-0058,node,bai_neubau,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_neubau (Neubau) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=56 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4481
EP08-n-0059,node,bai_rueckbau,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_rueckbau (Rueckbau) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=8 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4482
EP08-n-0060,node,bai_sanierung,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_sanierung (Sanierung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=16 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4483
EP08-n-0061,node,bai_translozierung,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_translozierung (Translozierung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=4 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4484
EP08-n-0062,node,bai_umbau,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_umbau (Umbau) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=24 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4485
EP08-n-0063,node,bai_umnutzung,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_umnutzung (Umnutzung) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=15 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4486
EP08-n-0064,node,bai_wiederaufbau,,,BauaufgabeIntervention,BauaufgabeIntervention node bai_wiederaufbau (Wiederaufbau) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['BauaufgabeIntervention']; in=3 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4487
EP08-n-0065,node,bauw_fertigteilbauweise,,,Bauweise,Bauweise node bauw_fertigteilbauweise (Fertigteilbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=31 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4540
EP08-n-0066,node,bauw_holzbauweise,,,Bauweise,Bauweise node bauw_holzbauweise (Holzbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=26 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4541
EP08-n-0067,node,bauw_hybridbauweise,,,Bauweise,Bauweise node bauw_hybridbauweise (Hybridbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=20 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4542
EP08-n-0068,node,bauw_massivbauweise,,,Bauweise,Bauweise node bauw_massivbauweise (Massivbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=21 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4543
EP08-n-0069,node,bauw_ortbetonbauweise,,,Bauweise,Bauweise node bauw_ortbetonbauweise (Ortbetonbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=1 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4544
EP08-n-0070,node,bauw_stahlbauweise,,,Bauweise,Bauweise node bauw_stahlbauweise (Stahlbauweise) is wired into graph,contract,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,labels=['Bauweise']; in=25 out=0,KEEP,08,,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4545
EP08-n-0071,node,bg_aluminium_fassade_elys_trapezoidal_sheet,,,Bauteilgruppe,Bauteilgruppe instance bg_aluminium_fassade_elys_trapezoidal_sheet participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=19,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:296
EP08-n-0072,node,bg_aluminium_fassade_trae_high_rise_aarhus_fassadenplatten,,,Bauteilgruppe,Bauteilgruppe instance bg_aluminium_fassade_trae_high_rise_aarhus_fassadenplatten participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=17,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:480
EP08-n-0073,node,bg_aluminium_profile_multi_facade_h_profiles,,,Bauteilgruppe,Bauteilgruppe instance bg_aluminium_profile_multi_facade_h_profiles participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=2,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:852
EP08-n-0074,node,bg_aluminium_technik_meduni_cable_ducts_grids_candidate,,,Bauteilgruppe,Bauteilgruppe instance bg_aluminium_technik_meduni_cable_ducts_grids_candidate participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=4,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:893
EP08-n-0075,node,bg_asphalt_liander_existing_roofs,,,Bauteilgruppe,Bauteilgruppe instance bg_asphalt_liander_existing_roofs participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=1,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:848
EP08-n-0076,node,bg_ausbau_wand_meduni_toilet_partitions_candidate,,,Bauteilgruppe,Bauteilgruppe instance bg_ausbau_wand_meduni_toilet_partitions_candidate participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=4,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:888
EP08-n-0077,node,bg_bestand_liander_existing_constructions,,,Bauteilgruppe,Bauteilgruppe instance bg_bestand_liander_existing_constructions participates in reuse classification subgraph,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,in_deg=1 out_deg=1,KEEP,08,donor component grouping (not closed vocab),element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:844
