claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w4_w4_03-0001,rel,,archipel_sion_ressourcerie,mat_daemmstoff,NUTZT_MATERIAL,archipel_sion_ressourcerie -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0012,rel,,bauteilkatalog_immobilien_basel_stadt,mat_aluminium,NUTZT_MATERIAL,bauteilkatalog_immobilien_basel_stadt -NUTZT_MATERIAL-> mat_aluminium (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0013,rel,,bauteilkatalog_immobilien_basel_stadt,mat_daemmstoff,NUTZT_MATERIAL,bauteilkatalog_immobilien_basel_stadt -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0014,rel,,bauteilkatalog_immobilien_basel_stadt,mat_glas,NUTZT_MATERIAL,bauteilkatalog_immobilien_basel_stadt -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0015,rel,,bauteilkatalog_immobilien_basel_stadt,mat_holz,NUTZT_MATERIAL,bauteilkatalog_immobilien_basel_stadt -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0016,rel,,bauteilladen_winterthur,mat_naturstein,NUTZT_MATERIAL,bauteilladen_winterthur -NUTZT_MATERIAL-> mat_naturstein (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0017,rel,,bauteilnetz_deutschland,mat_ziegel,NUTZT_MATERIAL,bauteilnetz_deutschland -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_02_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_02_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0018,rel,,bsys_cross_laminated_secondary_timber_clst,mat_holz,NUTZT_MATERIAL,bsys_cross_laminated_secondary_timber_clst -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0019,rel,,bsys_p2_plattenbausystem,mat_stahlbeton,NUTZT_MATERIAL,bsys_p2_plattenbausystem -NUTZT_MATERIAL-> mat_stahlbeton (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0020,rel,,bsys_secondary_timber_glulamst,mat_holz,NUTZT_MATERIAL,bsys_secondary_timber_glulamst -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0021,rel,,btvz_zuerichsee_oberland,mat_keramik,NUTZT_MATERIAL,btvz_zuerichsee_oberland -NUTZT_MATERIAL-> mat_keramik (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0022,rel,,btvz_zuerichsee_oberland,mat_lehm,NUTZT_MATERIAL,btvz_zuerichsee_oberland -NUTZT_MATERIAL-> mat_lehm (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0023,rel,,building_spares_market,mat_daemmstoff,NUTZT_MATERIAL,building_spares_market -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0024,rel,,cornermat_retrival,mat_keramik,NUTZT_MATERIAL,cornermat_retrival -NUTZT_MATERIAL-> mat_keramik (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0025,rel,,gebruiktebouwmaterialen,mat_stahl,NUTZT_MATERIAL,gebruiktebouwmaterialen -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0026,rel,,gebruiktebouwmaterialen,mat_ziegel,NUTZT_MATERIAL,gebruiktebouwmaterialen -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0027,rel,,la_ressourcerie_fribourg,mat_daemmstoff,NUTZT_MATERIAL,la_ressourcerie_fribourg -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0028,rel,,materiuum_geneve_ressourcerie,mat_aluminium,NUTZT_MATERIAL,materiuum_geneve_ressourcerie -NUTZT_MATERIAL-> mat_aluminium (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0029,rel,,materiuum_geneve_ressourcerie,mat_beton,NUTZT_MATERIAL,materiuum_geneve_ressourcerie -NUTZT_MATERIAL-> mat_beton (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0030,rel,,materiuum_geneve_ressourcerie,mat_holz,NUTZT_MATERIAL,materiuum_geneve_ressourcerie -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0031,rel,,materiuum_geneve_ressourcerie,mat_kunststoff,NUTZT_MATERIAL,materiuum_geneve_ressourcerie -NUTZT_MATERIAL-> mat_kunststoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0032,rel,,p_55_great_suffolk_street_london,mat_stahl,NUTZT_MATERIAL,p_55_great_suffolk_street_london -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0033,rel,,p_awm_muenster_circular_office,mat_glas,NUTZT_MATERIAL,p_awm_muenster_circular_office -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0034,rel,,p_awm_muenster_circular_office,mat_holz,NUTZT_MATERIAL,p_awm_muenster_circular_office -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0035,rel,,p_awm_muenster_circular_office,mat_kunststoff,NUTZT_MATERIAL,p_awm_muenster_circular_office -NUTZT_MATERIAL-> mat_kunststoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0036,rel,,p_awm_muenster_circular_office,mat_stahl,NUTZT_MATERIAL,p_awm_muenster_circular_office -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0037,rel,,p_brent_cross_town_primary_substation_london,mat_stahl,NUTZT_MATERIAL,p_brent_cross_town_primary_substation_london -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0038,rel,,p_circl_abn_amro,mat_holz,NUTZT_MATERIAL,p_circl_abn_amro -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0039,rel,,p_circl_abn_amro,mat_kunststoff,NUTZT_MATERIAL,p_circl_abn_amro -NUTZT_MATERIAL-> mat_kunststoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0040,rel,,p_circl_abn_amro,mat_stahl,NUTZT_MATERIAL,p_circl_abn_amro -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0041,rel,,p_crclr_house_impact_hub_berlin,mat_aluminium,NUTZT_MATERIAL,p_crclr_house_impact_hub_berlin -NUTZT_MATERIAL-> mat_aluminium (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0042,rel,,p_crclr_house_impact_hub_berlin,mat_glas,NUTZT_MATERIAL,p_crclr_house_impact_hub_berlin -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0043,rel,,p_crclr_house_impact_hub_berlin,mat_holz,NUTZT_MATERIAL,p_crclr_house_impact_hub_berlin -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0044,rel,,p_crclr_house_impact_hub_berlin,mat_keramik,NUTZT_MATERIAL,p_crclr_house_impact_hub_berlin -NUTZT_MATERIAL-> mat_keramik (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0045,rel,,p_crclr_house_impact_hub_berlin,mat_stahl,NUTZT_MATERIAL,p_crclr_house_impact_hub_berlin -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0046,rel,,p_elementa_walkeweg,mat_holz,NUTZT_MATERIAL,p_elementa_walkeweg -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0047,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_aluminium,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_aluminium (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0048,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_beton,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_beton (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0049,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_daemmstoff,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_daemmstoff (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0050,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_glas,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0051,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_holz,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0052,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_keramik,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_keramik (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0053,rel,,p_grubenstrasse_29_werkhof_29_zuerich,mat_stahl,NUTZT_MATERIAL,p_grubenstrasse_29_werkhof_29_zuerich -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0054,rel,,p_holbein_gardens_london,mat_naturstein,NUTZT_MATERIAL,p_holbein_gardens_london -NUTZT_MATERIAL-> mat_naturstein (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0055,rel,,p_holbein_gardens_london,mat_ziegel,NUTZT_MATERIAL,p_holbein_gardens_london -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0056,rel,,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,mat_beton,NUTZT_MATERIAL,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain -NUTZT_MATERIAL-> mat_beton (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0057,rel,,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,mat_holz,NUTZT_MATERIAL,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0058,rel,,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,mat_stahl,NUTZT_MATERIAL,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0059,rel,,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,mat_ziegel,NUTZT_MATERIAL,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0060,rel,,p_impact_hub_berlin_crclr_fitout,mat_glas,NUTZT_MATERIAL,p_impact_hub_berlin_crclr_fitout -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0061,rel,,p_impact_hub_berlin_crclr_fitout,mat_keramik,NUTZT_MATERIAL,p_impact_hub_berlin_crclr_fitout -NUTZT_MATERIAL-> mat_keramik (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0062,rel,,p_impact_hub_berlin_crclr_fitout,mat_stahl,NUTZT_MATERIAL,p_impact_hub_berlin_crclr_fitout -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0063,rel,,p_impact_hub_berlin_crclr_fitout,mat_ziegel,NUTZT_MATERIAL,p_impact_hub_berlin_crclr_fitout -NUTZT_MATERIAL-> mat_ziegel (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0064,rel,,p_maison_vignette_auderghem,mat_stahl,NUTZT_MATERIAL,p_maison_vignette_auderghem -NUTZT_MATERIAL-> mat_stahl (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0065,rel,,p_meduni_campus_mariannengasse,mat_glas,NUTZT_MATERIAL,p_meduni_campus_mariannengasse -NUTZT_MATERIAL-> mat_glas (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
w4_w4_03-0066,rel,,p_meduni_campus_mariannengasse,mat_holz,NUTZT_MATERIAL,p_meduni_campus_mariannengasse -NUTZT_MATERIAL-> mat_holz (W4 selective unsupported delete),contract,w3_04_catalogue_backfill.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-03,bg_-excluded selective delete; source=w3_04_catalogue_backfill.patch.jsonl,W4-03,element,,rel
