row_id,ledger_claim_id,claim_kind,element_id,entity_id,rel_type_or_label,verdict_shard,root_cause_bucket,source_urls_on_graph,url_origin_chain,git_anchor_run,git_anchor_date,in_agent06b_add_source_patch,in_agent08_unsourced_scope,agent06b_vs_agent08,residual_actor_flag,recommended_action,notes
G04-0011,A06B-node-0013,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39517,articonnex,Akteur,06b,06b_volume_cap_deferred,https://articonnex.com/|https://articonnex.com/collections/reemploi|https://www.jaimelesstartups.fr/articonnex-economie-circulaire-anti-gaspi-materieux-bricolage,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://articonnex.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://articonnex.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0012,A06B-node-0018,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39521,batrecup,Akteur,06b,06b_volume_cap_deferred,https://www.batrecup.com/|https://play.google.com/store/apps/details?id=com.batrecup|https://www.batrecup.com/batrecup-lappli-cest-parti,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.batrecup.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.batrecup.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0013,A06B-node-0026,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39522,building_spares_market,Akteur,06b,06b_volume_cap_deferred,https://buildingsparesmarket.co.uk/|https://buildingsparesmarket.co.uk/about|https://buildingsparesmarket.co.uk/sell-spare-and-second-hand-building-supplies-uk|https://buildingsparesmarket.co.uk/advert-category/general-building-materials,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://buildingsparesmarket.co.uk/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://buildingsparesmarket.co.uk/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0014,A06B-node-0038,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39523,cornermat_retrival,Akteur,06b,06b_volume_cap_deferred,https://www.cornermat.be/|https://www.cornermat.be/shop|https://advitam-material.be/nl/actor/cornermat,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.cornermat.be/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0015,A06B-node-0039,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39525,cycle_zero,Akteur,06b,06b_volume_cap_deferred,https://cyclezero.fr/|https://play.google.com/store/apps/details?id=com.cycle0.cycle0app|https://apps.apple.com/fr/app/cycle-z%C3%A9ro/id6443607769,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://cyclezero.fr/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0016,A06B-node-0090,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39533,materialenbank_leuven_atelier_circuler,Akteur,06b,06b_volume_cap_deferred,https://ateliercirculer.be/materialenbank|https://ateliercirculer.be/|https://ateliercirculer.be/materialenbank/catalogus|https://www.vvsg.be/kennis/praktijken/praktijkendatabank/materialenbank-leuven|https://pers.leuven.be/de-leuvense-materialenbank-redt-470-ton-materialen-in-2025-recordjaar-voor-circulaire-economie,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://ateliercirculer.be/materialenbank); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0017,A06B-node-0120,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39536,raedificare,Akteur,06b,06b_volume_cap_deferred,https://raedificare.com/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://raedificare.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0018,A06B-node-0123,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39537,re_store_harvestmap_vienna,Akteur,06b,06b_volume_cap_deferred,https://www.restore.or.at/|https://www.restore.or.at/impressum|https://www.materialnomaden.at/about,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.restore.or.at/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0019,A06B-node-0126,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39538,reempro,Akteur,06b,06b_volume_cap_deferred,https://www.reempro.com/marketplace|https://www.reempro.com/marketplace-reempro|https://www.reempro.com/on-parle-de-nous-sur-france-3,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.reempro.com/marketplace); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0020,A06B-node-0131,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39540,reuse_and_trade,Akteur,06b,06b_volume_cap_deferred,https://www.reuseandtrade.de/|https://www.reuseandtrade.de/artikeluebersicht/Schnaeppchen-fuer-Privatkunden.aspx|https://www.facebook.com/ReUseandTrade,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.reuseandtrade.de/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0021,A06B-node-0138,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39543,skop_marketplace,Akteur,06b,06b_volume_cap_deferred,https://marketplace.skop.app/|https://www.skop.app/marketplace-materiaux-reemploi|https://www.francenum.gouv.fr/activateurs/skop,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://marketplace.skop.app/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0022,A06B-node-0148,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39544,surplus_building_and_plumbing_materials,Akteur,06b,06b_volume_cap_deferred,https://surplusbuildingsupplies.co.uk/|https://surplusbuildingsupplies.co.uk/how-it-works|https://surplusbuildingsupplies.co.uk/building-materials.html,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://surplusbuildingsupplies.co.uk/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0023,A06B-node-0149,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39545,sustainability_yard,Akteur,06b,06b_volume_cap_deferred,https://sustainabilityyard.com/|https://sustainabilityyard.com/docs/sell-on-sustainability-yard|https://sustainabilityyard.com/docs/sell-on-sustainability-yard-business|https://materialreuseportal.com/Marketplace-Providers,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://sustainabilityyard.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0024,A10-N-065,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4757,prog_reallabor_be_ware,Programm,10,fetch_timeout_or_deferred,https://www.zrs.berlin/en/article/reallabor-lab-be-ware-from-research-straight-to-implementation,varies — see notes,Agent 06b verification — volume-cap deferral,2026-06-06,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,real ZRS Berlin reallab; re-fetch to confirm; [P6-05] real ZRS Berlin reallab; re-fetch to confirm
G04-0025,AKT-node-178,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4778,familie_lange,Akteur,08,miscast_private_anonymised,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,private family (Detlev Lange) - no public source (privacy); [P6-05] private family (Detlev Lange) - no public source (privacy)
G04-0026,A06B-node-0052,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4872,gebruiktebouwmaterialen,Akteur,06b,06b_volume_cap_deferred,https://gebruiktebouwmaterialen.com/|https://gebruiktebouwmaterialen.com/over-ons|https://gebruiktebouwmaterialen.com/assortiment.html|https://madaster.com/inspiration/madaster-and-gebruiktebouwmaterialen-com-collaborate-on-the-reuse-of-building-materials,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://gebruiktebouwmaterialen.com/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0027,AKT-node-360,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4911,recreate_dutch_cluster,Akteur,08,miscast_aggregate_cluster,,"ReCreate integration — aggregate sub-group node, no URL surface",Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,"aggregate sub-grouping of the ReCreate project, not a standalone actor - remodel as project part; [P6-05] aggregate sub-grouping of the ReCreate project, not a standalone actor - remodel as project part"
G04-0028,A10-N-066,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:509,prog_rebridge,Programm,10,fetch_timeout_or_deferred,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43252449/101216665/RFCS2027,varies — see notes,Agent 06b verification — volume-cap deferral,2026-06-06,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,plausible real RFCS project; re-fetch; [P6-05] plausible real RFCS project; re-fetch
G04-0029,AKT-node-405,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5174,studierende_freiwillige,Akteur,08,miscast_generic_group,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,"generic volunteer group (Studierende/Schulkinder/Freiwillige), typ Unbekannt - not an identifiable legal actor; [P6-05] generic volunteer group (Studierende/Schulkinder/Freiwillige), typ Unbekannt - not an identifiable legal actor"
G04-0030,AKT-node-211,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5208,haus_hos_privater_bauherr,Akteur,08,miscast_private_anonymised,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,anonymised private building owner - no public source (privacy); [P6-05] anonymised private building owner - no public source (privacy)
G04-0031,A10-N-004,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:537,software_ecotool,Software,10,software_program_source_weak,https://concular.de/ecotool/,varies — see notes,Agent 06b verification — volume-cap deferral,2026-06-06,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,source present; confirm concular.de/ecotool or map to CircularLCA; [P6-05] source present; confirm concular.de/ecotool or map to CircularLCA
G04-0032,AKT-node-251,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5371,kamikatsu_residents,Akteur,08,miscast_generic_group,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,generic 'local residents of Kamikatsu' - not an identifiable legal actor; [P6-05] generic 'local residents of Kamikatsu' - not an identifiable legal actor
G04-0033,AKT-node-291,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5468,maison_dna_private_owner,Akteur,08,miscast_private_anonymised,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,anonymised private client (Maison DnA) - no public source (privacy); [P6-05] anonymised private client (Maison DnA) - no public source (privacy)
G04-0034,AKT-node-292,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5479,maison_vignette_private_owner,Akteur,08,miscast_private_anonymised,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,anonymised private client (Maison Vignette) - no public source (privacy); [P6-05] anonymised private client (Maison Vignette) - no public source (privacy)
G04-0035,AKT-node-361,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5505,recreate_finnish_cluster,Akteur,08,miscast_aggregate_cluster,,"ReCreate integration — aggregate sub-group node, no URL surface",Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,"aggregate sub-grouping of the ReCreate project, not a standalone actor - remodel as project part; [P6-05] aggregate sub-grouping of the ReCreate project, not a standalone actor - remodel as project part"
G04-0036,AKT-node-346,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5905,private_bauherrschaft_villa_welpeloo,Akteur,08,miscast_private_anonymised,,Legacy geo/project intake — anonymised private actor stub,Agent 08 unsourced-actor triage (477 nodes without source_urls),2026-06-06,false,true,08 IN SCOPE (unsourced) — triaged UNVERIFIABLE miscast; 06b never touched,false,ESCALATE_HUMAN,anonymised private client (Villa Welpeloo) - no public source (privacy); [P6-05] anonymised private client (Villa Welpeloo) - no public source (privacy)
G04-0037,A06B-node-0077,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:60,la_ressourcerie_fribourg,Akteur,06b,06b_volume_cap_deferred,https://www.la-ressourcerie.ch/projets|https://www.la-ressourcerie.ch/les-mat%C3%A9riaux|https://www.la-ressourcerie.ch/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.la-ressourcerie.ch/projets); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0038,A06B-node-0084,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6266,marco_graber,Akteur,06b,06b_volume_cap_deferred,https://zirkular.net/en/project/recycling-center-juch-areal|https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/projets/recyclingzentrum-juch-areal|https://www.graberpulver.ch/projekt/recyclingzentrum-juch-areal,akteursliste_master.md → actor_registry (actor_registry_011_020) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://zirkular.net/en/project/recycling-center-juch-areal); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
