claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,scope,prior_verdict,prior_claim_id
Q05-EP09-r-0036,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:88,eike_roswag_klinge,zrs_ingenieure,VERBUNDEN_MIT_AKTEUR,eike_roswag_klinge -VERBUNDEN_MIT_AKTEUR-> zrs_ingenieure,web,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested",A,MISSING_EVIDENCE,EP09-r-0036
Q05-EP09-r-0037,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199364,jan_jongert,superuse_studios_2012architecten,VERBUNDEN_MIT_AKTEUR,jan_jongert -VERBUNDEN_MIT_AKTEUR-> superuse_studios_2012architecten,web,,true,200,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested | Q5: fetched but strict two-endpoint gate failed",A,MISSING_EVIDENCE,EP09-r-0037
Q05-EP09-r-0038,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199426,jeroen_bergsma,superuse_studios_2012architecten,VERBUNDEN_MIT_AKTEUR,jeroen_bergsma -VERBUNDEN_MIT_AKTEUR-> superuse_studios_2012architecten,web,,true,200,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested | Q5: fetched but strict two-endpoint gate failed",A,MISSING_EVIDENCE,EP09-r-0038
Q05-EP09-r-0039,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917642277338782321,materialnomaden,re_store_harvestmap_vienna,VERBUNDEN_MIT_AKTEUR,materialnomaden -VERBUNDEN_MIT_AKTEUR-> re_store_harvestmap_vienna,web,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested",A,MISSING_EVIDENCE,EP09-r-0039
Q05-EP09-r-0040,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931917937,re_store_harvestmap_vienna,peter_kneidinger,VERBUNDEN_MIT_AKTEUR,re_store_harvestmap_vienna -VERBUNDEN_MIT_AKTEUR-> peter_kneidinger,web,,true,200,PARTIAL,teilweise_belegt,,ESCALATE_HUMAN,Q05,post-R03/R04 merge survivor — stale elementId re-attested | Q5: fetched but strict two-endpoint gate failed,A,PARTIAL,EP09-r-0040
Q05-EP09-r-0041,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:94,uwe_seiler,zrs_ingenieure,VERBUNDEN_MIT_AKTEUR,uwe_seiler -VERBUNDEN_MIT_AKTEUR-> zrs_ingenieure,web,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with zrs->uwe_seiler (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP; post-R03/R04 merge survivor — stale elementId re-attested,A,MISSING_EVIDENCE,EP09-r-0041
Q05-AG01-r-0019,rel,r_cirkla__verbunden_mit_akteur__wick_reuse_roto_baumarkt,cirkla,wick_reuse_roto_baumarkt,VERBUNDEN_MIT_AKTEUR,Wick ReUse listed in Cirkla reuse directory (directory),web,https://www.cirkla.ch/en/lassociation-cirkla/,true,200,PROVEN,belegt,"the cirkla association - cirkla img:is([sizes=""auto"" i], [sizes^=""auto,"" i]) { contain-intrinsic-size: 3",ADD_SOURCE,Q05,"cited Cirkla directory URL is dead; relationship salvageable via Cirkla committee page 'Elias Knecht - Committee member, ROTO-Reuse'",B,DEAD_LINK,AG01-r-0019
Q05-A14-ORPH-001,node,c33_circular_construction_catalyst,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,,ESCALATE_HUMAN,Q05,non-vocab orphan; CH actor in Agent 01 scope; connect-or-deprecate decision,B,SCHEMA_VIOLATION,A14-ORPH-001
Q05-A14-ORPH-002,node,circular_economy_switzerland,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,,ESCALATE_HUMAN,Q05,non-vocab orphan; CH actor in Agent 01 scope,B,SCHEMA_VIOLATION,A14-ORPH-002
Q05-A14-BIDIR-026,rel,pair:catherine_de_wolf--eth_zuerich,catherine_de_wolf,eth_zuerich,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-026
Q05-A14-BIDIR-035,rel,pair:cirkla--pascal_flammer_architekten,cirkla,pascal_flammer_architekten,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-035
Q05-A14-BIDIR-036,rel,pair:cirkla--urban_bricolage,cirkla,urban_bricolage,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-036
Q05-A14-BIDIR-052,rel,pair:gruner_ag--gruner_reuse_platform,gruner_ag,gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-052
Q05-A14-BIDIR-073,rel,pair:materiuum--materiuum_geneve_ressourcerie,materiuum,materiuum_geneve_ressourcerie,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-073
Q05-A14-BIDIR-074,rel,pair:materiuum--ressourcerie_lausanne_materiuum_ruul,materiuum,ressourcerie_lausanne_materiuum_ruul,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-074
Q05-A14-BIDIR-007,rel,pair:Rotor--opalis,Rotor,opalis,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-007
Q05-A14-BIDIR-067,rel,pair:maarten_gielen--opalis,maarten_gielen,opalis,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-067
Q05-A14-BIDIR-005,rel,pair:Rotor--lionel_devlieger,Rotor,lionel_devlieger,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-005
Q05-A14-BIDIR-006,rel,pair:Rotor--maarten_gielen,Rotor,maarten_gielen,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-006
Q05-A14-BIDIR-008,rel,pair:Rotor--tristan_boniver,Rotor,tristan_boniver,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-008
Q05-A14-BIDIR-032,rel,pair:circular_material_systems--tu_berlin,circular_material_systems,tu_berlin,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-032
Q05-A14-BIDIR-049,rel,pair:georg_hubmann--tu_berlin,georg_hubmann,tu_berlin,VERBUNDEN_MIT_AKTEUR,Bidirectional VERBUNDEN_MIT_AKTEUR pair (a->b and b->a both present; dedup regression),web,read-cypher bidirectional scan,false,,SCHEMA_VIOLATION,,,MERGE_DUPLICATE,Q05,collapse to single canonical direction,B,SCHEMA_VIOLATION,A14-BIDIR-049
Q05-A14-ORPH-003,node,repurpose,,,Akteur,Akteur node has zero relationships (orphan),web,read-cypher orphan scan,false,,SCHEMA_VIOLATION,,,ESCALATE_HUMAN,Q05,non-vocab orphan; NL actor in Agent 05 scope; also carries stray 'land' key,B,SCHEMA_VIOLATION,A14-ORPH-003
Q05-agent07-rel-0708,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917691755361994487,bw_ka13_existing_building,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0708
Q05-agent07-rel-0709,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917691755361994539,bw_ka13_existing_building,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0709
Q05-agent07-rel-0710,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448510,bw_lycee_block_3000,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0710
Q05-agent07-rel-0711,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763262,bw_lycee_block_3000,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0711
Q05-agent07-rel-0712,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448511,bw_lycee_block_6000,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0712
Q05-agent07-rel-0713,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763263,bw_lycee_block_6000,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0713
Q05-agent07-rel-0714,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448593,bw_multi_brouckere_tower,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0714
Q05-agent07-rel-0715,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763345,bw_multi_brouckere_tower,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0715
Q05-agent07-rel-0716,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448354,bw_rws_districtskantoor_terneuzen,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0716
Q05-agent07-rel-0717,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763106,bw_rws_districtskantoor_terneuzen,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0717
Q05-agent07-rel-0718,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448573,bw_suutarila_community_centre_donor,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0718
Q05-agent07-rel-0719,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763325,bw_suutarila_community_centre_donor,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0719
Q05-agent07-rel-0720,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141448452,bw_werkhof_moeoeslistrasse,nf_schadstoffpruefung,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0720
Q05-agent07-rel-0721,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763204,bw_werkhof_moeoeslistrasse,nf_asbest_check,ERFORDERT_NACHWEIS,"Gebaeude vor 31.10.1993: Asbestverdacht; Informationspflicht ueber Gefahrstoffe vor Bau-, Instandhaltungs- oder Rueckbauarbeiten; risikobezogenes Massnahmenkonzept.",web,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,true,200,PROVEN,belegt,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",RESOURCE,Q05,URL returns 404 Not Found; content exists at bgbau.de/.../asbest/neue-gefahrstoffverordnung (without -2024 suffix). RESOURCE to working URL; underlying GefStoffV-2024 claim is true,B,DEAD_LINK,agent07-rel-0721
