delta_action,pass_scope,claim_id,claim_kind,graph_element_id,from_id,to_id,rel_type_or_label,prior_verdict,new_verdict,reason,notes
REMOVE,Q1,agent07-rel-0328,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759348,bt_fassadenmodul_mauerwerk,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0690,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129818,bt_verglasung,nf_sicherheitsglas_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0691,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759322,bt_verglasung,nf_absturzsicherung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0693,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129816,mat_drahtglas,nf_sicherheitsglas_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-0694,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759320,mat_drahtglas,nf_absturzsicherung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1066,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444569,bt_glasscheibe,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1067,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768815065,bt_glasscheibe,nf_u_wert_oder_energie_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1068,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444570,bt_verglasung,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1069,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768815066,bt_verglasung,nf_u_wert_oder_energie_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1070,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444568,mat_drahtglas,nf_materialpruefung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1071,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768815064,mat_drahtglas,nf_u_wert_oder_energie_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1348,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327759331,bt_fassadenelement,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1349,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444579,bt_fassadenelement,nf_u_wert_oder_energie_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1350,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141444596,bt_fassadenmodul_mauerwerk,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-1351,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955129844,bt_fassadenmodul_mauerwerk,nf_u_wert_oder_energie_info,ERFORDERT_NACHWEIS,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-2843,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159840731280442868,bt_fassadenmodul_mauerwerk,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-2844,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387116,bt_mauerstein,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-2845,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072364,bt_mauerstein,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387070,bt_hohlkoerperdecke,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072318,bt_hohlkoerperdecke,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3025,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387069,mat_spannbeton,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3026,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072317,mat_spannbeton,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466757593,bt_glasscheibe,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466757594,bt_verglasung,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466757592,mat_drahtglas,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3187,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072345,bt_glasscheibe,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3188,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387097,bt_glasscheibe,rf_bauphysik_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3189,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072346,bt_verglasung,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3190,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387098,bt_verglasung,rf_bauphysik_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3191,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072344,mat_drahtglas,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3192,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387096,mat_drahtglas,rf_bauphysik_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3473,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072355,bt_fassadenelement,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3474,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466757603,bt_fassadenelement,rf_brandschutz_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3475,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387107,bt_fassadenelement,rf_bauphysik_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3476,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653072372,bt_fassadenmodul_mauerwerk,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3477,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466757620,bt_fassadenmodul_mauerwerk,rf_brandschutz_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q1,agent07-rel-3478,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839387124,bt_fassadenmodul_mauerwerk,rf_bauphysik_frage,TRIGGERS_REGULIERUNGSFRAGE,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q1
REMOVE,Q2,09-lil-0468,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118725,bw_berlin_fitout_donor_sources,land_deutschland,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0469,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118324,bw_chiro_itterbeek_reuse_supply_network,land_belgien,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0472,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155278857536804522,bw_externe_stahl_donor_stockholder,land_vereinigtes_koenigreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0473,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118684,bw_holbein_grosvenor_donor_projects,land_vereinigtes_koenigreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0474,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118900,bw_lo_reninge_reuse_brick_source,land_belgien,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0475,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118928,bw_maison_des_canaux_unspecified_donors,land_frankreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0476,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118938,bw_maison_dna_unknown_brick_donor,land_belgien,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0477,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119091,bw_messebau_lager_hannover,land_deutschland,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0478,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118284,bw_p2_massenwohnungsbau_donor_unknown,land_deutschland,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0479,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118391,bw_paris_material_sources_circular_pavilion,land_frankreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0480,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118469,bw_paris_regional_donor_sources_ferme_du_rail,land_frankreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0481,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119080,bw_unbekanntes_transformationsgebaeude_kellerwaende,land_schweiz,LIEGT_IN_LAND,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0482,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118491,bw_unknown_brick_donor_sources_gjg,land_belgien,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lil-0483,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118293,bw_unknown_demolition_wood_streams,land_vereinigtes_koenigreich,LIEGT_IN_LAND,PROVEN,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0149,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490949,bw_berlin_fitout_donor_sources,stadt_berlin,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0150,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490548,bw_chiro_itterbeek_reuse_supply_network,stadt_dilbeek,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0152,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491498,bw_externe_stahl_donor_stockholder,stadt_london,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0153,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490908,bw_holbein_grosvenor_donor_projects,stadt_london,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0154,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491124,bw_lo_reninge_reuse_brick_source,stadt_lo_reninge,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0155,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491152,bw_maison_des_canaux_unspecified_donors,stadt_paris,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0156,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491162,bw_maison_dna_unknown_brick_donor,stadt_asse,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0157,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491315,bw_messebau_lager_hannover,stadt_hannover,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0158,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490508,bw_p2_massenwohnungsbau_donor_unknown,stadt_hoyerswerda,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0159,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490615,bw_paris_material_sources_circular_pavilion,stadt_paris,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0160,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490693,bw_paris_regional_donor_sources_ferme_du_rail,stadt_paris,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0161,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490715,bw_unknown_brick_donor_sources_gjg,stadt_gentbrugge,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0162,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490517,bw_unknown_demolition_wood_streams,stadt_london,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-lis-0164,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211485723,bw_wbs70_donor_groeditz,stadt_groeditz,LIEGT_IN_STADT,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885897149,bg_beton_mehrere_recrete_betonbloecke_bogensegmente,bw_unbekanntes_transformationsgebaeude_kellerwaende,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896973,bg_beton_wand_chiro_surplus_blocks,bw_chiro_itterbeek_reuse_supply_network,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896974,bg_daemmstoff_daemmung_chiro_surplus_floor_wall,bw_chiro_itterbeek_reuse_supply_network,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896985,bg_daemmstoff_daemmung_circular_pavilion_mineral_wool,bw_paris_material_sources_circular_pavilion,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885897211,bg_daemmstoff_daemmung_zinneke_feder_steinwolle,bw_unbekannte_donor_buildings_zinneke_material_lots,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885897010,bg_holz_ausbau_ferme_fixed_cupboards,bw_paris_regional_donor_sources_ferme_du_rail,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896987,bg_holz_boden_circular_pavilion_terrace_decking,bw_paris_material_sources_circular_pavilion,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0037,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885897206,bg_holz_boden_zinneke_feder_eichenparkett_azobe,bw_unbekannte_donor_buildings_zinneke_material_lots,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0044,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896977,bg_holz_fenster_chiro,bw_chiro_itterbeek_reuse_supply_network,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0049,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896955,bg_holz_mehrere_cascadeup_clst_floor_panels,bw_unknown_demolition_wood_streams,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0050,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896957,bg_holz_mehrere_cascadeup_glulamst_frame,bw_unknown_demolition_wood_streams,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0051,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896975,bg_holz_mehrere_chiro_surplus_roof_frame,bw_chiro_itterbeek_reuse_supply_network,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0052,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896989,bg_holz_mehrere_circular_pavilion_doors_facade,bw_paris_material_sources_circular_pavilion,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0053,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896984,bg_holz_mehrere_circular_pavilion_exhibition_panels,bw_paris_material_sources_circular_pavilion,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
REMOVE,Q2,09-aus_spender-0054,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153089729885896988,bg_holz_mehrere_circular_pavilion_structure,bw_paris_material_sources_circular_pavilion,AUS_SPENDER,PARTIAL,REMOVED,element absent from live mit-bestand graph after quality pass,P6-05 stale row; classified Q2
