g05_id,claim_id,element_kind,from_id,to_id,rel_type,violation_class,origin_pipeline,ledger_verdict,ledger_action,ledger_agent,git_first_commit,git_first_date,git_first_author,git_first_subject,git_first_files,repo_files_now,notes
G05-011,A12-rel-0001,rel,stadt_zuerich,ar_bauherr_auftraggeber,,stadt_zuerich_domain,geo_project_import+phase_r_backfill,SCHEMA_VIOLATION,ESCALATE_HUMAN,12,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/exports/bauteilboerse_network_2026-06-01.json; _neo4j/exports/bauteilboerse_network_2026-06-02.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/p_grubenstrasse_29_werkhof_29_zuerich.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_005/p_grubenstrasse_29_werkhof_29_zuerich.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_007/p_juch_areal_recyclingzentrum_zuerich.kg.jsonl,re-point to Akteur stadt_zuerich_amt_hochbauten or remove; city-as-actor domain mismatch; [P6-05] re-point to Akteur stadt_zuerich_amt_hochbauten or remove; city-as-actor domain mismatch
G05-012,A10-R-087,rel,prog_recreate,prog_forschungsprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/PIPELINE.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/QUICK_REF.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/AGENT_NOTES.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/controlled_terms.delta.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere.kg.jsonl,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-013,A10-R-071,rel,p_lycee_michel_lucius_conversion_luxembourg,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,3fa49bd73d52,2026-05-13,Kinan Sarakbi,migrate 3,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/manifest.json; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kamikatsu_zero_waste_center_hotel_why.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kindergarten_moeoeslistrasse_manegg_zuerich.kg.jsonl,_neo4j/FINAL_QUELLE_AUDIT.md; _neo4j/FINAL_REVIEW_PLAN_AUDIT.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/p_lycee_michel_lucius_conversion_luxembourg.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/validation_report.md,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-014,A10-R-073,rel,p_mehrow_pilot_house,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,3fa49bd73d52,2026-05-13,Kinan Sarakbi,migrate 3,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/manifest.json; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kamikatsu_zero_waste_center_hotel_why.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kindergarten_moeoeslistrasse_manegg_zuerich.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/p_mehrow_pilot_house.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/validation_report.md; _neo4j/intake/archive/2026-06-05_entwurfsqualitaet/designQuality.md; _neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_existing_graph_connections_PRIORITY_DEEPER_KEEPALL.json,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-015,A10-R-075,rel,p_melkinlaituri_primary_school_daycare_centre_helsinki,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,5dd44245f8aa,2026-05-13,Kinan Sarakbi,migrate 5,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/manifest.json; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_melkinlaituri_primary_school_daycare_centre_helsinki.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_montessori_maassluis.kg.jsonl,_neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/actor_registry_051_060_neo4j/neo4j_exports/registry/actor_registry_051_060/actors_051_060.registry.kg.jsonl; _neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/canonical/actor_registry_051_060/actors_051_060.canonical.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_melkinlaituri_primary_school_daycare_centre_helsinki.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/validation_report.md,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-016,A10-R-078,rel,p_recrete_footbridge_reused_concrete_blocks,prog_forschungsprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,5dd44245f8aa,2026-05-13,Kinan Sarakbi,migrate 5,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/manifest.json; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_melkinlaituri_primary_school_daycare_centre_helsinki.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_montessori_maassluis.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_011_exports/neo4j_exports/batches/batch_011/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_011_exports/neo4j_exports/batches/batch_011/p_recrete_footbridge_reused_concrete_blocks.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_011_exports/neo4j_exports/batches/batch_011/validation_report.md; _neo4j/intake/archive/2026-06-05_entwurfsqualitaet/designQuality.md; _neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_existing_graph_connections_PRIORITY_DEEPER_KEEPALL.json,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-017,A10-R-079,rel,p_recyclinghaus_hannover,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,5dd44245f8aa,2026-05-13,Kinan Sarakbi,migrate 5,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/manifest.json; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_melkinlaituri_primary_school_daycare_centre_helsinki.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_montessori_maassluis.kg.jsonl,_neo4j/FINAL_QUELLE_AUDIT.md; _neo4j/QUELLE_REMEDIATION/PLAN_trace_zitiert_quelle_to_urls.md; _neo4j/QUELLE_REMEDIATION/SOURCE_REFERENCING_MINIMAL_NODE_SAMPLES.md; _neo4j/QUELLE_REMEDIATION/SOURCE_REFERENCING_THREE_EXAMPLES_PER_TYPE.md; _neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/actor_registry_011_020_neo4j/neo4j_exports/registry/actor_registry_011_020/actors_011_020.registry.kg.jsonl,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-018,A12-rel-0002,rel,stadt_zuerich,ar_oeffentliche_hand_foerderung,,stadt_zuerich_domain,geo_project_import+phase_r_backfill,SCHEMA_VIOLATION,ESCALATE_HUMAN,12,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/exports/bauteilboerse_network_2026-06-01.json; _neo4j/exports/bauteilboerse_network_2026-06-02.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/p_grubenstrasse_29_werkhof_29_zuerich.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_005/p_grubenstrasse_29_werkhof_29_zuerich.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_007/p_juch_areal_recyclingzentrum_zuerich.kg.jsonl,re-point to Akteur stadt_zuerich_amt_hochbauten or remove; [P6-05] re-point to Akteur stadt_zuerich_amt_hochbauten or remove
G05-019,A10-R-088,rel,prog_recreate,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/PIPELINE.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/QUICK_REF.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/AGENT_NOTES.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/controlled_terms.delta.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_005_exports/neo4j_exports/batches/batch_005/p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere.kg.jsonl,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-020,A10-R-047,rel,software_bim,tool_bauteilkatalog,,software_self_wiring,project_vocab_controlled_terms,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,d71b13fd4ee8,2026-05-11,Kinan Sarakbi,added types and concrete edges,_database/_edges/clean_confirmed_edges.csv; _database/_system/node_inventory.csv; _database/_system/reuse_ontology.sqlite; _database/_system/sqlite_build_report.md; _database/_system/tolaria_decision_map.md; _database/aufbereitungsverfahren/Reinigung/index.md; _database/aufbereitungsverfahren/Remanufacturing/index.md; _database/aufbereitungsverfahren/Verstaerkung/index.md,_neo4j/QUELLE_REMEDIATION/PLAN_trace_zitiert_quelle_to_urls.md; _neo4j/QUELLE_REMEDIATION/SOURCE_REFERENCING_MINIMAL_NODE_SAMPLES.md; _neo4j/QUELLE_REMEDIATION/SOURCE_REFERENCING_THREE_EXAMPLES_PER_TYPE.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_007/controlled_terms.delta.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_007_exports/neo4j_exports/batches/batch_007/controlled_terms.delta.jsonl,generic-concept self-wiring; candidate delete/merge; [P6-05] generic-concept self-wiring; candidate delete/merge
G05-021,A10-R-072,rel,p_maison_vignette_auderghem,prog_foerderprogramm,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,3fa49bd73d52,2026-05-13,Kinan Sarakbi,migrate 3,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/manifest.json; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kamikatsu_zero_waste_center_hotel_why.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_kindergarten_moeoeslistrasse_manegg_zuerich.kg.jsonl,_neo4j/FINAL_QUELLE_AUDIT.md; _neo4j/FINAL_REVIEW_PLAN_AUDIT.md; _neo4j/exports/bauteilboerse_network_2026-06-01.json; _neo4j/exports/bauteilboerse_network_2026-06-02.json; _neo4j/exports/bauteilboerse_network_compact_2026-06-01.json,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-022,A10-R-060,rel,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,prog_forschungsprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_004_exports/neo4j_exports/batches/batch_004/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_004_exports/neo4j_exports/batches/batch_004/p_circular_centre_netherlands_prinsenhof_a_reuse_pilot.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_004_exports/neo4j_exports/batches/batch_004/validation_report.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/PACKAGE_MANIFEST.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/archive_individual_batch_zips/neo4j_batch_004_exports.zip,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-023,A10-R-056,rel,p_berlin_schildow_pilot_house,prog_pilotprojekt,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/QUELLE_REMEDIATION/PLAN_trace_zitiert_quelle_to_urls.md; _neo4j/QUELLE_REMEDIATION/SOURCE_REFERENCING_MINIMAL_NODE_SAMPLES.md; _neo4j/REVIEW_BASED_PLAN.md; _neo4j/REVIEW_BASED_PLAN/AGENT_5_loader_hardening.md; _neo4j/REVIEW_BASED_PLAN/POST_STAGE4_FOLLOWUPS.md,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-024,A10-R-057,rel,p_big_dig_building_boston,prog_wettbewerb,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,.cursor/mcp.json; _database/_system/_tmp_snapshot_test.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_import.cypher; _neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_transformed.md; _neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/ANALYSIS.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_001_exports/batches/batch_001/manifest.json; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_001_exports/batches/batch_001/p_big_dig_building_boston.kg.jsonl; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_001_exports/batches/batch_001/validation_report.md; _neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/PACKAGE_MANIFEST.json,edge to non-entity programme; [P6-05] edge to non-entity programme
G05-025,A10-R-084,rel,p_zinneke_feder_masui4ever_brussels,prog_foerderprogramm,,teil_von_generic_programm,project_batch_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,5dd44245f8aa,2026-05-13,Kinan Sarakbi,migrate 5,_neo4j/neo4j batch/NEO4J_BATCH_ANALYSIS.md; _neo4j/neo4j batch/NEO4J_BATCH_PIPELINE.md; _neo4j/neo4j batch/NEO4J_BATCH_QUICK_REF.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/AGENT_NOTES.md; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/controlled_terms.delta.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/manifest.json; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_melkinlaituri_primary_school_daycare_centre_helsinki.kg.jsonl; _neo4j/neo4j batch/neo4j_batch_010_exports/neo4j_exports/batches/batch_010/p_montessori_maassluis.kg.jsonl,_neo4j/exports/bauteilboerse_network_2026-06-01.json; _neo4j/exports/bauteilboerse_network_2026-06-02.json; _neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/actor_registry_031_040_neo4j/neo4j_exports/registry/actor_registry_031_040/actors_031_040.registry.kg.jsonl; _neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/actor_registry_031_040_neo4j/neo4j_exports/registry/actor_registry_031_040/validation_report.md; _neo4j/intake/archive/2026-05-15_actor_registry_seed/raw_tree/actor_registry_071_080_neo4j/neo4j_exports/registry/actor_registry_071_080/actors_071_080.registry.kg.jsonl,edge to non-entity programme; [P6-05] edge to non-entity programme
