g02_id,ep03_claim_id,r07_claim_id,element_id,from_id,to_id,rel_type,ep03_verdict,r07_verdict,basis_ref,graph_evidence_url,graph_evidence_quote,graph_review_run,graph_rel_id,origin_intake_run,origin_script_path,origin_git_head,network_json_evidence_url,network_json_evidence_quote,network_enrichment_run,enrichment_json_path,enrichment_evidence_url,enrichment_evidence_quote,r07_recovery_source,r07_notes,weak_evidence_class,provenance_notes
G02-0011,EP03-0025,R07-0178,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292319,baticycle,bt_treppe,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://baticycle.fr/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://baticycle.fr/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0012,EP03-0038,R07-0179,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866081,batrecup,bt_fenster,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.batrecup.com/batrecup-lappli-cest-parti,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.batrecup.com/materiaux-recyclables-et-reemploi/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0013,EP03-0039,R07-0180,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180833,batrecup,bt_tuer,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.batrecup.com/batrecup-lappli-cest-parti,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.batrecup.com/materiaux-recyclables-et-reemploi/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0014,EP03-0062,R07-0181,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511972881,bauteilboerse_basel_overall,bt_dach,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0015,EP03-0063,R07-0182,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698287633,bauteilboerse_basel_overall,bt_decke,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0016,EP03-0065,R07-0183,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325658129,bauteilboerse_basel_overall,bt_gelaender,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0017,EP03-0067,R07-0184,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1173254773139343377,bauteilboerse_basel_overall,bt_traeger,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0018,EP03-0068,R07-0185,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070917137,bauteilboerse_basel_overall,bt_tuer,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0019,EP03-0069,R07-0186,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602385,bauteilboerse_basel_overall,bt_wand,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://bauteilboerse-basel.ch/ueber-uns/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://bauteilboerse-basel.ch/bauteile/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0020,EP03-0071,R07-0187,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888933,bauteilboerse_bremen,bt_fassade,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.bauteilboerse-bremen.de/start,https://www.bauteilboerse-bremen.de/start,Start Toggle navigation bauteilbörse bremen --> Start Katalog Fenster Türen Hof & Garten Böden & Treppen Wände & Innenraum Sanitär & Heizung Elektro Schätze & Upcycling Dach & Fassade Suche Merkzettel Die Idee Über uns Vereine Aktuelles Film der Bundesstiftung Bauakademie Kontakt Merkzettel Suche --> Willkommen in der bauteilbörse bremen!,quality_pass_q04_2026_06_06,r_deep_bauteilboerse_bremen__HAT_BAUTEILTYP__bt_fassade,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.bauteilboerse-bremen.de/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
G02-0021,EP03-0073,R07-0071,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698259429,bauteilboerse_bremen,bt_gelaender,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.bauteilboerse-bremen.de/start,https://www.bauteilboerse-bremen.de/katalog,Aber auch Balkongeländer sind manchmal vorrätig.,quality_pass_q04_2026_06_06,r_deeper_bauteilboerse_bremen__HAT_BAUTEILTYP__bt_gelaender,network_json deeper node-types slice,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.bauteilboerse-bremen.de/start,,edge_enrichment_deeper_existing_node_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; bauteilboersen_enrichment_json,partial_despite_some_evidence,enrichment_run=edge_enrichment_deeper_existing_node_types_2026_06_01
G02-0022,EP03-0074,R07-0072,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147941,bauteilboerse_bremen,bt_technik,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.bauteilboerse-bremen.de/start,,,quality_pass_q04_2026_06_06,r_deep_bauteilboerse_bremen__HAT_BAUTEILTYP__bt_technik,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.bauteilboerse-bremen.de/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; bauteilboersen_enrichment_json,url_in_json_no_quote_never_imported_to_graph,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
G02-0023,EP03-0098,R07-0084,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888934,bauteilnetz_deutschland,bt_technik,HAT_BAUTEILTYP,PARTIAL,PARTIAL,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,,,quality_pass_q04_2026_06_06,r_bauteilnetz_deutschland__HAT_BAUTEILTYP__bt_technik,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.dbu.de/projektbeispiele/das-bauteilnetz-deutschland/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; bauteilboersen_enrichment_json,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0024,EP03-0099,R07-0085,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257203686,bauteilnetz_deutschland,bt_tuer,HAT_BAUTEILTYP,PARTIAL,PARTIAL,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,Reinhard Loske zum Bauteilkatalog zum Bauteilkatalog Die Idee Ziele Nachhaltigkeit lernen Meinungen Beratung und Angebote Der Bundesverband Aktivitäten Vereinssatzung Aktuelles Veranstaltungen Handlungsleitfaden Dokumentation Planen und Bauen Aktionstagebuch Wissenswertes Pressespiegel DBU-Projekt Bauteilbörsen Verzeichnis Historisches Baumaterial European Circle Unterstützer*innen Planer*innen Energieagenturen Entsorgungsbetriebe Handwerk Institute Verbände Materialprüfungen Impressum Regionale,quality_pass_q04_2026_06_06,r_bauteilnetz_deutschland__HAT_BAUTEILTYP__bt_tuer,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.dbu.de/projektbeispiele/das-bauteilnetz-deutschland/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; bauteilboersen_enrichment_json,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0025,EP03-0569,R07-0188,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698287635,btvz_zuerichsee_oberland,bt_ausbau,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.btvz.ch/suchliste/,https://www.btvz.ch/portraet/,Der Ausbau erfolgt durch das Team der Stiftung Chance.,quality_pass_q04_2026_06_06,r_btvz_zuerichsee_oberland__HAT_BAUTEILTYP__bt_ausbau,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.btvz.ch/portraet/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0026,EP03-0570,R07-0189,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602387,btvz_zuerichsee_oberland,bt_boden,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://www.btvz.ch/suchliste/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.btvz.ch/portraet/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0027,EP03-0576,R07-0190,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662818,building_spares_market,bt_ausbau,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://buildingsparesmarket.co.uk/advert-category/general-building-materials,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://buildingsparesmarket.co.uk/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0028,EP03-0581,R07-0191,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977570,building_spares_market,bt_technik,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://buildingsparesmarket.co.uk/advert-category/general-building-materials,https://buildingsparesmarket.co.uk/,"Register here Spare building material categories Architectural Salvage and Antiques Building Site Equipment Doors, Windows and Joinery Everything Else Free Items General Building Materials Insulation Kitchens, Interiors and Flooring Landscaping, Fencing and Groundworks Painting and Decorating Plasterboard and Plastering Supplies Plumbing, Heating and Bathrooms Roofing Supplies and External Fixtures Timber and Sheet Materials Top Picks Category Buy building materials Nice things near you Register",quality_pass_q04_2026_06_06,r_building_spares_market__HAT_BAUTEILTYP__bt_technik,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://buildingsparesmarket.co.uk/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0029,EP03-0585,R07-0192,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629831783,cleveland_steel_tubes,bt_stuetze,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://cleveland-steel.com/,,,,,network_json slice actor_edge_enrichment_deep_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.cleveland-steel.com/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0030,EP03-0586,R07-0193,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816146535,cleveland_steel_tubes,bt_traeger,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://cleveland-steel.com/,,,,,network_json slice actor_edge_enrichment_deep_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.cleveland-steel.com/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0031,EP03-0587,R07-0194,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888877,concular,bt_ausbau,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://concular.de/urban-mining/,https://concular.de/urban-mining/,Kreislaufgerechte Büroausstattung Komplettservice Ausbau-Einbau-Reporting 5 Jahre Hersteller-Garantie Über 1.000 erfolgreiche Projekte und Millionen Materialien im Kreislauf geführt – die #1 für zirkuläre Immobilien.,quality_pass_q04_2026_06_06,r_deep_concular__HAT_BAUTEILTYP__bt_ausbau,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://concular.shop/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
