log_id,action,graph_element_id,claim_id,source_pass,prior_verdict,new_verdict,reason
F09-LOG-00020,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2380,EP08-n-0655,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00021,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2384,EP08-n-0657,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00022,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2385,EP08-n-0658,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00023,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2390,EP08-n-0663,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00024,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2391,EP08-n-0664,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00025,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2392,EP08-n-0665,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00026,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2393,EP08-n-0666,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00027,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2418,EP08-n-0691,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00028,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2419,EP08-n-0692,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00029,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2427,EP08-n-0700,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00030,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2428,EP08-n-0701,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00031,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2429,EP08-n-0702,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00032,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2430,EP08-n-0703,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00033,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2439,EP08-n-0715,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00034,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2440,EP08-n-0712,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00035,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2441,EP08-n-0713,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00036,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2458,EP08-n-0731,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00037,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2459,EP08-n-0732,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00038,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2462,EP08-n-0743,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00039,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2464,EP08-n-0735,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00040,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2466,EP08-n-0737,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00041,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2467,EP08-n-0738,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00042,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2468,EP08-n-0739,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00043,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2469,EP08-n-0740,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00044,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2470,EP08-n-0741,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00045,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2473,EP08-n-0746,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00046,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2474,EP08-n-0747,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00047,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2481,EP08-n-0754,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00048,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2482,EP08-n-0755,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00049,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2491,EP08-n-0764,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00050,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2506,EP08-n-0783,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00051,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2507,EP08-n-0779,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00052,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2508,EP08-n-0780,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00053,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:533,P604-A10-N-058,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00054,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6201,F04-node-0007,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00055,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6312,F04-node-0009,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00056,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6325,F04-node-0011,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00057,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6374,F04-node-0017,F04,UNVERIFIABLE,UNVERIFIABLE,verdict/fields updated
F09-LOG-00058,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6397,F04-node-0015,F04,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00059,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6404,F04-node-0018,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00060,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6477,F04-node-0006,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00061,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6517,F04-node-0001,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00062,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6519,F04-node-0002,F04,UNVERIFIABLE,UNVERIFIABLE,verdict/fields updated
F09-LOG-00063,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6521,F04-node-0004,F04,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00064,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6534,F04-node-0010,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00065,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6540,F04-node-0008,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00066,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6542,F04-node-0012,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00067,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6545,F04-node-0013,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00068,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6558,A02-node-0010,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00069,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6578,A14-NODEKEY-002,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00070,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6599,A02-node-0011,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00071,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6637,A02-node-0012,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00072,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6660,F04-node-0003,F04,UNVERIFIABLE,UNVERIFIABLE,verdict/fields updated
F09-LOG-00073,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6676,F04-node-0005,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00074,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6677,F04-node-0014,F04,UNVERIFIABLE,UNVERIFIABLE,verdict/fields updated
F09-LOG-00075,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6682,F04-node-0016,F04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00076,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:781,P6-new-node-pn_epd_oder_lca_nachweis,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00077,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:783,P6-new-node-pn_materialpass_oder_dpp,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00078,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:784,P6-new-node-pn_barrierefreiheitsaudit,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00079,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:785,P6-new-node-pn_elektrosicherheitspruefung,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00080,OVERRIDE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:786,P6-new-node-pn_trinkwasser_hygiene_nachweis,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00081,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152984176769636740,A14-RELKEY-001,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00082,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676608668,P604-EP09-r-0004,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00083,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211485706,P6-new-rel-958211485706,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00084,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723113482,P6-new-rel-057723113482,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00085,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327762353,P6-new-rel-232327762353,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00086,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327762802,F05-rel-0001,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00087,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763095,F05-rel-0002,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00088,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763248,F05-rel-0003,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00089,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763344,F05-rel-0004,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00090,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763357,F05-rel-0005,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00091,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763458,F05-rel-0006,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00092,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763693,F05-rel-0007,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00093,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327763775,F05-rel-0008,F05,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00094,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390129,P6-new-rel-331839390129,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00095,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014157,P6-new-rel-431351014157,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00096,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014159,P6-new-rel-431351014159,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00097,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014160,P6-new-rel-431351014160,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00098,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014161,P6-new-rel-431351014161,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00099,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014162,P6-new-rel-431351014162,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00100,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155243673164709898,P6-new-rel-673164709898,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00101,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292391,P604-EP09-r-0011,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00102,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292488,09-beteiligt_an-0502,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00103,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292664,P604-EP09-r-0003,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00104,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490293157,P604-EP09-r-0010,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00105,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490294106,P604-EP09-r-0012,P6-04,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00106,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199364,Q05-EP09-r-0037,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00107,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199426,Q05-EP09-r-0038,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00108,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199444,Q05-EP09-r-0033,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00109,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141447601,P6-new-rel-032141447601,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00110,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653075377,P6-new-rel-131653075377,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00111,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164698737,P6-new-rel-231164698737,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00112,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700106,P6-new-rel-231164700106,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00113,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700147,P6-new-rel-231164700147,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00114,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700150,P6-new-rel-231164700150,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00115,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703318,P6-new-rel-231164703318,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00116,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703326,P6-new-rel-231164703326,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00117,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155341529699582285,P6-new-rel-529699582285,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00118,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155341529699582431,P6-new-rel-529699582431,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00119,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157526259303977929,09-beteiligt_an-0328,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00120,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931917937,EP09-r-0040,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00121,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132849,P6-new-rel-831955132849,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00122,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132850,P6-new-rel-831955132850,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00123,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132851,P6-new-rel-831955132851,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00124,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466760627,P6-new-rel-931466760627,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00125,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466760727,P6-new-rel-931466760727,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00126,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157590030978388566,P6-new-rel-030978388566,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00127,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157591130490017168,A14-RELKEY-002,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00128,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117662984,09-beteiligt_an-0503,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00129,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117663177,09-beteiligt_an-0329,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00130,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117663809,09-beteiligt_an-0767,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00131,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117664687,09-beteiligt_an-0322,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00132,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117692945,09-beteiligt_an-0325,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00133,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768818099,P6-new-rel-631768818099,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00134,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768818199,P6-new-rel-631768818199,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00135,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159840731280445874,P6-new-rel-731280445874,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00136,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159842930303702695,P6-new-rel-930303702695,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00137,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931343962,09-beteiligt_an-0644,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00138,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931348232,09-beteiligt_an-0504,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00139,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931348425,09-beteiligt_an-0330,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00140,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931349935,09-beteiligt_an-0323,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00141,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162091431582503347,P6-new-rel-431582503347,F08,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00142,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745029210,09-beteiligt_an-0645,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00143,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745033480,09-beteiligt_an-0505,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00144,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745033673,09-beteiligt_an-0331,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00145,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718728,09-beteiligt_an-0506,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00146,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718921,09-beteiligt_an-0332,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00147,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168785258372399706,09-beteiligt_an-0646,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00148,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168785258372403976,09-beteiligt_an-0507,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00149,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171037058186089224,09-beteiligt_an-0508,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00150,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1173288857999774472,09-beteiligt_an-0509,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00151,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1175540657813459720,09-beteiligt_an-0510,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00152,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1177792457627144968,09-beteiligt_an-0511,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00153,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1180044257440830216,09-beteiligt_an-0512,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00154,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1182296057254515464,09-beteiligt_an-0513,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00155,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837456,09-beteiligt_an-0416,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00156,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837459,09-beteiligt_an-0409,F08,PARTIAL,PARTIAL,verdict/fields updated
