claim_id,scope,property_key,occurrences,approved_baseline,verdict,agent_id,notes
F06-NK-matchingqualitaet_temporal,node,matchingqualitaet_temporal,39,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-metadata_sidecar_key,node,metadata_sidecar_key,741,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-method,node,method,214,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-name,node,name,2008,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-name_de,node,name_de,16,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-name_full,node,name_full,268,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-neue_funktion,node,neue_funktion,248,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-nutzung_text,node,nutzung_text,90,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-primary_source_url,node,primary_source_url,151,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-projektstatus_text,node,projektstatus_text,69,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-rechtsbereiche,node,rechtsbereiche,91,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-reguliert_in_laendern,node,reguliert_in_laendern,3,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-reuse_status,node,reuse_status,286,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-review_run,node,review_run,22,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-review_status,node,review_status,17,no,DEPRECATE,F06,legacy/redundant; A14-LAND-001 / sidecar backlog
F06-NK-short_description,node,short_description,1,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-source_quote,node,source_quote,91,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-source_scope,node,source_scope,22,no,DEPRECATE,F06,legacy/redundant; A14-LAND-001 / sidecar backlog
F06-NK-source_titles,node,source_titles,983,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-source_url,node,source_url,13,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-source_urls,node,source_urls,565,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-standards_body,node,standards_body,2,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-status,node,status,549,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-tragend,node,tragend,106,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-tragwerksprinzip,node,tragwerksprinzip,65,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-type,node,type,13,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-typische_bauproduktstatus,node,typische_bauproduktstatus,12,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-vokabular_version,node,vokabular_version,16,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-wert,node,wert,154,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-wert_text,node,wert_text,255,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-wiederverwendungsort,node,wiederverwendungsort,254,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-wirtschaft,node,wirtschaft,26,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-wirtschaft_aspekte,node,wirtschaft_aspekte,10,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-year_completed,node,year_completed,42,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-year_from,node,year_from,5,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-year_to,node,year_to,5,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-zertifizierungssysteme,node,zertifizierungssysteme,8,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-actor_id,rel,actor_id,63,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-actor_name,rel,actor_name,63,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-aktualisiert_am_utc,rel,aktualisiert_am_utc,158,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-basis,rel,basis,599,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-basis_project_edge_id,rel,basis_project_edge_id,63,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-basis_project_edge_type,rel,basis_project_edge_type,63,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-bauteilgruppe_id,rel,bauteilgruppe_id,63,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-bauteilgruppe_name,rel,bauteilgruppe_name,63,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-begruendung,rel,begruendung,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-belegkonfidenz,rel,belegkonfidenz,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-confidence,rel,confidence,7018,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-connection_kind,rel,connection_kind,175,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-created_at_utc,rel,created_at_utc,125,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-dedup_run,rel,dedup_run,41,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-dedupe_key,rel,dedupe_key,63,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-dossier_section,rel,dossier_section,21,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-evidence_basis,rel,evidence_basis,292,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-evidence_confidence,rel,evidence_confidence,326,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-evidence_excerpt,rel,evidence_excerpt,21,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-evidence_origin,rel,evidence_origin,21,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-evidence_quote,rel,evidence_quote,300,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-evidence_url,rel,evidence_url,300,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-extraktionsstatus,rel,extraktionsstatus,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-fact_label,rel,fact_label,21,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-id,rel,id,10164,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-inference_basis,rel,inference_basis,29,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-intake_run,rel,intake_run,158,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-integration_layer,rel,integration_layer,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-integration_phase,rel,integration_phase,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-kandidatentext,rel,kandidatentext,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-metadata_sidecar_key,rel,metadata_sidecar_key,505,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-pollutant_basis,rel,pollutant_basis,37,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-quell_urls,rel,quell_urls,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-rechtsgrundlage,rel,rechtsgrundlage,73,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-reversibility,rel,reversibility,5,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-review_run,rel,review_run,329,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-review_status,rel,review_status,69,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-role,rel,role,168,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-rolle_text,rel,rolle_text,12,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-scope_note,rel,scope_note,402,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-semantic_basis,rel,semantic_basis,22,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-shared_bauteiltyp_ids,rel,shared_bauteiltyp_ids,63,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-shared_material_ids,rel,shared_material_ids,63,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-source_quote,rel,source_quote,3531,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-source_scope,rel,source_scope,69,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-source_url,rel,source_url,3657,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-updated_at_utc,rel,updated_at_utc,137,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-RK-vokabular_version,rel,vokabular_version,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-zuordnung_pruefung,rel,zuordnung_pruefung,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
F06-RK-zuordnung_quelle,rel,zuordnung_quelle,158,no,DOCUMENT_DRIFT,F06,intentional post-P6 (reuse / entwurfsqualitaet / dedup)
