claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP07-rel-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663367,p_55_great_suffolk_street_london,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_55_great_suffolk_street_london is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153096326955663367
EP07-rel-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038978,p_boulder_fire_station_3,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_boulder_fire_station_3 is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038978
EP07-rel-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038994,p_brent_cross_town_primary_substation_london,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_brent_cross_town_primary_substation_london is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038994
EP07-rel-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155348126769353768,p_brighton_waste_house_brighton,ae_didactic_circularity,HAT_ARCHITEKTURERGEBNIS,p_brighton_waste_house_brighton is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_didactic_circularity,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155348126769353768
EP07-rel-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038666,p_broethen_twin_house_hoyerswerda,ae_modular_grid_form,HAT_ARCHITEKTURERGEBNIS,p_broethen_twin_house_hoyerswerda is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_modular_grid_form,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038666
EP07-rel-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038675,p_cascadeup_london_secondary_timber_glulam_demonstrator,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_cascadeup_london_secondary_timber_glulam_demonstrator is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038675
EP07-rel-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038706,p_chiro_d_itterbeek_dilbeek,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_chiro_d_itterbeek_dilbeek is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038706
EP07-rel-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038734,p_christ_pavilion_volkenroda,ae_patchwork_envelope,HAT_ARCHITEKTURERGEBNIS,p_christ_pavilion_volkenroda is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_patchwork_envelope,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038734
EP07-rel-0019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583040426,p_circl_abn_amro,ae_reversible_tectonics,HAT_ARCHITEKTURERGEBNIS,p_circl_abn_amro is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_reversible_tectonics,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583040426
EP07-rel-0020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038757,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,ae_patchwork_envelope,HAT_ARCHITEKTURERGEBNIS,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_patchwork_envelope,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038757
EP07-rel-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038773,p_circular_pavilion_paris,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_circular_pavilion_paris is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038773
EP07-rel-0022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038790,p_crclr_house_impact_hub_berlin,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_crclr_house_impact_hub_berlin is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038790
EP07-rel-0023,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583040525,p_elementa_walkeweg,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_elementa_walkeweg is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583040525
EP07-rel-0024,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038811,p_elys_kultur_gewerbehaus_basel,ae_patchwork_envelope,HAT_ARCHITEKTURERGEBNIS,p_elys_kultur_gewerbehaus_basel is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_patchwork_envelope,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038811
EP07-rel-0025,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155348126769353586,p_europa_building_brussels,ae_cultural_continuity_spolia,HAT_ARCHITEKTURERGEBNIS,p_europa_building_brussels is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_cultural_continuity_spolia,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155348126769353586
EP07-rel-0026,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038851,p_ferme_du_rail_paris,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_ferme_du_rail_paris is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038851
EP07-rel-0027,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038873,p_gjg_house_gentbrugge,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_gjg_house_gentbrugge is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038873
EP07-rel-0028,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038886,p_grande_halle_de_colombelles,ae_cultural_continuity_spolia,HAT_ARCHITEKTURERGEBNIS,p_grande_halle_de_colombelles is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_cultural_continuity_spolia,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038886
EP07-rel-0029,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038907,p_grubenstrasse_29_werkhof_29_zuerich,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_grubenstrasse_29_werkhof_29_zuerich is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038907
EP07-rel-0030,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038926,p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,ae_modular_grid_form,HAT_ARCHITEKTURERGEBNIS,p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_modular_grid_form,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583038926
EP07-rel-0031,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039035,p_hastings_pier_visitor_centre,ae_cultural_continuity_spolia,HAT_ARCHITEKTURERGEBNIS,p_hastings_pier_visitor_centre is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_cultural_continuity_spolia,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039035
EP07-rel-0032,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039054,p_haus_hos_mehrfamilienhaus_muehlhausen,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_haus_hos_mehrfamilienhaus_muehlhausen is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039054
EP07-rel-0033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039066,p_holbein_gardens_london,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_holbein_gardens_london is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039066
EP07-rel-0034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039084,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,ae_exposed_reuse_structure,HAT_ARCHITEKTURERGEBNIS,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_exposed_reuse_structure,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039084
EP07-rel-0035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039106,p_impact_hub_berlin_crclr_fitout,ae_interior_reuse_atmosphere,HAT_ARCHITEKTURERGEBNIS,p_impact_hub_berlin_crclr_fitout is linked via HAT_ARCHITEKTURERGEBNIS to vocab node ae_interior_reuse_atmosphere,contract,_neo4j/contracts/project_batches_v1_1 + get-schema domain/range (Agent 12 A12-rel-agg-0010..0016),false,,PROVEN,hoch,Projekt(Projekt) -[HAT_ARCHITEKTURERGEBNIS]-> Architekturergebnis(Architekturergebnis); domain/range conform; target not DEPRECATED,KEEP,EP-07,from_labels=['Projekt']; to_labels=['Architekturergebnis'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157599926583039106
