claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
IER-C3-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514564,annabelle_von_reutern,tomas,VERBUNDEN_MIT_AKTEUR,actor-network link annabelle_von_reutern -> tomas (no evidence_url/source_url on edge),web,https://concular.de,true,200,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0016; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514425,annette_hillebrandt,universitaet_wuppertal,VERBUNDEN_MIT_AKTEUR,actor-network link annette_hillebrandt -> universitaet_wuppertal (no evidence_url/source_url on edge),web,,false,,MISSING_EVIDENCE,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0017; prior_verdict=MISSING_EVIDENCE; connection_kind=null; no successful fetch
IER-C3-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884596,barbara_buser,baubuero_in_situ,VERBUNDEN_MIT_AKTEUR,barbara_buser -VERBUNDEN_MIT_AKTEUR-> baubuero_in_situ,web,https://re-win.ch/verein/ueber,true,200,PROVEN,belegt,"Genau an dieser Stelle im Sommer 2022 ist eine Idee entstanden, die das Klima schont und gleichzeitig Nothilfe leistet: Barbara und Anna Buser entwickelten im Sommer 2022 die Idee, Fenster in die Ukraine zu liefern.",ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199348,barbara_buser,zirkular,VERBUNDEN_MIT_AKTEUR,barbara_buser -VERBUNDEN_MIT_AKTEUR-> zirkular,web,https://re-win.ch/verein/ueber,true,200,PROVEN,belegt,Über uns | RE-WIN Home Events Fenster für die Ukraine Übersicht Projektstatus Unterstützer:innen Fenster spenden News Verein Über uns Unterstützen Sie uns Spende Freiwilligenarbeit und Mitgliedschaft Material bereitstellen Zirkularität Pressemitteilungen Downloads Kontakt Verein RE-WIN Über uns Der ,ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304512872,baubuero_in_situ,zirkular,VERBUNDEN_MIT_AKTEUR,baubuero_in_situ -VERBUNDEN_MIT_AKTEUR-> zirkular,web,https://zirkular.net/en/project/building-k-118/,true,200,PROVEN,belegt,"Zirkular Projects Building K.118 Completed simultaneously by baubüro in situ in 2021, the projects K.118 in Winterthur and ELYS in Basel, proved to be pioneering projects of circular building.",ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884975,baukarussell,markus_meissner,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> markus_meissner (no evidence_url/source_url on edge),web,https://www.baukarussell.at/impressum,true,200,PROVEN,belegt,Impressum - BauKarussell Zum Inhalt springen Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Projekte Wissens-Hub Blog Services Newsletter Über uns Mission Team Genossenschaft Kontakt Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Pr,ADD_SOURCE,IER-C3,prior=A06B-rel-0018; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166545553186625967,baukarussell,matthias_neitsch,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> matthias_neitsch (no evidence_url/source_url on edge),web,https://www.baukarussell.at/impressum,true,200,PROVEN,belegt,Impressum - BauKarussell Zum Inhalt springen Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Projekte Wissens-Hub Blog Services Newsletter Über uns Mission Team Genossenschaft Kontakt Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Pr,ADD_SOURCE,IER-C3,prior=A06B-rel-0019; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514479,baukarussell,oekologie_institut,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> oekologie_institut (no evidence_url/source_url on edge),web,https://www.baukarussell.at/en/contact/,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0020; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162041953559255471,baukarussell,re_use_austria,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> re_use_austria (no evidence_url/source_url on edge),web,https://www.baukarussell.at/projekte,true,200,PROVEN,belegt,Projekte - BauKarussell Zum Inhalt springen Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Projekte Wissens-Hub Blog Services Newsletter Über uns Mission Team Genossenschaft Kontakt Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Pro,ADD_SOURCE,IER-C3,prior=A06B-rel-0021; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159790153745570223,baukarussell,romm_zt,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> romm_zt (no evidence_url/source_url on edge),web,https://www.baukarussell.at/impressum,true,200,PROVEN,belegt,Impressum - BauKarussell Zum Inhalt springen Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Projekte Wissens-Hub Blog Services Newsletter Über uns Mission Team Genossenschaft Kontakt Angebot Zirkulärer Rückbau BauK-Akademie Forschung & Entwicklung Re-Use Bauteile Pr,ADD_SOURCE,IER-C3,prior=A06B-rel-0022; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164293753372940719,baukarussell,thomas_romm,VERBUNDEN_MIT_AKTEUR,actor-network link baukarussell -> thomas_romm (no evidence_url/source_url on edge),web,https://www.zukunft-bau.at/projekt/bildung-gesundheit/meduni-campus-mariannengasse,true,200,PROVEN,belegt,(BIG) Fachplanung BauKarussell e.,ADD_SOURCE,IER-C3,prior=A06B-rel-0023; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508810,baumab_kassel,stadt_kassel,VERBUNDEN_MIT_AKTEUR,actor-network link baumab_kassel -> stadt_kassel (no evidence_url/source_url on edge),web,https://baumab-kassel.de/,true,200,PROVEN,belegt,Bauteilbörse Kassel – BauMaB Kassel .tb-social-share--092 .tb-social-share__facebook__share-button{--wpr-bg-2013ba5e-0052-4dc2-9860-f5ec561260f0: url('https://baumab-kassel.de/wp-content/plugins/toolset-blocks/vendor/toolset/blocks/public/css/icons/facebook.svg');}.tb-social-share--092 .tb-social-sh,ADD_SOURCE,IER-C3,prior=A06B-rel-0024; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0023,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118194058,baumab_kassel,surap_gmbh,VERBUNDEN_MIT_AKTEUR,actor-network link baumab_kassel -> surap_gmbh (no evidence_url/source_url on edge),web,https://baumab-kassel.de/en/contact/,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0025; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0024,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931885029,bauteilboerse_bremen,ute_dechantsreiter,VERBUNDEN_MIT_AKTEUR,bauteilboerse_bremen -VERBUNDEN_MIT_AKTEUR-> ute_dechantsreiter,web,https://www.bauteilnetz.de,true,200,PROVEN,belegt,"bauteilnetz Deutschland bauteilnetz Deutschland gebrauchte Bauteile in Augsburg, Berlin, Brandenburg, Bremen, Gießen und Hannover ...",ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0025,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931879294,bauteilkatalog_immobilien_basel_stadt,bauteilboerse_basel_overall,VERBUNDEN_MIT_AKTEUR,bauteilkatalog_immobilien_basel_stadt -VERBUNDEN_MIT_AKTEUR-> bauteilboerse_basel_overall,web,https://bauteile-ibs.ch/,true,200,PROVEN,belegt,component catalogue Immobilien Basel-Stadt Bauteilkatalog zur Wiederverwendung Projekt Kontakt Minen Referenzen Login Warenkorb 0 Struktur Flächen Elemente Alle Bauteile MSH001.2 Passerelle Fenster MSH002 Stahltragwerk MSH002.1 Stahlträger HEB 100 MSH002.2 Stahlträger HEB 160 MSH002.3 Stahlträger HE,ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0026,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118194046,bauteilkatalog_immobilien_basel_stadt,digvis_gmbh,VERBUNDEN_MIT_AKTEUR,actor-network link bauteilkatalog_immobilien_basel_stadt -> digvis_gmbh (no evidence_url/source_url on edge),web,https://bauteile-ibs.ch/contact,true,200,PROVEN,belegt,component catalogue Immobilien Basel-Stadt Bauteilkatalog zur Wiederverwendung Projekt Kontakt Minen Referenzen Login Warenkorb 0 Kontakt Fragen zum Bauteilkatalog bitte an Immobilien Basel-Stadt Christina Bronowski Leiterin Entwicklung christina.bronowski@bs.ch Kontakt/Impressum: Zirkular GmbH Dorn,ADD_SOURCE,IER-C3,prior=A06B-rel-0026; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0027,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508798,bauteilkatalog_immobilien_basel_stadt,zirkular,VERBUNDEN_MIT_AKTEUR,bauteilkatalog_immobilien_basel_stadt -VERBUNDEN_MIT_AKTEUR-> zirkular,web,https://bauteile-ibs.ch/contact,true,200,PROVEN,belegt,component catalogue Immobilien Basel-Stadt Bauteilkatalog zur Wiederverwendung Projekt Kontakt Minen Referenzen Login Warenkorb 0 Kontakt Fragen zum Bauteilkatalog bitte an Immobilien Basel-Stadt Christina Bronowski Leiterin Entwicklung christina.bronowski@bs.ch Kontakt/Impressum: Zirkular GmbH Dorn,ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0028,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931885030,bauteilnetz_deutschland,ute_dechantsreiter,VERBUNDEN_MIT_AKTEUR,bauteilnetz_deutschland -VERBUNDEN_MIT_AKTEUR-> ute_dechantsreiter,web,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,true,200,PROVEN,belegt,bauteilnetz Deutschland Regionale Bauteilbörsen ...,ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0029,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164293753372934885,bellastock,hugo_topalov,VERBUNDEN_MIT_AKTEUR,actor-network link bellastock -> hugo_topalov (no evidence_url/source_url on edge),web,https://www.seinesaintdenishabitat.fr/notre-actualite/nos-actualites/visite-de-la-fabrique-du-clos-au-clos-saint-lazare-de-stains/,true,200,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0027; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0030,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166545553186620133,bellastock,sarah_westerfeld,VERBUNDEN_MIT_AKTEUR,actor-network link bellastock -> sarah_westerfeld (no evidence_url/source_url on edge),web,https://www.seinesaintdenishabitat.fr/notre-actualite/nos-actualites/visite-de-la-fabrique-du-clos-au-clos-saint-lazare-de-stains/,true,200,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0028; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0031,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159790153745569901,benjamin_poignon,baubuero_in_situ,VERBUNDEN_MIT_AKTEUR,benjamin_poignon -VERBUNDEN_MIT_AKTEUR-> baubuero_in_situ,web,https://zirkular.net/en/project/building-k-118,true,200,PROVEN,belegt,"Zirkular Projects Building K.118 Completed simultaneously by baubüro in situ in 2021, the projects K.118 in Winterthur and ELYS in Basel, proved to be pioneering projects of circular building.",ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0032,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304513918,bioregional,ellis_and_moore,VERBUNDEN_MIT_AKTEUR,actor-network link bioregional -> ellis_and_moore (no evidence_url/source_url on edge),web,,false,,MISSING_EVIDENCE,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0029; prior_verdict=MISSING_EVIDENCE; connection_kind=null; no successful fetch
IER-C3-0033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199544,bureau_sla,peter_van_assche,VERBUNDEN_MIT_AKTEUR,actor-network link bureau_sla -> peter_van_assche (no evidence_url/source_url on edge),web,https://www.overtreders-w.nl/team,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0031; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514434,c_creators,vera_van_maaren,VERBUNDEN_MIT_AKTEUR,actor-network link c_creators -> vera_van_maaren (no evidence_url/source_url on edge),web,https://c-creators.org,true,200,PROVEN,belegt,C-creators wil de bouweconomie volledig circulair maken zodat deze dienend is aan onze samenleving.,ADD_SOURCE,IER-C3,prior=A06B-rel-0032; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931885026,cancan_architecture,orianne_scourzic,VERBUNDEN_MIT_AKTEUR,actor-network link cancan_architecture -> orianne_scourzic (no evidence_url/source_url on edge),web,https://www.lafab-bm.fr/journal/venez-decouvrir-la-future-base-du-reemploi/,true,200,PROVEN,belegt,"A l’heure où les ressources en matières premières se font de plus en plus rares et les déchets de plus en plus nombreux, La Fab s’est engagée dans une démarche de réemploi des matériaux, avec l’appui du collectif CANCAN, assistant à maîtrise d’ouvrage réemploi.",ADD_SOURCE,IER-C3,prior=A06B-rel-0033; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0036,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159790153745570274,cancan_architecture,tiphaine_berthome,VERBUNDEN_MIT_AKTEUR,actor-network link cancan_architecture -> tiphaine_berthome (no evidence_url/source_url on edge),web,https://www.lafab-bm.fr/journal/reemploi-des-materiaux-la-fab-renforce-sa-demarche-refair-et-lance-un-site/,true,200,PROVEN,belegt,Réemploi des matériaux : La Fab renforce sa démarche REFAIR et lance un site | La Fabrique de Bordeaux MétropoleLa Fabrique de Bordeaux Métropole la fabrique de bordeaux Métropole Habiter Entreprendre A propos Démarches Marchés Suivi photographique Implantation d’entreprises Actualités Contact Habit,ADD_SOURCE,IER-C3,prior=A06B-rel-0034; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0037,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193171,cantillon,akt_ii,VERBUNDEN_MIT_AKTEUR,actor-network link cantillon -> akt_ii (no evidence_url/source_url on edge),web,https://www.constructionnews.co.uk/team,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0035; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0038,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304507923,cantillon,cleveland_steel_tubes,VERBUNDEN_MIT_AKTEUR,actor-network link cantillon -> cleveland_steel_tubes (no evidence_url/source_url on edge),web,https://www.constructionnews.co.uk/team,true,404,UNSUPPORTED,unbelegt,,DELETE,IER-C3,prior=A06B-rel-0036; prior_verdict=MISSING_EVIDENCE; connection_kind=null; fetched but strict two-endpoint gate failed
IER-C3-0039,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514605,carla_ferrando_costansa,parabase,VERBUNDEN_MIT_AKTEUR,actor-network link carla_ferrando_costansa -> parabase (no evidence_url/source_url on edge),web,https://www.beta-architecture.com/elementa-parabase,true,200,PROVEN,belegt,"ELEMENTA, Parabase – BETA --> lexicon submit instagram about lexicon submit instagram about BETA Search site...",ADD_SOURCE,IER-C3,prior=A06B-rel-0037; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0040,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514381,catherine_de_wolf,circular_engineering_for_architecture_eth,VERBUNDEN_MIT_AKTEUR,actor-network link catherine_de_wolf -> circular_engineering_for_architecture_eth (no evidence_url/source_url on edge),web,https://ethz.ch/en/news-and-events/eth-news/news/2026/04/students-breathe-new-life-into-old-building-materials.html,true,200,PROVEN,belegt,Students breathe new life into old building materials | ETH Zurich Homepage Navigation Search Content Footer Contact Sitemap Header Services Student portal Alumni association Staffnet Contact Login Search en EN DE FR (TA) IT (TA) Departments ETH Zurich Select a department Departments D-ARCH: Archite,ADD_SOURCE,IER-C3,prior=A06B-rel-0038; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
IER-C3-0041,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199358,cesare_peeren,superuse_on_site,VERBUNDEN_MIT_AKTEUR,actor-network link cesare_peeren -> superuse_on_site (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),web,https://circularmaterialsystems.com/en/case/villa-welpeloo,true,200,PROVEN,belegt,"Skip to content Circular Material Systems Menu CONCEPT BUILDINGS PRACTICES ABOUT EN DE VILLA WELPELOO Enschede, Netherlands Construction time 2009 Building type New built Client Private Architect Superuse Studio Project Partners TJ Knol, IJC Blans Size 312 m2 Use Housing, Exhibition Space Website Li",ADD_SOURCE,IER-C3,prior=A06B-rel-0040; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0042,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514161,charlotte_bofinger,zirkular,VERBUNDEN_MIT_AKTEUR,charlotte_bofinger -VERBUNDEN_MIT_AKTEUR-> zirkular,web,https://zirkular.net/en/contact,true,200,PROVEN,belegt,Zirkular Ihr Browser ist veraltet.,ADD_SOURCE,IER-C3,prior=no_ledger; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0043,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199353,christian_schoeningh,die_zusammenarbeiter,VERBUNDEN_MIT_AKTEUR,actor-network link christian_schoeningh -> die_zusammenarbeiter (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),web,https://www.nbau.org/2022/12/08/transformation-bauen-das-crclr-haus-in-berlin,true,200,PROVEN,belegt,NACHHALTIG BAUEN ABO PROFIL ABO nbau Hefte Reparatur und Weiterbauen 2/2026 Nachhaltig ist ganzheitlich 1/2026 Jahr 2025 Jahr 2024 Jahr 2023 Jahr 2022 Aktuell Aus der Forschung Firmen & Verbände Marktplatz Normung Partner News Persönliches Rezension Politik & Verwaltung Veranstaltungen Wettbewerbe R,ADD_SOURCE,IER-C3,prior=A06B-rel-0041; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0044,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514105,christian_schoeningh,trnsfrm_eg,VERBUNDEN_MIT_AKTEUR,actor-network link christian_schoeningh -> trnsfrm_eg (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),web,https://www.nbau.org/2022/12/08/transformation-bauen-das-crclr-haus-in-berlin,true,200,PROVEN,belegt,NACHHALTIG BAUEN ABO PROFIL ABO nbau Hefte Reparatur und Weiterbauen 2/2026 Nachhaltig ist ganzheitlich 1/2026 Jahr 2025 Jahr 2024 Jahr 2023 Jahr 2022 Aktuell Aus der Forschung Firmen & Verbände Marktplatz Normung Partner News Persönliches Rezension Politik & Verwaltung Veranstaltungen Wettbewerbe R,ADD_SOURCE,IER-C3,prior=A06B-rel-0042; prior_verdict=MISSING_EVIDENCE; connection_kind=context_affiliation_from_actor_list; strict two-endpoint gate passed
IER-C3-0045,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514325,christine_conix,conix_rdbm,VERBUNDEN_MIT_AKTEUR,actor-network link christine_conix -> conix_rdbm (no evidence_url/source_url on edge),web,https://www.conixrdbm.com/project/multi,true,200,PROVEN,belegt,Multi - CONIX RDBM home projects stories news studio jobs contact ✕ MULTI This assignment pursues the transformation of a modernistic tower (1969) in the centre of Brussels from a unilateral office building into a multi-faceted construction with added public value.,ADD_SOURCE,IER-C3,prior=A06B-rel-0043; prior_verdict=MISSING_EVIDENCE; connection_kind=null; strict two-endpoint gate passed
