claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status,issue_type,is_synthetic,is_external,fix_status,prior_proof_quote,prior_basis_type,prior_basis_ref,graph_evidence_source
09-beteiligt_an-0329,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117663177,bauteilladen_winterthur,bg_mehrere_mehrere_grubenstrasse_windows_doors,BETEILIGT_AN,Akteur bauteilladen_winterthur beteiligt an Bauteilgruppe bg_mehrere_mehrere_grubenstrasse_windows_doors (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/grubenstrasse-29/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117663177,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0330,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931348425,bauteilladen_winterthur,bg_mehrere_technik_grubenstrasse_radiators_sanitary,BETEILIGT_AN,Akteur bauteilladen_winterthur beteiligt an Bauteilgruppe bg_mehrere_technik_grubenstrasse_radiators_sanitary (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/grubenstrasse-29/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931348425,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0331,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745033673,bauteilladen_winterthur,bg_stahl_mehrere_grubenstrasse_access_structures,BETEILIGT_AN,Akteur bauteilladen_winterthur beteiligt an Bauteilgruppe bg_stahl_mehrere_grubenstrasse_access_structures (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/grubenstrasse-29/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745033673,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0332,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718921,bauteilladen_winterthur,bg_stahl_treppe_grubenstrasse_outer,BETEILIGT_AN,Akteur bauteilladen_winterthur beteiligt an Bauteilgruppe bg_stahl_treppe_grubenstrasse_outer (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/grubenstrasse-29/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718921,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0391,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837485,cleveland_steel_tubes,bg_stahl_fassade_brent_cross_new_support_members,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_fassade_brent_cross_new_support_members (ck=reuse_supply_or_material_hub_candidate),web,https://asbp.org.uk/case-studies/brent-cross-town-primary-substation,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837485,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0393,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837601,cleveland_steel_tubes,bg_stahl_mehrere_hof_1930s_beams_to_tbc,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_mehrere_hof_1930s_beams_to_tbc (ck=reuse_supply_or_material_hub_candidate),logic,connection_kind inference,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 UNFIXED",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837601,rel,logic_basis,false,true,UNFIXED,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,
09-beteiligt_an-0394,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837602,cleveland_steel_tubes,bg_stahl_mehrere_hof_self_columns,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_mehrere_hof_self_columns (ck=reuse_supply_or_material_hub_candidate),logic,connection_kind inference,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 UNFIXED",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837602,rel,logic_basis,false,true,UNFIXED,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,
09-beteiligt_an-0395,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837606,cleveland_steel_tubes,bg_stahl_mehrere_holbein_structural,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_mehrere_holbein_structural (ck=reuse_supply_or_material_hub_candidate),web,https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837606,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0396,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837716,cleveland_steel_tubes,bg_stahl_mehrere_tbc_repurposed_cleveland,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_mehrere_tbc_repurposed_cleveland (ck=reuse_supply_or_material_hub_candidate),web,https://cleveland-steel.com/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837716,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0397,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837726,cleveland_steel_tubes,bg_stahl_mehrere_timber_square_reception_girder,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_mehrere_timber_square_reception_girder (ck=reuse_supply_or_material_hub_candidate),logic,connection_kind inference,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 UNFIXED",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837726,rel,logic_basis,false,true,UNFIXED,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,
09-beteiligt_an-0398,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837724,cleveland_steel_tubes,bg_stahl_technik_timber_square_demontable_plant,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_technik_timber_square_demontable_plant (ck=reuse_supply_or_material_hub_candidate),logic,connection_kind inference,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 UNFIXED",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837724,rel,logic_basis,false,true,UNFIXED,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,
09-beteiligt_an-0399,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837727,cleveland_steel_tubes,bg_stahl_traeger_timber_square,BETEILIGT_AN,Akteur cleveland_steel_tubes beteiligt an Bauteilgruppe bg_stahl_traeger_timber_square (ck=reuse_supply_or_material_hub_candidate),logic,connection_kind inference,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 UNFIXED",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837727,rel,logic_basis,false,true,UNFIXED,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,
09-beteiligt_an-0409,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837459,concular,bg_holz_ausbau_awm_fixed_builtins,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_holz_ausbau_awm_fixed_builtins (ck=reuse_supply_or_material_hub_candidate),web,https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837459,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0410,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837535,concular,bg_holz_mehrere_crclr_recycled_gallery_interior,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_holz_mehrere_crclr_recycled_gallery_interior (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837535,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0411,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837460,concular,bg_holz_wand_awm_cladding_old_chairs,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_holz_wand_awm_cladding_old_chairs (ck=reuse_supply_or_material_hub_candidate),web,https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837460,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0412,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837536,concular,bg_keramik_technik_crclr_sanitary_objects,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_keramik_technik_crclr_sanitary_objects (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837536,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0414,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837534,concular,bg_mehrere_fassade_crclr_curtain_wall_sheet_glass,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_mehrere_fassade_crclr_curtain_wall_sheet_glass (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837534,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0415,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837537,concular,bg_mehrere_mehrere_crclr_wood_aluminium_windows,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_mehrere_mehrere_crclr_wood_aluminium_windows (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837537,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0416,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837456,concular,bg_stahl_mehrere_awm_cable_trays_shelves_lights,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_stahl_mehrere_awm_cable_trays_shelves_lights (ck=reuse_supply_or_material_hub_candidate),web,https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837456,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0417,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837538,concular,bg_stahl_mehrere_crclr_roof_to_stair_stringers,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_stahl_mehrere_crclr_roof_to_stair_stringers (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837538,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0418,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837539,concular,bg_stahl_mehrere_crclr_trusses_greenhouse,BETEILIGT_AN,Akteur concular beteiligt an Bauteilgruppe bg_stahl_mehrere_crclr_trusses_greenhouse (ck=reuse_supply_or_material_hub_candidate),web,https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837539,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
