claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
R01-N-011,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5456,bw_maison_des_canaux_unspecified_donors,,,Materialdepot,"Maison des Canaux unspecified donor depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekannte Reuse-Quellen — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-032"
R01-N-012,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5466,bw_maison_dna_unknown_brick_donor,,,Materialdepot,"Maison DNA unknown brick-donor depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekannte Spenderquelle der wiederverwendeten Ziegel — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-033"
R01-N-013,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5619,bw_messebau_lager_hannover,,,Materialdepot,"Messebau trade-fair storage Hannover depot exists",none,,false,,MISSING_EVIDENCE,,"Messebau-Lager / Messebauer Hannover — no verifiable named depot URL",ESCALATE_HUMAN,R01,"Agent 10 A10-N-034; generic unverifiable depot label"
R01-N-014,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4812,bw_p2_massenwohnungsbau_donor_unknown,,,Materialdepot,"Unknown P2 mass-housing donor building depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekanntes P2-Massenwohnungsbau-Spendergebaeude — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-035"
R01-N-015,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4919,bw_paris_material_sources_circular_pavilion,,,Materialdepot,"Aggregated Paris material sources for Circular Pavilion exist",none,,false,,MISSING_EVIDENCE,,"Aggregierte Pariser Materialquellen — aggregate placeholder donor node",ESCALATE_HUMAN,R01,"Agent 10 A10-N-036"
R01-N-016,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4997,bw_paris_regional_donor_sources_ferme_du_rail,,,Materialdepot,"Aggregated Paris/regional donor sources for Ferme du Rail exist",none,,false,,MISSING_EVIDENCE,,"Aggregierte Pariser und regionale Reuse-Gisements — aggregate placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-037"
R01-N-017,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5955,bw_unbekannte_donor_buildings_zinneke_material_lots,,,Materialdepot,"Unknown donor buildings (Zinneke material lots) depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekannte donor buildings Zinneke material lots — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-038"
R01-N-018,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5608,bw_unbekanntes_transformationsgebaeude_kellerwaende,,,Materialdepot,"Unknown transformation building with cellar walls depot exists",none,,false,,MISSING_EVIDENCE,,"unbekanntes Transformationsgebäude mit Ortbeton-Kellerwänden — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-039"
R01-N-019,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5019,bw_unknown_brick_donor_sources_gjg,,,Materialdepot,"Unknown brick-donor sources (GJG) depot exists",none,,false,,MISSING_EVIDENCE,,"unbekannte Donorquellen der wiederverwendeten Ziegel — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-040"
R01-N-020,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4821,bw_unknown_demolition_wood_streams,,,Materialdepot,"Unknown demolition-wood streams depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekannte Rueckbauholz- / demolition-waste-streams — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-041"
R01-N-021,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5870,bw_verbiest_lagerhaus_zu_haus_und_atelier,,,Materialdepot,"Verbiest warehouse converted to house and shared atelier exists",web,https://ica-wb.be/en/node/1684,true,200,PROVEN,belegt,"this project aims to transform a large warehouse (1000 m2) into a single-family house, a productive garden and a shared art studio in Molenbeek, Brussels",ADD_SOURCE,R01,"ICA Wallonie-Bruxelles Inventaires; Rue Jean Verbiest 5-7; linked to p_verbiest_karreveld_brussels"
R01-N-022,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:27,bw_wbs70_donor_groeditz,,,Materialdepot,"WBS70 donor building for Gröditz depot exists",none,,false,,MISSING_EVIDENCE,,"WBS70 donor building label without on-graph or fetchable primary source",ESCALATE_HUMAN,R01,"Agent 10 A10-N-043; verify against Association house Gröditz dossier before sourcing"
