ledger_id,rel_id,from_id,to_id,connection_kind,evidence_confidence,fabrication_class,origin_run,origin_scope,origin_patch,git_commit,git_commit_date,git_commit_subject,remediation_status,fabrication_pattern,evidence_basis
G09-0017,r_salza__verbunden_mit_akteur__cirkla,salza,cirkla,committee_member_affiliation,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_association_page
G09-0018,r_cirkla__verbunden_mit_akteur__zirkular,cirkla,zirkular,ecosystem_practice_triangle,teilweise_belegt,category_inference,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t2,,interpretive_conclusion_not_sourced_merge
G09-0019,r_zirkular__verbunden_mit_akteur__cirkla,zirkular,cirkla,ecosystem_practice_triangle,teilweise_belegt,category_inference,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,interpretive_conclusion_not_sourced_merge
G09-0020,r_gruner_reuse_platform__verbunden_mit_akteur__bauteilboerse_basel_overall,gruner_reuse_platform,bauteilboerse_basel_overall,supply_chain_roche_resale,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_supply_chain_news
G09-0021,r_bauteilboerse_basel_overall__verbunden_mit_akteur__gruner_reuse_platform,bauteilboerse_basel_overall,gruner_reuse_platform,supply_chain_roche_resale,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_supply_chain_news
G09-0022,r_bauteilboerse_basel_overall__verbunden_mit_akteur__useagain_bauteilclick,bauteilboerse_basel_overall,useagain_bauteilclick,supply_chain_roche_resale,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_supply_chain_news
G09-0023,r_useagain_bauteilclick__verbunden_mit_akteur__bauteilboerse_basel_overall,useagain_bauteilclick,bauteilboerse_basel_overall,supply_chain_roche_resale,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_supply_chain_news
G09-0024,r_useagain_bauteilclick__verbunden_mit_akteur__bauteilladen_winterthur,useagain_bauteilclick,bauteilladen_winterthur,network_library_of_reuse,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_network_profile
G09-0025,r_bauteilladen_winterthur__verbunden_mit_akteur__useagain_bauteilclick,bauteilladen_winterthur,useagain_bauteilclick,network_library_of_reuse,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_network_profile
G09-0026,r_sumami__verbunden_mit_akteur__useagain_bauteilclick,sumami,useagain_bauteilclick,software_development_context,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_research_page
G09-0027,r_cirkla__verbunden_mit_akteur__c33_circular_construction_catalyst,cirkla,c33_circular_construction_catalyst,coordination_ecosystem,teilweise_belegt,category_inference,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t2,swiss_ecosystem_inference,interpretive_conclusion_not_sourced_merge
G09-0028,r_cirkla__verbunden_mit_akteur__circular_hub_zurich,cirkla,circular_hub_zurich,coordination_ecosystem,teilweise_belegt,category_inference,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t2,swiss_ecosystem_inference,interpretive_conclusion_not_sourced_merge
G09-0029,r_cirkla__verbunden_mit_akteur__circular_economy_switzerland,cirkla,circular_economy_switzerland,coordination_ecosystem,teilweise_belegt,category_inference,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase3_supply_chain.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t2,swiss_ecosystem_inference,interpretive_conclusion_not_sourced_merge
G09-0030,r_concular__verbunden_mit_akteur__circular_structural_design,concular,circular_structural_design,reuse_matching_pilot,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,green_ai_hub_pilot
G09-0031,r_circular_structural_design__verbunden_mit_akteur__concular,circular_structural_design,concular,reuse_matching_pilot,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,green_ai_hub_pilot
G09-0032,r_concular__verbunden_mit_akteur__madaster,concular,madaster,resource_passport_ecosystem,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,passport_category_mesh,heidelberg_circular_city
G09-0033,r_madaster__verbunden_mit_akteur__concular,madaster,concular,resource_passport_ecosystem,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,passport_category_mesh,heidelberg_circular_city
G09-0034,r_concular__verbunden_mit_akteur__madaster_epea,concular,madaster_epea,resource_passport_ecosystem,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,passport_category_mesh,building_resource_passport_cases
G09-0035,r_madaster_epea__verbunden_mit_akteur__concular,madaster_epea,concular,resource_passport_ecosystem,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,passport_category_mesh,building_resource_passport_cases
G09-0036,r_concular__verbunden_mit_akteur__bauteilboerse_bremen,concular,bauteilboerse_bremen,digital_physical_exchange_layer,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,german_marketplace_layer
G09-0037,r_bauteilboerse_bremen__verbunden_mit_akteur__concular,bauteilboerse_bremen,concular,digital_physical_exchange_layer,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase1_ecosystem_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t2,,german_marketplace_layer
G09-0038,r_concular__verbunden_mit_akteur__bauteilboerse_hannover,concular,bauteilboerse_hannover,marketplace_listing,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,restado_marketplace_operator
G09-0039,r_bauteilboerse_hannover__verbunden_mit_akteur__concular,bauteilboerse_hannover,concular,marketplace_listing,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,restado_marketplace_operator
G09-0040,r_software_restado__verbunden_mit_akteur__bauteilboerse_hannover,software_restado,bauteilboerse_hannover,marketplace_listing,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,restado_profile
G09-0041,r_bauteilboerse_hannover__verbunden_mit_akteur__software_restado,bauteilboerse_hannover,software_restado,marketplace_listing,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,restado_profile
G09-0042,r_bauteilboerse_bremen__verbunden_mit_akteur__bauteilboerse_hannover,bauteilboerse_bremen,bauteilboerse_hannover,peer_bauteilboerse,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,regional_exchange_peer
G09-0043,r_bauteilboerse_hannover__verbunden_mit_akteur__bauteilboerse_bremen,bauteilboerse_hannover,bauteilboerse_bremen,peer_bauteilboerse,teilweise_belegt,actor_mesh,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2_bauteilboerse_hannover.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,regional_exchange_peer
G09-0044,r_tu_berlin__verbunden_mit_akteur__haus_der_materialisierung,tu_berlin,haus_der_materialisierung,research_lab,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2b_hdm_civic_hub.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,university_research_page
G09-0045,r_haus_der_materialisierung__verbunden_mit_akteur__tu_berlin,haus_der_materialisierung,tu_berlin,research_lab,belegt,evidence_backed,germany_reuse_bubble_2026_06_05,germany_reuse_bubble,_neo4j/intake/runs/2026-06-05_germany_reuse_bubble/patches/phase2b_hdm_civic_hub.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,university_research_page
G09-0046,r_superuse_studios_2012architecten__verbunden_mit_akteur__new_horizon_urban_mining,superuse_studios_2012architecten,new_horizon_urban_mining,oogstkaart_lineage,belegt,evidence_backed,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,oogstkaart_transfer_new_horizon
G09-0047,r_new_horizon_urban_mining__verbunden_mit_akteur__superuse_studios_2012architecten,new_horizon_urban_mining,superuse_studios_2012architecten,oogstkaart_lineage,belegt,evidence_backed,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,oogstkaart_transfer_new_horizon
G09-0048,r_new_horizon_urban_mining__verbunden_mit_akteur__insert_marketplace,new_horizon_urban_mining,insert_marketplace,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_marketplace_supply_chain
G09-0049,r_insert_marketplace__verbunden_mit_akteur__new_horizon_urban_mining,insert_marketplace,new_horizon_urban_mining,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_marketplace_supply_chain
G09-0050,r_new_horizon_urban_mining__verbunden_mit_akteur__madaster,new_horizon_urban_mining,madaster,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_urban_mining_passport_layer
G09-0051,r_madaster__verbunden_mit_akteur__new_horizon_urban_mining,madaster,new_horizon_urban_mining,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_urban_mining_passport_layer
G09-0052,r_superuse_studios_2012architecten__verbunden_mit_akteur__insert_marketplace,superuse_studios_2012architecten,insert_marketplace,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_design_marketplace_layer
G09-0053,r_insert_marketplace__verbunden_mit_akteur__superuse_studios_2012architecten,insert_marketplace,superuse_studios_2012architecten,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_design_marketplace_layer
G09-0054,r_superuse_studios_2012architecten__verbunden_mit_akteur__madaster,superuse_studios_2012architecten,madaster,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_design_passport_ecosystem
G09-0055,r_madaster__verbunden_mit_akteur__superuse_studios_2012architecten,madaster,superuse_studios_2012architecten,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_design_passport_ecosystem
G09-0056,r_insert_marketplace__verbunden_mit_akteur__madaster,insert_marketplace,madaster,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_market_data_layer
G09-0057,r_madaster__verbunden_mit_akteur__insert_marketplace,madaster,insert_marketplace,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_market_data_layer
G09-0058,r_madaster__verbunden_mit_akteur__city_of_utrecht,madaster,city_of_utrecht,dutch_reuse_policy_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_national_reuse_ecosystem
G09-0059,r_city_of_utrecht__verbunden_mit_akteur__madaster,city_of_utrecht,madaster,dutch_reuse_policy_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_national_reuse_ecosystem
G09-0060,r_city_of_utrecht__verbunden_mit_akteur__new_horizon_urban_mining,city_of_utrecht,new_horizon_urban_mining,dutch_reuse_policy_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_reuse_practice_cluster
G09-0061,r_new_horizon_urban_mining__verbunden_mit_akteur__city_of_utrecht,new_horizon_urban_mining,city_of_utrecht,dutch_reuse_policy_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase1_dutch_urban_mining_spine.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_reuse_practice_cluster
G09-0062,r_repurpose__verbunden_mit_akteur__new_horizon_urban_mining,repurpose,new_horizon_urban_mining,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_marketplace_peer
G09-0063,r_new_horizon_urban_mining__verbunden_mit_akteur__repurpose,new_horizon_urban_mining,repurpose,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_marketplace_peer
G09-0064,r_repurpose__verbunden_mit_akteur__insert_marketplace,repurpose,insert_marketplace,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_marketplace_peer
G09-0065,r_insert_marketplace__verbunden_mit_akteur__repurpose,insert_marketplace,repurpose,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_marketplace_peer
G09-0066,r_repurpose__verbunden_mit_akteur__superuse_studios_2012architecten,repurpose,superuse_studios_2012architecten,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,removed_t1,dutch_country_mesh,dutch_reuse_practice_mesh
G09-0067,r_superuse_studios_2012architecten__verbunden_mit_akteur__repurpose,superuse_studios_2012architecten,repurpose,dutch_reuse_marketplace_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_reuse_practice_mesh
G09-0068,r_repurpose__verbunden_mit_akteur__madaster,repurpose,madaster,dutch_reuse_data_mesh,teilweise_belegt,actor_mesh,netherlands_reuse_bubble_2026_06_05,netherlands_reuse_bubble,_neo4j/intake/runs/2026-06-05_netherlands_reuse_bubble/patches/phase2_repurpose_demand_layer.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,dutch_country_mesh,dutch_market_data_layer
