label,property,nodes_with_property,label_node_count,coverage_pct,missing_count,types,unique_values_seen_cap_1001,empty_string_count,empty_list_count,flags,sample_values
Akteur,source_trace_migrated_at,648,679,95.43,31,str:648,2,0,0,provenance_key,2026-05-23T10:47:30.445168+00:00 || 2026-05-23T10:57:26.711857+00:00
Akteur,source_trace_migration,648,679,95.43,31,str:648,1,0,0,provenance_key,mig_trace_zitiert_quelle_to_urls_2026_05_23
Akteur,source_trust_score,511,679,75.26,168,float:511,41,0,0,provenance_key,0.0 || 0.0054 || 0.0125 || 0.0185 || 0.0093
Akteur,source_url,29,679,4.27,650,str:29,22,0,0,provenance_key,https://labs.aap.cornell.edu/ccl/umar-unit || https://www.zhaw.ch/en/archbau/institutes-centres/iik/research/reuse-in-construction || https://urban-mining-index.de || https://www.architektur.uni-wuppertal.de/en/people/annette-hillebrandt || https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii
Akteur,source_url_node_ids,126,679,18.56,553,list[str]:126,93,0,0,provenance_key,"[""q_url_5368eaa41895c58f""] || [""q_url_576c46740500c21b"",""q_url_37e5c064bf50e5fd"",""q_url_f94a923d48fc3a3b""] || [""q_url_576c46740500c21b"",""q_url_37e5c064bf50e5fd"",""q_url_4487887bb22507ac""] || [""q_url_7007d99a15adf97e"",""q_url_712b7b6ff74b6df1"",""q_url_ff2f176cd780a5e5""] || [""q_url_e1218c9a3ee5e275"",""q_url_2438139ba2585ca4"",""q_url_8d6d74028c561efc""]"
Akteur,source_urls,138,679,20.32,541,list[str]:138,100,0,0,provenance_key,"[""https://labs.aap.cornell.edu/ccl/umar-unit""] || [""https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii"",""https://www.archdaily.com/1024776/stuttgart-210-think-ahead-build-on-hft-stuttgart"",""https://klingelhoefer-kroetsch.de/projekte/Stuttgart_210""] || [""https://www.insitu.ch/projekte/196-k-118"",""https://zirkular.net/en/project/building-k-118"",""https://www.park-books.com/produkt/bauteile-wiederverwenden/108"",""https://zirkular.net/en/project/culture-commercial-center-e… || [""https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house"",""https://www.zrs.berlin/en/project/crclr-house-2"",""https://www.nbau.org/2022/12/08/transformation-bauen-das-crclr-haus-in-berlin"",""https://zus… || [""https://www.superuse-studios.com/projectplus/villa-welpeloo"",""https://circularmaterialsystems.com/en/case/villa-welpeloo"",""https://www.superuse-studios.com/projectplus/woongroep-boschgaard"",""https://www.abitare.it/en/…"
Akteur,source_urls_updated_at,648,679,95.43,31,str:648,1,0,0,provenance_key,2026-05-22
Akteur,strict_candidate_url_array_cleanup,216,679,31.81,463,str:216,1,0,0,provenance_key,mig_strict_candidate_url_array_cleanup_2026_05_23
Akteur,strict_candidate_url_array_cleanup_at,216,679,31.81,463,str:216,1,0,0,provenance_key,2026-05-23T11:08:50.487332+00:00
Akteur,strict_invalid_url_cleanup,138,679,20.32,541,str:138,1,0,0,provenance_key,mig_strict_invalid_url_cleanup_2026_05_23
Akteur,strict_invalid_url_cleanup_at,138,679,20.32,541,str:138,1,0,0,provenance_key,2026-05-23T11:07:10.738119+00:00
Akteur,strict_source_url_cleanup,558,679,82.18,121,str:558,1,0,0,provenance_key,mig_strict_source_url_binding_cleanup_2026_05_23
Akteur,strict_source_url_cleanup_at,558,679,82.18,121,str:558,1,0,0,provenance_key,2026-05-23T11:01:59.122927+00:00
Akteurrolle,aliases,9,24,37.5,15,list[str]:9,9,0,0,core,"[""Architektur""] || [""Pruefung_Qualitaetssicherung""] || [""Bauausfuehrung""] || [""Rueckbau_Demontage""] || [""Materiallieferant""]"
Akteurrolle,id,24,24,100.0,0,str:24,24,0,0,core,ar_materialbroker || ar_aufbereitung_refurbishment || ar_bauherr_auftraggeber || ar_forschung_dokumentation || ar_projektmanagement_koordination
Akteurrolle,migration_origin,24,24,100.0,0,str:24,1,0,0,,mig_qext_b_source_urls
Akteurrolle,name,24,24,100.0,0,str:24,24,0,0,core,Materialbroker / Reuse-Marketplace-Betreiber || Aufbereitung_Refurbishment || Bauherr_Auftraggeber || Forschung_Dokumentation || Projektmanagement_Koordination
Akteurrolle,scope_note,1,24,4.17,23,str:1,1,0,0,core,"Operates a reuse-material marketplace, hub, or brokerage service. Examples: Rotor DC, Concular, Restado, Cycle Up, Opalis, Madaster."
Akteurrolle,source_scope,24,24,100.0,0,str:24,1,0,0,core; provenance_key,controlled_vocab_seed
Akteurrolle,source_urls_updated_at,24,24,100.0,0,str:24,1,0,0,provenance_key,2026-05-22
Akteurtyp,aliases,1,10,10.0,9,list[str]:1,1,0,0,core,"[""Verband_Kammer""]"
Akteurtyp,id,10,10,100.0,0,str:10,10,0,0,core,at_person || at_organisation || at_unternehmen || at_oeffentliche_institution || at_forschung_lehre
Akteurtyp,migration_origin,10,10,100.0,0,str:10,1,0,0,,mig_qext_b_source_urls
Akteurtyp,name,10,10,100.0,0,str:10,10,0,0,core,Person || Organisation || Unternehmen || Oeffentliche_Institution || Forschung_Lehre
Akteurtyp,source_scope,10,10,100.0,0,str:10,1,0,0,core; provenance_key,controlled_vocab_seed
Akteurtyp,source_urls_updated_at,10,10,100.0,0,str:10,1,0,0,provenance_key,2026-05-22
Akzeptanz,id,7,7,100.0,0,str:7,7,0,0,core,ak_dgnb_zertifizierung || ak_breeam_zertifizierung || ak_leed_zertifizierung || ak_oeffentlicher_bauherr_pilot || ak_aesthetik_patinakultur
Akzeptanz,migration_origin,7,7,100.0,0,str:7,1,0,0,,mig_qext_b_source_urls
Akzeptanz,name,7,7,100.0,0,str:7,7,0,0,core,DGNB || BREEAM || LEED || Public-Bauherr Pilot || Patina-Ästhetik
Akzeptanz,name_full,7,7,100.0,0,str:7,7,0,0,core,DGNB-Zertifizierung akzeptiert Reuse || BREEAM-Zertifizierung akzeptiert Reuse || LEED-Zertifizierung akzeptiert Reuse || Öffentlicher Bauherr (Pilotprojekt-Akzeptanz) || Ästhetik-/Patinakultur akzeptiert
Akzeptanz,scope_note,7,7,100.0,0,str:7,7,0,0,core,"Deutsches Nachhaltigkeitszertifikat (DGNB) gewährt Bonuspunkte für Bauteilwiederverwendung. || UK-basiertes Nachhaltigkeitszertifikat; Mat-Credits für Reuse. || US-basiertes Nachhaltigkeitszertifikat; Materials & Resources credits für Reuse. || Öffentliche Bauherren akzeptieren Reuse über Pilot-/Forschungsrahmen (z.B. SBB, ETH, Bauamt). || Sichtbare Reuse-Ästhetik (Patina, Materialgeschichte) als gestalterischer Wert akzeptiert."
Akzeptanz,source_scope,7,7,100.0,0,str:7,1,0,0,core; provenance_key,controlled_vocab_seed
Akzeptanz,source_urls_updated_at,7,7,100.0,0,str:7,1,0,0,provenance_key,2026-05-22
Aufbereitungsverfahren,candidate_source_count,52,62,83.87,10,int:52,1,0,0,provenance_key,8
Aufbereitungsverfahren,candidate_source_status,52,62,83.87,10,str:52,1,0,0,provenance_key,needs_fact_url_review
Aufbereitungsverfahren,candidate_source_urls,52,62,83.87,10,list[str]:52,1,0,0,provenance_key,"[""https://opalis.eu/sites/default/files/2022-02/FCRBE-General_introduction.pdf"",""https://opalis.eu/sites/default/files/2022-01/2.40_en_-_reclaimed_solid_terracotta_brick_v01_0.pdf"",""https://recreate-project.eu/project-p…"
Aufbereitungsverfahren,created_by,17,62,27.42,45,str:17,1,0,0,,agent10_phase4b_2
Aufbereitungsverfahren,id,62,62,100.0,0,str:62,62,0,0,core,av_oberflaechenbehandlung || av_zerlegung_vereinzelung || av_materialsortierung_chargenbildung || av_kaskadierende_wiederverwendung || av_sandstrahlen
Aufbereitungsverfahren,is_parent_category,4,62,6.45,58,bool:4,1,0,0,,true
Aufbereitungsverfahren,last_seen_by,52,62,83.87,10,str:52,1,0,0,,agent10_phase4b_2
Aufbereitungsverfahren,migration_origin,62,62,100.0,0,str:62,2,0,0,,mig_qext_b_source_urls || mig_qext_b_source_urls | mig_qext_c_primary_source_url
Aufbereitungsverfahren,name,62,62,100.0,0,str:62,62,0,0,core,Oberflächenbehandlung (Sammelkategorie) || Zerlegung / Vereinzelung (Sammelkategorie) || Materialsortierung & Chargenbildung (querschnittlich) || Kaskadierende Nutzung / Downcycling-Entscheidung || Sandstrahlen / Strahlreinigen
Aufbereitungsverfahren,review_status,62,62,100.0,0,str:62,1,0,0,,needs_source_url_review
Aufbereitungsverfahren,scope_note,34,62,54.84,28,str:34,34,0,0,core,"Parent category: cleaning, stripping, coating-removal, blasting, surface refinishing across materials. || Parent category: sawing, cutting, separating elements from parent assemblies. || Cross-material sorting, grouping into reusable batches, tagging origin/condition. || Decision node: when performance data is insufficient, redirect to less-demanding application. || Abrasive blasting to remove rust, scale, old coatings; surface prep for new corrosion protection."
Aufbereitungsverfahren,source_resolution_status,62,62,100.0,0,str:62,1,0,0,provenance_key,needs_source_url_review
Aufbereitungsverfahren,source_scope,62,62,100.0,0,str:62,2,0,0,core; provenance_key,controlled_vocab_seed || research_file
Aufbereitungsverfahren,source_urls_updated_at,62,62,100.0,0,str:62,1,0,0,provenance_key,2026-05-22
Aufbereitungsverfahren,strict_source_url_cleanup,62,62,100.0,0,str:62,1,0,0,provenance_key,mig_strict_source_url_binding_cleanup_2026_05_23
Aufbereitungsverfahren,strict_source_url_cleanup_at,62,62,100.0,0,str:62,1,0,0,provenance_key,2026-05-23T11:01:59.122927+00:00
BauaufgabeIntervention,id,10,10,100.0,0,str:10,10,0,0,core,bai_aufstockung || bai_erweiterung || bai_fit_out || bai_neubau || bai_rueckbau
BauaufgabeIntervention,migration_origin,10,10,100.0,0,str:10,1,0,0,,mig_qext_b_source_urls
BauaufgabeIntervention,name,10,10,100.0,0,str:10,10,0,0,core,Aufstockung || Erweiterung || Fit_out || Neubau || Rueckbau
BauaufgabeIntervention,source_scope,10,10,100.0,0,str:10,1,0,0,core; provenance_key,controlled_vocab_seed
BauaufgabeIntervention,source_urls_updated_at,10,10,100.0,0,str:10,1,0,0,provenance_key,2026-05-22
Bauobjektklasse,id,8,8,100.0,0,str:8,8,0,0,core,bok_depot_lager || bok_gebaeude || bok_gebaeudeteil || bok_infrastruktur || bok_innenausbau
Bauobjektklasse,migration_origin,8,8,100.0,0,str:8,1,0,0,,mig_qext_b_source_urls
Bauobjektklasse,name,8,8,100.0,0,str:8,8,0,0,core,Depot_Lager || Gebaeude || Gebaeudeteil || Infrastruktur || Innenausbau
Bauobjektklasse,source_scope,8,8,100.0,0,str:8,1,0,0,core; provenance_key,controlled_vocab_seed
Bauobjektklasse,source_urls_updated_at,8,8,100.0,0,str:8,1,0,0,provenance_key,2026-05-22
Bauobjektrolle,id,6,6,100.0,0,str:6,6,0,0,core,bor_bestandsobjekt || bor_donorobjekt || bor_empfaengerobjekt || bor_referenzobjekt || bor_same_site_donor_receiver
Bauobjektrolle,migration_origin,6,6,100.0,0,str:6,1,0,0,,mig_qext_b_source_urls
Bauobjektrolle,name,6,6,100.0,0,str:6,6,0,0,core,Bestandsobjekt || Donorobjekt || Empfaengerobjekt || Referenzobjekt || Same_Site_Donor_Receiver
Bauobjektrolle,source_scope,6,6,100.0,0,str:6,1,0,0,core; provenance_key,controlled_vocab_seed
Bauobjektrolle,source_urls_updated_at,6,6,100.0,0,str:6,1,0,0,provenance_key,2026-05-22
Bauproduktstatus,id,15,15,100.0,0,str:15,15,0,0,core,bps_ce_hen || bps_ce_eta || bps_ue_zeichen || bps_abz_abg || bps_zie_vbg
Bauproduktstatus,migration_origin,15,15,100.0,0,str:15,1,0,0,,mig_qext_b_source_urls
Bauproduktstatus,name,15,15,100.0,0,str:15,15,0,0,core,CE (hEN) || CE (ETA) || Ü-Zeichen (DE) || abZ / aBG (DE) || ZiE / vBG (DE)
Bauproduktstatus,name_full,15,15,100.0,0,str:15,15,0,0,core,"CE-Marking unter harmonisierter EN-Norm (hEN) || CE-Marking via Europäische Technische Bewertung (ETA) || Ü-Zeichen (DE, nationale Konformität) || abZ / aBG (DE, allgemeine bauaufsichtliche Zulassung) || ZiE / vBG (DE, project-specific approval)"
Bauproduktstatus,scope_note,15,15,100.0,0,str:15,15,0,0,core,EU CPR; covers CE-marked construction products under harmonised European standards. || EU CPR alternative for non-hEN products; requires ETA assessment. || German national mark for products outside CPR harmonised scope. || DIBt allgemeine Zulassung for non-standard German construction products. || Project-specific German approval (Zustimmung im Einzelfall / vorhabenbezogene Bauartgenehmigung).
Bauproduktstatus,source_scope,15,15,100.0,0,str:15,1,0,0,core; provenance_key,controlled_vocab_seed
Bauproduktstatus,source_urls_updated_at,15,15,100.0,0,str:15,1,0,0,provenance_key,2026-05-22
Bausystem,definition,3,9,33.33,6,str:3,3,0,0,,Großformatiges ostdeutsches Stahlbetonfertigteil-/Plattenbausystem; als kontrollierter Bausystem-Begriff für Plattenreuse-Fälle. || Glued-laminated secondary timber from reclaimed solid wood; remanufactured mass timber component family. || Cross-laminated secondary timber from reclaimed solid wood; remanufactured panel component family.
Bausystem,id,9,9,100.0,0,str:9,9,0,0,core,bsys_betonfertigteil_system || bsys_holz_skelettbau || bsys_holzrahmenbau || bsys_plattenbau || bsys_stahl_skelettbau
Bausystem,migration_origin,9,9,100.0,0,str:9,1,0,0,,mig_qext_b_source_urls
Bausystem,name,9,9,100.0,0,str:9,9,0,0,core,Betonfertigteil_System || Holz_Skelettbau || Holzrahmenbau || Plattenbau || Stahl_Skelettbau
Bausystem,source_scope,9,9,100.0,0,str:9,1,0,0,core; provenance_key,controlled_vocab_seed
Bausystem,source_urls_updated_at,9,9,100.0,0,str:9,1,0,0,provenance_key,2026-05-22
Bauteilebene,id,6,6,100.0,0,str:6,6,0,0,core,be_bauteilgruppe || be_einzelbauteil || be_gebaeudeteil || be_materialcharge || be_oberflaechenschicht
Bauteilebene,migration_origin,6,6,100.0,0,str:6,1,0,0,,mig_qext_b_source_urls
Bauteilebene,name,6,6,100.0,0,str:6,6,0,0,core,Bauteilgruppe || Einzelbauteil || Gebaeudeteil || Materialcharge || Oberflaechenschicht
Bauteilebene,source_scope,6,6,100.0,0,str:6,1,0,0,core; provenance_key,controlled_vocab_seed
Bauteilebene,source_urls_updated_at,6,6,100.0,0,str:6,1,0,0,provenance_key,2026-05-22
Bauteilgruppe,_archive,308,369,83.47,61,str:308,308,0,0,,"{""raw_name"":""Verbiest Geländer | Metall/Holz | Palais des Expositions Charleroi"",""aliases"":[""bg_verbiest_karreveld_brussels_verbiest_gelaender_fliesen_und_steine_aus_charleroi""]} || {""raw_name"":""Verbiest Fliesen | keramisch/Stein | Palais des Expositions Charleroi"",""aliases"":[""bg_verbiest_karreveld_brussels_verbiest_gelaender_fliesen_und_steine_aus_charleroi""]} || {""raw_name"":""Verbiest Steine | Natur-/Mauersteine | Palais des Expositions Charleroi"",""aliases"":[""bg_verbiest_karreveld_brussels_verbiest_gelaender_fliesen_und_steine_aus_charleroi""]} || {""note"":""20.35 t intended reused steel, 97 percent of steelwork in the new core"",""raw_name"":""Stahlprofile für neuen externen Kern"",""aliases"":[""bg_55gss_reused_steel_external_core"",""Reused steel profiles for external cor… || {""raw_name"":""Dach-/Atriumhülle"",""aliases"":[""bg_alliander_common_roof_atrium"",""Gemeinsame Überdachung / Atriumhülle als Transformationsbauteil""],""reuse_anteil_unbekannt"":true}"
Bauteilgruppe,alte_funktion,297,369,80.49,72,str:297,269,0,0,,Geländer im Palais des Expositions Charleroi || Boden-/Wandfliesen im Palais des Expositions Charleroi || Natur-/Mauersteine im Palais des Expositions Charleroi || steel frame / reclaimed stock || unbekannt / überwiegend neu oder unklar
Bauteilgruppe,bg_kind,369,369,100.0,0,str:369,3,0,0,,batch || category || partial_batch
Bauteilgruppe,candidate_source_count,308,369,83.47,61,int:308,15,0,0,provenance_key,11 || 8 || 5 || 6 || 7
Bauteilgruppe,candidate_source_status,308,369,83.47,61,str:308,1,0,0,provenance_key,needs_fact_url_review
Bauteilgruppe,candidate_source_urls,308,369,83.47,61,list[str]:308,75,0,0,provenance_key,"[""https://www.agwa.be/en/projects/1718_verbiest/201"",""https://www.agwa.be/en/projects/1619_TAKEDA/185"",""https://www.agwa.be/en/projects/1811_KARREVELD/212"",""https://opalis.eu/fr/projets/reconversion-dun-immeuble-de-bure… || [""https://asbp.org.uk/case-studies/55-great-suffolk-street"",""https://www.nla.london/projects/55-great-suffolk-street"",""https://www.hawkinsbrown.com/projects/55-great-suffolk-street"",""https://www.operapm.co.uk/place/our-… || [""https://www.rau.eu/portfolio/liander/`"",""https://www.archdaily.com/`"",""https://www.breeam.nl/`"",""https://www.alliander.com/`"",""https://www.dgbc.nl/`""] || [""https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-"",""https://www.urselmann-interior.de/awm-office"",""https://concular.de/bueroetage-muenster"",""https://awm.stadt-muenster.… || [""https://www.zedfactory.com/bedzed"",""https://www.bioregional.com/projects-and-services/case-studies/bedzed-the-uks-first-large-scale-eco-village"",""https://www.bioregional.com/resources/using-sustainable-building-materi…"
Bauteilgruppe,direct_reuse_relevant,8,369,2.17,361,bool:7; str:1,2,0,0,type_drift,"false || fester Einbau, aber nicht bewertungsrelevantes Tragwerk"
Bauteilgruppe,donor_resolution_status,26,369,7.05,343,str:26,5,0,0,,resource_source || exact_building || same_site || unknown || borrowed_pool
Bauteilgruppe,donor_unknown,24,369,6.5,345,bool:24,1,0,0,,true
Bauteilgruppe,huelle,82,369,22.22,287,bool:82,2,0,0,,true || false
Bauteilgruppe,id,369,369,100.0,0,str:369,369,0,0,core,bg_reuse_stahl_gelaender_verbiest_charleroi || bg_reuse_keramik_boden_verbiest_charleroi || bg_reuse_naturstein_wand_verbiest_charleroi || bg_reuse_stahl_mehrere_55gss_external_core || bg_reuse_mehrere_mehrere_alliander_common_roof_atrium
Bauteilgruppe,invalid_candidate_source_urls,160,369,43.36,209,list[str]:160,23,0,0,provenance_key,"[""https://bimtec"",""https://b"",""https://symmetr""] || [""https://olympiap""] || [""https://projecta"",""https://pr""] || [""https://dutchdes""] || [""https://d""]"
Bauteilgruppe,menge_kg,1,369,0.27,368,int:1,1,0,0,,165000
Bauteilgruppe,menge_m,1,369,0.27,368,int:1,1,0,0,,1300
Bauteilgruppe,menge_m2,14,369,3.79,355,float:2; int:12,14,0,0,type_drift,125 || 60 || 450 || 1000 || 140
Bauteilgruppe,menge_original_key,11,369,2.98,358,str:11,9,0,0,,teppichfliesen_anzahl || reuse_deckenplatten_anzahl || reuse_wandplatten_anzahl || demontierte_fassadenelemente_anzahl || leuchten_anzahl
Bauteilgruppe,menge_source,11,369,2.98,358,str:11,1,0,0,provenance_key,projekt_counter_migration_mig_2_4
Bauteilgruppe,menge_stueck,20,369,5.42,349,int:20,19,0,0,,20 || 2000 || 50 || 26 || 6000
Bauteilgruppe,menge_t,7,369,1.9,362,float:3; int:4,7,0,0,type_drift,20.35 || 98 || 165 || 33.46 || 11.8
Bauteilgruppe,menge_unbekannt,43,369,11.65,326,bool:43,1,0,0,,true
Bauteilgruppe,migration_origin,369,369,100.0,0,str:369,1,0,0,,mig_r5_bg_disambiguation | mig_qext_b_source_urls | mig_qext_c_primary_source_url
Bauteilgruppe,name,369,369,100.0,0,str:369,369,0,0,core,Geländer aus Charleroi || Fliesen aus Charleroi || Steine aus Charleroi || Steel profiles for… || Gemeinsame Überdachung
Bauteilgruppe,name_full,331,369,89.7,38,str:331,329,0,0,core,Verbiest-Geländer aus Palais des Expositions Charleroi || Verbiest-Fliesen (Keramik/Stein) aus Palais des Expositions Charleroi || Verbiest-Steine (Natur-/Mauersteine) aus Palais des Expositions Charleroi || Reused steel profiles for external core || Gemeinsame Überdachung / Atriumhülle als Transformationsbauteil
Bauteilgruppe,neue_funktion,297,369,80.49,72,str:297,291,0,0,,Geländer im Verbiest-Projekt || Boden-/Wandoberflächen im Verbiest-Projekt || Bauteil/Oberfläche im Verbiest-Projekt || structural external service and circulation core || räumliche Verbindung und Hülle des Campus
Bauteilgruppe,primary_bauteiltyp_id,369,369,100.0,0,str:369,16,0,0,,bt_gelaender || bt_mehrere || bt_wand || bt_ausbau || bt_fassade
Bauteilgruppe,primary_material_id,369,369,100.0,0,str:369,21,0,0,,mat_stahl || mat_keramik || mat_naturstein || mat_mehrere || mat_glas
Bauteilgruppe,raeumlich,118,369,31.98,251,bool:118,2,0,0,,true || false
Bauteilgruppe,reuse_status,369,369,100.0,0,str:369,4,0,0,,reuse || retained || planned || dismantled
Bauteilgruppe,review_status,369,369,100.0,0,str:369,1,0,0,,needs_source_url_review
