id,fallstudie,kennwertdefinition,wert,einheit,raw_kontext
gjG_House_Gentbrugge__Datenluecke__190_0_m2,gjG_House_Gentbrugge,Datenluecke,190.0,m2,190 m²
Grande_Halle_de_Colombelles__Wiederverwendungsquote__19_0_t,Grande_Halle_de_Colombelles,Wiederverwendungsquote,19.0,t,19 t Abfall vermieden und wiederverwendet
Grande_Halle_de_Colombelles__Datenluecke__3700_0_m2,Grande_Halle_de_Colombelles,Datenluecke,3700.0,m2,Fläche ca. 3.700 m² / 3.080 m² / 3.000 m²
Grande_Halle_de_Colombelles__Datenluecke__3080_0_m2,Grande_Halle_de_Colombelles,Datenluecke,3080.0,m2,Fläche ca. 3.700 m² / 3.080 m² / 3.000 m²
Grande_Halle_de_Colombelles__Datenluecke__3000_0_m2,Grande_Halle_de_Colombelles,Datenluecke,3000.0,m2,Fläche ca. 3.700 m² / 3.080 m² / 3.000 m²
Grubenstrasse_29_Werkhof_29_Zuerich__Datenluecke__2600_0_m2,Grubenstrasse_29_Werkhof_29_Zuerich,Datenluecke,2600.0,m2,2.600 m²
Grubenstrasse_29_Werkhof_29_Zuerich__Datenluecke__110_0_m2,Grubenstrasse_29_Werkhof_29_Zuerich,Datenluecke,110.0,m2,"8 Büro-/Gewerbeeinheiten, 70–110 m² je Einheit"
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Datenluecke__250_0_m2,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Datenluecke,250.0,m2,ca. 250 m² Nutzfläche; ca. 300.000 EUR Herstellungskosten; 2008 Fertigstellung
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Materialwert__300000_0_eur,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Materialwert,300000.0,eur,ca. 250 m² Nutzfläche; ca. 300.000 EUR Herstellungskosten; 2008 Fertigstellung
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__190_0_t,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Wiederverwendungsquote,190.0,t,ca. 190 t wiederverwendete Elemente
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__75_0,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Wiederverwendungsquote,75.0,%,ca. 75 % Wiederverwendungsgrad Rohbau-Substanz; ca. 25 % Kosteneinsparung
Haus_HOS_Mehrfamilienhaus_Muehlhausen__Wiederverwendungsquote__25_0,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Wiederverwendungsquote,25.0,%,ca. 75 % Wiederverwendungsgrad Rohbau-Substanz; ca. 25 % Kosteneinsparung
Holbein_Gardens_London__CO2_Einsparung__25_0_t,Holbein_Gardens_London,CO2_Einsparung,25.0,t,24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle
Holbein_Gardens_London__CO2_Einsparung__60_0_t,Holbein_Gardens_London,CO2_Einsparung,60.0,t,24–25 t reused steel; 35/45/60 t CO₂-Einsparung je Quelle
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Datenluecke__16_0_t,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Datenluecke,16.0,t,16 t / 20 t / 40 t / up to 100 t
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Datenluecke__20_0_t,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Datenluecke,20.0,t,16 t / 20 t / 40 t / up to 100 t
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Datenluecke__40_0_t,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Datenluecke,40.0,t,16 t / 20 t / 40 t / up to 100 t
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Datenluecke__100_0_t,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Datenluecke,100.0,t,16 t / 20 t / 40 t / up to 100 t
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__CO2_Einsparung__48_0_t,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,CO2_Einsparung,48.0,t,48 t CO₂
House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Datenluecke__20_0,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Datenluecke,20.0,%,20 % project steel repurposed
Impact_Hub_Berlin_CRCLR_Fitout__Datenluecke__70_0,Impact_Hub_Berlin_CRCLR_Fitout,Datenluecke,70.0,%,ca. 70 % recycled or sustainable
Impact_Hub_Berlin_CRCLR_Fitout__Datenluecke__80_0,Impact_Hub_Berlin_CRCLR_Fitout,Datenluecke,80.0,%,80 % sustainable/recycled/upcycled
Juch_Areal_Recyclingzentrum_Zuerich__CO2_Einsparung__600_0_t,Juch_Areal_Recyclingzentrum_Zuerich,CO2_Einsparung,600.0,t,fast 600 t CO₂ / gut 40% Reduktion
Juch_Areal_Recyclingzentrum_Zuerich__CO2_Einsparung__40_0,Juch_Areal_Recyclingzentrum_Zuerich,CO2_Einsparung,40.0,%,fast 600 t CO₂ / gut 40% Reduktion
K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__14_0,K118_Kopfbau_Halle_118_Winterthur,Wiederverwendungsquote,14.0,%,14 % Wiederverwendungsrate nach Gewicht
K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__41_0,K118_Kopfbau_Halle_118_Winterthur,Wiederverwendungsquote,41.0,%,41 % Wiederverwendungsrate nach Volumen
K118_Kopfbau_Halle_118_Winterthur__CO2_Einsparung__59_0,K118_Kopfbau_Halle_118_Winterthur,CO2_Einsparung,59.0,%,59 % CO₂-Reduktion / 494 t CO₂
K118_Kopfbau_Halle_118_Winterthur__CO2_Einsparung__494_0_t,K118_Kopfbau_Halle_118_Winterthur,CO2_Einsparung,494.0,t,59 % CO₂-Reduktion / 494 t CO₂
K118_Kopfbau_Halle_118_Winterthur__Wiederverwendungsquote__500_0_t,K118_Kopfbau_Halle_118_Winterthur,Wiederverwendungsquote,500.0,t,ca. 500 t Primärmaterial eingespart
KA13_Kristian_Augusts_gate_13_Oslo__Datenluecke__4297_0_m2,KA13_Kristian_Augusts_gate_13_Oslo,Datenluecke,4297.0,m2,Gesamtfläche 4.297 m²
KA13_Kristian_Augusts_gate_13_Oslo__Wiederverwendungsquote__80_0,KA13_Kristian_Augusts_gate_13_Oslo,Wiederverwendungsquote,80.0,%,nahezu/bis 80 % Wiederverwendung
KA13_Kristian_Augusts_gate_13_Oslo__CO2_Einsparung__70_0,KA13_Kristian_Augusts_gate_13_Oslo,CO2_Einsparung,70.0,%,70 % Treibhausgasreduktion
KA13_Kristian_Augusts_gate_13_Oslo__Datenluecke__160_0_m2,KA13_Kristian_Augusts_gate_13_Oslo,Datenluecke,160.0,m2,"ca. 160 m² HCS, 21 Elemente"
Kamikatsu_Zero_Waste_Center_Hotel_WHY__Datenluecke__5557_0_m2,Kamikatsu_Zero_Waste_Center_Hotel_WHY,Datenluecke,5557.0,m2,5.557 m²
Kindergarten_Moeoeslistrasse_Manegg_Zuerich__Datenluecke__30_0,Kindergarten_Moeoeslistrasse_Manegg_Zuerich,Datenluecke,30.0,%,ca. 30 % graue THG-Einsparung
Kindergarten_Moeoeslistrasse_Manegg_Zuerich__CO2_Einsparung__1_9_kg,Kindergarten_Moeoeslistrasse_Manegg_Zuerich,CO2_Einsparung,1.9,kg,"2,6 → 1,9 kg CO₂e/m²a"
Lo_Reninge_Town_Hall_Facade__Datenluecke__205_0_m2,Lo_Reninge_Town_Hall_Facade,Datenluecke,205.0,m2,205 m² wiederverwendete Ziegel
Lycee_Michel_Lucius_Conversion_Luxembourg__Datenluecke__2700_0_m2,Lycee_Michel_Lucius_Conversion_Luxembourg,Datenluecke,2700.0,m2,2.700 m²
Lycee_Michel_Lucius_Conversion_Luxembourg__Materialwert__6500000_0_eur,Lycee_Michel_Lucius_Conversion_Luxembourg,Materialwert,6500000.0,eur,6.500.000 EUR ohne MwSt
Lycee_Michel_Lucius_Conversion_Luxembourg__Datenluecke__79_0,Lycee_Michel_Lucius_Conversion_Luxembourg,Datenluecke,79.0,%,79 % weniger Abbruchabfall
Lycee_Michel_Lucius_Conversion_Luxembourg__CO2_Einsparung__792_0_t,Lycee_Michel_Lucius_Conversion_Luxembourg,CO2_Einsparung,792.0,t,458–792 t CO₂e Einsparung
Maison_DnA_Asse__Datenluecke__260_0_m2,Maison_DnA_Asse,Datenluecke,260.0,m2,260 m²
Maison_Vignette_Auderghem__Datenluecke__36_0_m2,Maison_Vignette_Auderghem,Datenluecke,36.0,m2,3.000 Ziegel / 36 m² Fassade
Mehrow_Pilot_House__Datenluecke__118_0_m3,Mehrow_Pilot_House,Datenluecke,118.0,m3,118 m³; 49 Bauteile; 2005; Bauteilalter ca. 21 Jahre
Mehrow_Pilot_House__Datenluecke__21_0_jahre,Mehrow_Pilot_House,Datenluecke,21.0,jahre,118 m³; 49 Bauteile; 2005; Bauteilalter ca. 21 Jahre
Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__Datenluecke__350_0_m2,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki,Datenluecke,350.0,m2,ca. 350 m² / fast 400 m²
Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__Datenluecke__400_0_m2,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki,Datenluecke,400.0,m2,ca. 350 m² / fast 400 m²
Montessori_Maassluis__Datenluecke__1508_0_m2,Montessori_Maassluis,Datenluecke,1508.0,m2,ca. 1.508 m²
Montessori_Maassluis__Datenluecke__1534_0_m2,Montessori_Maassluis,Datenluecke,1534.0,m2,1.534 m²
Montessori_Maassluis__Datenluecke__50_0_jahre,Montessori_Maassluis,Datenluecke,50.0,jahre,mindestens 50 Jahre Nutzungsdauer
Multi_Brussels_Reuse_in_MULTI__Datenluecke__45800_0_m2,Multi_Brussels_Reuse_in_MULTI,Datenluecke,45800.0,m2,44.200 / 45.000 / 45.800 m²
Multi_Brussels_Reuse_in_MULTI__Wiederverwendungsquote__2_0,Multi_Brussels_Reuse_in_MULTI,Wiederverwendungsquote,2.0,%,2 % bzw. 3 % Urban Mining / externe Reuse-Materialien
Multi_Brussels_Reuse_in_MULTI__Wiederverwendungsquote__3_0,Multi_Brussels_Reuse_in_MULTI,Wiederverwendungsquote,3.0,%,2 % bzw. 3 % Urban Mining / externe Reuse-Materialien
Musee_de_Folklore_Mouscron__Wiederverwendungsquote__25_0,Musee_de_Folklore_Mouscron,Wiederverwendungsquote,25.0,%,25 % Anteil Reuse-Ziegel
Peoples_Pavilion_Eindhoven__Datenluecke__250_0_m2,Peoples_Pavilion_Eindhoven,Datenluecke,250.0,m2,250 m²
Peoples_Pavilion_Eindhoven__Datenluecke__100_0,Peoples_Pavilion_Eindhoven,Datenluecke,100.0,%,100 % borrowed
PLP_London_HQ_Circular_Studio_Fitout__Wiederverwendungsquote__92_0,PLP_London_HQ_Circular_Studio_Fitout,Wiederverwendungsquote,92.0,%,"92 % reused/donated, 7 % recycled"
PLP_London_HQ_Circular_Studio_Fitout__Wiederverwendungsquote__7_0,PLP_London_HQ_Circular_Studio_Fitout,Wiederverwendungsquote,7.0,%,"92 % reused/donated, 7 % recycled"
PLP_London_HQ_Circular_Studio_Fitout__Datenluecke__75_4,PLP_London_HQ_Circular_Studio_Fitout,Datenluecke,75.4,%,75.4 % embodied carbon reduction
PLP_London_HQ_Circular_Studio_Fitout__CO2_Einsparung__175_78_t,PLP_London_HQ_Circular_Studio_Fitout,CO2_Einsparung,175.78,t,175.78 t CO₂ diverted from landfill
ReCrete_footbridge_reused_concrete_blocks__Datenluecke__71_0,ReCrete_footbridge_reused_concrete_blocks,Datenluecke,71.0,%,−71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative
ReCrete_footbridge_reused_concrete_blocks__Datenluecke__74_0,ReCrete_footbridge_reused_concrete_blocks,Datenluecke,74.0,%,−71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative
ReCrete_footbridge_reused_concrete_blocks__Datenluecke__9_0,ReCrete_footbridge_reused_concrete_blocks,Datenluecke,9.0,%,−71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative
Recyclinghaus_Hannover__Datenluecke__285_0_m2,Recyclinghaus_Hannover,Datenluecke,285.0,m2,285 m² BGF
Recyclinghaus_Hannover__Datenluecke__160_0_m2,Recyclinghaus_Hannover,Datenluecke,160.0,m2,160 m² Wohnfläche
Recyclinghaus_Hannover__Wiederverwendungsquote__90_0,Recyclinghaus_Hannover,Wiederverwendungsquote,90.0,%,90 % Fassadenmaterial wiederverwendet
Recyclinghaus_Hannover__Datenluecke__42_0,Recyclinghaus_Hannover,Datenluecke,42.0,%,42 % Altmaterial im Recyclingbeton
Recyclinghaus_Hannover__CO2_Einsparung__100_0_t,Recyclinghaus_Hannover,CO2_Einsparung,100.0,t,ca. 100 t CO₂ gebunden
Recypark_Demets_Anderlecht__Datenluecke__5000_0_m2,Recypark_Demets_Anderlecht,Datenluecke,5000.0,m2,5.000 m² built surface
Resilience_La_Ferme_des_Possibles_Stains__Datenluecke__72_24_t,Resilience_La_Ferme_des_Possibles_Stains,Datenluecke,72.24,t,"72,24 t Reuse-Material"
Resilience_La_Ferme_des_Possibles_Stains__Wiederverwendungsquote__12_67,Resilience_La_Ferme_des_Possibles_Stains,Wiederverwendungsquote,12.67,%,"12,67 % Reuse-Anteil"
Resilience_La_Ferme_des_Possibles_Stains__CO2_Einsparung__69_22_t,Resilience_La_Ferme_des_Possibles_Stains,CO2_Einsparung,69.22,t,"69,22 t CO₂e vermieden"
Roots_in_the_Sky_Blackfriars_Crown_Court__CO2_Einsparung__30_0_t,Roots_in_the_Sky_Blackfriars_Crown_Court,CO2_Einsparung,30.0,t,30 t Stahl / 74 t CO₂e Einsparung
Roots_in_the_Sky_Blackfriars_Crown_Court__CO2_Einsparung__74_0_t,Roots_in_the_Sky_Blackfriars_Crown_Court,CO2_Einsparung,74.0,t,30 t Stahl / 74 t CO₂e Einsparung
Roots_in_the_Sky_Blackfriars_Crown_Court__Wiederverwendungsquote__139_0_t,Roots_in_the_Sky_Blackfriars_Crown_Court,Wiederverwendungsquote,139.0,t,139 t salvaged steel
Saxum_Vineyard_Equipment_Barn_Paso_Robles__Datenluecke__88700_0_kwh,Saxum_Vineyard_Equipment_Barn_Paso_Robles,Datenluecke,88700.0,kwh,ca. 87.000–88.700 kWh/a PV-Ertrag
Superlocal_Expogebouw_Bleijerheide__Wiederverwendungsquote__95_0,Superlocal_Expogebouw_Bleijerheide,Wiederverwendungsquote,95.0,%,95 % wiederverwendete Materialien; Maurer United nennt 100 % Material aus Abriss
Superlocal_Expogebouw_Bleijerheide__Wiederverwendungsquote__100_0,Superlocal_Expogebouw_Bleijerheide,Wiederverwendungsquote,100.0,%,95 % wiederverwendete Materialien; Maurer United nennt 100 % Material aus Abriss
Svanen_Kindergarten_Gladsaxe__Datenluecke__1436_0_m2,Svanen_Kindergarten_Gladsaxe,Datenluecke,1436.0,m2,1.436 m²
Svanen_Kindergarten_Gladsaxe__Datenluecke__1270_0_m2,Svanen_Kindergarten_Gladsaxe,Datenluecke,1270.0,m2,1.270 m²
Svanen_Kindergarten_Gladsaxe__CO2_Einsparung__6278_0_t,Svanen_Kindergarten_Gladsaxe,CO2_Einsparung,6278.0,t,6.278 t Materialeinsparung / 178 t CO₂
Svanen_Kindergarten_Gladsaxe__CO2_Einsparung__178_0_t,Svanen_Kindergarten_Gladsaxe,CO2_Einsparung,178.0,t,6.278 t Materialeinsparung / 178 t CO₂
The_Green_House_Utrecht__Datenluecke__80_0_m2,The_Green_House_Utrecht,Datenluecke,80.0,m2,80 m² Vertical Farming Greenhouse
The_Green_House_Utrecht__Datenluecke__15_0_jahre,The_Green_House_Utrecht,Datenluecke,15.0,jahre,15 Jahre temporäre Nutzung
