id,fallstudie,entity_type,frage
Maison_DnA_Asse__Pruefung_unbekannt,Maison_DnA_Asse,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Maison_DnA_Asse__Wirtschaft_unbekannt,Maison_DnA_Asse,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Maison_Vignette_Auderghem__Pruefung_unbekannt,Maison_Vignette_Auderghem,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Maison_Vignette_Auderghem__Wirtschaft_unbekannt,Maison_Vignette_Auderghem,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Mehrow_Pilot_House__Norm_Recht_unbekannt,Mehrow_Pilot_House,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Montessori_Maassluis__Pruefung_unbekannt,Montessori_Maassluis,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Montessori_Maassluis__Norm_Recht_unbekannt,Montessori_Maassluis,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Montessori_Maassluis__Schadstoff_unbekannt,Montessori_Maassluis,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Montessori_Maassluis__Bauteilboerse_unbekannt,Montessori_Maassluis,Bauteilboerse,Bauteilboerse unbekannt — Quelle/Wert recherchieren
Montessori_Maassluis__Software_Tool_unbekannt,Montessori_Maassluis,Software/Tool,Software/Tool unbekannt — Quelle/Wert recherchieren
Recyclinghaus_Hannover__Pruefung_unbekannt,Recyclinghaus_Hannover,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Recyclinghaus_Hannover__Software_Tool_unbekannt,Recyclinghaus_Hannover,Software/Tool,Software/Tool unbekannt — Quelle/Wert recherchieren
Resilience_La_Ferme_des_Possibles_Stains__Schadstoff_unbekannt,Resilience_La_Ferme_des_Possibles_Stains,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Resource_Rows_Copenhagen__Bauherr_unbekannt,Resource_Rows_Copenhagen,Bauherr,Bauherr unbekannt — Quelle/Wert recherchieren
Saxum_Vineyard_Equipment_Barn_Paso_Robles__Wirtschaft_unbekannt,Saxum_Vineyard_Equipment_Barn_Paso_Robles,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Svanen_Kindergarten_Gladsaxe__Foerderprogramm_unbekannt,Svanen_Kindergarten_Gladsaxe,Foerderprogramm,Foerderprogramm unbekannt — Quelle/Wert recherchieren
The_Green_House_Utrecht__Foerderprogramm_unbekannt,The_Green_House_Utrecht,Foerderprogramm,Foerderprogramm unbekannt — Quelle/Wert recherchieren
Timber_Square_London__Wirtschaft_unbekannt,Timber_Square_London,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Upcycle_Studios_Copenhagen__Pruefung_unbekannt,Upcycle_Studios_Copenhagen,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Upcycle_Studios_Copenhagen__Norm_Recht_unbekannt,Upcycle_Studios_Copenhagen,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Upcycle_Studios_Copenhagen__Norm_Recht_unbekannt,Upcycle_Studios_Copenhagen,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Upcycle_Studios_Copenhagen__Werkzeug_unbekannt,Upcycle_Studios_Copenhagen,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Verbiest_Karreveld_Brussels__Pruefung_unbekannt,Verbiest_Karreveld_Brussels,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Villa_Welpeloo_Enschede__Wirtschaft_unbekannt,Villa_Welpeloo_Enschede,Wirtschaft,Wirtschaft unbekannt — Quelle/Wert recherchieren
Villa_Welpeloo_Enschede__Norm_Recht_unbekannt,Villa_Welpeloo_Enschede,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Woongroep_Boschgaard_Den_Bosch__Schadstoff_unbekannt,Woongroep_Boschgaard_Den_Bosch,Schadstoff,Schadstoff unbekannt — Quelle/Wert recherchieren
Woongroep_Boschgaard_Den_Bosch__Pruefung_unbekannt,Woongroep_Boschgaard_Den_Bosch,Pruefung,Pruefung unbekannt — Quelle/Wert recherchieren
Woongroep_Boschgaard_Den_Bosch__Norm_Recht_unbekannt,Woongroep_Boschgaard_Den_Bosch,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
Woongroep_Boschgaard_Den_Bosch__Werkzeug_unbekannt,Woongroep_Boschgaard_Den_Bosch,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Zinneke_Feder_Masui4ever_Brussels__Werkzeug_unbekannt,Zinneke_Feder_Masui4ever_Brussels,Werkzeug,Werkzeug unbekannt — Quelle/Wert recherchieren
Zinneke_Feder_Masui4ever_Brussels__Norm_Recht_unbekannt,Zinneke_Feder_Masui4ever_Brussels,Norm_Recht,Norm_Recht unbekannt — Quelle/Wert recherchieren
