id,donor,empfaenger_fallstudie,material,bauteile,alle_materialien
Einfamilienhaus_Pilotwohnhaus__to__Berlin_Schildow_Pilot_House_2__Stahlbetonfertigteil,Einfamilienhaus / Pilotwohnhaus,Berlin_Schildow_Pilot_House_2,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
Ehemalige_Lager_Fassladehalle_Auf_Dem_Kindl_Areal__to__Bestandshalle_CRCLR_House__Daemmstoff_Bio,ehemalige Lager-/Fassladehalle auf dem Kindl-Areal,Bestandshalle_CRCLR_House,Daemmstoff_Bio,,Daemmstoff_Bio
Olympisches_Dorf_Bungalows__to__Bestandverplanzung_Pavilion_Muenchen__Stahlbetonfertigteil,Olympisches Dorf / Bungalows,Bestandverplanzung_Pavilion_Muenchen,Stahlbetonfertigteil,Betonfertigteil_Decke,Stahlbetonfertigteil
Einfamilienhaus_Pilotwohnhaus__to__Big_Dig_House_Lexington_Massachusetts__Baustahl,Einfamilienhaus / Pilotwohnhaus,Big_Dig_House_Lexington_Massachusetts,Baustahl,Stahlstuetze; Stahltraeger,Baustahl; Beton_Ortbeton
Ehemaliges_Gorlaeus_Hochhaus_Gorlaeus_Laboratory__to__BioPartner_5_Leiden_Oegstgeest__Recyclingbeton,ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory,BioPartner_5_Leiden_Oegstgeest,Recyclingbeton,Bodenbelag; Naturstein_Belag; Sanitaerobjekt; Stahltraeger,Recyclingbeton
Ehemaliges_Subtropisches_Schwimmbad_Tropicana_Club_Tropicana__to__BlueCity_Offices_Rotterdam__Vollholz,ehemaliges subtropisches Schwimmbad Tropicana / Club Tropicana,BlueCity_Offices_Rotterdam,Vollholz,Fensterrahmen,Vollholz
Boulder_Community_Hospital_Boulder_Community_Health_Hospital__to__Boulder_Fire_Station_3__Baustahl,Boulder Community Hospital / Boulder Community Health hospital,Boulder_Fire_Station_3,Baustahl,Stahltraeger,Baustahl
Substation_Screen_Oval_Steel_Structure__to__Brent_Cross_Town_Primary_Substation_London__Baustahl,Substation screen / oval steel structure,Brent_Cross_Town_Primary_Substation_London,Baustahl,Stahlstuetze,Baustahl
Permanentes_Forschungs_Demonstrationsgebaeude__to__Brighton_Waste_House_Brighton__Daemmstoff_Mineral,permanentes Forschungs-/Demonstrationsgebäude,Brighton_Waste_House_Brighton,Daemmstoff_Mineral,Bodenbelag,Daemmstoff_Mineral; Sonstige_Reststoffe
Spender_Massenwohnungsbau_Plattenbau__to__Broethen_Twin_House_Hoyerswerda__Stahlbetonfertigteil,Spender: Massenwohnungsbau / Plattenbau,Broethen_Twin_House_Hoyerswerda,Stahlbetonfertigteil,Betonfertigteil_Decke; Plattenbau_Innenwand,Stahlbetonfertigteil
Ehemalige_Lager_Fassladehalle_Auf_Dem_Kindl_Areal__to__CRCLR_House_Impact_Hub_Berlin__unspecified,ehemalige Lager-/Fassladehalle auf dem Kindl-Areal,CRCLR_House_Impact_Hub_Berlin,unspecified,Fassadenpaneel; Fenster; Holz_Tragelement,
Ehemalige_Zigarettenfabrik__to__Charles_Malis_Molenbeek__unspecified,ehemalige Zigarettenfabrik,Charles_Malis_Molenbeek,unspecified,Bodenbelag; Leuchte,
Sanitaerpavillon_Neben_Alter_Farm__to__Chiro_d_Itterbeek_Dilbeek__Beton_Ortbeton,Sanitärpavillon neben alter Farm,Chiro_d_Itterbeek_Dilbeek,Beton_Ortbeton,Bodenbelag; Dachziegel; Fenster; Leuchte; Sanitaerobjekt; Stahltraeger; Tuer; Ziegel,Beton_Ortbeton
Christus_Pavillon__to__Christ_Pavilion_Volkenroda__Beton_Ortbeton,Christus-Pavillon,Christ_Pavilion_Volkenroda,Beton_Ortbeton,Glasfassade,Beton_Ortbeton
Circulair_Centrum_Nederland_Heerde__to__Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__Stahlbeton,"Circulair Centrum Nederland, Heerde",Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,Stahlbeton,Fassadenpaneel; Hohlkoerperdecke,Stahlbeton
Prinsenhof_A_Arnhem__to__Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__Stahlbeton,"Prinsenhof A, Arnhem",Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot,Stahlbeton,Fassadenpaneel; Hohlkoerperdecke,Stahlbeton
Ehemaliges_Coop_Verteilzentrum_Grossbaeckerei__to__ELYS_Kultur_Gewerbehaus_Basel__unspecified,ehemaliges Coop-Verteilzentrum / Großbäckerei,ELYS_Kultur_Gewerbehaus_Basel,unspecified,Daemmung; Fassadenblech; Fenster; Gelaender,
K118_Kopfbau_Halle_118_Winterthur__to__ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal__Daemmstoff_Mineral,K118_Kopfbau_Halle_118_Winterthur,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal,Daemmstoff_Mineral,Fenster,Daemmstoff_Mineral
Europa_Building_Mit_Residence_Palace_Block_A__to__Europa_Building_Brussels__Edelstahl,Europa Building mit Residence Palace Block A,Europa_Building_Brussels,Edelstahl,Fensterrahmen,Edelstahl
Neubauensemble__to__Ferme_du_Rail_Paris__unspecified,Neubauensemble,Ferme_du_Rail_Paris,unspecified,Bodenbelag; Fensterrahmen; Naturstein_Belag,
Ehemalige_Elektrische_Werkstatt_Der_Soci_T_M_Tallurgique_De_Normandie__to__Grande_Halle_de_Colombelles__unspecified,ehemalige elektrische Werkstatt der Société Métallurgique de Normandie,Grande_Halle_de_Colombelles,unspecified,Daemmung; Holz_Tragelement; Radiator; Sanitaerobjekt; Tuer,
Ehemaliges_Fabrik_Gewerbe_Schlossereigebaeude__to__Grubenstrasse_29_Werkhof_29_Zuerich__Daemmstoff_Bio,ehemaliges Fabrik-/Gewerbe-/Schlossereigebäude,Grubenstrasse_29_Werkhof_29_Zuerich,Daemmstoff_Bio,Daemmung; Fassadenblech; Gelaender; Radiator; Sanitaerobjekt; Treppe; Tuer,Daemmstoff_Bio; Lehm
Haermaelaenrannan_Ernst__to__Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__Stahlbeton,Härmälänrannan Ernst,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere,Stahlbeton,Hohlkoerperdecke,Stahlbeton
Spender_Rueckbaustelle_Leinefelde__to__Haus_HOS_Mehrfamilienhaus_Muehlhausen__Stahlbetonfertigteil,Spender: Rückbaustelle Leinefelde,Haus_HOS_Mehrfamilienhaus_Muehlhausen,Stahlbetonfertigteil,Treppe,Stahlbetonfertigteil
1980er_Jahre_Buerogebaeude__to__Holbein_Gardens_London__Baustahl,1980er-Jahre Bürogebäude,Holbein_Gardens_London,Baustahl,Stahltraeger,Baustahl
Tbc_London_Tower_Bridge_Court__to__House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__Baustahl,TBC.London / Tower Bridge Court,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain,Baustahl,Stahlstuetze; Stahltraeger,Baustahl
Crclr_House_Ehemalige_Kindl_Brauerei__to__Impact_Hub_Berlin_CRCLR_Fitout__unspecified,"CRCLR House, ehemalige Kindl-Brauerei",Impact_Hub_Berlin_CRCLR_Fitout,unspecified,Datenluecke; Ziegel,
Ehemaliges_Districtskantoor_Rijkswaterstaat_Terneuzen__to__Jeugdkliniek_Ithaka_Emergis_Kloetinge__unspecified,ehemaliges Districtskantoor Rijkswaterstaat Terneuzen,Jeugdkliniek_Ithaka_Emergis_Kloetinge,unspecified,Fensterrahmen; Holz_Tragelement; Holzfassade; Leuchte; Tuer; Ziegel,
Elys_Kultur_Und_Gewerbehaus_Basel_Lysbuechelareal__to__K118_Kopfbau_Halle_118_Winterthur__Daemmstoff_Bio,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal,K118_Kopfbau_Halle_118_Winterthur,Daemmstoff_Bio,Betonfertigteil_Decke; Daemmung; Fassadenblech; Fenster; Holz_Dachtragwerk; Naturstein_Belag; Stahltraeger; Treppe; Tuer; Ziegel,Daemmstoff_Bio; Lehm
Buerogebaeude_Mit_Umbau_Und_Erweiterung__to__KA13_Kristian_Augusts_gate_13_Oslo__unspecified,Bürogebäude mit Umbau und Erweiterung,KA13_Kristian_Augusts_gate_13_Oslo,unspecified,Fassadenpaneel; Hohlkoerperdecke; Innenwand; Radiator,
Buero_Campuskomplex__to__Liander_Alliander_HQ_Duiven__Baustahl,Büro-/Campuskomplex,Liander_Alliander_HQ_Duiven,Baustahl,Holzfassade,Baustahl; Beton_Ortbeton; Glas_Material
Rathaus_Lo_Reninge_Ehemaliges_Kloster__to__Lo_Reninge_Town_Hall_Facade__Ziegel_Klinker,Rathaus Lo-Reninge / ehemaliges Kloster,Lo_Reninge_Town_Hall_Facade,Ziegel_Klinker,Ziegel,Ziegel_Klinker
Kleiner_Technikbau_Personalraeume_Space_Within_A_Space__to__Lokomotion_Technology_Centre_mini_pilot_Tampere__Stahlbeton,kleiner Technikbau + Personalräume „space within a space“,Lokomotion_Technology_Centre_mini_pilot_Tampere,Stahlbeton,Hohlkoerperdecke,Stahlbeton
Lysbuechel_Parkhaus__to__LysP8_Basel_Lysbuechelareal__Lehm,Lysbuechel_Parkhaus,LysP8_Basel_Lysbuechelareal,Lehm,Dachziegel; Fenster; Sanitaerobjekt,Lehm
Areal_Walkeweg_Nord__to__Lysbuechel_Parkhaus__Beton_Ortbeton,Areal_Walkeweg_Nord,Lysbuechel_Parkhaus,Beton_Ortbeton,,Beton_Ortbeton; Stahlbetonfertigteil
Lysp8_Basel_Lysbuechelareal__to__Lysbuechel_Parkhaus__Beton_Ortbeton,LysP8_Basel_Lysbuechelareal,Lysbuechel_Parkhaus,Beton_Ortbeton,,Beton_Ortbeton; Stahlbetonfertigteil
Einfamilienhaus_Pilotwohnhaus__to__Maison_DnA_Asse__Ziegel_Klinker,Einfamilienhaus / Pilotwohnhaus,Maison_DnA_Asse,Ziegel_Klinker,Aussenwand_Mauerwerk,Ziegel_Klinker
Einfamilienhaus_Pilotwohnhaus__to__Maison_Vignette_Auderghem__Daemmstoff_Bio,Einfamilienhaus / Pilotwohnhaus,Maison_Vignette_Auderghem,Daemmstoff_Bio,Bodenbelag; Naturstein_Belag; Sanitaerobjekt; Ziegel,Daemmstoff_Bio
Spender_Abgerissener_Marzahner_Elfgeschosser__to__Mehrow_Pilot_House__Stahlbetonfertigteil,Spender: abgerissener Marzahner Elfgeschosser,Mehrow_Pilot_House,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
Einfamilienhaus_Pilotwohnhaus__to__Mehrow_Pilot_House__Stahlbetonfertigteil,Einfamilienhaus / Pilotwohnhaus,Mehrow_Pilot_House,Stahlbetonfertigteil,Plattenbau_Innenwand,Stahlbetonfertigteil
Grundschule_Und_Kita__to__Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__Stahlbeton,Grundschule und Kita,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki,Stahlbeton,Hohlkoerperdecke,Stahlbeton
Suutarila_Community_Centre__to__Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__Stahlbeton,Suutarila community centre,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki,Stahlbeton,Hohlkoerperdecke,Stahlbeton
Ehemaliger_Philips_Tower_Brouck_Re_Tower__to__Multi_Brussels_Reuse_in_MULTI__Beton_Ortbeton,ehemaliger Philips Tower / Brouckère Tower,Multi_Brussels_Reuse_in_MULTI,Beton_Ortbeton,Naturstein_Belag; TGA_Sonstiges,Beton_Ortbeton
Mus_E_De_Folklore_Vie_Frontali_Re__to__Musee_de_Folklore_Mouscron__Ziegel_Klinker,Musée de Folklore Vie Frontalière,Musee_de_Folklore_Mouscron,Ziegel_Klinker,Ziegel,Ziegel_Klinker
The_White_Chapel_Building__to__PLP_London_HQ_Circular_Studio_Fitout__unspecified,The White Chapel Building,PLP_London_HQ_Circular_Studio_Fitout,unspecified,Naturstein_Belag,
Kleinsthaus_Galerie_Experimenteller_Wohnraum__to__Plattenpalast_Berlin__unspecified,Kleinsthaus / Galerie / experimenteller Wohnraum,Plattenpalast_Berlin,unspecified,Fenster,
Vollstaendig_De_Und_Remontierbares_Recycling_Gebaeude__to__Plattenvereinigung_Berlin__Stahlbeton,vollständig de- und remontierbares Recycling-Gebäude,Plattenvereinigung_Berlin,Stahlbeton,Treppe,Stahlbeton; Stahlbetonfertigteil
Einfamilienhaus_Pilotwohnhaus__to__Recyclinghaus_Hannover__Daemmstoff_Bio,Einfamilienhaus / Pilotwohnhaus,Recyclinghaus_Hannover,Daemmstoff_Bio,Fassadenblech; Fenster; Glaselement; Sanitaerobjekt; Tuer; Ziegel,Daemmstoff_Bio; Recyclingbeton
Ehemalige_Reithalle_Riding_Arena_Horse_Riding_School__to__Recypark_Demets_Anderlecht__Brettschichtholz,ehemalige Reithalle / riding arena / horse riding school,Recypark_Demets_Anderlecht,Brettschichtholz,Holz_Tragelement,Brettschichtholz
Neubau_Bioklimatisches_Betriebs_Buerogebaeude__to__Resilience_La_Ferme_des_Possibles_Stains__Daemmstoff_Bio,"Neubau, bioklimatisches Betriebs-/Bürogebäude",Resilience_La_Ferme_des_Possibles_Stains,Daemmstoff_Bio,Fenster; Radiator; Sanitaerobjekt; Ziegel,Daemmstoff_Bio; Naturstein_Material
Wohngebaeude_Wohnquartier__to__Resource_Rows_Copenhagen__Ziegel_Klinker,Wohngebäude / Wohnquartier,Resource_Rows_Copenhagen,Ziegel_Klinker,Aussenwand_Mauerwerk,Ziegel_Klinker
Hochhausflat_Ursulastraat__to__Superlocal_Expogebouw_Bleijerheide__Aluminium,Hochhausflat Ursulastraat,Superlocal_Expogebouw_Bleijerheide,Aluminium,Gelaender; Tuer,Aluminium
78_M_20_Geschossiges_Holzhochhaus__to__TRAE_High_Rise_Aarhus__Sonstige_Reststoffe,78 m / 20-geschossiges Holzhochhaus,TRAE_High_Rise_Aarhus,Sonstige_Reststoffe,Akustikelement; Fassadenblech; Fenster,Sonstige_Reststoffe
Industrie_Fabrikgebaeude_Von_1967_1968__to__Thoravej_29_Copenhagen__unspecified,Industrie-/Fabrikgebäude von 1967/1968,Thoravej_29_Copenhagen,unspecified,Betonfertigteil_Decke; Fenster; Tuer; Ziegel,
Print_Building_Und_Ink_Building__to__Timber_Square_London__Baustahl,Print Building und Ink Building,Timber_Square_London,Baustahl,Stahltraeger,Baustahl
Reihenhausensemble__to__Upcycle_Studios_Copenhagen__Recyclingbeton,Reihenhausensemble,Upcycle_Studios_Copenhagen,Recyclingbeton,Bodenbelag; Fenster,Recyclingbeton
Wohnhaus_Mit_Ausstellungs_Kunstlagerfunktion__to__Villa_Welpeloo_Enschede__Daemmstoff_Mineral,Wohnhaus mit Ausstellungs-/Kunstlagerfunktion,Villa_Welpeloo_Enschede,Daemmstoff_Mineral,Stahltraeger; TGA_Sonstiges,Daemmstoff_Mineral
Ehemaliges_Nachbarschaftszentrum_De_Patio_Neue_Wohnbauten__to__Woongroep_Boschgaard_Den_Bosch__unspecified,ehemaliges Nachbarschaftszentrum De Patio + neue Wohnbauten,Woongroep_Boschgaard_Den_Bosch,unspecified,Fassadenblech; Holz_Tragelement,
Ehemalige_Werkstaetten_Ehemaliger_Gebaeudekomplex_Des_Finanzministeriums__to__Zinneke_Feder_Masui4ever_Brussels__unspeci,ehemalige Werkstätten / ehemaliger Gebäudekomplex des Finanzministeriums,Zinneke_Feder_Masui4ever_Brussels,unspecified,Daemmung; Fensterrahmen; Stahltraeger; TGA_Sonstiges; Treppe,
Einfamilienhaus_Pilotwohnhaus__to__gjG_House_Gentbrugge__Ziegel_Klinker,Einfamilienhaus / Pilotwohnhaus,gjG_House_Gentbrugge,Ziegel_Klinker,,Ziegel_Klinker
