bauteilgruppe_id,bauteilgruppe_name,projekt_id,projekt_name,projekt_staedte,projekt_laender,receiver_staedte,donor_staedte,wiederverwendungsort,reuse_status
bg_holz_mehrere_europa_restored_window_frames,3.750 restaurierte…,p_europa_building_brussels,Europa Building Brussels,Brüssel,Belgien,,,Extern_importiert,reuse
bg_beton_mehrere_lycee_precast_channels,38 Fertigbetonelemente…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_daemmstoff_mehrere_lycee_gypsum_acoustic_panels,419 m² Gips-Akustikpanee…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_stahl_mehrere_lycee_floor_sheet_metal_facade,61 m² Bodenblech als…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,64 reused hollow-core…,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,Helsinki,Finnland,,,Extern_importiert,reuse
bg_stahl_mehrere_boulder_wide_flange_members,89 salvaged wide-flange…,p_boulder_fire_station_3,Boulder FS-3,"Boulder, Colorado",USA,,,Extern_importiert,reuse
bg_ziegel_fassade_biopartner_5_abbruchschutt_gruene,Abbruchschutt,p_biopartner_5_leiden_oegstgeest,BioPartner 5,Leiden;Oegstgeest,Niederlande,,,,reuse
bg_ziegel_wand_recyclinghaus_abbruchziegel_innenwaende,Abbruchziegel in…,p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,,,Extern_importiert,reuse
bg_mehrere_mehrere_moeoeslistrasse_akustikelemente,Akustikelemente,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_keramik_mehrere_kamikatsu_old_tiles,Alte Fliesen als Mosaik-,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,,,Extern_importiert,reuse
bg_mehrere_mehrere_kamikatsu_old_town_hall_wall_parts,Alte Rathauswandteile…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,,,Auf_demselben_Standort_versetzt,reuse
bg_mehrere_mehrere_kamikatsu_shoji_glass_doors,Alte Shoji-Schirme und…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,,,Extern_importiert,reuse
bg_holz_mehrere_elys_frame,Altholz aus Rückbauten,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,,,Extern_importiert,reuse
bg_aluminium_fassade_trae_high_rise_aarhus_fassadenplatten,Aluminium-Fassadenplatten,p_trae_high_rise_aarhus,TRÆ High-Rise,Aarhus,Dänemark,,,,reuse
bg_mehrere_mehrere_boschgaard_alu_fassade,Aluminium-Fassadensystem,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,s-Hertogenbosch,Niederlande,,,Extern_importiert,reuse
bg_aluminium_fassade_elys_trapezoidal_sheet,Aluminium-Trapezblech…,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,,,Extern_importiert,reuse
bg_glas_mehrere_recyclinghaus_aluminiumfenster,Aluminiumfenster mit…,p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,,,Extern_importiert,reuse
bg_mehrere_mehrere_ithaka_kozijnen_fenster,Außenkozijnen,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,,,Extern_importiert,reuse
bg_mehrere_mehrere_grande_halle_external_window_joinery,Außenschreinerei,p_grande_halle_de_colombelles,Grande Halle de Colombel…,Colombelles,Frankreich,,,Extern_importiert,reuse
bg_stahl_treppe_grubenstrasse_outer,Außentreppe (Gruben.),p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Extern_importiert,reuse
bg_stahl_treppe_moeoeslistrasse_aussentreppe,Außentreppe (Möösli.),p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_holz_tuer_chiro_external,Außentüren,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,,,Extern_importiert,reuse
bg_holz_fassade_ithaka_azobe_shingles,Azobé-Hartholz-Shingles…,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,,,Extern_importiert,reuse
bg_holz_mehrere_beware_local_timber,BE-WARE Altholz,,,,,,,,reuse
bg_lehm_mehrere_btc_ziegel_mur_trombe_resilience,BTC-Ziegel Mur Trombe…,p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,,,Extern_importiert,reuse
bg_stahl_gelaender_bluecity_oelplattform,Balustraden,p_bluecity_offices_rotterdam,BlueCity Offices…,Rotterdam,Niederlande,,,,reuse
bg_stahl_technik_villa_welpeloo_enschede_bau_montagelift_als_innenlift,Bau-/Montagelift als…,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,Enschede,Niederlande,,,Im_selben_Gebaeude_versetzt,reuse
bg_mehrere_mehrere_bestandsfundamente_und_erste_geschosse_blackfriars,Bestandsfundamente und…,p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,London,Vereinigtes Königreich,,,In_situ,reuse
bg_mehrere_mehrere_svanen_beton_recycling_zuschlag,Beton als Recycling-Zusc…,p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,,,Auf_demselben_Standort_versetzt,reuse
bg_stahlbeton_mehrere_juch_schellinghalle_pilzstuetzen,Beton-Pilzstützen und…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_beton_mehrere_brighton_betonbloecke,Betonblöcke,p_brighton_waste_house_brighton,Brighton Waste House,Brighton,Vereinigtes Königreich,,,Extern_importiert,reuse
bg_beton_wand_bluecity_betonbloecke_trennwaende,Betonblöcke als Trennwän…,p_bluecity_offices_rotterdam,BlueCity Offices…,Rotterdam,Niederlande,,,,reuse
bg_beton_fassade_ccn_parapets,Betonbruestungen,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Arnhem;Heerde,Niederlande,,,Gelagert_oder_Unbekannt,reuse
bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele,Betonfertigteil-Paneele…,p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,München,Deutschland,,,Extern_importiert,reuse
bg_beton_mehrere_juch_kerenzerberg_betonplatten,Betonplatten aus dem…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_stahl_fassade_grubenstrasse_blue_sheets,Blaue Stahlblechfassade,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Extern_importiert,reuse
bg_naturstein_mehrere_multi_blaustein_facade_slabs,Blaustein-Fassadenblöcke…,p_multi_brussels_reuse_in_multi,Multi Brussels,Brüssel,Belgien,,,,reuse
bg_mehrere_mehrere_maison_des_canaux_floor_wall_finishes,Boden- und Wandbeläge,p_maison_des_canaux_paris,"Maison des Canaux, Paris",Paris,Frankreich,,,,reuse
bg_keramik_boden_chiro_tiles,Bodenfliesen,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,,,Extern_importiert,reuse
bg_stahl_traeger_boulder_hospital_stockpile,Boulder Community…,p_boulder_fire_station_3,Boulder FS-3,"Boulder, Colorado",USA,,,,reuse
bg_mehrere_tuer_moeoeslistrasse_brandschutztueren_lavater,Brandschutztüren aus…,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_holz_mehrere_brettschichtholzbogen_recypark_demets,Brettschichtholzbögen…,p_recypark_demets_anderlecht,Recypark Demets,Brüssel / Anderlecht,Belgien,,,,reuse
bg_mehrere_mehrere_ka13_office_fronts_doors_facade,Bürofronten,p_ka13_kristian_augusts_gate_13_oslo,KA13,Oslo,Norwegen,,,Im_selben_Gebaeude_versetzt,reuse
bg_holz_mehrere_cascadeup_clst_floor_panels,CLST-Bodenpaneele,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,London,Vereinigtes Königreich,,,,reuse
bg_holz_decke_holbein_new_clt_floors,CLT-Decken der Erweiteru…,p_holbein_gardens_london,"Holbein Gardens, London",London,Vereinigtes Königreich,,,,reuse
bg_mehrere_mehrere_kamikatsu_donated_facade_windows,Ca. 700 gespendete…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,,,Extern_importiert,reuse
bg_stahl_mehrere_awm_cable_trays_shelves_lights,Cable trays as shelves…,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Münster,Deutschland,,,Extern_importiert,reuse
bg_mehrere_ausbau_circl_restored_furniture,Circl ABN-Möbel,p_circl_abn_amro,Circl,Amsterdam,Niederlande,,,,reuse
bg_mehrere_fenster_circl_conference_windows,Circl Bürofenster,p_circl_abn_amro,Circl,Amsterdam,Niederlande,,,,reuse
bg_holz_boden_circl_window_frame_floor,Circl Fenster→Boden,p_circl_abn_amro,Circl,Amsterdam,Niederlande,,,,reuse
bg_daemmstoff_daemmung_circl_jeans_insulation,Circl Jeans-Dämmung,p_circl_abn_amro,Circl,Amsterdam,Niederlande,,,,reuse
bg_textil_wand_circl_clothing_felt,Circl Textilfilz-Wand,p_circl_abn_amro,Circl,Amsterdam,Niederlande,,,,reuse
bg_mehrere_dach_grubenstrasse_sheets,Dachbleche,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,,reuse
bg_stahl_mehrere_christ_pavilion_roof_structure,Dachtragwerk Christusraum,p_christ_pavilion_volkenroda,Christus-Pavillon,Volkenroda / Koerner,Deutschland,,,Extern_importiert,reuse
bg_ziegel_dach_chiro_tiles,Dachziegel (Chiro),p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,,,Extern_importiert,reuse
bg_keramik_mehrere_svanen_dachziegel,Dachziegel (Svanen),p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,,,Auf_demselben_Standort_versetzt,reuse
bg_mehrere_decke_plattenvereinigung_deckenelemente,Deckenelemente,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,Berlin,Deutschland,,,Extern_importiert,reuse
bg_stahl_technik_timber_square_demontable_plant,Demontierbare TGA-/Plant…,p_timber_square_london,Timber Square London,London,Vereinigtes Königreich,,,,reuse
bg_textil_daemmung_brighton_denim,Denim jeans als Dämm-/Ho…,p_brighton_waste_house_brighton,Brighton Waste House,Brighton,Vereinigtes Königreich,,,Extern_importiert,reuse
bg_holz_mehrere_upcycle_dinesen_offcuts,Dinesen-Offcuts als…,p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,Kopenhagen,Dänemark,,,,reuse
bg_holz_fenster_doppeltverglaste_holzfenster_resilience,Doppeltverglaste…,p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,,,Extern_importiert,reuse
bg_glas_fenster_upcycle_studios_copenhagen_doppelverglaste,Doppelverglaste Fenster,p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,Kopenhagen,Dänemark,,,,reuse
bg_mehrere_mehrere_superlocal_beton_wohnungsteile,Drei Beton-Wohnungsteile,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,,,Auf_demselben_Standort_versetzt,reuse
bg_stahlbeton_mehrere_groeditz_dresden_type_precast_components,Dresden-type precast…,p_association_house_groeditz,Vereinshaus Gröditz,Gröditz,Deutschland,,,Extern_importiert,reuse
bg_stahl_mehrere_drill_stem_pipe_dachtragwerk_saxum,Drill-Stem-Pipe Dachtrag…,p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,Paso Robles / Templeton Gap,USA,,,Extern_importiert,reuse
bg_stahl_stuetze_drill_stem_pipe_stutzen_saxum,Drill-Stem-Pipe Stützen…,p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,Paso Robles / Templeton Gap,USA,,,Extern_importiert,reuse
bg_daemmstoff_daemmung_grubenstrasse_plates,Dämmplatten,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Im_selben_Gebaeude_versetzt,reuse
bg_mineralisch_stuetze_elementa_baufeld_c,ELEMENTA Baufeld C,p_elementa_walkeweg,ELEMENTA Walkeweg,Basel,Schweiz,,,Extern_importiert,reuse
bg_mineralisch_wand_elementa_baufeld_d,ELEMENTA Baufeld D,p_elementa_walkeweg,ELEMENTA Walkeweg,Basel,Schweiz,,,Extern_importiert,reuse
bg_holz_mehrere_circular_pavilion_exhibition_panels,Ehemalige Ausstellungspa…,p_circular_pavilion_paris,Circular Pavilion Paris,Paris,Frankreich,,,Extern_importiert,reuse
bg_holz_boden_zinneke_feder_eichenparkett_azobe,Eichenparkett und…,p_zinneke_feder_masui4ever_brussels,Zinneke,Brüssel,Belgien,,,Extern_importiert,reuse
bg_holz_mehrere_einfachverglaste_holzfenster_resilience,Einfachverglaste…,p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,,,Extern_importiert,reuse
bg_stahl_mehrere_k118_external_stair,Externe Stahltreppe,p_k118_kopfbau_halle_118_winterthur,K.118 Winterthur,Winterthur,Schweiz,,,,reuse
bg_faserzement_fassade_recyclinghaus_faserzement,Faserzement-/Eternitplat…,p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,,,Extern_importiert,reuse
bg_ziegel_mehrere_thoravej_fassade_zu_boden,Fassaden-/Ziegelüberschu…,p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,Kopenhagen,Dänemark,,,Auf_demselben_Standort_versetzt,reuse
bg_ziegel_mehrere_chiro_facade,Fassadenziegel (Chiro),p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,,,Extern_importiert,reuse
bg_ziegel_mehrere_lo_reninge_facade,Fassadenziegel (Lo-R.),p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall…,Lo-Reninge,Belgien,,,,reuse
bg_ziegel_mehrere_musef_facade,Fassadenziegel aus acht…,p_musee_de_folklore_mouscron,Musée de Folklore Vie…,Mouscron,Belgien,,,Extern_importiert,reuse
bg_stahl_fassade_brent_cross_new_support_members,Façade support members,p_brent_cross_town_primary_substation_london,Brent Cross Town…,London,Vereinigtes Königreich,,,,reuse
bg_mehrere_mehrere_plattenpalast_palast_fenster,Fenster und Rahmen aus…,p_plattenpalast_berlin,Plattenpalast Berlin,Berlin,Deutschland,,,Extern_importiert,reuse
bg_mehrere_mehrere_grubenstrasse_windows_doors,Fenster und Türen,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Extern_importiert,reuse
bg_mehrere_fenster_zinneke_feder_masui4ever_brussels_fensterrahmen,Fensterrahmen (Zinneke),p_zinneke_feder_masui4ever_brussels,Zinneke,Brüssel,Belgien,,,Extern_importiert,reuse
bg_mehrere_mehrere_superlocal_fenster_kozijnen,Fensterrahm… (Superlocal),p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,,,Auf_demselben_Standort_versetzt,reuse
bg_mehrere_mehrere_maison_des_canaux_fixed_builtins,Feste Einbauten,p_maison_des_canaux_paris,"Maison des Canaux, Paris",Paris,Frankreich,,,,reuse
bg_mehrere_mehrere_plp_feste_fitout_komponenten,Feste Fit-out-Komponente…,p_plp_london_hq_circular_studio_fitout,PLP London HQ circular…,London,Vereinigtes Königreich,,,Im_selben_Gebaeude_versetzt,reuse
bg_mehrere_mehrere_superlocal_feste_kueche_installationen,Feste Küche und Installa…,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,,,,reuse
bg_mehrere_mehrere_bedzed_fixed_secondary_components,Fixed secondary componen…,p_bedzed_london_hackbridge,BedZED,London,Vereinigtes Königreich,,,Extern_importiert,reuse
bg_holz_wand_awm_cladding_old_chairs,Fixed wall cladding…,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Münster,Deutschland,,,Extern_importiert,reuse
bg_keramik_boden_verbiest_charleroi,Fliesen aus Charleroi,p_verbiest_karreveld_brussels,Verbiest + Karreveld,Brüssel,Belgien,,,Extern_importiert,reuse
bg_ziegel_mehrere_gjg_curved_shell,Gekrümmte strukturell…,p_gjg_house_gentbrugge,gjG House,Gentbrugge / Ghent,Belgien,,,Extern_importiert,reuse
bg_beton_fundament_peoples_pavilion_elements,Geliehene Betonpfähle,p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,,,,reuse
bg_mehrere_fassade_peoples_pavilion_borrowed_elements,Geliehene Fassadenelemen…,p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,,,,reuse
bg_holz_traeger_peoples_pavilion,Geliehene Holzträger,p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,,,,reuse
bg_glas_dach_peoples_pavilion,Geliehenes Glasdach,p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,,,,reuse
bg_stahl_gelaender_grubenstrasse_railings,Geländer,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Extern_importiert,reuse
bg_stahl_gelaender_verbiest_charleroi,Geländer aus Charleroi,p_verbiest_karreveld_brussels,Verbiest + Karreveld,Brüssel,Belgien,,,Extern_importiert,reuse
bg_mehrere_mehrere_christ_pavilion_complete_ensemble,Gesamtes transloziertes…,p_christ_pavilion_volkenroda,Christus-Pavillon,Volkenroda / Koerner,Deutschland,,,Extern_importiert,reuse
bg_holz_fassade_hastings_outbuilding_cladding,Gespaltene längere…,p_hastings_pier_visitor_centre,Hastings Pier Visitor…,Hastings,Vereinigtes Königreich,,,,reuse
bg_stahl_mehrere_elys_gratings_and_garage_door,Gitterroste,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,,,Extern_importiert,reuse
bg_mehrere_boden_kamikatsu_glass_ceramic_terrazzo,Glas- und Keramikscherbe…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,,,Extern_importiert,reuse
bg_glas_mehrere_awm_partitions_doors,Glass partitions and…,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Münster,Deutschland,,,Extern_importiert,reuse
bg_holz_stuetze_boulder_glulam,Glulam Columns im…,p_boulder_fire_station_3,Boulder FS-3,"Boulder, Colorado",USA,,,,reuse
bg_holz_mehrere_cascadeup_glulamst_frame,GlulamST-Tragwerksrahmen,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,London,Vereinigtes Königreich,,,,reuse
bg_naturstein_boden_multi_granite_natural_tiles,Granit- und Natursteinpl…,p_multi_brussels_reuse_in_multi,Multi Brussels,Brüssel,Belgien,,,,reuse
bg_naturstein_mehrere_ferme_granite_kerbstones_retaining_wall,Granitbordsteine als…,p_ferme_du_rail_paris,Ferme du Rail Paris,Paris,Frankreich,,,,reuse
bg_naturstein_boden_granitpflaster_resilience,Granitpflaster Résilience,p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,,,Extern_importiert,reuse
bg_gusseisen_technik_gussradiatoren_resilience,Gussradiatoren Résilience,p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,,,Extern_importiert,reuse
bg_holz_mehrere_boschgaard_hsb_balken_ausbau,HSB-Holz Balken und…,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,s-Hertogenbosch,Niederlande,,,,reuse
bg_mehrere_technik_superlocal_tga_heizkoerper_aluminiumrohre,Heizkörper und Aluminium…,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,,,,reuse
bg_mehrere_technik_grubenstrasse_radiators_sanitary,Heizkörper und Sanitärap…,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,,,Extern_importiert,reuse
bg_stahlbeton_decke_ccn_hollow_core_slabs,Hohlkoerperdecken,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Arnhem;Heerde,Niederlande,,,Auf_demselben_Standort_versetzt,reuse
bg_stahlbeton_decke_ka13_hollow_core_slabs,Hohlkörperdecken aus…,p_ka13_kristian_augusts_gate_13_oslo,KA13,Oslo,Norwegen,,,Extern_importiert,reuse
bg_stahlbeton_decke_harmalanranta_hollow_core_slabs,Hohlkörp… (Harmalanranta),p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta,Tampere,Finnland,,,Extern_importiert,reuse
bg_holz_mehrere_brighton_sperrholz,Holz und Sperrholz aus…,p_brighton_waste_house_brighton,Brighton Waste House,Brighton,Vereinigtes Königreich,,,Extern_importiert,reuse
bg_mehrere_mehrere_crclr_wood_aluminium_windows,Holz-Alu-Fenster,p_crclr_house_impact_hub_berlin,CRCLR House,Berlin,Deutschland,,,Extern_importiert,reuse
bg_holz_mehrere_svanen_dachbinder,Holz-Dachbinder,p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,,,Auf_demselben_Standort_versetzt,reuse
bg_holz_mehrere_boschgaard_dachspanten,Holz-Dachspanten,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,s-Hertogenbosch,Niederlande,,,Extern_importiert,reuse
bg_holz_boden_trae_aarhus_holzboden_gellerup,Holzböden aus alten…,p_trae_high_rise_aarhus,TRÆ High-Rise,Aarhus,Dänemark,,,,reuse
bg_holz_fassade_villa_welpeloo_enschede_holzfassade_aus_kabeltrommeln,Holzfassade aus Kabeltro…,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,Enschede,Niederlande,,,Extern_importiert,reuse
bg_holz_fenster_chiro,Holzfenster,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,,,Extern_importiert,reuse
bg_mehrere_boden_ithaka_holzfussboeden_klinker,Holzfußböden und…,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,,,Extern_importiert,reuse
bg_holz_mehrere_crclr_recycled_gallery_interior,Holzgalerie (Crclr),p_crclr_house_impact_hub_berlin,CRCLR House,Berlin,Deutschland,,,Extern_importiert,reuse
bg_holz_mehrere_impact_gallery,Holzgalerie (Impact),p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,Berlin,Deutschland,,,Im_selben_Gebaeude_versetzt,reuse
bg_holz_mehrere_impact_offcuts_phone_booths,Holzlatten aus Tischlere…,p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,Berlin,Deutschland,,,Extern_importiert,reuse
bg_holz_mehrere_recyclinghaus_saunabank_holzleisten,Holzleisten aus alten…,p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,,,Extern_importiert,reuse
bg_holz_mehrere_grande_halle_purlins_access_parts,Holzpfetten,p_grande_halle_de_colombelles,Grande Halle de Colombel…,Colombelles,Frankreich,,,Extern_importiert,reuse
bg_holz_mehrere_svanen_sparren,Holzrafters,p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,,,Auf_demselben_Standort_versetzt,reuse
bg_holz_mehrere_circular_pavilion_structure,Holzstruktur aus…,p_circular_pavilion_paris,Circular Pavilion Paris,Paris,Frankreich,,,Extern_importiert,reuse
bg_holz_mehrere_ithaka_holztraeger_balken,Holzträger,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,,,Extern_importiert,reuse
