bauwerk_id,bauwerk_name,address,latitude,longitude,confidence,evidence_status,staedte,laender,linked_bauteilgruppen,linked_projekte,source_url,notes
bw_berlin_marzahn_wbs70_plattenbau,Berliner/Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,Berlin,Deutschland,1,p_berlin_schildow_pilot_house,https://www.kuladig.de/Objektansicht/BKM-31000252,
bw_bibliothek_de_brenthof_sint_michielsgestel,Bibliothek De Brenthof…,"Sint-Michielsgestel, Netherlands",51.6509141,5.3652891,low,municipality_only,,,1,p_woongroep_boschgaard_den_bosch,processed,
bw_biopartner_gorlaeus_hochhaus,Gorlaeus (Biopartner),"De Limes 7, 2342 DH Oegstgeest, Netherlands",52.1710283,4.4502649,high,verified_street,,Niederlande,1,p_biopartner_5_leiden_oegstgeest,https://www.biopartnerleiden.nl/contact_en/,
bw_blackfriars_crown_court_bestand,Blackfriars Crown Court…,"1-15 Pocock Street, London SE1 0BT, UK",51.5024846,-0.0999825,high,verified_street,,,1,p_roots_in_the_sky_blackfriars_crown_court,https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,
bw_bluecity_tropicana_rotterdam,Tropicana Rotterdam,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9196447,4.5007164,high,verified_street,,Niederlande,1,p_bluecity_offices_rotterdam,https://www.bluecity.nl/,
bw_boston_big_dig_i_93_infrastructure,Big Dig (I-93),"I-93 Big Dig corridor, Boston/Cambridge, MA, USA",42.3882451,-71.1191462,low,infrastructure_corridor,Boston,USA,3,p_big_dig_house_lexington_massachusetts,https://www.projectarchitects.com/projects/big-dig-house,
bw_boulder_community_hospital,Boulder Community…,"Boulder, CO, USA (Community Hospital donor context)",40.0149856,-105.270545,low,city_only,"Boulder, Colorado",USA,2,p_boulder_fire_station_3,processed,
bw_brighton_railway_station_donor,Brighton Railway…,"Brighton Railway Station, Queens Road, Brighton BN1 3XP, UK",50.8288719,-0.1411137,medium,verified_station,,,1,p_bedzed_london_hackbridge,https://www.construction21.org/articles/h/the-brighton-waste-house.html,
bw_buerohochhaus_im_zentrum_bruessels_als_lueftungs_donor,Bürohochhaus im Zentrum…,Brussels city centre office tower (HVAC donor),,,low,city_only,,,1,p_zinneke_feder_masui4ever_brussels,processed,
bw_christus_pavillon_expo_hannover,Christus-Pavillon EXPO…,"EXPO 2000 Hannover / Kloster Volkenroda, 99994 Volkenroda, Germany",51.2502813,10.5676346,medium,multi_site,Hannover,Deutschland,6,p_christ_pavilion_volkenroda,archive:Christ_Pavilion_Volkenroda.md,
bw_cleveland_steel_reclaimed_stock,Cleveland Steel reclaimed,"Cleveland Steel stockyard, London, UK",,,low,business_site,London,Vereinigtes Königreich,2,p_holbein_gardens_london;p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,archive:House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md,
bw_colombelles_regional_donor_sources,Regionale Rückbau- und…,"Rue des Ateliers, 14460 Colombelles, France",49.1916221,-0.3061681,medium,regional_hub,Colombelles,Frankreich,7,p_grande_halle_de_colombelles,https://opalis.eu/fr/projets/grande-halle-de-colombelles,
bw_copenhagen_metro_construction_waste_source,Copenhagen Metro…,"Copenhagen Metro construction sites, Denmark",,,low,multi_site_program,,,1,p_upcycle_studios_copenhagen,processed,
bw_crclr_external_reuse_sources,Externe Reuse-Quellen…,"Berlin (external reuse sources, no single site)",52.5173885,13.3951309,low,multi_site_program,Berlin,Deutschland,4,p_crclr_house_impact_hub_berlin,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,
bw_ehemalige_gladsaxe_school,Ehemalige Gladsaxe School,"Tobaksvejen 6, 2860 Søborg, Denmark",55.74061,12.481879,high,verified_street,Gladsaxe,Dänemark,6,p_svanen_kindergarten_gladsaxe,archive:Svanen_Kindergarten_Gladsaxe.md,
bw_ehemalige_reithalle_bei_liege_bierset,Ehemalige Reithalle bei…,"Bierset, Liège, Belgium",50.6547149,5.4512607,low,area_only,,,1,p_recypark_demets_anderlecht,processed,
bw_ehemaliger_sitz_der_flaemischen_regierung_als_treppen_donor,Ehemaliger Sitz der…,"Former Flemish Government seat, Brussels, Belgium",,,low,city_only,,,1,p_zinneke_feder_masui4ever_brussels,processed,
bw_ehemaliges_haus_der_jugend_hannover,ehemaliges Haus der…,"Hannover, Germany (former Haus der Jugend)",52.3744779,9.7385532,low,city_only,Hannover,Deutschland,2,p_recyclinghaus_hannover,archive:Recyclinghaus_Hannover.md,
bw_einkaufswagendepot_zuerich,Ehemaliges Einkaufswagen…,"Zürich, Switzerland (former shopping-cart depot)",47.3744489,8.5410422,low,city_only,Zürich,Schweiz,1,p_kindergarten_moeoeslistrasse_manegg_zuerich,processed,
bw_elys_basel_donor,ELYS-Projekt Basel,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.573746,7.5734396,high,verified_street,Basel,Schweiz,1,p_k118_kopfbau_halle_118_winterthur,processed+ELYS,
bw_elys_former_coop_distribution_center,Ehemaliges Coop-Verteilz…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.573746,7.5734396,high,verified_street,Basel,Schweiz,2,p_elys_kultur_gewerbehaus_basel,processed+ELYS,
bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,Basel region demolition/reuse sources,,,low,regional_pool,Basel,Schweiz,4,p_elys_kultur_gewerbehaus_basel,processed,
bw_engie_baustelle_saint_denis,ENGIE-Baustelle Saint-De…,"Saint-Denis, France (ENGIE construction site)",48.9383732,2.3627508,low,city_only,,,2,p_resilience_la_ferme_des_possibles_stains,processed,
bw_eu_window_donor_sources,EU-weite Renovierungs-…,EU-wide renovation window sources (no single site),,,low,multi_site_program,Brüssel,Belgien,1,p_europa_building_brussels,processed,
bw_gellerupparken_rueckbau_wohnbloecke,Gellerupparken Rückbau-W…,"Gellerupparken, Aarhus, Denmark",56.1582601,10.1332512,low,district_only,,,1,p_trae_high_rise_aarhus,processed,
bw_generale_de_banque_brussels,Gén. de Banque BXL,"Rue Montagne du Parc 3, 1000 Brussels, Belgium",50.8455758,4.3604784,high,verified_street,Brüssel,Belgien,1,p_umar_unit,https://rotordc.com/blog/salvaging-by-rotordc-3/generale-banks-hq-brussels-72,
bw_gorlaeus_hochhaus,Gorlaeus Hochhaus,"Einsteinweg 55, 2333 CC Leiden, Netherlands",52.1677621,4.4609833,high,verified_street,Leiden,Niederlande,2,p_biopartner_5_leiden_oegstgeest,https://www.student.universiteitleiden.nl/en/locations/gorlaeus-building,
bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,Zürich,Schweiz,8,p_grubenstrasse_29_werkhof_29_zuerich,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,
bw_hagenholz_recyclinghalle,Ehemalige Recyclinghalle…,"Hagenholzstrasse area, Zürich, Switzerland",47.415759,8.5636654,low,area_only,Zürich,Schweiz,1,p_juch_areal_recyclingzentrum_zuerich,archive,
bw_hastings_pier_fire_damaged_deck,Brandschaden,"Hastings Pier, Hastings TN34 1JY, UK",50.8521015,0.5725697,medium,verified_structure,Hastings,Vereinigtes Königreich,2,p_hastings_pier_visitor_centre,https://www.drmm.co.uk/project/hastings-pier/,
bw_herlev_dach_industrie_und_farmdaecher_als_aluminium_donor,Herlev Dach,"Herlev, Denmark (industrial/farm roofs)",55.7337528,12.4294486,low,municipality_only,,,1,p_trae_high_rise_aarhus,processed,
bw_hochhausflat_ursulastraat,Hochhausflat Ursulastraat,"Ursulastraat, Bleijerheide, 6464 Kerkrade, Netherlands",50.8530372,6.0666022,medium,street_without_number,Bleijerheide / Kerkrade,Niederlande,4,p_superlocal_expogebouw_bleijerheide,https://www.superlocal.eu/expogebouw,
bw_institut_botanique_ulg,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.5783177,5.5755821,high,verified_street,Liège / Lüttich,Belgien,1,p_institut_de_botanique_ulg_liege,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,
bw_iw73_6_mass_housing_donor,IW73/6 mass-housing…,"Plauen, 08527, Germany",50.4950632,12.1346523,low,city_only,Plauen,,1,p_association_house_plauen,archive:Association_house_Plauen.md,
bw_ka13_existing_building,KA13 Bestandsgebäude…,"Kristian Augusts gate 13, 0164 Oslo, Norway",59.916806,10.737562,high,verified_street,Oslo,Norwegen,1,p_ka13_kristian_augusts_gate_13_oslo,archive:KA13_Kristian_Augusts_gate_13_Oslo.md,
bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,"Kamikatsu, Tokushima Prefecture",Japan,4,p_kamikatsu_zero_waste_center_hotel_why,https://why-kamikatsu.jp/,
bw_kamikatsu_old_town_hall,Altes Rathaus Kamikatsu,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,"Kamikatsu, Tokushima Prefecture",Japan,1,p_kamikatsu_zero_waste_center_hotel_why,https://why-kamikatsu.jp/,
bw_karreveld_buerogebaeude_zu_schule_und_sportzentrum,Karreveld Bürogebäude…,"Karreveld, Sint-Jans-Molenbeek, Brussels, Belgium",50.8614034,4.3155803,low,district_only,Brüssel,,2,p_verbiest_karreveld_brussels,archive:Verbiest_Karreveld_Brussels.md,
bw_kerenzerbergtunnel,Kerenzerbergtunnel,"Kerenzerberg tunnel area, Glarus, Switzerland",,,low,area_only,Zürich,Schweiz,1,p_juch_areal_recyclingzentrum_zuerich,processed,
bw_knoopkazerne_utrecht,Ehemalige Knoopkazerne,"Croeselaan 16, 3521 CA Utrecht, Netherlands",52.0868182,5.1079133,high,verified_street,Utrecht,Niederlande,2,p_the_green_house_utrecht,https://www.thegreenhouserestaurant.nl/,
bw_leinefelde_plattenbau_donor,Rückbaustelle,"Leinefelde, 37339, Germany",51.3878458,10.3212678,low,city_only,Leinefelde,Deutschland,3,p_haus_hos_mehrfamilienhaus_muehlhausen,archive:Haus_HOS_Mehrfamilienhaus_Muehlhausen.md,
bw_local_demolition_sources_bedzed,Local demolition and…,London/Sutton local demolition sources,,,low,regional_pool,,,3,p_bedzed_london_hackbridge,archive:BedZED_London_Hackbridge.md,
bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,Luxembourg-Limpertsberg,Luxemburg,7,p_lycee_michel_lucius_conversion_luxembourg,https://opalis.eu/fr/projets/lycee-michel-lucius,
bw_lysbueechel_garage_basel,Lysbüchel Parkgarage,"Weinlagerstrasse 33, 4056 Basel, Switzerland",47.5726315,7.5738216,high,verified_street,Basel,Schweiz,2,p_elementa_walkeweg,https://www.lagerplatz.ch/kopfbau-halle-118,
bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,Auderghem / Brussels region reuse sources,,,low,regional_pool,Auderghem / Brüssel,Belgien,2,p_maison_vignette_auderghem,archive:Maison_Vignette_Auderghem.md,
bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,Berlin-Marzahn,Deutschland,2,p_mehrow_pilot_house,archive:Berlin_Schildow_Pilot_House.md,
bw_meduni_campus_mariannengasse,MedUni Campus Wien,"Mariannengasse, 1090 Vienna, Austria",48.2163314,16.3460235,medium,street_without_number,Wien,Österreich,4,p_meduni_campus_mariannengasse,PLAN_v2.md,
bw_multi_brouckere_tower,Ehemaliger Philips,"Boulevard Anspach / De Brouckère, 1000 Brussels, Belgium",50.8507197,4.351774,medium,verified_area,Brüssel,Belgien,2,p_multi_brussels_reuse_in_multi,archive:Multi_Brussels_Reuse_in_MULTI.md,
bw_multi_external_urban_mining_sources,Externe Urban-Mining-Que…,Brussels external urban mining sources,,,low,regional_pool,,,1,p_multi_brussels_reuse_in_multi,processed,
bw_musef_eight_demolition_sources,Acht Abbruchquellen in…,"Mouscron region demolition sources, Belgium",,,low,regional_pool,Mouscron,Belgien,1,p_musee_de_folklore_mouscron,archive:Musee_de_Folklore_Mouscron.md,
bw_oeffentliche_wohnbauten_nordjuetland,Öffentliche Wohnbauten…,"North Jutland public housing, Denmark",,,low,regional_pool,,,1,p_upcycle_studios_copenhagen,processed,
bw_olympisches_dorf_bungalows_muenchen,Bungalows des Olympische…,"Connollystraße 3, 80809 München, Germany",48.1803734,11.5477603,high,verified_street,München,Deutschland,1,p_bestandverplanzung_pavilion_muenchen,https://www.plattenvereinigung.de/project/orte/,
bw_olympisches_dorf_muenchen,Olympisches Dorf München,"Connollystraße 3, 80809 München, Germany",48.1803734,11.5477603,high,verified_street,München,Deutschland,4,p_plattenvereinigung_berlin,https://www.plattenvereinigung.de/project/orte/,
bw_orion_zuerich_donor,Orion-Bürogebäude Zürich,"Förrlibuckstrasse 178/180, 8005 Zürich, Switzerland",47.3917725,8.5177021,high,verified_street,Zürich,Schweiz,1,p_k118_kopfbau_halle_118_winterthur,https://www.psp.info/medien/medienmitteilungen/alle-artikel/building-permit-obtained-for-project-orion-in-zurich-west,
bw_palais_des_expositions_charleroi,Palais des Expositions…,"Charleroi, Belgium (Palais des Expositions)",50.4116233,4.444528,low,city_only,,,3,p_verbiest_karreveld_brussels,processed,
bw_palast_der_republik_berlin,Palast der Republik…,"Schloßplatz 1, 10178 Berlin, Germany (former site)",52.5172152,13.4007352,medium,former_site,Berlin,Deutschland,1,p_plattenpalast_berlin,archive,
bw_paternoster_textilindustriemaschine_enschede,Paternoster-,"Enschede, Netherlands",52.2233633,6.8705957,low,city_only,,,1,p_villa_welpeloo_enschede,archive:Villa_Welpeloo_Enschede.md,
bw_peter_behrens_halle_berlin,Peter-Behrens-Halle…,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,high,verified_street,Berlin,Deutschland,1,p_plattenpalast_berlin,https://www.plattenvereinigung.de/project/orte/,
bw_peter_behrens_halle_tu_berlin,Peter-Behrens-Halle TU…,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,high,verified_street,Berlin,Deutschland,3,p_plattenvereinigung_berlin,https://www.tu.berlin/bau/forschung/infrastruktur,
bw_ph12_punkthochhaus_frankfurt_oder,PH12-Punkthochhaus…,"Robert-Havemann-Straße 12-13, 15230 Frankfurt (Oder), Germany",52.3294882,14.534605,high,verified_street,Frankfurt (Oder),Deutschland,4,p_plattenvereinigung_berlin,https://www.plattenvereinigung.de/project/orte/,
bw_plp_previous_studio_london,vorheriges PLP Studio,"10 Whitechapel High Street, London E1 8QS, UK",51.5145623,-0.0729474,high,verified_street,London,Vereinigtes Königreich,3,p_plp_london_hq_circular_studio_fitout,archive:PLP_London_HQ_Circular_Studio_Fitout.md,
bw_prinsenhof_a_arnhem_donor,"Prinsenhof A, Arnhem","Prinsenhof 1, 6811 Arnhem, Netherlands",51.9773561,5.9114676,high,verified_street,Arnhem,Niederlande,3,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,https://www.gelderland.nl/themas/duurzaamheid/circulaire-economie/prinsenhof,
bw_public_building_material_sources_awm,Public building and…,Münster region public building demolition sources,,,low,regional_pool,,,3,p_awm_muenster_circular_office,archive:AWM_Muenster_Circular_Office.md,
bw_regionale_olindustrie_drill_stem_pipe_quelle,Regionale Ölindustrie,Regional oil industry drill stem pipe sources,,,low,regional_pool,,,2,p_saxum_vineyard_equipment_barn_paso_robles,processed,
bw_regjeringsbygg_r4,Regjeringsbygg R4,"Oslo, Norway (Regjeringsbygg R4)",59.9133301,10.7389701,low,city_only,Oslo,Norwegen,1,p_ka13_kristian_augusts_gate_13_oslo,processed,
bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",51.298843,3.8422044,low,city_only,Terneuzen,Niederlande,6,p_jeugdkliniek_ithaka_emergis_kloetinge,processed,
bw_schellinghalle_ruemlang,Schellinghalle Rümlang,"Rümlang, Switzerland (Schellinghalle)",47.4507163,8.5299122,low,city_only,Rümlang,Schweiz,1,p_juch_areal_recyclingzentrum_zuerich,processed,
bw_school_type_dresden_donor,School type Dresden…,"Gröditz area, 01609, Germany",51.4232124,13.3822343,low,city_only,Gröditz,,1,p_association_house_groeditz,archive:Association_house_Groeditz.md,
bw_schulhaus_lavater,Schulhaus Lavater,"Lavaterstrasse area, Zürich, Switzerland",47.3610404,8.5329258,low,area_only,Zürich,Schweiz,1,p_kindergarten_moeoeslistrasse_manegg_zuerich,processed,
bw_sportzentrum_sauna_hannover,Sportzentrum,"Hannover, Germany (sport centre sauna donor)",52.3744779,9.7385532,low,city_only,Hannover,Deutschland,1,p_recyclinghaus_hannover,archive:Recyclinghaus_Hannover.md,
bw_stadskantoor_roosendaal,Stadskantoor Roosendaal,"Roosendaal, Netherlands",51.5331484,4.4561276,low,city_only,,,1,p_woongroep_boschgaard_den_bosch,processed,
bw_stadt_paris_pflasterbestand,Stadt Paris Pflasterbest…,"Paris, France (municipal paving stock)",48.8588897,2.320041,low,city_only,,,1,p_resilience_la_ferme_des_possibles_stains,processed,
bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,Zürich municipal reuse depot (Occasionslager),,,low,city_only,Zürich,Schweiz,3,p_kindergarten_moeoeslistrasse_manegg_zuerich,processed,
bw_stuttgart21_hauptbahnhof,Stuttgart 21 Bhf,"Stuttgart Hauptbahnhof, 70173 Stuttgart, Germany",48.7856099,9.1833959,medium,verified_station,Stuttgart,Deutschland,2,p_jugendtreff_ingersheim,PLAN_v2.md,
bw_suutarila_community_centre_donor,Suutarila community…,"Suutarila, 00740 Helsinki, Finland",60.283019,25.0064817,low,district_only,Helsinki,Finnland,1,p_melkinlaituri_primary_school_daycare_centre_helsinki,archive:Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md,
bw_tampere_1980s_office_donor,1980er Bürogebäude im…,"Tampere city centre office building (1980s), Finland",61.4977929,23.7616372,low,city_only,Tampere,Finnland,2,p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere;p_lokomotion_technology_centre_mini_pilot_tampere,archive:Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md,
bw_thoravej_29,Thoravej 29 Bestandsgebä…,"Thoravej 29, 2400 København NV, Denmark",55.706084,12.526846,high,verified_street,Kopenhagen,Dänemark,4,p_thoravej_29_copenhagen,archive:Thoravej_29_Copenhagen.md,
bw_timber_square_print_building,Timber Square Print…,"25 Lavington Street, London SE1 0NZ, UK",51.5050972,-0.1000695,high,verified_street,London,Vereinigtes Königreich,1,p_timber_square_london,archive:Timber_Square_London.md,
bw_twente_tkf_kabelfabrik_materialquelle,Twente,"Twente region, Netherlands",52.3253541,6.7933211,low,regional_pool,,,1,p_villa_welpeloo_enschede,processed,
bw_unbekannte_wbs70_plattenbauten,rückgebaute WBS70-Platte…,"Berlin (demolished WBS70 slabs, site unknown)",52.5173885,13.3951309,low,city_only,Berlin,Deutschland,1,p_plattenpalast_berlin,archive:Mehrow_Pilot_House.md,
bw_weitere_regionale_rueckbauquellen_boschgaard,Weitere regionale…,'s-Hertogenbosch region demolition sources,,,low,regional_pool,,,2,p_woongroep_boschgaard_den_bosch,archive:Woongroep_Boschgaard_Den_Bosch.md,
bw_werkhof_moeoeslistrasse,Werkhof Mööslistrasse,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3457808,8.5284529,high,verified_street,Zürich,Schweiz,2,p_kindergarten_moeoeslistrasse_manegg_zuerich,archive:Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md,
bw_white_chapel_building_london,The White Chapel Building,"10 Whitechapel High Street, London E1 8QS, UK",51.5145623,-0.0729474,high,verified_street,London,Vereinigtes Königreich,1,p_plp_london_hq_circular_studio_fitout,archive:PLP_London_HQ_Circular_Studio_Fitout.md,
bw_wohngebaude_sanierung_epinay_sur_seine,Wohngebäude-Sanierung…,"Épinay-sur-Seine, France",48.9525181,2.3145039,low,city_only,,,1,p_resilience_la_ferme_des_possibles_stains,processed,
