bauteilgruppe_id,bauteilgruppe_name,donor_bauwerk_id,donor_bauwerk_name,donor_address,donor_latitude,donor_longitude,donor_confidence,donor_evidence_status,donor_source_url,receiver_projekt_id,receiver_projekt_name,receiver_address,receiver_latitude,receiver_longitude,receiver_confidence
bg_glas_mehrere_elys_restposten_windows,200 Fenster aus Lagerres…,bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,Basel region demolition/reuse sources,,,low,regional_pool,processed,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high
bg_stahlbeton_wand_mehrow_wbs70_slabs,22 wiederverwendete…,bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,archive:Berlin_Schildow_Pilot_House.md,p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, 16356, Germany",52.5724,13.6177,low
bg_beton_mehrere_recrete_betonbloecke_bogensegmente,25 Betonblöcke,,,,,,,no_donor_link,,p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,"Route Cantonale / Route de la Morge, 1964 Conthey, Switzerland",46.2264,7.3074,medium
bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,27 wiederverwen… (Mehrow),bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,archive:Berlin_Schildow_Pilot_House.md,p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, 16356, Germany",52.5724,13.6177,low
bg_stahlbeton_mehrere_lokomotion_hollow_core_slabs,27 wiederve… (Lokomotion),bw_tampere_1980s_office_donor,1980er Bürogebäude im…,"Tampere city centre office building (1980s), Finland",61.4977929,23.7616372,low,city_only,archive:Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md,p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,"Leppästensuonkatu 13, 33840 Tampere, Finland",61.4588,23.6324,high
bg_ziegel_mehrere_maison_vignette_facade_claustra,3.000 wiederverwendete…,bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,Auderghem / Brussels region reuse sources,,,low,regional_pool,archive:Maison_Vignette_Auderghem.md,p_maison_vignette_auderghem,Maison Vignette,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high
bg_holz_mehrere_europa_restored_window_frames,3.750 restaurierte…,bw_eu_window_donor_sources,EU-weite Renovierungs-…,EU-wide renovation window sources (no single site),,,low,multi_site_program,processed,p_europa_building_brussels,Europa Building Brussels,"Rue de la Loi 175, 1048 Brussels, Belgium",50.8436,4.3819,high
bg_beton_mehrere_lycee_precast_channels,38 Fertigbetonelemente…,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_daemmstoff_mehrere_lycee_gypsum_acoustic_panels,419 m² Gips-Akustikpanee…,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_stahl_mehrere_lycee_floor_sheet_metal_facade,61 m² Bodenblech als…,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,64 reused hollow-core…,bw_suutarila_community_centre_donor,Suutarila community…,"Suutarila, 00740 Helsinki, Finland",60.283019,25.0064817,low,district_only,archive:Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,"Tulimaankatu / Samoankuja, Jätkäsaari, 00220 Helsinki, Finland",60.1559,24.9195,medium
bg_stahl_mehrere_boulder_wide_flange_members,89 salvaged wide-flange…,bw_boulder_community_hospital,Boulder Community…,"Boulder, CO, USA (Community Hospital donor context)",40.0149856,-105.270545,low,city_only,processed,p_boulder_fire_station_3,Boulder FS-3,"2967 Bluff Street, Boulder, CO 80301, USA",40.0149856,-105.270545,high
bg_ziegel_fassade_biopartner_5_abbruchschutt_gruene,Abbruchschutt,bw_gorlaeus_hochhaus,Gorlaeus Hochhaus,"Einsteinweg 55, 2333 CC Leiden, Netherlands",52.1677621,4.4609833,high,verified_street,https://www.student.universiteitleiden.nl/en/locations/gorlaeus-building,p_biopartner_5_leiden_oegstgeest,BioPartner 5,"Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden",52.1710283,4.4502649,high
bg_ziegel_wand_recyclinghaus_abbruchziegel_innenwaende,Abbruchziegel in…,,,,,,,no_donor_link,,p_recyclinghaus_hannover,Recyclinghaus Hannover,"Treppenkamp 1, 30539 Hannover, Germany",52.3589,9.8342,high
bg_mehrere_mehrere_moeoeslistrasse_akustikelemente,Akustikelemente,bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,Zürich municipal reuse depot (Occasionslager),,,low,city_only,processed,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high
bg_keramik_mehrere_kamikatsu_old_tiles,Alte Fliesen als Mosaik-,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high
bg_mehrere_mehrere_kamikatsu_old_town_hall_wall_parts,Alte Rathauswandteile…,bw_kamikatsu_old_town_hall,Altes Rathaus Kamikatsu,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high
bg_mehrere_mehrere_kamikatsu_shoji_glass_doors,Alte Shoji-Schirme und…,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high
bg_holz_mehrere_elys_frame,Altholz aus Rückbauten,bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,Basel region demolition/reuse sources,,,low,regional_pool,processed,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high
bg_aluminium_fassade_trae_high_rise_aarhus_fassadenplatten,Aluminium-Fassadenplatten,bw_herlev_dach_industrie_und_farmdaecher_als_aluminium_donor,Herlev Dach,"Herlev, Denmark (industrial/farm roofs)",55.7337528,12.4294486,low,municipality_only,processed,p_trae_high_rise_aarhus,TRÆ High-Rise,"Kalkværksvej 1-5, 8000 Aarhus C, Denmark",56.1539,10.2048,high
bg_mehrere_mehrere_boschgaard_alu_fassade,Aluminium-Fassadensystem,bw_stadskantoor_roosendaal,Stadskantoor Roosendaal,"Roosendaal, Netherlands",51.5331484,4.4561276,low,city_only,processed,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,"Mgr. van Roosmalenplein 19C, 5213 GC Den Bosch, Netherlands",51.6947,5.3082,high
bg_aluminium_fassade_elys_trapezoidal_sheet,Aluminium-Trapezblech…,bw_elys_former_coop_distribution_center,Ehemaliges Coop-Verteilz…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.573746,7.5734396,high,verified_street,processed+ELYS,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high
bg_glas_mehrere_recyclinghaus_aluminiumfenster,Aluminiumfenster mit…,bw_ehemaliges_haus_der_jugend_hannover,ehemaliges Haus der…,"Hannover, Germany (former Haus der Jugend)",52.3744779,9.7385532,low,city_only,archive:Recyclinghaus_Hannover.md,p_recyclinghaus_hannover,Recyclinghaus Hannover,"Treppenkamp 1, 30539 Hannover, Germany",52.3589,9.8342,high
bg_mehrere_mehrere_ithaka_kozijnen_fenster,Außenkozijnen,bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",51.298843,3.8422044,low,city_only,processed,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high
bg_mehrere_mehrere_grande_halle_external_window_joinery,Außenschreinerei,bw_colombelles_regional_donor_sources,Regionale Rückbau- und…,"Rue des Ateliers, 14460 Colombelles, France",49.1916221,-0.3061681,medium,regional_hub,https://opalis.eu/fr/projets/grande-halle-de-colombelles,p_grande_halle_de_colombelles,Grande Halle de Colombel…,"Rue des Ateliers, 14460 Colombelles",49.1916221,-0.3061681,high
bg_stahl_treppe_grubenstrasse_outer,Außentreppe (Gruben.),bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high
bg_stahl_treppe_moeoeslistrasse_aussentreppe,Außentreppe (Möösli.),bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,Zürich municipal reuse depot (Occasionslager),,,low,city_only,processed,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high
bg_holz_tuer_chiro_external,Außentüren,,,,,,,no_donor_link,,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high
bg_holz_fassade_ithaka_azobe_shingles,Azobé-Hartholz-Shingles…,bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",51.298843,3.8422044,low,city_only,processed,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high
bg_holz_mehrere_beware_local_timber,BE-WARE Altholz,,,,,,,no_donor_link,,,,,,,
bg_lehm_mehrere_btc_ziegel_mur_trombe_resilience,BTC-Ziegel Mur Trombe…,,,,,,,no_donor_link,,p_resilience_la_ferme_des_possibles_stains,Résilience,"29 Rue d’Amiens, 93240 Stains",48.9500637,2.3701218,high
bg_stahl_gelaender_bluecity_oelplattform,Balustraden,,,,,,,no_donor_link,,p_bluecity_offices_rotterdam,BlueCity Offices…,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9436,4.5112,high
bg_stahl_technik_villa_welpeloo_enschede_bau_montagelift_als_innenlift,Bau-/Montagelift als…,,,,,,,no_donor_link,,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,"Bamshoevelaan 49, 7523 JJ Enschede, Netherlands",52.2283,6.8814,high
bg_mehrere_mehrere_bestandsfundamente_und_erste_geschosse_blackfriars,Bestandsfundamente und…,bw_blackfriars_crown_court_bestand,Blackfriars Crown Court…,"1-15 Pocock Street, London SE1 0BT, UK",51.5024846,-0.0999825,high,verified_street,https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,"1-15 Pocock Street, London SE1 0BT, UK",51.5025,-0.0999,high
bg_mehrere_mehrere_svanen_beton_recycling_zuschlag,Beton als Recycling-Zusc…,bw_ehemalige_gladsaxe_school,Ehemalige Gladsaxe School,"Tobaksvejen 6, 2860 Søborg, Denmark",55.74061,12.481879,high,verified_street,archive:Svanen_Kindergarten_Gladsaxe.md,p_svanen_kindergarten_gladsaxe,Svanen,"Tobaksvejen 6, 2860 Søborg, Denmark",55.7346,12.4033,high
bg_stahlbeton_mehrere_juch_schellinghalle_pilzstuetzen,Beton-Pilzstützen und…,bw_schellinghalle_ruemlang,Schellinghalle Rümlang,"Rümlang, Switzerland (Schellinghalle)",47.4507163,8.5299122,low,city_only,processed,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low
bg_beton_mehrere_brighton_betonbloecke,Betonblöcke,,,,,,,no_donor_link,,p_brighton_waste_house_brighton,Brighton Waste House,"58-67 Grand Parade, Brighton BN2 0JY, UK",50.8247,-0.1366,high
bg_beton_wand_bluecity_betonbloecke_trennwaende,Betonblöcke als Trennwän…,bw_bluecity_tropicana_rotterdam,Tropicana Rotterdam,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9196447,4.5007164,high,verified_street,https://www.bluecity.nl/,p_bluecity_offices_rotterdam,BlueCity Offices…,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9436,4.5112,high
bg_beton_fassade_ccn_parapets,Betonbruestungen,bw_prinsenhof_a_arnhem_donor,"Prinsenhof A, Arnhem","Prinsenhof 1, 6811 Arnhem, Netherlands",51.9773561,5.9114676,high,verified_street,https://www.gelderland.nl/themas/duurzaamheid/circulaire-economie/prinsenhof,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,"Zwarteweg 1, 8181 PD Heerde, Netherlands",52.3917,6.0286,high
bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele,Betonfertigteil-Paneele…,bw_olympisches_dorf_bungalows_muenchen,Bungalows des Olympische…,"Connollystraße 3, 80809 München, Germany",48.1803734,11.5477603,high,verified_street,https://www.plattenvereinigung.de/project/orte/,p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,"Connollystraße 3, 80809 München, Germany",48.1734,11.5532,medium
bg_beton_mehrere_juch_kerenzerberg_betonplatten,Betonplatten aus dem…,bw_kerenzerbergtunnel,Kerenzerbergtunnel,"Kerenzerberg tunnel area, Glarus, Switzerland",,,low,area_only,processed,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low
bg_stahl_fassade_grubenstrasse_blue_sheets,Blaue Stahlblechfassade,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high
bg_naturstein_mehrere_multi_blaustein_facade_slabs,Blaustein-Fassadenblöcke…,bw_multi_brouckere_tower,Ehemaliger Philips,"Boulevard Anspach / De Brouckère, 1000 Brussels, Belgium",50.8507197,4.351774,medium,verified_area,archive:Multi_Brussels_Reuse_in_MULTI.md,p_multi_brussels_reuse_in_multi,Multi Brussels,"Boulevard Anspach 1, 1000 Brussels, Belgium",50.8476,4.3487,high
bg_mehrere_mehrere_maison_des_canaux_floor_wall_finishes,Boden- und Wandbeläge,,,,,,,no_donor_link,,p_maison_des_canaux_paris,"Maison des Canaux, Paris","6 Quai de la Seine, 75019 Paris, France",48.8906,2.3742,high
bg_keramik_boden_chiro_tiles,Bodenfliesen,,,,,,,no_donor_link,,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high
bg_stahl_traeger_boulder_hospital_stockpile,Boulder Community…,bw_boulder_community_hospital,Boulder Community…,"Boulder, CO, USA (Community Hospital donor context)",40.0149856,-105.270545,low,city_only,processed,p_boulder_fire_station_3,Boulder FS-3,"2967 Bluff Street, Boulder, CO 80301, USA",40.0149856,-105.270545,high
bg_mehrere_tuer_moeoeslistrasse_brandschutztueren_lavater,Brandschutztüren aus…,bw_schulhaus_lavater,Schulhaus Lavater,"Lavaterstrasse area, Zürich, Switzerland",47.3610404,8.5329258,low,area_only,processed,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high
bg_holz_mehrere_brettschichtholzbogen_recypark_demets,Brettschichtholzbögen…,bw_ehemalige_reithalle_bei_liege_bierset,Ehemalige Reithalle bei…,"Bierset, Liège, Belgium",50.6547149,5.4512607,low,area_only,processed,p_recypark_demets_anderlecht,Recypark Demets,"Quai Fernand Demets 22, 1070 Anderlecht, Brüssel",50.8415883,4.3206717,high
bg_mehrere_mehrere_ka13_office_fronts_doors_facade,Bürofronten,,,,,,,no_donor_link,,p_ka13_kristian_augusts_gate_13_oslo,KA13,"Kristian Augusts gate 13, Oslo, Norwegen",59.916806,10.737562,high
bg_holz_mehrere_cascadeup_clst_floor_panels,CLST-Bodenpaneele,,,,,,,no_donor_link,,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,"London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025",51.5074456,-0.1277653,high
bg_holz_decke_holbein_new_clt_floors,CLT-Decken der Erweiteru…,,,,,,,no_donor_link,,p_holbein_gardens_london,"Holbein Gardens, London","7 Holbein Place, London SW1W 8NR, UK",51.4947,-0.1489,high
bg_mehrere_mehrere_kamikatsu_donated_facade_windows,Ca. 700 gespendete…,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high
bg_stahl_mehrere_awm_cable_trays_shelves_lights,Cable trays as shelves…,bw_public_building_material_sources_awm,Public building and…,Münster region public building demolition sources,,,low,regional_pool,archive:AWM_Muenster_Circular_Office.md,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,"Rösnerstraße 10, 48155 Münster, Germany",51.9359,7.6356,high
bg_mehrere_ausbau_circl_restored_furniture,Circl ABN-Möbel,,,,,,,no_donor_link,,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high
bg_mehrere_fenster_circl_conference_windows,Circl Bürofenster,,,,,,,no_donor_link,,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high
bg_holz_boden_circl_window_frame_floor,Circl Fenster→Boden,,,,,,,no_donor_link,,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high
bg_daemmstoff_daemmung_circl_jeans_insulation,Circl Jeans-Dämmung,,,,,,,no_donor_link,,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high
bg_textil_wand_circl_clothing_felt,Circl Textilfilz-Wand,,,,,,,no_donor_link,,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high
bg_mehrere_dach_grubenstrasse_sheets,Dachbleche,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high
bg_stahl_mehrere_christ_pavilion_roof_structure,Dachtragwerk Christusraum,bw_christus_pavillon_expo_hannover,Christus-Pavillon EXPO…,"EXPO 2000 Hannover / Kloster Volkenroda, 99994 Volkenroda, Germany",51.2502813,10.5676346,medium,multi_site,archive:Christ_Pavilion_Volkenroda.md,p_christ_pavilion_volkenroda,Christus-Pavillon,"Kloster Volkenroda, 99994 Volkenroda, Germany",51.2067,10.4567,medium
bg_ziegel_dach_chiro_tiles,Dachziegel (Chiro),,,,,,,no_donor_link,,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high
bg_keramik_mehrere_svanen_dachziegel,Dachziegel (Svanen),bw_ehemalige_gladsaxe_school,Ehemalige Gladsaxe School,"Tobaksvejen 6, 2860 Søborg, Denmark",55.74061,12.481879,high,verified_street,archive:Svanen_Kindergarten_Gladsaxe.md,p_svanen_kindergarten_gladsaxe,Svanen,"Tobaksvejen 6, 2860 Søborg, Denmark",55.7346,12.4033,high
bg_mehrere_decke_plattenvereinigung_deckenelemente,Deckenelemente,bw_olympisches_dorf_muenchen,Olympisches Dorf München,"Connollystraße 3, 80809 München, Germany",48.1803734,11.5477603,high,verified_street,https://www.plattenvereinigung.de/project/orte/,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,"Gustav-Meyer-Allee 25, 13355 Berlin (Peter-Behrens-Halle, Jan 2010–May 2011); Tempelhofer Feld, southern entrance Oderstraße, 12051 Berlin (May 2011–Oct 2011+)",52.5408,13.3892,medium
bg_mehrere_decke_plattenvereinigung_deckenelemente,Deckenelemente,bw_peter_behrens_halle_tu_berlin,Peter-Behrens-Halle TU…,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,high,verified_street,https://www.tu.berlin/bau/forschung/infrastruktur,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,"Gustav-Meyer-Allee 25, 13355 Berlin (Peter-Behrens-Halle, Jan 2010–May 2011); Tempelhofer Feld, southern entrance Oderstraße, 12051 Berlin (May 2011–Oct 2011+)",52.5408,13.3892,medium
bg_mehrere_decke_plattenvereinigung_deckenelemente,Deckenelemente,bw_ph12_punkthochhaus_frankfurt_oder,PH12-Punkthochhaus…,"Robert-Havemann-Straße 12-13, 15230 Frankfurt (Oder), Germany",52.3294882,14.534605,high,verified_street,https://www.plattenvereinigung.de/project/orte/,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,"Gustav-Meyer-Allee 25, 13355 Berlin (Peter-Behrens-Halle, Jan 2010–May 2011); Tempelhofer Feld, southern entrance Oderstraße, 12051 Berlin (May 2011–Oct 2011+)",52.5408,13.3892,medium
bg_stahl_technik_timber_square_demontable_plant,Demontierbare TGA-/Plant…,,,,,,,no_donor_link,,p_timber_square_london,Timber Square London,"25 Lavington Street / Bankside, Southwark, London SE1",51.5050972,-0.1000695,high
