bauteilgruppe_id,bauteilgruppe_name,projekt_id,projekt_name,address,latitude,longitude,confidence,evidence_status,linked_program,donor_staedte,receiver_staedte,source_url,donor_bauwerk_id,donor_bauwerk_name,donor_address,donor_latitude,donor_longitude,donor_confidence,donor_evidence_status,donor_source_url,donor_notes
bg_mehrere_mehrere_kamikatsu_shoji_glass_doors,Alte Shoji-Schirme und…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high,,,,,https://why-kamikatsu.jp/,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,
bg_holz_mehrere_elys_frame,Altholz aus Rückbauten,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high,,,,,processed+ELYS,bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,Basel region demolition/reuse sources,,,low,regional_pool,processed,
bg_aluminium_fassade_trae_high_rise_aarhus_fassadenplatten,Aluminium-Fassadenplatten,p_trae_high_rise_aarhus,TRÆ High-Rise,"Kalkværksvej 1-5, 8000 Aarhus C, Denmark",56.1539,10.2048,high,,,,,https://www.lendager.com/projects/trae,bw_herlev_dach_industrie_und_farmdaecher_als_aluminium_donor,Herlev Dach,"Herlev, Denmark (industrial/farm roofs)",55.7337528,12.4294486,low,municipality_only,processed,
bg_mehrere_mehrere_boschgaard_alu_fassade,Aluminium-Fassadensystem,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,"Mgr. van Roosmalenplein 19C, 5213 GC Den Bosch, Netherlands",51.6947,5.3082,high,,,,,https://www.boschgaard.nl/,bw_stadskantoor_roosendaal,Stadskantoor Roosendaal,"Roosendaal, Netherlands",51.5331484,4.4561276,low,city_only,processed,
bg_aluminium_fassade_elys_trapezoidal_sheet,Aluminium-Trapezblech…,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high,,,,,processed+ELYS,bw_elys_former_coop_distribution_center,Ehemaliges Coop-Verteilz…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.573746,7.5734396,high,verified_street,processed+ELYS,
bg_glas_mehrere_recyclinghaus_aluminiumfenster,Aluminiumfenster mit…,p_recyclinghaus_hannover,Recyclinghaus Hannover,"Treppenkamp 1, 30539 Hannover, Germany",52.3589,9.8342,high,,,,,https://www.gundlach-bau.de/projekte/recyclinghaus-hannover,bw_ehemaliges_haus_der_jugend_hannover,ehemaliges Haus der…,"Hannover, Germany (former Haus der Jugend)",52.3744779,9.7385532,low,city_only,archive:Recyclinghaus_Hannover.md,
bg_mehrere_mehrere_ithaka_kozijnen_fenster,Außenkozijnen,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high,,,,,https://www.emergis.nl/,bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",51.298843,3.8422044,low,city_only,processed,
bg_mehrere_mehrere_grande_halle_external_window_joinery,Außenschreinerei,p_grande_halle_de_colombelles,Grande Halle de Colombel…,"Rue des Ateliers, 14460 Colombelles",49.1916221,-0.3061681,high,,,,,,bw_colombelles_regional_donor_sources,Regionale Rückbau- und…,"Rue des Ateliers, 14460 Colombelles, France",49.1916221,-0.3061681,medium,regional_hub,https://opalis.eu/fr/projets/grande-halle-de-colombelles,
bg_stahl_treppe_grubenstrasse_outer,Außentreppe (Gruben.),p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high,,,,,,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,
bg_stahl_treppe_moeoeslistrasse_aussentreppe,Außentreppe (Möösli.),p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high,,,,,https://www.stadt-zuerich.ch/,bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,Zürich municipal reuse depot (Occasionslager),,,low,city_only,processed,
bg_holz_tuer_chiro_external,Außentüren,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high,,,,,,,,,,,,,,
bg_holz_fassade_ithaka_azobe_shingles,Azobé-Hartholz-Shingles…,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high,,,,,https://www.emergis.nl/,bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",51.298843,3.8422044,low,city_only,processed,
bg_holz_mehrere_beware_local_timber,BE-WARE Altholz,,,"Central warehouse Spandau (street not published); sites: TU Campus Charlottenburg-Wilmersdorf, Friedrichshagen Treptow-Köpenick, Lichtenberg Jugendbauhütte",,,low,multi_site_program,Reallabor B(e) Ware,,,https://www.zrs.berlin/en/project/reallabor-be-ware-building-structures-made-from-secondary-materials-made-in-berlin/,,,,,,,,,
bg_lehm_mehrere_btc_ziegel_mur_trombe_resilience,BTC-Ziegel Mur Trombe…,p_resilience_la_ferme_des_possibles_stains,Résilience,"29 Rue d’Amiens, 93240 Stains",48.9500637,2.3701218,high,,,,,,,,,,,,,,
bg_stahl_gelaender_bluecity_oelplattform,Balustraden,p_bluecity_offices_rotterdam,BlueCity Offices…,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9436,4.5112,high,,,,,https://www.bluecity.nl/,,,,,,,,,
bg_stahl_technik_villa_welpeloo_enschede_bau_montagelift_als_innenlift,Bau-/Montagelift als…,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,"Bamshoevelaan 49, 7523 JJ Enschede, Netherlands",52.2283,6.8814,high,,,,,https://www.superuse-studios.com/,,,,,,,,,
bg_mehrere_mehrere_bestandsfundamente_und_erste_geschosse_blackfriars,Bestandsfundamente und…,p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,"1-15 Pocock Street, London SE1 0BT, UK",51.5025,-0.0999,high,,,,,https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,bw_blackfriars_crown_court_bestand,Blackfriars Crown Court…,"1-15 Pocock Street, London SE1 0BT, UK",51.5024846,-0.0999825,high,verified_street,https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,
bg_mehrere_mehrere_svanen_beton_recycling_zuschlag,Beton als Recycling-Zusc…,p_svanen_kindergarten_gladsaxe,Svanen,"Tobaksvejen 6, 2860 Søborg, Denmark",55.7346,12.4033,high,,,,,https://www.gladsaxe.dk/,bw_ehemalige_gladsaxe_school,Ehemalige Gladsaxe School,"Tobaksvejen 6, 2860 Søborg, Denmark",55.74061,12.481879,high,verified_street,archive:Svanen_Kindergarten_Gladsaxe.md,
bg_stahlbeton_mehrere_juch_schellinghalle_pilzstuetzen,Beton-Pilzstützen und…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low,parcel_only,,,,https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html,bw_schellinghalle_ruemlang,Schellinghalle Rümlang,"Rümlang, Switzerland (Schellinghalle)",47.4507163,8.5299122,low,city_only,processed,
bg_beton_mehrere_brighton_betonbloecke,Betonblöcke,p_brighton_waste_house_brighton,Brighton Waste House,"58-67 Grand Parade, Brighton BN2 0JY, UK",50.8247,-0.1366,high,,,,,https://www.construction21.org/articles/h/the-brighton-waste-house.html,,,,,,,,,
bg_beton_wand_bluecity_betonbloecke_trennwaende,Betonblöcke als Trennwän…,p_bluecity_offices_rotterdam,BlueCity Offices…,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9436,4.5112,high,,,,,https://www.bluecity.nl/,bw_bluecity_tropicana_rotterdam,Tropicana Rotterdam,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",51.9196447,4.5007164,high,verified_street,https://www.bluecity.nl/,
bg_beton_fassade_ccn_parapets,Betonbruestungen,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,"Zwarteweg 1, 8181 PD Heerde, Netherlands",52.3917,6.0286,high,,,,,https://recreate-project.eu/,bw_prinsenhof_a_arnhem_donor,"Prinsenhof A, Arnhem","Prinsenhof 1, 6811 Arnhem, Netherlands",51.9773561,5.9114676,high,verified_street,https://www.gelderland.nl/themas/duurzaamheid/circulaire-economie/prinsenhof,
bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele,Betonfertigteil-Paneele…,p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,"Connollystraße 3, 80809 München, Germany",48.1734,11.5532,medium,,,,,https://www.studentenwerk.mhn.de/en/accommodation/halls-of-residence/munich/central-munich/student-district-olympisches-dorf/,bw_olympisches_dorf_bungalows_muenchen,Bungalows des Olympische…,"Connollystraße 3, 80809 München, Germany",48.1803734,11.5477603,high,verified_street,https://www.plattenvereinigung.de/project/orte/,
bg_beton_mehrere_juch_kerenzerberg_betonplatten,Betonplatten aus dem…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low,parcel_only,,,,https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html,bw_kerenzerbergtunnel,Kerenzerbergtunnel,"Kerenzerberg tunnel area, Glarus, Switzerland",,,low,area_only,processed,
bg_stahl_fassade_grubenstrasse_blue_sheets,Blaue Stahlblechfassade,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high,,,,,,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,
bg_naturstein_mehrere_multi_blaustein_facade_slabs,Blaustein-Fassadenblöcke…,p_multi_brussels_reuse_in_multi,Multi Brussels,"Boulevard Anspach 1, 1000 Brussels, Belgium",50.8476,4.3487,high,,,,,https://www.multibrussels.eu/,bw_multi_brouckere_tower,Ehemaliger Philips,"Boulevard Anspach / De Brouckère, 1000 Brussels, Belgium",50.8507197,4.351774,medium,verified_area,archive:Multi_Brussels_Reuse_in_MULTI.md,
bg_mehrere_mehrere_maison_des_canaux_floor_wall_finishes,Boden- und Wandbeläge,p_maison_des_canaux_paris,"Maison des Canaux, Paris","6 Quai de la Seine, 75019 Paris, France",48.8906,2.3742,high,,,,,https://www.lescanaux.com/,,,,,,,,,
bg_keramik_boden_chiro_tiles,Bodenfliesen,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high,,,,,,,,,,,,,,
bg_stahl_traeger_boulder_hospital_stockpile,Boulder Community…,p_boulder_fire_station_3,Boulder FS-3,"2967 Bluff Street, Boulder, CO 80301, USA",40.0149856,-105.270545,high,,,,,processed,bw_boulder_community_hospital,Boulder Community…,"Boulder, CO, USA (Community Hospital donor context)",40.0149856,-105.270545,low,city_only,processed,
bg_mehrere_tuer_moeoeslistrasse_brandschutztueren_lavater,Brandschutztüren aus…,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high,,,,,https://www.stadt-zuerich.ch/,bw_schulhaus_lavater,Schulhaus Lavater,"Lavaterstrasse area, Zürich, Switzerland",47.3610404,8.5329258,low,area_only,processed,
bg_holz_mehrere_brettschichtholzbogen_recypark_demets,Brettschichtholzbögen…,p_recypark_demets_anderlecht,Recypark Demets,"Quai Fernand Demets 22, 1070 Anderlecht, Brüssel",50.8415883,4.3206717,high,,,,,,bw_ehemalige_reithalle_bei_liege_bierset,Ehemalige Reithalle bei…,"Bierset, Liège, Belgium",50.6547149,5.4512607,low,area_only,processed,
bg_mehrere_mehrere_ka13_office_fronts_doors_facade,Bürofronten,p_ka13_kristian_augusts_gate_13_oslo,KA13,"Kristian Augusts gate 13, Oslo, Norwegen",59.916806,10.737562,high,,,,,,,,,,,,,,
bg_holz_mehrere_cascadeup_clst_floor_panels,CLST-Bodenpaneele,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,"London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025",51.5074456,-0.1277653,high,,,,,,,,,,,,,,
bg_holz_decke_holbein_new_clt_floors,CLT-Decken der Erweiteru…,p_holbein_gardens_london,"Holbein Gardens, London","7 Holbein Place, London SW1W 8NR, UK",51.4947,-0.1489,high,,,,,https://www.grosvenor.com/property/holbein-gardens,,,,,,,,,
bg_mehrere_mehrere_kamikatsu_donated_facade_windows,Ca. 700 gespendete…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high,,,,,https://why-kamikatsu.jp/,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,
bg_stahl_mehrere_awm_cable_trays_shelves_lights,Cable trays as shelves…,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,"Rösnerstraße 10, 48155 Münster, Germany",51.9359,7.6356,high,,,,,https://awm.stadt-muenster.de/,bw_public_building_material_sources_awm,Public building and…,Münster region public building demolition sources,,,low,regional_pool,archive:AWM_Muenster_Circular_Office.md,
bg_mehrere_ausbau_circl_restored_furniture,Circl ABN-Möbel,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,,,,,,,,,,,,,
bg_mehrere_fenster_circl_conference_windows,Circl Bürofenster,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,,,,,,,,,,,,,
bg_holz_boden_circl_window_frame_floor,Circl Fenster→Boden,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,,,,,,,,,,,,,
bg_daemmstoff_daemmung_circl_jeans_insulation,Circl Jeans-Dämmung,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,,,,,,,,,,,,,
bg_textil_wand_circl_clothing_felt,Circl Textilfilz-Wand,p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,,,,,,,,,,,,,
bg_mehrere_dach_grubenstrasse_sheets,Dachbleche,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high,,,,,,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,Zürich region external demolition projects,,,low,regional_pool,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,
