entity_type,entity_id,entity_name,confidence,evidence_status,address,source_url,notes,action
projekt,p_gjg_house_gentbrugge,gjG House,low,district_only,"Gentbrugge (near E17 highway), 9050 Ghent, Belgium",https://architectuur.gent/project/6263c34eeb7f8/woning-gjg,"Private residence; BLAF/ArchDaily document Gentbrugge near E17, no published street (privacy).",documented_no_street
bauteilgruppe_orphan,bg_holz_mehrere_beware_local_timber,BE-WARE Altholz,low,multi_site_program,"Central warehouse Spandau (street not published); sites: TU Campus Charlottenburg-Wilmersdorf, Friedrichshagen Treptow-Köpenick, Lichtenberg Jugendbauhütte",https://www.zrs.berlin/en/project/reallabor-be-ware-building-structures-made-from-secondary-materials-made-in-berlin/,Research program with decentralized sites; Spandau warehouse named but civic address not published.,orphan_evidence_only
bauteilgruppe_orphan,bg_mehrere_mehrere_reusehoefe_yard_logistics,RE-USE Höfe Logistik,low,concept_no_single_site,,https://buchshop.bod.ch/re-use-hoefe-michelle-schneider-9783769354317,RE-USE Höfe documents reuse-yard logistics concept; not a single built site. No civic address assigned.,orphan_no_address
bauteilgruppe_orphan,bg_holz_fenster_reusehoefe_ukraine_windows,RE-WIN Ukraine-Fenster,medium,logistics_network,"RE-WIN collection warehouses: zum Park 5, 8400 Winterthur; Güterstrasse (Rhenus Logistics), CH-9470 Buchs; Münchackerstrasse 14, 4133 Pratteln; Bannholzstrasse 55a, 3033 Wohlen b. Bern; Längacher 19, 6170 Schüpfheim",https://re-win.ch/verein/unterstuetzen-sie-uns/material-bereitstellen/,No single receiver building; evidenced Swiss/Liechtenstein collection points for Ukraine window donations.,orphan_evidence_only
bauteilgruppe_orphan,bg_holz_mehrere_beware_tulium_trusses,TULIUM Altholz-Träger,medium,construction_site_street,"Hertzallee, TU Berlin Campus, 10623 Berlin, Germany",https://www.tu.berlin/en/stiftung/funding-opportunities/projects-at-tu-berlin/tulium,"Orphan BG in graph; evidenced receiver building is TULIUM pavilion at end of Hertzallee, under construction.",orphan_evidence_only
donor_bauwerk,bw_1_broadgate_1_2_broadgate_donor_stahl,1 Broadgate,high,verified_street,"1 Broadgate, London EC2M 2SY, UK",https://www.broadgate.co.uk/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_1_broadgate_london,"1 Broadgate, London",high,verified_street,"1 Broadgate, London EC2M 2SY, UK",https://www.broadgate.co.uk/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_318_oxford_street_house_of_fraser,318 Oxford Street,high,verified_street,"318 Oxford Street, London W1C 1HF, UK",https://www.stiffandtrevillion.com/projects/tower-bridge-road,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_alte_kade_tiel,Alte Kade in Tiel,medium,street_without_number,"Alte Kade, Tiel, Netherlands",https://www.thegreenhouserestaurant.nl/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_alte_lackiererei_hannover,alte/stillgelegte…,low,area_only,"Treppenkamp area, Hannover-Kronsberg, Germany",https://www.gundlach-bau.de/projekte/recyclinghaus-hannover,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_altes_projekt_in_hanzinelle,Altes Projekt in…,low,area_only,"Hanzinelle, Belgium (former project site)",archive:Verbiest_Karreveld_Brussels.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_association_reavie_materialquelle,Association Réavie…,low,organization_no_site,"Réavie association material source, France",archive:Resilience_La_Ferme_des_Possibles_Stains.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_ausgemusterte_windkraftanlagen_als_rotorblatt_donor,Ausgemusterte Windkrafta…,low,mobile_source,Decommissioned wind turbines (no fixed site),processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_behrensbau_duesseldorf_donor,Behrensbau Düsseldorf…,high,verified_street,"Mannesmannufer 2, 40213 Düsseldorf, Germany",https://www.hdgnrw.de/ueber-uns/behrensbau,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_benachbarte_winery_shoring_walls_offcuts,Benachbarte Winery-Shori…,low,area_only,"Willow Creek Road area, Paso Robles, CA, USA",https://www.saxumvineyards.com/,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_berlin_marzahn_wbs70_plattenbau,Berliner/Marzahner…,low,district_only,"Berlin-Marzahn, Germany",https://www.kuladig.de/Objektansicht/BKM-31000252,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_bibliothek_de_brenthof_sint_michielsgestel,Bibliothek De Brenthof…,low,municipality_only,"Sint-Michielsgestel, Netherlands",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_biopartner_gorlaeus_hochhaus,Gorlaeus (Biopartner),high,verified_street,"De Limes 7, 2342 DH Oegstgeest, Netherlands",https://www.biopartnerleiden.nl/contact_en/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_blackfriars_crown_court_bestand,Blackfriars Crown Court…,high,verified_street,"1-15 Pocock Street, London SE1 0BT, UK",https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_bluecity_tropicana_rotterdam,Tropicana Rotterdam,high,verified_street,"Maasboulevard 100, 3063 NS Rotterdam, Netherlands",https://www.bluecity.nl/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_boston_big_dig_i_93_infrastructure,Big Dig (I-93),low,infrastructure_corridor,"I-93 Big Dig corridor, Boston/Cambridge, MA, USA",https://www.projectarchitects.com/projects/big-dig-house,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_boulder_community_hospital,Boulder Community…,low,city_only,"Boulder, CO, USA (Community Hospital donor context)",processed,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_brighton_railway_station_donor,Brighton Railway…,medium,verified_station,"Brighton Railway Station, Queens Road, Brighton BN1 3XP, UK",https://www.construction21.org/articles/h/the-brighton-waste-house.html,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_buerohochhaus_im_zentrum_bruessels_als_lueftungs_donor,Bürohochhaus im Zentrum…,low,city_only,Brussels city centre office tower (HVAC donor),processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_christus_pavillon_expo_hannover,Christus-Pavillon EXPO…,medium,multi_site,"EXPO 2000 Hannover / Kloster Volkenroda, 99994 Volkenroda, Germany",archive:Christ_Pavilion_Volkenroda.md,linked to 6 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_cleveland_steel_reclaimed_stock,Cleveland Steel reclaimed,low,business_site,"Cleveland Steel stockyard, London, UK",archive:House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_colombelles_regional_donor_sources,Regionale Rückbau- und…,medium,regional_hub,"Rue des Ateliers, 14460 Colombelles, France",https://opalis.eu/fr/projets/grande-halle-de-colombelles,linked to 7 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_copenhagen_metro_construction_waste_source,Copenhagen Metro…,low,multi_site_program,"Copenhagen Metro construction sites, Denmark",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_crclr_external_reuse_sources,Externe Reuse-Quellen…,low,multi_site_program,"Berlin (external reuse sources, no single site)",https://www.buildingsocialecology.org/projects/crclr-house-berlin/,linked to 4 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_ehemalige_gladsaxe_school,Ehemalige Gladsaxe School,high,verified_street,"Tobaksvejen 6, 2860 Søborg, Denmark",archive:Svanen_Kindergarten_Gladsaxe.md,linked to 6 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_ehemalige_reithalle_bei_liege_bierset,Ehemalige Reithalle bei…,low,area_only,"Bierset, Liège, Belgium",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_ehemaliger_sitz_der_flaemischen_regierung_als_treppen_donor,Ehemaliger Sitz der…,low,city_only,"Former Flemish Government seat, Brussels, Belgium",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_ehemaliges_haus_der_jugend_hannover,ehemaliges Haus der…,low,city_only,"Hannover, Germany (former Haus der Jugend)",archive:Recyclinghaus_Hannover.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_einkaufswagendepot_zuerich,Ehemaliges Einkaufswagen…,low,city_only,"Zürich, Switzerland (former shopping-cart depot)",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_elys_basel_donor,ELYS-Projekt Basel,high,verified_street,"Elsässerstrasse 215, 4056 Basel, Switzerland",processed+ELYS,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_elys_former_coop_distribution_center,Ehemaliges Coop-Verteilz…,high,verified_street,"Elsässerstrasse 215, 4056 Basel, Switzerland",processed+ELYS,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,low,regional_pool,Basel region demolition/reuse sources,processed,linked to 4 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_engie_baustelle_saint_denis,ENGIE-Baustelle Saint-De…,low,city_only,"Saint-Denis, France (ENGIE construction site)",processed,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_eu_window_donor_sources,EU-weite Renovierungs-…,low,multi_site_program,EU-wide renovation window sources (no single site),processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_gellerupparken_rueckbau_wohnbloecke,Gellerupparken Rückbau-W…,low,district_only,"Gellerupparken, Aarhus, Denmark",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_generale_de_banque_brussels,Gén. de Banque BXL,high,verified_street,"Rue Montagne du Parc 3, 1000 Brussels, Belgium",https://rotordc.com/blog/salvaging-by-rotordc-3/generale-banks-hq-brussels-72,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_gorlaeus_hochhaus,Gorlaeus Hochhaus,high,verified_street,"Einsteinweg 55, 2333 CC Leiden, Netherlands",https://www.student.universiteitleiden.nl/en/locations/gorlaeus-building,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_grubenstrasse_external_donor_sources,Externe Rückbauprojekte…,low,regional_pool,Zürich region external demolition projects,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,linked to 8 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_hagenholz_recyclinghalle,Ehemalige Recyclinghalle…,low,area_only,"Hagenholzstrasse area, Zürich, Switzerland",archive,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_hastings_pier_fire_damaged_deck,Brandschaden,medium,verified_structure,"Hastings Pier, Hastings TN34 1JY, UK",https://www.drmm.co.uk/project/hastings-pier/,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_herlev_dach_industrie_und_farmdaecher_als_aluminium_donor,Herlev Dach,low,municipality_only,"Herlev, Denmark (industrial/farm roofs)",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_hochhausflat_ursulastraat,Hochhausflat Ursulastraat,medium,street_without_number,"Ursulastraat, Bleijerheide, 6464 Kerkrade, Netherlands",https://www.superlocal.eu/expogebouw,linked to 4 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_institut_botanique_ulg,Institut de Botanique…,high,verified_street,"Chemin de la Vallée 4, 4000 Liège, Belgium",https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_iw73_6_mass_housing_donor,IW73/6 mass-housing…,low,city_only,"Plauen, 08527, Germany",archive:Association_house_Plauen.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_ka13_existing_building,KA13 Bestandsgebäude…,high,verified_street,"Kristian Augusts gate 13, 0164 Oslo, Norway",archive:KA13_Kristian_Augusts_gate_13_Oslo.md,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_kamikatsu_local_houses,Lokale Häuser und…,low,municipality_only,"Kamikatsu, Tokushima 771-4501, Japan",https://why-kamikatsu.jp/,linked to 4 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_kamikatsu_old_town_hall,Altes Rathaus Kamikatsu,low,municipality_only,"Kamikatsu, Tokushima 771-4501, Japan",https://why-kamikatsu.jp/,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_karreveld_buerogebaeude_zu_schule_und_sportzentrum,Karreveld Bürogebäude…,low,district_only,"Karreveld, Sint-Jans-Molenbeek, Brussels, Belgium",archive:Verbiest_Karreveld_Brussels.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_kerenzerbergtunnel,Kerenzerbergtunnel,low,area_only,"Kerenzerberg tunnel area, Glarus, Switzerland",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_knoopkazerne_utrecht,Ehemalige Knoopkazerne,high,verified_street,"Croeselaan 16, 3521 CA Utrecht, Netherlands",https://www.thegreenhouserestaurant.nl/,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_leinefelde_plattenbau_donor,Rückbaustelle,low,city_only,"Leinefelde, 37339, Germany",archive:Haus_HOS_Mehrfamilienhaus_Muehlhausen.md,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_local_demolition_sources_bedzed,Local demolition and…,low,regional_pool,London/Sutton local demolition sources,archive:BedZED_London_Hackbridge.md,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_lycee_block_3000,Lycée Lucius B3000,high,verified_street,"157 Avenue Pasteur, L-2311 Luxembourg",https://opalis.eu/fr/projets/lycee-michel-lucius,linked to 7 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_lysbueechel_garage_basel,Lysbüchel Parkgarage,high,verified_street,"Weinlagerstrasse 33, 4056 Basel, Switzerland",https://www.lagerplatz.ch/kopfbau-halle-118,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,low,regional_pool,Auderghem / Brussels region reuse sources,archive:Maison_Vignette_Auderghem.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,low,district_only,"Berlin-Marzahn, Germany",archive:Berlin_Schildow_Pilot_House.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_meduni_campus_mariannengasse,MedUni Campus Wien,medium,street_without_number,"Mariannengasse, 1090 Vienna, Austria",PLAN_v2.md,linked to 4 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_multi_brouckere_tower,Ehemaliger Philips,medium,verified_area,"Boulevard Anspach / De Brouckère, 1000 Brussels, Belgium",archive:Multi_Brussels_Reuse_in_MULTI.md,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_multi_external_urban_mining_sources,Externe Urban-Mining-Que…,low,regional_pool,Brussels external urban mining sources,processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_musef_eight_demolition_sources,Acht Abbruchquellen in…,low,regional_pool,"Mouscron region demolition sources, Belgium",archive:Musee_de_Folklore_Mouscron.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_oeffentliche_wohnbauten_nordjuetland,Öffentliche Wohnbauten…,low,regional_pool,"North Jutland public housing, Denmark",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_olympisches_dorf_bungalows_muenchen,Bungalows des Olympische…,high,verified_street,"Connollystraße 3, 80809 München, Germany",https://www.plattenvereinigung.de/project/orte/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_olympisches_dorf_muenchen,Olympisches Dorf München,high,verified_street,"Connollystraße 3, 80809 München, Germany",https://www.plattenvereinigung.de/project/orte/,linked to 4 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_orion_zuerich_donor,Orion-Bürogebäude Zürich,high,verified_street,"Förrlibuckstrasse 178/180, 8005 Zürich, Switzerland",https://www.psp.info/medien/medienmitteilungen/alle-artikel/building-permit-obtained-for-project-orion-in-zurich-west,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_palais_des_expositions_charleroi,Palais des Expositions…,low,city_only,"Charleroi, Belgium (Palais des Expositions)",processed,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_palast_der_republik_berlin,Palast der Republik…,medium,former_site,"Schloßplatz 1, 10178 Berlin, Germany (former site)",archive,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_paternoster_textilindustriemaschine_enschede,Paternoster-,low,city_only,"Enschede, Netherlands",archive:Villa_Welpeloo_Enschede.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_peter_behrens_halle_berlin,Peter-Behrens-Halle…,high,verified_street,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",https://www.plattenvereinigung.de/project/orte/,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_peter_behrens_halle_tu_berlin,Peter-Behrens-Halle TU…,high,verified_street,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",https://www.tu.berlin/bau/forschung/infrastruktur,linked to 3 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_ph12_punkthochhaus_frankfurt_oder,PH12-Punkthochhaus…,high,verified_street,"Robert-Havemann-Straße 12-13, 15230 Frankfurt (Oder), Germany",https://www.plattenvereinigung.de/project/orte/,linked to 4 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_plp_previous_studio_london,vorheriges PLP Studio,high,verified_street,"10 Whitechapel High Street, London E1 8QS, UK",archive:PLP_London_HQ_Circular_Studio_Fitout.md,linked to 3 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_prinsenhof_a_arnhem_donor,"Prinsenhof A, Arnhem",high,verified_street,"Prinsenhof 1, 6811 Arnhem, Netherlands",https://www.gelderland.nl/themas/duurzaamheid/circulaire-economie/prinsenhof,linked to 3 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_public_building_material_sources_awm,Public building and…,low,regional_pool,Münster region public building demolition sources,archive:AWM_Muenster_Circular_Office.md,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_regionale_olindustrie_drill_stem_pipe_quelle,Regionale Ölindustrie,low,regional_pool,Regional oil industry drill stem pipe sources,processed,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_regjeringsbygg_r4,Regjeringsbygg R4,low,city_only,"Oslo, Norway (Regjeringsbygg R4)",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_rws_districtskantoor_terneuzen,Ehemaliges Rijkswatersta…,low,city_only,"Terneuzen, Netherlands (former Rijkswaterstaat district office)",processed,linked to 6 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_schellinghalle_ruemlang,Schellinghalle Rümlang,low,city_only,"Rümlang, Switzerland (Schellinghalle)",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_school_type_dresden_donor,School type Dresden…,low,city_only,"Gröditz area, 01609, Germany",archive:Association_house_Groeditz.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_schulhaus_lavater,Schulhaus Lavater,low,area_only,"Lavaterstrasse area, Zürich, Switzerland",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_sportzentrum_sauna_hannover,Sportzentrum,low,city_only,"Hannover, Germany (sport centre sauna donor)",archive:Recyclinghaus_Hannover.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_stadskantoor_roosendaal,Stadskantoor Roosendaal,low,city_only,"Roosendaal, Netherlands",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_stadt_paris_pflasterbestand,Stadt Paris Pflasterbest…,low,city_only,"Paris, France (municipal paving stock)",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,low,city_only,Zürich municipal reuse depot (Occasionslager),processed,linked to 3 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_stuttgart21_hauptbahnhof,Stuttgart 21 Bhf,medium,verified_station,"Stuttgart Hauptbahnhof, 70173 Stuttgart, Germany",PLAN_v2.md,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_suutarila_community_centre_donor,Suutarila community…,low,district_only,"Suutarila, 00740 Helsinki, Finland",archive:Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_tampere_1980s_office_donor,1980er Bürogebäude im…,low,city_only,"Tampere city centre office building (1980s), Finland",archive:Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_thoravej_29,Thoravej 29 Bestandsgebä…,high,verified_street,"Thoravej 29, 2400 København NV, Denmark",archive:Thoravej_29_Copenhagen.md,linked to 4 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_timber_square_print_building,Timber Square Print…,high,verified_street,"25 Lavington Street, London SE1 0NZ, UK",archive:Timber_Square_London.md,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_twente_tkf_kabelfabrik_materialquelle,Twente,low,regional_pool,"Twente region, Netherlands",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_unbekannte_wbs70_plattenbauten,rückgebaute WBS70-Platte…,low,city_only,"Berlin (demolished WBS70 slabs, site unknown)",archive:Mehrow_Pilot_House.md,linked to 1 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_weitere_regionale_rueckbauquellen_boschgaard,Weitere regionale…,low,regional_pool,'s-Hertogenbosch region demolition sources,archive:Woongroep_Boschgaard_Den_Bosch.md,linked to 2 Bauteilgruppen,donor_city_or_pool_only
donor_bauwerk,bw_werkhof_moeoeslistrasse,Werkhof Mööslistrasse,high,verified_street,"Mööslistrasse 8, 8038 Zürich, Switzerland",archive:Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md,linked to 2 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_white_chapel_building_london,The White Chapel Building,high,verified_street,"10 Whitechapel High Street, London E1 8QS, UK",archive:PLP_London_HQ_Circular_Studio_Fitout.md,linked to 1 Bauteilgruppen,donor_address_researched
donor_bauwerk,bw_wohngebaude_sanierung_epinay_sur_seine,Wohngebäude-Sanierung…,low,city_only,"Épinay-sur-Seine, France",processed,linked to 1 Bauteilgruppen,donor_city_or_pool_only
