projekt_id,projekt_name,stadt_name,land,latitude,longitude,geo_precision,bauwerke
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,47.5581077,7.5878261,city_centroid,Ehemaliges Coop-Verteilz…;Regionale Rueckbau- und…
p_europa_building_brussels,Europa Building Brussels,Brüssel,Belgien,50.8467372,4.352493,city_centroid,Europa Building Brussels;Residence Palace Block A;EU-weite Renovierungs-…
p_ferme_du_rail_paris,Ferme du Rail Paris,Paris,Frankreich,48.8534951,2.3483915,city_centroid,La Ferme du Rail…
p_grande_halle_de_colombelles,Grande Halle de Colombel…,Colombelles,Frankreich,49.2041204,-0.2972472,city_centroid,Grande Halle de Colombel…;Regionale Rückbau- und…
p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,47.3744489,8.5410422,city_centroid,Werkhof 29;Externe Rückbauprojekte…
p_hastings_pier_visitor_centre,Hastings Pier Visitor…,Hastings,Vereinigtes Königreich,50.8550976,0.5821779,city_centroid,Hastings Pier Visitor…;Brandschaden;Erhaltene/restaurierte…
p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,"Mühlhausen, Thüringen",Deutschland,51.2094255,10.4589044,city_centroid,Haus HOS Mehrfamilienhau…;Rückbaustelle
p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,Leinefelde,Deutschland,51.3878458,10.3212678,city_centroid,Haus HOS Mehrfamilienhau…;Rückbaustelle
p_holbein_gardens_london,"Holbein Gardens, London",London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,Holbein Gardens 1980er…;Cleveland Steel reclaimed
p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,Cleveland Steel reclaimed;318 Oxford Street;TBC.London
p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta,Tampere,Finnland,61.4977929,23.7616372,city_centroid,Härmälänrannan Ernst;1980er Bürogebäude im…
p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,Berlin,Deutschland,52.5173885,13.3951309,city_centroid,Impact Hub Berlin…;CRCLR House
p_institut_de_botanique_ulg_liege,Institut de Botanique…,Liège / Lüttich,Belgien,50.6450944,5.5736112,city_centroid,Institut de Botanique…
p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,51.4984694,3.9130606,city_centroid,Kinder- en jeugdkliniek…;Ehemaliges Rijkswatersta…;Erhaltener Emergis-Besta…
p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Zürich,Schweiz,47.3744489,8.5410422,city_centroid,Neues Recyclingzentrum…;Ehemalige Recyclinghalle…;Kerenzerbergtunnel;Schellinghalle Rümlang
p_jugendtreff_ingersheim,Jugendtreff Ingersheim,Ingersheim,Deutschland,48.0968771,7.3022832,city_centroid,Jugendtreff Ingersheim;Stuttgart 21 Bhf
p_k118_kopfbau_halle_118_winterthur,K.118 Winterthur,Winterthur,Schweiz,47.4991723,8.7291498,city_centroid,Kopfbau Halle 118;Bestehende Industriehall…;ELYS-Projekt Basel;Orion-Bürogebäude Zürich
p_ka13_kristian_augusts_gate_13_oslo,KA13,Oslo,Norwegen,59.9133301,10.7389701,city_centroid,Kristian Augusts gate 13;Regjeringsbygg R4;KA13 Bestandsgebäude…
p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,33.8889228,134.4018864,city_centroid,Kamikatsu Zero Waste…;Lokale Häuser und…;Altes Rathaus Kamikatsu
p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Zürich,Schweiz,47.3744489,8.5410422,city_centroid,Werkhof Mööslistrasse;Schulhaus Lavater;Ehemaliges Einkaufswagen…;Städtische Occasionslage…
p_lysp8_basel,LYSP8 Basel,Basel,Schweiz,47.5581077,7.5878261,city_centroid,LysP8 Basel
p_liander_alliander_hq_duiven,Liander,Duiven,Niederlande,51.9470218,6.0230325,city_centroid,Alliander;Bestandsensemble…
p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall…,Lo-Reninge,Belgien,50.9638066,2.7643391,city_centroid,Rathaus Lo-Reninge;Ehemaliges Kloster…
p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,Tampere,Finnland,61.4977929,23.7616372,city_centroid,1980er Bürogebäude im…;Metso Lokomotion…;Technikbau und Personalr…;Consolis Parma Werk…
p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,49.621539,6.1222912,city_centroid,Lycée Lucius Campus;Lycée Lucius B3000;Lycée Lucius B6000;Neue Esplanade und…
p_lysp8,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel,,,,,missing,
p_maison_dna_asse,Maison DnA,Asse,Belgien,50.9094333,4.2015646,city_centroid,Maison DnA Einfamilienha…
p_maison_vignette_auderghem,Maison Vignette,Auderghem / Brüssel,Belgien,50.8084174,4.4383633,city_centroid,Maison Vignette Einfamil…;Diverse Reuse-Quellen…;Solvay-Gebäude als…
p_maison_des_canaux_paris,"Maison des Canaux, Paris",Paris,Frankreich,48.8534951,2.3483915,city_centroid,Maison des Canaux…
p_meduni_campus_mariannengasse,MedUni Campus Wien,Wien,Österreich,48.2083537,16.3725042,city_centroid,MedUni Campus Wien
p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, Brandenburg",Deutschland,52.569788,13.6162378,city_centroid,Mehrow Pilotwohnhaus;Abgerissener Marzahner…
p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,Helsinki,Finnland,60.1666204,24.9435408,city_centroid,Melkinlaituri elementary…;Suutarila community…
p_montessori_maassluis,Montessori Maassluis,Maassluis,Niederlande,51.9219917,4.2541194,city_centroid,Montessorischool…
p_multi_brussels_reuse_in_multi,Multi Brussels,Brüssel,Belgien,50.8467372,4.352493,city_centroid,Gén. de Banque BXL;Ehemaliger Philips;Externe Urban-Mining-Que…
p_musee_de_folklore_mouscron,Musée de Folklore Vie…,Mouscron,Belgien,50.7436672,3.2142729,city_centroid,Musée de Folklore Vie…;Acht Abbruchquellen in…
p_oxy_centre_monnaie,OXY Centre Monnaie,,,,,missing,
p_plp_london_hq_circular_studio_fitout,PLP London HQ circular…,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,PLP Studio im White…;The White Chapel Building;vorheriges PLP Studio
p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,51.4392648,5.478633,city_centroid,People’s Pavilion…
p_plattenpalast_berlin,Plattenpalast Berlin,Berlin,Deutschland,52.5173885,13.3951309,city_centroid,Plattenpalast Kleinsthaus;rückgebaute WBS70-Platte…;Palast der Republik…;Peter-Behrens-Halle…
p_plattenvereinigung_berlin,Plattenvereinigung Berlin,Berlin,Deutschland,52.5173885,13.3951309,city_centroid,Plattenvereinigung…;Peter-Behrens-Halle TU…;Olympisches Dorf München;PH12-Punkthochhaus…
p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,,Schweiz,,,missing,Re:Crete Fußgängerbrücke…
p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,52.3744779,9.7385532,city_centroid,Recyclinghaus Hannover;ehemaliges Haus der…;alte/stillgelegte…;Sportzentrum
p_recypark_demets_anderlecht,Recypark Demets,Brüssel / Anderlecht,Belgien,50.8390983,4.3296526,city_centroid,Recypark Demets Hallenst…
p_resource_rows_copenhagen,Resource Rows,Kopenhagen,Dänemark,55.6867243,12.5700724,city_centroid,Resource Rows Wohngebäude
p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,Blackfriars Crown Court
p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,48.9565669,2.3825154,city_centroid,Résilience Betriebs-…
p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,50.8528002,6.0664961,city_centroid,Expogebouw;Hochhausflat Ursulastraat
p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,Paso Robles / Templeton Gap,USA,,,missing,Saxum Vineyard Equipment…
p_schaerenmoosstrasse_zuerich,Schärenmoosstr. ZH,Zürich,Schweiz,47.3744489,8.5410422,city_centroid,Schärenmoosstr. ZH;UBS Datenz. Altstetten
p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,55.7383794,12.4696107,city_centroid,Børnehuset Svanen;Ehemalige Gladsaxe School
p_trae_high_rise_aarhus,TRÆ High-Rise,Aarhus,Dänemark,56.1496278,10.2134046,city_centroid,TRÆ High-Rise Holzhochha…;Ausgemusterte Windkrafta…;Herlev Dach;Gellerupparken Rückbau-W…
p_the_green_house_utrecht,The Green House Utrecht,Utrecht,Niederlande,52.0907006,5.1215634,city_centroid,The Green House Utrecht;Ehemalige Knoopkazerne;Alte Kade in Tiel
p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,Kopenhagen,Dänemark,55.6867243,12.5700724,city_centroid,Thoravej 29 Bestandsgebä…
p_timber_square_london,Timber Square London,London,Vereinigtes Königreich,51.5074456,-0.1277653,city_centroid,Timber Square Print…;Timber Square Ink…
p_umar_unit,UMAR Unit,Dübendorf,Schweiz,47.3969942,8.6185666,city_centroid,UMAR Unit Dübendorf;Gén. de Banque BXL
p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,Kopenhagen,Dänemark,55.6867243,12.5700724,city_centroid,Upcycle Studios Reihenha…;Öffentliche Wohnbauten…;Copenhagen Metro…
p_verbiest_karreveld_brussels,Verbiest + Karreveld,Brüssel,Belgien,50.8467372,4.352493,city_centroid,Karreveld Bürogebäude…;Palais des Expositions…;Altes Projekt in…
p_association_house_groeditz,Vereinshaus Gröditz,Gröditz,Deutschland,51.4232124,13.3822343,city_centroid,Sport-/Vereinshaus…;School type Dresden…
p_association_house_plauen,Vereinshaus Plauen,Plauen,Deutschland,50.4950632,12.1346523,city_centroid,Sport-/Vereinshaus Plauen;IW73/6 mass-housing…
p_villa_welpeloo_enschede,Villa Welpeloo Enschede,Enschede,Niederlande,52.2233633,6.8705957,city_centroid,Villa Welpeloo Wohnhaus…;Paternoster-;Twente
p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,s-Hertogenbosch,Niederlande,51.6889387,5.303116,city_centroid,Boschgaard Wohnprojekt…;Bibliothek De Brenthof…;Stadskantoor Roosendaal;Weitere regionale…
p_zinneke_feder_masui4ever_brussels,Zinneke,Brüssel,Belgien,50.8467372,4.352493,city_centroid,Zinneke Masui4ever…;Ehemaliger Sitz der…;Bürohochhaus im Zentrum…
p_gjg_house_gentbrugge,gjG House,Gentbrugge / Ghent,Belgien,51.0447236,3.7588813,city_centroid,gjG House
