projekt_id,projekt_name,address,latitude,longitude,confidence,evidence_status,staedte,source_url,evidence_notes
p_broethen_twin_house_hoyerswerda,Broethen Twin-House,"Bröthen-Michalken, 02977 Hoyerswerda, Germany",51.407,14.279,low,district_only,Hoyerswerda / Broethen,https://recreate-project.eu/tag/german-cluster/,PRECS 2001 twin house in Bröthen-Michalken; no primary source links project to Dresdener Str. or other street.
p_crclr_house_impact_hub_berlin,CRCLR House,"Rollbergstraße 26, 12053 Berlin, Germany",52.4764,13.4357,high,,Berlin,processed+web,
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,"London; UCL Festival of Engineering 2024, London Design Festival 2024, Futurebuild 2025",51.5074456,-0.1277653,high,,London,,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high,,Dilbeek / Itterbeek,,
p_christ_pavilion_volkenroda,Christus-Pavillon,"Kloster Volkenroda, 99994 Volkenroda, Germany",51.2067,10.4567,medium,,Volkenroda / Koerner,archive,
p_circl_abn_amro,Circl,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,,Amsterdam,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,"Zwarteweg 1, 8181 PD Heerde, Netherlands",52.3917,6.0286,high,,Arnhem;Heerde,https://recreate-project.eu/,
p_circular_pavilion_paris,Circular Pavilion Paris,"Place de l'Hôtel de Ville, 75004 Paris, France",48.8565,2.3522,medium,,Paris,https://www.batiactu.com/edito/un-pavillon-circulaire-illustrer-reemploi-materiaux-42547.php,
p_elementa_walkeweg,ELEMENTA Walkeweg,"Emilie Louise Frey-Strasse, 4053 Basel, Switzerland",47.5388275,7.6125448,high,,Basel,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high,,Basel,processed+ELYS,
p_europa_building_brussels,Europa Building Brussels,"Rue de la Loi 175, 1048 Brussels, Belgium",50.8436,4.3819,high,,Brüssel,Council of the EU,
p_ferme_du_rail_paris,Ferme du Rail Paris,"2 bis rue de l’Ourcq, 75019 Paris",48.8877647,2.3851363,high,,Paris,,
p_grande_halle_de_colombelles,Grande Halle de Colombel…,"Rue des Ateliers, 14460 Colombelles",49.1916221,-0.3061681,high,,Colombelles,,
p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29, 8045 Zürich, Binz",47.3612682,8.5142622,high,,Zürich,,
p_hastings_pier_visitor_centre,Hastings Pier Visitor…,"1-10 White Rock, Hastings TN34 1JY, UK",50.8567,0.5792,high,,Hastings,https://www.drmm.co.uk/project/hastings-pier/,
p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,"Mühlhausen, 99974, Germany",51.2089,10.4526,low,city_only,"Mühlhausen, Thüringen;Leinefelde",https://www.seidlarchitekten.de/haus-hos-muehlhausen/,"Seidl+Hose MFH project; published sources give city only. Schwanenteichallee 5/6 is architect office, not building site."
p_holbein_gardens_london,"Holbein Gardens, London","7 Holbein Place, London SW1W 8NR, UK",51.4947,-0.1489,high,,London,https://www.grosvenor.com/property/holbein-gardens,
p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,"318 Oxford Street, London W1C 1HF, UK (donor); 224-226 Tower Bridge Road, London SE1 2UP, UK (receiver TBC.London)",51.5142,-0.1427,medium,,London,https://www.stiffandtrevillion.com/projects/tower-bridge-road,
p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta,"Potkurinkatu 5, 33900 Tampere, Finland",61.4808,23.7493,high,,Tampere,https://www.a-kruunu.fi/,
p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,"Rollbergstraße 26, 12053 Berlin, Germany",52.4764,13.4357,high,,Berlin,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,
p_institut_de_botanique_ulg_liege,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.603,5.5818,high,,Liège / Lüttich,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,
p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high,,Kloetinge,https://www.emergis.nl/,
p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low,parcel_only,Zürich,https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html,"City press release confirms Juch-Areal Altstetten; under construction, no civic number published."
p_jugendtreff_ingersheim,Jugendtreff Ingersheim,"Baumwasenweg, 74379 Ingersheim, Germany",48.959324,9.188568,high,,Ingersheim,,
p_k118_kopfbau_halle_118_winterthur,K.118 Winterthur,"Lagerplatz 24, 8400 Winterthur, Switzerland",47.4997,8.7267,high,,Winterthur,https://www.lagerplatz.ch/,
p_ka13_kristian_augusts_gate_13_oslo,KA13,"Kristian Augusts gate 13, Oslo, Norwegen",59.916806,10.737562,high,,Oslo,,
p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high,,"Kamikatsu, Tokushima Prefecture",https://why-kamikatsu.jp/,
p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high,,Zürich,https://www.stadt-zuerich.ch/,
p_lysp8_basel,LYSP8 Basel,"Weinlagerstrasse 33, 4056 Basel, Switzerland",47.5726315,7.5738216,high,,Basel,,
p_liander_alliander_hq_duiven,Liander,"Dijkgraaf 4, 6921 RL Duiven, Netherlands",51.9442,6.0783,high,,Duiven,https://www.alliander.com/,
p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall…,"Markt 1, 8647 Lo-Reninge, Belgien",50.9805957,2.7493019,high,,Lo-Reninge,,
p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,"Leppästensuonkatu 13, 33840 Tampere, Finland",61.4588,23.6324,high,,Tampere,https://www.lokomotion.fi/,
p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,Luxembourg-Limpertsberg,https://opalis.eu/fr/projets/lycee-michel-lucius,
p_lysp8,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel,"Weinlagerstrasse 33, 4056 Basel, Switzerland",47.5726315,7.5738216,high,,,,
p_maison_dna_asse,Maison DnA,"Bergestraat 40, 1730 Asse, Belgium",50.9078,4.1986,high,,Asse,https://opalis.eu/fr/projets/maison-dna,
p_maison_vignette_auderghem,Maison Vignette,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high,,Auderghem / Brüssel,https://guidebatimentdurable.brussels/construction-dune-maison-unifamiliale-paille-projet-vignette,
p_maison_des_canaux_paris,"Maison des Canaux, Paris","6 Quai de la Seine, 75019 Paris, France",48.8906,2.3742,high,,Paris,https://www.lescanaux.com/,
p_meduni_campus_mariannengasse,MedUni Campus Wien,"Mariannengasse 10, 1090 Vienna, Austria",48.2161081,16.3492133,high,,Wien,,
p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, 16356, Germany",52.5724,13.6177,low,city_only,"Mehrow, Brandenburg",https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html,"200 m² pilot house 2005 in Mehrow; press confirms village, no street address."
p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,"Tulimaankatu / Samoankuja, Jätkäsaari, 00220 Helsinki, Finland",60.1559,24.9195,medium,plot_intersection,Helsinki,https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/,"Architect and City of Helsinki place school in Samoankuja / Melkinlaituri block; under construction, no house number yet."
p_montessori_maassluis,Montessori Maassluis,"Richard Hollaan 4, 3144 BB Maassluis, Netherlands",51.9422,4.2346,high,,Maassluis,https://www.montessorischoolmaassluis.nl/,
p_multi_brussels_reuse_in_multi,Multi Brussels,"Boulevard Anspach 1, 1000 Brussels, Belgium",50.8476,4.3487,high,,Brüssel,https://www.multibrussels.eu/,
p_musee_de_folklore_mouscron,Musée de Folklore Vie…,"Rue des Brasseurs 3, 7700 Mouscron, Belgien",50.7419344,3.2177912,high,,Mouscron,,
p_oxy_centre_monnaie,OXY Centre Monnaie,"Place de la Monnaie 1, 1000 Brussels, Belgium",50.8492,4.3494,high,,,https://www.oxybrussels.eu/,
p_plp_london_hq_circular_studio_fitout,PLP London HQ circular…,"10 Whitechapel High St, London E1 8QS",51.514434,-0.0729102,high,,London,,
p_peoples_pavilion_eindhoven,People’s Pavilion…,"Ketelhuisplein, 5617 AE Eindhoven, Netherlands",51.4483,5.4959,high,,Eindhoven,https://overtredersw.nl/projects/peoples-pavilion,
p_plattenpalast_berlin,Plattenpalast Berlin,"Wolliner Straße 50, Berlin",52.5390524,13.4018775,high,,Berlin,,
p_plattenvereinigung_berlin,Plattenvereinigung Berlin,"Gustav-Meyer-Allee 25, 13355 Berlin (Peter-Behrens-Halle, Jan 2010–May 2011); Tempelhofer Feld, southern entrance Oderstraße, 12051 Berlin (May 2011–Oct 2011+)",52.5408,13.3892,medium,multi_site_verified,Berlin,https://www.plattenvereinigung.de/project/orte/,Two evidenced exhibition phases; donor material from München Olympisches Dorf and Frankfurt/Oder PH12.
p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,"Route Cantonale / Route de la Morge, 1964 Conthey, Switzerland",46.2264,7.3074,medium,,,https://www.construction21.org/articles/h/recrete-footbridge.html,
p_recyclinghaus_hannover,Recyclinghaus Hannover,"Treppenkamp 1, 30539 Hannover, Germany",52.3589,9.8342,high,,Hannover,https://www.gundlach-bau.de/projekte/recyclinghaus-hannover,
p_recypark_demets_anderlecht,Recypark Demets,"Quai Fernand Demets 22, 1070 Anderlecht, Brüssel",50.8415883,4.3206717,high,,Brüssel / Anderlecht,,
p_resource_rows_copenhagen,Resource Rows,"Ejler Billes Allé 29, 2300 København S, Denmark",55.641,12.5852,high,,Kopenhagen,https://dac.dk/en/magazine/resource-rows,
p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,"1-15 Pocock Street, London SE1 0BT, UK",51.5025,-0.0999,high,,London,https://en.wikipedia.org/wiki/Blackfriars_Crown_Court,
p_resilience_la_ferme_des_possibles_stains,Résilience,"29 Rue d’Amiens, 93240 Stains",48.9500637,2.3701218,high,,Stains,,
p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,"Voorterstraat, Bleijerheide, 6462 Kerkrade, Netherlands",50.8534,6.0618,medium,street_without_number,Bleijerheide / Kerkrade,https://www.kerkrade.nl/superlocal-bleijerheide,Expogebouw stands in SUPERLOCAL Bleijerheide project area near Voorterstraat flats; donor flat was Ursulastraat (demolished 2017–2018).
p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,"2800 Willow Creek Road, Paso Robles, CA 93446, USA",35.6366,-120.6869,high,,Paso Robles / Templeton Gap,https://www.saxumvineyards.com/,
p_schaerenmoosstrasse_zuerich,Schärenmoosstr. ZH,"Schärenmoosstrasse 115/117, 8050 Zürich, Switzerland",47.4187214,8.5578892,high,,Zürich,,
p_svanen_kindergarten_gladsaxe,Svanen,"Tobaksvejen 6, 2860 Søborg, Denmark",55.7346,12.4033,high,,Gladsaxe,https://www.gladsaxe.dk/,
p_trae_high_rise_aarhus,TRÆ High-Rise,"Kalkværksvej 1-5, 8000 Aarhus C, Denmark",56.1539,10.2048,high,,Aarhus,https://www.lendager.com/projects/trae,
p_the_green_house_utrecht,The Green House Utrecht,"Croeselaan 16, 3521 CA Utrecht, Netherlands",52.0867,5.1172,high,,Utrecht,https://www.thegreenhouserestaurant.nl/,
p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,"Thoravej 29, 2400 København NV, Copenhagen",55.706084,12.526846,high,,Kopenhagen,,
p_timber_square_london,Timber Square London,"25 Lavington Street / Bankside, Southwark, London SE1",51.5050972,-0.1000695,high,,London,,
p_umar_unit,UMAR Unit,"Überlandstrasse 129, 8600 Dübendorf, Switzerland",47.4023749,8.6114852,high,,Dübendorf,,
p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,"Robert Jacobsens Vej, 2300 København S, Denmark",55.6402,12.5846,medium,,Kopenhagen,https://www.lendager.com/projects/upcycle-studios,
p_verbiest_karreveld_brussels,Verbiest + Karreveld,"Rue Jean Verbiest 5-7, 1080 Brussels, Belgium",50.8503,4.315,medium,,Brüssel,https://opalis.eu/fr/projets/verbiest-karreveld,
p_association_house_groeditz,Vereinshaus Gröditz,"Gröditz, 01609, Germany",51.4142,13.4351,low,city_only,Gröditz,https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents,PRECS 2007 sport-association house; literature gives Gröditz and ~2.5 km transport only. Not Kolkwitz/Jahnstraße (different ReUse Hub project).
p_association_house_plauen,Vereinshaus Plauen,"E.-Schuhmann-Straße 65, 08527 Plauen, Germany",50.4876,12.1247,medium,,Plauen,https://www.haube.de/,
p_villa_welpeloo_enschede,Villa Welpeloo Enschede,"Bamshoevelaan 49, 7523 JJ Enschede, Netherlands",52.2283,6.8814,high,,Enschede,https://www.superuse-studios.com/,
p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,"Mgr. van Roosmalenplein 19C, 5213 GC Den Bosch, Netherlands",51.6947,5.3082,high,,s-Hertogenbosch,https://www.boschgaard.nl/,
p_zinneke_feder_masui4ever_brussels,Zinneke,"Masuiplein 13, 1030 Brussels, Belgium",50.8647,4.3592,high,,Brüssel,https://opalis.eu/fr/projets/zinneke-feder-masui4ever,
p_gjg_house_gentbrugge,gjG House,"Gentbrugge (near E17 highway), 9050 Ghent, Belgium",51.0405,3.7412,low,district_only,Gentbrugge / Ghent,https://architectuur.gent/project/6263c34eeb7f8/woning-gjg,"Private residence; BLAF/ArchDaily document Gentbrugge near E17, no published street (privacy)."
