rel_type,property,rel_count,coverage,coverage_pct,distinct_values,suggested_verdict,samples
APPLIES_TO,id,20,20,100.0,20,KEEP,r_rr_gb_stahl__APPLIES_TO__mat_stahl | r_rr_be_stahl__APPLIES_TO__mat_stahl | r_rr_de_stahl__APPLIES_TO__mat_stahl | r_rr_nl_stahl__APPLIES_TO__mat_stahl
APPLIES_TO,review_status,20,20,100.0,1,DROP,needs_source_url_review
APPLIES_TO,evidence_source_id,20,20,100.0,1,DROP,q_circular_construction_reuse_graph_gaps_md
APPLIES_TO,evidence_origin,20,20,100.0,1,DROP,inferred
APPLIES_TO,evidence_confidence,20,20,100.0,1,KEEP,teilweise_belegt
APPLIES_TO,evidence_basis,20,20,100.0,1,DROP,research_file_row
APPLIES_TO,derivation_note,20,20,100.0,1,DROP, | r1: inferred+belegt was self-contradictory => downgraded to teilweise_belegt
APPLIES_TO,source_resolution_status,20,20,100.0,1,DROP,needs_source_url_review
APPLIES_TO,strict_source_url_cleanup,20,20,100.0,1,DROP,mig_strict_source_url_binding_cleanup_2026_05_23
APPLIES_TO,source_status,20,20,100.0,1,DROP,candidate
APPLIES_TO,source_status_reason,20,20,100.0,1,DROP,candidate_urls_need_fact_review
APPLIES_TO,source_status_migration,20,20,100.0,1,DROP,mig_source_status_normalization_2026_05_28
BELEGT_IN,evidence_basis,5199,4866,93.6,4,DROP,cell_citation | slug_match | controlled_vocab | direct_url_listed_in_archive_md
BELEGT_IN,evidence_source_id,5199,4842,93.1,760,DROP,q_55_great_suffolk_street_london_md | q_bedzed_london_hackbridge_md | q_association_house_groeditz_md | q_association_house_groeditz_s1
BELEGT_IN,evidence_origin,5199,4730,91.0,4,DROP,topology_synthesized | source_curated | inferred | registry_derived
BELEGT_IN,evidence_confidence,5199,4730,91.0,4,KEEP,unklar | teilweise_belegt | belegt | inferiert
BELEGT_IN,source_resolution_status,5199,4730,91.0,2,DROP,needs_source_url_review | direct_url_endpoint
BELEGT_IN,source_status,5199,4730,91.0,3,DROP,candidate | exact | missing
BELEGT_IN,source_status_reason,5199,4730,91.0,4,DROP,candidate_urls_need_fact_review | concrete_source_url_on_fact | invalid_direct_url_endpoint | no_exact_url_binding_needs_review
BELEGT_IN,source_status_migration,5199,4730,91.0,1,DROP,mig_source_status_normalization_2026_05_28
BELEGT_IN,derivation_note,5199,4697,90.3,9,DROP, | r1: derived=>topology_synthesized (catch-all: basis=cell_citation) |  | r1: curated→source_curated (default reclassification) | former_basis=research_file_row->cell_citation via mig_repair_4_1 (BELEGT_IN bel… | unpacked dedup-merged array (Phase 1.6 actor merge artifact) by mig_repair_4_1_…
BELEGT_IN,source_url,5199,3143,60.5,352,DROP,https://doi.org/10.1016/j.jclepro.2022.135235 | https://baustatik-wiki.fiw.hs-wismar.de/mediawiki/index.php/Wiederverwendung_vo… | https://innowest-brandenburg.de/beitraege/Bachelorarbeit-plattenbautyp-wbs-70 | https://www.bft-international.com/de/artikel/wiederverwendung-von-betonfertigte…
BELEGT_IN,source_url_status,5199,3143,60.5,8,DROP,reachable_2xx | blocked_by_robots | dead_4xx | dead_5xx
BELEGT_IN,source_url_node_id,5199,3143,60.5,530,DROP,q_association_house_groeditz_s1 | q_association_house_groeditz_s4 | q_association_house_groeditz_s5 | q_association_house_groeditz_s6
BELEGT_IN,source_url_http_code,5199,3044,58.5,5,DROP,200 | 403 | 525 | 404
BELEGT_IN,evidence_excerpt,5199,3040,58.5,1908,DROP,Entität: Tragwerkssystem | Wert: Fertigteil-Wand-/Deckensystem | Beziehung zur … | Entität: Reuse-Strategie | Wert: ex-situ Bauteilwiederverwendung | Beziehung zu… | Entität: Verbindung | Wert: Ziegelschicht zum Höhenausgleich; überlappende Fass… | Thema: Lastabtragung | Befund: Wände/Decken/Treppen vermutlich tragend eingeset…
BELEGT_IN,verification_status,5199,2713,52.2,4,DROP,no_text_match | no_url_node | target_page_dead | fetch_error
BELEGT_IN,verification_score,5199,2713,52.2,731,DROP,0.5455 | 0.4545 | 0.6364 | 0.5
BELEGT_IN,verification_method,5199,2713,52.2,2,DROP,none | skipped
BELEGT_IN,verification_attempts,5199,2713,52.2,2,DROP,1 | 2
BELEGT_IN,verification_notes,5199,2713,52.2,1458,DROP,best_fuzz=0.545 best_token=0.000 | best_fuzz=0.455 best_token=0.000 | best_fuzz=0.636 best_token=0.000 | best_fuzz=0.500 best_token=0.000
BELEGT_IN,id,5199,2120,40.8,2120,KEEP,r_p_55_great_suffolk_street_london__BELEGT_IN__q_55_great_suffolk_street_london… | r_bw_55_great_suffolk_street_warehouse__BELEGT_IN__q_55_great_suffolk_street_lo… | r_bw_1_broadgate_london__BELEGT_IN__q_55_great_suffolk_street_london_md | r_bw_cleveland_steel_and_tubes_stock__BELEGT_IN__q_55_great_suffolk_street_lond…
BELEGT_IN,verification_body_md5,5199,1990,38.3,138,DROP,9f0ae4f8e63529a916c00fdd536ad0da | 371cab3b3e207f9c1aa2403896010dfa | 9f5556fc745af255deea2a03c3ea04a7 | 563deeb65ac1def26fdd893a0efebfd8
BELEGT_IN,review_status,5199,1723,33.1,2,DROP,needs_source_url_review | reviewed_legacy_profile_needs_url_fact_check
BELEGT_IN,strict_source_url_cleanup,5199,1424,27.4,1,DROP,mig_strict_source_url_binding_cleanup_2026_05_23
BELEGT_IN,invalid_candidate_source_urls,5199,644,12.4,22,DROP,"[''] | ['https://bimtec', 'https://b', 'https://symmetr'] | ['https://olympiap'] | ['https://projecta', 'https://pr']"
BELEGT_IN,strict_candidate_url_array_cleanup,5199,644,12.4,1,DROP,mig_strict_candidate_url_array_cleanup_2026_05_23
BELEGT_IN,source_scope,5199,523,10.1,4,DROP,actor_registry_project_link | actor_registry | bauteilboerse_legacy_review | actor_registry_external_link
BELEGT_IN,source_url_wayback_snapshot,5199,424,8.2,24,DROP,http://web.archive.org/web/20240425010839/https://www.construction21.org/france… | http://web.archive.org/web/20240416204055/https://www.bellastock.com/projets/la… | http://web.archive.org/web/20230609154546/https://www.le-wip.com/le-reemploi-de… | http://web.archive.org/web/20240425041043/https://www.construction21.org/france…
BELEGT_IN,review_run,5199,136,2.6,1,DROP,2026-05-28_bauteilboersen_integration
BELEGT_IN,archive_source_id,5199,136,2.6,39,DROP,q_research_gebruiktebouwmaterialen_gbm_md | q_research_bauteilladen_winterthur_md | q_research_restado_md | q_research_rotordc_md
BELEGT_IN,evidence_quality,5199,13,0.3,1,DROP,source_binding_not_exact
BELEGT_IN,evidence_note,5199,13,0.3,1,DROP,Former evidence_confidence=belegt was downgraded because source_status is not e…
BELEGT_IN,evidence_cleanup_run,5199,13,0.3,1,DROP,2026-05-28_belegt_confidence_conflict_cleanup
BELEGT_IN,previous_evidence_confidence,5199,13,0.3,1,DROP,belegt
BELEGT_IN,evidence_confidence_status,5199,13,0.3,1,DROP,downgraded_pending_exact_source_url_review
BELEGT_IN,invalid_source_url,5199,8,0.2,1,DROP,
BELEGT_IN,invalid_source_url_node_id,5199,8,0.2,7,DROP,q_association_house_groeditz_s0 | q_association_house_plauen_s0 | q_berlin_schildow_pilot_house_s0 | q_chiro_d_itterbeek_dilbeek_s1
BELEGT_IN,strict_invalid_url_cleanup,5199,8,0.2,1,DROP,mig_strict_invalid_url_cleanup_2026_05_23
BERECHNET_NACH_MODUL,review_status,8,8,100.0,1,DROP,needs_source_url_review
BERECHNET_NACH_MODUL,evidence_source_id,8,8,100.0,1,DROP,r2_b_journal_edge_restore
BERECHNET_NACH_MODUL,evidence_origin,8,8,100.0,1,DROP,source_curated
BERECHNET_NACH_MODUL,evidence_confidence,8,8,100.0,1,KEEP,teilweise_belegt
BERECHNET_NACH_MODUL,evidence_basis,8,8,100.0,1,DROP,cell_citation
BERECHNET_NACH_MODUL,source_resolution_status,8,8,100.0,1,DROP,needs_source_url_review
BERECHNET_NACH_MODUL,source_status,8,8,100.0,1,DROP,missing
BERECHNET_NACH_MODUL,source_status_reason,8,8,100.0,1,DROP,no_exact_url_binding_needs_review
BERECHNET_NACH_MODUL,source_status_migration,8,8,100.0,1,DROP,mig_source_status_normalization_2026_05_28
BETEILIGT_AN,id,561,560,99.8,560,KEEP,r_cbre__BETEILIGT_AN__p_55_great_suffolk_street_london | r_gardiner_and_theobald__BETEILIGT_AN__p_55_great_suffolk_street_london | r_gardiner_and_theobald__BETEILIGT_AN__p_bedzed_london_hackbridge | r_gardiner_and_theobald__BETEILIGT_AN__bg_reuse_stahl_mehrere_55gss_external_co…
BETEILIGT_AN,review_status,561,560,99.8,1,DROP,needs_source_url_review
BETEILIGT_AN,evidence_source_id,561,560,99.8,6,DROP,mig_4_1 | batch2_v2_import_2026-05-20 | batch2_v2_phase18_2026-05-20 | batch2_v2_followup_2026-05-20
BETEILIGT_AN,evidence_origin,561,560,99.8,1,DROP,topology_synthesized
BETEILIGT_AN,evidence_confidence,561,560,99.8,1,KEEP,unklar
BETEILIGT_AN,evidence_basis,561,560,99.8,1,DROP,controlled_vocab
BETEILIGT_AN,derivation_note,561,560,99.8,1,DROP, | r1: derived=>topology_synthesized (catch-all: basis=controlled_vocab)
BETEILIGT_AN,source_resolution_status,561,560,99.8,1,DROP,needs_source_url_review
BETEILIGT_AN,source_status,561,560,99.8,1,DROP,missing
BETEILIGT_AN,source_status_reason,561,560,99.8,1,DROP,no_exact_url_binding_needs_review
BETEILIGT_AN,source_status_migration,561,560,99.8,1,DROP,mig_source_status_normalization_2026_05_28
BETEILIGT_AN,evidence_excerpt,561,108,19.3,2,DROP,INFER | BELEGT
BETRIEBEN_VON,review_status,5,5,100.0,2,DROP,needs_source_url_review | reviewed_legacy_profile_needs_url_fact_check
BETRIEBEN_VON,evidence_source_id,5,5,100.0,4,DROP,mig_1_4 | q_url_74e67b64770f2741ee9cce15ef3ac2ad | q_url_317570e3c4e0c2be5ef74e07e4819409 | q_url_35bf8e4ee16b85a593fea9d14d107bff
BETRIEBEN_VON,evidence_basis,5,5,100.0,2,DROP,name_match | betreiber_section_existing_operator
BETRIEBEN_VON,source_resolution_status,5,4,80.0,2,DROP,needs_source_url_review | needs_exact_claim_source_review
BETRIEBEN_VON,id,5,3,60.0,3,KEEP,r_software_restado__betrieben_von__concular | r_re_store_harvestmap_vienna__betrieben_von__materialnomaden | r_salvoweb__betrieben_von__salvo_ltd
BETRIEBEN_VON,source_scope,5,3,60.0,1,DROP,bauteilboerse_legacy_review
BETRIEBEN_VON,review_run,5,3,60.0,1,DROP,2026-05-28_bauteilboersen_integration
BETRIEBEN_VON,evidence_origin,5,2,40.0,1,DROP,topology_synthesized
BETRIEBEN_VON,evidence_confidence,5,2,40.0,1,KEEP,unklar
BETRIEBEN_VON,derivation_note,5,2,40.0,1,DROP, | r1: derived=>topology_synthesized (catch-all: basis=name_match)
BETRIEBEN_VON,source_status,5,2,40.0,1,DROP,missing
BETRIEBEN_VON,source_status_reason,5,2,40.0,1,DROP,no_exact_url_binding_needs_review
BETRIEBEN_VON,source_status_migration,5,2,40.0,1,DROP,mig_source_status_normalization_2026_05_28
BETRIEBEN_VON,evidence_quality,5,2,40.0,1,DROP,unverified_source_claim
BETRIEBEN_VON,evidence_note,5,2,40.0,1,DROP,Relationship came from reviewed archive profile/direct URL list but exact sourc…
BUILT_IN_ERA,source_status_reason,8,8,100.0,1,DROP,no_exact_url_binding_needs_review
BUILT_IN_ERA,source_status_migration,8,8,100.0,1,DROP,mig_source_status_normalization_2026_05_28
BUILT_IN_ERA,id,8,8,100.0,8,KEEP,r_bw_rws_districtskantoor_terneuzen__BUILT_IN_ERA__era_1990_2000 | r_bw_ka13_existing_building__BUILT_IN_ERA__era_nachkrieg_1945_1970 | r_bw_werkhof_moeoeslistrasse__BUILT_IN_ERA__era_1970_1990 | r_bw_lycee_block_3000__BUILT_IN_ERA__era_1970_1990
BUILT_IN_ERA,review_status,8,8,100.0,1,DROP,needs_source_url_review
BUILT_IN_ERA,evidence_source_id,8,8,100.0,1,DROP,bauwerk.baujahr_property
BUILT_IN_ERA,evidence_origin,8,8,100.0,1,DROP,inferred
BUILT_IN_ERA,evidence_confidence,8,8,100.0,1,KEEP,inferiert
BUILT_IN_ERA,evidence_basis,8,8,100.0,1,DROP,year_inferred
BUILT_IN_ERA,evidence_excerpt,8,8,100.0,8,DROP,Bauwerk Ehemaliges Rijkswatersta… [bw_rws_districtskantoor_terneuzen] hat bauja… | Bauwerk KA13 Bestandsgebäude… [bw_ka13_existing_building] hat baujahr=1950; dar… | Bauwerk Werkhof Mööslistrasse [bw_werkhof_moeoeslistrasse] hat baujahr=1978; da… | Bauwerk Lycée Lucius B3000 [bw_lycee_block_3000] hat baujahr=1973; daraus infer…
BUILT_IN_ERA,derivation_note,8,8,100.0,1,DROP,curated->inferred + belegt->inferiert via mig_repair_4_1 (year-derived era assi…
BUILT_IN_ERA,source_resolution_status,8,8,100.0,1,DROP,needs_source_url_review
BUILT_IN_ERA,source_status,8,8,100.0,1,DROP,missing
ERHALT_FOERDERUNG_DURCH,id,3,3,100.0,3,KEEP,r_p_jugendtreff_ingersheim__ERHALT_FOERDERUNG_DURCH__prog_holzbau_offensive_bw | r_p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere__ERHALT_FOERDERUNG_DURCH… | r_p_superlocal_expogebouw_bleijerheide__ERHALT_FOERDERUNG_DURCH__prog_urban_inn…
ERHALT_FOERDERUNG_DURCH,review_status,3,3,100.0,1,DROP,needs_source_url_review
ERHALT_FOERDERUNG_DURCH,evidence_source_id,3,3,100.0,3,DROP,batch2_v2_import_2026-05-20 | ReCreate Finnish mini-pilot under Horizon 2020 (€12.5m); see prog_recreate as t… | SUPERLOCAL pilot funded by UIA per UIA journal Kerkrade SuperCircular Estate re…
ERHALT_FOERDERUNG_DURCH,evidence_origin,3,3,100.0,1,DROP,topology_synthesized
ERHALT_FOERDERUNG_DURCH,evidence_confidence,3,3,100.0,1,KEEP,unklar
ERHALT_FOERDERUNG_DURCH,evidence_basis,3,3,100.0,1,DROP,legacy_migration
ERHALT_FOERDERUNG_DURCH,derivation_note,3,3,100.0,1,DROP, | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration)
ERHALT_FOERDERUNG_DURCH,source_resolution_status,3,3,100.0,1,DROP,needs_source_url_review
ERHALT_FOERDERUNG_DURCH,source_status,3,3,100.0,1,DROP,missing
ERHALT_FOERDERUNG_DURCH,source_status_reason,3,3,100.0,1,DROP,no_exact_url_binding_needs_review
ERHALT_FOERDERUNG_DURCH,source_status_migration,3,3,100.0,1,DROP,mig_source_status_normalization_2026_05_28
ERHALT_FOERDERUNG_DURCH,evidence_excerpt,3,2,66.7,1,DROP,BELEGT
FROM_DONOR,id,284,284,100.0,284,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_expos… | r_bg_reuse_keramik_boden_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_exposit… | r_bg_reuse_naturstein_wand_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_expos… | r_bg_reuse_stahl_mehrere_55gss_external_core__AUS_BAUWERK__bw_1_broadgate_london
FROM_DONOR,review_status,284,284,100.0,1,DROP,needs_source_url_review
FROM_DONOR,evidence_source_id,284,284,100.0,4,DROP,archive:Verbiest_Karreveld_Brussels.md (replicated from pre-split BG) | mig_4_1 | batch2_v2_import_2026-05-20 | batch2_v2_followup_2026-05-20
FROM_DONOR,evidence_origin,284,284,100.0,1,DROP,topology_synthesized
FROM_DONOR,evidence_confidence,284,284,100.0,1,KEEP,unklar
FROM_DONOR,evidence_basis,284,284,100.0,1,DROP,controlled_vocab
FROM_DONOR,derivation_note,284,284,100.0,1,DROP, | r1: derived=>topology_synthesized (catch-all: basis=controlled_vocab)
FROM_DONOR,source_resolution_status,284,284,100.0,1,DROP,needs_source_url_review
FROM_DONOR,source_status,284,284,100.0,1,DROP,missing
FROM_DONOR,source_status_reason,284,284,100.0,1,DROP,no_exact_url_binding_needs_review
FROM_DONOR,source_status_migration,284,284,100.0,1,DROP,mig_source_status_normalization_2026_05_28
FROM_DONOR,evidence_excerpt,284,4,1.4,1,DROP,BELEGT
GEHÖRT_ZU,id,250,250,100.0,250,KEEP,r_mario_monotti__GEHÖRT_ZU__monotti_ingegneri | r_roger_keller__GEHÖRT_ZU__usus_la | r_ana_olalquiaga__GEHÖRT_ZU__parabase | r_stefan_perez__GEHÖRT_ZU__perez_schmidlin_bauingenieure
GEHÖRT_ZU,review_status,250,250,100.0,2,DROP,needs_source_url_review | reviewed_legacy_profile_needs_url_fact_check
GEHÖRT_ZU,evidence_source_id,250,250,100.0,3,DROP,batch2_v2_followup_2026-05-20 | mig_4_1 | q_url_74e67b64770f2741ee9cce15ef3ac2ad
GEHÖRT_ZU,evidence_basis,250,250,100.0,3,DROP,legacy_migration | controlled_vocab | land_region_section
GEHÖRT_ZU,evidence_origin,250,249,99.6,1,DROP,topology_synthesized
GEHÖRT_ZU,evidence_confidence,250,249,99.6,1,KEEP,unklar
GEHÖRT_ZU,derivation_note,250,249,99.6,2,DROP, | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration) |  | r1: derived=>topology_synthesized (catch-all: basis=controlled_vocab)
GEHÖRT_ZU,source_resolution_status,250,249,99.6,1,DROP,needs_source_url_review
GEHÖRT_ZU,source_status,250,249,99.6,1,DROP,missing
GEHÖRT_ZU,source_status_reason,250,249,99.6,1,DROP,no_exact_url_binding_needs_review
GEHÖRT_ZU,source_status_migration,250,249,99.6,1,DROP,mig_source_status_normalization_2026_05_28
GEHÖRT_ZU,source_scope,250,210,84.0,3,DROP,actor_registry_context | bauteilboerse_legacy_review | actor_registry
GEHÖRT_ZU,rolle,250,209,83.6,1,KEEP,land
GEHÖRT_ZU,evidence_excerpt,250,40,16.0,1,DROP,BELEGT
GEHÖRT_ZU,review_run,250,1,0.4,1,DROP,2026-05-28_bauteilboersen_integration
GILT_IN_LAND,review_status,172,172,100.0,2,DROP,needs_source_url_review | reviewed
GILT_IN_LAND,evidence_source_id,172,172,100.0,23,DROP,"UK historical steel sections reference book | Eurocode, EU-wide | scope_audit_2026_05_31 | Eurocode also applies in EEA states (Norway)"
GILT_IN_LAND,evidence_origin,172,172,100.0,2,DROP,topology_synthesized | source_curated
GILT_IN_LAND,evidence_confidence,172,172,100.0,2,KEEP,unklar | belegt
GILT_IN_LAND,evidence_basis,172,172,100.0,3,DROP,legacy_migration | official_web_audit | cell_citation
GILT_IN_LAND,source_resolution_status,172,172,100.0,2,DROP,needs_source_url_review | reviewed
GILT_IN_LAND,id,172,170,98.8,170,KEEP,r_norm_historic_sections_book__GILT_IN_LAND__land_vereinigtes_koenigreich | norm_en_1992__GILT_IN_LAND__land_portugal | norm_en_1992__GILT_IN_LAND__land_italien | norm_en_1992__GILT_IN_LAND__land_deutschland
GILT_IN_LAND,derivation_note,172,170,98.8,7,DROP, | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration) |  | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration) | expa… |  | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration) | expa… |  | r1: derived=>topology_synthesized (catch-all: basis=legacy_migration) | expa…
GILT_IN_LAND,source_status,172,160,93.0,1,DROP,missing
GILT_IN_LAND,source_status_reason,172,160,93.0,1,DROP,no_exact_url_binding_needs_review
GILT_IN_LAND,source_status_migration,172,160,93.0,1,DROP,mig_source_status_normalization_2026_05_28
GILT_IN_LAND,evidence_excerpt,172,148,86.0,2,DROP,BELEGT | INFER
GILT_IN_LAND,evidence_quality,172,2,1.2,1,DROP,source_binding_not_exact
GILT_IN_LAND,evidence_note,172,2,1.2,1,DROP,Former evidence_confidence=belegt was downgraded because source_status is not e…
GILT_IN_LAND,evidence_cleanup_run,172,2,1.2,1,DROP,2026-05-28_belegt_confidence_conflict_cleanup
GILT_IN_LAND,previous_evidence_confidence,172,2,1.2,1,DROP,belegt
GILT_IN_LAND,evidence_confidence_status,172,2,1.2,1,DROP,downgraded_pending_exact_source_url_review
HAS_BAUWERK,review_status,183,183,100.0,1,DROP,needs_source_url_review
HAS_BAUWERK,evidence_source_id,183,183,100.0,1,DROP,r3_a_topology
HAS_BAUWERK,evidence_origin,183,183,100.0,1,DROP,topology_synthesized
HAS_BAUWERK,evidence_confidence,183,183,100.0,1,KEEP,teilweise_belegt
HAS_BAUWERK,evidence_basis,183,183,100.0,1,DROP,derived_from_bg_topology
HAS_BAUWERK,derivation_note,183,183,100.0,2,DROP,Aggregated from (p)-[:HAT_BAUTEILGRUPPE]->(bg)-[:INTO_RECEIVER]->(b). | Aggregated from (p)-[:HAT_BAUTEILGRUPPE]->(bg)-[:FROM_DONOR]->(b).
HAS_BAUWERK,role,183,183,100.0,2,KEEP,receiver | donor
HAS_BAUWERK,source_resolution_status,183,183,100.0,1,DROP,needs_source_url_review
HAS_BAUWERK,source_status,183,183,100.0,1,DROP,missing
HAS_BAUWERK,source_status_reason,183,183,100.0,1,DROP,no_exact_url_binding_needs_review
HAS_BAUWERK,source_status_migration,183,183,100.0,1,DROP,mig_source_status_normalization_2026_05_28
HAS_RISK_POLLUTANT,id,795,795,100.0,795,KEEP,r_p_bedzed_london_hackbridge__HAS_RISK_POLLUTANT__s_formaldehyd__documented | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAS_RISK_POLLUTANT__s_schwermeta… | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAS_RISK_POLLUTANT__s_bleifarbe_… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAS_RISK_POLLUTANT__s_schwermetall…
HAS_RISK_POLLUTANT,review_status,795,795,100.0,1,DROP,needs_source_url_review
HAS_RISK_POLLUTANT,evidence_source_id,795,795,100.0,3,DROP,q_schadstoff_reuse_knowledge_graph_research_md | mig_4_1 | batch2_v2_followup_2026-05-20
HAS_RISK_POLLUTANT,evidence_origin,795,795,100.0,3,DROP,source_curated | inferred | topology_synthesized
HAS_RISK_POLLUTANT,evidence_confidence,795,795,100.0,2,KEEP,unklar | inferiert
HAS_RISK_POLLUTANT,evidence_basis,795,795,100.0,3,DROP,documented | material_only | era_and_material
HAS_RISK_POLLUTANT,source_resolution_status,795,795,100.0,1,DROP,needs_source_url_review
HAS_RISK_POLLUTANT,source_status,795,795,100.0,1,DROP,missing
HAS_RISK_POLLUTANT,source_status_reason,795,795,100.0,1,DROP,no_exact_url_binding_needs_review
HAS_RISK_POLLUTANT,source_status_migration,795,795,100.0,1,DROP,mig_source_status_normalization_2026_05_28
HAS_RISK_POLLUTANT,derivation_note,795,10,1.3,2,DROP, | r1: curated→source_curated (default reclassification) |  | r1: derived=>topology_synthesized (catch-all: basis=documented)
HAS_RISK_POLLUTANT,evidence_excerpt,795,9,1.1,2,DROP,"| `s_formaldehyd` | Formaldehyde | MDF, particleboard, chipboard, OSB/plywood, … | BELEGT"
HAS_RISK_POLLUTANT,source_scope,795,4,0.5,1,DROP,research_file_row
HAS_RISK_POLLUTANT,verification_status,795,4,0.5,1,DROP,no_url_node
HAS_RISK_POLLUTANT,verification_score,795,4,0.5,1,DROP,0.0
HAS_RISK_POLLUTANT,verification_method,795,4,0.5,1,DROP,skipped
HAS_RISK_POLLUTANT,verification_attempts,795,4,0.5,1,DROP,1
HAS_RISK_POLLUTANT,verification_notes,795,4,0.5,1,DROP,No ExternalLink reachable from this citation
HAS_RISK_POLLUTANT,evidence_quality,795,4,0.5,1,DROP,source_binding_not_exact
HAS_RISK_POLLUTANT,evidence_note,795,4,0.5,1,DROP,Former evidence_confidence=belegt was downgraded because source_status is not e…
HAS_RISK_POLLUTANT,evidence_cleanup_run,795,4,0.5,1,DROP,2026-05-28_belegt_confidence_conflict_cleanup
HAS_RISK_POLLUTANT,previous_evidence_confidence,795,4,0.5,1,DROP,belegt
HAS_RISK_POLLUTANT,evidence_confidence_status,795,4,0.5,1,DROP,downgraded_pending_exact_source_url_review
HAS_SOURCE_LINK,evidence_source_id,20,20,100.0,20,DROP,rr_gb_stahl | rr_be_stahl | rr_de_stahl | rr_nl_stahl
HAS_SOURCE_LINK,evidence_origin,20,20,100.0,1,DROP,source_curated
HAS_SOURCE_LINK,evidence_confidence,20,20,100.0,1,KEEP,belegt
HAS_SOURCE_LINK,evidence_basis,20,20,100.0,1,DROP,node_property_extraction
HAS_SOURCE_LINK,source_url,20,20,100.0,17,DROP,https://standards.iteh.ai/catalog/standards/cen/31a1835a-d97d-4bf7-8319-62d7660… | https://www.fir-recycling.com/wp-content/uploads/2023/02/FPRGErkenning_Tracimat… | https://www.dibt.de/en/service/faqs/the-german-regulatory-system-for-constructi… | https://www.government.nl/themes/building-and-housing/construction-products/ce-…
HAS_SOURCE_LINK,property_name,20,20,100.0,1,KEEP,source_url
