cluster_label,n_files,n_raw_values,raw_values
bis,3,3,120 Stahlträger bis 18 m (n=1); nahezu/bis 80 % Wiederverwendung (n=1); bis 88 % CO₂-Reduktion gegenüber Neubau (n=1)
carbon,3,4,248 kg CO₂-eq/m² embodied carbon (n=1); ca. 40 % Reduktion embodied carbon (n=1); 75.4 % embodied carbon reduction (n=1); 30–50% embodied-carbon reduction (n=1)
embodied,3,4,248 kg CO₂-eq/m² embodied carbon (n=1); ca. 40 % Reduktion embodied carbon (n=1); 75.4 % embodied carbon reduction (n=1); 30–50% embodied-carbon reduction (n=1)
eur,3,3,ca. 250 m² Nutzfläche; ca. 300.000 EUR Herstellungskosten; 2008 Fertigstellung (n=1); 6.500.000 EUR ohne MwSt (n=1); Karreveld 6.000.000 EUR exkl. MwSt. (n=1)
gegenueber,3,3,−71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative (n=1); bis 88 % CO₂-Reduktion gegenüber Neubau (n=1); 70 % CO₂-Einsparung gegenüber aktuellem Baustandard (n=1)
material,3,3,"17.000 t Material, 12.000 t Beton, 3.500 t CO₂, 92 % Reuse (n=1); 72,24 t Reuse-Material (n=1); 95 % wiederverwendete Materialien; Maurer United nennt 100 % Material aus Abriss (n=1)"
recycled,3,4,"ca. 70 % reused/recycled/upcycled im Innenausbau (n=1); ca. 70 % recycled or sustainable (n=1); 80 % sustainable/recycled/upcycled (n=1); 92 % reused/donated, 7 % recycled (n=1)"
salvaged,3,3,161 tons salvaged structural steel from hospital (n=1); 139 t salvaged steel (n=1); ca. 60 % salvaged materials (n=1)
unbekannt,3,2,"unbekannt (n=2); BREEAM / Energiekennwerte publiziert, Direct-Reuse-Mengen unbekannt (n=1)"
ziegel,3,4,205 m² wiederverwendete Ziegel (n=1); 3.000 Ziegel / 36 m² Fassade (n=1); 30.000 Ziegel / 8 Quellen (n=1); 25 % Anteil Reuse-Ziegel (n=1)
_unclustered,47,82,"ca. 50 t CO₂ (n=1); 386 kgCO₂e/m² A1-A5 (n=1); 438 dokumentierte Betonfertigteile; 2,5 km; 2007 (n=1); 189 Fertigteile; ca. 7 km Distanz; 2007; gebaut (n=1); 13,32 t CO₂e / 82 % (n=1); 95,6 % c2c-inspiriert oder ReUse (n=1); 250 m² / 200 m² (n=1); 2.335 m² site area; 2.936 m² constructed area (n=1); 300 tons / 600,000+ lb (n=1); 4,000 / 4,027 / 4,300 sq ft (n=1); $645,000 excl. land / $175/sf / $150/sf (n=1); 6.200 m² / 7.000 m² (n=1); 1.300 m² (n=1); 100 Arbeitsplätze (n=1); 28.300 / 28.370 sq ft (n=1); 89 members (n=1); 60.8 million pounds diverted from landfill (n=1); 75 % diversion requirement (n=1); 66 t / 99.2 t CO₂e saving (n=1); >85 % Abfallmaterial (n=1); EPC A (n=1); ca. 1,000 m² (n=1); Wiederaufbau August 2001 (n=1); 550 Boden- und 350 Fassadenelemente (n=1); 7.400 m² / über 8.000 m² (n=1); 70 m² (n=1); 7.000 t CO₂e durch Erhalt der Tragstruktur (n=1); 81.777 m² Bruttogeschossfläche (n=1); 3.750 Fenster; 374 LED light tubes; 636 solar panels (n=1); 2.300 m² / 1.000 m² gebaut (n=1); 830 m² SDP + 1.466 m² nicht spezifiziert (n=1); 190 m² (n=1); Fläche ca. 3.700 m² / 3.080 m² / 3.000 m² (n=1); 2.600 m² (n=1); 8 Büro-/Gewerbeeinheiten, 70–110 m² je Einheit (n=1); ca. 190 t wiederverwendete Elemente (n=1); ca. 75 % Wiederverwendungsgrad Rohbau-Substanz; ca. 25 % Kosteneinsparung (n=1); 16 t / 20 t / 40 t / up to 100 t (n=1); 48 t CO₂ (n=1); 14 % Wiederverwendungsrate nach Gewicht (n=1); 41 % Wiederverwendungsrate nach Volumen (n=1); ca. 500 t Primärmaterial eingespart (n=1); Gesamtfläche 4.297 m² (n=1); 70 % Treibhausgasreduktion (n=1); ca. 160 m² HCS, 21 Elemente (n=1); 5.557 m² (n=1); 700 Fenster (n=1); 45 Sortierkategorien / teils 44 in offizieller Beschreibung (n=1); 2,6 → 1,9 kg CO₂e/m²a (n=1); 1,9 Mio. CHF Objektkredit (n=1); 2.700 m² (n=1); 79 % weniger Abbruchabfall (n=1); 260 m² (n=1); ca. 350 m² / fast 400 m² (n=1); ca. 1.508 m² (n=1); 1.534 m² (n=1); 10 educational groups + BSO (n=1); 44.200 / 45.000 / 45.800 m² (n=1); 250 m² (n=1); 100 % borrowed (n=1); 175.78 t CO₂ diverted from landfill (n=1); 160 m² Wohnfläche (n=1); 90 % Fassadenmaterial wiederverwendet (n=1); 42 % Altmaterial im Recyclingbeton (n=1); ca. 100 t CO₂ gebunden (n=1); 20 wiederverwendete Bögen (n=1); 5.000 m² built surface (n=1); 8,11 Mio. € excl. VAT; 728.000 € für die Halle (n=1); 12,67 % Reuse-Anteil (n=1); CO₂-/Materialeinsparungen publiziert, aber hier nicht gesichert (n=1); ca. 87.000–88.700 kWh/a PV-Ertrag (n=1); 1.436 m² (n=1); 1.270 m² (n=1); 6.278 t Materialeinsparung / 178 t CO₂ (n=1); 80 m² Vertical Farming Greenhouse (n=1); 95 % Materialwiederverwendung (n=1); 90 % Abfallreduktion (n=1); 130.096 kg CO₂e footprint / 170.534 kg waste saved (n=1); 914.000 kg waste saved (n=1); Verbiest 610 m² (n=1); 700.000 € vermiedene zukünftige Umweltschäden (n=1); 94 % Gebäudemasse erhalten (n=1)"
