cluster_label,n_files,n_raw_values,raw_values
als,4,4,"Türen, Bordsteine, Natursteinplatten, Gerüstrohre als Geländer/Balustraden (n=1); Stahl-U-Profile als Außenstürze (n=1); 38 Fertigbetonelemente als Rinnen (n=1); großer Stahlträger als Empfangstresen (n=1)"
betonbloecke,4,4,"Betonblöcke (n=1); Betonblöcke, Holz, Sperrholz (n=1); Bitumen-/Betonblöcke (n=1); 25 Betonblöcke aus Ortbeton-Kellerwänden (n=1)"
fensterrahmen,4,4,"Red-cedar-Fensterrahmen / geerntete Fensterrahmen (n=1); Außenkozijnen / Fensterrahmen (n=1); Aluminiumrohre, Heizkörper, Plattenmaterial, Fensterrahmen, Haustüren, Geländer, Brüstungen, Küche (n=1); 5 Fensterrahmen (n=1)"
innenwaende,4,4,"145 Decken-/Bodenplatten, 19 Außenwandelemente, 14 Innenwände, 11 Kellerwände (n=1); Innenwände / Trennwände (n=1); Innenwände / Holzfußboden-Bauteile / Dämmmaterialien (n=1); modulare Innenwände Karreveld (n=1)"
leuchten,4,4,Leuchten von ROTOR (n=1); Leuchten (n=1); vier große Leuchten (n=1); abgehängte Decke + Leuchten Karreveld (n=1)
radiatoren,4,2,Radiatoren (n=3); Heizkörper / Radiatoren (n=1)
stuetzen,4,4,Stahltragwerk / neun kreuzförmige Stützen (n=1); wiederverwendete Stahlträger/-stützen (n=1); Stahlträger / Stützen / Profilbleche Verbunddecken (n=1); Stahlträger / Stützen (n=1)
aluminium,3,3,Aluminium-Trapezblech (n=1); salvaged Aluminium-Fassadenplatten (n=1); Aluminium-Fassadensystem (n=1)
bodenplatten,3,3,"145 Decken-/Bodenplatten, 19 Außenwandelemente, 14 Innenwände, 11 Kellerwände (n=1); glulamST-Tragwerksrahmen; CLST-Wand- und Bodenplatten (n=1); Sanitärobjekte, Vorhangfassadenelemente, Blech/Glas, Türen, Bodenplatten (n=1)"
core,3,3,Hohlkörperdecken / hollow-core slabs (n=1); 27 Hohlkörperdecken / hollow-core slabs (n=1); reused hollow core slabs (n=1)
fliesen,3,4,"Fliesen/Fayence (n=1); Sanitär, Türen, Beläge, Fliesen, Holz, feste Ausstattung (n=1); Geländer, Fliesen, Steine Verbiest (n=1); dekorative Fliesen Verbiest (n=1)"
glas,3,3,"Marmor-Glas-Hülle (n=1); Sanitärobjekte, Vorhangfassadenelemente, Blech/Glas, Türen, Bodenplatten (n=1); Glas-PV-Module (n=1)"
hollow,3,3,Hohlkörperdecken / hollow-core slabs (n=1); 27 Hohlkörperdecken / hollow-core slabs (n=1); reused hollow core slabs (n=1)
sanitaerobjekte,3,3,"Sanitärobjekte / Toiletten / Waschbecken (n=1); Sanitärobjekte, Vorhangfassadenelemente, Blech/Glas, Türen, Bodenplatten (n=1); Sanitärobjekte (n=1)"
slabs,3,3,Hohlkörperdecken / hollow-core slabs (n=1); 27 Hohlkörperdecken / hollow-core slabs (n=1); reused hollow core slabs (n=1)
steel,3,4,89 salvaged wide-flange steel members (n=1); Reclaimed tubular steel columns (n=1); 1930s steel beams (n=1); Steel columns lower floors 318 Oxford Street (n=1)
toiletten,3,3,"Sanitärobjekte / Toiletten / Waschbecken (n=1); Sanitärapparate / Lavabos / Toiletten (n=1); bestehende Treppen, Toiletten, technische Schächte Karreveld (n=1)"
treppen,3,3,"58 Stahlbeton-Wand- und Deckenelemente; nach PRECS: 28 Wände, 23 Decken, 7 Treppen (n=1); bestehende Treppen, Toiletten, technische Schächte Karreveld (n=1); 2 Stahl-Treppen (n=1)"
wand,3,3,"glulamST-Tragwerksrahmen; CLST-Wand- und Bodenplatten (n=1); 58 Stahlbeton-Wand- und Deckenelemente; nach PRECS: 28 Wände, 23 Decken, 7 Treppen (n=1); 13 WBS70-Betonfertigteile, v. a. Wand- und Deckenelemente (n=1)"
_unclustered,55,132,"Wiederverwendete Stahlprofile (n=1); 279 Betonfertigteile + 159 WBS70-Paneele (n=1); WC-Trennwände (n=1); Kabeltrassen (n=1); Wandverkleidung aus alten Holzstühlen (n=1); Wiederverwendeter Baustahl (n=1); Holzständer / softwood walling studs (n=1); Betonfertigteil-Paneele (n=1); Infrastrukturträger, Boxbeams, temporäre Straßen-/Rampenteile, Fassaden-/Strukturelemente (n=1); Beton-Inverset panels (n=1); Ramps, piers, roadway components (n=1); Pflaster / Naturstein / Bodenmaterial (n=1); Teppichfliesen (n=1); Vinylbanner (n=1); 26 Wandplatten (n=1); 50 Deckenplatten (n=1); wiederverwendete Bodenpflaster / Bruseleye tiles (n=1); Fassadenziegel (n=1); Dachziegel (n=1); Außentüren und Holzfenster (n=1); Boden- und Wandfliesen (n=1); Glasfassade / Kreuzgang / Vitrinen (n=1); prefab gevelelementen / Fassadenelemente (n=1); 180 Holztüren (n=1); Stein-/Mineralwolle (n=1); Holzstruktur (n=1); ehemalige Ausstellungspaneele (n=1); Terrassen-Caillebotis (n=1); 50 Holzstühle (n=1); Stahlpfetten/-träger aus dem Hallendach (n=1); ca. 1.000 m² neue Fassade in Holzrahmenbauweise (n=1); Steinwolledämmung aus Restposten / Abfallprodukten (n=1); Gitterroste/Brüstungsgitter, ehemaliges Garagentor (n=1); 3.750 restaurierte Holzfensterrahmen (n=1); Holzfensterrahmen (n=1); Granitbordsteine (n=1); gekrümmte Außenmauer / Schale (n=1); mineralische Dämmung / Steinwolle (n=1); Holzpfetten / Holzstücke (n=1); blaue Stahlblechfassade (n=1); große Außentreppe (n=1); Sanitärapparate (n=1); Dämmplatten (n=1); tropische Hartholz-Deckbohlen (n=1); schwarze MDF-Platten (n=1); Holzlatten aus Tischlereiresten (n=1); Filzpaneele (n=1); Holzgalerie (n=1); Fassadenbekleidung / Holzfassade (n=1); HSB-binnenbladen (n=1); Holzträger / houten balken (n=1); Azobé-hardwood shingles (n=1); Innentüren / Hang- und Schließwerk (n=1); Holzfußböden (n=1); Straßenklinker (n=1); Armaturen / Beleuchtung / Installationen (n=1); Stahlstruktur der ehemaligen Recyclinghalle Hagenholz (n=1); Betonplatten aus dem Kerenzerbergtunnel (n=1); externe Stahltreppe (n=1); Metallblech / Profilblech / Fassadenblech (n=1); EPS-Dämmung (n=1); Naturstein-/Granitplatten (n=1); Klinker / Backstein (n=1); Fassadenbekleidung (n=1); alte Shoji-Schirme und Glastüren (n=1); Außentreppe (n=1); Vordach / Pergola / Holzstützen (n=1); Stahlkonstruktion für Außenraumbeschattung (n=1); Brandschutztüren (n=1); Akustikelemente (n=1); gebrauchte Küche (n=1); 11,8 t Stahlprofile (n=1); 61 m² Blech (n=1); Stahlfassadenpaneele (n=1); 419 m² Gips-Akustikpaneele + 12 Metallpaneele/4,3 m² (n=1); 135 m² Straßenpflasterplatten (n=1); wiederverwendete Ziegelmauern (n=1); innerer Holzrahmen (n=1); Wandfliesen aus Solvay-Gebäude (n=1); Terrakotta-Bodenfliesen (n=1); Blausteinplatten (n=1); Sanitärausstattung (n=1); 22 Wandplatten, 27 Deckenplatten (n=1); Blaustein-Fassadenblöcke/-platten (n=1); Granitplatten, Natursteinplatten (n=1); Aluminiumprofile (n=1); Aufzugsmotoren (n=1); Betonpfähle / concrete beams (n=1); Holzträger (n=1); Fassadenelemente (n=1); Glasdach (n=1); Pretty Plastic shingles (n=1); Fertigbetonteile aus Olympischem Dorf München und PH12-Punkthochhaus Frankfurt/Oder (n=1); Treppenelemente (n=1); Terrazzo-Arbeitsflächen / Oberflächen (n=1); Materialbibliothek / Küchenoberflächen (n=1); Möbel / Sofas / Tische (n=1); Aluminiumfenster (n=1); Faserzement-/Eternitplatten (n=1); Profilbauglas (n=1); Wellblech (n=1); Saunabänke / Holzleisten (n=1); Abbruchziegel (n=1); historische Bauernhaustür (n=1); Messebauplatten (n=1); Brettschichtholzbögen / glulam arches (n=1); neue Brettschichtholzbögen (n=1); Holzfenster einfachverglast (n=1); Holzfenster doppeltverglast (n=1); Ziegelfassadenmodule / Mauerwerksausschnitte (n=1); Bestandsfundamente / erste Geschosse (n=1); Drill-Stem-Pipe / Schedule-40-Rohre (n=1); perforierte Wellstahlpaneele (n=1); drei Wohnungsteile / Betonunits (n=1); Dachziegel / roof tiles / vingetegl (n=1); Stahlfassadenelemente / façade panels (n=1); Beton (n=1); Lampen / Fahrradständer / Uhr / Observatoriumskuppel (n=1); Rauchglas-Fassadenpaneele Knoopkazerne (n=1); Pflasterklinker aus alter Kade in Tiel (n=1); Fassaden-/Ziegelmaterial (n=1); Kunststofffenster (n=1); bestehende Struktur Print Building (n=1); Windturbinenflügel (n=1); reclaimed timber flooring / Gellerup floors (n=1); wiederverwendete Troldtekt-Akustikplatten (n=1); Double-glazed windows (n=1); discarded floorboards / Dinesen offcuts (n=1); Dach- und Terrassenfliesen Verbiest (n=1); Bau-/Montagelift, später Innenlift (n=1); 450 m² Steinwolle-Dämmplatten (n=1); kompletter Lüftungsverbund (n=1)"
