anchor_id,materials_belegt,materials_wahrscheinlich,materials_unsicher,bauteiltypen_belegt,bauteiltypen_wahrscheinlich,bauteiltypen_unsicher,pair_count,source_count,needs_review,primary_sources
loopfront,,,mat_holz,bt_ausbau,bt_mehrere,,0,4,True,https://www.loopfront.com/ | https://www.loopfront.com/product | https://businessnorway.com/solutions/loopfront-digital-platform-makes-reuse-simple | https://ukgbc.org/resources/digital-reuse-platform/
material_index,mat_holz; mat_stahl; mat_ziegel,mat_naturstein,,bt_ausbau; bt_boden; bt_technik; bt_traeger; bt_tuer; bt_wand,,,0,5,True,https://material-index.co.uk/ | https://material-index.exchange/edits | https://www.material-index.co.uk/materials/material-specification | https://asbp.org.uk/member/material-index | https://material-index.exchange/terms-and-conditions
material_reuse_portal,,,,,,,0,4,True,https://materialreuseportal.com/ | https://materialreuseportal.com/About | https://relondon.gov.uk/built-environment | https://ukgbc.org/resources/aggregated-material-reuse-marketplace/
materialenbank_leuven_atelier_circuler,mat_keramik; mat_naturstein; mat_stahl,mat_holz,,bt_ausbau; bt_dach; bt_traeger,bt_daemmung; bt_wand,bt_technik,0,6,True,https://ateliercirculer.be/materialenbank/ | https://ateliercirculer.be/ | https://ateliercirculer.be/materialenbank/catalogus | https://www.vvsg.be/kennis/praktijken/praktijkendatabank/materialenbank-leuven | https://pers.leuven.be/de-leuvense-materialenbank-redt-470-ton-materialen-in-2025-recordjaar-voor-circulaire-economie | https://ecobouwers.be/bouwpartner/aterlier-circuler-materialenbank-leuven
materialrest24,,,mat_holz; mat_keramik; mat_stahl,,,bt_ausbau; bt_dach; bt_mehrere; bt_technik; bt_wand,0,4,True,https://www.handwerk-magazin.de/materialrest24de-restbestaende-clever-verwerten-183318/ | https://nachhaltiges-handwerk.de/gute-beispiele/materialrest24 | https://www.instagram.com/materialrest24.de/ | https://www.vhv.de/firmen/magazin/2021/01_2021/materialrest24
new_horizon,,,,,,,0,5,True,https://www.superuse-studios.com/publication/oogstkaart-nl-adopted-by-new-horizon/ | https://www.superuse-studios.com/publication/harvest-collect-re-use/ | https://knowledge-hub.circle-economy.com/article/4067 | https://www.jajo.com/en/companies/new-horizon/ | https://circle-economy.com/knowledge-hub/article/30046
r_place,mat_beton; mat_holz; mat_naturstein; mat_stahl,mat_keramik,,bt_ausbau; bt_boden; bt_dach; bt_fenster; bt_technik; bt_traeger; bt_tuer,,,0,3,True,https://r-place.fr/ | https://www.cycl-op.org/initiative/h/r-place-plateforme-b2b-du-reemploi-des-materiaux-de-construction.html | https://www.envirobat-oc.fr/R-Place
raedificare,,,,,,bt_mehrere,0,4,True,https://raedificare.com/marketplace/ | https://raedificare.com/ | https://www.climate-chance.org/bonne-pratique/plateforme-raedificare/ | https://raedificare.com/marqueblanche/
re_store_harvestmap_vienna,,,mat_holz,,,bt_ausbau,0,5,True,https://www.restore.or.at/ | https://www.restore.or.at/impressum/ | https://www.materialnomaden.at/about/ | https://www.materialnomaden.at/ | https://www.vis-a-wien.at/materialnomaden/
reempro,,mat_keramik,,bt_ausbau; bt_boden; bt_dach; bt_technik,bt_wand,,0,5,True,https://www.reempro.com/marketplace/ | https://www.reempro.com/marketplace-reempro/ | https://www.reempro.com/on-parle-de-nous-sur-france-3/ | https://marketplace.skop.app/market-place-reempro | https://www.naturamater.eu/reempro
resource_marktplaats,,,,,,bt_mehrere,0,2,True,https://play.google.com/store/apps/details?id=com.pss.resource | https://apps.apple.com/nl/app/resource-marktplaats/id6743317802
reuse_and_trade,,mat_stahl,mat_glas,,bt_ausbau; bt_technik,bt_dach,0,3,True,https://www.reuseandtrade.de/ | https://www.reuseandtrade.de/artikeluebersicht/Schnaeppchen-fuer-Privatkunden.aspx | https://www.facebook.com/ReUseandTrade/
rotordc,mat_glas; mat_holz; mat_keramik,mat_naturstein,,bt_ausbau; bt_boden; bt_fenster; bt_technik; bt_tuer,,,3,7,True,https://rotordc.com/ | https://rotordc.com/service/depositsale | https://rotordc.com/shop | https://rotordc.com/about-us | https://rotordc.com/blog/salvaging-by-rotordc-3 | https://rotordc.com/shop/category/per-building-43/page/2
salvoweb,mat_naturstein; mat_ziegel,,mat_holz,bt_ausbau; bt_boden,bt_wand,,0,5,True,https://www.salvoweb.com/ | https://www.salvoweb.com/antique-reclaimed | https://www.thehousedirectory.com/salvo-truly-reclaimed-sustainability/ | https://www.salvoweb.com/antique-reclaimed/category/timber/location/all | https://www.salvoweb.com/antique-reclaimed/category/all/location/germany/region/all
salza,,mat_holz; mat_stahl,,,bt_boden; bt_fenster; bt_gelaender; bt_technik; bt_traeger; bt_treppe; bt_tuer,bt_mehrere,0,4,True,https://salza.ch/ | https://salza.ch/bauteil-plattform | https://salza.ch/how-it-works | https://www.ecobau.ch/de/instrumente/ecobkp
skop_marketplace,mat_daemmstoff; mat_holz,mat_keramik,mat_stahl,bt_ausbau; bt_boden; bt_daemmung; bt_technik,bt_tuer,,3,5,True,https://marketplace.skop.app/ | https://www.skop.app/marketplace-materiaux-reemploi | https://www.francenum.gouv.fr/activateurs/skop | https://marketplace.skop.app/categories | https://marketplace.skop.app/categories/materiaux
software_restado,mat_beton; mat_holz; mat_naturstein; mat_ziegel,mat_keramik,,bt_ausbau; bt_dach; bt_fassade; bt_fenster; bt_technik; bt_tuer; bt_wand,bt_boden,,4,7,True,https://restado.de/ | https://restado.de/ueber-restado/ | https://restado.de/materialreste/ | https://restado.de/hilfe/impressum/ | https://restado.de/haendler-auf-restado-werden/ | https://restado.de/baustoff-verkaufen/
surplus_building_and_plumbing_materials,mat_beton; mat_holz; mat_ziegel,mat_keramik; mat_stahl,mat_kunststoff,bt_ausbau; bt_dach; bt_fenster; bt_technik; bt_wand,bt_boden,,3,3,True,https://surplusbuildingsupplies.co.uk/ | https://surplusbuildingsupplies.co.uk/how-it-works/ | https://surplusbuildingsupplies.co.uk/building-materials.html
sustainability_yard,mat_holz; mat_keramik,,mat_naturstein,bt_ausbau; bt_technik,bt_boden,bt_wand,0,4,True,https://sustainabilityyard.com/ | https://sustainabilityyard.com/docs/sell-on-sustainability-yard | https://sustainabilityyard.com/docs/sell-on-sustainability-yard-business | https://materialreuseportal.com/Marketplace-Providers
useagain_bauteilclick,mat_holz; mat_keramik; mat_stahl,mat_glas,,bt_ausbau; bt_boden; bt_fenster; bt_traeger; bt_tuer,bt_fassade; bt_gelaender; bt_technik; bt_treppe,,0,5,True,https://www.useagain.ch/de/ | https://www.useagain.ch/de/kaufen | https://library-of-reuse.ch/pioneers/useagain | https://www.bauwende.tools/en/werkzeuge/use-again | https://www.ecobau.ch/de/instrumente/ecobkp
warp_it,,,,,,bt_ausbau; bt_mehrere; bt_technik,0,5,True,https://www.warp-it.co.uk/ | https://www.warp-it.co.uk/report-guide | https://www.gla.ac.uk/myglasgow/sustainability/wasterecyclingreuse/warpit-furniturerecycling/ | https://www.warp-it.co.uk/benefits | https://blog.warp-it.co.uk/all
