type,from_labels,to_labels,count
CONCERNS,DataIssue,Projekt,4674
CONCERNS,DataIssue,Prozessphase,822
CONCERNS,DataIssue,PruefungNachweis,666
CONCERNS,DataIssue,Quelle;Dossier,1386
CONCERNS,DataIssue,Quelle;ExternalLink,1427
CONCERNS,DataIssue,Quelle;ExternalLink;ResearchDocument,30
CONCERNS,DataIssue,Quelle;ExternalLink;SectionRef,2127
CONCERNS,DataIssue,Quelle;ResearchDocument,468
CONCERNS,DataIssue,Quelle;SectionRef,8
CONCERNS,DataIssue,RechtlicheBedingung,57
CONCERNS,DataIssue,Ressourcenquelle,583
CONCERNS,DataIssue,ReuseRule,236
CONCERNS,DataIssue,Rueckbauverfahren,306
CONCERNS,DataIssue,Schadstoff,1210
CONCERNS,DataIssue,Software,55
CONCERNS,DataIssue,Software;Tool,34
CONCERNS,DataIssue,Stadt,446
CONCERNS,DataIssue,Status,681
CONCERNS,DataIssue,Tragwerksprinzip,76
CONCERNS,DataIssue,Verbindungstechnik,180
CONCERNS,DataIssue,WiederverwendungsArt,632
CONCERNS,DataIssue,Wiederverwendungskette,70
CONCERNS,DataIssue,Wirtschaft,69
CONCERNS,DataIssue,Zertifizierungssystem,31
CONCERNS,DataIssue,ZustandsKlasse,58
ERHALT_FOERDERUNG_DURCH,Projekt,Akteur,1
ERHALT_FOERDERUNG_DURCH,Projekt,Programm,3
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Akteur,201
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Bauteilgruppe,53
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Bauteiltyp,2
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Bauwerk,10
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Huerde,2
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Leistungsanforderung,3
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Material,2
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Methode,1
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Norm,5
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Projekt,16
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Prozessphase,5
EXACT_MATCH_CANDIDATE,DossierEntityTarget,RechtlicheBedingung,1
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Software,4
EXACT_MATCH_CANDIDATE,DossierEntityTarget,Software;Tool,1
FROM_DONOR,Bauteilgruppe,Bauwerk,211
FROM_DONOR,Bauteilgruppe,Materialdepot,61
FROM_DONOR,Wiederverwendungskette,Bauwerk,12
FROM_DONOR,Wiederverwendungskette,Materialdepot,2
GEHÖRT_ZU,Akteur,Akteur,41
GEHÖRT_ZU,Akteur,Land,214
GEHÖRT_ZU,Software,Land,1
GILT_IN_LAND,Akzeptanz,Land,7
GILT_IN_LAND,Norm,Land,28
GILT_IN_LAND,RechtlicheBedingung,Land,5
HAS_BAUWERK,Projekt,Bauwerk,184
HAS_DATA_ISSUE,Akteur,DataIssue,137
HAS_DATA_ISSUE,Akteurrolle,DataIssue,24
HAS_DATA_ISSUE,Akteurtyp,DataIssue,10
HAS_DATA_ISSUE,Akzeptanz,DataIssue,7
HAS_DATA_ISSUE,Aufbereitungsverfahren,DataIssue,10
HAS_DATA_ISSUE,BauaufgabeIntervention,DataIssue,10
HAS_DATA_ISSUE,Bauobjektklasse,DataIssue,8
HAS_DATA_ISSUE,Bauobjektrolle,DataIssue,6
HAS_DATA_ISSUE,Bauproduktstatus,DataIssue,15
HAS_DATA_ISSUE,Bausystem,DataIssue,9
HAS_DATA_ISSUE,Bauteilebene,DataIssue,6
HAS_DATA_ISSUE,Bauteiltyp,DataIssue,15
HAS_DATA_ISSUE,Bauweise,DataIssue,6
HAS_DATA_ISSUE,BauwerkEra,DataIssue,6
HAS_DATA_ISSUE,Beschaffungsweg,DataIssue,10
HAS_DATA_ISSUE,Defekt,DataIssue,10
HAS_DATA_ISSUE,Funktionswechsel,DataIssue,6
HAS_DATA_ISSUE,Huerde,DataIssue,28
HAS_DATA_ISSUE,HuerdeKategorie,DataIssue,10
HAS_DATA_ISSUE,Kennwert,DataIssue,258
HAS_DATA_ISSUE,LCAModule,DataIssue,5
HAS_DATA_ISSUE,Layer,DataIssue,6
HAS_DATA_ISSUE,Leistungsanforderung,DataIssue,5
HAS_DATA_ISSUE,Logistik,DataIssue,10
HAS_DATA_ISSUE,Marktmodell,DataIssue,11
HAS_DATA_ISSUE,MatchingQualitaet,DataIssue,9
HAS_DATA_ISSUE,Material,DataIssue,18
HAS_DATA_ISSUE,Materialgruppe,DataIssue,11
HAS_DATA_ISSUE,Methode,DataIssue,13
HAS_DATA_ISSUE,Norm,DataIssue,100
HAS_DATA_ISSUE,Nutzung,DataIssue,9
HAS_DATA_ISSUE,Programm,DataIssue,10
HAS_DATA_ISSUE,Projekt,DataIssue,10
HAS_DATA_ISSUE,Prozessphase,DataIssue,10
HAS_DATA_ISSUE,PruefungNachweis,DataIssue,7
HAS_DATA_ISSUE,Ressourcenquelle,DataIssue,16
HAS_DATA_ISSUE,Rueckbauverfahren,DataIssue,5
HAS_DATA_ISSUE,Schadstoff,DataIssue,9
HAS_DATA_ISSUE,Software,DataIssue,5
HAS_DATA_ISSUE,Software;Tool,DataIssue,4
HAS_DATA_ISSUE,Status,DataIssue,9
HAS_DATA_ISSUE,Tragwerksprinzip,DataIssue,4
HAS_DATA_ISSUE,Verbindungstechnik,DataIssue,12
HAS_DATA_ISSUE,WiederverwendungsArt,DataIssue,11
HAS_DATA_ISSUE,Wirtschaft,DataIssue,12
HAS_DATA_ISSUE,Zertifizierungssystem,DataIssue,3
HAS_DATA_ISSUE,ZustandsKlasse,DataIssue,6
HAS_RISK_POLLUTANT,Bauteilgruppe,Schadstoff,799
HAS_RISK_POLLUTANT,Projekt,Schadstoff,4
HAS_SOURCE_LINK,ReuseRule,Quelle;ExternalLink,20
HAT_AKTEURROLLE,Akteur,Akteurrolle,1325
HAT_AKTEURROLLE,Stadt,Akteurrolle,2
HAT_AKTEURTYP,Akteur,Akteurtyp,692
HAT_AKTEURTYP,Stadt,Akteurtyp,1
HAT_AUFBEREITUNG,Bauteilgruppe,Aufbereitungsverfahren,426
HAT_AUFBEREITUNG,Projekt,Aufbereitungsverfahren,22
HAT_BAUOBJEKTKLASSE,Bauwerk,Bauobjektklasse,192
HAT_BAUOBJEKTKLASSE,Materialdepot,Bauobjektklasse,24
HAT_BAUOBJEKTKLASSE,Projekt,Bauobjektklasse,11
HAT_BAUOBJEKTROLLE,Bauwerk,Bauobjektrolle,202
HAT_BAUOBJEKTROLLE,Materialdepot,Bauobjektrolle,28
HAT_BAUPRODUKTSTATUS,Bauteilgruppe,Bauproduktstatus,67
HAT_BAUSYSTEM,Bauteilgruppe,Bausystem,40
HAT_BAUSYSTEM,Bauwerk,Bausystem,17
HAT_BAUSYSTEM,Materialdepot,Bausystem,4
HAT_BAUSYSTEM,Projekt,Bausystem,3
HAT_BAUTEILEBENE,Bauteilgruppe,Bauteilebene,372
HAT_BAUTEILGRUPPE,Programm,Bauteilgruppe,6
HAT_BAUTEILGRUPPE,Projekt,Bauteilgruppe,363
HAT_BAUTEILTYP,Bauteilgruppe,Bauteiltyp,606
HAT_BAUTEILTYP,Norm,Bauteiltyp,1
HAT_BAUWEISE,Bausystem,Bauweise,3
HAT_BAUWEISE,Bauteilgruppe,Bauweise,62
HAT_BAUWEISE,Bauwerk,Bauweise,48
HAT_BAUWEISE,Materialdepot,Bauweise,7
HAT_BAUWEISE,Projekt,Bauweise,9
HAT_BESCHAFFUNGSWEG,Bauteilgruppe,Beschaffungsweg,224
HAT_BESCHAFFUNGSWEG,Projekt,Beschaffungsweg,61
HAT_DEFEKT,Bauteilgruppe,Defekt,45
HAT_DEFEKT_BEFUND,Projekt,Defekt,25
HAT_FUNKTIONSWECHSEL,Bauteilgruppe,Funktionswechsel,299
HAT_HUERDE,Bauteilgruppe,Huerde,768
HAT_HUERDE,Programm,Huerde,3
HAT_HUERDE,Projekt,Huerde,297
HAT_HUERDEKATEGORIE,Bauteilgruppe,HuerdeKategorie,93
HAT_HUERDEKATEGORIE,Huerde,HuerdeKategorie,35
HAT_HUERDEKATEGORIE,Projekt,HuerdeKategorie,39
HAT_INTERVENTION,Bauwerk,BauaufgabeIntervention,10
HAT_INTERVENTION,Projekt,BauaufgabeIntervention,138
HAT_KENNWERT,Projekt,Kennwert,258
HAT_LEISTUNGSANFORDERUNG,Bauteilgruppe,Leistungsanforderung,560
HAT_LEISTUNGSANFORDERUNG,Norm,Leistungsanforderung,1
HAT_LOGISTIK,Bauteilgruppe,Logistik,402
HAT_LOGISTIK,Projekt,Logistik,98
HAT_MARKTMODELL,Bauteilgruppe,Marktmodell,384
HAT_MATCHINGQUALITAET,Bauteilgruppe,MatchingQualitaet,8
HAT_MATCHINGQUALITAET,Projekt,MatchingQualitaet,179
HAT_MATERIALGRUPPE,Bauteilgruppe,Materialgruppe,488
HAT_MATERIALGRUPPE,Material,Materialgruppe,28
HAT_METHODE,Bauteilgruppe,Methode,404
HAT_METHODE,Norm,Methode,1
HAT_METHODE,Projekt,Methode,197
HAT_NUTZUNG,Bauwerk,Nutzung,71
HAT_NUTZUNG,Materialdepot,Nutzung,8
HAT_NUTZUNG,Projekt,Nutzung,137
HAT_PROZESSPHASE,Bauteilgruppe,Prozessphase,700
HAT_PROZESSPHASE,Projekt,Prozessphase,112
HAT_PRUEFUNG,Bauteilgruppe,PruefungNachweis,347
HAT_PRUEFUNG,Projekt,PruefungNachweis,63
HAT_RECHTLICHE_BEDINGUNG,Bauteilgruppe,RechtlicheBedingung,5
HAT_RECHTLICHE_BEDINGUNG,Bauwerk,RechtlicheBedingung,1
HAT_RECHTLICHE_BEDINGUNG,Projekt,RechtlicheBedingung,6
HAT_RESSOURCENQUELLE,Bauteilgruppe,Ressourcenquelle,495
HAT_RESSOURCENQUELLE,Materialdepot,Ressourcenquelle,1
HAT_RESSOURCENQUELLE,Projekt,Ressourcenquelle,71
HAT_RUECKBAUVERFAHREN,Bauteilgruppe,Rueckbauverfahren,301
HAT_STATUS,Bauteilgruppe,Status,370
HAT_STATUS,Bauwerk,Status,186
HAT_STATUS,Materialdepot,Status,23
HAT_STATUS,Projekt,Status,93
HAT_TRAGWERKSPRINZIP,Bausystem,Tragwerksprinzip,3
HAT_TRAGWERKSPRINZIP,Bauteilgruppe,Tragwerksprinzip,36
HAT_TRAGWERKSPRINZIP,Bauwerk,Tragwerksprinzip,26
HAT_TRAGWERKSPRINZIP,Materialdepot,Tragwerksprinzip,4
HAT_TRAGWERKSPRINZIP,Projekt,Tragwerksprinzip,3
HAT_TYPISCHEN_BAUPRODUKTSTATUS,Land,Bauproduktstatus,19
HAT_VERBINDUNGSTECHNIK,Bauteilgruppe,Verbindungstechnik,130
HAT_VERBINDUNGSTECHNIK,Projekt,Verbindungstechnik,1
HAT_WIEDERVERWENDUNGSART,Bauteilgruppe,WiederverwendungsArt,439
HAT_WIEDERVERWENDUNGSART,Projekt,WiederverwendungsArt,182
HAT_WIRTSCHAFT,Programm,Wirtschaft,2
HAT_WIRTSCHAFT,Projekt,Wirtschaft,44
HAT_WIRTSCHAFTSASPEKT,Bauteilgruppe,Wirtschaft,6
HAT_WIRTSCHAFTSASPEKT,Projekt,Wirtschaft,5
HAT_ZERTIFIZIERUNG,Projekt,Zertifizierungssystem,12
HAT_ZUSTANDSKLASSE,Bauteilgruppe,ZustandsKlasse,40
INTO_RECEIVER,Bauteilgruppe,Bauwerk,324
INTO_RECEIVER,Bauteilgruppe,Materialdepot,11
INTO_RECEIVER,Wiederverwendungskette,Bauwerk,14
IST_UNTERVERFAHREN_VON,Aufbereitungsverfahren,Aufbereitungsverfahren,19
IST_UNTERVERFAHREN_VON,PruefungNachweis,PruefungNachweis,4
IST_UNTERVERFAHREN_VON,Verbindungstechnik,Verbindungstechnik,5
LIEGT_IN_LAND,Akteur,Land,234
LIEGT_IN_LAND,Bauwerk,Land,136
LIEGT_IN_LAND,Materialdepot,Land,16
LIEGT_IN_LAND,Programm,Land,4
LIEGT_IN_LAND,Projekt,Land,87
LIEGT_IN_LAND,Software,Land,1
LIEGT_IN_LAND,Stadt,Land,76
LIEGT_IN_STADT,Bauwerk,Stadt,150
LIEGT_IN_STADT,Materialdepot,Stadt,17
LIEGT_IN_STADT,Programm,Stadt,4
LIEGT_IN_STADT,Projekt,Stadt,90
METHODENGRUNDLAGE_NORM,LCAModule,Norm,8
NUTZT_BAUWERK,Akteur,Bauwerk,1
NUTZT_BAUWERK,Projekt,Bauwerk,151
NUTZT_BAUWERK,Projekt,Materialdepot,17
NUTZT_MATERIAL,Bausystem,Material,3
NUTZT_MATERIAL,Bauteilgruppe,Material,472
NUTZT_SOFTWARE,Akteur,Software,2
NUTZT_SOFTWARE,Akteur,Software;Tool,1
NUTZT_SOFTWARE,Bauteilgruppe,Software,18
NUTZT_SOFTWARE,Bauteilgruppe,Software;Tool,5
NUTZT_SOFTWARE,Projekt,Software,8
NUTZT_SOFTWARE,Projekt,Software;Tool,9
NUTZT_SOFTWARE,Software,Software,2
NUTZT_SOFTWARE,Software,Software;Tool,3
NUTZT_SOFTWARE,Software;Tool,Software,3
REFERENZIERT_NORM,Bauteilgruppe,Norm,19
REFERENZIERT_NORM,Norm,Norm,7
REFERENZIERT_NORM,Projekt,Norm,26
REFERENZIERT_NORM,ReuseRule,Norm,93
RELEVANT_FOR,ReuseRule,Projekt,103
REQUIRES_VERIFICATION_FOR,Projekt,Schadstoff,347
STUB_PROJECT_LINK,Akteur,Programm,38
STUB_PROJECT_LINK,Akteur,Projekt,162
TEILT_LAYER,Bauteiltyp,Layer,15
TEIL_VON_KETTE,Bauteilgruppe,Wiederverwendungskette,14
TEIL_VON_PROGRAMM,Bauwerk,Programm,1
TEIL_VON_PROGRAMM,Programm,Programm,6
TEIL_VON_PROGRAMM,Projekt,Programm,31
TYPISCH_BEI_BAUTEILTYP,Schadstoff,Bauteiltyp,10
TYPISCH_BEI_ERA,Schadstoff,BauwerkEra,15
TYPISCH_BEI_MATERIAL,Aufbereitungsverfahren,Material,35
TYPISCH_BEI_MATERIAL,Defekt,Material,14
TYPISCH_BEI_MATERIAL,PruefungNachweis,Material,12
TYPISCH_BEI_MATERIAL,Schadstoff,Material,18
TYPISCH_BEI_MATERIAL,ZustandsKlasse,Material,12
VERBUNDEN_MIT_AKTEUR,Akteur,Akteur,310
