"source","old_relation","old_target","raw_label","existing_clean_edges","bauwerksteil_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/Liander_Alliander_HQ_Duiven__001__Bestandsgeb_ude_Hauptstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestandsgebäude / Hauptstruktur","installed_in_bauobjekt->bauobjekt/Liander_Alliander_HQ_Duiven; uses_material->material/Beton; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Liander_Alliander_HQ_Duiven.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestandslagerhaus","installed_in_bauobjekt->bauobjekt/55_Great_Suffolk_Street_London; uses_material->material/Holz; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","has_bauteiltyp","bauteiltyp/Bauwerksteil","Concrete-block garage wing","has_bauteiltyp->bauteiltyp/Mauerstein_Block; installed_in_bauobjekt->bauobjekt/Big_Dig_House_Lexington_Massachusetts; uses_material->material/Beton","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","has_bauteiltyp","bauteiltyp/Bauwerksteil","Garage / Schuppen / Außenmauern","has_bauteiltyp->bauteiltyp/Wand; installed_in_bauobjekt->bauobjekt/Berlin_Schildow_Pilot_House_2; uses_material->material/Beton; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_bauteiltyp","bauteiltyp/Bauwerksteil","gesamtes Pavillonensemble","installed_in_bauobjekt->bauobjekt/Christ_Pavilion_Volkenroda; uses_material->material/Beton; uses_material->material/Glas; uses_material->material/Marmor; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__004__Glasgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","Glasgang","installed_in_bauobjekt->bauobjekt/Lo_Reninge_Town_Hall_Facade; uses_material->material/Glas","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","Kreuzgang","installed_in_bauobjekt->bauobjekt/Christ_Pavilion_Volkenroda; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","has_bauteiltyp","bauteiltyp/Bauwerksteil","Krypta, Kolonnade, Wasserbecken","installed_in_bauobjekt->bauobjekt/Christ_Pavilion_Volkenroda","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__008__Observatoriumskuppel","has_bauteiltyp","bauteiltyp/Bauwerksteil","Observatoriumskuppel","installed_in_bauobjekt->bauobjekt/Svanen_Kindergarten_Gladsaxe","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","has_bauteiltyp","bauteiltyp/Bauwerksteil","Residence Palace Bestand","installed_in_bauobjekt->bauobjekt/Europa_Building_Brussels; uses_material->material/Beton; uses_material->material/Naturstein; uses_material->material/Stahl","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Europa_Building_Brussels.md"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","has_bauteiltyp","bauteiltyp/Bauwerksteil","viktorianischer Pavillon","installed_in_bauobjekt->bauobjekt/Hastings_Pier_Visitor_Centre","object_scale_not_component","bauobjekt/* or bauobjekt_beteiligung/*","relates_to_bauobjekt","none","The raw label points to a building, object, or object part; do not model as bauteiltyp.","Gebäude\Hastings_Pier_Visitor_Centre.md"
