"legacy_path","fallstudie_id","projekt_id","bauobjekt_id","action","target_primary","target_secondary"
"gebaeude\Hobelwerk_Haus_D_Oberwinterthur.md","Hobelwerk_Haus_D_Oberwinterthur","Hobelwerk_Haus_D_Oberwinterthur","Hobelwerk_Haus_D_Oberwinterthur","split_into_case_graph","fallstudie/Hobelwerk_Haus_D_Oberwinterthur","projekt/Hobelwerk_Haus_D_Oberwinterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur","split_into_case_graph","fallstudie/K118_Kopfbau_Halle_118_Winterthur","projekt/K118_Kopfbau_Halle_118_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Kindl_Areal.md","Kindl_Areal","Kindl_Areal","Kindl_Areal","split_into_case_graph","fallstudie/Kindl_Areal","projekt/Kindl_Areal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Lysbuechel_Parkhaus.md","Lysbuechel_Parkhaus","Lysbuechel_Parkhaus","Lysbuechel_Parkhaus","split_into_case_graph","fallstudie/Lysbuechel_Parkhaus","projekt/Lysbuechel_Parkhaus; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\LysP8_Basel_Lysbuechelareal.md","LysP8_Basel_Lysbuechelareal","LysP8_Basel_Lysbuechelareal","LysP8_Basel_Lysbuechelareal","split_into_case_graph","fallstudie/LysP8_Basel_Lysbuechelareal","projekt/LysP8_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\ReUseBox_Heilbronn.md","ReUseBox_Heilbronn","ReUseBox_Heilbronn","ReUseBox_Heilbronn","split_into_case_graph","fallstudie/ReUseBox_Heilbronn","projekt/ReUseBox_Heilbronn; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\55_Great_Suffolk_Street_London.md","55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London","split_into_case_graph","fallstudie/55_Great_Suffolk_Street_London","projekt/55_Great_Suffolk_Street_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Association_house_Groeditz.md","Association_house_Groeditz","Association_house_Groeditz","Association_house_Groeditz","split_into_case_graph","fallstudie/Association_house_Groeditz","projekt/Association_house_Groeditz; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Association_house_Plauen.md","Association_house_Plauen","Association_house_Plauen","Association_house_Plauen","split_into_case_graph","fallstudie/Association_house_Plauen","projekt/Association_house_Plauen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\AWM_Muenster_Circular_Office.md","AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office","split_into_case_graph","fallstudie/AWM_Muenster_Circular_Office","projekt/AWM_Muenster_Circular_Office; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BedZED_London_Hackbridge.md","BedZED_London_Hackbridge","BedZED_London_Hackbridge","BedZED_London_Hackbridge","split_into_case_graph","fallstudie/BedZED_London_Hackbridge","projekt/BedZED_London_Hackbridge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Berlin_Schildow_Pilot_House.md","Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House","split_into_case_graph","fallstudie/Berlin_Schildow_Pilot_House","projekt/Berlin_Schildow_Pilot_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Berlin_Schildow_Pilot_House_2.md","Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2","split_into_case_graph","fallstudie/Berlin_Schildow_Pilot_House_2","projekt/Berlin_Schildow_Pilot_House_2; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen","split_into_case_graph","fallstudie/Bestandverplanzung_Pavilion_Muenchen","projekt/Bestandverplanzung_Pavilion_Muenchen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Big_Dig_Building_Boston.md","Big_Dig_Building_Boston","Big_Dig_Building_Boston","Big_Dig_Building_Boston","split_into_case_graph","fallstudie/Big_Dig_Building_Boston","projekt/Big_Dig_Building_Boston; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts","split_into_case_graph","fallstudie/Big_Dig_House_Lexington_Massachusetts","projekt/Big_Dig_House_Lexington_Massachusetts; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BioPartner_5_Leiden_Oegstgeest.md","BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest","split_into_case_graph","fallstudie/BioPartner_5_Leiden_Oegstgeest","projekt/BioPartner_5_Leiden_Oegstgeest; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BlueCity_Offices_Rotterdam.md","BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam","split_into_case_graph","fallstudie/BlueCity_Offices_Rotterdam","projekt/BlueCity_Offices_Rotterdam; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Boulder_Fire_Station_3.md","Boulder_Fire_Station_3","Boulder_Fire_Station_3","Boulder_Fire_Station_3","split_into_case_graph","fallstudie/Boulder_Fire_Station_3","projekt/Boulder_Fire_Station_3; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London","split_into_case_graph","fallstudie/Brent_Cross_Town_Primary_Substation_London","projekt/Brent_Cross_Town_Primary_Substation_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Brighton_Waste_House_Brighton.md","Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton","split_into_case_graph","fallstudie/Brighton_Waste_House_Brighton","projekt/Brighton_Waste_House_Brighton; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Broethen_Twin_House_Hoyerswerda.md","Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda","split_into_case_graph","fallstudie/Broethen_Twin_House_Hoyerswerda","projekt/Broethen_Twin_House_Hoyerswerda; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator","split_into_case_graph","fallstudie/CascadeUp_London_secondary_timber_glulam_demonstrator","projekt/CascadeUp_London_secondary_timber_glulam_demonstrator; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Charles_Malis_Molenbeek.md","Charles_Malis_Molenbeek","Charles_Malis_Molenbeek","Charles_Malis_Molenbeek","split_into_case_graph","fallstudie/Charles_Malis_Molenbeek","projekt/Charles_Malis_Molenbeek; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek","split_into_case_graph","fallstudie/Chiro_d_Itterbeek_Dilbeek","projekt/Chiro_d_Itterbeek_Dilbeek; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Christ_Pavilion_Volkenroda.md","Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda","split_into_case_graph","fallstudie/Christ_Pavilion_Volkenroda","projekt/Christ_Pavilion_Volkenroda; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","split_into_case_graph","fallstudie/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","projekt/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Circular_Pavilion_Paris.md","Circular_Pavilion_Paris","Circular_Pavilion_Paris","Circular_Pavilion_Paris","split_into_case_graph","fallstudie/Circular_Pavilion_Paris","projekt/Circular_Pavilion_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\CRCLR_House_Impact_Hub_Berlin.md","CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin","split_into_case_graph","fallstudie/CRCLR_House_Impact_Hub_Berlin","projekt/CRCLR_House_Impact_Hub_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel","split_into_case_graph","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","projekt/ELYS_Kultur_Gewerbehaus_Basel; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Europa_Building_Brussels.md","Europa_Building_Brussels","Europa_Building_Brussels","Europa_Building_Brussels","split_into_case_graph","fallstudie/Europa_Building_Brussels","projekt/Europa_Building_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Ferme_du_Rail_Paris.md","Ferme_du_Rail_Paris","Ferme_du_Rail_Paris","Ferme_du_Rail_Paris","split_into_case_graph","fallstudie/Ferme_du_Rail_Paris","projekt/Ferme_du_Rail_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\gjG_House_Gentbrugge.md","gjG_House_Gentbrugge","gjG_House_Gentbrugge","gjG_House_Gentbrugge","split_into_case_graph","fallstudie/gjG_House_Gentbrugge","projekt/gjG_House_Gentbrugge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Grande_Halle_de_Colombelles.md","Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles","split_into_case_graph","fallstudie/Grande_Halle_de_Colombelles","projekt/Grande_Halle_de_Colombelles; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich","split_into_case_graph","fallstudie/Grubenstrasse_29_Werkhof_29_Zuerich","projekt/Grubenstrasse_29_Werkhof_29_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","split_into_case_graph","fallstudie/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","projekt/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Hastings_Pier_Visitor_Centre.md","Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre","split_into_case_graph","fallstudie/Hastings_Pier_Visitor_Centre","projekt/Hastings_Pier_Visitor_Centre; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen","split_into_case_graph","fallstudie/Haus_HOS_Mehrfamilienhaus_Muehlhausen","projekt/Haus_HOS_Mehrfamilienhaus_Muehlhausen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Holbein_Gardens_London.md","Holbein_Gardens_London","Holbein_Gardens_London","Holbein_Gardens_London","split_into_case_graph","fallstudie/Holbein_Gardens_London","projekt/Holbein_Gardens_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","split_into_case_graph","fallstudie/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","projekt/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout","split_into_case_graph","fallstudie/Impact_Hub_Berlin_CRCLR_Fitout","projekt/Impact_Hub_Berlin_CRCLR_Fitout; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Institut_de_Botanique_ULg_Liege.md","Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege","split_into_case_graph","fallstudie/Institut_de_Botanique_ULg_Liege","projekt/Institut_de_Botanique_ULg_Liege; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge","split_into_case_graph","fallstudie/Jeugdkliniek_Ithaka_Emergis_Kloetinge","projekt/Jeugdkliniek_Ithaka_Emergis_Kloetinge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich","split_into_case_graph","fallstudie/Juch_Areal_Recyclingzentrum_Zuerich","projekt/Juch_Areal_Recyclingzentrum_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur","split_into_case_graph","fallstudie/K118_Kopfbau_Halle_118_Winterthur","projekt/K118_Kopfbau_Halle_118_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo","split_into_case_graph","fallstudie/KA13_Kristian_Augusts_gate_13_Oslo","projekt/KA13_Kristian_Augusts_gate_13_Oslo; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY","split_into_case_graph","fallstudie/Kamikatsu_Zero_Waste_Center_Hotel_WHY","projekt/Kamikatsu_Zero_Waste_Center_Hotel_WHY; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Kindergarten_Moeoeslistrasse_Manegg_Zuerich","split_into_case_graph","fallstudie/Kindergarten_Moeoeslistrasse_Manegg_Zuerich","projekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Liander_Alliander_HQ_Duiven.md","Liander_Alliander_HQ_Duiven","Liander_Alliander_HQ_Duiven","Liander_Alliander_HQ_Duiven","split_into_case_graph","fallstudie/Liander_Alliander_HQ_Duiven","projekt/Liander_Alliander_HQ_Duiven; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lo_Reninge_Town_Hall_Facade.md","Lo_Reninge_Town_Hall_Facade","Lo_Reninge_Town_Hall_Facade","Lo_Reninge_Town_Hall_Facade","split_into_case_graph","fallstudie/Lo_Reninge_Town_Hall_Facade","projekt/Lo_Reninge_Town_Hall_Facade; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere","split_into_case_graph","fallstudie/Lokomotion_Technology_Centre_mini_pilot_Tampere","projekt/Lokomotion_Technology_Centre_mini_pilot_Tampere; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","Lycee_Michel_Lucius_Conversion_Luxembourg","Lycee_Michel_Lucius_Conversion_Luxembourg","Lycee_Michel_Lucius_Conversion_Luxembourg","split_into_case_graph","fallstudie/Lycee_Michel_Lucius_Conversion_Luxembourg","projekt/Lycee_Michel_Lucius_Conversion_Luxembourg; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_des_Canaux_Paris.md","Maison_des_Canaux_Paris","Maison_des_Canaux_Paris","Maison_des_Canaux_Paris","split_into_case_graph","fallstudie/Maison_des_Canaux_Paris","projekt/Maison_des_Canaux_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_DnA_Asse.md","Maison_DnA_Asse","Maison_DnA_Asse","Maison_DnA_Asse","split_into_case_graph","fallstudie/Maison_DnA_Asse","projekt/Maison_DnA_Asse; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_Vignette_Auderghem.md","Maison_Vignette_Auderghem","Maison_Vignette_Auderghem","Maison_Vignette_Auderghem","split_into_case_graph","fallstudie/Maison_Vignette_Auderghem","projekt/Maison_Vignette_Auderghem; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Mehrow_Pilot_House.md","Mehrow_Pilot_House","Mehrow_Pilot_House","Mehrow_Pilot_House","split_into_case_graph","fallstudie/Mehrow_Pilot_House","projekt/Mehrow_Pilot_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","split_into_case_graph","fallstudie/Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","projekt/Melkinlaituri_Primary_School_Daycare_Centre_Helsinki; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Montessori_Maassluis.md","Montessori_Maassluis","Montessori_Maassluis","Montessori_Maassluis","split_into_case_graph","fallstudie/Montessori_Maassluis","projekt/Montessori_Maassluis; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Multi_Brussels_Reuse_in_MULTI.md","Multi_Brussels_Reuse_in_MULTI","Multi_Brussels_Reuse_in_MULTI","Multi_Brussels_Reuse_in_MULTI","split_into_case_graph","fallstudie/Multi_Brussels_Reuse_in_MULTI","projekt/Multi_Brussels_Reuse_in_MULTI; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Musee_de_Folklore_Mouscron.md","Musee_de_Folklore_Mouscron","Musee_de_Folklore_Mouscron","Musee_de_Folklore_Mouscron","split_into_case_graph","fallstudie/Musee_de_Folklore_Mouscron","projekt/Musee_de_Folklore_Mouscron; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Peoples_Pavilion_Eindhoven.md","Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven","split_into_case_graph","fallstudie/Peoples_Pavilion_Eindhoven","projekt/Peoples_Pavilion_Eindhoven; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Plattenpalast_Berlin.md","Plattenpalast_Berlin","Plattenpalast_Berlin","Plattenpalast_Berlin","split_into_case_graph","fallstudie/Plattenpalast_Berlin","projekt/Plattenpalast_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Plattenvereinigung_Berlin.md","Plattenvereinigung_Berlin","Plattenvereinigung_Berlin","Plattenvereinigung_Berlin","split_into_case_graph","fallstudie/Plattenvereinigung_Berlin","projekt/Plattenvereinigung_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout","split_into_case_graph","fallstudie/PLP_London_HQ_Circular_Studio_Fitout","projekt/PLP_London_HQ_Circular_Studio_Fitout; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\ReCrete_footbridge_reused_concrete_blocks.md","ReCrete_footbridge_reused_concrete_blocks","ReCrete_footbridge_reused_concrete_blocks","ReCrete_footbridge_reused_concrete_blocks","split_into_case_graph","fallstudie/ReCrete_footbridge_reused_concrete_blocks","projekt/ReCrete_footbridge_reused_concrete_blocks; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Recyclinghaus_Hannover.md","Recyclinghaus_Hannover","Recyclinghaus_Hannover","Recyclinghaus_Hannover","split_into_case_graph","fallstudie/Recyclinghaus_Hannover","projekt/Recyclinghaus_Hannover; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Recypark_Demets_Anderlecht.md","Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht","split_into_case_graph","fallstudie/Recypark_Demets_Anderlecht","projekt/Recypark_Demets_Anderlecht; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains","split_into_case_graph","fallstudie/Resilience_La_Ferme_des_Possibles_Stains","projekt/Resilience_La_Ferme_des_Possibles_Stains; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Resource_Rows_Copenhagen.md","Resource_Rows_Copenhagen","Resource_Rows_Copenhagen","Resource_Rows_Copenhagen","split_into_case_graph","fallstudie/Resource_Rows_Copenhagen","projekt/Resource_Rows_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
