"source","relation","target","review_reason","suggested_source","suggested_relation","suggested_target","field","raw_label","confidence","resolution_rule","legacy_path"
"reuse_kettenstation/index__Donor","belongs_to_fallstudie","fallstudie/index","source_not_imported; target_not_imported","","belongs_to_fallstudie","","fallstudie","fallstudie/index","structural","frontmatter",""
"reuse_kettenstation/index__Receiver","belongs_to_fallstudie","fallstudie/index","source_not_imported; target_not_imported","","belongs_to_fallstudie","","fallstudie","fallstudie/index","structural","frontmatter",""
"reuse_kettenstation/index__Donor","part_of_reuse_kette","reuse_kette/index","source_not_imported; target_not_imported","","part_of_reuse_kette","","reuse_kette","reuse_kette/index","structural","frontmatter",""
"reuse_kettenstation/index__Receiver","part_of_reuse_kette","reuse_kette/index","source_not_imported; target_not_imported","","part_of_reuse_kette","","reuse_kette","reuse_kette/index","structural","frontmatter",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","has_bauteiltyp","bauteiltyp/Dachziegel","target_ambiguous_split","reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","has_bauteiltyp","","bauteil_label","Dachziegel","rule_high","bauteil_dachziegel","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__003__Dachziegel_Dach","has_bauteiltyp","bauteiltyp/Dachziegel","target_ambiguous_split","reuse_einsatz/Lo_Reninge_Town_Hall_Facade__003__Dachziegel_Dach","has_bauteiltyp","","bauteil_label","Dachziegel / Dach","rule_high","bauteil_dachziegel","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","bauteiltyp/Dachziegel","target_ambiguous_split","reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","","bauteil_label","Dachziegel / roof tiles / vingetegl","rule_high","bauteil_dachziegel","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"reuse_einsatz/Grande_Halle_de_Colombelles__006__T_ren_massiv_Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","target_ambiguous_split","reuse_einsatz/Grande_Halle_de_Colombelles__006__T_ren_massiv_Brandschutzt_ren","has_bauteiltyp","","bauteil_label","Türen massiv / Brandschutztüren","rule_high","bauteil_fire_door","Gebäude\Grande_Halle_de_Colombelles.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__007__Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","target_ambiguous_split","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__007__Brandschutzt_ren","has_bauteiltyp","","bauteil_label","Brandschutztüren","rule_high","bauteil_fire_door","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","has_bauteiltyp","bauteiltyp/Feuerschutztuer","target_ambiguous_split","reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","has_bauteiltyp","","bauteil_label","Türen inkl. Brandschutztüren","rule_high","bauteil_fire_door","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/Plattenpalast_Berlin__004__Plattenauflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","target_manual_review","reuse_einsatz/Plattenpalast_Berlin__004__Plattenauflager","has_bauteiltyp","","bauteil_label","Plattenauflager","rule_high","bauteil_auflager_widerlager","Gebäude\Plattenpalast_Berlin.md"
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__003__Widerlager_Auflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","target_manual_review","reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__003__Widerlager_Auflager","has_bauteiltyp","","bauteil_label","Widerlager / Auflager","rule_high","bauteil_auflager_widerlager","Gebäude\ReCrete_footbridge_reused_concrete_blocks.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","has_bauteiltyp","","bauteil_label","Bestandslagerhaus","rule_medium","bauteil_bauwerksteil","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","has_bauteiltyp","","bauteil_label","Garage / Schuppen / Außenmauern","rule_medium","bauteil_bauwerksteil","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_bauteiltyp","","bauteil_label","Ramp / pier components","rule_medium","bauteil_bauwerksteil","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","has_bauteiltyp","","bauteil_label","Concrete-block garage wing","rule_medium","bauteil_bauwerksteil","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_bauteiltyp","","bauteil_label","gesamtes Pavillonensemble","rule_medium","bauteil_bauwerksteil","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_bauteiltyp","","bauteil_label","Kreuzgang","rule_medium","bauteil_bauwerksteil","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","has_bauteiltyp","","bauteil_label","Krypta, Kolonnade, Wasserbecken","rule_medium","bauteil_bauwerksteil","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_bauteiltyp","","bauteil_label","Holzgalerie / Innenausbau","rule_medium","bauteil_bauwerksteil","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","has_bauteiltyp","","bauteil_label","Garagentor","rule_medium","bauteil_bauwerksteil","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Europa_Building_Brussels__002__Glas_Stahlw_rfel","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Europa_Building_Brussels__002__Glas_Stahlw_rfel","has_bauteiltyp","","bauteil_label","Glas-/Stahlwürfel","rule_medium","bauteil_bauwerksteil","Gebäude\Europa_Building_Brussels.md"
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","has_bauteiltyp","","bauteil_label","Residence Palace Bestand","rule_medium","bauteil_bauwerksteil","Gebäude\Europa_Building_Brussels.md"
"reuse_einsatz/Ferme_du_Rail_Paris__011__Holz_Strohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Ferme_du_Rail_Paris__011__Holz_Strohbau","has_bauteiltyp","","bauteil_label","Holz-/Strohbau","rule_medium","bauteil_bauwerksteil","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","has_bauteiltyp","","bauteil_label","Bestand-Betonstruktur","rule_medium","bauteil_bauwerksteil","Gebäude\Grande_Halle_de_Colombelles.md"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","has_bauteiltyp","","bauteil_label","viktorianischer Pavillon","rule_medium","bauteil_bauwerksteil","Gebäude\Hastings_Pier_Visitor_Centre.md"
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","has_bauteiltyp","","bauteil_label","bestehender Betonrahmen","rule_medium","bauteil_bauwerksteil","Gebäude\Holbein_Gardens_London.md"
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","has_bauteiltyp","","bauteil_label","Retained 1990s concrete frame TBC","rule_medium","bauteil_bauwerksteil","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md"
"reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","has_bauteiltyp","","bauteil_label","Holzgalerie","rule_medium","bauteil_bauwerksteil","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","has_bauteiltyp","","bauteil_label","Betriebsgebäude","rule_medium","bauteil_bauwerksteil","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/Liander_Alliander_HQ_Duiven__001__Bestandsgeb_ude_Hauptstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Liander_Alliander_HQ_Duiven__001__Bestandsgeb_ude_Hauptstruktur","has_bauteiltyp","","bauteil_label","Bestandsgebäude / Hauptstruktur","rule_medium","bauteil_bauwerksteil","Gebäude\Liander_Alliander_HQ_Duiven.md"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__004__Glasgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Lo_Reninge_Town_Hall_Facade__004__Glasgang","has_bauteiltyp","","bauteil_label","Glasgang","rule_medium","bauteil_bauwerksteil","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__011__Bestand_Block_6000","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__011__Bestand_Block_6000","has_bauteiltyp","","bauteil_label","Bestand Block 6000","rule_medium","bauteil_bauwerksteil","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md"
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_bauteiltyp","","bauteil_label","innere Box","rule_medium","bauteil_bauwerksteil","Gebäude\Maison_DnA_Asse.md"
"reuse_einsatz/Recyclinghaus_Hannover__013__Rohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Recyclinghaus_Hannover__013__Rohbau","has_bauteiltyp","","bauteil_label","Rohbau","rule_medium","bauteil_bauwerksteil","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_bauteiltyp","","bauteil_label","Wohnungsteile / Betonunits","rule_medium","bauteil_bauwerksteil","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__008__Observatoriumskuppel","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Svanen_Kindergarten_Gladsaxe__008__Observatoriumskuppel","has_bauteiltyp","","bauteil_label","Observatoriumskuppel","rule_medium","bauteil_bauwerksteil","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","","bauteil_label","Retained Print Building structure","rule_medium","bauteil_bauwerksteil","Gebäude\Timber_Square_London.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__013__Verbiest_Industriegew_chshaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","target_manual_review","reuse_einsatz/Verbiest_Karreveld_Brussels__013__Verbiest_Industriegew_chshaus","has_bauteiltyp","","bauteil_label","Verbiest Industriegewächshaus","rule_medium","bauteil_bauwerksteil","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","has_bauteiltyp","","bauteil_label","Gerüstrohre als Rampen/Geländer/Balustraden","rule_high","bauteil_bruestung","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","has_bauteiltyp","","bauteil_label","Balustraden","rule_high","bauteil_bruestung","Gebäude\BlueCity_Offices_Rotterdam.md"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","has_bauteiltyp","","bauteil_label","Brüstungen / parapets","rule_high","bauteil_bruestung","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","has_bauteiltyp","","bauteil_label","Gitterroste / Brüstungsgitter","rule_high","bauteil_bruestung","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__005__Pier_Balustraden_Deck","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/Hastings_Pier_Visitor_Centre__005__Pier_Balustraden_Deck","has_bauteiltyp","","bauteil_label","Pier-Balustraden / Deck","rule_high","bauteil_bruestung","Gebäude\Hastings_Pier_Visitor_Centre.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","has_bauteiltyp","","bauteil_label","Geländer / Brüstungsgeländer","rule_high","bauteil_bruestung","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__008__Br_stungen_Borstweringen","has_bauteiltyp","bauteiltyp/Bruestung","target_manual_review","reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__008__Br_stungen_Borstweringen","has_bauteiltyp","","bauteil_label","Brüstungen / Borstweringen","rule_high","bauteil_bruestung","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_bauteiltyp","","bauteil_label","Teppichfliesen","rule_high","bauteil_fliese","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","has_bauteiltyp","","bauteil_label","Austernschalen-Wandfliesen","rule_high","bauteil_fliese","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","has_bauteiltyp","","bauteil_label","Bodenpflaster / Bruseleye tiles","rule_high","bauteil_fliese","Gebäude\Charles_Malis_Molenbeek.md"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_bauteiltyp","","bauteil_label","Wandfliesen","rule_high","bauteil_fliese","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"reuse_einsatz/Ferme_du_Rail_Paris__006__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Ferme_du_Rail_Paris__006__Fliesen_Fayence","has_bauteiltyp","","bauteil_label","Fliesen / Fayence","rule_high","bauteil_fliese","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Ferme_du_Rail_Paris__008__textile_rezyklierte_Fasern","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Ferme_du_Rail_Paris__008__textile_rezyklierte_Fasern","has_bauteiltyp","","bauteil_label","textile / rezyklierte Fasern","rule_high","bauteil_fliese","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Grande_Halle_de_Colombelles__009__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Grande_Halle_de_Colombelles__009__Fliesen_Fayence","has_bauteiltyp","","bauteil_label","Fliesen / Fayence","rule_high","bauteil_fliese","Gebäude\Grande_Halle_de_Colombelles.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__011__Innere_Oberfl_chen_Mosaikfliesen_Terrazzo","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__011__Innere_Oberfl_chen_Mosaikfliesen_Terrazzo","has_bauteiltyp","","bauteil_label","Innere Oberflächen: Mosaikfliesen/Terrazzo","rule_high","bauteil_fliese","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__005__Fliesen_unter_Traufe_Regenf_nger_Rand","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__005__Fliesen_unter_Traufe_Regenf_nger_Rand","has_bauteiltyp","","bauteil_label","Fliesen unter Traufe / Regenfänger-Rand","rule_high","bauteil_fliese","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md"
"reuse_einsatz/Maison_Vignette_Auderghem__003__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Maison_Vignette_Auderghem__003__Wandfliesen","has_bauteiltyp","","bauteil_label","Wandfliesen","rule_high","bauteil_fliese","Gebäude\Maison_Vignette_Auderghem.md"
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","has_bauteiltyp","","bauteil_label","Fliesen / Kronkorken-Mosaik","rule_high","bauteil_fliese","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","","bauteil_label","Dachziegel / roof tiles / vingetegl","rule_high","bauteil_fliese","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__006__Verbiest_Dachfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Verbiest_Karreveld_Brussels__006__Verbiest_Dachfliesen","has_bauteiltyp","","bauteil_label","Verbiest Dachfliesen","rule_high","bauteil_fliese","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__007__Verbiest_Terrassenfliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Verbiest_Karreveld_Brussels__007__Verbiest_Terrassenfliesen","has_bauteiltyp","","bauteil_label","Verbiest Terrassenfliesen","rule_high","bauteil_fliese","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__009__Verbiest_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Verbiest_Karreveld_Brussels__009__Verbiest_Fliesen","has_bauteiltyp","","bauteil_label","Verbiest Fliesen","rule_high","bauteil_fliese","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/Verbiest_Karreveld_Brussels__011__Verbiest_dekorative_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","target_manual_review","reuse_einsatz/Verbiest_Karreveld_Brussels__011__Verbiest_dekorative_Fliesen","has_bauteiltyp","","bauteil_label","Verbiest dekorative Fliesen","rule_high","bauteil_fliese","Gebäude\Verbiest_Karreveld_Brussels.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_bauteiltyp","bauteiltyp/Kern","target_manual_review","reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_bauteiltyp","","bauteil_label","Stahlprofile für neuen externen Kern","rule_medium","bauteil_core","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","has_bauteiltyp","bauteiltyp/Kern","target_manual_review","reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","has_bauteiltyp","","bauteil_label","Brückenlinks zum Kern","rule_medium","bauteil_core","Gebäude\55_Great_Suffolk_Street_London.md"
