"legacy_path","legacy_type","title","action","target_primary","target_secondary","content_strategy","risk_flags"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","","","semantic_split","akteur/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","","","semantic_split","akteur/Restado","software_digitaltool/Restado; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","","Rotor DC","semantic_split","akteur/Rotor_DC","software_digitaltool/Rotor_DC; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\07_materialinitiativen_hubs\BIZH.md","","BIZH","move_as_core","akteur/BIZH","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\07_materialinitiativen_hubs\CRCLR_House.md","","CRCLR House","move_as_core","akteur/CRCLR_House","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","","Haus der Materialisierung","move_as_core","akteur/Haus_der_Materialisierung","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","","IfM – Initiativen für Materialkreisläufe","move_as_core","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","","Kunst-Stoffe Berlin","move_as_core","akteur/Kunst_Stoffe_Berlin","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\07_materialinitiativen_hubs\Material_Mafia.md","","Material Mafia","move_as_core","akteur/Material_Mafia","akteurtyp/materialinitiativen_hubs","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","","","semantic_move","software_digitaltool/Abriss_Atlas","akteur/Architects_For_Future_Deutschland; methode/Abrissmonitoring; kontextmerkmal/Bestandserhalt_Policy","Digital map/monitoring tool, not primarily an actor. Preserve operator/initiative relation separately.","old_actor_folder_contains_tool_profile"
"akteur\08_digitale_plattformen_daten\Madaster.md","","","semantic_split","software_digitaltool/Madaster","akteur/Madaster; datenmodell/Materialpass; dokumenttyp/Gebaeuderessourcenpass; tooltyp/Materialkataster","Hybrid platform/actor profile. Platform is primary for graph search; actor/operator data becomes linked Akteur.","hybrid_actor_platform_profile;duplicate_with_werkzeug_Madaster_Plattform"
"akteur\index.md","","Index","merge_into_index","akteur/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"akteur\Research\00_INDEX.md","","Research-Restbestand","archive_as_source","quelle/00_INDEX","","Research/interview material; use as source, not actor.","index_content_may_contain_unique_gaps_or_cluster_lists"
"akteur\Research\Interviewleitfaden.md","","","archive_as_source","quelle/Interviewleitfaden","","Research/interview material; use as source, not actor.",""
"akteur\Unternehmerverband_Historische_Baustoffe_UHB.md","","Unternehmerverband Historische Baustoffe e.V. (UHB)","move_as_core","akteur/Unternehmerverband_Historische_Baustoffe_UHB","akteurtyp/Unternehmerverband_Historische_Baustoffe_UHB_md","Actor node; old subfolder becomes akteurtyp/role knot.",""
"aufbereitungsmethode.md","Type","Aufbereitungsmethode","merge_into_index","aufbereitungsverfahren/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"aufbereitungsmethode\Drahtglasschneiden.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Drahtglasschneiden","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\Entmoertelung_von_Fliesen.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Entmoertelung_von_Fliesen","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\Holzaufbereitung.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Holzaufbereitung","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\index.md","Aufbereitungsmethode","Aufbereitungsmethoden – Index","merge_into_index","aufbereitungsverfahren/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"aufbereitungsmethode\Leuchten_Refurbishment.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Leuchten_Refurbishment","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\Qualitaetssicherung.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Qualitaetssicherung","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\Rekonditionierung.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Rekonditionierung","","Move full prose to knot index; keep process and proof links.",""
"aufbereitungsmethode\Reparatur.md","Aufbereitungsmethode","","move_as_knot","aufbereitungsverfahren/Reparatur","","Move full prose to knot index; keep process and proof links.",""
"bauteil.md","Type","Bauteil","merge_into_index","bauteiltyp/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"bauteil\Betonfertigteil.md","Bauteil","","move_as_knot","bauteiltyp/Betonfertigteil","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Brettschichtholzstuetze.md","Bauteil","","move_as_knot","bauteiltyp/Brettschichtholzstuetze","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Brettsperrholzdecke.md","Bauteil","","move_as_knot","bauteiltyp/Brettsperrholzdecke","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Dachtragwerk.md","Bauteil","","move_as_knot","bauteiltyp/Dachtragwerk","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Deckenplatte.md","Bauteil","","move_as_knot","bauteiltyp/Deckenplatte","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Fachwerktraeger.md","Bauteil","","move_as_knot","bauteiltyp/Fachwerktraeger","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Fassade.md","Bauteil","Fassade","move_as_knot","bauteiltyp/Fassade","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Fenster.md","Bauteil","Fenster","move_as_knot","bauteiltyp/Fenster","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Feuerschutztuer.md","Bauteil","Feuerschuetztuer","move_as_knot","bauteiltyp/Feuerschutztuer","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Holzrahmenelement.md","Bauteil","","move_as_knot","bauteiltyp/Holzrahmenelement","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\index.md","Bauteil","Bauteile – Index","merge_into_index","bauteiltyp/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"bauteil\Leuchte.md","Bauteil","Leuchte","move_as_knot","bauteiltyp/Leuchte","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Pfette.md","Bauteil","","move_as_knot","bauteiltyp/Pfette","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Sanitaerobjekt.md","Bauteil","Sanitaerobjekt","move_as_knot","bauteiltyp/Sanitaerobjekt","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Stuetze.md","Bauteil","","move_as_knot","bauteiltyp/Stuetze","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Traeger.md","Bauteil","","move_as_knot","bauteiltyp/Traeger","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Treppe.md","Bauteil","Treppe","move_as_knot","bauteiltyp/Treppe","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Treppenwange.md","Bauteil","Treppenwange","move_as_knot","bauteiltyp/Treppenwange","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteil\Wand.md","Bauteil","","move_as_knot","bauteiltyp/Wand","","Generic type, not concrete reused component; concrete packages become reuse_einsatz.",""
"bauteilboerse\articonnex.md","Bauteilbörse","Articonnex","split_platform_profile","software_digitaltool/articonnex","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\backacia.md","Bauteilbörse","Backacia","split_platform_profile","software_digitaltool/backacia","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\baticycle.md","Bauteilbörse","Bâticycle","split_platform_profile","software_digitaltool/baticycle","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\batiterre.md","Bauteilbörse","BatiTerre","split_platform_profile","software_digitaltool/batiterre","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\batrecup.md","Bauteilbörse","BatRecup","split_platform_profile","software_digitaltool/batrecup","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\baukarussell.md","Bauteilbörse","BauKarussell","split_platform_profile","software_digitaltool/baukarussell","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\bauteilboerse-bremen.md","Bauteilbörse","Bauteilbörse Bremen","split_platform_profile","software_digitaltool/bauteilboerse_bremen","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\bauteilladen-winterthur.md","Bauteilbörse","Bauteilladen Winterthur","split_platform_profile","software_digitaltool/bauteilladen_winterthur","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\bauteilnetz-deutschland.md","Bauteilbörse","Bauteilnetz Deutschland","split_platform_profile","software_digitaltool/bauteilnetz_deutschland","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\building-spares-market.md","Bauteilbörse","Building Spares Market","split_platform_profile","software_digitaltool/building_spares_market","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\cornermat-retrival.md","Bauteilbörse","Cornermat / Retrival","split_platform_profile","software_digitaltool/cornermat_retrival","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\cycle-up.md","Bauteilbörse","Cycle Up","split_platform_profile","software_digitaltool/cycle_up","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\cycle-zero.md","Bauteilbörse","Cycle Zéro","split_platform_profile","software_digitaltool/cycle_zero","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\enviromate.md","Bauteilbörse","Enviromate","split_platform_profile","software_digitaltool/enviromate","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\gebruiktebouwmaterialen-gbm.md","Bauteilbörse","Gebruiktebouwmaterialen.com / GBM","split_platform_profile","software_digitaltool/gebruiktebouwmaterialen_gbm","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\genbyg.md","Bauteilbörse","Genbyg","split_platform_profile","software_digitaltool/genbyg","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\globechain.md","Bauteilbörse","Globechain","split_platform_profile","software_digitaltool/globechain","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\insert-marketplace.md","Bauteilbörse","Insert Marketplace","split_platform_profile","software_digitaltool/insert_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\loopfront.md","Bauteilbörse","Loopfront","split_platform_profile","software_digitaltool/loopfront","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\materialenbank-leuven-atelier-circuler.md","Bauteilbörse","Materialenbank Leuven / Atelier Circuler","split_platform_profile","software_digitaltool/materialenbank_leuven_atelier_circuler","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\material-index.md","Bauteilbörse","Material Index","split_platform_profile","software_digitaltool/material_index","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
